,CMI US Equity,CMI US Equity,CMI US Equity,CMI US Equity,CMI US Equity
2019-02-26,135.166,137.096,134.468,135.585,1664322.0
2019-02-27,135.943,136.345,134.442,135.629,1132422.0
2019-02-28,135.297,135.297,134.188,134.52,1002326.0
2019-03-01,135.507,136.105,134.23,134.8,1496053.0
2019-03-02,135.507,136.105,134.23,134.8,1496053.0
2019-03-03,135.507,136.105,134.23,134.8,1496053.0
2019-03-04,135.76,136.301,133.848,135.35,1142642.0
2019-03-05,134.834,136.345,134.834,134.869,1032584.0
2019-03-06,134.834,135.681,134.293,134.896,1070815.0
2019-03-07,134.354,135.384,132.591,134.695,1333713.0
2019-03-08,133.359,135.489,133.342,134.939,1402528.0
2019-03-09,133.359,135.489,133.342,134.939,1402528.0
2019-03-10,133.359,135.489,133.342,134.939,1402528.0
2019-03-11,134.957,138.143,134.538,137.969,1606161.0
2019-03-12,138.326,138.71,137.279,138.3,1924782.0
2019-03-13,138.807,138.807,136.755,137.026,1798192.0
2019-03-14,136.825,137.785,136.45,137.157,1707505.0
2019-03-15,137.157,138.012,136.668,137.419,3532801.0
2019-03-16,137.157,138.012,136.668,137.419,3532801.0
2019-03-17,137.157,138.012,136.668,137.419,3532801.0
2019-03-18,137.672,140.212,137.577,140.16,1340124.0
2019-03-19,140.745,141.722,139.295,139.776,1498737.0
2019-03-20,139.226,139.482,136.511,137.724,1462028.0
2019-03-21,137.139,138.981,137.139,138.475,711934.0
2019-03-22,137.619,137.763,135.262,135.865,1348382.0
2019-03-23,137.619,137.763,135.262,135.865,1348382.0
2019-03-24,137.619,137.763,135.262,135.865,1348382.0
2019-03-25,135.751,136.834,135.655,136.58,898297.0
2019-03-26,137.576,138.23,135.931,136.423,981282.0
2019-03-27,136.598,136.65,135.201,135.795,1371634.0
2019-03-28,136.1,136.93,135.524,136.179,1199921.0
2019-03-29,137.279,137.881,136.528,137.82,1379558.0
2019-03-30,137.279,137.881,136.528,137.82,1379558.0
2019-03-31,137.279,137.881,136.528,137.82,1379558.0
2019-04-01,139.4,141.949,139.112,141.714,1436579.0
2019-04-02,141.871,142.988,141.098,141.277,986416.0
2019-04-03,141.591,142.096,140.526,140.945,640748.0
2019-04-04,140.509,142.857,140.055,142.674,801639.0
2019-04-05,142.735,143.547,142.237,142.534,948632.0
2019-04-06,142.735,143.547,142.237,142.534,948632.0
2019-04-07,142.735,143.547,142.237,142.534,948632.0
2019-04-08,142.299,142.783,141.565,142.464,534256.0
2019-04-09,141.565,142.176,139.907,141.172,911339.0
2019-04-10,141.705,142.473,140.762,141.897,545829.0
2019-04-11,142.019,144.045,141.495,143.66,613759.0
2019-04-12,144.568,145.616,143.787,144.979,991030.0
2019-04-13,144.568,145.616,143.787,144.979,991030.0
2019-04-14,144.568,145.616,143.787,144.979,991030.0
2019-04-15,144.987,145.503,143.66,144.018,1587138.0
2019-04-16,145.459,146.454,144.132,145.983,970043.0
2019-04-17,146.777,147.855,144.695,144.883,979914.0
2019-04-18,145.31,146.856,144.918,146.524,1511561.0
2019-04-19,145.31,146.856,144.918,146.524,1511561.0
2019-04-20,145.31,146.856,144.918,146.524,1511561.0
2019-04-21,145.31,146.856,144.918,146.524,1511561.0
2019-04-22,145.834,145.843,144.411,144.883,755592.0
2019-04-23,144.918,146.157,143.695,145.625,1205998.0
2019-04-24,145.293,146.602,144.481,145.066,699112.0
2019-04-25,144.08,144.717,141.146,141.548,970454.0
2019-04-26,142.037,142.761,141.268,142.595,1223134.0
2019-04-27,142.037,142.761,141.268,142.595,1223134.0
2019-04-28,142.037,142.761,141.268,142.595,1223134.0
2019-04-29,142.866,143.503,142.054,143.294,1498642.0
2019-04-30,146.262,147.929,143.023,145.171,1885115.0
2019-05-01,145.363,147.056,144.018,144.455,1327035.0
2019-05-02,144.245,145.441,142.997,145.066,1208415.0
2019-05-03,145.38,147.781,145.075,147.702,1296699.0
2019-05-04,145.38,147.781,145.075,147.702,1296699.0
2019-05-05,145.38,147.781,145.075,147.702,1296699.0
2019-05-06,144.603,146.524,143.303,146.314,1165718.0
2019-05-07,144.891,145.66,143.154,144.577,1183956.0
2019-05-08,144.455,145.607,143.403,144.35,755373.0
2019-05-09,142.526,144.481,140.937,144.341,1373709.0
2019-05-10,143.695,144.699,140.806,144.385,928894.0
2019-05-11,143.695,144.699,140.806,144.385,928894.0
2019-05-12,143.695,144.699,140.806,144.385,928894.0
2019-05-13,141.784,141.784,137.986,138.711,1436525.0
2019-05-14,139.199,140.78,138.388,140.343,1232085.0
2019-05-15,139.505,141.391,137.864,140.919,1036511.0
2019-05-16,141.836,142.587,141.338,141.871,836860.0
2019-05-17,140.378,140.649,138.667,139.016,1109412.0
2019-05-18,140.378,140.649,138.667,139.016,1109412.0
2019-05-19,140.378,140.649,138.667,139.016,1109412.0
2019-05-20,138.422,140.849,138.422,140.71,1133469.0
2019-05-21,141.775,143.634,141.731,143.381,1098080.0
2019-05-22,143.084,143.573,141.984,142.735,1095162.0
2019-05-23,139.966,140.832,138.673,140.001,1282964.0
2019-05-24,141.073,141.997,140.036,140.59,935770.0
2019-05-25,141.073,141.997,140.036,140.59,935770.0
2019-05-26,141.073,141.997,140.036,140.59,935770.0
2019-05-27,141.073,141.997,140.036,140.59,935770.0
2019-05-28,140.959,142.128,139.5,139.517,1596090.0
2019-05-29,138.542,139.904,137.355,138.823,1076804.0
2019-05-30,139.623,140.634,138.779,139.368,1063512.0
2019-05-31,136.177,136.476,132.291,132.537,1640757.0
2019-06-01,136.177,136.476,132.291,132.537,1640757.0
2019-06-02,136.177,136.476,132.291,132.537,1640757.0
2019-06-03,132.66,135.333,132.555,133.944,1653094.0
2019-06-04,135.693,137.46,134.418,137.443,1743444.0
2019-06-05,138.647,140.361,136.238,140.265,1515459.0
2019-06-06,139.887,141.735,139.438,141.337,983802.0
2019-06-07,141.891,143.315,140.669,142.375,803420.0
2019-06-08,141.891,143.315,140.669,142.375,803420.0
2019-06-09,141.891,143.315,140.669,142.375,803420.0
2019-06-10,143.386,144.915,142.81,143.368,885107.0
2019-06-11,145.214,147.043,144.194,144.361,1062647.0
2019-06-12,144.247,144.317,142.568,143.359,1068939.0
2019-06-13,143.755,144.537,142.419,144.493,836673.0
2019-06-14,144.361,144.361,142.028,144.054,958632.0
2019-06-15,144.361,144.361,142.028,144.054,958632.0
2019-06-16,144.361,144.361,142.028,144.054,958632.0
2019-06-17,144.115,144.309,142.392,142.665,787051.0
2019-06-18,143.377,147.693,143.377,146.674,1031884.0
2019-06-19,146.612,147.852,145.904,147.649,1064291.0
2019-06-20,149.452,151.069,148.379,150.858,1556615.0
2019-06-21,150.7,150.858,149.012,149.416,1713552.0
2019-06-22,150.7,150.858,149.012,149.416,1713552.0
2019-06-23,150.7,150.858,149.012,149.416,1713552.0
2019-06-24,149.645,150.602,148.871,149.592,1163065.0
2019-06-25,150.067,150.067,147.632,148.441,1987479.0
2019-06-26,149.188,149.61,148.23,148.493,831617.0
2019-06-27,148.845,149.328,146.691,147.913,705552.0
2019-06-28,148.599,150.718,148.169,150.63,2680523.0
2019-06-29,148.599,150.718,148.169,150.63,2680523.0
2019-06-30,148.599,150.718,148.169,150.63,2680523.0
2019-07-01,152.089,152.767,149.663,151.966,2385825.0
2019-07-02,150.383,150.88,148.797,149.627,1164891.0
2019-07-03,150.955,151.219,148.476,149.663,756702.0
2019-07-04,150.955,151.219,148.476,149.663,756702.0
2019-07-05,148.537,149.144,145.733,148.704,829189.0
2019-07-06,148.537,149.144,145.733,148.704,829189.0
2019-07-07,148.537,149.144,145.733,148.704,829189.0
2019-07-08,148.564,149.452,147.917,148.625,996260.0
2019-07-09,147.544,148.093,146.023,147.069,1231468.0
2019-07-10,147.693,148.66,146.841,147.166,827069.0
2019-07-11,148.045,148.485,146.014,148.449,951541.0
2019-07-12,149.17,151.289,149.144,150.41,1254163.0
2019-07-13,149.17,151.289,149.144,150.41,1254163.0
2019-07-14,149.17,151.289,149.144,150.41,1254163.0
2019-07-15,150.841,151.522,149.381,150.436,650502.0
2019-07-16,149.46,151.737,148.849,151.518,750194.0
2019-07-17,151.289,151.403,148.608,148.827,1075272.0
2019-07-18,148.669,149.188,146.506,147.641,959122.0
2019-07-19,148.555,154.005,148.278,151.913,1904617.0
2019-07-20,148.555,154.005,148.278,151.913,1904617.0
2019-07-21,148.555,154.005,148.278,151.913,1904617.0
2019-07-22,152.326,152.674,149.794,150.093,1038509.0
2019-07-23,150.761,152.572,150.058,152.414,1144457.0
2019-07-24,151.509,154.647,150.814,154.172,1026490.0
2019-07-25,153.865,154.322,152.045,153.812,940890.0
2019-07-26,153.144,154.093,152.212,153.619,855240.0
2019-07-27,153.144,154.093,152.212,153.619,855240.0
2019-07-28,153.144,154.093,152.212,153.619,855240.0
2019-07-29,153.724,154.225,152.353,152.942,1194329.0
2019-07-30,142.858,146.383,142.709,145.205,2355502.0
2019-07-31,144.845,146.638,142.471,144.177,1907057.0
2019-08-01,144.071,145.267,139.492,140.423,1435516.0
2019-08-02,139.43,140.309,138.067,139.5,1317108.0
2019-08-03,139.43,140.309,138.067,139.5,1317108.0
2019-08-04,139.43,140.309,138.067,139.5,1317108.0
2019-08-05,136.766,137.337,131.878,133.126,2317869.0
2019-08-06,134.076,135.755,133.003,135.737,1223495.0
2019-08-07,133.39,135.192,131.333,133.856,1478289.0
2019-08-08,134.383,135.72,133.891,135.139,1240645.0
2019-08-09,134.278,134.726,130.471,131.834,1396020.0
2019-08-10,134.278,134.726,130.471,131.834,1396020.0
2019-08-11,134.278,134.726,130.471,131.834,1396020.0
2019-08-12,131.35,132.018,129.407,130.251,1058807.0
2019-08-13,129.671,135.619,129.504,132.81,1414202.0
2019-08-14,130.357,130.981,126.709,127.025,1839191.0
2019-08-15,127.465,128.731,126.638,128.379,1505556.0
2019-08-16,129.232,132.093,129.232,131.21,1237818.0
2019-08-17,129.232,132.093,129.232,131.21,1237818.0
2019-08-18,129.232,132.093,129.232,131.21,1237818.0
2019-08-19,133.311,133.759,130.746,131.025,2291166.0
2019-08-20,130.946,131.128,129.288,129.678,1150511.0
2019-08-21,131.186,132.516,130.52,131.053,1014041.0
2019-08-22,131.514,132.525,129.181,130.095,1021309.0
2019-08-23,129.128,129.696,125.181,125.962,1533186.0
2019-08-24,129.128,129.696,125.181,125.962,1533186.0
2019-08-25,129.128,129.696,125.181,125.962,1533186.0
2019-08-26,127.416,127.638,125.518,126.955,1197764.0
2019-08-27,128.135,128.551,126.653,126.653,1171119.0
2019-08-28,126.503,129.385,125.527,129.137,1169166.0
2019-08-29,130.68,132.818,130.441,132.241,1368360.0
2019-08-30,133.261,134.086,131.931,132.392,939514.0
2019-08-31,133.261,134.086,131.931,132.392,939514.0
2019-09-01,133.261,134.086,131.931,132.392,939514.0
2019-09-02,133.261,134.086,131.931,132.392,939514.0
2019-09-03,130.928,131.461,127.824,129.412,1268889.0
2019-09-04,131.265,132.285,130.822,132.126,975202.0
2019-09-05,133.979,138.503,133.527,137.172,1563596.0
2019-09-06,137.483,138.529,136.472,137.385,1124800.0
2019-09-07,137.483,138.529,136.472,137.385,1124800.0
2019-09-08,137.483,138.529,136.472,137.385,1124800.0
2019-09-09,137.758,142.787,137.563,142.636,1704801.0
2019-09-10,143.035,146.76,142.512,145.447,1836893.0
2019-09-11,145.013,146.787,142.441,146.778,1254710.0
2019-09-12,146.645,147.594,144.45,146.388,984530.0
2019-09-13,147.381,148.423,146.237,146.441,1058488.0
2019-09-14,147.381,148.423,146.237,146.441,1058488.0
2019-09-15,147.381,148.423,146.237,146.441,1058488.0
2019-09-16,145.341,146.701,144.977,145.19,1126848.0
2019-09-17,144.569,144.96,143.07,144.587,1351598.0
2019-09-18,143.851,144.401,142.006,143.993,1078366.0
2019-09-19,144.481,145.509,143.301,143.7,783920.0
2019-09-20,143.736,145.394,142.911,143.301,3626452.0
2019-09-21,143.736,145.394,142.911,143.301,3626452.0
2019-09-22,143.736,145.394,142.911,143.301,3626452.0
2019-09-23,142.29,145.022,142.086,143.851,1328142.0
2019-09-24,144.764,145.057,141.749,142.45,1428312.0
2019-09-25,142.015,144.126,141.102,143.124,1507819.0
2019-09-26,143.168,143.904,141.376,141.864,891930.0
2019-09-27,142.849,143.443,141.261,143.062,1002321.0
2019-09-28,142.849,143.443,141.261,143.062,1002321.0
2019-09-29,142.849,143.443,141.261,143.062,1002321.0
2019-09-30,142.973,145.217,142.485,144.277,990472.0
2019-10-01,145.474,146.654,139.278,139.727,1310945.0
2019-10-02,137.873,139.248,136.277,136.693,1250315.0
2019-10-03,136.277,137.509,134.059,137.465,1450989.0
2019-10-04,137.305,140.25,137.305,140.01,977177.0
2019-10-05,137.305,140.25,137.305,140.01,977177.0
2019-10-06,137.305,140.25,137.305,140.01,977177.0
2019-10-07,139.31,140.435,138.237,138.804,836109.0
2019-10-08,137.022,137.671,135.301,135.824,1031443.0
2019-10-09,137.314,138.379,136.161,137.483,793722.0
2019-10-10,138.086,140.667,137.642,139.292,812160.0
2019-10-11,142.183,146.343,142.183,144.356,1343530.0
2019-10-12,142.183,146.343,142.183,144.356,1343530.0
2019-10-13,142.183,146.343,142.183,144.356,1343530.0
2019-10-14,141.82,145.368,140.002,145.243,872661.0
2019-10-15,144.693,148.507,143.869,147.541,1077998.0
2019-10-16,147.407,149.403,147.062,147.39,894582.0
2019-10-17,148.392,149.501,147.47,148.685,649574.0
2019-10-18,148.871,151.558,148.33,151.026,1223602.0
2019-10-19,148.871,151.558,148.33,151.026,1223602.0
2019-10-20,148.871,151.558,148.33,151.026,1223602.0
2019-10-21,152.232,153.314,151.399,151.949,978251.0
2019-10-22,152.853,155.656,150.879,155.301,1293866.0
2019-10-23,154.352,155.487,153.332,155.381,977218.0
2019-10-24,155.798,155.851,153.784,155.594,914633.0
2019-10-25,155.851,158.92,155.727,158.334,1303293.0
2019-10-26,155.851,158.92,155.727,158.334,1303293.0
2019-10-27,155.851,158.92,155.727,158.334,1303293.0
2019-10-28,159.656,160.144,157.935,159.674,1404464.0
2019-10-29,154.893,159.319,154.015,157.093,2666945.0
2019-10-30,157.199,157.669,153.226,154.849,1884621.0
2019-10-31,154.396,154.849,150.698,152.977,1391356.0
2019-11-01,154.042,156.605,152.835,156.605,1963625.0
2019-11-02,154.042,156.605,152.835,156.605,1963625.0
2019-11-03,154.042,156.605,152.835,156.605,1963625.0
2019-11-04,158.272,159.252,156.694,158.92,1357645.0
2019-11-05,159.035,161.004,158.76,159.585,1047295.0
2019-11-06,158.831,160.907,156.605,160.88,1217652.0
2019-11-07,162.148,163.656,161.501,161.891,1665655.0
2019-11-08,163.177,165.612,161.421,165.208,1249382.0
2019-11-09,163.177,165.612,161.421,165.208,1249382.0
2019-11-10,163.177,165.612,161.421,165.208,1249382.0
2019-11-11,164.099,165.519,163.966,165.359,905958.0
2019-11-12,165.226,165.412,162.96,163.275,1130359.0
2019-11-13,161.953,162.445,160.631,161.408,961225.0
2019-11-14,161.132,162.418,160.492,161.542,748696.0
2019-11-15,163.025,164.767,162.248,164.365,1088188.0
2019-11-16,163.025,164.767,162.248,164.365,1088188.0
2019-11-17,163.025,164.767,162.248,164.365,1088188.0
2019-11-18,162.757,164.079,161.489,163.883,838345.0
2019-11-19,164.597,164.696,161.927,163.436,1916661.0
2019-11-20,162.891,163.195,160.411,161.346,1036355.0
2019-11-21,160.881,162.909,160.409,161.525,937870.0
2019-11-22,161.9,162.043,159.667,160.926,1051984.0
2019-11-23,161.9,162.043,159.667,160.926,1051984.0
2019-11-24,161.9,162.043,159.667,160.926,1051984.0
2019-11-25,161.864,164.446,160.533,164.383,1412649.0
2019-11-26,164.437,165.384,163.409,165.294,917636.0
2019-11-27,165.294,165.424,163.374,165.089,896584.0
2019-11-28,165.294,165.424,163.374,165.089,896584.0
2019-11-29,164.026,164.365,162.99,163.347,455241.0
2019-11-30,164.026,164.365,162.99,163.347,455241.0
2019-12-01,164.026,164.365,162.99,163.347,455241.0
2019-12-02,163.82,164.928,161.775,161.918,940187.0
2019-12-03,159.631,159.631,156.674,159.095,1060996.0
2019-12-04,159.872,161.391,159.023,159.041,957351.0
2019-12-05,159.399,160.22,158.648,159.649,899914.0
2019-12-06,161.81,162.744,161.078,161.158,713335.0
2019-12-07,161.81,162.744,161.078,161.158,713335.0
2019-12-08,161.81,162.744,161.078,161.158,713335.0
2019-12-09,161.132,161.953,160.22,161.721,710087.0
2019-12-10,161.114,161.694,159.644,160.479,936573.0
2019-12-11,162.391,163.012,161.105,162.677,958957.0
2019-12-12,162.177,165.83,161.248,165.151,1195995.0
2019-12-13,164.222,166.027,162.141,163.007,976827.0
2019-12-14,164.222,166.027,162.141,163.007,976827.0
2019-12-15,164.222,166.027,162.141,163.007,976827.0
2019-12-16,162.346,164.379,162.293,162.409,1104695.0
2019-12-17,162.516,163.392,161.9,162.82,819397.0
2019-12-18,163.133,163.133,160.274,161.507,1162311.0
2019-12-19,161.81,162.078,159.104,160.167,1058213.0
2019-12-20,161.775,162.534,160.113,161.784,2285885.0
2019-12-21,161.775,162.534,160.113,161.784,2285885.0
2019-12-22,161.775,162.534,160.113,161.784,2285885.0
2019-12-23,161.802,162.82,161.239,162.061,821502.0
2019-12-24,162.221,162.525,161.605,161.828,276738.0
2019-12-25,162.221,162.525,161.605,161.828,276738.0
2019-12-26,162.177,162.534,161.382,162.061,501681.0
2019-12-27,162.471,163.133,161.212,161.417,747893.0
2019-12-28,162.471,163.133,161.212,161.417,747893.0
2019-12-29,162.471,163.133,161.212,161.417,747893.0
2019-12-30,161.355,161.511,159.747,160.042,560092.0
2019-12-31,160.149,160.64,158.988,159.863,735797.0
2020-01-01,160.149,160.64,158.988,159.863,735797.0
2020-01-02,160.81,161.574,158.47,160.185,1206548.0
2020-01-03,158.273,158.273,155.772,157.942,1017606.0
2020-01-04,158.273,158.273,155.772,157.942,1017606.0
2020-01-05,158.273,158.273,155.772,157.942,1017606.0
2020-01-06,156.826,156.826,154.682,155.548,1253904.0
2020-01-07,155.504,156.18,153.333,155.665,1437426.0
2020-01-08,155.584,156.701,154.611,155.745,896792.0
2020-01-09,156.111,156.603,153.083,155.004,1199822.0
2020-01-10,155.647,155.709,153.038,153.137,1153596.0
2020-01-11,155.647,155.709,153.038,153.137,1153596.0
2020-01-12,155.647,155.709,153.038,153.137,1153596.0
2020-01-13,153.539,154.334,152.681,154.083,972175.0
2020-01-14,156.299,156.593,153.798,154.003,1132986.0
2020-01-15,152.752,154.316,152.475,154.191,997106.0
2020-01-16,155.013,156.714,154.512,156.558,1034033.0
2020-01-17,157.112,158.371,154.521,155.254,2181589.0
2020-01-18,157.112,158.371,154.521,155.254,2181589.0
2020-01-19,157.112,158.371,154.521,155.254,2181589.0
2020-01-20,157.112,158.371,154.521,155.254,2181589.0
2020-01-21,154.637,154.738,152.306,152.815,1277441.0
2020-01-22,153.414,153.69,151.292,151.957,941190.0
2020-01-23,151.645,153.539,149.555,153.342,976410.0
2020-01-24,153.288,153.409,149.867,151.1,933807.0
2020-01-25,153.288,153.409,149.867,151.1,933807.0
2020-01-26,153.288,153.409,149.867,151.1,933807.0
2020-01-27,147.759,148.625,146.901,147.187,1184153.0
2020-01-28,148.474,149.144,147.384,148.357,920822.0
2020-01-29,149.421,149.528,147.964,148.009,1249597.0
2020-01-30,146.642,148.581,146.261,148.375,979836.0
2020-01-31,146.026,146.464,141.301,142.899,2721492.0
2020-02-01,146.026,146.464,141.301,142.899,2721492.0
2020-02-02,146.026,146.464,141.301,142.899,2721492.0
2020-02-03,144.097,146.919,143.221,145.508,2248598.0
2020-02-04,149.179,150.644,143.677,143.82,2826191.0
2020-02-05,145.338,148.813,144.749,148.67,1410888.0
2020-02-06,150.644,150.653,147.286,148.241,1127504.0
2020-02-07,146.893,147.321,143.284,143.641,1361136.0
2020-02-08,146.893,147.321,143.284,143.641,1361136.0
2020-02-09,146.893,147.321,143.284,143.641,1361136.0
2020-02-10,143.15,145.347,143.025,144.918,1057911.0
2020-02-11,145.695,147.589,145.695,146.767,864010.0
2020-02-12,147.875,150.448,147.321,150.108,1163907.0
2020-02-13,150.698,151.957,148.098,148.375,1266742.0
2020-02-14,148.438,149.09,147.286,148.983,976369.0
2020-02-15,148.438,149.09,147.286,148.983,976369.0
2020-02-16,148.438,149.09,147.286,148.983,976369.0
2020-02-17,148.438,149.09,147.286,148.983,976369.0
2020-02-18,148.224,149.269,146.834,148.34,1325032.0
2020-02-19,148.34,150.269,148.34,149.93,1560787.0
2020-02-20,149.543,152.794,148.607,150.462,1019464.0
2020-02-21,149.417,150.831,147.257,150.768,1139773.0
2020-02-22,149.417,150.831,147.257,150.768,1139773.0
2020-02-23,149.417,150.831,147.257,150.768,1139773.0
2020-02-24,146.149,147.482,145.141,146.554,1551511.0
2020-02-25,147.401,147.945,144.313,144.961,1995270.0
2020-02-26,146.563,147.563,141.927,142.224,1499100.0
2020-02-27,139.748,144.385,136.786,139.064,1855725.0
2020-02-28,134.76,136.849,132.329,136.21,2158615.0
2020-02-29,134.76,136.849,132.329,136.21,2158615.0
2020-03-01,134.76,136.849,132.329,136.21,2158615.0
2020-03-02,136.453,140.396,134.157,140.144,1794376.0
2020-03-03,139.703,143.43,136.25,136.984,1744300.0
2020-03-04,139.1,141.657,138.195,140.846,1593466.0
2020-03-05,136.867,138.316,132.766,133.842,1537085.0
2020-03-06,130.259,134.265,129.826,133.788,1757855.0
2020-03-07,130.259,134.265,129.826,133.788,1757855.0
2020-03-08,130.259,134.265,129.826,133.788,1757855.0
2020-03-09,124.424,127.238,122.952,125.388,2356089.0
2020-03-10,129.808,131.267,124.235,131.114,2517760.0
2020-03-11,127.756,130.619,125.595,127.008,2210729.0
2020-03-12,119.329,121.841,114.404,116.223,2288936.0
2020-03-13,122.282,124.172,116.592,123.2,2252431.0
2020-03-14,122.282,124.172,116.592,123.2,2252431.0
2020-03-15,122.282,124.172,116.592,123.2,2252431.0
2020-03-16,112.459,122.66,110.695,118.347,1922998.0
2020-03-17,120.409,124.073,115.907,123.164,2616136.0
2020-03-18,114.746,118.77,106.049,111.163,1879540.0
2020-03-19,109.704,110.278,103.537,106.733,1756416.0
2020-03-20,108.858,109.992,103.681,104.869,2114524.0
2020-03-21,108.858,109.992,103.681,104.869,2114524.0
2020-03-22,108.858,109.992,103.681,104.869,2114524.0
2020-03-23,102.952,103.519,90.955,92.517,2155178.0
2020-03-24,99.9,112.333,98.081,112.081,2491591.0
2020-03-25,113.486,118.96,109.677,115.034,2242372.0
2020-03-26,118.401,122.327,113.069,121.507,1534344.0
2020-03-27,114.836,121.94,114.836,118.536,1267784.0
2020-03-28,114.836,121.94,114.836,118.536,1267784.0
2020-03-29,114.836,121.94,114.836,118.536,1267784.0
2020-03-30,118.842,123.227,118.122,121.075,1234131.0
2020-03-31,120.211,124.614,118.293,121.832,1581971.0
2020-04-01,116.835,118.536,114.611,117.393,1160512.0
2020-04-02,116.042,120.846,114.89,119.527,1325720.0
2020-04-03,118.905,121.548,116.556,119.086,1588859.0
2020-04-04,118.905,121.548,116.556,119.086,1588859.0
2020-04-05,118.905,121.548,116.556,119.086,1588859.0
2020-04-06,124.803,130.313,124.001,127.954,2088090.0
2020-04-07,133.167,134.625,129.646,131.303,1580356.0
2020-04-08,132.599,135.579,130.124,134.652,1152565.0
2020-04-09,137.317,138.92,133.995,135.678,1133528.0
2020-04-10,137.317,138.92,133.995,135.678,1133528.0
2020-04-11,137.317,138.92,133.995,135.678,1133528.0
2020-04-12,137.317,138.92,133.995,135.678,1133528.0
2020-04-13,135.084,135.669,129.952,131.852,934050.0
2020-04-14,134.508,135.719,130.88,133.374,1433986.0
2020-04-15,129.646,131.042,127.945,130.961,1530536.0
2020-04-16,131.447,131.609,128.809,130.583,1253470.0
2020-04-17,134.418,135.66,132.608,134.31,1300998.0
2020-04-18,134.418,135.66,132.608,134.31,1300998.0
2020-04-19,134.418,135.66,132.608,134.31,1300998.0
2020-04-20,133.167,133.428,131.177,131.537,1576138.0
2020-04-21,129.646,129.691,126.882,128.188,1480207.0
2020-04-22,130.952,131.762,129.151,130.484,785378.0
2020-04-23,131.042,134.04,130.416,130.934,756956.0
2020-04-24,132.176,133.081,130.106,133.041,600897.0
2020-04-25,132.176,133.081,130.106,133.041,600897.0
2020-04-26,132.176,133.081,130.106,133.041,600897.0
2020-04-27,133.545,136.804,132.797,136.345,1049060.0
