,1981718D US Equity,1981718D US Equity,1981718D US Equity,1981718D US Equity,1981718D US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-12-13,52.239,52.4149,50.7735,50.8615,6967950.0
2019-12-14,52.239,52.4149,50.7735,50.8615,6967950.0
2019-12-15,52.239,52.4149,50.7735,50.8615,6967950.0
2019-12-16,51.4183,51.4477,50.5977,50.6172,5158173.0
2019-12-17,50.6075,50.6954,50.3534,50.3632,5303671.0
2019-12-18,50.4316,50.5586,49.4253,49.5328,10530153.0
2019-12-19,49.6012,49.7184,48.7805,48.927,5061129.0
2019-12-20,49.015,49.3081,48.673,48.9954,4927250.0
2019-12-21,49.015,49.3081,48.673,48.9954,4927250.0
2019-12-22,49.015,49.3081,48.673,48.9954,4927250.0
2019-12-23,49.1518,49.8063,48.9173,49.5914,2892278.0
2019-12-24,49.5035,49.6891,49.269,49.5719,1126678.0
2019-12-25,49.5035,49.6891,49.269,49.5719,1126678.0
2019-12-26,49.6207,49.9236,49.5132,49.6012,1526533.0
2019-12-27,49.6696,49.7184,49.1811,49.2006,1810224.0
2019-12-28,49.6696,49.7184,49.1811,49.2006,1810224.0
2019-12-29,49.6696,49.7184,49.1811,49.2006,1810224.0
2019-12-30,49.396,49.5425,48.7512,48.8196,1448546.0
2019-12-31,48.8,48.9564,48.4483,48.5558,4019036.0
2020-01-01,48.8,48.9564,48.4483,48.5558,4019036.0
2020-01-02,48.8587,49.4644,48.673,49.3472,2713821.0
2020-01-03,48.5558,48.634,47.9403,48.1064,3514224.0
2020-01-04,48.5558,48.634,47.9403,48.1064,3514224.0
2020-01-05,48.5558,48.634,47.9403,48.1064,3514224.0
2020-01-06,47.9208,48.4776,47.6472,48.419,4078273.0
2020-01-07,48.6633,49.3618,48.4288,49.0247,5784784.0
2020-01-08,48.9857,49.3765,48.5949,49.0541,5820591.0
2020-01-09,49.4448,49.7379,49.0541,49.1615,5405061.0
2020-01-10,49.0834,49.2397,48.7121,48.8538,3644136.0
2020-01-11,49.0834,49.2397,48.7121,48.8538,3644136.0
2020-01-12,49.0834,49.2397,48.7121,48.8538,3644136.0
2020-01-13,49.0247,49.3178,48.8831,49.1127,5405467.0
2020-01-14,49.2104,49.2104,48.5265,48.7121,3507749.0
2020-01-15,48.419,48.7023,47.9794,48.0966,4194559.0
2020-01-16,48.0282,50.0897,48.0185,50.031,6767311.0
2020-01-17,50.2069,50.3632,49.2592,49.3667,5811068.0
2020-01-18,50.2069,50.3632,49.2592,49.3667,5811068.0
2020-01-19,50.2069,50.3632,49.2592,49.3667,5811068.0
2020-01-20,50.2069,50.3632,49.2592,49.3667,5811068.0
2020-01-21,49.1615,49.9529,48.8977,49.5816,3666234.0
2020-01-22,48.5949,50.1971,48.462,50.0994,2695991.0
2020-01-23,49.8943,49.8943,49.0589,49.5328,2679626.0
2020-01-24,49.5621,49.6109,48.0429,48.1845,4371154.0
2020-01-25,49.5621,49.6109,48.0429,48.1845,4371154.0
2020-01-26,49.5621,49.6109,48.0429,48.1845,4371154.0
2020-01-27,47.2173,47.3834,46.5383,46.6605,5054537.0
2020-01-28,47.0513,47.5397,46.7582,47.2369,3973171.0
2020-01-29,47.4811,47.7156,46.807,46.8559,2446647.0
2020-01-30,46.3674,48.292,46.3478,48.1064,4445118.0
2020-01-31,47.6374,47.72,46.3234,46.3869,3654013.0
2020-02-01,47.6374,47.72,46.3234,46.3869,3654013.0
2020-02-02,47.6374,47.72,46.3234,46.3869,3654013.0
2020-02-03,46.6312,47.8426,46.4455,46.553,5019971.0
2020-02-04,47.2512,49.0606,47.2512,48.2346,4553387.0
2020-02-05,48.7656,49.572,48.6378,49.5523,3893748.0
2020-02-06,49.8571,50.0243,48.5591,49.0114,3706881.0
2020-02-07,48.6083,48.7951,48.1117,48.4903,2235406.0
2020-02-08,48.6083,48.7951,48.1117,48.4903,2235406.0
2020-02-09,48.6083,48.7951,48.1117,48.4903,2235406.0
2020-02-10,48.2739,48.4608,47.7134,48.0182,3024775.0
2020-02-11,48.3722,49.3163,48.1559,48.9328,2793022.0
2020-02-12,49.2868,49.6801,48.9082,49.1098,2345096.0
2020-02-13,48.8738,49.0999,48.6378,48.7656,4114905.0
2020-02-14,48.6968,48.8742,48.1707,48.7164,2435808.0
2020-02-15,48.6968,48.8742,48.1707,48.7164,2435808.0
2020-02-16,48.6968,48.8742,48.1707,48.7164,2435808.0
2020-02-17,48.6968,48.8742,48.1707,48.7164,2435808.0
