,PDCO US Equity,PDCO US Equity,PDCO US Equity,PDCO US Equity,PDCO US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-07-03,19.9385,19.9823,19.15,19.2814,874562.0
2020-07-04,19.9385,19.9823,19.15,19.2814,874562.0
2020-07-05,19.9385,19.9823,19.15,19.2814,874562.0
2020-07-06,19.5618,20.1575,19.2902,20.1487,1426568.0
2020-07-07,19.772,20.2188,19.5443,19.9253,1717780.0
2020-07-08,19.8158,20.0786,19.3953,19.956,1433400.0
2020-07-09,20.0934,20.1575,19.3866,19.9209,1056188.0
2020-07-10,19.9297,20.4028,19.8509,20.2319,896420.0
2020-07-11,19.9297,20.4028,19.8509,20.2319,896420.0
2020-07-12,19.9297,20.4028,19.8509,20.2319,896420.0
2020-07-13,20.4641,20.7006,20.0786,20.14,719387.0
2020-07-14,20.0611,20.6831,19.7641,20.6481,741057.0
2020-07-15,21.016,21.7869,21.0072,21.7256,1022128.0
2020-07-16,21.6548,22.0,21.4007,21.8495,788039.0
2020-07-17,21.9026,23.0181,21.7964,22.8234,1402012.0
2020-07-18,21.9026,23.0181,21.7964,22.8234,1402012.0
2020-07-19,21.9026,23.0181,21.7964,22.8234,1402012.0
2020-07-20,22.8411,23.1067,22.031,22.2789,1425676.0
2020-07-21,22.7348,23.0713,22.1771,22.3276,997687.0
2020-07-22,22.3276,22.7791,22.2656,22.7083,1206257.0
2020-07-23,22.7083,23.2837,22.5489,22.6552,934668.0
2020-07-24,22.5755,22.6197,22.0797,22.1682,579040.0
2020-07-25,22.5755,22.6197,22.0797,22.1682,579040.0
2020-07-26,22.5755,22.6197,22.0797,22.1682,579040.0
2020-07-27,22.0708,22.5401,21.9296,22.4294,1525303.0
2020-07-28,22.4692,22.602,22.1771,22.2036,970423.0
2020-07-29,22.1771,22.602,22.0886,22.4781,880768.0
2020-07-30,22.0974,23.2395,21.7787,23.1863,1285466.0
2020-07-31,23.1067,23.567,22.965,23.5139,1780929.0
2020-08-01,23.1067,23.567,22.965,23.5139,1780929.0
2020-08-02,23.1067,23.567,22.965,23.5139,1780929.0
2020-08-03,23.7884,24.3063,23.691,24.2841,1951117.0
2020-08-04,24.2133,25.1606,23.8326,24.6737,1343033.0
2020-08-05,24.8596,24.8596,24.4789,24.8242,796762.0
2020-08-06,24.7799,24.7799,23.9065,24.6028,742300.0
2020-08-07,24.532,24.7356,24.3284,24.5232,603564.0
2020-08-08,24.532,24.7356,24.3284,24.5232,603564.0
2020-08-09,24.532,24.7356,24.3284,24.5232,603564.0
2020-08-10,24.6471,24.7755,24.4169,24.4966,660561.0
2020-08-11,24.7711,24.8596,23.8282,23.9566,849970.0
2020-08-12,24.1071,24.2753,23.5228,23.9521,621167.0
2020-08-13,23.7795,24.0097,23.567,23.691,474212.0
2020-08-14,23.6201,24.0008,23.4608,23.8326,517145.0
2020-08-15,23.6201,24.0008,23.4608,23.8326,517145.0
2020-08-16,23.6201,24.0008,23.4608,23.8326,517145.0
2020-08-17,23.93,23.93,23.5847,23.629,463025.0
