,CRD/B US Equity,CRD/B US Equity,CRD/B US Equity,CRD/B US Equity,CRD/B US Equity
2019-04-18,7.497,7.6795,7.2017,7.332,26830.0
2019-04-19,7.497,7.6795,7.2017,7.332,26830.0
2019-04-20,7.497,7.6795,7.2017,7.332,26830.0
2019-04-21,7.497,7.6795,7.2017,7.332,26830.0
2019-04-22,7.2277,7.7229,7.2277,7.6621,6552.0
2019-04-23,7.7403,7.8445,7.7229,7.7924,12901.0
2019-04-24,7.6882,7.7403,7.5839,7.5839,3331.0
2019-04-25,7.5492,7.5752,7.5057,7.5057,3570.0
2019-04-26,7.5752,7.6795,7.4015,7.6534,10413.0
2019-04-27,7.5752,7.6795,7.4015,7.6534,10413.0
2019-04-28,7.5752,7.6795,7.4015,7.6534,10413.0
2019-04-29,7.7229,7.8098,7.6968,7.8098,6170.0
2019-04-30,7.8532,7.8532,7.6621,7.6621,12926.0
2019-05-01,7.8011,7.8011,7.6751,7.6882,15555.0
2019-05-02,7.6255,7.775,7.6255,7.7403,3775.0
2019-05-03,7.7403,7.8706,7.7403,7.8706,7120.0
2019-05-04,7.7403,7.8706,7.7403,7.8706,7120.0
2019-05-05,7.7403,7.8706,7.7403,7.8706,7120.0
2019-05-06,7.6708,7.8358,7.6708,7.7229,5526.0
2019-05-07,7.6696,7.8011,7.6402,7.7055,7334.0
2019-05-08,7.775,7.775,7.6143,7.6187,10110.0
2019-05-09,7.636,7.8098,7.5883,7.8098,5982.0
2019-05-10,7.7577,7.7837,7.6534,7.7316,5943.0
2019-05-11,7.7577,7.7837,7.6534,7.7316,5943.0
2019-05-12,7.7577,7.7837,7.6534,7.7316,5943.0
2019-05-13,7.5144,7.8619,7.5144,7.7577,11657.0
2019-05-14,7.6968,7.8098,7.6882,7.6882,6515.0
2019-05-15,7.5752,7.8706,7.5752,7.7663,22607.0
2019-05-16,7.8098,7.8619,7.749,7.775,7792.0
2019-05-17,7.7229,7.8169,7.7229,7.775,10284.0
2019-05-18,7.7229,7.8169,7.7229,7.775,10284.0
2019-05-19,7.7229,7.8169,7.7229,7.775,10284.0
2019-05-20,7.7229,7.8619,7.7229,7.7837,4192.0
2019-05-21,7.8185,7.9661,7.7403,7.8185,11973.0
2019-05-22,7.9058,7.9058,7.6612,7.7311,19957.0
2019-05-23,7.6787,7.7923,7.6263,7.6438,26928.0
2019-05-24,7.6787,7.801,7.6132,7.6874,17559.0
2019-05-25,7.6787,7.801,7.6132,7.6874,17559.0
2019-05-26,7.6787,7.801,7.6132,7.6874,17559.0
2019-05-27,7.6787,7.801,7.6132,7.6874,17559.0
2019-05-28,7.7224,7.7224,7.6132,7.6175,7730.0
2019-05-29,7.5826,7.6438,7.5477,7.5477,15740.0
2019-05-30,7.469,7.504,7.4428,7.4952,7535.0
2019-05-31,7.4166,7.4166,7.1283,7.2681,45447.0
2019-06-01,7.4166,7.4166,7.1283,7.2681,45447.0
2019-06-02,7.4166,7.4166,7.1283,7.2681,45447.0
2019-06-03,7.1109,7.4778,7.1109,7.3904,17816.0
2019-06-04,7.4603,7.6525,7.4603,7.6438,6380.0
2019-06-05,7.6001,7.7661,7.5826,7.67,7671.0
2019-06-06,7.7049,7.8097,7.6263,7.6962,11505.0
2019-06-07,7.7923,7.9015,7.7088,7.8359,15050.0
2019-06-08,7.7923,7.9015,7.7088,7.8359,15050.0
2019-06-09,7.7923,7.9015,7.7088,7.8359,15050.0
2019-06-10,7.9146,7.9495,7.6088,7.67,79700.0
2019-06-11,7.6787,7.7136,6.9886,7.2244,165457.0
2019-06-12,7.3031,7.3031,7.1371,7.2244,61744.0
2019-06-13,7.3205,7.3205,7.0585,7.2244,59134.0
2019-06-14,7.2681,7.5127,7.1895,7.469,68112.0
2019-06-15,7.2681,7.5127,7.1895,7.469,68112.0
2019-06-16,7.2681,7.5127,7.1895,7.469,68112.0
2019-06-17,7.4778,7.7486,7.4254,7.5127,71202.0
2019-06-18,7.4952,7.6438,7.3729,7.4166,54177.0
2019-06-19,7.2594,7.4603,7.2594,7.4428,40148.0
2019-06-20,7.3992,7.6132,7.3904,7.5389,45321.0
2019-06-21,7.4865,7.5651,7.3205,7.3555,99116.0
2019-06-22,7.4865,7.5651,7.3205,7.3555,99116.0
2019-06-23,7.4865,7.5651,7.3205,7.3555,99116.0
2019-06-24,7.338,7.7748,7.207,7.6175,85101.0
2019-06-25,7.6263,7.7573,7.5651,7.7311,114385.0
2019-06-26,7.6787,7.7923,7.6175,7.7049,83683.0
2019-06-27,7.6962,8.2247,7.6962,8.1592,94304.0
2019-06-28,8.1854,8.4824,8.133,8.133,1484368.0
2019-06-29,8.1854,8.4824,8.133,8.133,1484368.0
2019-06-30,8.1854,8.4824,8.133,8.133,1484368.0
2019-07-01,8.1854,8.3514,8.0456,8.1242,102146.0
2019-07-02,8.2203,8.2727,7.7923,7.8971,83010.0
2019-07-03,7.9058,8.0631,7.9058,7.967,78802.0
2019-07-04,7.9058,8.0631,7.9058,7.967,78802.0
2019-07-05,7.8796,8.0543,7.8447,7.9932,56049.0
2019-07-06,7.8796,8.0543,7.8447,7.9932,56049.0
2019-07-07,7.8796,8.0543,7.8447,7.9932,56049.0
2019-07-08,8.0019,8.1504,7.9495,8.0893,26102.0
2019-07-09,8.2378,8.2902,8.1679,8.229,36629.0
2019-07-10,8.2553,8.3776,8.1417,8.2902,44408.0
2019-07-11,8.3601,8.3863,8.2771,8.3164,33378.0
2019-07-12,8.3426,8.3863,8.2116,8.2553,36102.0
2019-07-13,8.3426,8.3863,8.2116,8.2553,36102.0
2019-07-14,8.3426,8.3863,8.2116,8.2553,36102.0
2019-07-15,8.2815,8.3339,8.1766,8.2553,33146.0
2019-07-16,8.2465,8.2553,8.0893,8.1242,12109.0
2019-07-17,8.1024,8.1941,8.0107,8.1504,14253.0
2019-07-18,8.2465,8.2815,8.0893,8.2727,75261.0
2019-07-19,8.2727,8.2727,8.0107,8.1592,17241.0
2019-07-20,8.2727,8.2727,8.0107,8.1592,17241.0
2019-07-21,8.2727,8.2727,8.0107,8.1592,17241.0
2019-07-22,8.0194,8.3077,8.0194,8.2989,14092.0
2019-07-23,8.117,8.2203,8.098,8.1504,8879.0
2019-07-24,8.2378,8.2989,8.1155,8.2727,5821.0
2019-07-25,8.3077,8.3164,8.0805,8.0805,18532.0
2019-07-26,8.4125,8.4125,8.1766,8.1766,6656.0
2019-07-27,8.4125,8.4125,8.1766,8.1766,6656.0
2019-07-28,8.4125,8.4125,8.1766,8.1766,6656.0
2019-07-29,8.1586,8.2465,8.0805,8.0805,4767.0
2019-07-30,8.0369,8.3339,8.0369,8.264,9833.0
2019-07-31,8.3863,8.4911,8.1854,8.1854,12511.0
2019-08-01,8.1679,8.4741,8.1679,8.3601,31377.0
2019-08-02,8.3863,8.3863,8.2378,8.2378,13716.0
2019-08-03,8.3863,8.3863,8.2378,8.2378,13716.0
2019-08-04,8.3863,8.3863,8.2378,8.2378,13716.0
2019-08-05,8.229,8.4212,7.9451,7.967,12463.0
2019-08-06,8.2116,8.4212,8.2116,8.3514,17393.0
2019-08-07,8.1887,8.5173,8.1887,8.4125,38583.0
2019-08-08,8.4999,8.6658,8.4999,8.5086,22674.0
2019-08-09,8.5697,8.5697,8.43,8.4474,18112.0
2019-08-10,8.5697,8.5697,8.43,8.4474,18112.0
2019-08-11,8.5697,8.5697,8.43,8.4474,18112.0
2019-08-12,8.43,8.4737,8.2465,8.2902,12879.0
2019-08-13,8.3426,8.5261,8.3426,8.43,8658.0
2019-08-14,8.3251,8.3251,8.1941,8.1941,12125.0
2019-08-15,8.2902,8.3514,8.2378,8.264,7590.0
2019-08-16,8.3863,8.3863,8.133,8.133,14088.0
2019-08-17,8.3863,8.3863,8.133,8.133,14088.0
2019-08-18,8.3863,8.3863,8.133,8.133,14088.0
2019-08-19,8.229,8.3863,8.2028,8.2727,30730.0
2019-08-20,8.4045,8.4045,8.1234,8.1673,8729.0
2019-08-21,8.141,8.2727,8.141,8.2288,7419.0
2019-08-22,8.4132,8.4132,8.1761,8.1849,8279.0
2019-08-23,8.3781,8.3781,7.8073,7.8073,13158.0
2019-08-24,8.3781,8.3781,7.8073,7.8073,13158.0
2019-08-25,8.3781,8.3781,7.8073,7.8073,13158.0
2019-08-26,7.9039,7.9258,7.7722,7.8863,19639.0
2019-08-27,7.8863,7.8863,7.4384,7.5175,15008.0
2019-08-28,7.4823,7.6404,7.4823,7.6316,20904.0
2019-08-29,7.6316,7.6316,7.5702,7.5789,18342.0
2019-08-30,7.7282,7.7282,7.6053,7.6053,14645.0
2019-08-31,7.7282,7.7282,7.6053,7.6053,14645.0
2019-09-01,7.7282,7.7282,7.6053,7.6053,14645.0
2019-09-02,7.7282,7.7282,7.6053,7.6053,14645.0
2019-09-03,7.5438,8.0093,7.5175,7.9039,41228.0
2019-09-04,7.8161,8.0005,7.8161,7.86,25171.0
2019-09-05,8.0356,8.0576,7.9741,8.0268,6252.0
2019-09-06,8.141,8.141,7.9039,7.9829,8950.0
2019-09-07,8.141,8.141,7.9039,7.9829,8950.0
2019-09-08,8.141,8.141,7.9039,7.9829,8950.0
2019-09-09,8.0356,8.0795,7.9214,7.9829,7577.0
2019-09-10,7.9127,8.062,7.9127,7.9741,15864.0
2019-09-11,8.1059,8.1673,7.9917,8.1673,24030.0
2019-09-12,8.1059,8.3957,8.1059,8.343,47281.0
2019-09-13,8.4396,8.624,8.4396,8.5538,9209.0
2019-09-14,8.4396,8.624,8.4396,8.5538,9209.0
2019-09-15,8.4396,8.624,8.4396,8.5538,9209.0
2019-09-16,8.545,8.6416,8.4659,8.4659,14833.0
2019-09-17,8.3869,8.6328,8.3693,8.6328,14582.0
2019-09-18,8.501,8.6679,8.501,8.624,9128.0
2019-09-19,8.5098,8.7557,8.5098,8.6328,10419.0
2019-09-20,8.7294,8.7733,8.5186,8.5186,23360.0
2019-09-21,8.7294,8.7733,8.5186,8.5186,23360.0
2019-09-22,8.7294,8.7733,8.5186,8.5186,23360.0
2019-09-23,8.5011,8.7844,8.5011,8.6855,8573.0
2019-09-24,8.6679,8.7118,8.545,8.545,13992.0
2019-09-25,8.6152,8.7118,8.6064,8.6064,13875.0
2019-09-26,8.7206,8.7206,8.5362,8.5362,8970.0
2019-09-27,8.624,8.6591,8.5362,8.5538,8528.0
2019-09-28,8.624,8.6591,8.5362,8.5538,8528.0
2019-09-29,8.624,8.6591,8.5362,8.5538,8528.0
2019-09-30,8.5098,8.8611,8.5098,8.8611,11500.0
2019-10-01,8.8699,8.8699,8.7206,8.7645,11748.0
2019-10-02,8.7557,8.7557,8.5011,8.5011,6774.0
2019-10-03,8.5069,8.5713,8.4132,8.4923,11268.0
2019-10-04,8.6416,8.6416,8.5362,8.5625,3496.0
2019-10-05,8.6416,8.6416,8.5362,8.5625,3496.0
2019-10-06,8.6416,8.6416,8.5362,8.5625,3496.0
2019-10-07,8.6591,8.6591,8.4923,8.4923,5545.0
2019-10-08,8.5011,8.5362,8.3869,8.5186,5177.0
2019-10-09,8.6328,8.6328,8.3342,8.3342,10056.0
2019-10-10,8.5098,8.5098,8.2727,8.2727,7535.0
2019-10-11,8.4396,8.4659,8.343,8.343,8126.0
2019-10-12,8.4396,8.4659,8.343,8.343,8126.0
2019-10-13,8.4396,8.4659,8.343,8.343,8126.0
2019-10-14,8.1707,8.4484,8.1673,8.2991,8808.0
2019-10-15,8.343,8.3825,8.1147,8.1673,9900.0
2019-10-16,8.1586,8.2288,8.0707,8.22,12362.0
2019-10-17,8.1849,8.2288,8.0883,8.0883,8747.0
2019-10-18,8.0883,8.2025,8.0883,8.1234,7621.0
2019-10-19,8.0883,8.2025,8.0883,8.1234,7621.0
2019-10-20,8.0883,8.2025,8.0883,8.1234,7621.0
2019-10-21,8.1673,8.4045,8.1366,8.3693,3483.0
2019-10-22,8.3606,8.3606,8.2464,8.2552,7238.0
2019-10-23,8.2639,8.444,8.1673,8.2113,13118.0
2019-10-24,8.2376,8.343,8.2376,8.343,5544.0
2019-10-25,8.2376,8.2991,8.2376,8.2464,1937.0
2019-10-26,8.2376,8.2991,8.2376,8.2464,1937.0
2019-10-27,8.2376,8.2991,8.2376,8.2464,1937.0
2019-10-28,8.2332,8.3342,8.1673,8.1673,6017.0
2019-10-29,8.1673,8.2815,8.1498,8.1673,3818.0
2019-10-30,8.2288,8.2288,8.141,8.2025,2711.0
2019-10-31,8.141,8.2113,8.1147,8.1673,7623.0
2019-11-01,8.1322,8.1937,8.1322,8.1498,2657.0
2019-11-02,8.1322,8.1937,8.1322,8.1498,2657.0
2019-11-03,8.1322,8.1937,8.1322,8.1498,2657.0
2019-11-04,8.1234,8.141,8.04,8.1059,6261.0
2019-11-05,7.8951,8.018,7.8512,8.018,6544.0
2019-11-06,7.9478,8.141,7.9214,8.0971,2098.0
2019-11-07,8.191,8.5098,8.1852,8.4747,6656.0
2019-11-08,8.4524,8.4835,8.3869,8.4835,9375.0
2019-11-09,8.4524,8.4835,8.3869,8.4835,9375.0
2019-11-10,8.4524,8.4835,8.3869,8.4835,9375.0
2019-11-11,8.5538,8.5625,8.4308,8.5186,8345.0
2019-11-12,8.5701,8.6328,8.5701,8.6064,3645.0
2019-11-13,8.6064,9.4759,8.6064,8.7821,22531.0
2019-11-14,8.7382,8.9665,8.7382,8.905,8627.0
2019-11-15,8.8875,8.9402,8.8699,8.905,7685.0
2019-11-16,8.8875,8.9402,8.8699,8.905,7685.0
2019-11-17,8.8875,8.9402,8.8699,8.905,7685.0
2019-11-18,8.8256,8.9403,8.7903,8.9227,23887.0
2019-11-19,8.7462,9.0021,8.7462,8.9756,4645.0
2019-11-20,8.9756,9.2228,8.9227,8.9668,20197.0
2019-11-21,8.8168,8.9315,8.7903,8.8256,18632.0
2019-11-22,8.8521,8.9403,8.8521,8.9139,3903.0
2019-11-23,8.8521,8.9403,8.8521,8.9139,3903.0
2019-11-24,8.8521,8.9403,8.8521,8.9139,3903.0
2019-11-25,9.0374,9.108,8.8962,8.9139,16131.0
2019-11-26,8.7727,9.0198,8.7727,8.9139,2311.0
2019-11-27,9.0904,9.0904,8.914,8.9403,3775.0
2019-11-28,9.0904,9.0904,8.914,8.9403,3775.0
2019-11-29,9.0904,9.0904,8.8344,8.9227,937.0
2019-11-30,9.0904,9.0904,8.8344,8.9227,937.0
2019-12-01,9.0904,9.0904,8.8344,8.9227,937.0
2019-12-02,8.7462,8.9756,8.7109,8.905,33673.0
2019-12-03,8.8256,8.8433,8.7374,8.8256,6761.0
2019-12-04,9.0551,9.0551,8.7638,8.7638,5343.0
2019-12-05,8.8571,8.8697,8.8256,8.8256,3980.0
2019-12-06,8.5961,8.9403,8.5961,8.8874,4102.0
2019-12-07,8.5961,8.9403,8.5961,8.8874,4102.0
2019-12-08,8.5961,8.9403,8.5961,8.8874,4102.0
2019-12-09,9.0816,9.0816,8.8256,8.8256,3432.0
2019-12-10,8.883,9.0145,8.8742,8.9756,5114.0
2019-12-11,9.0374,9.0639,8.9668,9.0198,3320.0
2019-12-12,9.0551,9.3154,9.0551,9.2757,5923.0
2019-12-13,9.2845,9.2845,9.1875,9.1963,7841.0
2019-12-14,9.2845,9.2845,9.1875,9.1963,7841.0
2019-12-15,9.2845,9.2845,9.1875,9.1963,7841.0
2019-12-16,9.4346,9.4346,9.311,9.3463,7781.0
2019-12-17,9.3506,9.3904,9.2669,9.2669,2580.0
2019-12-18,9.2007,9.2581,9.2007,9.2051,3548.0
2019-12-19,9.2051,9.236,9.0021,9.0021,6054.0
2019-12-20,8.905,9.1698,8.8433,9.0639,44468.0
2019-12-21,8.905,9.1698,8.8433,9.0639,44468.0
2019-12-22,8.905,9.1698,8.8433,9.0639,44468.0
2019-12-23,8.9933,9.0109,8.7462,8.7462,15128.0
2019-12-24,8.6932,8.8521,8.6932,8.7727,3271.0
2019-12-25,8.6932,8.8521,8.6932,8.7727,3271.0
2019-12-26,8.9227,8.9227,8.755,8.7903,8565.0
2019-12-27,8.7021,8.9492,8.7021,8.8697,6721.0
2019-12-28,8.7021,8.9492,8.7021,8.8697,6721.0
2019-12-29,8.7021,8.9492,8.7021,8.8697,6721.0
2019-12-30,8.9139,8.9139,8.7291,8.8344,47069.0
2019-12-31,8.958,9.0198,8.9315,8.958,4997.0
2020-01-01,8.958,9.0198,8.9315,8.958,4997.0
2020-01-02,8.9139,9.0374,8.7285,8.7285,7868.0
2020-01-03,8.6403,8.7727,8.6359,8.7462,9986.0
2020-01-04,8.6403,8.7727,8.6359,8.7462,9986.0
2020-01-05,8.6403,8.7727,8.6359,8.7462,9986.0
2020-01-06,8.6403,8.7197,8.6403,8.6579,983.0
2020-01-07,8.6491,8.7514,8.6491,8.7109,14663.0
2020-01-08,8.6932,8.7021,8.6579,8.6579,1609.0
2020-01-09,8.6491,8.7903,8.6491,8.7285,5575.0
2020-01-10,8.8521,8.8521,8.0754,8.0754,61638.0
2020-01-11,8.8521,8.8521,8.0754,8.0754,61638.0
2020-01-12,8.8521,8.8521,8.0754,8.0754,61638.0
2020-01-13,8.2078,8.2288,8.0313,8.0313,17922.0
2020-01-14,7.9784,8.1813,7.9755,8.1284,10187.0
2020-01-15,8.2078,8.2608,8.1372,8.1637,9002.0
2020-01-16,8.2608,8.3902,8.2608,8.3902,3578.0
2020-01-17,8.349,8.4285,8.3402,8.3843,19225.0
2020-01-18,8.349,8.4285,8.3402,8.3843,19225.0
2020-01-19,8.349,8.4285,8.3402,8.3843,19225.0
2020-01-20,8.349,8.4285,8.3402,8.3843,19225.0
2020-01-21,8.3226,8.4373,8.3226,8.4373,8545.0
2020-01-22,8.4991,8.4991,8.4163,8.4549,19909.0
2020-01-23,8.402,8.5079,8.402,8.4285,17964.0
2020-01-24,8.3843,8.5167,8.3843,8.4726,29578.0
2020-01-25,8.3843,8.5167,8.3843,8.4726,29578.0
2020-01-26,8.3843,8.5167,8.3843,8.4726,29578.0
2020-01-27,7.7489,7.9545,7.1311,7.4753,50682.0
2020-01-28,7.5282,7.5812,7.5106,7.5724,1732.0
2020-01-29,7.6077,7.6077,7.2988,7.2988,2840.0
2020-01-30,7.2547,7.4223,7.2105,7.2105,4490.0
2020-01-31,7.1752,7.2007,7.0517,7.0517,3985.0
2020-02-01,7.1752,7.2007,7.0517,7.0517,3985.0
2020-02-02,7.1752,7.2007,7.0517,7.0517,3985.0
2020-02-03,7.1223,7.3076,7.0693,7.2282,4583.0
2020-02-04,7.3076,7.387,7.2105,7.3341,10747.0
2020-02-05,7.3341,7.6253,7.3341,7.6253,6216.0
2020-02-06,7.5989,7.618,7.5371,7.5371,3277.0
2020-02-07,7.387,7.5018,7.387,7.4929,1611.0
2020-02-08,7.387,7.5018,7.387,7.4929,1611.0
2020-02-09,7.387,7.5018,7.387,7.4929,1611.0
2020-02-10,7.5194,7.5372,7.4223,7.4665,6488.0
2020-02-11,7.4135,7.4135,7.3606,7.387,3934.0
2020-02-12,7.3429,7.3694,7.2723,7.3253,57922.0
2020-02-13,7.3266,7.3266,7.3266,7.3266,956.0
2020-02-14,7.3394,7.4081,7.3341,7.3341,13248.0
2020-02-15,7.3394,7.4081,7.3341,7.3341,13248.0
2020-02-16,7.3394,7.4081,7.3341,7.3341,13248.0
2020-02-17,7.3394,7.4081,7.3341,7.3341,13248.0
2020-02-18,7.387,7.387,7.2193,7.3253,19987.0
2020-02-19,7.2723,7.3782,7.2723,7.3253,49444.0
2020-02-20,7.29,7.29,7.1752,7.1885,5639.0
2020-02-21,7.1223,7.2458,6.8839,6.884,8474.0
2020-02-22,7.1223,7.2458,6.8839,6.884,8474.0
2020-02-23,7.1223,7.2458,6.8839,6.884,8474.0
2020-02-24,6.6457,6.8134,6.6457,6.7692,15263.0
2020-02-25,6.7163,6.8134,6.7163,6.7251,13628.0
2020-02-26,6.7784,6.8673,6.5297,6.5474,6325.0
2020-02-27,6.5119,6.5119,6.3076,6.3165,12502.0
2020-02-28,6.2187,6.2276,6.0677,6.0677,18782.0
2020-02-29,6.2187,6.2276,6.0677,6.0677,18782.0
2020-03-01,6.2187,6.2276,6.0677,6.0677,18782.0
2020-03-02,6.0411,6.2632,6.0411,6.2187,4922.0
2020-03-03,6.2543,6.2631,5.9878,6.0144,4462.0
2020-03-04,6.0411,6.0944,6.0411,6.0855,6895.0
2020-03-05,6.0855,6.0855,5.8545,5.9433,35425.0
2020-03-06,5.819,6.6274,5.819,6.5297,24435.0
2020-03-07,5.819,6.6274,5.819,6.5297,24435.0
2020-03-08,5.819,6.6274,5.819,6.5297,24435.0
2020-03-09,6.7873,6.7873,5.9034,6.0411,21972.0
2020-03-10,6.272,6.4142,6.0988,6.1121,55804.0
2020-03-11,5.9611,6.0944,5.5969,5.97,105756.0
2020-03-12,5.6413,5.7942,5.3925,5.3925,23862.0
2020-03-13,5.6857,5.8723,5.4458,5.8545,15831.0
2020-03-14,5.6857,5.8723,5.4458,5.8545,15831.0
