,RS US Equity,RS US Equity,RS US Equity,RS US Equity,RS US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2021-09-29,142.0282,142.4505,138.1259,138.8424,315538.0
2021-09-30,139.9747,140.9439,136.2899,136.6642,455091.0
2021-10-01,136.6642,138.6313,133.9773,137.4702,299473.0
2021-10-02,136.6642,138.6313,133.9773,137.4702,299473.0
2021-10-03,136.6642,138.6313,133.9773,137.4702,299473.0
2021-10-04,138.4202,140.2638,137.048,137.1919,334511.0
2021-10-05,137.0,139.399,135.5223,137.9212,247873.0
2021-10-06,135.7142,136.3667,133.4016,135.4743,292307.0
2021-10-07,137.499,139.447,136.7121,136.8945,261948.0
2021-10-08,137.0096,137.7101,135.7813,135.9253,186839.0
2021-10-09,137.0096,137.7101,135.7813,135.9253,186839.0
2021-10-10,137.0096,137.7101,135.7813,135.9253,186839.0
2021-10-11,137.6621,140.1858,137.5566,138.1995,302298.0
2021-10-12,138.353,139.7636,137.9356,138.2571,222781.0
2021-10-13,138.6601,139.5333,136.7217,138.9192,237263.0
2021-10-14,141.9995,143.3333,140.0803,140.349,371564.0
2021-10-15,141.1454,143.4292,141.0878,141.6156,318059.0
2021-10-16,141.1454,143.4292,141.0878,141.6156,318059.0
2021-10-17,141.1454,143.4292,141.0878,141.6156,318059.0
2021-10-18,140.2146,143.2565,139.0151,142.5656,428103.0
2021-10-19,142.6712,143.2661,141.0303,141.606,300228.0
2021-10-20,140.8671,144.3504,140.1187,143.3237,266614.0
2021-10-21,140.9727,142.4217,139.4822,142.3641,320369.0
2021-10-22,143.554,144.7289,142.9302,143.2565,210890.0
2021-10-23,143.554,144.7289,142.9302,143.2565,210890.0
2021-10-24,143.554,144.7289,142.9302,143.2565,210890.0
2021-10-25,144.0913,147.4211,143.6307,146.6726,276031.0
2021-10-26,146.3464,147.2868,144.6335,145.0317,231383.0
2021-10-27,143.41,144.7055,138.1131,138.1611,415775.0
2021-10-28,137.3359,141.0495,136.9712,138.4586,453309.0
2021-10-29,139.0343,141.9035,139.0343,140.253,421958.0
2021-10-30,139.0343,141.9035,139.0343,140.253,421958.0
2021-10-31,139.0343,141.9035,139.0343,140.253,421958.0
2021-11-01,142.2585,143.506,138.8904,143.1893,436358.0
2021-11-02,142.4984,144.5519,142.4984,144.3792,440848.0
2021-11-03,144.5711,149.6857,144.1297,149.1388,506569.0
2021-11-04,152.363,155.1458,152.363,154.3109,569466.0
2021-11-05,154.8867,156.8538,154.8867,156.6907,437677.0
2021-11-06,154.8867,156.8538,154.8867,156.6907,437677.0
2021-11-07,154.8867,156.8538,154.8867,156.6907,437677.0
2021-11-08,159.0321,161.0184,157.751,158.274,423468.0
2021-11-09,157.5639,159.3296,157.4968,159.272,383894.0
2021-11-10,158.3508,159.6654,157.0937,157.2856,387070.0
2021-11-11,158.3412,160.0972,158.1973,159.6942,272138.0
2021-11-12,159.6846,161.0472,159.0993,160.0876,236233.0
2021-11-13,159.6846,161.0472,159.0993,160.0876,236233.0
2021-11-14,159.6846,161.0472,159.0993,160.0876,236233.0
2021-11-15,159.6558,160.1836,158.0629,158.3892,259373.0
2021-11-16,158.8306,159.7518,157.9142,158.8786,356445.0
2021-11-17,156.8922,158.5331,152.6365,152.8236,487724.0
2021-11-18,153.1296,155.4233,152.2815,154.5752,220481.0
2021-11-19,154.3728,157.6544,153.997,155.8377,246924.0
2021-11-20,154.3728,157.6544,153.997,155.8377,246924.0
2021-11-21,154.3728,157.6544,153.997,155.8377,246924.0
2021-11-22,155.7895,160.8877,155.6932,158.0543,341156.0
2021-11-23,158.9603,160.7275,157.0038,158.0351,233766.0
2021-11-24,158.1507,159.0084,155.5293,155.9148,192116.0
2021-11-25,158.1507,159.0084,155.5293,155.9148,192116.0
2021-11-26,150.0745,153.8339,149.1686,152.4646,148811.0
2021-11-27,150.0745,153.8339,149.1686,152.4646,148811.0
2021-11-28,150.0745,153.8339,149.1686,152.4646,148811.0
2021-11-29,154.0162,154.1801,150.6696,151.1443,306245.0
2021-11-30,150.5082,151.1443,142.7404,143.2416,621871.0
2021-12-01,145.41,149.5445,143.9644,144.0415,400975.0
2021-12-02,145.4678,150.3926,144.8221,147.8386,324749.0
2021-12-03,148.1374,149.7083,144.3884,145.9015,334482.0
2021-12-04,148.1374,149.7083,144.3884,145.9015,334482.0
2021-12-05,148.1374,149.7083,144.3884,145.9015,334482.0
2021-12-06,146.6339,149.2746,145.3136,148.3783,405341.0
2021-12-07,150.4986,153.8428,150.4986,151.4527,286049.0
2021-12-08,152.4742,152.8597,150.5468,151.3081,204149.0
2021-12-09,150.0071,152.3008,148.4651,151.1732,243185.0
2021-12-10,153.1971,153.1971,150.5853,152.4357,232972.0
2021-12-11,153.1971,153.1971,150.5853,152.4357,232972.0
2021-12-12,153.1971,153.1971,150.5853,152.4357,232972.0
2021-12-13,153.7078,153.7078,150.1998,150.8166,438761.0
2021-12-14,151.3081,154.1584,150.7588,151.2214,367006.0
2021-12-15,149.8914,150.1516,146.6821,149.7276,282690.0
2021-12-16,151.6165,155.7606,149.9492,152.1562,333267.0
2021-12-17,151.4719,154.5752,150.2432,153.4669,707430.0
2021-12-18,151.4719,154.5752,150.2432,153.4669,707430.0
2021-12-19,151.4719,154.5752,150.2432,153.4669,707430.0
2021-12-20,152.1177,152.1273,146.0942,147.8772,295241.0
2021-12-21,148.7831,150.3729,148.4446,149.7854,196796.0
2021-12-22,150.1516,152.3971,148.9951,152.0309,196521.0
2021-12-23,152.3971,153.4814,151.4238,152.9176,197540.0
2021-12-24,152.3971,153.4814,151.4238,152.9176,197540.0
2021-12-25,152.3971,153.4814,151.4238,152.9176,197540.0
2021-12-26,152.3971,153.4814,151.4238,152.9176,197540.0
2021-12-27,152.455,155.4811,150.7588,155.298,193244.0
2021-12-28,154.5367,155.8666,154.1704,155.5197,135072.0
2021-12-29,154.8451,157.1773,154.5848,156.7051,104643.0
2021-12-30,157.717,158.3724,155.1824,155.6161,137755.0
2021-12-31,155.7221,157.2062,153.9006,156.3389,152713.0
2022-01-01,155.7221,157.2062,153.9006,156.3389,152713.0
2022-01-02,155.7221,157.2062,153.9006,156.3389,152713.0
2022-01-03,156.946,158.2856,155.0667,155.4329,173639.0
2022-01-04,156.8015,159.7843,156.4931,157.6399,212090.0
2022-01-05,159.1241,164.55,158.0543,160.7046,295760.0
2022-01-06,161.9768,161.9768,157.9098,159.4903,230263.0
2022-01-07,160.801,161.201,158.2374,160.4926,216204.0
2022-01-08,160.801,161.201,158.2374,160.4926,216204.0
2022-01-09,160.801,161.201,158.2374,160.4926,216204.0
2022-01-10,160.0493,162.0153,155.7751,156.5123,400769.0
2022-01-11,155.5197,158.3338,152.9079,158.2278,222541.0
2022-01-12,160.7239,162.4201,159.9047,161.6395,353811.0
2022-01-13,161.9671,163.7163,158.9121,159.5867,254692.0
2022-01-14,157.9869,160.6083,157.9483,160.2999,169367.0
2022-01-15,157.9869,160.6083,157.9483,160.2999,169367.0
2022-01-16,157.9869,160.6083,157.9483,160.2999,169367.0
2022-01-17,157.9869,160.6083,157.9483,160.2999,169367.0
2022-01-18,158.8157,158.8157,156.1076,157.958,190117.0
2022-01-19,162.0057,162.0057,156.7629,157.7652,269692.0
2022-01-20,157.1966,160.4733,154.7198,154.9029,358047.0
2022-01-21,154.0837,154.0837,144.957,145.3714,445038.0
2022-01-22,154.0837,154.0837,144.957,145.3714,445038.0
2022-01-23,154.0837,154.0837,144.957,145.3714,445038.0
2022-01-24,142.6922,147.4965,140.9382,146.6918,451464.0
2022-01-25,144.3499,146.7785,140.4997,146.0268,413392.0
2022-01-26,147.6266,149.1781,142.3935,143.656,476181.0
2022-01-27,145.4774,148.4169,143.5885,145.1401,421851.0
2022-01-28,147.058,147.058,142.4416,146.0942,398315.0
2022-01-29,147.058,147.058,142.4416,146.0942,398315.0
2022-01-30,147.058,147.058,142.4416,146.0942,398315.0
2022-01-31,146.4316,147.5158,145.169,147.3375,539214.0
2022-02-01,149.4866,153.4669,148.6385,152.7152,277557.0
2022-02-02,152.4261,155.3655,151.5683,154.2475,325777.0
2022-02-03,153.9777,156.5702,152.2429,153.9584,160357.0
2022-02-04,153.0236,155.3944,150.4022,150.4793,299847.0
2022-02-05,153.0236,155.3944,150.4022,150.4793,299847.0
2022-02-06,153.0236,155.3944,150.4022,150.4793,299847.0
2022-02-07,151.549,151.549,147.4917,148.4554,428941.0
2022-02-08,149.5252,153.3609,149.1551,153.2452,526097.0
2022-02-09,153.9777,158.17,152.4646,157.2351,250227.0
2022-02-10,154.7487,159.4614,154.421,155.0378,222825.0
2022-02-11,153.5536,157.2689,152.6285,155.0378,270501.0
2022-02-12,153.5536,157.2689,152.6285,155.0378,270501.0
2022-02-13,153.5536,157.2689,152.6285,155.0378,270501.0
2022-02-14,155.6835,156.9846,153.7849,155.9823,337470.0
2022-02-15,157.0809,161.4756,155.08,160.6564,354785.0
2022-02-16,160.8492,163.2586,160.0107,162.1021,304150.0
2022-02-17,166.4967,173.561,166.4967,167.4412,658857.0
2022-02-18,166.9786,170.0048,165.7643,168.6073,465747.0
2022-02-19,166.9786,170.0048,165.7643,168.6073,465747.0
2022-02-20,166.9786,170.0048,165.7643,168.6073,465747.0
2022-02-21,166.9786,170.0048,165.7643,168.6073,465747.0
2022-02-22,170.8143,173.4839,168.299,168.3182,560782.0
2022-02-23,169.1856,170.5059,165.9715,166.41,393105.0
2022-02-24,161.6973,167.2003,159.7794,166.7088,397983.0
2022-02-25,168.3279,176.9148,168.3182,176.7703,562638.0
2022-02-26,168.3279,176.9148,168.3182,176.7703,562638.0
2022-02-27,168.3279,176.9148,168.3182,176.7703,562638.0
2022-02-28,175.1994,184.22,175.0355,183.9502,1044308.0
2022-03-01,183.8731,187.8437,176.0619,180.394,646651.0
2022-03-02,181.483,184.0755,179.2471,182.3504,543678.0
2022-03-03,183.8924,185.0681,178.6303,183.1406,584669.0
2022-03-04,181.9552,182.6058,177.628,182.0131,398292.0
2022-03-05,181.9552,182.6058,177.628,182.0131,398292.0
2022-03-06,181.9552,182.6058,177.628,182.0131,398292.0
2022-03-07,182.0131,184.7019,176.7365,177.9942,476230.0
2022-03-08,176.6354,178.6978,172.1443,175.4114,444176.0
2022-03-09,176.1438,183.4779,174.6308,182.1576,534776.0
2022-03-10,181.6783,184.0988,177.815,182.2883,429229.0
2022-03-11,181.901,184.5249,178.9188,182.2495,634482.0
2022-03-12,181.901,184.5249,178.9188,182.2495,634482.0
2022-03-13,181.901,184.5249,178.9188,182.2495,634482.0
2022-03-14,182.2011,184.6701,179.219,181.7073,367434.0
2022-03-15,179.0931,184.612,178.9285,184.002,391544.0
2022-03-16,186.3161,188.4752,180.6035,183.4501,401912.0
2022-03-17,183.6535,186.5388,182.8789,184.9606,445274.0
2022-03-18,183.8665,185.9482,181.5427,185.4156,733876.0
2022-03-19,183.8665,185.9482,181.5427,185.4156,733876.0
2022-03-20,183.8665,185.9482,181.5427,185.4156,733876.0
2022-03-21,189.182,192.1351,186.258,188.5236,450412.0
2022-03-22,189.2692,190.6925,187.4489,189.0755,391946.0
2022-03-23,188.94,189.8404,186.5388,188.1654,484693.0
2022-03-24,189.6855,190.7022,187.2892,189.0852,423230.0
2022-03-25,189.4822,189.6565,187.507,188.7367,404269.0
2022-03-26,189.4822,189.6565,187.507,188.7367,404269.0
2022-03-27,189.4822,189.6565,187.507,188.7367,404269.0
2022-03-28,187.6619,187.6619,183.0193,184.8831,607319.0
2022-03-29,183.2178,183.2178,175.3001,179.3642,852519.0
2022-03-30,180.9715,181.6492,177.147,178.8123,588493.0
2022-03-31,178.2411,181.4943,177.0501,177.5246,528429.0
2022-04-01,178.5315,181.1167,176.3869,178.8995,385605.0
2022-04-02,178.5315,181.1167,176.3869,178.8995,385605.0
2022-04-03,178.5315,181.1167,176.3869,178.8995,385605.0
2022-04-04,178.8995,179.0704,174.8039,176.4111,330838.0
2022-04-05,175.5688,177.6214,172.8674,173.3128,400241.0
2022-04-06,173.245,174.8039,170.989,173.1482,612641.0
2022-04-07,172.635,173.6807,170.3597,172.7803,258361.0
2022-04-08,173.8937,175.2105,171.9766,173.6613,283034.0
2022-04-09,173.8937,175.2105,171.9766,173.6613,283034.0
2022-04-10,173.8937,175.2105,171.9766,173.6613,283034.0
