,CUROQ US Equity,CUROQ US Equity,CUROQ US Equity,CUROQ US Equity,CUROQ US Equity
2019-02-06,10.8171,10.8171,10.1278,10.284,589123.0
2019-02-07,10.2473,10.2473,9.6591,9.9532,280888.0
2019-02-08,9.8613,9.9072,9.4753,9.898,219144.0
2019-02-09,9.8613,9.9072,9.4753,9.898,219144.0
2019-02-10,9.8613,9.9072,9.4753,9.898,219144.0
2019-02-11,10.0543,10.2748,9.7602,9.9716,411906.0
2019-02-12,10.1094,10.4495,10.0451,10.1094,231315.0
2019-02-13,10.1737,10.2657,10.0313,10.137,124818.0
2019-02-14,10.1094,10.2105,9.9716,10.0635,117871.0
2019-02-15,10.1737,10.2289,10.0083,10.1094,266663.0
2019-02-16,10.1737,10.2289,10.0083,10.1094,266663.0
2019-02-17,10.1737,10.2289,10.0083,10.1094,266663.0
2019-02-18,10.1737,10.2289,10.0083,10.1094,266663.0
2019-02-19,10.1094,10.3484,10.0451,10.2657,307818.0
2019-02-20,10.3024,10.7344,10.2473,10.2473,333637.0
2019-02-21,10.2105,10.284,9.7142,9.7602,171055.0
2019-02-22,9.7969,9.9532,9.5764,9.8705,736116.0
2019-02-23,9.7969,9.9532,9.5764,9.8705,736116.0
2019-02-24,9.7969,9.9532,9.5764,9.8705,736116.0
2019-02-25,10.0267,10.2473,9.5856,9.6131,438097.0
2019-02-26,9.5856,9.6729,8.7998,8.9239,578351.0
2019-02-27,8.933,9.1464,8.4276,9.0617,281917.0
2019-02-28,9.1812,10.2748,9.172,10.1278,438557.0
2019-03-01,10.1829,10.6516,9.9808,10.5506,274160.0
2019-03-02,10.1829,10.6516,9.9808,10.5506,274160.0
2019-03-03,10.1829,10.6516,9.9808,10.5506,274160.0
2019-03-04,10.5597,10.5689,10.1002,10.2013,453290.0
2019-03-05,10.2197,10.2381,9.5948,9.9532,186465.0
2019-03-06,9.8797,9.9083,9.319,9.4109,193786.0
2019-03-07,9.3926,9.3926,8.74,8.7952,211765.0
2019-03-08,8.7033,8.8595,8.5103,8.7676,168606.0
2019-03-09,8.7033,8.8595,8.5103,8.7676,168606.0
2019-03-10,8.7033,8.8595,8.5103,8.7676,168606.0
2019-03-11,8.8228,9.0066,8.6665,8.9882,123253.0
2019-03-12,8.979,9.2271,8.9239,9.1904,127515.0
2019-03-13,9.2547,9.558,9.1996,9.3007,104696.0
2019-03-14,9.319,9.466,9.1077,9.2088,100692.0
2019-03-15,9.2363,10.523,9.0985,10.33,1042827.0
2019-03-16,9.2363,10.523,9.0985,10.33,1042827.0
2019-03-17,9.2363,10.523,9.0985,10.33,1042827.0
2019-03-18,10.3116,10.3667,9.8521,9.8888,159242.0
2019-03-19,9.9716,10.0267,9.4569,9.6039,138340.0
2019-03-20,9.6039,9.9624,9.4845,9.6775,154647.0
2019-03-21,9.6315,9.7969,9.5304,9.7878,130322.0
2019-03-22,9.6499,9.6958,8.7987,8.8963,143070.0
2019-03-23,9.6499,9.6958,8.7987,8.8963,143070.0
2019-03-24,9.6499,9.6958,8.7987,8.8963,143070.0
2019-03-25,8.9147,9.0893,8.7492,8.8595,131395.0
2019-03-26,8.8411,8.9836,8.7309,8.8595,116968.0
2019-03-27,8.8595,8.979,8.6941,8.8963,82601.0
2019-03-28,8.9055,9.2088,8.9055,9.1169,84282.0
2019-03-29,9.1904,9.4615,9.0433,9.2179,145323.0
2019-03-30,9.1904,9.4615,9.0433,9.2179,145323.0
2019-03-31,9.1904,9.4615,9.0433,9.2179,145323.0
2019-04-01,9.2823,9.4615,9.0985,9.2823,89762.0
2019-04-02,9.2363,9.365,8.9239,9.2271,85265.0
2019-04-03,9.2823,9.8337,9.2455,9.705,117401.0
2019-04-04,9.6867,9.8797,9.6039,9.8705,85252.0
2019-04-05,9.9164,10.6241,9.9072,10.0635,231487.0
2019-04-06,9.9164,10.6241,9.9072,10.0635,231487.0
2019-04-07,9.9164,10.6241,9.9072,10.0635,231487.0
2019-04-08,9.9808,10.3943,9.8521,10.3484,116749.0
2019-04-09,10.2565,10.2565,9.7602,9.8521,86226.0
2019-04-10,9.8153,10.1829,9.8153,10.1462,73894.0
2019-04-11,10.1462,10.3667,10.0451,10.1829,48524.0
2019-04-12,10.284,10.4541,10.0589,10.1646,63210.0
2019-04-13,10.284,10.4541,10.0589,10.1646,63210.0
2019-04-14,10.284,10.4541,10.0589,10.1646,63210.0
2019-04-15,10.1554,10.1554,9.751,10.1094,92287.0
2019-04-16,10.1462,10.3392,9.9991,10.1921,104055.0
2019-04-17,9.9991,10.3461,9.9164,9.9256,122171.0
2019-04-18,9.898,10.1554,9.5304,10.1186,140113.0
2019-04-19,9.898,10.1554,9.5304,10.1186,140113.0
2019-04-20,9.898,10.1554,9.5304,10.1186,140113.0
2019-04-21,9.898,10.1554,9.5304,10.1186,140113.0
2019-04-22,10.1737,10.5597,9.8153,10.4403,188006.0
2019-04-23,10.5781,10.863,10.3024,10.7711,110411.0
2019-04-24,10.7527,11.2398,10.5965,11.1571,101499.0
2019-04-25,11.1387,11.5064,10.6241,11.4236,120255.0
2019-04-26,11.4328,11.8464,11.4328,11.6534,171018.0
2019-04-27,11.4328,11.8464,11.4328,11.6534,171018.0
2019-04-28,11.4328,11.8464,11.4328,11.6534,171018.0
2019-04-29,11.7545,12.407,11.7177,12.1681,205884.0
2019-04-30,13.4639,13.4639,12.0026,12.2416,639380.0
2019-05-01,12.3243,12.4346,11.3409,11.3869,206154.0
2019-05-02,11.3777,11.9199,11.1479,11.2582,190948.0
2019-05-03,11.3042,11.9291,11.2031,11.7545,117307.0
2019-05-04,11.3042,11.9291,11.2031,11.7545,117307.0
2019-05-05,11.3042,11.9291,11.2031,11.7545,117307.0
2019-05-06,11.3042,11.5247,11.249,11.2582,219068.0
2019-05-07,11.0744,11.1204,10.8355,11.0009,174522.0
2019-05-08,11.0285,11.1387,10.7344,10.7527,173527.0
2019-05-09,10.6057,10.6884,10.2657,10.3667,269571.0
2019-05-10,10.3116,10.7344,10.1278,10.6516,137587.0
2019-05-11,10.3116,10.7344,10.1278,10.6516,137587.0
2019-05-12,10.3116,10.7344,10.1278,10.6516,137587.0
2019-05-13,10.3943,10.5965,9.9532,10.0175,183040.0
2019-05-14,10.1462,10.2381,9.8797,10.0543,479714.0
2019-05-15,9.8888,9.9899,9.7142,9.7234,219433.0
2019-05-16,9.6407,9.7326,9.2455,9.2731,227487.0
2019-05-17,9.172,9.1996,8.8503,8.933,231880.0
2019-05-18,9.172,9.1996,8.8503,8.933,231880.0
2019-05-19,9.172,9.1996,8.8503,8.933,231880.0
2019-05-20,8.9147,9.2731,8.8044,9.025,285300.0
2019-05-21,9.1077,9.1904,8.9698,9.0341,202395.0
2019-05-22,8.9882,8.9882,8.7487,8.832,78051.0
2019-05-23,8.7125,8.8503,8.4305,8.7768,232985.0
2019-05-24,8.8503,9.0525,8.7217,9.0066,154999.0
2019-05-25,8.8503,9.0525,8.7217,9.0066,154999.0
2019-05-26,8.8503,9.0525,8.7217,9.0066,154999.0
2019-05-27,8.8503,9.0525,8.7217,9.0066,154999.0
2019-05-28,9.0158,9.2363,8.8779,9.1812,189774.0
2019-05-29,9.0709,9.2823,8.9055,9.2271,215414.0
2019-05-30,9.2363,9.4779,9.0985,9.1904,138120.0
2019-05-31,8.9882,8.9882,8.5333,8.6114,151529.0
2019-06-01,8.9882,8.9882,8.5333,8.6114,151529.0
2019-06-02,8.9882,8.9882,8.5333,8.6114,151529.0
2019-06-03,8.5838,8.7906,8.5379,8.6849,112796.0
2019-06-04,8.8044,9.172,8.8044,9.1628,80097.0
2019-06-05,9.1904,9.1904,8.6908,8.7309,84681.0
2019-06-06,8.7584,8.8411,8.3682,8.4643,219292.0
2019-06-07,8.5011,8.832,8.3816,8.8044,88344.0
2019-06-08,8.5011,8.832,8.3816,8.8044,88344.0
2019-06-09,8.5011,8.832,8.3816,8.8044,88344.0
2019-06-10,8.8411,9.1904,8.8411,9.1077,156858.0
2019-06-11,9.2088,9.3558,9.0985,9.2731,138303.0
2019-06-12,9.3374,9.4845,9.1582,9.2639,83445.0
2019-06-13,9.3282,9.3282,8.8687,8.9882,113483.0
2019-06-14,8.9882,9.0709,8.8228,8.8963,57292.0
2019-06-15,8.9882,9.0709,8.8228,8.8963,57292.0
2019-06-16,8.9882,9.0709,8.8228,8.8963,57292.0
2019-06-17,8.9239,9.0158,8.7492,8.7676,91557.0
2019-06-18,8.832,9.126,8.6573,8.8044,117585.0
2019-06-19,8.8228,8.9101,8.5746,8.786,115383.0
2019-06-20,8.8044,9.2915,8.7768,9.2455,180218.0
2019-06-21,9.2179,9.3834,8.9606,9.2823,269859.0
2019-06-22,9.2179,9.3834,8.9606,9.2823,269859.0
2019-06-23,9.2179,9.3834,8.9606,9.2823,269859.0
2019-06-24,9.3466,9.6223,8.8595,8.9974,236982.0
2019-06-25,8.9974,9.1444,8.8687,8.8871,183484.0
2019-06-26,8.9239,9.5304,8.8687,9.4018,368538.0
2019-06-27,9.2271,9.9991,9.2271,9.5948,275915.0
2019-06-28,9.705,10.4219,9.6039,10.1554,756821.0
2019-06-29,9.705,10.4219,9.6039,10.1554,756821.0
2019-06-30,9.705,10.4219,9.6039,10.1554,756821.0
2019-07-01,10.4311,10.477,9.9899,10.091,170193.0
2019-07-02,10.091,10.137,9.7418,9.944,167384.0
2019-07-03,9.9716,10.3024,9.9716,10.1737,91896.0
2019-07-04,9.9716,10.3024,9.9716,10.1737,91896.0
2019-07-05,10.1186,10.4127,10.1094,10.2473,134940.0
2019-07-06,10.1186,10.4127,10.1094,10.2473,134940.0
2019-07-07,10.1186,10.4127,10.1094,10.2473,134940.0
2019-07-08,10.1829,10.3851,9.8153,9.8705,196030.0
2019-07-09,9.8245,10.0727,9.751,9.9164,137517.0
2019-07-10,9.9532,10.1554,9.5948,9.7234,131336.0
2019-07-11,9.7878,9.8153,8.9422,9.3466,230575.0
2019-07-12,9.3926,9.8153,9.3926,9.7234,173392.0
2019-07-13,9.3926,9.8153,9.3926,9.7234,173392.0
2019-07-14,9.3926,9.8153,9.3926,9.7234,173392.0
2019-07-15,9.7326,9.7326,9.2363,9.3558,111584.0
2019-07-16,9.3466,9.6335,9.3007,9.365,112422.0
2019-07-17,9.3558,9.4201,8.8411,9.3558,220278.0
2019-07-18,9.3742,9.8061,9.3742,9.6591,207326.0
2019-07-19,9.6407,9.7326,9.512,9.5304,254652.0
2019-07-20,9.6407,9.7326,9.512,9.5304,254652.0
2019-07-21,9.6407,9.7326,9.512,9.5304,254652.0
2019-07-22,9.5856,9.6683,9.4293,9.4385,131613.0
2019-07-23,9.5029,9.6775,9.1352,9.1904,242741.0
2019-07-24,9.1536,9.7878,9.1536,9.705,243879.0
2019-07-25,9.7602,9.7969,9.1997,9.2271,317141.0
2019-07-26,9.1904,9.8245,9.1169,9.5856,283226.0
2019-07-27,9.1904,9.8245,9.1169,9.5856,283226.0
2019-07-28,9.1904,9.8245,9.1169,9.5856,283226.0
2019-07-29,9.6039,9.7969,9.5672,9.6131,349767.0
2019-07-30,10.3851,11.1204,10.2013,10.9825,1086088.0
2019-07-31,11.2123,12.0072,11.0744,11.4145,641302.0
2019-08-01,11.3961,12.0762,11.2904,11.7177,467415.0
2019-08-02,11.6442,11.7591,11.2674,11.6718,314472.0
2019-08-03,11.6442,11.7591,11.2674,11.6718,314472.0
2019-08-04,11.6442,11.7591,11.2674,11.6718,314472.0
2019-08-05,11.4604,12.3059,11.2582,11.9291,314494.0
2019-08-06,11.9659,12.2048,11.5615,11.6166,325159.0
2019-08-07,11.5155,12.0762,11.249,11.9751,344486.0
2019-08-08,12.1221,12.5265,12.0945,12.3519,239448.0
2019-08-09,12.3243,12.5449,12.26,12.2692,171588.0
2019-08-10,12.3243,12.5449,12.26,12.2692,171588.0
2019-08-11,12.3243,12.5449,12.26,12.2692,171588.0
2019-08-12,12.1681,12.5632,12.0026,12.3151,117081.0
2019-08-13,12.5632,13.0136,12.3667,12.5541,247796.0
2019-08-14,12.3243,12.3978,12.0578,12.1497,172400.0
2019-08-15,12.1405,12.2232,11.7177,11.7637,207875.0
2019-08-16,11.7821,12.2508,11.6534,12.1313,244863.0
2019-08-17,11.7821,12.2508,11.6534,12.1313,244863.0
2019-08-18,11.7821,12.2508,11.6534,12.1313,244863.0
2019-08-19,12.3335,12.5632,12.1956,12.2508,256491.0
2019-08-20,12.2416,12.4438,12.1497,12.26,271213.0
2019-08-21,12.4162,13.372,12.3243,13.3628,223833.0
2019-08-22,13.372,13.905,12.8757,13.0044,239140.0
2019-08-23,12.8757,13.4929,12.5541,12.7011,228927.0
2019-08-24,12.8757,13.4929,12.5541,12.7011,228927.0
2019-08-25,12.8757,13.4929,12.5541,12.7011,228927.0
2019-08-26,12.9217,13.179,12.8068,13.0136,203045.0
2019-08-27,13.0871,13.2158,12.4805,12.8298,250928.0
2019-08-28,12.7195,13.0687,12.7195,12.8298,136472.0
2019-08-29,12.9033,13.2617,12.7011,12.839,124436.0
2019-08-30,12.9309,13.1285,12.4622,12.5173,161377.0
2019-08-31,12.9309,13.1285,12.4622,12.5173,161377.0
2019-09-01,12.9309,13.1285,12.4622,12.5173,161377.0
2019-09-02,12.9309,13.1285,12.4622,12.5173,161377.0
2019-09-03,12.407,12.5908,12.1497,12.4254,269455.0
2019-09-04,12.839,13.4088,12.839,13.0963,214453.0
2019-09-05,13.3996,13.905,13.3996,13.5007,164594.0
2019-09-06,13.5466,13.8775,13.1882,13.2066,211452.0
2019-09-07,13.5466,13.8775,13.1882,13.2066,211452.0
2019-09-08,13.5466,13.8775,13.1882,13.2066,211452.0
2019-09-09,13.2985,13.8891,13.2985,13.7304,137952.0
2019-09-10,13.6937,14.0337,13.6937,13.951,136664.0
2019-09-11,14.0705,14.144,13.8131,14.144,143777.0
2019-09-12,14.0613,14.2864,13.8039,14.1532,219493.0
2019-09-13,14.2359,14.677,14.0705,14.0797,237489.0
2019-09-14,14.2359,14.677,14.0705,14.0797,237489.0
2019-09-15,14.2359,14.677,14.0705,14.0797,237489.0
2019-09-16,13.905,14.1348,13.7764,14.0153,195157.0
2019-09-17,13.9326,13.9326,13.1514,13.5282,244410.0
2019-09-18,13.4731,13.5099,12.7746,13.1147,189645.0
2019-09-19,13.032,13.6569,12.9125,12.9401,273909.0
2019-09-20,12.9033,13.2985,12.839,13.0044,303927.0
2019-09-21,12.9033,13.2985,12.839,13.0044,303927.0
2019-09-22,12.9033,13.2985,12.839,13.0044,303927.0
2019-09-23,12.9033,13.1974,12.8206,12.986,136771.0
2019-09-24,12.9584,13.1331,12.2692,12.2875,178505.0
2019-09-25,12.1773,12.7471,12.1681,12.6368,163310.0
2019-09-26,12.6,12.6907,12.2508,12.2967,159126.0
2019-09-27,12.3335,12.6552,12.1773,12.3702,129593.0
2019-09-28,12.3335,12.6552,12.1773,12.3702,129593.0
2019-09-29,12.3335,12.6552,12.1773,12.3702,129593.0
2019-09-30,12.453,12.453,12.0578,12.2048,255967.0
2019-10-01,12.2783,12.6276,11.8923,11.9934,259719.0
2019-10-02,11.9567,12.2416,11.6534,12.1405,227722.0
2019-10-03,12.021,12.2783,11.6902,11.828,187518.0
2019-10-04,11.8372,12.1497,11.7453,12.1037,155870.0
2019-10-05,11.8372,12.1497,11.7453,12.1037,155870.0
2019-10-06,11.8372,12.1497,11.7453,12.1037,155870.0
2019-10-07,12.0578,12.2242,11.8923,11.9843,198519.0
2019-10-08,11.8464,12.1313,11.6994,11.828,259247.0
2019-10-09,11.9659,12.0853,11.7821,11.8648,157578.0
2019-10-10,11.9567,12.0853,11.8923,11.9291,249152.0
2019-10-11,12.1497,12.26,11.7361,11.8096,292399.0
2019-10-12,12.1497,12.26,11.7361,11.8096,292399.0
2019-10-13,12.1497,12.26,11.7361,11.8096,292399.0
2019-10-14,11.6166,11.8648,11.3487,11.5523,326932.0
2019-10-15,11.6534,11.9751,11.6258,11.7177,262750.0
2019-10-16,11.6074,11.7269,11.249,11.4696,200224.0
2019-10-17,11.5431,11.6902,11.3593,11.4236,194216.0
2019-10-18,11.3409,11.6258,11.2674,11.488,152842.0
2019-10-19,11.3409,11.6258,11.2674,11.488,152842.0
2019-10-20,11.3409,11.6258,11.2674,11.488,152842.0
2019-10-21,11.6442,11.7315,11.4328,11.488,288570.0
2019-10-22,11.4145,12.0578,11.4145,11.8096,250406.0
2019-10-23,11.7637,11.9291,11.4145,11.5064,191378.0
2019-10-24,11.5799,11.6442,11.1204,11.3869,223063.0
2019-10-25,12.6368,12.6965,11.828,12.3243,1388831.0
2019-10-26,12.6368,12.6965,11.828,12.3243,1388831.0
2019-10-27,12.6368,12.6965,11.828,12.3243,1388831.0
2019-10-28,12.3978,13.1974,12.1405,13.179,1205659.0
2019-10-29,13.3077,13.7764,13.1974,13.6569,640191.0
2019-10-30,13.6477,13.7856,13.4575,13.5834,287615.0
2019-10-31,13.565,13.565,12.6643,12.8573,330756.0
2019-11-01,12.9217,13.0044,12.6276,12.793,240270.0
2019-11-02,12.9217,13.0044,12.6276,12.793,240270.0
2019-11-03,12.9217,13.0044,12.6276,12.793,240270.0
2019-11-04,12.793,13.2066,12.793,13.0411,274776.0
2019-11-05,13.0411,13.2985,12.9309,13.0228,286842.0
2019-11-06,12.7838,13.2066,12.7838,12.9492,213890.0
2019-11-07,13.1239,13.6385,12.8573,13.225,365025.0
2019-11-08,13.1055,13.6937,13.0044,13.6018,295301.0
2019-11-09,13.1055,13.6937,13.0044,13.6018,295301.0
2019-11-10,13.1055,13.6937,13.0044,13.6018,295301.0
2019-11-11,13.4823,14.4748,13.3444,14.1532,433961.0
2019-11-12,14.1164,14.3462,13.9969,14.3094,288228.0
2019-11-13,14.1991,14.8608,14.0613,14.5667,383302.0
2019-11-14,14.5392,14.9436,14.4289,14.9252,434758.0
2019-11-15,15.0814,15.6145,14.3278,14.3462,827827.0
2019-11-16,15.0814,15.6145,14.3278,14.3462,827827.0
2019-11-17,15.0814,15.6145,14.3278,14.3462,827827.0
2019-11-18,14.2451,14.337,13.4455,13.5742,563371.0
2019-11-19,13.5007,13.7764,13.2066,13.6201,310702.0
2019-11-20,13.5742,13.6753,12.9492,13.1422,426035.0
2019-11-21,13.1422,13.1974,12.4162,12.5265,427125.0
2019-11-22,12.5449,12.6368,11.8648,12.0302,450889.0
2019-11-23,12.5449,12.6368,11.8648,12.0302,450889.0
2019-11-24,12.5449,12.6368,11.8648,12.0302,450889.0
2019-11-25,12.0945,12.4162,12.0945,12.2508,309278.0
2019-11-26,12.2508,12.4438,12.1221,12.1497,635033.0
2019-11-27,12.1956,12.4805,12.119,12.3794,259544.0
2019-11-28,12.1956,12.4805,12.119,12.3794,259544.0
2019-11-29,12.3335,12.8022,12.3335,12.5081,150093.0
2019-11-30,12.3335,12.8022,12.3335,12.5081,150093.0
2019-12-01,12.3335,12.8022,12.3335,12.5081,150093.0
2019-12-02,12.6827,12.9492,12.4254,12.5357,259695.0
2019-12-03,12.453,12.5357,12.2353,12.3886,588916.0
2019-12-04,12.4713,12.8206,12.4254,12.7654,238988.0
2019-12-05,12.6735,12.9952,12.0945,12.1221,449922.0
2019-12-06,12.2967,12.3519,11.8391,12.1129,441447.0
2019-12-07,12.2967,12.3519,11.8391,12.1129,441447.0
2019-12-08,12.2967,12.3519,11.8391,12.1129,441447.0
2019-12-09,12.0853,12.2416,11.7729,11.8096,446324.0
2019-12-10,11.8096,11.9751,11.3134,11.6442,744996.0
2019-12-11,11.5707,11.6258,10.477,10.7895,690833.0
2019-12-12,10.7987,10.8906,10.353,10.6333,367753.0
2019-12-13,10.6333,10.8998,10.4219,10.7527,398717.0
2019-12-14,10.6333,10.8998,10.4219,10.7527,398717.0
2019-12-15,10.6333,10.8998,10.4219,10.7527,398717.0
2019-12-16,10.8906,11.3869,10.8171,11.3501,392551.0
2019-12-17,11.3593,11.9843,11.2858,11.874,412874.0
2019-12-18,11.9383,12.3794,11.9383,12.0118,369150.0
2019-12-19,12.0026,12.1864,11.828,11.9015,341664.0
2019-12-20,11.9567,12.021,11.488,11.7637,624206.0
2019-12-21,11.9567,12.021,11.488,11.7637,624206.0
2019-12-22,11.9567,12.021,11.488,11.7637,624206.0
2019-12-23,11.6718,11.6718,11.2123,11.3317,248311.0
2019-12-24,11.3225,11.7453,11.3225,11.7085,133261.0
2019-12-25,11.3225,11.7453,11.3225,11.7085,133261.0
2019-12-26,11.6442,11.7637,11.3501,11.5431,218294.0
2019-12-27,11.488,11.5799,11.2215,11.3409,177939.0
2019-12-28,11.488,11.5799,11.2215,11.3409,177939.0
2019-12-29,11.488,11.5799,11.2215,11.3409,177939.0
2019-12-30,11.3501,11.5339,11.2766,11.3317,224964.0
2019-12-31,11.3409,11.4788,10.9716,11.1939,366711.0
2020-01-01,11.3409,11.4788,10.9716,11.1939,366711.0
2020-01-02,11.2123,11.2858,10.6976,10.7436,200844.0
2020-01-03,10.6149,10.67,10.3851,10.4311,325716.0
2020-01-04,10.6149,10.67,10.3851,10.4311,325716.0
2020-01-05,10.6149,10.67,10.3851,10.4311,325716.0
2020-01-06,9.7142,10.1002,9.3742,9.558,613474.0
2020-01-07,9.5212,9.7602,8.9606,9.5764,781410.0
2020-01-08,9.5672,9.6591,9.2271,9.3926,492664.0
2020-01-09,9.4018,9.6867,9.3282,9.5304,397184.0
2020-01-10,9.5488,9.5488,9.0433,9.0985,340366.0
2020-01-11,9.5488,9.5488,9.0433,9.0985,340366.0
2020-01-12,9.5488,9.5488,9.0433,9.0985,340366.0
2020-01-13,9.1628,9.1812,8.7036,9.1812,396960.0
2020-01-14,9.1628,9.4293,9.126,9.2915,274146.0
2020-01-15,9.3007,9.6315,9.2731,9.4201,388965.0
2020-01-16,9.4753,9.8613,9.4753,9.6683,386064.0
2020-01-17,9.7418,10.0543,9.6821,9.9991,364497.0
2020-01-18,9.7418,10.0543,9.6821,9.9991,364497.0
2020-01-19,9.7418,10.0543,9.6821,9.9991,364497.0
2020-01-20,9.7418,10.0543,9.6821,9.9991,364497.0
2020-01-21,10.0635,10.1737,9.7694,9.8429,499086.0
2020-01-22,9.8337,10.0451,9.4477,9.4569,823840.0
2020-01-23,9.4385,9.6499,9.1996,9.6223,242543.0
2020-01-24,9.6499,9.7142,9.3926,9.4845,180224.0
2020-01-25,9.6499,9.7142,9.3926,9.4845,180224.0
2020-01-26,9.6499,9.7142,9.3926,9.4845,180224.0
2020-01-27,9.4018,9.535,9.2221,9.3834,276920.0
2020-01-28,9.4109,9.8015,9.4109,9.5856,253463.0
2020-01-29,9.6499,9.8521,9.6131,9.7142,167167.0
2020-01-30,9.6407,10.1554,9.6039,10.0543,438778.0
2020-01-31,10.0359,10.0359,9.4937,9.5672,377453.0
2020-02-01,10.0359,10.0359,9.4937,9.5672,377453.0
2020-02-02,10.0359,10.0359,9.4937,9.5672,377453.0
2020-02-03,9.5672,9.7326,8.8503,9.0158,426726.0
2020-02-04,9.126,9.1904,8.7309,8.8044,351363.0
2020-02-05,8.9606,9.4845,8.8963,9.4753,627674.0
2020-02-06,10.0727,12.1589,9.8797,12.0026,1107206.0
2020-02-07,12.1129,12.7379,11.6626,12.0026,773670.0
2020-02-08,12.1129,12.7379,11.6626,12.0026,773670.0
2020-02-09,12.1129,12.7379,11.6626,12.0026,773670.0
2020-02-10,11.9659,12.2048,11.7729,12.067,392533.0
2020-02-11,12.0578,12.8941,11.9423,12.7471,396793.0
2020-02-12,12.8665,12.8665,12.26,12.7011,335923.0
2020-02-13,12.6276,12.9033,12.6,12.8941,282948.0
2020-02-14,12.8895,13.4006,12.8895,13.0832,329015.0
2020-02-15,12.8895,13.4006,12.8895,13.0832,329015.0
2020-02-16,12.8895,13.4006,12.8895,13.0832,329015.0
2020-02-17,12.8895,13.4006,12.8895,13.0832,329015.0
2020-02-18,13.0187,13.2678,12.4558,12.6219,413454.0
2020-02-19,12.6311,12.9541,12.5758,12.8987,281308.0
2020-02-20,12.871,12.931,12.4189,12.6127,512875.0
2020-02-21,12.5389,12.8249,12.3451,12.5481,652304.0
2020-02-22,12.5389,12.8249,12.3451,12.5481,652304.0
2020-02-23,12.5389,12.8249,12.3451,12.5481,652304.0
2020-02-24,11.9945,12.1467,11.1272,11.1272,546300.0
2020-02-25,11.0626,11.3856,9.6786,9.6786,736194.0
2020-02-26,9.5772,9.7986,8.4054,8.9313,950247.0
2020-02-27,8.9313,9.4572,7.9533,8.8944,485172.0
2020-02-28,8.756,9.0328,8.3869,8.5161,236788.0
2020-02-29,8.756,9.0328,8.3869,8.5161,236788.0
2020-03-01,8.756,9.0328,8.3869,8.5161,236788.0
2020-03-02,8.5438,8.756,8.0,8.7283,435047.0
2020-03-03,9.0512,9.3188,8.6176,8.6545,386302.0
2020-03-04,8.7837,8.8667,8.35,8.7652,348232.0
2020-03-05,8.4884,8.5991,7.9348,8.1194,500753.0
2020-03-06,7.7318,7.9902,7.492,7.6211,355191.0
2020-03-07,7.7318,7.9902,7.492,7.6211,355191.0
2020-03-08,7.7318,7.9902,7.492,7.6211,355191.0
2020-03-09,6.9937,7.1598,6.68,6.7077,367816.0
2020-03-10,7.0491,7.1875,6.8184,7.0122,440808.0
2020-03-11,7.0214,7.4274,6.7354,6.9845,405148.0
2020-03-12,6.4401,6.477,5.9419,6.0618,317458.0
2020-03-13,6.477,7.0906,6.1818,6.7354,392992.0
