,CLX US Equity,CLX US Equity,CLX US Equity,CLX US Equity,CLX US Equity
2020-04-12,160.232,166.972,159.597,164.684,2114505.0
2020-04-13,164.067,167.428,163.059,165.81,1140517.0
2020-04-14,169.851,175.063,168.135,173.767,2566739.0
2020-04-15,173.239,177.556,173.239,174.902,1598784.0
2020-04-16,176.52,177.683,173.669,175.662,1831718.0
2020-04-17,173.543,174.098,169.199,172.989,2442423.0
2020-04-18,173.543,174.098,169.199,172.989,2442423.0
2020-04-19,173.543,174.098,169.199,172.989,2442423.0
2020-04-20,174.902,177.563,171.729,172.033,2078890.0
2020-04-21,173.83,173.83,170.54,171.493,1580447.0
2020-04-22,171.862,174.001,169.794,172.536,2067832.0
2020-04-23,171.682,172.527,169.596,170.729,1629885.0
2020-04-24,170.684,172.275,169.452,171.385,1597336.0
2020-04-25,170.684,172.275,169.452,171.385,1597336.0
2020-04-26,170.684,172.275,169.452,171.385,1597336.0
2020-04-27,171.709,172.149,169.578,169.947,1784295.0
2020-04-28,169.812,170.378,167.708,168.05,1557341.0
2020-04-29,163.034,167.69,162.342,165.344,1928754.0
2020-04-30,166.747,168.994,164.068,167.601,3302560.0
2020-05-01,173.498,177.777,169.929,173.237,5017784.0
2020-05-02,173.498,177.777,169.929,173.237,5017784.0
2020-05-03,173.498,177.777,169.929,173.237,5017784.0
2020-05-04,175.403,180.204,174.319,179.134,3904064.0
2020-05-05,179.251,184.062,178.469,182.919,2287590.0
2020-05-06,183.17,183.917,178.943,179.602,1649953.0
2020-05-07,181.085,184.492,180.788,181.579,1592900.0
2020-05-08,182.487,185.436,181.903,183.431,1393567.0
2020-05-09,182.487,185.436,181.903,183.431,1393567.0
2020-05-10,182.487,185.436,181.903,183.431,1393567.0
2020-05-11,183.791,187.216,182.874,185.013,1575589.0
2020-05-12,185.643,187.773,184.744,184.896,1210872.0
2020-05-13,184.519,186.973,183.944,185.849,1484358.0
2020-05-14,184.744,186.892,181.23,185.373,1362903.0
2020-05-15,185.948,189.22,185.508,188.627,2265019.0
2020-05-16,185.948,189.22,185.508,188.627,2265019.0
2020-05-17,185.948,189.22,185.508,188.627,2265019.0
2020-05-18,186.335,187.369,183.072,183.341,2424028.0
2020-05-19,182.487,183.503,180.465,181.337,1309412.0
2020-05-20,184.833,185.049,182.074,183.602,1369879.0
2020-05-21,184.06,184.06,178.145,179.251,1463150.0
2020-05-22,178.873,180.038,177.714,178.523,1214814.0
2020-05-23,178.873,180.038,177.714,178.523,1214814.0
2020-05-24,178.873,180.038,177.714,178.523,1214814.0
2020-05-25,178.873,180.038,177.714,178.523,1214814.0
2020-05-26,178.406,178.703,175.341,177.21,2510568.0
2020-05-27,175.646,180.231,173.798,179.79,2010578.0
2020-05-28,180.465,184.285,180.303,184.249,1514338.0
2020-05-29,184.726,185.804,182.811,185.409,1707431.0
2020-05-30,184.726,185.804,182.811,185.409,1707431.0
2020-05-31,184.726,185.804,182.811,185.409,1707431.0
2020-06-01,185.373,186.434,183.206,183.575,1303228.0
2020-06-02,183.404,185.948,183.404,185.867,1125580.0
2020-06-03,186.056,186.595,184.312,185.157,1176813.0
2020-06-04,184.762,185.768,182.874,183.611,1071170.0
2020-06-05,182.316,182.316,174.657,177.606,2881279.0
2020-06-06,182.316,182.316,174.657,177.606,2881279.0
2020-06-07,182.316,182.316,174.657,177.606,2881279.0
2020-06-08,174.846,179.116,174.397,178.676,1745881.0
2020-06-09,179.79,182.685,178.01,181.651,2118437.0
2020-06-10,182.424,187.117,181.858,186.353,2465447.0
2020-06-11,187.387,189.157,183.341,184.222,2915556.0
2020-06-12,184.375,187.261,183.323,184.393,1850547.0
2020-06-13,184.375,187.261,183.323,184.393,1850547.0
2020-06-14,184.375,187.261,183.323,184.393,1850547.0
2020-06-15,186.443,187.387,184.204,187.009,1809561.0
2020-06-16,187.009,190.029,186.488,187.638,1421141.0
2020-06-17,188.501,191.369,188.501,190.578,1303007.0
2020-06-18,191.423,193.769,190.668,192.906,1631064.0
2020-06-19,196.124,197.212,194.035,195.648,3069040.0
2020-06-20,196.124,197.212,194.035,195.648,3069040.0
2020-06-21,196.124,197.212,194.035,195.648,3069040.0
2020-06-22,196.367,196.754,194.704,194.983,1350605.0
2020-06-23,195.135,195.918,191.405,191.818,1517885.0
2020-06-24,191.459,193.547,190.299,190.605,1856815.0
2020-06-25,192.843,194.848,189.366,193.203,1635274.0
2020-06-26,194.623,195.972,193.472,193.544,1723607.0
2020-06-27,194.623,195.972,193.472,193.544,1723607.0
2020-06-28,194.623,195.972,193.472,193.544,1723607.0
2020-06-29,194.174,196.151,193.553,195.594,974276.0
2020-06-30,197.401,199.298,194.623,197.203,1811934.0
2020-07-01,196.178,197.967,194.893,197.383,1100377.0
2020-07-02,198.543,201.86,198.498,199.711,1661296.0
2020-07-03,198.543,201.86,198.498,199.711,1661296.0
2020-07-04,198.543,201.86,198.498,199.711,1661296.0
2020-07-05,198.543,201.86,198.498,199.711,1661296.0
2020-07-06,200.277,200.883,196.96,199.046,1369119.0
2020-07-07,198.435,202.246,198.237,201.194,1266680.0
2020-07-08,201.779,203.819,200.565,202.777,1110859.0
2020-07-09,202.588,207.011,202.588,206.309,966655.0
2020-07-10,206.085,207.235,204.565,206.543,892985.0
2020-07-11,206.085,207.235,204.565,206.543,892985.0
2020-07-12,206.085,207.235,204.565,206.543,892985.0
2020-07-13,207.271,208.647,202.3,202.929,1246945.0
2020-07-14,203.154,207.37,202.714,207.226,1088701.0
2020-07-15,203.819,205.86,201.419,202.714,1574059.0
2020-07-16,203.379,206.004,202.795,204.88,908897.0
2020-07-17,205.968,207.406,204.521,205.303,1275884.0
2020-07-18,205.968,207.406,204.521,205.303,1275884.0
2020-07-19,205.968,207.406,204.521,205.303,1275884.0
2020-07-20,204.961,205.959,203.613,204.727,748871.0
2020-07-21,204.961,205.491,202.839,203.819,888250.0
2020-07-22,204.44,204.736,201.788,204.556,815413.0
2020-07-23,205.959,208.746,204.565,204.817,956314.0
2020-07-24,204.512,205.811,202.938,204.098,730196.0
2020-07-25,204.512,205.811,202.938,204.098,730196.0
2020-07-26,204.512,205.811,202.938,204.098,730196.0
2020-07-27,203.882,206.777,203.882,206.058,785430.0
2020-07-28,206.844,208.189,205.597,206.455,717595.0
2020-07-29,207.358,209.815,206.699,208.668,912991.0
2020-07-30,209.572,210.475,207.44,208.903,821370.0
2020-07-31,210.701,214.992,210.511,213.646,2866968.0
2020-08-01,210.701,214.992,210.511,213.646,2866968.0
2020-08-02,210.701,214.992,210.511,213.646,2866968.0
2020-08-03,207.964,211.514,205.665,209.535,3719061.0
2020-08-04,209.481,215.362,209.481,214.757,2001586.0
2020-08-05,215.163,216.681,211.667,214.233,1394346.0
2020-08-06,214.052,215.19,211.912,213.32,1826159.0
2020-08-07,212.977,215.199,212.833,214.531,981590.0
2020-08-08,212.977,215.199,212.833,214.531,981590.0
2020-08-09,212.977,215.199,212.833,214.531,981590.0
2020-08-10,214.874,214.937,209.933,210.8,855137.0
2020-08-11,209.427,209.472,200.272,200.809,2104195.0
2020-08-12,201.911,206.5,201.677,205.01,1244996.0
2020-08-13,204.739,205.633,202.589,202.977,1054653.0
2020-08-14,202.309,203.682,202.119,202.571,935311.0
2020-08-15,202.309,203.682,202.119,202.571,935311.0
2020-08-16,202.309,203.682,202.119,202.571,935311.0
2020-08-17,202.571,205.837,202.571,204.856,1343714.0
2020-08-18,204.152,207.042,200.891,206.112,1480912.0
2020-08-19,206.573,207.431,204.368,205.904,732456.0
2020-08-20,206.103,207.065,204.775,206.229,1146327.0
2020-08-21,206.491,206.491,203.745,204.45,997925.0
2020-08-22,206.491,206.491,203.745,204.45,997925.0
2020-08-23,206.491,206.491,203.745,204.45,997925.0
2020-08-24,205.353,205.353,200.502,201.559,1737287.0
2020-08-25,201.424,201.649,197.584,197.982,2350689.0
2020-08-26,197.702,199.436,196.707,198.994,2533616.0
2020-08-27,198.894,201.803,198.19,199.355,1301342.0
2020-08-28,198.723,199.364,194.775,196.139,1879839.0
2020-08-29,198.723,199.364,194.775,196.139,1879839.0
2020-08-30,198.723,199.364,194.775,196.139,1879839.0
2020-08-31,196.284,202.661,196.284,201.893,1675099.0
2020-09-01,202.291,202.408,196.853,198.813,1329943.0
2020-09-02,199.635,203.592,198.985,202.11,1283569.0
2020-09-03,199.897,202.083,193.122,195.769,1983629.0
2020-09-04,194.423,195.38,187.892,191.975,2012650.0
2020-09-05,194.423,195.38,187.892,191.975,2012650.0
2020-09-06,194.423,195.38,187.892,191.975,2012650.0
2020-09-07,194.423,195.38,187.892,191.975,2012650.0
2020-09-08,191.171,192.481,187.305,192.408,1922220.0
2020-09-09,193.465,199.694,193.465,198.732,1917885.0
2020-09-10,198.063,200.168,194.143,194.188,2553100.0
2020-09-11,194.649,195.498,191.613,193.312,1071846.0
2020-09-12,194.649,195.498,191.613,193.312,1071846.0
2020-09-13,194.649,195.498,191.613,193.312,1071846.0
2020-09-14,193.754,196.862,192.86,196.437,940159.0
2020-09-15,194.829,195.471,188.506,189.328,2146083.0
2020-09-16,188.94,190.557,186.898,187.305,1515463.0
2020-09-17,186.69,188.786,184.875,186.853,1212490.0
2020-09-18,185.344,188.759,184.829,188.027,1956714.0
2020-09-19,185.344,188.759,184.829,188.027,1956714.0
2020-09-20,185.344,188.759,184.829,188.027,1956714.0
2020-09-21,188.777,190.737,186.139,188.371,1095587.0
2020-09-22,189.418,193.971,188.736,191.848,1524114.0
2020-09-23,192.634,192.869,189.771,191.713,1148499.0
2020-09-24,191.234,193.845,190.484,193.032,1121609.0
2020-09-25,194.567,194.567,190.647,191.062,950077.0
2020-09-26,194.567,194.567,190.647,191.062,950077.0
2020-09-27,194.567,194.567,190.647,191.062,950077.0
2020-09-28,192.038,193.538,190.123,191.478,889299.0
2020-09-29,192.155,193.492,189.798,190.069,1063843.0
2020-09-30,189.843,190.927,187.919,189.852,1389438.0
2020-10-01,189.274,191.821,187.458,191.189,1157837.0
2020-10-02,191.216,195.118,188.154,188.994,1311353.0
2020-10-03,191.216,195.118,188.154,188.994,1311353.0
2020-10-04,191.216,195.118,188.154,188.994,1311353.0
2020-10-05,188.813,189.744,187.734,188.894,1067008.0
2020-10-06,188.967,191.591,188.479,190.737,996750.0
2020-10-07,190.656,196.473,190.602,194.332,2038395.0
2020-10-08,194.278,194.933,191.469,192.282,857692.0
2020-10-09,192.454,195.407,192.454,194.025,1028213.0
2020-10-10,192.454,195.407,192.454,194.025,1028213.0
2020-10-11,192.454,195.407,192.454,194.025,1028213.0
2020-10-12,194.784,196.934,194.034,194.594,729307.0
2020-10-13,196.519,201.767,196.284,199.789,1250985.0
2020-10-14,199.789,200.538,196.78,197.765,910037.0
2020-10-15,196.934,199.603,196.049,197.259,859690.0
2020-10-16,195.118,197.304,193.935,194.206,1373895.0
2020-10-17,195.118,197.304,193.935,194.206,1373895.0
2020-10-18,195.118,197.304,193.935,194.206,1373895.0
2020-10-19,194.622,195.653,191.848,191.957,1074381.0
2020-10-20,193.673,193.883,189.888,190.249,763502.0
2020-10-21,189.707,192.535,189.698,190.918,1121458.0
2020-10-22,188.858,191.044,186.13,189.482,1272186.0
2020-10-23,189.156,191.135,188.949,190.728,791757.0
2020-10-24,189.156,191.135,188.949,190.728,791757.0
2020-10-25,189.156,191.135,188.949,190.728,791757.0
2020-10-26,190.43,193.637,189.445,192.164,1114543.0
2020-10-27,193.917,196.591,193.33,193.474,1323594.0
2020-10-28,192.67,194.432,189.283,189.59,1119009.0
2020-10-29,189.997,191.704,187.485,188.551,1226869.0
2020-10-30,187.521,191.09,185.073,187.214,2252024.0
2020-10-31,187.521,191.09,185.073,187.214,2252024.0
2020-11-01,187.521,191.09,185.073,187.214,2252024.0
2020-11-02,194.215,200.394,191.722,195.145,4066971.0
2020-11-03,196.117,197.488,191.305,192.721,1904763.0
2020-11-04,194.31,198.11,193.13,193.348,1554576.0
2020-11-05,195.69,196.289,193.384,193.384,1080554.0
2020-11-06,192.912,198.069,192.912,198.015,1078346.0
2020-11-07,192.912,198.069,192.912,198.015,1078346.0
2020-11-08,192.912,198.069,192.912,198.015,1078346.0
2020-11-09,184.722,189.77,175.478,176.977,4941946.0
2020-11-10,178.874,183.591,175.151,179.891,2428258.0
2020-11-11,180.935,184.776,179.478,183.95,1810452.0
2020-11-12,185.793,188.517,184.333,188.435,1822888.0
2020-11-13,188.771,189.668,187.278,188.299,1545914.0
2020-11-14,188.771,189.668,187.278,188.299,1545914.0
2020-11-15,188.771,189.668,187.278,188.299,1545914.0
2020-11-16,184.322,188.753,183.416,188.562,1587974.0
2020-11-17,187.954,190.21,186.737,189.861,1433332.0
2020-11-18,189.561,190.905,186.047,186.12,1910521.0
2020-11-19,184.949,187.634,182.506,183.841,1558938.0
2020-11-20,184.177,185.947,184.068,184.368,1537847.0
2020-11-21,184.177,185.947,184.068,184.368,1537847.0
2020-11-22,184.177,185.947,184.068,184.368,1537847.0
2020-11-23,183.523,184.531,182.588,183.696,1563525.0
2020-11-24,183.696,184.449,181.081,181.181,1620099.0
2020-11-25,183.078,183.932,181.598,182.279,1298710.0
2020-11-26,183.078,183.932,181.598,182.279,1298710.0
2020-11-27,182.869,184.64,182.733,184.404,699233.0
2020-11-28,182.869,184.64,182.733,184.404,699233.0
2020-11-29,182.869,184.64,182.733,184.404,699233.0
2020-11-30,183.705,184.64,181.571,184.286,2213971.0
2020-12-01,183.75,184.595,182.141,184.513,1536837.0
2020-12-02,184.131,185.23,181.171,183.151,1447734.0
2020-12-03,182.034,184.658,181.398,182.715,1999575.0
2020-12-04,181.598,183.142,180.4,181.58,2071619.0
2020-12-05,181.598,183.142,180.4,181.58,2071619.0
2020-12-06,181.598,183.142,180.4,181.58,2071619.0
2020-12-07,181.952,183.596,180.372,182.152,1285649.0
2020-12-08,183.033,186.955,181.38,184.213,1607919.0
2020-12-09,184.749,184.749,181.095,182.061,1207285.0
2020-12-10,182.279,184.068,181.507,182.143,830173.0
2020-12-11,182.216,184.304,181.764,183.169,1120413.0
2020-12-12,182.216,184.304,181.764,183.169,1120413.0
2020-12-13,182.216,184.304,181.764,183.169,1120413.0
2020-12-14,185.421,185.793,182.407,183.759,1737171.0
2020-12-15,184.595,186.592,183.559,184.358,1448593.0
2020-12-16,184.358,185.893,183.796,184.722,885732.0
2020-12-17,184.685,185.584,182.334,183.723,957534.0
2020-12-18,184.041,184.912,182.851,184.477,1874568.0
2020-12-19,184.041,184.912,182.851,184.477,1874568.0
2020-12-20,184.041,184.912,182.851,184.477,1874568.0
2020-12-21,185.294,185.839,181.989,183.823,1096393.0
2020-12-22,183.977,184.486,181.798,182.86,927690.0
2020-12-23,182.779,184.776,182.524,183.714,677191.0
2020-12-24,183.505,185.049,183.487,185.049,288614.0
2020-12-25,183.505,185.049,183.487,185.049,288614.0
2020-12-26,183.505,185.049,183.487,185.049,288614.0
2020-12-27,183.505,185.049,183.487,185.049,288614.0
2020-12-28,184.985,185.158,182.824,183.641,892636.0
2020-12-29,183.868,184.749,182.951,183.196,709214.0
2020-12-30,183.405,183.832,182.47,182.543,787298.0
2020-12-31,183.06,183.46,181.507,183.342,947864.0
2021-01-01,183.06,183.46,181.507,183.342,947864.0
2021-01-02,183.06,183.46,181.507,183.342,947864.0
2021-01-03,183.06,183.46,181.507,183.342,947864.0
2021-01-04,183.323,184.322,180.835,181.998,1119651.0
2021-01-05,182.116,183.296,179.701,181.607,1201186.0
2021-01-06,179.837,182.933,178.466,179.247,1766577.0
2021-01-07,178.084,178.788,176.223,178.357,2118502.0
2021-01-08,178.021,179.646,176.45,179.637,1413896.0
2021-01-09,178.021,179.646,176.45,179.637,1413896.0
2021-01-10,178.021,179.646,176.45,179.637,1413896.0
2021-01-11,180.372,180.826,175.161,175.905,1364135.0
2021-01-12,176.523,177.517,176.096,176.368,1390720.0
2021-01-13,177.022,177.585,175.705,175.914,1036589.0
2021-01-14,175.851,177.621,174.18,177.558,1298904.0
2021-01-15,177.431,180.944,176.822,179.346,1740088.0
2021-01-16,177.431,180.944,176.822,179.346,1740088.0
2021-01-17,177.431,180.944,176.822,179.346,1740088.0
2021-01-18,177.431,180.944,176.822,179.346,1740088.0
2021-01-19,180.599,180.872,177.067,178.429,1611867.0
2021-01-20,177.993,179.737,176.999,178.811,1777159.0
2021-01-21,178.938,180.046,178.175,179.065,1220323.0
2021-01-22,180.445,184.131,180.073,183.732,1635942.0
2021-01-23,180.445,184.131,180.073,183.732,1635942.0
2021-01-24,180.445,184.131,180.073,183.732,1635942.0
2021-01-25,184.867,203.726,184.195,192.458,4035163.0
2021-01-26,191.919,194.913,189.866,194.411,2432929.0
2021-01-27,196.255,210.95,195.333,202.8,4056477.0
2021-01-28,203.146,206.423,191.18,191.289,2937726.0
2021-01-29,192.175,196.474,190.249,191.189,2139993.0
2021-01-30,192.175,196.474,190.249,191.189,2139993.0
2021-01-31,192.175,196.474,190.249,191.189,2139993.0
2021-02-01,191.326,193.927,188.487,191.7,2461516.0
2021-02-02,192.631,192.64,186.265,186.415,2018880.0
2021-02-03,186.826,187.136,183.266,186.744,1619611.0
2021-02-04,179.642,182.6,174.841,174.933,4921850.0
2021-02-05,175.252,176.959,173.783,174.567,2840257.0
2021-02-06,175.252,176.959,173.783,174.567,2840257.0
2021-02-07,175.252,176.959,173.783,174.567,2840257.0
2021-02-08,174.951,175.535,172.359,173.427,2333131.0
2021-02-09,173.436,173.883,169.835,171.008,2011607.0
2021-02-10,171.428,172.021,168.972,170.35,2092603.0
2021-02-11,170.086,170.177,167.64,168.078,1659236.0
2021-02-12,168.032,170.478,166.946,169.748,1521946.0
2021-02-13,168.032,170.478,166.946,169.748,1521946.0
2021-02-14,168.032,170.478,166.946,169.748,1521946.0
2021-02-15,168.032,170.478,166.946,169.748,1521946.0
2021-02-16,169.173,169.491,166.489,167.357,1605294.0
2021-02-17,166.325,171.738,165.394,171.382,1944243.0
2021-02-18,170.542,174.248,169.748,173.107,1887049.0
2021-02-19,174.768,175.206,170.506,170.734,1767084.0
2021-02-20,174.768,175.206,170.506,170.734,1767084.0
2021-02-21,174.768,175.206,170.506,170.734,1767084.0
2021-02-22,170.442,171.455,168.826,171.391,1248458.0
2021-02-23,172.057,172.596,169.173,171.017,1340676.0
2021-02-24,170.369,171.336,167.119,167.302,1413229.0
2021-02-25,167.411,169.052,164.582,165.431,1457262.0
2021-02-26,166.398,167.083,164.399,165.257,1731740.0
2021-02-27,166.398,167.083,164.399,165.257,1731740.0
2021-02-28,166.398,167.083,164.399,165.257,1731740.0
2021-03-01,165.677,166.736,163.696,164.089,1700317.0
2021-03-02,164.089,165.358,163.359,163.404,1320965.0
2021-03-03,163.277,164.744,161.314,164.299,1691375.0
2021-03-04,164.317,165.285,161.656,162.628,1570878.0
2021-03-05,162.975,168.306,162.017,168.26,1754238.0
2021-03-06,162.975,168.306,162.017,168.26,1754238.0
2021-03-07,162.975,168.306,162.017,168.26,1754238.0
2021-03-08,167.849,172.404,166.562,171.382,2093949.0
2021-03-09,172.158,174.321,169.438,169.447,1867357.0
2021-03-10,170.414,173.655,168.863,172.769,1418813.0
2021-03-11,172.039,172.532,170.424,170.506,1036250.0
2021-03-12,170.414,173.481,169.903,172.505,1352058.0
2021-03-13,170.414,173.481,169.903,172.505,1352058.0
2021-03-14,170.414,173.481,169.903,172.505,1352058.0
2021-03-15,173.198,173.76,171.126,172.021,769327.0
2021-03-16,172.167,173.792,171.19,172.541,973079.0
2021-03-17,172.888,176.566,170.871,173.052,1891072.0
2021-03-18,170.122,170.688,165.303,168.379,2803687.0
2021-03-19,168.963,171.966,168.844,169.894,2232629.0
2021-03-20,168.963,171.966,168.844,169.894,2232629.0
2021-03-21,168.963,171.966,168.844,169.894,2232629.0
2021-03-22,170.241,173.025,168.863,172.915,1420183.0
2021-03-23,173.427,177.616,172.276,175.946,1312052.0
2021-03-24,174.668,174.677,171.446,172.715,1276636.0
2021-03-25,173.554,175.124,171.729,174.129,993141.0
2021-03-26,173.746,174.504,171.811,173.655,1317894.0
2021-03-27,173.746,174.504,171.811,173.655,1317894.0
2021-03-28,173.746,174.504,171.811,173.655,1317894.0
2021-03-29,173.7,179.488,173.7,178.173,1539378.0
2021-03-30,177.808,179.51,176.165,176.932,1363018.0
2021-03-31,177.078,178.146,175.407,176.055,1246140.0
2021-04-01,175.699,176.84,172.441,176.01,1282168.0
2021-04-02,175.699,176.84,172.441,176.01,1282168.0
2021-04-03,175.699,176.84,172.441,176.01,1282168.0
2021-04-04,175.699,176.84,172.441,176.01,1282168.0
2021-04-05,176.247,178.847,175.8,177.443,1009046.0
2021-04-06,176.092,177.995,175.877,177.114,1221601.0
2021-04-07,178.438,179.168,176.576,177.078,1429539.0
2021-04-08,177.205,177.78,174.348,176.046,1484225.0
2021-04-09,176.046,177.215,172.012,173.545,1317131.0
2021-04-10,176.046,177.215,172.012,173.545,1317131.0
2021-04-11,176.046,177.215,172.012,173.545,1317131.0
2021-04-12,174.138,174.85,173.29,174.129,1441890.0
2021-04-13,174.567,175.059,171.628,172.258,1641356.0
2021-04-14,172.03,172.349,169.328,172.13,1183140.0
2021-04-15,172.295,175.042,171.537,175.042,1107730.0
2021-04-16,175.115,175.252,172.979,174.093,940626.0
2021-04-17,175.115,175.252,172.979,174.093,940626.0
2021-04-18,175.115,175.252,172.979,174.093,940626.0
2021-04-19,173.673,174.714,172.888,173.39,1142862.0
2021-04-20,173.711,178.963,173.528,178.55,1649215.0
2021-04-21,178.908,180.551,177.503,179.854,2021601.0
2021-04-22,179.211,179.665,177.477,179.101,1097176.0
2021-04-23,177.421,177.825,173.014,173.105,1670020.0
2021-04-24,177.421,177.825,173.014,173.105,1670020.0
2021-04-25,177.421,177.825,173.014,173.105,1670020.0
2021-04-26,173.105,173.275,171.462,172.444,1511144.0
