,WERN US Equity,WERN US Equity,WERN US Equity,WERN US Equity,WERN US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-10-04,40.0044,41.4235,39.314,41.1838,713398.0
2020-10-05,41.4906,41.9413,40.8674,41.6632,605825.0
2020-10-06,41.7591,41.9413,41.1455,41.2605,598261.0
2020-10-07,41.5674,42.3249,41.4331,41.6057,748018.0
2020-10-08,41.9893,42.3057,41.6585,42.2482,661401.0
2020-10-09,41.8934,42.1523,41.3324,41.7975,591161.0
2020-10-10,41.8934,42.1523,41.3324,41.7975,591161.0
2020-10-11,41.8934,42.1523,41.3324,41.7975,591161.0
2020-10-12,41.9989,42.6125,41.5098,41.6153,372120.0
2020-10-13,41.5194,42.2673,41.366,41.4906,400036.0
2020-10-14,41.5769,42.1619,41.4139,41.4139,497508.0
2020-10-15,42.1714,43.0632,41.6249,42.8139,856979.0
2020-10-16,42.1235,42.5358,41.0783,41.203,1040379.0
2020-10-17,42.1235,42.5358,41.0783,41.203,1040379.0
2020-10-18,42.1235,42.5358,41.0783,41.203,1040379.0
2020-10-19,41.3564,41.3564,39.3619,39.5249,585904.0
2020-10-20,39.7263,40.1962,39.5537,39.803,562759.0
2020-10-21,39.9373,40.6372,38.7099,39.6688,799538.0
2020-10-22,39.5537,40.0427,39.2948,40.014,1044333.0
2020-10-23,40.34,40.6372,39.3332,39.4291,731578.0
2020-10-24,40.34,40.6372,39.3332,39.4291,731578.0
2020-10-25,40.34,40.6372,39.3332,39.4291,731578.0
2020-10-26,39.1126,39.1989,38.3887,38.6811,879296.0
2020-10-27,38.6236,39.0359,37.9812,38.1538,859200.0
2020-10-28,37.636,38.4126,37.2908,38.2209,1409876.0
2020-10-29,34.6155,38.0051,33.7046,36.8976,2344144.0
2020-10-30,37.099,37.8565,36.0538,36.4565,1139628.0
2020-10-31,37.099,37.8565,36.0538,36.4565,1139628.0
2020-11-01,37.099,37.8565,36.0538,36.4565,1139628.0
2020-11-02,36.6004,36.9083,36.26,36.7058,806086.0
2020-11-03,36.9647,37.8229,36.9647,37.6072,1066383.0
2020-11-04,37.6551,37.8181,36.5908,36.7154,898441.0
2020-11-05,37.1661,37.8373,37.0127,37.1278,792869.0
2020-11-06,37.2045,37.4634,36.6579,37.0606,760573.0
2020-11-07,37.2045,37.4634,36.6579,37.0606,760573.0
2020-11-08,37.2045,37.4634,36.6579,37.0606,760573.0
2020-11-09,38.0003,38.7291,37.2141,37.4729,865320.0
2020-11-10,37.7606,39.5058,37.3579,39.2277,1516478.0
2020-11-11,39.3044,39.6592,38.6236,39.1318,908681.0
2020-11-12,39.2948,39.5297,38.3983,38.6715,863346.0
2020-11-13,39.1126,39.5767,38.996,39.314,610027.0
2020-11-14,39.1126,39.5767,38.996,39.314,610027.0
2020-11-15,39.1126,39.5767,38.996,39.314,610027.0
2020-11-16,39.7838,40.5701,39.4003,40.2441,687629.0
2020-11-17,40.014,40.666,39.5729,40.4551,569143.0
2020-11-18,40.6277,40.8194,40.0044,40.1003,928847.0
2020-11-19,40.2058,40.2058,39.4195,39.7551,536791.0
2020-11-20,39.5058,40.014,39.0455,39.314,892536.0
2020-11-21,39.5058,40.014,39.0455,39.314,892536.0
2020-11-22,39.5058,40.014,39.0455,39.314,892536.0
2020-11-23,39.4099,39.7263,37.636,38.662,1160074.0
2020-11-24,37.9428,39.5249,37.8853,39.314,1006766.0
2020-11-25,40.0667,40.0667,37.9716,38.5565,769717.0
2020-11-26,40.0667,40.0667,37.9716,38.5565,769717.0
2020-11-27,38.3359,38.7195,37.962,38.5757,390740.0
2020-11-28,38.3359,38.7195,37.962,38.5757,390740.0
2020-11-29,38.3359,38.7195,37.962,38.5757,390740.0
2020-11-30,38.8346,38.8346,38.1346,38.3455,578629.0
2020-12-01,38.5852,38.988,38.3263,38.7099,622910.0
2020-12-02,38.8921,38.8921,38.0579,38.3551,801410.0
2020-12-03,38.2592,38.7003,37.8373,38.2017,1527528.0
2020-12-04,37.9716,38.4031,37.8181,37.9812,1125116.0
2020-12-05,37.9716,38.4031,37.8181,37.9812,1125116.0
2020-12-06,37.9716,38.4031,37.8181,37.9812,1125116.0
2020-12-07,38.2209,38.7818,37.8565,38.0962,534254.0
2020-12-08,38.0003,38.5085,37.8469,38.2305,602205.0
2020-12-09,38.3551,38.6524,37.962,38.4318,628832.0
2020-12-10,38.5565,38.5565,37.6599,38.2784,613028.0
2020-12-11,38.2784,38.5469,37.9812,38.3839,490539.0
2020-12-12,38.2784,38.5469,37.9812,38.3839,490539.0
2020-12-13,38.2784,38.5469,37.9812,38.3839,490539.0
2020-12-14,37.8949,38.3455,37.7127,37.8757,890361.0
2020-12-15,37.8469,38.3072,37.6168,38.0962,762927.0
2020-12-16,38.2784,38.7099,37.751,37.9332,589516.0
2020-12-17,38.0962,38.1729,37.5209,38.0483,684441.0
2020-12-18,38.1729,38.5469,38.0675,38.451,1253366.0
2020-12-19,38.1729,38.5469,38.0675,38.451,1253366.0
2020-12-20,38.1729,38.5469,38.0675,38.451,1253366.0
2020-12-21,38.2305,38.6907,38.0483,38.4318,536972.0
2020-12-22,38.3839,38.5373,37.9907,38.1825,342061.0
2020-12-23,38.2592,38.3935,37.8086,38.0291,380986.0
2020-12-24,38.1538,38.1538,37.7127,37.9236,177881.0
2020-12-25,38.1538,38.1538,37.7127,37.9236,177881.0
2020-12-26,38.1538,38.1538,37.7127,37.9236,177881.0
2020-12-27,38.1538,38.1538,37.7127,37.9236,177881.0
2020-12-28,38.2305,38.5277,37.962,38.0675,416046.0
2020-12-29,37.9859,38.3743,37.8277,38.0387,456852.0
2020-12-30,37.7894,38.2113,37.5305,37.8277,377389.0
2020-12-31,37.7989,37.9238,37.3376,37.6932,537091.0
2021-01-01,37.7989,37.9238,37.3376,37.6932,537091.0
2021-01-02,37.7989,37.9238,37.3376,37.6932,537091.0
2021-01-03,37.7989,37.9238,37.3376,37.6932,537091.0
2021-01-04,37.6643,37.9911,37.0396,37.2895,480065.0
2021-01-05,37.2895,38.1545,37.0877,37.7316,742311.0
2021-01-06,37.9334,39.9229,37.8806,39.894,917684.0
