,TRS US Equity,TRS US Equity,TRS US Equity,TRS US Equity,TRS US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2021-10-24,33.6785,34.4177,33.3926,34.0136,95013.0
2021-10-25,33.984,34.1516,33.4616,34.0037,102501.0
2021-10-26,34.122,34.3782,33.8263,34.2698,120158.0
2021-10-27,34.1713,34.4275,32.7717,32.821,87360.0
2021-10-28,32.6337,33.0969,31.8304,32.1705,79830.0
2021-10-29,31.9832,33.0969,31.9832,32.8703,128916.0
2021-10-30,31.9832,33.0969,31.9832,32.8703,128916.0
2021-10-31,31.9832,33.0969,31.9832,32.8703,128916.0
2021-11-01,33.0969,33.501,32.4711,33.1068,121334.0
2021-11-02,33.0673,33.6199,32.7713,33.5706,122771.0
2021-11-03,33.3732,35.2284,33.1956,34.5969,158477.0
2021-11-04,34.6265,35.5244,34.6265,35.1988,122794.0
2021-11-05,35.5343,36.7234,35.1051,36.4126,108287.0
2021-11-06,35.5343,36.7234,35.1051,36.4126,108287.0
2021-11-07,35.5343,36.7234,35.1051,36.4126,108287.0
2021-11-08,36.6889,36.7579,36.008,36.2941,79465.0
2021-11-09,36.2744,36.7579,35.8501,36.5112,109787.0
2021-11-10,36.4816,37.2513,36.0474,36.6494,127799.0
2021-11-11,36.5606,37.646,34.9038,37.5079,107866.0
2021-11-12,37.6658,38.2085,37.6608,37.9519,130225.0
2021-11-13,37.6658,38.2085,37.6608,37.9519,130225.0
2021-11-14,37.6658,38.2085,37.6608,37.9519,130225.0
2021-11-15,38.1098,38.1098,36.7481,37.2415,84428.0
2021-11-16,37.2513,37.6658,36.5704,37.2612,73176.0
2021-11-17,37.2711,37.2711,36.008,36.7678,96222.0
2021-11-18,36.9257,36.9257,35.4356,35.6133,170498.0
2021-11-19,35.2975,35.6527,34.5574,35.1396,95135.0
2021-11-20,35.2975,35.6527,34.5574,35.1396,95135.0
2021-11-21,35.2975,35.6527,34.5574,35.1396,95135.0
2021-11-22,35.3567,36.383,35.3567,35.4652,69446.0
2021-11-23,35.5146,36.5606,34.7844,35.781,80513.0
2021-11-24,35.5047,35.9488,35.4258,35.6231,45178.0
2021-11-25,35.5047,35.9488,35.4258,35.6231,45178.0
2021-11-26,34.5574,34.9718,34.1728,34.7449,82854.0
2021-11-27,34.5574,34.9718,34.1728,34.7449,82854.0
2021-11-28,34.5574,34.9718,34.1728,34.7449,82854.0
2021-11-29,35.1495,35.3715,33.7976,33.916,121546.0
2021-11-30,33.5706,33.768,32.5542,32.6825,164053.0
2021-12-01,33.4522,33.5706,31.449,31.4983,116754.0
2021-12-02,31.6266,32.6726,30.4156,32.6331,64565.0
2021-12-03,32.5937,33.2646,32.0064,32.6134,96673.0
2021-12-04,32.5937,33.2646,32.0064,32.6134,96673.0
