,CCBG US Equity,CCBG US Equity,CCBG US Equity,CCBG US Equity,CCBG US Equity
2020-02-08,26.891,27.0713,26.8369,26.9541,29275.0
2020-02-09,26.891,27.0713,26.8369,26.9541,29275.0
2020-02-10,26.9091,27.2065,26.9091,27.1524,17554.0
2020-02-11,27.2877,27.5671,27.0533,27.0893,18454.0
2020-02-12,27.2606,27.3688,26.8009,26.891,18566.0
2020-02-13,26.8459,26.9316,26.6206,26.8009,34222.0
2020-02-14,26.8279,26.9091,26.5034,26.6296,14562.0
2020-02-15,26.8279,26.9091,26.5034,26.6296,14562.0
2020-02-16,26.8279,26.9091,26.5034,26.6296,14562.0
2020-02-17,26.8279,26.9091,26.5034,26.6296,14562.0
2020-02-18,26.7738,26.864,26.3501,26.4944,12816.0
2020-02-19,26.3817,26.7828,26.3817,26.5124,8079.0
2020-02-20,26.4673,26.5845,26.3556,26.5034,25634.0
2020-02-21,26.5575,26.5575,26.1428,26.3321,16309.0
2020-02-22,26.5575,26.5575,26.1428,26.3321,16309.0
2020-02-23,26.5575,26.5575,26.1428,26.3321,16309.0
2020-02-24,25.7371,25.9109,25.2954,25.6019,25197.0
2020-02-25,25.6199,25.6199,24.9979,25.1602,34351.0
2020-02-26,25.3134,25.3675,24.7185,24.9979,22333.0
2020-02-27,24.6644,24.9709,24.0874,24.1505,31905.0
2020-02-28,23.6006,24.6734,23.2671,24.0243,76014.0
2020-02-29,23.6006,24.6734,23.2671,24.0243,76014.0
2020-03-01,23.6006,24.6734,23.2671,24.0243,76014.0
2020-03-02,24.1055,24.7635,23.8765,24.5742,25863.0
2020-03-03,24.3759,24.7185,23.5826,23.6457,16480.0
2020-03-04,23.9612,24.8176,23.9612,24.3489,21354.0
2020-03-05,23.835,23.835,22.6451,23.0597,42704.0
2020-03-06,20.848,22.2711,19.7331,21.8361,92801.0
2020-03-07,20.848,22.2711,19.7331,21.8361,92801.0
2020-03-08,20.848,22.2711,19.7331,21.8361,92801.0
2020-03-09,20.6305,21.1214,19.2255,19.4703,49102.0
2020-03-10,19.1439,20.5127,19.0352,20.3042,49635.0
2020-03-11,19.7694,21.7454,18.8992,19.1711,52059.0
2020-03-12,17.8931,18.6635,17.041,17.5441,73223.0
2020-03-13,18.3463,19.4131,17.6211,18.6907,66187.0
2020-03-14,18.3463,19.4131,17.6211,18.6907,66187.0
2020-03-15,18.3463,19.4131,17.6211,18.6907,66187.0
2020-03-16,18.3191,18.3191,15.3732,16.5153,66499.0
2020-03-17,16.6966,20.2317,16.6558,20.2317,60586.0
2020-03-18,19.4431,19.4431,14.4667,15.1466,107289.0
2020-03-19,15.1828,17.8477,14.2311,17.0954,93233.0
2020-03-20,16.9866,17.5894,15.346,15.491,102573.0
2020-03-21,16.9866,17.5894,15.346,15.491,102573.0
2020-03-22,16.9866,17.5894,15.346,15.491,102573.0
2020-03-23,15.9895,16.6694,14.1495,15.627,57963.0
2020-03-24,16.4428,17.5305,15.849,17.3492,47070.0
2020-03-25,17.2676,17.9837,16.5062,17.2314,49765.0
2020-03-26,17.4761,18.1287,17.1647,18.0834,46282.0
2020-03-27,17.467,17.7072,16.9957,17.1045,96976.0
2020-03-28,17.467,17.7072,16.9957,17.1045,96976.0
2020-03-29,17.467,17.7072,16.9957,17.1045,96976.0
2020-03-30,17.322,18.0653,16.3431,18.0562,36125.0
2020-03-31,17.7118,18.2375,17.2404,18.2375,81404.0
2020-04-01,17.3764,17.6846,17.2223,17.3311,82108.0
2020-04-02,17.2223,18.4551,16.5243,17.3855,60318.0
2020-04-03,17.3492,17.748,15.8989,16.4428,43666.0
2020-04-04,17.3492,17.748,15.8989,16.4428,43666.0
2020-04-05,17.3492,17.748,15.8989,16.4428,43666.0
2020-04-06,17.1407,17.5395,16.8885,17.467,61391.0
2020-04-07,17.8115,17.9293,16.2252,16.3974,52405.0
2020-04-08,16.6603,17.143,15.9171,16.4971,45734.0
2020-04-09,16.8869,18.2828,16.5878,18.2738,43854.0
2020-04-10,16.8869,18.2828,16.5878,18.2738,43854.0
2020-04-11,16.8869,18.2828,16.5878,18.2738,43854.0
2020-04-12,16.8869,18.2828,16.5878,18.2738,43854.0
2020-04-13,18.1922,18.5548,16.7141,17.4398,21655.0
2020-04-14,17.9837,18.3191,16.3884,16.9594,33302.0
2020-04-15,16.3431,16.3793,14.8747,15.3188,71378.0
2020-04-16,15.5001,15.8083,14.648,15.2372,44422.0
2020-04-17,15.7267,16.7147,15.6995,16.47,37437.0
2020-04-18,15.7267,16.7147,15.6995,16.47,37437.0
2020-04-19,15.7267,16.7147,15.6995,16.47,37437.0
2020-04-20,15.8536,16.6059,15.8536,16.3612,32148.0
2020-04-21,15.5635,16.1436,15.5635,16.1255,38645.0
2020-04-22,16.3793,16.4428,15.491,15.9442,30274.0
2020-04-23,15.4276,16.4337,15.4276,16.3521,32900.0
2020-04-24,16.4518,17.1317,16.2388,16.9504,24481.0
2020-04-25,16.4518,17.1317,16.2388,16.9504,24481.0
2020-04-26,16.4518,17.1317,16.2388,16.9504,24481.0
2020-04-27,16.9504,18.6363,16.8869,18.1469,40635.0
2020-04-28,18.7995,20.5716,18.7995,19.3162,51853.0
2020-04-29,20.3676,21.7092,20.0413,20.9115,248699.0
2020-04-30,20.6214,20.7755,19.4884,19.9779,42720.0
2020-05-01,19.2618,19.5337,18.2012,19.1439,45439.0
2020-05-02,19.2618,19.5337,18.2012,19.1439,45439.0
2020-05-03,19.2618,19.5337,18.2012,19.1439,45439.0
2020-05-04,18.7542,19.4975,18.2919,18.9989,25945.0
2020-05-05,19.5609,20.1682,18.0109,18.0925,55875.0
2020-05-06,18.1922,18.1922,17.4308,17.6574,37728.0
2020-05-07,18.02,18.5548,16.7872,17.6483,38719.0
2020-05-08,18.2012,18.7632,17.7571,18.1287,42828.0
2020-05-09,18.2012,18.7632,17.7571,18.1287,42828.0
2020-05-10,18.2012,18.7632,17.7571,18.1287,42828.0
2020-05-11,17.7027,17.8024,16.7238,17.5124,46091.0
2020-05-12,17.5395,17.5395,16.2705,16.2705,54755.0
2020-05-13,16.2615,16.3249,15.1375,15.8536,51616.0
2020-05-14,15.4185,16.0166,15.1647,15.8083,93774.0
2020-05-15,15.8808,15.9714,15.5273,15.7085,66434.0
2020-05-16,15.8808,15.9714,15.5273,15.7085,66434.0
2020-05-17,15.8808,15.9714,15.5273,15.7085,66434.0
2020-05-18,16.2524,17.322,16.2524,17.1498,82014.0
2020-05-19,17.0048,17.0048,15.7176,15.7539,85851.0
2020-05-20,16.2705,16.8869,16.2705,16.6784,67304.0
2020-05-21,16.6694,16.8597,16.5515,16.8053,49325.0
2020-05-22,16.76,17.0773,16.6331,16.9322,47040.0
2020-05-23,16.76,17.0773,16.6331,16.9322,47040.0
2020-05-24,16.76,17.0773,16.6331,16.9322,47040.0
2020-05-25,16.76,17.0773,16.6331,16.9322,47040.0
2020-05-26,17.4036,18.2012,17.4036,18.1106,57210.0
2020-05-27,18.736,19.7603,18.3191,19.3434,61705.0
2020-05-28,19.7513,19.7875,18.6998,18.8448,56749.0
2020-05-29,18.5094,19.017,17.2314,18.446,47584.0
2020-05-30,18.5094,19.017,17.2314,18.446,47584.0
2020-05-31,18.5094,19.017,17.2314,18.446,47584.0
2020-06-01,18.5548,18.8992,18.1378,18.1378,39729.0
2020-06-02,18.2647,18.4007,17.6665,17.9112,15405.0
2020-06-03,18.3553,19.6878,18.2466,19.0805,36725.0
2020-06-04,18.9536,19.579,18.9354,19.4068,35124.0
2020-06-05,20.8302,21.8703,20.5108,21.1951,62419.0
2020-06-06,20.8302,21.8703,20.5108,21.1951,62419.0
2020-06-07,20.8302,21.8703,20.5108,21.1951,62419.0
2020-06-08,21.8885,21.8885,21.0583,21.1677,34113.0
2020-06-09,20.5473,21.04,19.936,20.7572,22557.0
2020-06-10,20.5382,20.5382,19.124,19.1878,33292.0
2020-06-11,17.9926,18.4305,17.4816,17.6915,54228.0
2020-06-12,18.5856,18.7073,17.5181,18.321,64328.0
2020-06-13,18.5856,18.7073,17.5181,18.321,64328.0
2020-06-14,18.5856,18.7073,17.5181,18.321,64328.0
2020-06-15,17.5273,18.6358,17.4908,18.5218,32852.0
2020-06-16,19.4433,19.6532,18.7499,18.9962,42198.0
2020-06-17,18.9415,18.9415,18.0838,18.1203,17312.0
2020-06-18,17.8466,19.6349,17.8466,18.2846,26743.0
2020-06-19,18.5674,18.5674,17.5364,18.0929,61759.0
2020-06-20,18.5674,18.5674,17.5364,18.0929,61759.0
2020-06-21,18.5674,18.5674,17.5364,18.0929,61759.0
2020-06-22,17.9013,18.3667,17.801,18.3575,20230.0
2020-06-23,18.6039,18.7408,17.947,17.9743,19958.0
2020-06-24,17.6732,18.1203,17.3357,17.4178,31700.0
2020-06-25,17.1805,18.0929,17.1805,18.0929,23958.0
2020-06-26,17.8557,18.2572,17.0437,17.9196,138410.0
2020-06-27,17.8557,18.2572,17.0437,17.9196,138410.0
2020-06-28,17.8557,18.2572,17.0437,17.9196,138410.0
2020-06-29,18.2298,18.7316,18.2298,18.5491,37003.0
2020-06-30,18.4123,19.2699,18.4123,19.1148,50684.0
2020-07-01,19.3703,19.3703,17.5729,17.801,36117.0
2020-07-02,18.3758,18.4488,17.6459,17.7554,16404.0
2020-07-03,18.3758,18.4488,17.6459,17.7554,16404.0
2020-07-04,18.3758,18.4488,17.6459,17.7554,16404.0
2020-07-05,18.3758,18.4488,17.6459,17.7554,16404.0
2020-07-06,18.1659,18.321,17.6185,17.8466,13606.0
2020-07-07,17.509,17.5729,17.0346,17.0711,21974.0
2020-07-08,17.1167,17.363,16.8065,17.0254,25918.0
2020-07-09,17.1714,17.1714,16.0948,16.3503,43440.0
2020-07-10,16.2864,17.5518,16.2864,17.1167,16425.0
2020-07-11,16.2864,17.5518,16.2864,17.1167,16425.0
2020-07-12,16.2864,17.5518,16.2864,17.1167,16425.0
2020-07-13,17.4725,17.4725,17.0711,17.1349,39685.0
2020-07-14,17.2627,17.2992,16.7517,16.9159,33417.0
2020-07-15,17.4269,17.4269,17.1687,17.3813,69032.0
2020-07-16,17.1258,17.3904,16.9616,17.29,42222.0
2020-07-17,17.1623,17.5181,17.0984,17.3174,40797.0
2020-07-18,17.1623,17.5181,17.0984,17.3174,40797.0
2020-07-19,17.1623,17.5181,17.0984,17.3174,40797.0
2020-07-20,17.1623,17.29,16.9251,17.0711,18986.0
2020-07-21,17.7736,18.2207,17.4086,17.5364,48826.0
2020-07-22,17.5273,17.6276,17.3722,17.5729,31679.0
2020-07-23,17.509,18.4032,17.4269,18.3484,29067.0
2020-07-24,18.1203,18.3849,18.0656,18.2572,22945.0
2020-07-25,18.1203,18.3849,18.0656,18.2572,22945.0
2020-07-26,18.1203,18.3849,18.0656,18.2572,22945.0
2020-07-27,18.1477,18.1477,17.6094,17.6824,24150.0
2020-07-28,17.509,17.8831,17.4725,17.582,22800.0
2020-07-29,17.5546,18.1247,17.4725,18.0108,14276.0
2020-07-30,17.7006,17.7006,17.2535,17.436,26990.0
2020-07-31,17.3539,17.4543,16.9798,17.1805,43645.0
2020-08-01,17.3539,17.4543,16.9798,17.1805,43645.0
2020-08-02,17.3539,17.4543,16.9798,17.1805,43645.0
2020-08-03,17.217,17.7006,17.217,17.4451,22338.0
2020-08-04,17.2718,17.3174,16.9981,17.29,20974.0
2020-08-05,17.4725,17.7462,17.3083,17.7462,25833.0
2020-08-06,17.7645,17.874,17.582,17.7371,20823.0
2020-08-07,17.8101,18.7316,17.7554,18.7316,24827.0
2020-08-08,17.8101,18.7316,17.7554,18.7316,24827.0
2020-08-09,17.8101,18.7316,17.7554,18.7316,24827.0
2020-08-10,18.7864,19.2426,18.6951,19.0236,26797.0
2020-08-11,19.1513,19.8083,19.1513,19.3247,25176.0
2020-08-12,19.7353,19.7353,19.2198,19.4798,38981.0
2020-08-13,19.2608,19.2608,18.905,19.0418,17005.0
2020-08-14,18.8411,19.2517,18.7499,19.1057,22943.0
2020-08-15,18.8411,19.2517,18.7499,19.1057,22943.0
2020-08-16,18.8411,19.2517,18.7499,19.1057,22943.0
2020-08-17,19.1148,19.1148,18.7134,18.8594,15596.0
2020-08-18,18.7316,18.7316,18.2024,18.2754,21757.0
2020-08-19,18.3028,18.645,18.1241,18.3758,22067.0
2020-08-20,18.3849,18.4123,18.1933,18.3849,21637.0
2020-08-21,18.4032,18.8137,18.1751,18.6586,66232.0
2020-08-22,18.4032,18.8137,18.1751,18.6586,66232.0
2020-08-23,18.4032,18.8137,18.1751,18.6586,66232.0
2020-08-24,18.759,19.1696,18.5309,18.9689,25143.0
2020-08-25,19.2335,19.2335,18.3947,18.8502,27752.0
2020-08-26,18.8959,18.8959,18.613,18.613,17293.0
2020-08-27,18.7316,19.1057,18.7134,18.7681,13410.0
2020-08-28,18.9962,19.0783,18.4032,18.7408,14133.0
2020-08-29,18.9962,19.0783,18.4032,18.7408,14133.0
2020-08-30,18.9962,19.0783,18.4032,18.7408,14133.0
2020-08-31,18.613,19.644,18.4944,18.4944,33624.0
2020-09-01,18.4853,18.6495,18.2207,18.4944,14520.0
2020-09-02,18.4214,18.613,18.3484,18.5856,19707.0
2020-09-03,18.5035,19.0692,18.3849,18.4305,22576.0
2020-09-04,18.8685,18.9962,18.5035,18.8867,25271.0
2020-09-05,18.8685,18.9962,18.5035,18.8867,25271.0
2020-09-06,18.8685,18.9962,18.5035,18.8867,25271.0
2020-09-07,18.8685,18.9962,18.5035,18.8867,25271.0
2020-09-08,18.7499,18.7499,17.9196,18.1568,29714.0
2020-09-09,18.2754,18.3849,17.9378,17.9561,24681.0
2020-09-10,18.2116,18.3849,17.8968,17.9926,27056.0
2020-09-11,18.112,18.112,17.6066,17.7812,22527.0
2020-09-12,18.112,18.112,17.6066,17.7812,22527.0
2020-09-13,18.112,18.112,17.6066,17.7812,22527.0
2020-09-14,17.8042,18.7829,17.8042,18.5439,28064.0
2020-09-15,17.9742,18.6358,17.9742,18.3326,20032.0
2020-09-16,17.9922,18.6083,17.9922,18.4888,20445.0
2020-09-17,18.2591,18.5118,18.1304,18.4153,20489.0
2020-09-18,18.6266,18.6266,18.0615,18.6266,79316.0
2020-09-19,18.6266,18.6266,18.0615,18.6266,79316.0
2020-09-20,18.6266,18.6266,18.0615,18.6266,79316.0
2020-09-21,18.1304,18.3785,16.9634,17.1564,54127.0
2020-09-22,17.3401,17.3401,16.7428,16.9266,43320.0
2020-09-23,17.0461,17.1747,16.2926,16.3293,31733.0
2020-09-24,16.4763,17.0093,16.2282,16.3385,38185.0
2020-09-25,16.1272,16.4947,16.1272,16.3385,46401.0
2020-09-26,16.1272,16.4947,16.1272,16.3385,46401.0
2020-09-27,16.1272,16.4947,16.1272,16.3385,46401.0
2020-09-28,16.7245,17.432,16.7245,17.3218,37714.0
2020-09-29,17.173,17.2207,16.7796,17.2207,12438.0
2020-09-30,17.2207,17.5055,17.0828,17.2666,27166.0
2020-10-01,17.331,17.432,17.0553,17.4045,23336.0
2020-10-02,16.6739,18.2315,16.6739,18.1856,31903.0
2020-10-03,16.6739,18.2315,16.6739,18.1856,31903.0
2020-10-04,16.6739,18.2315,16.6739,18.1856,31903.0
2020-10-05,17.7965,18.838,17.7965,18.838,25860.0
2020-10-06,18.838,19.8488,18.5164,19.031,29348.0
2020-10-07,19.6512,20.0877,19.4904,19.8212,23940.0
2020-10-08,20.0326,20.2991,19.7477,20.0602,20271.0
2020-10-09,20.1245,20.2807,19.7293,19.7937,12461.0
2020-10-10,20.1245,20.2807,19.7293,19.7937,12461.0
2020-10-11,20.1245,20.2807,19.7293,19.7937,12461.0
2020-10-12,19.665,20.2164,19.4904,20.1153,14633.0
2020-10-13,19.9407,19.9407,18.9575,19.2423,21101.0
2020-10-14,19.1872,19.518,18.9391,18.9391,10454.0
2020-10-15,19.0677,19.4353,18.8012,19.178,16028.0
2020-10-16,19.0769,19.371,18.792,19.2975,15006.0
2020-10-17,19.0769,19.371,18.792,19.2975,15006.0
2020-10-18,19.0769,19.371,18.792,19.2975,15006.0
2020-10-19,19.2791,19.3158,19.1045,19.1229,7566.0
2020-10-20,19.2975,19.6375,18.8196,19.4996,9195.0
2020-10-21,19.3296,19.711,19.3296,19.711,5515.0
2020-10-22,20.1099,20.198,19.9545,19.9775,11923.0
2020-10-23,20.1245,20.3266,20.005,20.005,8713.0
2020-10-24,20.1245,20.3266,20.005,20.005,8713.0
2020-10-25,20.1245,20.3266,20.005,20.005,8713.0
2020-10-26,19.9591,19.9821,19.5915,19.8212,28511.0
2020-10-27,20.8137,20.8137,19.3939,19.4445,34480.0
2020-10-28,19.2975,19.8029,19.2975,19.711,60973.0
2020-10-29,19.5639,19.6926,19.3067,19.5731,24649.0
2020-10-30,19.4996,19.8534,19.3066,19.5823,17192.0
2020-10-31,19.4996,19.8534,19.3066,19.5823,17192.0
2020-11-01,19.4996,19.8534,19.3066,19.5823,17192.0
2020-11-02,19.5916,20.051,19.3802,20.0418,18913.0
2020-11-03,20.4002,20.8137,20.2531,20.8137,20985.0
2020-11-04,20.2623,20.2623,18.9758,18.9758,13557.0
2020-11-05,18.9574,19.5364,18.9574,19.3985,11323.0
2020-11-06,19.2699,19.2699,18.691,18.7553,14404.0
2020-11-07,19.2699,19.2699,18.691,18.7553,14404.0
2020-11-08,19.2699,19.2699,18.691,18.7553,14404.0
2020-11-09,18.9391,21.4707,18.9391,20.5288,51649.0
2020-11-10,20.8872,21.8337,20.2394,21.4661,36743.0
2020-11-11,22.045,22.045,20.4645,20.9056,25937.0
2020-11-12,20.4369,20.5104,19.7937,20.2991,15898.0
2020-11-13,20.6023,21.1077,20.4231,20.7769,16110.0
2020-11-14,20.6023,21.1077,20.4231,20.7769,16110.0
2020-11-15,20.6023,21.1077,20.4231,20.7769,16110.0
2020-11-16,21.3099,21.938,21.071,21.5029,42819.0
2020-11-17,21.025,21.5948,20.8688,21.4569,15302.0
2020-11-18,21.8245,21.8521,21.1537,21.3191,11158.0
2020-11-19,20.9791,21.1629,20.8137,21.1629,10463.0
2020-11-20,20.8412,21.2823,20.7677,21.1169,18736.0
2020-11-21,20.8412,21.2823,20.7677,21.1169,18736.0
2020-11-22,20.8412,21.2823,20.7677,21.1169,18736.0
2020-11-23,21.3099,21.5353,21.1353,21.264,19627.0
2020-11-24,21.5304,23.0467,21.5304,22.8078,36262.0
2020-11-25,22.4402,22.6423,22.0267,22.624,17166.0
2020-11-26,22.4402,22.6423,22.0267,22.624,17166.0
2020-11-27,22.4126,22.6102,21.7877,22.2656,7867.0
2020-11-28,22.4126,22.6102,21.7877,22.2656,7867.0
2020-11-29,22.4126,22.6102,21.7877,22.2656,7867.0
2020-11-30,22.2656,22.2932,20.8872,20.924,27291.0
2020-12-01,21.1996,22.0956,21.1353,21.9899,28839.0
2020-12-02,22.3299,22.6286,21.8787,22.2656,20314.0
2020-12-03,22.1094,22.6056,22.1094,22.5596,13336.0
2020-12-04,22.5596,23.6784,22.5596,23.4565,24357.0
2020-12-05,22.5596,23.6784,22.5596,23.4565,24357.0
2020-12-06,22.5596,23.6784,22.5596,23.4565,24357.0
2020-12-07,23.1606,23.4981,22.874,23.2253,15039.0
2020-12-08,22.911,23.9835,22.911,23.9465,27523.0
2020-12-09,24.1222,24.1222,23.7893,23.965,21413.0
2020-12-10,23.5304,24.039,23.5304,24.0205,11341.0
2020-12-11,23.5859,23.9188,23.3918,23.6229,13928.0
2020-12-12,23.5859,23.9188,23.3918,23.6229,13928.0
2020-12-13,23.5859,23.9188,23.3918,23.6229,13928.0
2020-12-14,23.7061,23.9835,23.6229,23.6691,22855.0
2020-12-15,23.928,24.2239,23.6321,23.6876,28715.0
2020-12-16,23.9373,24.3626,23.6506,23.6506,35564.0
2020-12-17,23.6229,24.0621,23.6229,24.0575,28896.0
2020-12-18,24.2146,24.2146,22.1798,22.421,104184.0
2020-12-19,24.2146,24.2146,22.1798,22.421,104184.0
2020-12-20,24.2146,24.2146,22.1798,22.421,104184.0
2020-12-21,22.5504,24.0759,22.1899,22.7815,35773.0
2020-12-22,22.7076,23.0034,22.4117,22.4949,32535.0
2020-12-23,22.6244,23.1421,22.6244,23.0959,20174.0
2020-12-24,23.2808,23.2808,22.6521,22.9295,7912.0
2020-12-25,23.2808,23.2808,22.6521,22.9295,7912.0
2020-12-26,23.2808,23.2808,22.6521,22.9295,7912.0
2020-12-27,23.2808,23.2808,22.6521,22.9295,7912.0
2020-12-28,23.0127,23.4657,22.9942,23.0312,17180.0
2020-12-29,23.1329,23.1329,22.421,22.5227,19571.0
2020-12-30,22.384,22.9295,22.3747,22.8925,17963.0
2020-12-31,23.1699,23.3779,22.7261,22.7261,12600.0
2021-01-01,23.1699,23.3779,22.7261,22.7261,12600.0
2021-01-02,23.1699,23.3779,22.7261,22.7261,12600.0
2021-01-03,23.1699,23.3779,22.7261,22.7261,12600.0
2021-01-04,22.763,22.8324,21.8755,22.3377,29589.0
2021-01-05,22.2037,22.9665,22.2037,22.5227,21396.0
2021-01-06,23.1236,24.9542,23.0959,24.6584,39732.0
2021-01-07,24.9635,24.9635,24.3348,24.529,19191.0
2021-01-08,24.8711,24.8711,23.3825,23.9095,15845.0
2021-01-09,24.8711,24.8711,23.3825,23.9095,15845.0
2021-01-10,24.8711,24.8711,23.3825,23.9095,15845.0
2021-01-11,23.4592,24.1869,23.4592,24.1869,10859.0
2021-01-12,23.7801,24.4088,23.6506,24.3348,18030.0
2021-01-13,24.1592,24.1592,23.5582,23.6137,11707.0
2021-01-14,23.9003,24.7377,23.5582,24.0205,16875.0
2021-01-15,23.5212,23.965,23.2531,23.5767,16582.0
2021-01-16,23.5212,23.965,23.2531,23.5767,16582.0
2021-01-17,23.5212,23.965,23.2531,23.5767,16582.0
2021-01-18,23.5212,23.965,23.2531,23.5767,16582.0
2021-01-19,23.9095,23.9095,22.9202,23.1884,14869.0
2021-01-20,23.1236,23.4657,22.6521,22.9757,23132.0
2021-01-21,23.1329,23.1329,22.4903,22.6336,14264.0
2021-01-22,22.2823,22.7446,22.2823,22.7168,25436.0
2021-01-23,22.2823,22.7446,22.2823,22.7168,25436.0
2021-01-24,22.2823,22.7446,22.2823,22.7168,25436.0
2021-01-25,22.4487,22.7769,22.0511,22.3932,25969.0
2021-01-26,22.4025,22.8572,21.0248,21.1358,44874.0
2021-01-27,20.4054,20.6979,19.8019,19.9708,57065.0
2021-01-28,20.4331,21.3531,20.1927,20.8122,43486.0
2021-01-29,21.0156,21.0988,20.6458,20.6458,40590.0
2021-01-30,21.0156,21.0988,20.6458,20.6458,40590.0
2021-01-31,21.0156,21.0988,20.6458,20.6458,40590.0
2021-02-01,20.7845,21.3484,20.618,21.1728,35923.0
2021-02-02,21.33,21.7183,21.2421,21.4964,63196.0
2021-02-03,21.4317,21.4317,20.8492,20.8862,23745.0
2021-02-04,21.0618,22.5319,21.0618,22.5319,32969.0
2021-02-05,22.8,22.8,21.8477,22.3193,30193.0
2021-02-06,22.8,22.8,21.8477,22.3193,30193.0
2021-02-07,22.8,22.8,21.8477,22.3193,30193.0
2021-02-08,22.2083,22.4487,21.8107,22.4302,17683.0
2021-02-09,22.1898,22.3747,21.8879,22.2545,17923.0
2021-02-10,22.3377,22.4579,21.8662,21.9124,22661.0
2021-02-11,22.0881,22.0881,20.6828,21.0896,41838.0
2021-02-12,20.9509,21.4686,20.9509,21.4686,41968.0
2021-02-13,20.9509,21.4686,20.9509,21.4686,41968.0
2021-02-14,20.9509,21.4686,20.9509,21.4686,41968.0
2021-02-15,20.9509,21.4686,20.9509,21.4686,41968.0
2021-02-16,21.6628,22.3377,21.33,22.1806,30071.0
2021-02-17,22.1713,22.5411,22.0049,22.3932,19217.0
2021-02-18,22.2545,22.4579,21.8385,21.9217,23912.0
2021-02-19,22.0049,22.6706,22.0049,22.6521,20889.0
2021-02-20,22.0049,22.6706,22.0049,22.6521,20889.0
2021-02-21,22.0049,22.6706,22.0049,22.6521,20889.0
2021-02-22,22.347,23.3363,22.347,23.1606,60461.0
2021-02-23,23.3455,24.3626,23.2068,23.6691,29444.0
2021-02-24,24.0297,24.3718,23.6691,24.0482,38819.0
2021-02-25,24.2701,24.2701,23.5397,23.5397,18820.0
2021-02-26,23.4935,23.4935,22.8278,22.8278,22329.0
2021-02-27,23.4935,23.4935,22.8278,22.8278,22329.0
2021-02-28,23.4935,23.4935,22.8278,22.8278,22329.0
2021-03-01,23.2438,23.6969,23.156,23.4565,35836.0
2021-03-02,23.3548,23.7708,23.0866,23.2346,23004.0
2021-03-03,23.2068,24.9437,23.2068,24.5937,29458.0
2021-03-04,24.5937,25.4813,24.3163,24.7139,39953.0
2021-03-05,24.9836,25.8297,24.872,25.3369,34438.0
2021-03-06,24.9836,25.8297,24.872,25.3369,34438.0
2021-03-07,24.9836,25.8297,24.872,25.3369,34438.0
2021-03-08,25.3462,26.2481,25.0207,26.0435,24208.0
2021-03-09,25.9691,26.2667,25.2625,25.7646,30956.0
2021-03-10,25.8111,26.7037,25.5182,26.6014,30716.0
2021-03-11,26.7595,26.9454,26.2016,26.4712,28729.0
2021-03-12,26.7873,26.9454,26.4712,26.713,22604.0
2021-03-13,26.7873,26.9454,26.4712,26.713,22604.0
