,AAPL US Equity,AAPL US Equity,AAPL US Equity,AAPL US Equity,AAPL US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-11-20,64.505,64.636,63.256,63.934,106439676.0
2019-11-21,64.055,64.132,63.445,63.647,121395112.0
2019-11-22,63.788,63.931,63.363,63.591,65325052.0
2019-11-23,63.788,63.931,63.363,63.591,65325052.0
2019-11-24,63.788,63.931,63.363,63.591,65325052.0
2019-11-25,63.817,64.723,63.771,64.706,84118068.0
2019-11-26,64.845,64.898,63.766,64.201,105339528.0
2019-11-27,64.514,65.097,64.449,65.063,65544488.0
2019-11-28,64.514,65.097,64.449,65.063,65544488.0
2019-11-29,64.762,65.102,64.592,64.92,46617452.0
2019-11-30,64.762,65.102,64.592,64.92,46617452.0
2019-12-01,64.762,65.102,64.592,64.92,46617452.0
2019-12-02,64.925,65.163,63.997,64.169,94774200.0
2019-12-03,62.748,63.045,62.258,63.025,117509072.0
2019-12-04,63.419,63.963,63.324,63.581,67241552.0
2019-12-05,64.079,64.59,63.822,64.514,74645372.0
2019-12-06,64.976,65.831,64.932,65.76,106189972.0
2019-12-07,64.976,65.831,64.932,65.76,106189972.0
2019-12-08,64.976,65.831,64.932,65.76,106189972.0
2019-12-09,65.588,65.782,64.352,64.84,128730580.0
2019-12-10,65.248,65.605,64.582,65.219,90529532.0
2019-12-11,65.299,65.855,65.224,65.775,78893564.0
2019-12-12,65.049,66.21,64.937,65.943,137748168.0
2019-12-13,65.943,66.875,65.814,66.839,133731224.0
2019-12-14,65.943,66.875,65.814,66.839,133731224.0
2019-12-15,65.943,66.875,65.814,66.839,133731224.0
2019-12-16,67.288,68.209,67.284,67.983,128324420.0
2019-12-17,67.913,68.447,67.726,68.117,114303192.0
2019-12-18,67.969,68.479,67.803,67.954,116098748.0
2019-12-19,67.896,68.304,67.762,68.022,98507788.0
2019-12-20,68.559,68.661,67.667,67.881,276130972.0
2019-12-21,68.559,68.661,67.667,67.881,276130972.0
2019-12-22,68.559,68.661,67.667,67.881,276130972.0
2019-12-23,68.146,69.05,68.108,68.989,98711532.0
2019-12-24,69.156,69.205,68.726,69.054,48478856.0
2019-12-25,69.156,69.205,68.726,69.054,48478856.0
2019-12-26,69.188,70.441,69.159,70.424,93336016.0
2019-12-27,70.718,71.411,69.99,70.398,146371744.0
2019-12-28,70.718,71.411,69.99,70.398,146371744.0
2019-12-29,70.718,71.411,69.99,70.398,146371744.0
2019-12-30,70.315,71.1,69.285,70.816,144238456.0
2019-12-31,70.429,71.34,70.33,71.333,100990500.0
2020-01-01,70.429,71.34,70.33,71.333,100990500.0
2020-01-02,71.962,73.021,71.707,72.961,135647456.0
2020-01-03,72.183,73.016,72.025,72.251,146535512.0
2020-01-04,72.183,73.016,72.025,72.251,146535512.0
2020-01-05,72.183,73.016,72.025,72.251,146535512.0
2020-01-06,71.367,72.866,71.114,72.827,118578576.0
2020-01-07,72.837,73.094,72.263,72.484,111510620.0
2020-01-08,72.186,73.954,72.185,73.65,132363784.0
2020-01-09,74.633,75.409,74.382,75.215,170486168.0
2020-01-10,75.45,75.953,74.88,75.385,140869088.0
2020-01-11,75.45,75.953,74.88,75.385,140869088.0
2020-01-12,75.45,75.953,74.88,75.385,140869088.0
2020-01-13,75.703,77.022,75.584,76.995,122086888.0
2020-01-14,76.932,77.144,75.832,75.956,162613828.0
2020-01-15,75.754,76.641,75.195,75.63,121923528.0
2020-01-16,76.177,76.689,75.812,76.578,108829016.0
2020-01-17,76.828,77.428,76.519,77.425,137816468.0
2020-01-18,76.828,77.428,76.519,77.425,137816468.0
2020-01-19,76.828,77.428,76.519,77.425,137816468.0
2020-01-20,76.828,77.428,76.519,77.425,137816468.0
2020-01-21,77.051,77.496,76.762,76.901,110843256.0
2020-01-22,77.389,77.731,77.08,77.175,101832460.0
2020-01-23,77.229,77.627,76.677,77.547,104471972.0
2020-01-24,77.795,78.543,77.131,77.323,146537520.0
2020-01-25,77.795,78.543,77.131,77.323,146537520.0
2020-01-26,77.795,78.543,77.131,77.323,146537520.0
2020-01-27,75.319,75.735,74.061,75.05,161940020.0
2020-01-28,75.936,77.345,75.837,77.173,162233944.0
2020-01-29,78.815,79.641,78.069,78.788,216599712.0
2020-01-30,77.866,78.727,77.43,78.674,126743232.0
2020-01-31,77.96,78.385,74.889,75.186,199588384.0
2020-02-01,77.96,78.385,74.889,75.186,199588384.0
2020-02-02,77.96,78.385,74.889,75.186,199588384.0
2020-02-03,73.92,76.153,73.415,74.979,173985604.0
2020-02-04,76.595,77.646,76.188,77.455,136616536.0
2020-02-05,78.589,78.89,77.479,78.086,118826872.0
2020-02-06,78.358,79.002,77.798,79.0,105425540.0
2020-02-07,78.495,78.746,77.431,77.926,117684048.0
2020-02-08,78.495,78.746,77.431,77.926,117684048.0
2020-02-09,78.495,78.746,77.431,77.926,117684048.0
2020-02-10,76.501,78.296,76.421,78.296,109348860.0
2020-02-11,78.795,78.868,77.604,77.823,94323120.0
2020-02-12,78.276,79.676,78.276,79.672,113730292.0
2020-02-13,78.939,79.433,78.734,79.104,94747568.0
2020-02-14,79.073,79.375,78.612,79.124,80113788.0
2020-02-15,79.073,79.375,78.612,79.124,80113788.0
2020-02-16,79.073,79.375,78.612,79.124,80113788.0
2020-02-17,79.073,79.375,78.612,79.124,80113788.0
2020-02-18,76.789,77.858,76.606,77.675,152762180.0
2020-02-19,77.918,79.031,77.918,78.8,93983964.0
2020-02-20,78.559,79.051,77.483,77.991,100565956.0
2020-02-21,77.582,78.028,75.605,76.226,129705660.0
2020-02-22,77.582,78.028,75.605,76.226,129705660.0
2020-02-23,77.582,78.028,75.605,76.226,129705660.0
2020-02-24,72.381,74.066,70.426,72.605,222195312.0
2020-02-25,73.28,73.665,69.671,70.146,230673456.0
2020-02-26,69.769,72.532,69.761,71.259,198713724.0
2020-02-27,68.446,69.64,66.464,66.601,320605524.0
2020-02-28,62.642,67.791,62.425,66.562,426884920.0
2020-02-29,62.642,67.791,62.425,66.562,426884920.0
2020-03-01,62.642,67.791,62.425,66.562,426884920.0
2020-03-02,68.734,73.399,67.623,72.759,341397356.0
2020-03-03,73.942,74.022,69.591,70.448,319475408.0
2020-03-04,72.182,73.876,71.376,73.716,219178272.0
2020-03-05,71.958,72.939,70.957,71.325,187572876.0
2020-03-06,68.666,70.813,68.478,70.377,226176984.0
2020-03-07,68.666,70.813,68.478,70.377,226176984.0
2020-03-08,68.666,70.813,68.478,70.377,226176984.0
2020-03-09,64.222,67.714,64.039,64.811,286744832.0
2020-03-10,67.482,69.747,65.59,69.479,285290080.0
2020-03-11,67.543,68.476,66.197,67.066,256379880.0
2020-03-12,62.32,65.744,60.387,60.443,418474068.0
2020-03-13,64.499,68.159,61.592,67.684,370732128.0
2020-03-14,64.499,68.159,61.592,67.684,370732128.0
2020-03-15,64.499,68.159,61.592,67.684,370732128.0
2020-03-16,58.914,63.085,58.439,58.977,322423460.0
2020-03-17,60.267,62.727,58.049,61.57,324055860.0
2020-03-18,58.383,60.874,57.738,60.063,300233624.0
2020-03-19,60.237,61.565,59.074,59.603,271857020.0
2020-03-20,60.187,61.319,55.517,55.819,401693384.0
2020-03-21,60.187,61.319,55.517,55.819,401693384.0
2020-03-22,60.187,61.319,55.517,55.819,401693384.0
2020-03-23,55.536,55.639,51.769,54.633,336752832.0
2020-03-24,57.552,60.311,57.051,60.114,287531092.0
2020-03-25,61.056,62.883,59.486,59.783,303602040.0
2020-03-26,60.026,62.987,59.987,62.929,252560676.0
2020-03-27,61.543,62.303,60.155,60.323,204216612.0
2020-03-28,61.543,62.303,60.155,60.323,204216612.0
2020-03-29,61.543,62.303,60.155,60.323,204216612.0
2020-03-30,61.054,62.218,60.728,62.045,167976440.0
2020-03-31,62.237,63.915,61.361,61.918,197002004.0
2020-04-01,60.022,60.562,58.227,58.66,176218552.0
2020-04-02,58.522,59.693,57.684,59.639,165933972.0
2020-04-03,59.121,59.827,58.189,58.782,129880068.0
2020-04-04,59.121,59.827,58.189,58.782,129880068.0
2020-04-05,59.121,59.827,58.189,58.782,129880068.0
2020-04-06,61.093,64.066,60.723,63.91,201820284.0
2020-04-07,65.938,66.158,63.065,63.17,202887324.0
2020-04-08,63.976,65.103,63.608,64.787,168895284.0
2020-04-09,65.427,65.761,64.453,65.254,162116492.0
2020-04-10,65.427,65.761,64.453,65.254,162116492.0
2020-04-11,65.427,65.761,64.453,65.254,162116492.0
2020-04-12,65.427,65.761,64.453,65.254,162116492.0
2020-04-13,65.332,66.645,64.728,66.535,131022924.0
2020-04-14,68.179,70.187,67.704,69.895,194994688.0
2020-04-15,68.763,69.72,68.332,69.257,131154564.0
2020-04-16,69.976,70.175,68.751,69.808,157125160.0
2020-04-17,69.321,69.87,67.414,68.86,215249912.0
2020-04-18,69.321,69.87,67.414,68.86,215249912.0
2020-04-19,69.321,69.87,67.414,68.86,215249912.0
2020-04-20,67.679,68.588,67.412,67.431,130015000.0
2020-04-21,67.273,67.509,64.631,65.347,180991572.0
2020-04-22,66.623,67.667,66.279,67.229,117057368.0
