,ECOL US Equity,ECOL US Equity,ECOL US Equity,ECOL US Equity,ECOL US Equity
2020-04-20,32.04,32.89,30.75,30.92,215284.0
2020-04-21,30.09,31.08,29.78,29.94,155897.0
2020-04-22,30.36,30.36,28.73,29.5,169071.0
2020-04-23,29.51,31.82,29.51,31.65,325199.0
2020-04-24,31.66,32.33,30.905,31.4,261713.0
2020-04-25,31.66,32.33,30.905,31.4,261713.0
2020-04-26,31.66,32.33,30.905,31.4,261713.0
2020-04-27,31.48,33.31,31.48,33.04,339138.0
2020-04-28,33.71,34.14,32.61,32.73,243128.0
2020-04-29,33.86,34.33,31.73,33.77,209289.0
2020-04-30,33.06,33.68,32.5,32.78,272330.0
2020-05-01,32.14,32.46,31.39,32.29,193240.0
2020-05-02,32.14,32.46,31.39,32.29,193240.0
2020-05-03,32.14,32.46,31.39,32.29,193240.0
2020-05-04,31.91,33.4,31.56,33.22,239447.0
2020-05-05,33.81,34.23,31.5,31.57,394259.0
2020-05-06,31.6,31.9822,30.3,30.52,225471.0
2020-05-07,30.93,32.15,30.9,32.03,384949.0
2020-05-08,32.35,33.24,29.62,31.11,724105.0
2020-05-09,32.35,33.24,29.62,31.11,724105.0
2020-05-10,32.35,33.24,29.62,31.11,724105.0
2020-05-11,30.34,32.27,29.9,32.17,381937.0
2020-05-12,32.16,32.51,29.2,29.23,517295.0
2020-05-13,28.89,29.82,27.43,27.59,450228.0
2020-05-14,27.1,28.78,26.69,28.67,272253.0
2020-05-15,28.36,28.82,27.76,28.27,595696.0
2020-05-16,28.36,28.82,27.76,28.27,595696.0
2020-05-17,28.36,28.82,27.76,28.27,595696.0
2020-05-18,29.0,31.18,29.0,31.07,440897.0
2020-05-19,31.15,32.22,30.28,32.01,370523.0
2020-05-20,32.25,32.595,31.795,32.35,323207.0
2020-05-21,32.17,32.57,31.6,32.33,178662.0
2020-05-22,32.33,32.33,31.12,32.1,224364.0
2020-05-23,32.33,32.33,31.12,32.1,224364.0
2020-05-24,32.33,32.33,31.12,32.1,224364.0
2020-05-25,32.33,32.33,31.12,32.1,224364.0
2020-05-26,32.9,35.14,32.64,34.44,461891.0
2020-05-27,35.1,36.31,34.35,36.26,394562.0
2020-05-28,36.99,36.99,33.89,33.99,259499.0
2020-05-29,33.89,34.19,33.145,33.67,275674.0
2020-05-30,33.89,34.19,33.145,33.67,275674.0
2020-05-31,33.89,34.19,33.145,33.67,275674.0
2020-06-01,33.9,34.99,33.56,33.74,181822.0
2020-06-02,34.05,34.91,33.94,34.56,208329.0
2020-06-03,35.26,36.44,35.12,36.24,304731.0
2020-06-04,36.05,36.38,35.53,36.33,319714.0
2020-06-05,38.0,38.66,37.27,37.33,251685.0
2020-06-06,38.0,38.66,37.27,37.33,251685.0
2020-06-07,38.0,38.66,37.27,37.33,251685.0
2020-06-08,38.39,39.31,37.58,38.69,332681.0
2020-06-09,37.73,38.11,36.1,36.53,247922.0
2020-06-10,36.35,36.42,34.63,34.66,193890.0
2020-06-11,33.33,33.774,31.62,31.8,257723.0
2020-06-12,32.89,33.75,32.59,33.46,178809.0
2020-06-13,32.89,33.75,32.59,33.46,178809.0
2020-06-14,32.89,33.75,32.59,33.46,178809.0
2020-06-15,32.06,34.02,31.69,33.54,182887.0
2020-06-16,34.76,36.21,33.72,34.74,179894.0
2020-06-17,34.64,34.65,33.13,33.94,170011.0
2020-06-18,33.25,34.59,33.24,34.17,205862.0
2020-06-19,34.99,35.23,34.41,34.82,462308.0
2020-06-20,34.99,35.23,34.41,34.82,462308.0
2020-06-21,34.99,35.23,34.41,34.82,462308.0
2020-06-22,34.48,35.07,33.96,34.93,242996.0
2020-06-23,35.22,35.94,34.24,35.1,210650.0
2020-06-24,34.59,34.7,33.78,34.26,275432.0
2020-06-25,34.02,34.7,33.02,33.73,177571.0
2020-06-26,33.48,33.66,31.44,31.67,1428012.0
2020-06-27,33.48,33.66,31.44,31.67,1428012.0
2020-06-28,33.48,33.66,31.44,31.67,1428012.0
2020-06-29,32.07,32.93,31.74,32.6,269127.0
2020-06-30,32.42,34.2,32.395,33.88,289070.0
2020-07-01,33.82,35.45,33.82,34.67,258463.0
2020-07-02,35.25,35.71,33.74,33.89,194923.0
2020-07-03,35.25,35.71,33.74,33.89,194923.0
2020-07-04,35.25,35.71,33.74,33.89,194923.0
2020-07-05,35.25,35.71,33.74,33.89,194923.0
2020-07-06,34.84,35.14,33.81,34.3,245233.0
2020-07-07,33.92,34.18,32.85,32.97,157029.0
2020-07-08,32.78,33.28,30.97,31.45,181485.0
2020-07-09,31.4,31.73,29.89,30.35,219977.0
2020-07-10,30.24,31.35,30.07,31.05,306518.0
2020-07-11,30.24,31.35,30.07,31.05,306518.0
2020-07-12,30.24,31.35,30.07,31.05,306518.0
2020-07-13,31.48,32.57,30.68,31.69,134502.0
2020-07-14,31.55,32.33,31.15,32.18,128141.0
2020-07-15,32.91,33.46,32.57,32.9,211823.0
2020-07-16,32.87,33.68,32.41,32.89,199932.0
2020-07-17,32.84,33.5,32.5,33.04,199588.0
2020-07-18,32.84,33.5,32.5,33.04,199588.0
2020-07-19,32.84,33.5,32.5,33.04,199588.0
2020-07-20,32.75,33.08,31.885,32.27,140807.0
2020-07-21,32.76,33.77,32.17,33.72,193407.0
2020-07-22,33.51,34.55,32.92,34.48,155066.0
2020-07-23,34.35,35.3,34.01,35.08,188775.0
2020-07-24,35.15,35.435,34.3206,34.56,142407.0
2020-07-25,35.15,35.435,34.3206,34.56,142407.0
2020-07-26,35.15,35.435,34.3206,34.56,142407.0
2020-07-27,34.43,34.43,33.745,34.1,93878.0
2020-07-28,34.08,34.08,33.52,33.65,120434.0
2020-07-29,33.97,35.11,33.9202,34.99,130298.0
2020-07-30,34.41,35.08,33.795,34.81,203923.0
2020-07-31,34.47,35.0,32.06,34.68,193427.0
2020-08-01,34.47,35.0,32.06,34.68,193427.0
2020-08-02,34.47,35.0,32.06,34.68,193427.0
2020-08-03,34.96,35.74,34.71,35.54,197300.0
2020-08-04,35.64,35.7462,35.095,35.66,122665.0
2020-08-05,36.5,36.82,36.02,36.57,271550.0
2020-08-06,36.65,37.91,35.84,37.54,244490.0
2020-08-07,35.91,38.26,35.26,37.72,221651.0
2020-08-08,35.91,38.26,35.26,37.72,221651.0
2020-08-09,35.91,38.26,35.26,37.72,221651.0
2020-08-10,38.21,38.72,37.76,38.45,245716.0
2020-08-11,38.58,39.17,37.91,38.18,287283.0
2020-08-12,38.72,38.74,37.68,38.01,193853.0
2020-08-13,38.0,38.055,37.55,37.7,136895.0
2020-08-14,37.37,39.13,37.37,38.64,191312.0
2020-08-15,37.37,39.13,37.37,38.64,191312.0
2020-08-16,37.37,39.13,37.37,38.64,191312.0
2020-08-17,38.76,38.76,37.18,37.34,135822.0
2020-08-18,37.15,37.99,36.95,37.5,219485.0
2020-08-19,37.61,38.53,37.58,37.81,146202.0
2020-08-20,37.42,37.54,36.6672,36.81,116820.0
2020-08-21,36.81,37.04,35.86,36.43,180691.0
2020-08-22,36.81,37.04,35.86,36.43,180691.0
2020-08-23,36.81,37.04,35.86,36.43,180691.0
2020-08-24,36.91,37.7,36.58,37.68,113584.0
2020-08-25,38.07,38.22,37.28,37.42,83473.0
2020-08-26,37.3,37.7,36.85,37.14,124548.0
2020-08-27,37.35,37.87,35.77,37.3,127721.0
2020-08-28,37.71,37.92,37.18,37.67,111143.0
2020-08-29,37.71,37.92,37.18,37.67,111143.0
2020-08-30,37.71,37.92,37.18,37.67,111143.0
2020-08-31,37.49,37.51,36.68,37.13,153784.0
2020-09-01,36.91,37.84,36.655,37.73,171461.0
2020-09-02,37.83,38.28,37.13,37.17,140280.0
2020-09-03,37.23,37.73,35.85,36.11,195425.0
2020-09-04,36.73,36.73,35.61,35.99,119953.0
2020-09-05,36.73,36.73,35.61,35.99,119953.0
2020-09-06,36.73,36.73,35.61,35.99,119953.0
2020-09-07,36.73,36.73,35.61,35.99,119953.0
2020-09-08,35.79,37.02,35.65,36.04,213956.0
2020-09-09,36.09,37.39,36.09,37.24,225384.0
2020-09-10,37.36,37.8,36.76,37.31,327468.0
2020-09-11,37.69,37.69,35.66,35.91,164484.0
2020-09-12,37.69,37.69,35.66,35.91,164484.0
2020-09-13,37.69,37.69,35.66,35.91,164484.0
2020-09-14,36.19,36.755,35.45,35.55,203519.0
2020-09-15,35.87,35.9,34.3,34.46,208423.0
2020-09-16,34.61,35.54,34.38,35.05,165664.0
2020-09-17,34.51,35.515,34.365,35.01,191415.0
2020-09-18,35.21,36.09,33.46,33.74,1222103.0
2020-09-19,35.21,36.09,33.46,33.74,1222103.0
2020-09-20,35.21,36.09,33.46,33.74,1222103.0
2020-09-21,33.03,33.52,31.0,31.5,322716.0
2020-09-22,31.59,31.685,30.73,31.57,230584.0
2020-09-23,31.43,32.12,31.17,31.18,179604.0
2020-09-24,31.02,31.32,30.45,30.98,108696.0
2020-09-25,30.64,31.65,30.455,31.53,123643.0
2020-09-26,30.64,31.65,30.455,31.53,123643.0
2020-09-27,30.64,31.65,30.455,31.53,123643.0
2020-09-28,32.03,32.485,31.68,32.25,122069.0
2020-09-29,32.33,32.45,31.55,32.26,161957.0
2020-09-30,32.35,33.15,32.29,32.67,279720.0
2020-10-01,32.85,33.15,32.05,32.57,144453.0
2020-10-02,31.92,33.69,30.75,33.43,192039.0
2020-10-03,31.92,33.69,30.75,33.43,192039.0
2020-10-04,31.92,33.69,30.75,33.43,192039.0
2020-10-05,33.85,34.375,33.47,33.81,184964.0
2020-10-06,34.24,34.58,33.3301,33.55,235862.0
2020-10-07,32.845,34.185,32.845,34.02,189371.0
2020-10-08,34.47,34.88,34.0205,34.48,133014.0
2020-10-09,34.88,34.91,33.74,33.99,171031.0
2020-10-10,34.88,34.91,33.74,33.99,171031.0
2020-10-11,34.88,34.91,33.74,33.99,171031.0
2020-10-12,34.0,35.17,33.7,35.07,143636.0
2020-10-13,34.205,34.93,34.205,34.49,136336.0
2020-10-14,34.175,34.87,34.12,34.44,124102.0
2020-10-15,33.75,34.53,33.75,34.51,156771.0
2020-10-16,34.38,34.44,33.53,33.68,191933.0
2020-10-17,34.38,34.44,33.53,33.68,191933.0
2020-10-18,34.38,34.44,33.53,33.68,191933.0
2020-10-19,34.125,34.26,33.17,33.33,187600.0
2020-10-20,33.4,33.98,33.235,33.78,129410.0
2020-10-21,33.625,34.39,33.025,34.02,135146.0
2020-10-22,33.745,34.27,33.46,34.11,184060.0
2020-10-23,33.695,35.11,33.695,34.61,128881.0
2020-10-24,33.695,35.11,33.695,34.61,128881.0
2020-10-25,33.695,35.11,33.695,34.61,128881.0
2020-10-26,33.765,34.3,32.42,32.56,151258.0
2020-10-27,32.41,33.02,30.84,30.91,200885.0
2020-10-28,30.27,30.795,30.08,30.36,236882.0
2020-10-29,30.13,30.51,29.89,30.19,175430.0
2020-10-30,30.17,30.56,30.03,30.52,140184.0
2020-10-31,30.17,30.56,30.03,30.52,140184.0
2020-11-01,30.17,30.56,30.03,30.52,140184.0
2020-11-02,32.365,32.51,30.95,32.12,156326.0
2020-11-03,32.77,33.61,32.33,33.41,113597.0
2020-11-04,33.15,34.3,32.77,33.0,140317.0
2020-11-05,33.09,34.41,32.9386,34.32,119373.0
2020-11-06,35.44,35.5078,33.04,33.15,121453.0
2020-11-07,35.44,35.5078,33.04,33.15,121453.0
2020-11-08,35.44,35.5078,33.04,33.15,121453.0
2020-11-09,35.51,37.32,35.51,35.73,232737.0
2020-11-10,37.285,37.29,36.17,36.5,208416.0
2020-11-11,36.48,36.86,35.81,36.71,133457.0
2020-11-12,36.3,36.3,34.38,34.68,95973.0
2020-11-13,35.15,36.1,35.017,35.88,57566.0
2020-11-14,35.15,36.1,35.017,35.88,57566.0
2020-11-15,35.15,36.1,35.017,35.88,57566.0
2020-11-16,35.805,37.07,35.64,36.01,183676.0
2020-11-17,35.83,35.91,34.48,35.25,98662.0
2020-11-18,35.44,35.84,34.83,34.83,189453.0
2020-11-19,33.96,35.16,33.96,35.0,89191.0
2020-11-20,33.845,34.825,33.845,34.59,232940.0
2020-11-21,33.845,34.825,33.845,34.59,232940.0
2020-11-22,33.845,34.825,33.845,34.59,232940.0
2020-11-23,35.46,35.88,34.62,35.38,112860.0
2020-11-24,35.96,36.63,35.57,36.35,137239.0
2020-11-25,36.26,36.695,35.53,36.55,71271.0
2020-11-26,36.26,36.695,35.53,36.55,71271.0
2020-11-27,36.48,36.48,35.53,36.09,38192.0
2020-11-28,36.48,36.48,35.53,36.09,38192.0
2020-11-29,36.48,36.48,35.53,36.09,38192.0
2020-11-30,35.85,35.89,33.89,33.89,137882.0
2020-12-01,34.67,34.72,33.88,34.25,79908.0
2020-12-02,34.21,34.31,33.55,33.91,53484.0
2020-12-03,34.06,34.76,32.985,34.46,68390.0
2020-12-04,34.97,35.31,34.28,35.17,73110.0
2020-12-05,34.97,35.31,34.28,35.17,73110.0
2020-12-06,34.97,35.31,34.28,35.17,73110.0
2020-12-07,35.06,35.06,34.59,34.78,63017.0
2020-12-08,34.43,35.39,34.38,34.9,94484.0
2020-12-09,35.26,35.72,34.91,35.55,124898.0
2020-12-10,35.39,36.25,35.24,36.18,113385.0
2020-12-11,35.79,36.575,35.46,36.2,158110.0
2020-12-12,35.79,36.575,35.46,36.2,158110.0
2020-12-13,35.79,36.575,35.46,36.2,158110.0
2020-12-14,36.23,36.96,36.215,36.63,265908.0
2020-12-15,37.0,37.0,36.03,36.5,203081.0
2020-12-16,36.65,36.77,35.56,35.64,96065.0
2020-12-17,35.87,36.19,35.06,35.44,139462.0
2020-12-18,35.77,36.78,35.725,36.42,684921.0
2020-12-19,35.77,36.78,35.725,36.42,684921.0
2020-12-20,35.77,36.78,35.725,36.42,684921.0
2020-12-21,35.82,36.11,35.43,35.93,303795.0
2020-12-22,35.96,36.08,35.43,35.9,126930.0
2020-12-23,37.285,37.285,35.58,36.15,188988.0
2020-12-24,36.24,36.42,35.99,36.12,39826.0
2020-12-25,36.24,36.42,35.99,36.12,39826.0
2020-12-26,36.24,36.42,35.99,36.12,39826.0
2020-12-27,36.24,36.42,35.99,36.12,39826.0
2020-12-28,36.46,36.99,35.99,36.79,112530.0
2020-12-29,37.0,37.0,35.93,36.31,122408.0
2020-12-30,36.55,36.575,35.81,36.34,190036.0
2020-12-31,36.38,36.79,35.73,36.33,234941.0
2021-01-01,36.38,36.79,35.73,36.33,234941.0
2021-01-02,36.38,36.79,35.73,36.33,234941.0
2021-01-03,36.38,36.79,35.73,36.33,234941.0
2021-01-04,36.39,36.549,34.63,35.3,167430.0
2021-01-05,36.28,36.28,34.81,34.93,180139.0
2021-01-06,35.46,37.48,35.46,37.42,373409.0
2021-01-07,37.45,37.79,37.07,37.68,183351.0
2021-01-08,38.09,38.61,37.4865,38.55,186957.0
2021-01-09,38.09,38.61,37.4865,38.55,186957.0
2021-01-10,38.09,38.61,37.4865,38.55,186957.0
2021-01-11,38.22,39.04,37.9,38.38,148145.0
2021-01-12,38.58,38.99,37.94,38.82,159411.0
2021-01-13,38.84,38.84,37.005,37.55,156041.0
2021-01-14,38.01,38.53,37.77,37.98,180266.0
2021-01-15,37.69,38.005,36.33,36.45,148400.0
2021-01-16,37.69,38.005,36.33,36.45,148400.0
2021-01-17,37.69,38.005,36.33,36.45,148400.0
2021-01-18,37.69,38.005,36.33,36.45,148400.0
2021-01-19,36.95,36.95,36.155,36.23,139424.0
2021-01-20,36.3,36.83,35.54,35.93,101643.0
2021-01-21,36.03,36.535,35.25,36.15,126842.0
2021-01-22,35.94,36.71,35.72,36.65,118501.0
2021-01-23,35.94,36.71,35.72,36.65,118501.0
2021-01-24,35.94,36.71,35.72,36.65,118501.0
2021-01-25,36.41,37.29,35.86,36.63,95166.0
2021-01-26,37.13,37.13,35.55,35.6,85362.0
2021-01-27,35.04,36.0,34.49,35.82,144819.0
2021-01-28,35.97,36.13,34.52,34.61,159611.0
2021-01-29,34.6,34.62,32.86,33.0,120498.0
2021-01-30,34.6,34.62,32.86,33.0,120498.0
2021-01-31,34.6,34.62,32.86,33.0,120498.0
2021-02-01,33.11,34.14,32.53,33.95,167769.0
2021-02-02,34.28,35.05,33.96,34.68,122735.0
2021-02-03,34.62,35.45,34.39,35.38,133235.0
2021-02-04,36.095,36.095,35.15,35.51,154927.0
2021-02-05,35.95,36.28,35.41,36.23,143262.0
2021-02-06,35.95,36.28,35.41,36.23,143262.0
2021-02-07,35.95,36.28,35.41,36.23,143262.0
2021-02-08,36.53,37.91,36.53,37.72,179390.0
2021-02-09,37.82,38.195,37.52,37.96,123120.0
2021-02-10,38.21,38.41,37.28,37.65,190362.0
2021-02-11,37.85,37.96,36.49,37.57,174482.0
2021-02-12,37.37,38.22,36.99,37.5,95311.0
2021-02-13,37.37,38.22,36.99,37.5,95311.0
2021-02-14,37.37,38.22,36.99,37.5,95311.0
2021-02-15,37.37,38.22,36.99,37.5,95311.0
2021-02-16,37.73,38.03,37.14,37.56,206194.0
2021-02-17,37.25,39.05,36.95,38.33,234018.0
2021-02-18,38.17,38.52,37.62,37.75,171621.0
2021-02-19,37.89,37.89,36.26,37.55,192749.0
2021-02-20,37.89,37.89,36.26,37.55,192749.0
2021-02-21,37.89,37.89,36.26,37.55,192749.0
2021-02-22,37.55,39.22,37.39,39.14,113146.0
2021-02-23,39.05,39.9,38.485,39.58,175470.0
2021-02-24,39.87,41.08,39.53,40.96,144487.0
2021-02-25,41.16,41.16,39.3,39.3,135952.0
2021-02-26,38.36,38.72,36.77,38.21,270706.0
2021-02-27,38.36,38.72,36.77,38.21,270706.0
2021-02-28,38.36,38.72,36.77,38.21,270706.0
2021-03-01,39.0,39.705,37.75,38.95,197772.0
2021-03-02,39.24,39.24,38.335,38.66,127000.0
2021-03-03,38.96,39.95,38.63,39.34,145273.0
2021-03-04,39.7,40.98,38.56,38.95,272271.0
2021-03-05,39.56,40.97,39.23,40.94,173726.0
2021-03-06,39.56,40.97,39.23,40.94,173726.0
2021-03-07,39.56,40.97,39.23,40.94,173726.0
2021-03-08,41.0,42.83,40.66,42.42,171417.0
2021-03-09,42.64,43.38,41.97,42.03,170740.0
2021-03-10,43.37,43.615,42.16,43.02,258610.0
2021-03-11,43.18,43.6,42.58,43.59,316946.0
2021-03-12,43.75,45.14,43.57,44.95,252318.0
2021-03-13,43.75,45.14,43.57,44.95,252318.0
2021-03-14,43.75,45.14,43.57,44.95,252318.0
2021-03-15,45.0,45.72,44.43,45.14,222518.0
2021-03-16,45.06,45.53,44.11,44.44,180596.0
2021-03-17,44.26,44.69,43.86,44.24,92470.0
2021-03-18,44.14,44.71,43.38,43.75,113717.0
2021-03-19,43.46,44.04,42.4,43.84,430337.0
2021-03-20,43.46,44.04,42.4,43.84,430337.0
2021-03-21,43.46,44.04,42.4,43.84,430337.0
2021-03-22,44.24,44.59,42.94,43.04,241454.0
2021-03-23,42.58,43.06,39.9,40.08,112741.0
2021-03-24,40.22,41.41,40.16,40.42,115859.0
2021-03-25,40.29,41.405,39.7315,41.29,133798.0
2021-03-26,41.77,42.625,41.35,42.46,107978.0
2021-03-27,41.77,42.625,41.35,42.46,107978.0
2021-03-28,41.77,42.625,41.35,42.46,107978.0
2021-03-29,42.02,42.75,41.66,41.77,97912.0
2021-03-30,41.96,42.31,41.65,42.13,66971.0
2021-03-31,41.475,43.19,41.475,41.64,130764.0
2021-04-01,41.35,42.6,41.33,42.6,73454.0
2021-04-02,41.35,42.6,41.33,42.6,73454.0
2021-04-03,41.35,42.6,41.33,42.6,73454.0
2021-04-04,41.35,42.6,41.33,42.6,73454.0
2021-04-05,43.2,43.2,42.36,42.91,78985.0
2021-04-06,42.9,43.375,42.16,42.3,107840.0
2021-04-07,42.44,42.44,40.98,41.14,136893.0
2021-04-08,41.32,41.75,40.84,41.68,151259.0
2021-04-09,41.52,42.73,41.305,42.55,116193.0
2021-04-10,41.52,42.73,41.305,42.55,116193.0
2021-04-11,41.52,42.73,41.305,42.55,116193.0
2021-04-12,42.81,43.1,42.12,42.18,79221.0
2021-04-13,42.2,42.8,41.385,41.88,101595.0
2021-04-14,42.1,42.82,42.0,42.46,70335.0
2021-04-15,42.43,42.81,41.84,42.23,77268.0
2021-04-16,42.66,42.77,41.76,42.37,104077.0
2021-04-17,42.66,42.77,41.76,42.37,104077.0
2021-04-18,42.66,42.77,41.76,42.37,104077.0
2021-04-19,42.29,42.76,41.71,42.64,199136.0
2021-04-20,42.26,42.66,41.2,41.5,97407.0
2021-04-21,41.39,42.08,41.11,42.03,77203.0
2021-04-22,42.18,42.71,41.76,41.87,90385.0
2021-04-23,42.505,42.84,40.82,42.66,121904.0
2021-04-24,42.505,42.84,40.82,42.66,121904.0
2021-04-25,42.505,42.84,40.82,42.66,121904.0
2021-04-26,42.69,43.37,42.57,42.64,82298.0
2021-04-27,42.055,43.12,42.055,42.49,96531.0
2021-04-28,42.25,43.12,41.7,43.01,96568.0
2021-04-29,43.32,43.87,42.71,43.47,94720.0
2021-04-30,42.98,43.55,40.61,42.46,244804.0
2021-05-01,42.98,43.55,40.61,42.46,244804.0
2021-05-02,42.98,43.55,40.61,42.46,244804.0
2021-05-03,42.93,42.93,41.37,42.07,218808.0
2021-05-04,41.68,42.1975,40.92,41.99,122929.0
2021-05-05,42.01,42.99,41.655,42.75,83742.0
2021-05-06,42.97,43.09,42.285,43.02,88508.0
