,VSH US Equity,VSH US Equity,VSH US Equity,VSH US Equity,VSH US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2022-01-10,20.4501,20.5077,20.0087,20.3638,570636.0
2022-01-11,20.383,20.6133,20.0567,20.5365,569420.0
2022-01-12,20.5845,20.8052,20.3734,20.6709,633024.0
2022-01-13,20.882,21.1027,20.6996,20.7668,661652.0
2022-01-14,20.6133,21.3714,20.4981,21.3714,740970.0
2022-01-15,20.6133,21.3714,20.4981,21.3714,740970.0
2022-01-16,20.6133,21.3714,20.4981,21.3714,740970.0
2022-01-17,20.6133,21.3714,20.4981,21.3714,740970.0
2022-01-18,21.1987,21.2946,20.7476,20.7668,1117426.0
2022-01-19,20.8052,21.0163,20.191,20.2774,1021154.0
2022-01-20,20.335,20.6037,19.7976,19.8168,954388.0
2022-01-21,19.7784,20.239,19.692,19.7112,891043.0
2022-01-22,19.7784,20.239,19.692,19.7112,891043.0
2022-01-23,19.7784,20.239,19.692,19.7112,891043.0
2022-01-24,19.3657,19.9223,18.9051,19.8552,1150625.0
2022-01-25,19.4905,19.6728,18.9915,19.2122,805423.0
2022-01-26,19.5673,20.1334,19.2986,19.5193,941109.0
2022-01-27,19.8264,19.9415,19.0203,19.0778,734397.0
2022-01-28,19.0682,19.1853,18.4637,19.0778,1005251.0
2022-01-29,19.0682,19.1853,18.4637,19.0778,1005251.0
2022-01-30,19.0682,19.1853,18.4637,19.0778,1005251.0
2022-01-31,19.0011,19.8935,19.0011,19.8743,1188821.0
2022-02-01,19.8839,19.8839,19.3369,19.7112,700474.0
2022-02-02,19.7784,20.0759,19.7112,20.0663,700344.0
2022-02-03,19.8072,19.836,19.3945,19.4233,542124.0
2022-02-04,19.241,19.6728,19.0107,19.4905,623251.0
2022-02-05,19.241,19.6728,19.0107,19.4905,623251.0
2022-02-06,19.241,19.6728,19.0107,19.4905,623251.0
2022-02-07,19.6152,19.836,19.4617,19.7304,1160552.0
2022-02-08,20.3206,20.3206,18.7708,19.4521,1508776.0
2022-02-09,19.7112,19.8914,19.3849,19.5001,1113894.0
2022-02-10,19.145,19.5049,18.8091,18.9147,1785113.0
2022-02-11,19.0011,19.4809,18.9147,18.9819,1457593.0
2022-02-12,19.0011,19.4809,18.9147,18.9819,1457593.0
2022-02-13,19.0011,19.4809,18.9147,18.9819,1457593.0
2022-02-14,19.1354,19.3753,18.9723,19.0395,1022159.0
2022-02-15,19.2506,19.7016,19.0682,19.6248,962192.0
2022-02-16,19.5673,19.668,19.265,19.6056,486024.0
2022-02-17,19.4233,19.4905,19.1498,19.241,618499.0
2022-02-18,19.2794,19.3753,19.0011,19.2314,784555.0
2022-02-19,19.2794,19.3753,19.0011,19.2314,784555.0
2022-02-20,19.2794,19.3753,19.0011,19.2314,784555.0
2022-02-21,19.2794,19.3753,19.0011,19.2314,784555.0
2022-02-22,19.1354,19.3082,18.646,18.8187,901667.0
2022-02-23,18.9531,19.193,18.1758,18.195,997935.0
2022-02-24,17.7535,18.6508,17.6576,18.598,1206410.0
2022-02-25,18.6076,18.8523,18.3869,18.7995,727699.0
2022-02-26,18.6076,18.8523,18.3869,18.7995,727699.0
2022-02-27,18.6076,18.8523,18.3869,18.7995,727699.0
2022-02-28,18.4925,18.6796,18.2142,18.4157,1021970.0
2022-03-01,18.3389,18.4493,17.4656,17.6384,1094121.0
2022-03-02,17.7631,18.6652,17.7055,18.5308,984161.0
2022-03-03,18.5884,18.646,18.0894,18.3581,759350.0
2022-03-04,18.0318,18.2046,17.648,17.8783,830397.0
2022-03-05,18.0318,18.2046,17.648,17.8783,830397.0
2022-03-06,18.0318,18.2046,17.648,17.8783,830397.0
2022-03-07,17.9167,17.9646,17.1393,17.1489,1370971.0
2022-03-08,17.2641,17.9167,16.8706,17.2833,1572180.0
2022-03-09,17.7151,17.955,17.5935,17.8111,916099.0
2022-03-10,17.4176,17.8783,17.3409,17.8015,752498.0
2022-03-11,18.0606,18.2621,17.8687,17.8879,653303.0
2022-03-12,18.0606,18.2621,17.8687,17.8879,653303.0
2022-03-13,18.0606,18.2621,17.8687,17.8879,653303.0
2022-03-14,17.9646,18.0894,17.6,17.7439,992219.0
2022-03-15,17.8975,18.0702,17.7439,18.0222,692231.0
2022-03-16,18.1862,18.8905,18.1766,18.8905,1145611.0
2022-03-17,18.7265,19.2234,18.7265,19.151,1243833.0
2022-03-18,19.1414,19.6334,18.8134,19.4887,2748583.0
2022-03-19,19.1414,19.6334,18.8134,19.4887,2748583.0
2022-03-20,19.1414,19.6334,18.8134,19.4887,2748583.0
2022-03-21,19.5273,19.701,19.4019,19.6527,1358884.0
2022-03-22,19.7878,19.8457,19.6334,19.6913,894210.0
2022-03-23,19.4887,19.6913,19.1028,19.1317,884911.0
2022-03-24,19.2765,19.6624,19.0642,19.6527,867417.0
2022-03-25,19.7685,19.9422,19.4791,19.7492,958692.0
2022-03-26,19.7685,19.9422,19.4791,19.7492,958692.0
2022-03-27,19.7685,19.9422,19.4791,19.7492,958692.0
2022-03-28,19.5948,19.6817,19.2283,19.508,676053.0
2022-03-29,19.8264,20.0338,19.7444,19.8843,807090.0
2022-03-30,19.7974,19.9422,19.2572,19.3054,610640.0
2022-03-31,19.2379,19.3536,18.9098,18.9098,893648.0
2022-04-01,19.0546,19.1028,18.2538,18.5046,1299119.0
2022-04-02,19.0546,19.1028,18.2538,18.5046,1299119.0
2022-04-03,19.0546,19.1028,18.2538,18.5046,1299119.0
2022-04-04,18.4757,18.7844,18.4371,18.5239,743170.0
2022-04-05,18.3888,18.5722,17.8968,17.9836,892535.0
2022-04-06,17.8003,17.8486,17.4723,17.6749,1252614.0
2022-04-07,17.7231,17.7907,17.1636,17.5591,1124904.0
2022-04-08,17.4434,17.6122,17.2022,17.2215,1520172.0
2022-04-09,17.4434,17.6122,17.2022,17.2215,1520172.0
2022-04-10,17.4434,17.6122,17.2022,17.2215,1520172.0
2022-04-11,17.1925,17.4241,16.9513,16.961,750444.0
2022-04-12,17.1636,17.5688,17.1636,17.2986,799600.0
2022-04-13,17.3469,17.8052,17.3469,17.7714,846400.0
2022-04-14,17.8389,17.9306,17.4723,17.4916,608211.0
2022-04-15,17.8389,17.9306,17.4723,17.4916,608211.0
2022-04-16,17.8389,17.9306,17.4723,17.4916,608211.0
2022-04-17,17.8389,17.9306,17.4723,17.4916,608211.0
2022-04-18,17.453,17.8486,17.4434,17.6556,506363.0
2022-04-19,17.7231,18.0898,17.6846,17.974,519659.0
2022-04-20,18.1959,18.3792,18.0994,18.1573,587578.0
2022-04-21,18.4274,18.6011,18.0946,18.1766,642638.0
2022-04-22,18.0415,18.1959,17.8003,17.8293,407181.0
2022-04-23,18.0415,18.1959,17.8003,17.8293,407181.0
2022-04-24,18.0415,18.1959,17.8003,17.8293,407181.0
2022-04-25,17.8486,18.0801,17.5205,18.0801,644923.0
2022-04-26,17.8389,17.8679,17.5109,17.5302,675162.0
2022-04-27,17.4819,17.7424,17.3951,17.6074,565316.0
2022-04-28,17.9933,18.5529,17.8196,18.4467,732288.0
2022-04-29,18.2827,18.6349,17.8968,17.974,775617.0
2022-04-30,18.2827,18.6349,17.8968,17.974,775617.0
2022-05-01,18.2827,18.6349,17.8968,17.974,775617.0
2022-05-02,18.0126,18.331,17.81,18.2924,1200353.0
2022-05-03,18.2345,18.9002,18.1187,18.6397,1059016.0
2022-05-04,18.7458,19.2475,18.3406,19.2186,1057904.0
2022-05-05,18.8519,19.0063,18.1766,18.4178,1093700.0
2022-05-06,18.302,18.4274,18.0029,18.3503,983058.0
2022-05-07,18.302,18.4274,18.0029,18.3503,983058.0
2022-05-08,18.302,18.4274,18.0029,18.3503,983058.0
2022-05-09,18.0512,18.4178,17.8679,18.1477,963297.0
2022-05-10,18.495,18.7555,18.2248,18.5722,1225785.0
2022-05-11,18.5239,18.8809,18.2924,18.3117,1280406.0
2022-05-12,18.331,18.4564,17.9547,18.3406,1128547.0
2022-05-13,18.5529,18.9195,18.4274,18.8423,771763.0
2022-05-14,18.5529,18.9195,18.4274,18.8423,771763.0
2022-05-15,18.5529,18.9195,18.4274,18.8423,771763.0
2022-05-16,18.6107,18.9545,18.5432,18.7362,742883.0
2022-05-17,19.1703,19.8939,19.1703,19.7878,886420.0
2022-05-18,19.5659,19.7106,19.0546,19.1317,901363.0
2022-05-19,19.016,19.2186,18.8134,19.016,830959.0
2022-05-20,19.2861,19.315,18.3744,18.8905,995267.0
2022-05-21,19.2861,19.315,18.3744,18.8905,995267.0
2022-05-22,19.2861,19.315,18.3744,18.8905,995267.0
2022-05-23,18.987,19.2186,18.9098,19.0835,1328865.0
2022-05-24,18.9388,19.0835,18.5577,18.8326,969380.0
2022-05-25,18.7362,19.0835,18.6011,18.9774,910840.0
2022-05-26,19.2475,19.5948,19.18,19.3536,1324182.0
2022-05-27,19.6141,19.7299,19.4984,19.6431,1257406.0
2022-05-28,19.6141,19.7299,19.4984,19.6431,1257406.0
2022-05-29,19.6141,19.7299,19.4984,19.6431,1257406.0
2022-05-30,19.6141,19.7299,19.4984,19.6431,1257406.0
2022-05-31,19.6431,19.9132,19.2861,19.7203,3520701.0
2022-06-01,19.8746,19.9615,19.4212,19.6431,1928288.0
2022-06-02,19.5852,20.0193,19.5659,20.0,854385.0
2022-06-03,19.7781,19.8843,19.5997,19.7203,777031.0
2022-06-04,19.7781,19.8843,19.5997,19.7203,777031.0
2022-06-05,19.7781,19.8843,19.5997,19.7203,777031.0
2022-06-06,19.8843,20.1737,19.7588,19.836,1222790.0
2022-06-07,19.6913,20.0,19.619,19.8457,712369.0
2022-06-08,19.7106,19.865,19.3826,19.4501,725023.0
2022-06-09,19.3536,19.4453,19.0883,19.1124,687645.0
2022-06-10,18.7458,18.9098,18.3503,18.6397,1121326.0
2022-06-11,18.7458,18.9098,18.3503,18.6397,1121326.0
2022-06-12,18.7458,18.9098,18.3503,18.6397,1121326.0
2022-06-13,18.2055,18.331,17.8235,17.945,1342061.0
2022-06-14,18.1284,18.1766,17.8582,18.0319,1070170.0
2022-06-15,18.1766,18.4323,17.8872,18.1959,1403327.0
2022-06-16,17.7497,17.8079,16.9059,17.0902,2100407.0
2022-06-17,17.3132,17.3714,16.9156,17.2551,1946855.0
2022-06-18,17.3132,17.3714,16.9156,17.2551,1946855.0
2022-06-19,17.3132,17.3714,16.9156,17.2551,1946855.0
2022-06-20,17.3132,17.3714,16.9156,17.2551,1946855.0
2022-06-21,17.5751,17.643,17.4054,17.4587,1165462.0
2022-06-22,17.226,17.4975,17.1098,17.2648,1244328.0
2022-06-23,17.3036,17.3957,16.8865,17.0029,1877145.0
2022-06-24,17.1193,17.546,17.1193,17.3714,2781535.0
2022-06-25,17.1193,17.546,17.1193,17.3714,2781535.0
2022-06-26,17.1193,17.546,17.1193,17.3714,2781535.0
2022-06-27,17.546,17.9874,17.4781,17.837,1231366.0
2022-06-28,18.031,18.1668,17.6624,17.6721,766911.0
2022-06-29,17.5945,17.74,17.2454,17.4102,1108534.0
2022-06-30,17.1193,17.4636,17.0562,17.2842,1281521.0
2022-07-01,17.1678,17.3423,16.6149,16.8768,1214147.0
2022-07-02,17.1678,17.3423,16.6149,16.8768,1214147.0
2022-07-03,17.1678,17.3423,16.6149,16.8768,1214147.0
