,QTWO US Equity,QTWO US Equity,QTWO US Equity,QTWO US Equity,QTWO US Equity
2020-03-01,72.86,76.17,72.65,75.37,704298.0
2020-03-02,76.25,77.96,73.66,77.94,618506.0
2020-03-03,78.17,79.06,74.68,75.97,420202.0
2020-03-04,77.25,77.43,71.8816,76.2,855429.0
2020-03-05,74.41,75.725,71.47,72.62,418663.0
2020-03-06,70.62,71.97,67.88,69.75,455205.0
2020-03-07,70.62,71.97,67.88,69.75,455205.0
2020-03-08,70.62,71.97,67.88,69.75,455205.0
2020-03-09,64.07,68.28,62.03,67.7,1381167.0
2020-03-10,69.7,70.06,65.18,69.24,1042204.0
2020-03-11,67.65,68.64,64.94,67.3,831680.0
2020-03-12,63.41,64.96,59.6801,64.01,782297.0
2020-03-13,66.01,66.98,58.65,65.05,972190.0
2020-03-14,66.01,66.98,58.65,65.05,972190.0
2020-03-15,66.01,66.98,58.65,65.05,972190.0
2020-03-16,58.55,61.17,50.0328,50.63,875333.0
2020-03-17,51.29,61.24,47.17,61.21,1278365.0
2020-03-18,56.64,57.74,49.38,52.43,945414.0
2020-03-19,52.22,57.94,49.458,56.46,750860.0
2020-03-20,57.12,61.135,54.53,55.31,1126076.0
2020-03-21,57.12,61.135,54.53,55.31,1126076.0
2020-03-22,57.12,61.135,54.53,55.31,1126076.0
2020-03-23,55.31,58.6,49.63,51.85,555040.0
2020-03-24,53.85,59.91,53.85,56.6,594746.0
2020-03-25,56.69,60.01,55.07,57.79,702519.0
2020-03-26,57.85,66.38,57.85,62.68,757058.0
2020-03-27,61.1,62.08,58.215,58.91,363829.0
2020-03-28,61.1,62.08,58.215,58.91,363829.0
2020-03-29,61.1,62.08,58.215,58.91,363829.0
2020-03-30,59.24,62.51,58.6812,61.44,580338.0
2020-03-31,61.05,61.92,58.29,59.06,713083.0
2020-04-01,56.61,57.68,53.14,54.62,649455.0
2020-04-02,53.65,56.86,51.69,55.95,392461.0
2020-04-03,55.5,57.95,54.29,56.21,468924.0
2020-04-04,55.5,57.95,54.29,56.21,468924.0
2020-04-05,55.5,57.95,54.29,56.21,468924.0
2020-04-06,58.98,61.84,58.05,61.59,476703.0
2020-04-07,63.92,64.1,59.06,59.77,526458.0
2020-04-08,60.78,64.99,59.61,64.06,409086.0
2020-04-09,65.0,68.2,63.955,66.34,381945.0
2020-04-10,65.0,68.2,63.955,66.34,381945.0
2020-04-11,65.0,68.2,63.955,66.34,381945.0
2020-04-12,65.0,68.2,63.955,66.34,381945.0
2020-04-13,65.68,65.68,62.64,62.95,922872.0
2020-04-14,65.04,68.68,65.04,68.03,435249.0
2020-04-15,66.01,67.78,65.52,66.14,511964.0
2020-04-16,66.53,67.6,65.01,66.47,283305.0
2020-04-17,68.21,68.79,66.965,68.74,380995.0
2020-04-18,68.21,68.79,66.965,68.74,380995.0
2020-04-19,68.21,68.79,66.965,68.74,380995.0
2020-04-20,67.58,72.14,67.58,69.43,517904.0
2020-04-21,67.53,68.54,64.99,65.53,299574.0
2020-04-22,67.43,69.53,66.87,68.44,270919.0
2020-04-23,67.79,70.52,67.79,68.51,360700.0
2020-04-24,68.7,71.26,68.09,70.9,314605.0
2020-04-25,68.7,71.26,68.09,70.9,314605.0
2020-04-26,68.7,71.26,68.09,70.9,314605.0
2020-04-27,71.59,75.28,71.3,74.54,666227.0
2020-04-28,76.02,76.304,71.6,74.14,445070.0
2020-04-29,79.0,83.09,76.38,81.2,904054.0
2020-04-30,79.9,81.84,77.86,79.72,676465.0
2020-05-01,77.89,79.61,75.97,78.07,477885.0
2020-05-02,77.89,79.61,75.97,78.07,477885.0
2020-05-03,77.89,79.61,75.97,78.07,477885.0
2020-05-04,76.58,78.06,75.45,77.43,516634.0
2020-05-05,78.99,81.76,78.16,79.74,331753.0
2020-05-06,80.15,83.66,79.81,82.02,558465.0
2020-05-07,83.55,86.35,79.06,84.43,528276.0
2020-05-08,86.14,86.14,81.71,82.8,750204.0
2020-05-09,86.14,86.14,81.71,82.8,750204.0
2020-05-10,86.14,86.14,81.71,82.8,750204.0
2020-05-11,81.17,82.9,80.62,81.44,470389.0
2020-05-12,78.64,81.42,78.04,78.72,687911.0
2020-05-13,76.22,79.15,75.67,78.16,2388775.0
2020-05-14,77.16,82.63,75.665,82.19,1752069.0
2020-05-15,81.82,82.25,79.66,80.08,672160.0
2020-05-16,81.82,82.25,79.66,80.08,672160.0
2020-05-17,81.82,82.25,79.66,80.08,672160.0
2020-05-18,82.26,84.62,81.6,83.14,1032568.0
2020-05-19,83.1,84.0,79.83,79.95,406578.0
2020-05-20,81.19,81.25,78.45,79.83,683244.0
2020-05-21,79.98,81.31,78.99,80.16,447957.0
2020-05-22,81.05,82.785,80.565,81.84,351233.0
2020-05-23,81.05,82.785,80.565,81.84,351233.0
2020-05-24,81.05,82.785,80.565,81.84,351233.0
2020-05-25,81.05,82.785,80.565,81.84,351233.0
2020-05-26,84.03,84.2,81.64,82.68,516295.0
2020-05-27,83.68,83.98,81.55,83.55,580759.0
2020-05-28,83.87,85.38,82.35,82.76,451901.0
2020-05-29,82.51,83.5647,81.29,82.62,393196.0
2020-05-30,82.51,83.5647,81.29,82.62,393196.0
2020-05-31,82.51,83.5647,81.29,82.62,393196.0
2020-06-01,82.11,84.99,82.01,84.17,338383.0
2020-06-02,84.48,84.7,82.35,84.31,262155.0
2020-06-03,85.0,85.46,83.68,85.05,256331.0
2020-06-04,83.97,84.72,81.65,82.49,359660.0
2020-06-05,82.58,85.1575,81.38,84.1,411338.0
2020-06-06,82.58,85.1575,81.38,84.1,411338.0
2020-06-07,82.58,85.1575,81.38,84.1,411338.0
2020-06-08,84.46,84.64,82.33,84.28,332630.0
2020-06-09,83.78,84.68,82.2,83.7,341902.0
2020-06-10,83.87,84.33,81.39,81.69,452428.0
2020-06-11,79.24,80.15,78.2,78.85,604831.0
2020-06-12,81.16,81.5,76.2,78.46,412106.0
2020-06-13,81.16,81.5,76.2,78.46,412106.0
2020-06-14,81.16,81.5,76.2,78.46,412106.0
2020-06-15,76.53,79.51,76.53,78.43,742057.0
2020-06-16,81.1,81.58,78.2,80.18,524172.0
2020-06-17,80.88,81.12,79.255,79.69,274116.0
2020-06-18,79.35,81.36,78.13,81.31,903377.0
2020-06-19,81.96,82.79,79.88,80.54,665709.0
2020-06-20,81.96,82.79,79.88,80.54,665709.0
2020-06-21,81.96,82.79,79.88,80.54,665709.0
2020-06-22,80.18,84.0,79.86,83.66,388359.0
2020-06-23,84.64,84.99,82.08,82.11,302012.0
2020-06-24,81.91,84.39,81.5,83.89,559398.0
2020-06-25,83.8,86.99,83.75,86.71,617852.0
2020-06-26,86.44,87.27,83.75,84.21,941235.0
2020-06-27,86.44,87.27,83.75,84.21,941235.0
2020-06-28,86.44,87.27,83.75,84.21,941235.0
2020-06-29,84.71,85.55,81.99,84.92,544140.0
2020-06-30,84.62,86.17,83.94,85.79,739543.0
2020-07-01,85.46,88.56,85.46,87.64,321967.0
2020-07-02,88.74,89.0,86.63,87.82,278208.0
2020-07-03,88.74,89.0,86.63,87.82,278208.0
2020-07-04,88.74,89.0,86.63,87.82,278208.0
2020-07-05,88.74,89.0,86.63,87.82,278208.0
2020-07-06,89.75,91.2,88.68,90.05,680871.0
2020-07-07,89.32,91.93,88.36,88.73,437280.0
2020-07-08,89.01,91.62,88.68,91.54,418893.0
2020-07-09,92.0,93.98,89.96,93.66,683860.0
2020-07-10,93.38,94.05,91.16,91.4,575418.0
2020-07-11,93.38,94.05,91.16,91.4,575418.0
2020-07-12,93.38,94.05,91.16,91.4,575418.0
2020-07-13,92.0,92.0,86.47,86.6,425739.0
2020-07-14,86.0,87.66,83.52,87.56,507067.0
2020-07-15,88.52,89.74,87.56,89.23,403518.0
2020-07-16,88.83,89.08,86.69,88.12,325506.0
2020-07-17,88.82,90.85,88.2,90.18,562213.0
2020-07-18,88.82,90.85,88.2,90.18,562213.0
2020-07-19,88.82,90.85,88.2,90.18,562213.0
2020-07-20,90.07,94.43,90.07,93.79,463427.0
2020-07-21,95.0,95.0,92.46,93.18,331879.0
2020-07-22,93.05,94.71,92.66,94.35,419527.0
2020-07-23,93.9,96.6651,93.22,93.88,399912.0
2020-07-24,92.82,93.39,91.115,92.37,397939.0
2020-07-25,92.82,93.39,91.115,92.37,397939.0
2020-07-26,92.82,93.39,91.115,92.37,397939.0
2020-07-27,92.74,94.76,92.26,94.45,256578.0
2020-07-28,94.06,95.07,92.84,94.13,494514.0
2020-07-29,94.67,96.1,94.15,95.11,578755.0
2020-07-30,93.55,94.545,91.29,93.4,377519.0
2020-07-31,93.67,94.08,90.77,94.05,456032.0
2020-08-01,93.67,94.08,90.77,94.05,456032.0
2020-08-02,93.67,94.08,90.77,94.05,456032.0
2020-08-03,94.64,98.35,93.67,98.18,675828.0
2020-08-04,98.18,99.71,96.85,97.41,474715.0
2020-08-05,98.43,100.34,97.56,99.47,495325.0
2020-08-06,102.81,106.44,101.83,102.54,758597.0
2020-08-07,102.85,103.48,97.3817,99.8,515366.0
2020-08-08,102.85,103.48,97.3817,99.8,515366.0
2020-08-09,102.85,103.48,97.3817,99.8,515366.0
2020-08-10,91.1,96.03,91.1,93.0,961335.0
2020-08-11,91.49,94.45,90.36,93.52,587628.0
2020-08-12,94.71,96.16,94.16,95.4,301894.0
2020-08-13,95.54,99.0,94.86,97.8,227904.0
2020-08-14,97.62,97.985,95.73,96.46,353612.0
2020-08-15,97.62,97.985,95.73,96.46,353612.0
2020-08-16,97.62,97.985,95.73,96.46,353612.0
2020-08-17,96.92,99.39,96.39,98.14,281858.0
2020-08-18,98.65,98.74,97.12,98.38,203082.0
2020-08-19,99.15,99.53,97.34,97.63,273571.0
2020-08-20,96.74,99.71,96.66,98.41,275533.0
2020-08-21,98.05,98.57,97.25,97.63,416506.0
2020-08-22,98.05,98.57,97.25,97.63,416506.0
2020-08-23,98.05,98.57,97.25,97.63,416506.0
2020-08-24,99.12,99.12,95.46,96.04,261850.0
2020-08-25,95.71,96.55,95.12,95.63,370462.0
2020-08-26,95.87,98.2,95.87,97.33,382539.0
2020-08-27,98.15,98.4,96.16,97.9,442573.0
2020-08-28,98.77,99.4,96.69,97.52,369100.0
2020-08-29,98.77,99.4,96.69,97.52,369100.0
2020-08-30,98.77,99.4,96.69,97.52,369100.0
2020-08-31,97.48,98.615,97.12,97.29,382690.0
2020-09-01,97.47,101.21,97.12,99.94,473311.0
2020-09-02,101.2,101.74,98.3,99.63,618840.0
2020-09-03,98.66,98.66,93.51,94.52,608147.0
2020-09-04,95.07,95.23,89.06,92.75,339975.0
2020-09-05,95.07,95.23,89.06,92.75,339975.0
2020-09-06,95.07,95.23,89.06,92.75,339975.0
2020-09-07,95.07,95.23,89.06,92.75,339975.0
2020-09-08,89.4,91.52,88.81,89.29,525118.0
2020-09-09,90.67,91.38,89.26,90.08,413653.0
2020-09-10,91.12,92.15,87.14,87.9,437005.0
2020-09-11,88.65,88.65,83.97,85.66,656364.0
2020-09-12,88.65,88.65,83.97,85.66,656364.0
2020-09-13,88.65,88.65,83.97,85.66,656364.0
2020-09-14,87.08,88.79,87.06,87.71,322438.0
2020-09-15,88.71,91.32,87.88,88.44,313994.0
2020-09-16,88.93,89.71,88.21,88.4,600914.0
2020-09-17,87.25,88.78,86.175,87.66,428375.0
2020-09-18,88.37,90.025,87.72,89.56,773917.0
2020-09-19,88.37,90.025,87.72,89.56,773917.0
2020-09-20,88.37,90.025,87.72,89.56,773917.0
2020-09-21,88.57,92.31,87.83,91.89,437352.0
2020-09-22,92.73,93.47,90.455,93.43,355029.0
2020-09-23,93.01,93.33,89.63,89.76,303416.0
2020-09-24,89.52,91.15,88.32,89.77,468917.0
2020-09-25,89.38,93.58,89.1,92.84,220607.0
2020-09-26,89.38,93.58,89.1,92.84,220607.0
2020-09-27,89.38,93.58,89.1,92.84,220607.0
2020-09-28,93.53,94.24,91.73,92.89,359138.0
2020-09-29,92.96,93.61,91.36,91.65,219747.0
2020-09-30,91.34,93.34,90.47,91.26,355919.0
2020-10-01,92.3,94.0,91.68,93.77,310172.0
2020-10-02,91.84,93.78,90.83,92.08,202699.0
2020-10-03,91.84,93.78,90.83,92.08,202699.0
2020-10-04,91.84,93.78,90.83,92.08,202699.0
2020-10-05,92.53,95.2,92.53,94.04,377117.0
2020-10-06,94.63,98.205,94.26,96.57,446101.0
2020-10-07,97.17,98.43,97.17,98.12,284694.0
2020-10-08,99.47,99.47,97.59,97.86,992425.0
2020-10-09,98.58,98.86,96.91,97.84,497330.0
2020-10-10,98.58,98.86,96.91,97.84,497330.0
2020-10-11,98.58,98.86,96.91,97.84,497330.0
2020-10-12,98.81,99.27,97.0509,98.46,235896.0
2020-10-13,98.28,99.66,97.67,98.86,195414.0
2020-10-14,99.52,99.52,96.07,96.86,205570.0
2020-10-15,95.09,96.57,94.58,96.25,187396.0
2020-10-16,96.52,98.17,96.52,96.88,186335.0
2020-10-17,96.52,98.17,96.52,96.88,186335.0
2020-10-18,96.52,98.17,96.52,96.88,186335.0
2020-10-19,97.72,98.38,95.895,96.14,473281.0
2020-10-20,96.4,97.765,95.56,95.81,161454.0
2020-10-21,96.08,96.775,94.4,94.89,215657.0
2020-10-22,94.89,96.24,93.44,95.95,260819.0
2020-10-23,96.27,96.53,94.88,95.5,166908.0
2020-10-24,96.27,96.53,94.88,95.5,166908.0
2020-10-25,96.27,96.53,94.88,95.5,166908.0
2020-10-26,94.6,94.835,90.48,94.0,602543.0
2020-10-27,94.53,95.16,93.79,94.02,170332.0
2020-10-28,92.59,93.025,90.86,91.73,291292.0
2020-10-29,92.03,93.79,90.695,93.15,304300.0
2020-10-30,92.48,93.51,90.17,91.24,328791.0
2020-10-31,92.48,93.51,90.17,91.24,328791.0
2020-11-01,92.48,93.51,90.17,91.24,328791.0
2020-11-02,91.66,92.47,88.27,89.65,332854.0
2020-11-03,90.38,93.89,90.36,93.59,373743.0
2020-11-04,95.13,98.99,94.62,97.0,460891.0
2020-11-05,97.6,101.6913,97.45,100.71,703960.0
2020-11-06,100.71,103.9,98.05,103.05,350358.0
2020-11-07,100.71,103.9,98.05,103.05,350358.0
2020-11-08,100.71,103.9,98.05,103.05,350358.0
2020-11-09,102.91,109.27,102.55,103.72,559566.0
2020-11-10,103.51,106.64,99.3,105.88,382303.0
2020-11-11,106.91,108.49,104.22,105.77,361080.0
2020-11-12,106.35,106.79,104.08,105.0,1119532.0
2020-11-13,105.38,105.735,103.01,104.59,437670.0
2020-11-14,105.38,105.735,103.01,104.59,437670.0
2020-11-15,105.38,105.735,103.01,104.59,437670.0
2020-11-16,104.53,108.3,103.62,106.21,500373.0
2020-11-17,105.64,107.215,105.05,106.92,416709.0
2020-11-18,107.31,109.91,105.89,109.22,546045.0
2020-11-19,109.0,112.38,107.46,112.3,387356.0
2020-11-20,112.15,115.64,111.97,113.43,483933.0
2020-11-21,112.15,115.64,111.97,113.43,483933.0
2020-11-22,112.15,115.64,111.97,113.43,483933.0
2020-11-23,114.42,116.95,113.57,115.22,362403.0
2020-11-24,116.21,116.22,112.66,114.93,372549.0
2020-11-25,115.17,116.39,114.7165,116.0,348020.0
2020-11-26,115.17,116.39,114.7165,116.0,348020.0
2020-11-27,116.64,116.84,114.9,115.1,224793.0
2020-11-28,116.64,116.84,114.9,115.1,224793.0
2020-11-29,116.64,116.84,114.9,115.1,224793.0
2020-11-30,114.92,116.22,112.94,113.37,543623.0
2020-12-01,113.83,114.21,110.2265,113.32,805855.0
2020-12-02,112.67,115.94,111.815,113.83,460818.0
2020-12-03,114.29,117.67,114.22,116.85,397003.0
2020-12-04,117.44,119.97,116.42,116.5,577924.0
2020-12-05,117.44,119.97,116.42,116.5,577924.0
2020-12-06,117.44,119.97,116.42,116.5,577924.0
2020-12-07,116.86,116.86,112.9,114.1,443332.0
2020-12-08,113.67,116.02,112.35,114.73,568998.0
2020-12-09,115.12,115.48,112.34,113.0,426925.0
2020-12-10,113.0,115.6,111.93,115.33,377762.0
2020-12-11,115.62,117.39,114.67,116.86,255622.0
2020-12-12,115.62,117.39,114.67,116.86,255622.0
2020-12-13,115.62,117.39,114.67,116.86,255622.0
2020-12-14,117.31,121.11,117.31,120.09,854916.0
2020-12-15,120.21,121.69,118.66,121.41,376323.0
2020-12-16,121.78,122.37,119.22,119.67,593626.0
2020-12-17,120.71,123.0,119.86,122.98,411308.0
2020-12-18,123.24,124.62,120.8,123.95,773178.0
2020-12-19,123.24,124.62,120.8,123.95,773178.0
2020-12-20,123.24,124.62,120.8,123.95,773178.0
2020-12-21,122.14,126.12,121.985,125.86,332293.0
2020-12-22,126.53,129.4,126.41,128.99,308252.0
2020-12-23,130.16,130.59,128.03,128.59,305877.0
2020-12-24,128.41,129.54,127.51,128.13,99957.0
2020-12-25,128.41,129.54,127.51,128.13,99957.0
2020-12-26,128.41,129.54,127.51,128.13,99957.0
2020-12-27,128.41,129.54,127.51,128.13,99957.0
2020-12-28,130.0,130.43,126.42,126.93,702367.0
2020-12-29,127.8,128.32,124.03,125.57,233701.0
2020-12-30,126.14,129.61,125.49,127.88,414134.0
2020-12-31,128.25,128.49,125.49,126.53,295087.0
2021-01-01,128.25,128.49,125.49,126.53,295087.0
2021-01-02,128.25,128.49,125.49,126.53,295087.0
2021-01-03,128.25,128.49,125.49,126.53,295087.0
2021-01-04,126.9,127.0,121.17,123.93,322868.0
2021-01-05,123.52,126.295,123.045,124.3,287684.0
2021-01-06,123.09,123.63,118.24,120.89,512582.0
2021-01-07,121.48,124.86,121.48,124.18,267021.0
2021-01-08,125.43,127.24,124.2,126.27,279708.0
2021-01-09,125.43,127.24,124.2,126.27,279708.0
2021-01-10,125.43,127.24,124.2,126.27,279708.0
2021-01-11,125.34,128.345,124.535,127.16,234178.0
2021-01-12,127.51,128.92,126.05,128.0,1621719.0
2021-01-13,128.0,128.94,127.1619,128.01,270133.0
2021-01-14,128.39,130.96,128.33,130.15,337130.0
2021-01-15,129.5,132.08,128.5,129.11,932114.0
2021-01-16,129.5,132.08,128.5,129.11,932114.0
2021-01-17,129.5,132.08,128.5,129.11,932114.0
2021-01-18,129.5,132.08,128.5,129.11,932114.0
2021-01-19,130.77,133.25,130.63,132.18,455910.0
2021-01-20,133.47,135.32,132.985,135.19,596867.0
2021-01-21,136.01,136.91,133.81,136.56,460045.0
2021-01-22,136.02,139.81,135.55,139.69,408062.0
2021-01-23,136.02,139.81,135.55,139.69,408062.0
2021-01-24,136.02,139.81,135.55,139.69,408062.0
2021-01-25,141.46,142.76,137.0101,138.62,608685.0
2021-01-26,139.07,140.7497,137.36,139.32,481370.0
2021-01-27,137.38,139.24,128.51,136.2,778050.0
2021-01-28,137.2,138.19,131.2,131.42,647470.0
2021-01-29,131.1,131.53,127.98,127.99,558251.0
2021-01-30,131.1,131.53,127.98,127.99,558251.0
2021-01-31,131.1,131.53,127.98,127.99,558251.0
2021-02-01,128.82,132.1,126.52,131.05,860937.0
2021-02-02,132.46,138.815,132.215,137.02,708271.0
2021-02-03,136.97,137.81,133.5,134.79,294788.0
2021-02-04,135.38,138.64,134.91,138.24,251057.0
2021-02-05,139.67,142.755,138.88,142.57,629506.0
2021-02-06,139.67,142.755,138.88,142.57,629506.0
2021-02-07,139.67,142.755,138.88,142.57,629506.0
2021-02-08,143.43,143.75,141.48,143.55,437447.0
2021-02-09,143.55,144.86,140.83,144.12,408905.0
2021-02-10,145.2,148.56,144.77,145.74,627913.0
2021-02-11,146.8,147.38,143.78,144.73,298518.0
2021-02-12,144.21,145.9,143.58,145.74,259566.0
2021-02-13,144.21,145.9,143.58,145.74,259566.0
2021-02-14,144.21,145.9,143.58,145.74,259566.0
2021-02-15,144.21,145.9,143.58,145.74,259566.0
2021-02-16,146.32,147.59,145.81,146.7,328249.0
2021-02-17,145.07,145.84,142.62,144.56,454047.0
2021-02-18,142.94,144.1,135.01,137.23,868574.0
2021-02-19,138.3,140.91,136.265,137.5,788951.0
2021-02-20,138.3,140.91,136.265,137.5,788951.0
2021-02-21,138.3,140.91,136.265,137.5,788951.0
2021-02-22,135.45,136.84,133.2,135.35,568028.0
2021-02-23,131.97,132.03,127.33,129.9,652253.0
2021-02-24,129.52,132.94,126.95,130.66,393672.0
2021-02-25,129.84,130.425,121.51,122.31,730000.0
2021-02-26,123.11,125.02,119.68,121.88,840987.0
2021-02-27,123.11,125.02,119.68,121.88,840987.0
2021-02-28,123.11,125.02,119.68,121.88,840987.0
2021-03-01,124.16,126.59,123.81,125.0,377378.0
2021-03-02,125.87,126.34,121.3,121.43,494964.0
2021-03-03,121.33,121.82,113.5,113.78,706452.0
2021-03-04,113.05,114.31,107.9,109.3,1031131.0
2021-03-05,110.71,111.39,104.38,109.26,1093495.0
2021-03-06,110.71,111.39,104.38,109.26,1093495.0
2021-03-07,110.71,111.39,104.38,109.26,1093495.0
2021-03-08,109.26,113.06,105.85,106.24,772312.0
2021-03-09,110.32,113.51,108.97,109.4,871242.0
2021-03-10,111.02,112.58,108.29,108.39,672476.0
2021-03-11,111.32,113.55,111.08,112.7,678650.0
2021-03-12,111.09,113.28,109.15,111.84,468984.0
2021-03-13,111.09,113.28,109.15,111.84,468984.0
2021-03-14,111.09,113.28,109.15,111.84,468984.0
2021-03-15,111.02,113.72,110.83,113.16,431147.0
2021-03-16,114.02,116.01,111.04,112.02,366632.0
2021-03-17,110.5,111.53,107.59,110.63,562313.0
2021-03-18,108.56,108.72,105.17,105.54,626359.0
2021-03-19,106.38,109.17,105.0,106.89,767645.0
2021-03-20,106.38,109.17,105.0,106.89,767645.0
2021-03-21,106.38,109.17,105.0,106.89,767645.0
2021-03-22,107.4,110.16,106.69,107.82,645389.0
2021-03-23,107.19,107.83,105.07,105.53,736312.0
2021-03-24,105.72,107.09,101.46,101.6,659704.0
2021-03-25,100.5,101.65,98.46,101.02,476448.0
2021-03-26,101.46,102.9584,100.5,102.65,479787.0
2021-03-27,101.46,102.9584,100.5,102.65,479787.0
2021-03-28,101.46,102.9584,100.5,102.65,479787.0
2021-03-29,102.49,102.72,97.78,99.13,753047.0
2021-03-30,98.46,99.42,96.295,98.48,607212.0
2021-03-31,99.66,103.22,99.3672,100.2,937896.0
2021-04-01,102.34,103.77,102.2,103.1,515077.0
2021-04-02,102.34,103.77,102.2,103.1,515077.0
2021-04-03,102.34,103.77,102.2,103.1,515077.0
2021-04-04,102.34,103.77,102.2,103.1,515077.0
2021-04-05,105.22,106.92,102.91,103.68,730776.0
2021-04-06,103.2,104.74,101.9,103.7,411400.0
2021-04-07,103.0,103.93,101.07,101.82,582149.0
2021-04-08,102.89,105.46,102.62,103.06,443727.0
2021-04-09,102.44,103.08,100.26,102.9,496370.0
2021-04-10,102.44,103.08,100.26,102.9,496370.0
2021-04-11,102.44,103.08,100.26,102.9,496370.0
2021-04-12,102.77,103.01,100.93,101.99,626170.0
2021-04-13,102.43,103.425,100.96,102.56,616089.0
2021-04-14,103.41,105.4,102.39,104.69,790886.0
2021-04-15,106.12,106.15,104.27,105.24,463941.0
2021-04-16,105.28,106.12,104.46,105.44,427260.0
2021-04-17,105.28,106.12,104.46,105.44,427260.0
2021-04-18,105.28,106.12,104.46,105.44,427260.0
2021-04-19,104.72,105.82,101.45,102.09,420148.0
2021-04-20,101.55,103.12,99.492,100.17,439553.0
2021-04-21,99.56,102.48,99.56,102.42,206446.0
2021-04-22,102.71,104.76,101.98,103.37,350481.0
2021-04-23,104.3,104.97,103.33,103.83,317849.0
2021-04-24,104.3,104.97,103.33,103.83,317849.0
2021-04-25,104.3,104.97,103.33,103.83,317849.0
2021-04-26,104.53,106.4,103.81,106.19,193258.0
2021-04-27,106.5,106.86,105.54,106.39,320742.0
2021-04-28,106.2,107.97,105.1718,107.57,324382.0
2021-04-29,108.24,108.26,104.76,105.29,381144.0
2021-04-30,103.91,106.96,103.55,104.02,451405.0
2021-05-01,103.91,106.96,103.55,104.02,451405.0
2021-05-02,103.91,106.96,103.55,104.02,451405.0
2021-05-03,104.17,105.06,102.58,103.0,608558.0
2021-05-04,101.87,102.38,97.45,98.4,536619.0
2021-05-05,99.45,100.239,95.49,95.51,442444.0
2021-05-06,95.02,97.55,92.82,94.93,989493.0
2021-05-07,96.12,98.655,95.38,97.44,702384.0
