,CRD/A US Equity,CRD/A US Equity,CRD/A US Equity,CRD/A US Equity,CRD/A US Equity
2020-03-25,6.8146,6.913,6.4479,6.5374,42574.0
2020-03-26,6.5821,6.8057,6.4748,6.6089,37172.0
2020-03-27,6.4301,6.4301,6.1171,6.2065,44944.0
2020-03-28,6.4301,6.4301,6.1171,6.2065,44944.0
2020-03-29,6.4301,6.4301,6.1171,6.2065,44944.0
2020-03-30,6.2333,6.3317,6.1618,6.3049,32553.0
2020-03-31,6.1618,6.6,6.1618,6.439,53685.0
2020-04-01,6.1618,6.2244,5.7772,5.804,42858.0
2020-04-02,5.9114,5.974,5.4195,5.6252,133434.0
2020-04-03,5.5715,5.6341,5.1423,5.4821,45800.0
2020-04-04,5.5715,5.6341,5.1423,5.4821,45800.0
2020-04-05,5.5715,5.6341,5.1423,5.4821,45800.0
2020-04-06,5.7236,6.0992,5.6431,6.0902,41929.0
2020-04-07,6.2601,6.3227,5.9293,6.0634,51550.0
2020-04-08,6.0813,6.5195,6.0813,6.3317,37392.0
2020-04-09,6.4748,6.7207,6.3049,6.6179,30254.0
2020-04-10,6.4748,6.7207,6.3049,6.6179,30254.0
2020-04-11,6.4748,6.7207,6.3049,6.6179,30254.0
2020-04-12,6.4748,6.7207,6.3049,6.6179,30254.0
2020-04-13,6.5463,6.5463,6.0455,6.2512,44233.0
2020-04-14,6.3138,6.4211,6.2065,6.3138,23879.0
2020-04-15,6.1797,6.1797,5.7772,5.9293,43116.0
2020-04-16,5.9114,5.9382,5.4195,5.5626,34341.0
2020-04-17,5.6073,6.0634,5.6073,5.965,101229.0
2020-04-18,5.6073,6.0634,5.6073,5.965,101229.0
2020-04-19,5.6073,6.0634,5.6073,5.965,101229.0
2020-04-20,5.7325,5.9024,5.6699,5.804,22697.0
2020-04-21,5.5268,5.8577,5.5268,5.7504,23304.0
2020-04-22,5.8756,5.8875,5.6879,5.804,28580.0
2020-04-23,5.7325,6.0008,5.7057,5.7593,26309.0
2020-04-24,5.7683,6.6,5.7236,6.5463,66298.0
2020-04-25,5.7683,6.6,5.7236,6.5463,66298.0
2020-04-26,5.7683,6.6,5.7236,6.5463,66298.0
2020-04-27,6.5732,6.9671,6.5732,6.761,27015.0
2020-04-28,6.761,6.8951,6.5374,6.7431,37793.0
2020-04-29,6.9577,7.3154,6.6984,7.0203,71375.0
2020-04-30,6.7788,6.7788,6.3406,6.3675,29968.0
2020-05-01,6.1081,6.1797,5.6431,5.9471,33238.0
2020-05-02,6.1081,6.1797,5.6431,5.9471,33238.0
2020-05-03,6.1081,6.1797,5.6431,5.9471,33238.0
2020-05-04,5.9829,6.1439,5.6878,6.0902,17596.0
2020-05-05,6.0992,6.2601,5.804,6.0634,37225.0
2020-05-06,5.8845,6.0455,5.6878,5.804,74353.0
2020-05-07,5.8577,6.0117,5.3032,5.3658,65926.0
2020-05-08,5.3658,5.5894,5.3658,5.5358,61070.0
2020-05-09,5.3658,5.5894,5.3658,5.5358,61070.0
2020-05-10,5.3658,5.5894,5.3658,5.5358,61070.0
2020-05-11,5.5,5.6967,5.5,5.5,87761.0
2020-05-12,5.5,5.5894,5.2138,5.2317,37368.0
2020-05-13,5.2317,5.3032,4.9992,5.1601,37339.0
2020-05-14,5.1423,5.1914,4.8561,4.9902,59658.0
2020-05-15,5.1959,5.3032,5.0394,5.1691,28784.0
2020-05-16,5.1959,5.3032,5.0394,5.1691,28784.0
2020-05-17,5.1959,5.3032,5.0394,5.1691,28784.0
2020-05-18,5.4463,5.7146,5.4463,5.5984,46539.0
2020-05-19,5.3658,5.6685,5.1065,5.1601,48862.0
2020-05-20,5.2764,5.4821,5.2764,5.3658,30779.0
2020-05-21,5.3569,5.5984,5.3569,5.5268,74416.0
2020-05-22,5.5179,5.5715,5.4463,5.491,13940.0
2020-05-23,5.5179,5.5715,5.4463,5.491,13940.0
2020-05-24,5.5179,5.5715,5.4463,5.491,13940.0
2020-05-25,5.5179,5.5715,5.4463,5.491,13940.0
2020-05-26,5.7683,5.7683,5.5268,5.5536,62016.0
2020-05-27,5.8219,5.9561,5.7504,5.8935,77814.0
2020-05-28,6.0455,6.0455,5.804,5.813,30482.0
2020-05-29,5.7772,5.7772,5.3301,5.3837,84194.0
2020-05-30,5.7772,5.7772,5.3301,5.3837,84194.0
2020-05-31,5.7772,5.7772,5.3301,5.3837,84194.0
2020-06-01,5.3927,5.559,5.3568,5.5006,125792.0
2020-06-02,5.5365,5.887,5.5186,5.8241,60935.0
2020-06-03,6.0488,6.1117,5.8241,5.8691,45513.0
2020-06-04,5.932,6.0219,5.7432,5.9949,56028.0
2020-06-05,6.5521,7.1364,6.2981,7.1184,70721.0
2020-06-06,6.5521,7.1364,6.2981,7.1184,70721.0
2020-06-07,6.5521,7.1364,6.2981,7.1184,70721.0
2020-06-08,7.424,7.424,6.9746,7.2083,37815.0
2020-06-09,7.1633,7.1633,6.7049,6.7768,38293.0
2020-06-10,6.8218,6.8757,6.5611,6.5791,40653.0
2020-06-11,6.4173,6.4173,5.932,5.9769,70182.0
2020-06-12,6.1567,6.2735,5.905,6.1836,35944.0
2020-06-13,6.1567,6.2735,5.905,6.1836,35944.0
2020-06-14,6.1567,6.2735,5.905,6.1836,35944.0
2020-06-15,6.1567,6.9925,6.1567,6.9925,69407.0
2020-06-16,7.2622,7.2802,6.7858,6.9027,35377.0
2020-06-17,6.8218,6.8218,6.4443,6.5611,22279.0
2020-06-18,6.3904,6.6151,6.3904,6.5072,10006.0
2020-06-19,6.4982,6.5342,6.3185,6.3814,71026.0
2020-06-20,6.4982,6.5342,6.3185,6.3814,71026.0
2020-06-21,6.4982,6.5342,6.3185,6.3814,71026.0
2020-06-22,6.3274,6.4937,6.2915,6.4623,21648.0
2020-06-23,6.4892,6.6151,6.3364,6.3634,22807.0
2020-06-24,6.2466,6.4713,6.2106,6.3095,74503.0
2020-06-25,6.1926,6.5432,6.1926,6.4892,29750.0
2020-06-26,6.4802,7.1993,6.278,7.0555,366251.0
2020-06-27,6.4802,7.1993,6.278,7.0555,366251.0
2020-06-28,6.4802,7.1993,6.278,7.0555,366251.0
2020-06-29,7.0555,7.4419,6.8937,6.9746,59222.0
2020-06-30,7.0375,7.1004,6.7319,7.0914,26924.0
2020-07-01,7.1184,7.2262,6.9117,7.2172,39488.0
2020-07-02,7.424,7.424,7.0375,7.1274,22129.0
2020-07-03,7.424,7.424,7.0375,7.1274,22129.0
2020-07-04,7.424,7.424,7.0375,7.1274,22129.0
2020-07-05,7.424,7.424,7.0375,7.1274,22129.0
2020-07-06,7.1813,7.1813,6.8398,6.8398,16980.0
2020-07-07,6.7409,6.7679,6.5521,6.5701,21309.0
2020-07-08,6.6061,6.7139,6.3364,6.5521,49574.0
2020-07-09,6.6061,6.6061,6.3454,6.3454,67861.0
2020-07-10,6.2825,6.4083,6.2555,6.2735,57466.0
2020-07-11,6.2825,6.4083,6.2555,6.2735,57466.0
2020-07-12,6.2825,6.4083,6.2555,6.2735,57466.0
2020-07-13,6.4173,6.5611,6.2735,6.3454,35683.0
2020-07-14,6.3814,6.6959,6.3679,6.651,26656.0
2020-07-15,6.9206,7.1543,6.633,6.8398,45141.0
2020-07-16,6.7679,6.9632,6.6151,6.8577,30108.0
2020-07-17,6.7858,7.0824,6.7139,6.8038,54778.0
2020-07-18,6.7858,7.0824,6.7139,6.8038,54778.0
2020-07-19,6.7858,7.0824,6.7139,6.8038,54778.0
2020-07-20,6.6959,6.8128,6.66,6.7049,12670.0
2020-07-21,6.7858,6.9925,6.7229,6.9027,18483.0
2020-07-22,6.8308,6.8667,6.7679,6.7858,22718.0
2020-07-23,6.7229,6.9386,6.7229,6.8757,22076.0
2020-07-24,6.8038,6.8218,6.5432,6.6959,31264.0
2020-07-25,6.8038,6.8218,6.5432,6.6959,31264.0
2020-07-26,6.8038,6.8218,6.5432,6.6959,31264.0
2020-07-27,6.5701,6.7948,6.5701,6.7948,24950.0
2020-07-28,6.687,6.8308,6.687,6.7229,57128.0
2020-07-29,6.678,6.7768,6.3993,6.3993,24935.0
2020-07-30,6.3095,6.5656,6.26,6.4173,94909.0
2020-07-31,6.3274,6.6061,6.2915,6.5881,96844.0
2020-08-01,6.3274,6.6061,6.2915,6.5881,96844.0
2020-08-02,6.3274,6.6061,6.2915,6.5881,96844.0
2020-08-03,6.6959,7.2442,6.4847,7.0465,86971.0
2020-08-04,6.9296,7.2891,6.314,6.5342,143120.0
2020-08-05,6.5252,6.66,6.4892,6.66,18269.0
2020-08-06,6.5881,6.8398,6.3544,6.7229,40830.0
2020-08-07,6.8128,7.1633,6.6106,7.1094,34032.0
2020-08-08,6.8128,7.1633,6.6106,7.1094,34032.0
2020-08-09,6.8128,7.1633,6.6106,7.1094,34032.0
2020-08-10,7.0734,7.4779,7.0734,7.379,47427.0
2020-08-11,7.5408,7.6981,7.406,7.406,36737.0
2020-08-12,7.5498,7.5498,7.2442,7.3521,29830.0
2020-08-13,7.379,7.4599,7.2487,7.379,22656.0
2020-08-14,7.424,7.433,7.2712,7.2981,22968.0
2020-08-15,7.424,7.433,7.2712,7.2981,22968.0
2020-08-16,7.424,7.433,7.2712,7.2981,22968.0
2020-08-17,7.3523,7.3523,7.1197,7.1807,12467.0
2020-08-18,7.2078,7.2078,6.9007,6.973,16047.0
2020-08-19,6.9368,7.2349,6.9368,7.0633,18906.0
2020-08-20,6.982,7.1717,6.982,7.0723,13690.0
2020-08-21,6.973,7.1085,6.7381,6.7833,44714.0
2020-08-22,6.973,7.1085,6.7381,6.7833,44714.0
2020-08-23,6.973,7.1085,6.7381,6.7833,44714.0
2020-08-24,6.7743,6.9188,6.693,6.8014,32807.0
2020-08-25,6.8826,6.8826,6.6839,6.711,32516.0
2020-08-26,6.7652,6.7652,6.5214,6.5214,50205.0
2020-08-27,6.5484,6.711,6.4039,6.4039,56640.0
2020-08-28,6.3768,6.6388,6.3497,6.431,46466.0
2020-08-29,6.3768,6.6388,6.3497,6.431,46466.0
2020-08-30,6.3768,6.6388,6.3497,6.431,46466.0
2020-08-31,6.3497,6.4672,6.0607,6.1962,105991.0
2020-09-01,6.142,6.5394,6.142,6.5123,45870.0
2020-09-02,6.5033,6.6975,6.5033,6.6297,73644.0
2020-09-03,6.6207,6.7833,6.5665,6.6568,60643.0
2020-09-04,6.7472,6.9097,6.6252,6.7291,45743.0
2020-09-05,6.7472,6.9097,6.6252,6.7291,45743.0
2020-09-06,6.7472,6.9097,6.6252,6.7291,45743.0
2020-09-07,6.7472,6.9097,6.6252,6.7291,45743.0
2020-09-08,6.6478,6.6659,6.5936,6.6297,26862.0
2020-09-09,6.6207,6.6839,6.3859,6.3859,69839.0
2020-09-10,6.3588,6.3859,6.2368,6.3588,79068.0
2020-09-11,6.3317,6.3497,6.1962,6.3497,60548.0
2020-09-12,6.3317,6.3497,6.1962,6.3497,60548.0
2020-09-13,6.3317,6.3497,6.1962,6.3497,60548.0
2020-09-14,6.3407,6.4581,6.2504,6.4581,83987.0
2020-09-15,6.431,6.4852,6.3226,6.413,47927.0
2020-09-16,6.3859,6.4943,6.3859,6.413,50337.0
2020-09-17,6.4581,6.4672,6.2865,6.431,26482.0
2020-09-18,6.5123,6.5123,6.3226,6.4581,105894.0
2020-09-19,6.5123,6.5123,6.3226,6.4581,105894.0
2020-09-20,6.5123,6.5123,6.3226,6.4581,105894.0
2020-09-21,6.3046,6.6207,6.151,6.6207,59174.0
2020-09-22,6.5575,6.6072,6.3678,6.4762,22218.0
2020-09-23,6.4039,6.5855,6.133,6.1691,38537.0
2020-09-24,6.1239,6.2504,5.9613,6.0517,24682.0
2020-09-25,5.9523,6.1239,5.9523,6.0607,13619.0
2020-09-26,5.9523,6.1239,5.9523,6.0607,13619.0
2020-09-27,5.9523,6.1239,5.9523,6.0607,13619.0
2020-09-28,6.133,6.3226,6.1059,6.151,14483.0
2020-09-29,6.0697,6.1149,6.0065,6.0968,11658.0
2020-09-30,6.142,6.1514,5.8801,5.9072,37199.0
2020-10-01,5.9523,6.2413,5.8801,6.0517,28425.0
2020-10-02,6.3226,6.6117,6.1239,6.422,32088.0
2020-10-03,6.3226,6.6117,6.1239,6.422,32088.0
2020-10-04,6.3226,6.6117,6.1239,6.422,32088.0
2020-10-05,6.3813,6.6839,6.2684,6.5755,44003.0
2020-10-06,6.6568,6.6838,6.1962,6.1962,56264.0
2020-10-07,6.1872,6.2684,6.0517,6.1149,46226.0
2020-10-08,6.1781,6.3046,5.9613,6.151,31236.0
2020-10-09,6.133,6.1872,6.0968,6.1239,21407.0
2020-10-10,6.133,6.1872,6.0968,6.1239,21407.0
2020-10-11,6.133,6.1872,6.0968,6.1239,21407.0
2020-10-12,6.1691,6.2955,6.1149,6.142,33348.0
2020-10-13,6.0878,6.2323,6.0336,6.0517,26589.0
2020-10-14,6.142,6.142,5.8981,5.9252,26649.0
2020-10-15,5.8801,6.1194,5.8801,6.0697,35997.0
2020-10-16,5.9342,6.0519,5.9162,5.9252,21888.0
2020-10-17,5.9342,6.0519,5.9162,5.9252,21888.0
2020-10-18,5.9342,6.0519,5.9162,5.9252,21888.0
2020-10-19,5.8981,6.2598,5.8981,6.0065,20220.0
2020-10-20,6.0788,6.142,5.9613,6.0065,25634.0
2020-10-21,6.0517,6.1601,5.9523,6.0607,17473.0
2020-10-22,6.0788,6.2143,5.8891,6.0246,36345.0
2020-10-23,6.0878,6.1013,5.9884,6.0517,21603.0
2020-10-24,6.0878,6.1013,5.9884,6.0517,21603.0
2020-10-25,6.0878,6.1013,5.9884,6.0517,21603.0
2020-10-26,5.9613,6.0065,5.9162,5.9162,13782.0
2020-10-27,5.8801,5.9523,5.6723,5.6723,40948.0
2020-10-28,5.5639,6.0155,5.5639,5.6904,21586.0
2020-10-29,5.6542,5.9342,5.4555,5.871,40484.0
2020-10-30,5.871,5.9072,5.722,5.7807,25994.0
2020-10-31,5.871,5.9072,5.722,5.7807,25994.0
2020-11-01,5.871,5.9072,5.722,5.7807,25994.0
2020-11-02,5.7988,6.0788,5.7988,5.9794,27022.0
2020-11-03,6.3768,6.5304,6.3317,6.5304,39829.0
2020-11-04,6.2504,6.4762,6.2052,6.2775,28816.0
2020-11-05,6.2233,6.2775,6.1872,6.2504,25666.0
2020-11-06,6.2233,6.3272,6.1781,6.2323,66258.0
2020-11-07,6.2233,6.3272,6.1781,6.2323,66258.0
2020-11-08,6.2233,6.3272,6.1781,6.2323,66258.0
2020-11-09,6.5304,6.8646,6.4762,6.5394,56865.0
2020-11-10,6.6568,7.0001,6.6297,6.8104,39285.0
2020-11-11,6.9007,6.9007,6.7291,6.8014,13705.0
2020-11-12,6.8375,6.8375,6.6297,6.7923,29662.0
2020-11-13,7.0272,7.1356,6.8194,7.0452,24426.0
2020-11-14,7.0272,7.1356,6.8194,7.0452,24426.0
2020-11-15,7.0272,7.1356,6.8194,7.0452,24426.0
2020-11-16,7.2349,7.6775,7.0633,7.2981,48149.0
2020-11-17,7.3523,7.3523,7.0904,7.1175,28200.0
2020-11-18,7.2981,7.5691,6.9097,6.9549,19163.0
2020-11-19,6.9458,7.0913,6.7003,6.8185,41101.0
2020-11-20,6.5276,6.7503,6.464,6.5822,90730.0
2020-11-21,6.5276,6.7503,6.464,6.5822,90730.0
2020-11-22,6.5276,6.7503,6.464,6.5822,90730.0
2020-11-23,6.7276,6.8822,6.664,6.864,21326.0
2020-11-24,6.9822,7.0276,6.864,6.9731,44090.0
2020-11-25,6.9731,6.9731,6.7458,6.7822,18540.0
2020-11-26,6.9731,6.9731,6.7458,6.7822,18540.0
2020-11-27,6.7276,6.9913,6.7276,6.9913,18405.0
2020-11-28,6.7276,6.9913,6.7276,6.9913,18405.0
2020-11-29,6.7276,6.9913,6.7276,6.9913,18405.0
2020-11-30,6.8185,6.8449,6.6761,6.6822,25663.0
2020-12-01,6.6822,6.8185,6.6367,6.7276,20991.0
2020-12-02,6.7549,7.0004,6.7549,6.9004,27054.0
2020-12-03,6.9549,6.9549,6.764,6.8094,18498.0
2020-12-04,6.8913,7.0776,6.7049,7.0367,22548.0
2020-12-05,6.8913,7.0776,6.7049,7.0367,22548.0
2020-12-06,6.8913,7.0776,6.7049,7.0367,22548.0
2020-12-07,7.0367,7.2549,6.7776,7.164,31589.0
2020-12-08,7.2095,7.4277,6.9594,7.4277,31074.0
2020-12-09,7.6368,7.6368,7.2913,7.3004,39318.0
2020-12-10,7.2276,7.3367,7.164,7.2004,20922.0
2020-12-11,7.3095,7.464,7.0458,7.1004,16891.0
2020-12-12,7.3095,7.464,7.0458,7.1004,16891.0
2020-12-13,7.3095,7.464,7.0458,7.1004,16891.0
2020-12-14,7.1004,7.3458,7.0913,7.1367,32873.0
2020-12-15,7.2185,7.4095,7.0822,7.264,38127.0
2020-12-16,7.2185,7.4549,6.9242,6.9822,63635.0
2020-12-17,7.064,7.1458,6.9367,6.9822,57725.0
2020-12-18,7.1367,7.2252,6.5731,6.6549,184560.0
2020-12-19,7.1367,7.2252,6.5731,6.6549,184560.0
2020-12-20,7.1367,7.2252,6.5731,6.6549,184560.0
2020-12-21,6.564,6.7731,6.564,6.6003,106642.0
2020-12-22,6.6913,6.8822,6.6367,6.6367,94217.0
2020-12-23,6.6003,6.8367,6.6003,6.8094,16712.0
2020-12-24,6.7276,6.9731,6.7276,6.8094,11449.0
2020-12-25,6.7276,6.9731,6.7276,6.8094,11449.0
2020-12-26,6.7276,6.9731,6.7276,6.8094,11449.0
2020-12-27,6.7276,6.9731,6.7276,6.8094,11449.0
2020-12-28,6.7367,6.8094,6.6276,6.6276,18121.0
2020-12-29,6.6549,6.7899,6.464,6.5458,48977.0
2020-12-30,6.5276,6.7094,6.5276,6.6731,46241.0
2020-12-31,6.6367,6.7731,6.6367,6.7185,18243.0
2021-01-01,6.6367,6.7731,6.6367,6.7185,18243.0
2021-01-02,6.6367,6.7731,6.6367,6.7185,18243.0
2021-01-03,6.6367,6.7731,6.6367,6.7185,18243.0
2021-01-04,6.8094,6.8322,6.464,6.464,32184.0
2021-01-05,6.4367,6.6913,6.4367,6.5912,30586.0
2021-01-06,6.9094,7.2376,6.9094,7.1095,43833.0
2021-01-07,7.2185,7.2276,6.8367,6.8367,49618.0
2021-01-08,7.0004,7.1913,7.0004,7.0822,23263.0
2021-01-09,7.0004,7.1913,7.0004,7.0822,23263.0
2021-01-10,7.0004,7.1913,7.0004,7.0822,23263.0
2021-01-11,7.0822,7.2367,7.0549,7.1004,28613.0
2021-01-12,7.264,7.3367,7.1276,7.1549,26847.0
2021-01-13,7.264,7.3095,7.0913,7.1185,32958.0
2021-01-14,7.2549,7.3549,7.2276,7.2822,20183.0
2021-01-15,7.1367,7.3186,7.1367,7.2549,15315.0
2021-01-16,7.1367,7.3186,7.1367,7.2549,15315.0
2021-01-17,7.1367,7.3186,7.1367,7.2549,15315.0
2021-01-18,7.1367,7.3186,7.1367,7.2549,15315.0
2021-01-19,7.364,7.5186,7.1549,7.364,41908.0
2021-01-20,7.264,7.5094,7.1004,7.1095,38571.0
2021-01-21,7.1276,7.3276,7.0549,7.164,29929.0
2021-01-22,7.2367,7.3822,7.1458,7.264,50004.0
2021-01-23,7.2367,7.3822,7.1458,7.264,50004.0
2021-01-24,7.2367,7.3822,7.1458,7.264,50004.0
2021-01-25,7.1276,7.2913,7.1276,7.2095,13921.0
2021-01-26,7.3822,7.3822,7.0913,7.1549,14535.0
2021-01-27,6.8003,7.2822,6.8003,7.0822,40169.0
2021-01-28,7.3822,7.3822,6.9776,7.0822,32213.0
2021-01-29,7.0822,7.0822,6.9181,6.9185,26972.0
2021-01-30,7.0822,7.0822,6.9181,6.9185,26972.0
2021-01-31,7.0822,7.0822,6.9181,6.9185,26972.0
2021-02-01,6.8822,7.2731,6.8822,7.1822,33961.0
2021-02-02,7.2731,7.3367,7.1595,7.2276,24865.0
2021-02-03,7.1458,7.3004,7.1095,7.2095,29614.0
2021-02-04,7.3004,7.4731,7.3004,7.364,19790.0
2021-02-05,7.6368,7.6368,7.3913,7.3913,25770.0
2021-02-06,7.6368,7.6368,7.3913,7.3913,25770.0
2021-02-07,7.6368,7.6368,7.3913,7.3913,25770.0
2021-02-08,7.364,7.4998,7.2913,7.464,174780.0
2021-02-09,7.6095,8.0186,7.4923,8.0186,38408.0
2021-02-10,8.1822,8.1822,7.955,8.0186,40898.0
2021-02-11,8.0742,8.2913,7.8368,7.8368,33194.0
2021-02-12,7.864,8.2504,7.864,8.2368,37310.0
2021-02-13,7.864,8.2504,7.864,8.2368,37310.0
2021-02-14,7.864,8.2504,7.864,8.2368,37310.0
2021-02-15,7.864,8.2504,7.864,8.2368,37310.0
2021-02-16,8.4913,8.4913,8.1095,8.1913,80441.0
2021-02-17,8.1822,8.3459,8.0731,8.0731,61679.0
2021-02-18,8.055,8.2413,8.055,8.0913,36440.0
2021-02-19,8.0004,8.2368,8.0004,8.155,28220.0
2021-02-20,8.0004,8.2368,8.0004,8.155,28220.0
2021-02-21,8.0004,8.2368,8.0004,8.155,28220.0
2021-02-22,8.1368,8.9823,8.1368,8.8459,33463.0
2021-02-23,9.2187,9.2187,8.5004,8.5186,26035.0
2021-02-24,8.5004,8.9368,8.5004,8.7095,16025.0
2021-02-25,8.7553,8.9565,8.6363,8.7095,21656.0
2021-02-26,8.6912,8.6912,8.4076,8.5998,39905.0
2021-02-27,8.6912,8.6912,8.4076,8.5998,39905.0
2021-02-28,8.6912,8.6912,8.4076,8.5998,39905.0
2021-03-01,8.7461,8.7461,8.4808,8.5266,19749.0
2021-03-02,8.4259,8.5632,8.3985,8.49,14150.0
2021-03-03,9.3408,9.3408,8.7004,9.0755,35248.0
2021-03-04,9.0755,9.1487,8.6363,8.8742,35906.0
2021-03-05,9.1487,9.6061,8.9428,9.6061,71502.0
2021-03-06,9.1487,9.6061,8.9428,9.6061,71502.0
2021-03-07,9.1487,9.6061,8.9428,9.6061,71502.0
2021-03-08,9.2768,9.7159,9.2768,9.6976,61126.0
2021-03-09,9.7891,9.7891,9.478,9.6061,50118.0
2021-03-10,9.6061,9.6701,9.4506,9.6701,51274.0
2021-03-11,8.9748,9.6976,8.8925,9.6976,69710.0
2021-03-12,9.9721,9.9721,9.7067,9.7616,28683.0
2021-03-13,9.9721,9.9721,9.7067,9.7616,28683.0
2021-03-14,9.9721,9.9721,9.7067,9.7616,28683.0
