,DISCB US Equity,DISCB US Equity,DISCB US Equity,DISCB US Equity,DISCB US Equity
2020-05-15,38.05,39.74,37.18,39.74,3505.0
2020-05-16,38.05,39.74,37.18,39.74,3505.0
2020-05-17,38.05,39.74,37.18,39.74,3505.0
2020-05-18,36.32,39.5299,35.0,38.5,2682.0
2020-05-19,38.135,38.135,38.06,38.06,932.0
2020-05-20,36.6811,37.1,36.6811,37.1,1399.0
2020-05-21,35.9,35.9,35.5,35.5,1296.0
2020-05-22,37.01,37.25,37.01,37.25,944.0
2020-05-23,37.01,37.25,37.01,37.25,944.0
2020-05-24,37.01,37.25,37.01,37.25,944.0
2020-05-25,37.01,37.25,37.01,37.25,944.0
2020-05-26,37.65,37.65,37.65,37.65,773.0
2020-05-27,37.65,38.99,37.535,37.535,1487.0
2020-05-28,37.495,37.495,36.48,36.48,1144.0
2020-05-29,37.0,37.0,37.0,37.0,882.0
2020-05-30,37.0,37.0,37.0,37.0,882.0
2020-05-31,37.0,37.0,37.0,37.0,882.0
2020-06-01,37.06,37.06,37.06,37.06,1044.0
2020-06-02,37.04,37.04,37.04,37.04,1967.0
2020-06-03,37.51,37.51,37.51,37.51,1150.0
2020-06-04,36.56,36.56,36.56,36.56,838.0
2020-06-05,38.33,39.9999,37.06,37.07,2537.0
2020-06-06,38.33,39.9999,37.06,37.07,2537.0
2020-06-07,38.33,39.9999,37.06,37.07,2537.0
2020-06-08,37.16,38.0,37.16,38.0,1109.0
2020-06-09,38.0,40.07,38.0,39.05,1984.0
2020-06-10,40.879,40.879,38.35,38.8,1367.0
2020-06-11,35.0001,35.0001,35.0001,35.0001,805.0
2020-06-12,40.39,40.39,36.35,36.35,849.0
2020-06-13,40.39,40.39,36.35,36.35,849.0
2020-06-14,40.39,40.39,36.35,36.35,849.0
2020-06-15,37.0,39.5,37.0,39.5,1108.0
2020-06-16,37.348,37.348,37.348,37.348,895.0
2020-06-17,39.9804,39.9804,37.56,39.43,1110.0
2020-06-18,38.05,41.86,38.05,38.1952,1206.0
2020-06-19,38.04,39.45,35.25,39.4,2054.0
2020-06-20,38.04,39.45,35.25,39.4,2054.0
2020-06-21,38.04,39.45,35.25,39.4,2054.0
2020-06-22,39.4,42.343,38.01,38.01,1907.0
2020-06-23,42.8949,45.95,38.51,40.01,12026.0
2020-06-24,42.01,42.5,38.02,38.02,4636.0
2020-06-25,36.0,42.0,36.0,42.0,1126.0
2020-06-26,39.77,39.77,39.77,39.77,592.0
2020-06-27,39.77,39.77,39.77,39.77,592.0
2020-06-28,39.77,39.77,39.77,39.77,592.0
2020-06-29,38.05,41.45,37.32,39.53,1897.0
2020-06-30,39.45,39.45,38.0,38.0,791.0
2020-07-01,36.52,36.52,36.52,36.52,990.0
2020-07-02,36.52,36.52,36.52,36.52,197.0
2020-07-03,36.52,36.52,36.52,36.52,197.0
2020-07-04,36.52,36.52,36.52,36.52,197.0
2020-07-05,36.52,36.52,36.52,36.52,197.0
2020-07-06,41.28,41.28,38.78,41.0,1804.0
2020-07-07,41.28,41.28,38.78,41.0,176.0
2020-07-08,37.575,37.575,37.575,37.575,544.0
2020-07-09,39.99,39.99,37.88,37.88,1242.0
2020-07-10,39.99,39.99,37.88,37.88,372.0
2020-07-11,39.99,39.99,37.88,37.88,372.0
2020-07-12,39.99,39.99,37.88,37.88,372.0
2020-07-13,37.01,37.01,37.01,37.01,906.0
2020-07-14,37.01,37.01,37.01,37.01,256.0
2020-07-15,37.01,37.01,37.01,37.01,243.0
2020-07-16,36.14,39.5,36.14,39.5,1537.0
2020-07-17,38.56,38.56,38.56,38.56,727.0
2020-07-18,38.56,38.56,38.56,38.56,727.0
2020-07-19,38.56,38.56,38.56,38.56,727.0
2020-07-20,38.56,38.56,38.56,38.56,435.0
2020-07-21,38.5412,39.01,38.5412,39.01,702.0
2020-07-22,38.65,38.65,38.65,38.65,794.0
2020-07-23,38.65,38.65,38.65,38.65,191.0
2020-07-24,37.83,37.83,37.83,37.83,244.0
2020-07-25,37.83,37.83,37.83,37.83,244.0
2020-07-26,37.83,37.83,37.83,37.83,244.0
2020-07-27,38.98,38.98,38.53,38.53,551.0
2020-07-28,37.95,37.95,37.95,37.95,256.0
2020-07-29,36.5001,36.5001,36.5001,36.5001,308.0
2020-07-30,36.5001,36.5001,36.5001,36.5001,138.0
2020-07-31,35.15,35.15,35.1499,35.1499,890.0
2020-08-01,35.15,35.15,35.1499,35.1499,890.0
2020-08-02,35.15,35.15,35.1499,35.1499,890.0
2020-08-03,38.0,38.91,38.0,38.91,908.0
2020-08-04,37.02,37.02,37.02,37.02,525.0
2020-08-05,38.1897,38.1897,38.1897,38.1897,1141.0
2020-08-06,38.19,38.19,38.19,38.19,377.0
2020-08-07,35.5,35.5,35.5,35.5,437.0
2020-08-08,35.5,35.5,35.5,35.5,437.0
2020-08-09,35.5,35.5,35.5,35.5,437.0
2020-08-10,35.6,38.4,35.05,38.4,2244.0
2020-08-11,38.3,38.3,36.0,37.52,2039.0
2020-08-12,37.55,39.95,37.0,38.01,3801.0
2020-08-13,39.75,39.75,39.75,39.75,936.0
2020-08-14,39.75,39.75,39.75,39.75,199.0
2020-08-15,39.75,39.75,39.75,39.75,199.0
2020-08-16,39.75,39.75,39.75,39.75,199.0
2020-08-17,40.75,42.47,40.4,40.4,2450.0
2020-08-18,40.75,42.47,40.4,40.4,263.0
2020-08-19,38.5,38.5,38.5,38.5,252.0
2020-08-20,38.5,38.5,38.5,38.5,125.0
2020-08-21,38.5,38.5,38.5,38.5,115.0
2020-08-22,38.5,38.5,38.5,38.5,115.0
2020-08-23,38.5,38.5,38.5,38.5,115.0
2020-08-24,39.39,39.39,39.39,39.39,522.0
2020-08-25,39.39,39.39,39.39,39.39,159.0
2020-08-26,38.51,39.04,38.5001,38.51,1734.0
2020-08-27,38.5,39.08,35.53,35.53,1600.0
2020-08-28,40.0,40.0,36.0,37.47,1494.0
2020-08-29,40.0,40.0,36.0,37.47,1494.0
2020-08-30,40.0,40.0,36.0,37.47,1494.0
2020-08-31,38.36,41.9999,36.5,36.5,1953.0
2020-09-01,36.6,38.5,36.6,38.5,1316.0
2020-09-02,36.6,38.5,36.6,38.5,275.0
2020-09-03,38.47,38.47,36.27,36.27,995.0
2020-09-04,35.607,36.852,35.6,36.852,1005.0
2020-09-05,35.607,36.852,35.6,36.852,1005.0
2020-09-06,35.607,36.852,35.6,36.852,1005.0
2020-09-07,35.607,36.852,35.6,36.852,1005.0
2020-09-08,38.22,38.22,36.9213,36.9213,541.0
2020-09-09,38.22,38.22,36.9213,36.9213,252.0
2020-09-10,36.99,36.99,36.99,36.99,313.0
2020-09-11,36.6,36.6,36.6,36.6,217.0
2020-09-12,36.6,36.6,36.6,36.6,217.0
2020-09-13,36.6,36.6,36.6,36.6,217.0
2020-09-14,36.35,36.35,36.35,36.35,464.0
2020-09-15,36.35,36.35,36.35,36.35,234.0
2020-09-16,36.35,36.35,36.35,36.35,49.0
2020-09-17,35.5,35.5,35.5,35.5,649.0
2020-09-18,35.5,35.5,35.5,35.5,140.0
2020-09-19,35.5,35.5,35.5,35.5,140.0
2020-09-20,35.5,35.5,35.5,35.5,140.0
2020-09-21,35.0,35.0,33.0,33.0,10673.0
2020-09-22,33.0,33.0,33.0,33.0,386.0
2020-09-23,33.5,35.25,33.5,35.0,1214.0
2020-09-24,36.3897,36.3897,36.3897,36.3897,279.0
2020-09-25,33.4,36.2,33.4,33.66,1829.0
2020-09-26,33.4,36.2,33.4,33.66,1829.0
2020-09-27,33.4,36.2,33.4,33.66,1829.0
2020-09-28,33.4,36.2,33.4,33.66,348.0
2020-09-29,33.4,36.2,33.4,33.66,244.0
2020-09-30,33.8147,33.8147,33.51,33.51,996.0
2020-10-01,33.8147,33.8147,33.51,33.51,58.0
2020-10-02,33.8147,33.8147,33.51,33.51,75.0
2020-10-03,33.8147,33.8147,33.51,33.51,75.0
2020-10-04,33.8147,33.8147,33.51,33.51,75.0
2020-10-05,33.8147,33.8147,33.51,33.51,293.0
2020-10-06,33.5566,34.8328,33.51,33.51,393.0
2020-10-07,33.5566,34.8328,33.51,33.51,142.0
2020-10-08,33.0501,33.0501,33.0501,33.0501,383.0
2020-10-09,33.0501,33.0501,33.0501,33.0501,181.0
2020-10-10,33.0501,33.0501,33.0501,33.0501,181.0
2020-10-11,33.0501,33.0501,33.0501,33.0501,181.0
2020-10-12,33.0501,33.0501,33.0501,33.0501,404.0
2020-10-13,33.1,33.1,33.1,33.1,629.0
2020-10-14,34.0,34.0,33.1,33.1,1093.0
2020-10-15,33.1,33.83,33.1,33.83,711.0
2020-10-16,33.37,33.37,33.37,33.37,550.0
2020-10-17,33.37,33.37,33.37,33.37,550.0
2020-10-18,33.37,33.37,33.37,33.37,550.0
2020-10-19,33.37,33.37,33.37,33.37,193.0
2020-10-20,33.37,33.37,33.37,33.37,116.0
2020-10-21,33.37,33.37,33.37,33.37,258.0
2020-10-22,33.37,33.37,33.37,33.37,357.0
2020-10-23,33.1,33.82,33.1,33.82,1086.0
2020-10-24,33.1,33.82,33.1,33.82,1086.0
2020-10-25,33.1,33.82,33.1,33.82,1086.0
2020-10-26,33.78,33.78,33.78,33.78,1129.0
2020-10-27,33.78,33.78,33.78,33.78,1164.0
2020-10-28,33.73,33.73,33.73,33.73,935.0
2020-10-29,33.335,33.335,32.7,32.7,2040.0
2020-10-30,33.335,33.335,32.7,32.7,1399.0
2020-10-31,33.335,33.335,32.7,32.7,1399.0
2020-11-01,33.335,33.335,32.7,32.7,1399.0
2020-11-02,27.9,34.0,26.0,34.0,2171.0
2020-11-03,30.28,30.28,27.25,28.47,956.0
2020-11-04,29.3212,32.21,29.3212,32.21,2464.0
2020-11-05,31.34,31.34,31.34,31.34,1864.0
2020-11-06,30.98,31.05,30.98,31.05,1773.0
2020-11-07,30.98,31.05,30.98,31.05,1773.0
2020-11-08,30.98,31.05,30.98,31.05,1773.0
2020-11-09,33.99,33.99,33.99,33.99,723.0
2020-11-10,31.93,31.93,31.93,31.93,1282.0
2020-11-11,30.4,30.4,30.4,30.4,1404.0
2020-11-12,31.03,31.03,31.03,31.03,1981.0
2020-11-13,30.39,30.39,30.39,30.39,1284.0
2020-11-14,30.39,30.39,30.39,30.39,1284.0
2020-11-15,30.39,30.39,30.39,30.39,1284.0
2020-11-16,31.0,33.5,30.6,30.6,1393.0
2020-11-17,31.7,31.7,31.7,31.7,790.0
2020-11-18,31.22,31.645,31.22,31.645,1090.0
2020-11-19,31.0,31.0,31.0,31.0,997.0
2020-11-20,31.0,31.0,31.0,31.0,1453.0
2020-11-21,31.0,31.0,31.0,31.0,1453.0
2020-11-22,31.0,31.0,31.0,31.0,1453.0
2020-11-23,30.6417,30.9,30.6417,30.9,1661.0
2020-11-24,30.75,30.75,30.6,30.6,1376.0
2020-11-25,31.1451,33.55,31.0,32.97,8468.0
2020-11-26,31.1451,33.55,31.0,32.97,8468.0
2020-11-27,34.89,34.89,31.55,31.55,975.0
2020-11-28,34.89,34.89,31.55,31.55,975.0
2020-11-29,34.89,34.89,31.55,31.55,975.0
2020-11-30,32.25,32.25,31.5083,32.25,2120.0
2020-12-01,31.68,31.68,31.68,31.68,1161.0
2020-12-02,31.47,32.3613,30.51,31.48,4743.0
2020-12-03,31.4,31.71,31.4,31.61,1912.0
2020-12-04,35.0,35.0,31.38,32.29,2450.0
2020-12-05,35.0,35.0,31.38,32.29,2450.0
2020-12-06,35.0,35.0,31.38,32.29,2450.0
2020-12-07,30.67,32.0,30.67,32.0,1895.0
2020-12-08,31.64,31.64,31.1848,31.5,3050.0
2020-12-09,30.03,33.03,30.03,33.03,1746.0
2020-12-10,32.85,32.9,31.16,32.9,4478.0
2020-12-11,30.7405,32.71,30.7405,32.71,1834.0
2020-12-12,30.7405,32.71,30.7405,32.71,1834.0
2020-12-13,30.7405,32.71,30.7405,32.71,1834.0
2020-12-14,30.4783,34.0,30.4783,34.0,8032.0
2020-12-15,32.27,32.8,32.15,32.15,2310.0
2020-12-16,33.006,33.006,31.06,31.06,5355.0
2020-12-17,30.7,32.99,30.5,32.99,3900.0
2020-12-18,31.35,31.5,30.3,30.3,3859.0
2020-12-19,31.35,31.5,30.3,30.3,3859.0
2020-12-20,31.35,31.5,30.3,30.3,3859.0
2020-12-21,30.52,30.52,30.52,30.52,1775.0
2020-12-22,31.01,31.01,31.01,31.01,1386.0
2020-12-23,31.4,31.4,31.4,31.4,676.0
2020-12-24,31.51,31.51,31.51,31.51,1114.0
2020-12-25,31.51,31.51,31.51,31.51,1114.0
2020-12-26,31.51,31.51,31.51,31.51,1114.0
2020-12-27,31.51,31.51,31.51,31.51,1114.0
2020-12-28,31.19,31.19,31.19,31.19,1901.0
2020-12-29,31.68,31.68,31.68,31.68,1921.0
2020-12-30,34.5,34.5,34.5,34.5,1394.0
2020-12-31,34.5321,34.54,32.2954,32.4,1323.0
2021-01-01,34.5321,34.54,32.2954,32.4,1323.0
2021-01-02,34.5321,34.54,32.2954,32.4,1323.0
2021-01-03,34.5321,34.54,32.2954,32.4,1323.0
2021-01-04,32.6,34.5,32.6,34.5,773.0
2021-01-05,34.78,34.78,33.25,33.25,1782.0
2021-01-06,36.0,36.715,35.2176,35.55,1580.0
2021-01-07,36.05,36.05,36.05,36.05,740.0
2021-01-08,35.95,35.95,35.95,35.95,548.0
2021-01-09,35.95,35.95,35.95,35.95,548.0
2021-01-10,35.95,35.95,35.95,35.95,548.0
2021-01-11,36.01,36.01,36.01,36.01,395.0
2021-01-12,38.43,38.43,37.9,37.9,861.0
2021-01-13,37.85,38.4299,35.66,37.51,1420.0
2021-01-14,38.44,40.1835,38.05,38.05,1468.0
2021-01-15,37.6,37.6,37.6,37.6,360.0
2021-01-16,37.6,37.6,37.6,37.6,360.0
2021-01-17,37.6,37.6,37.6,37.6,360.0
2021-01-18,37.6,37.6,37.6,37.6,360.0
2021-01-19,37.6,37.6,37.6,37.6,475.0
2021-01-20,40.0,40.0,40.0,40.0,560.0
2021-01-21,40.0,40.0,40.0,40.0,354.0
2021-01-22,37.5,40.0519,37.5,40.0519,632.0
2021-01-23,37.5,40.0519,37.5,40.0519,632.0
2021-01-24,37.5,40.0519,37.5,40.0519,632.0
2021-01-25,41.1375,41.1375,38.41,38.41,1307.0
2021-01-26,40.2219,40.2219,39.2,39.2,887.0
2021-01-27,45.25,49.0,42.65,42.65,4455.0
2021-01-28,43.47,43.56,41.0174,41.0174,1535.0
2021-01-29,43.5,44.93,43.5,44.93,1157.0
2021-01-30,43.5,44.93,43.5,44.93,1157.0
2021-01-31,43.5,44.93,43.5,44.93,1157.0
2021-02-01,44.93,45.09,44.82,44.82,1275.0
2021-02-02,44.93,45.09,44.82,44.82,473.0
2021-02-03,42.7275,42.97,41.2465,42.97,2650.0
2021-02-04,43.5,44.0,43.0,43.0,1693.0
2021-02-05,41.09,43.482,41.09,42.6657,1990.0
2021-02-06,41.09,43.482,41.09,42.6657,1990.0
2021-02-07,41.09,43.482,41.09,42.6657,1990.0
2021-02-08,43.588,43.59,43.24,43.24,1634.0
2021-02-09,44.0,44.0,44.0,44.0,499.0
2021-02-10,45.0,47.15,44.7,44.7,2728.0
2021-02-11,48.98,48.98,48.98,48.98,1274.0
2021-02-12,48.1,48.1,48.1,48.1,941.0
2021-02-13,48.1,48.1,48.1,48.1,941.0
2021-02-14,48.1,48.1,48.1,48.1,941.0
2021-02-15,48.1,48.1,48.1,48.1,941.0
2021-02-16,50.0,50.0,50.0,50.0,794.0
2021-02-17,49.61,49.61,49.6,49.6,1155.0
2021-02-18,50.0,53.29,49.95,53.26,3505.0
2021-02-19,52.7,52.7,52.7,52.7,797.0
2021-02-20,52.7,52.7,52.7,52.7,797.0
2021-02-21,52.7,52.7,52.7,52.7,797.0
2021-02-22,51.88,58.19,51.88,58.19,2483.0
2021-02-23,55.25,55.25,52.8,55.121,1832.0
2021-02-24,55.1647,55.1647,53.4794,53.77,1415.0
2021-02-25,57.17,57.17,56.36,56.38,1561.0
2021-02-26,57.17,57.17,56.36,56.38,896.0
2021-02-27,57.17,57.17,56.36,56.38,896.0
2021-02-28,57.17,57.17,56.36,56.38,896.0
2021-03-01,56.2181,58.27,56.2181,58.27,1145.0
2021-03-02,60.0,60.0,58.5001,58.5001,950.0
2021-03-03,60.1576,62.5,60.1576,62.5,1384.0
2021-03-04,61.05,70.0,61.05,70.0,5133.0
2021-03-05,67.25,69.385,65.7498,68.07,4287.0
2021-03-06,67.25,69.385,65.7498,68.07,4287.0
2021-03-07,67.25,69.385,65.7498,68.07,4287.0
2021-03-08,68.72,71.22,68.375,68.77,1666.0
2021-03-09,73.32,73.32,63.0501,69.99,3822.0
2021-03-10,67.45,72.19,64.5501,67.21,4621.0
2021-03-11,68.42,68.45,68.42,68.45,743.0
2021-03-12,70.18,76.18,70.18,74.9,4784.0
2021-03-13,70.18,76.18,70.18,74.9,4784.0
2021-03-14,70.18,76.18,70.18,74.9,4784.0
2021-03-15,74.93,78.99,72.32,78.99,1492.0
2021-03-16,75.54,84.0,75.54,80.94,2461.0
2021-03-17,75.54,84.0,75.54,80.94,673.0
2021-03-18,79.9146,79.9146,79.9146,79.9146,925.0
2021-03-19,82.0,83.6999,82.0,83.6999,2612.0
2021-03-20,82.0,83.6999,82.0,83.6999,2612.0
2021-03-21,82.0,83.6999,82.0,83.6999,2612.0
2021-03-22,88.99,88.99,82.1967,88.9,3580.0
2021-03-23,87.0,87.0,71.97,82.47,7985.0
2021-03-24,76.0,79.55,63.0,65.5,4693.0
2021-03-25,65.01,65.01,60.5,61.21,3517.0
2021-03-26,60.8,60.8,48.39,51.68,7282.0
2021-03-27,60.8,60.8,48.39,51.68,7282.0
2021-03-28,60.8,60.8,48.39,51.68,7282.0
2021-03-29,53.89,57.99,50.04,54.3,15887.0
2021-03-30,55.13,79.98,55.13,70.01,73081.0
2021-03-31,75.5,150.72,75.4,128.0,1324372.0
2021-04-01,123.0,142.0,102.0,111.17,349727.0
2021-04-02,123.0,142.0,102.0,111.17,349727.0
2021-04-03,123.0,142.0,102.0,111.17,349727.0
2021-04-04,123.0,142.0,102.0,111.17,349727.0
2021-04-05,111.3,111.4361,94.0,97.22,83970.0
2021-04-06,95.0,95.9047,86.0901,91.95,48242.0
2021-04-07,92.6,93.05,83.85,85.5,35438.0
2021-04-08,84.91,85.93,82.0001,82.11,16589.0
2021-04-09,83.92,84.12,76.66,77.0,18359.0
2021-04-10,83.92,84.12,76.66,77.0,18359.0
2021-04-11,83.92,84.12,76.66,77.0,18359.0
2021-04-12,76.0,76.0,70.4,72.535,20451.0
2021-04-13,72.26,77.2261,72.03,75.0,20452.0
2021-04-14,90.05,122.0,89.835,97.63,588156.0
2021-04-15,103.68,106.5,85.47,89.22,93653.0
2021-04-16,85.0,87.59,79.01,83.65,53255.0
2021-04-17,85.0,87.59,79.01,83.65,53255.0
2021-04-18,85.0,87.59,79.01,83.65,53255.0
2021-04-19,83.57,86.81,80.97,83.85,11796.0
2021-04-20,82.24,83.86,82.09,82.7,7237.0
2021-04-21,86.75,86.75,82.21,83.68,21716.0
2021-04-22,84.0,84.0,80.0001,80.83,10827.0
2021-04-23,80.98,83.5,80.8301,83.35,3819.0
2021-04-24,80.98,83.5,80.8301,83.35,3819.0
2021-04-25,80.98,83.5,80.8301,83.35,3819.0
2021-04-26,83.38,84.0,81.71,82.47,9707.0
2021-04-27,83.0,84.0,82.0,83.73,13067.0
2021-04-28,82.0,82.67,80.443,81.0,6695.0
2021-04-29,80.37,83.58,80.37,80.55,4115.0
2021-04-30,78.95,81.0381,78.95,80.8,3090.0
2021-05-01,78.95,81.0381,78.95,80.8,3090.0
2021-05-02,78.95,81.0381,78.95,80.8,3090.0
2021-05-03,79.2293,80.7726,77.03,77.51,5899.0
2021-05-04,77.0,78.5,75.01,75.11,8420.0
2021-05-05,78.975,82.74,75.3277,78.97,5227.0
2021-05-06,76.23,77.88,75.21,77.88,2512.0
2021-05-07,75.2,77.99,73.22,76.28,5575.0
2021-05-08,75.2,77.99,73.22,76.28,5575.0
2021-05-09,75.2,77.99,73.22,76.28,5575.0
2021-05-10,74.36,76.035,72.72,74.285,2513.0
2021-05-11,71.92,75.53,71.92,72.36,2154.0
2021-05-12,71.7,72.5,71.7,72.5,1116.0
2021-05-13,71.32,74.34,71.25,71.25,3798.0
2021-05-14,70.44,70.44,70.44,70.44,838.0
2021-05-15,70.44,70.44,70.44,70.44,838.0
2021-05-16,70.44,70.44,70.44,70.44,838.0
2021-05-17,82.05,94.99,75.0,80.18,43772.0
2021-05-18,85.6,85.6,75.7029,78.0,16964.0
2021-05-19,75.66,77.98,67.24,77.98,25196.0
2021-05-20,70.18,73.91,69.57,69.7,12028.0
2021-05-21,69.62,71.55,68.09,70.89,7940.0
2021-05-22,69.62,71.55,68.09,70.89,7940.0
2021-05-23,69.62,71.55,68.09,70.89,7940.0
2021-05-24,69.46,70.0,68.0,70.0,6380.0
2021-05-25,69.62,70.525,68.4006,69.69,5705.0
2021-05-26,70.0,70.0,68.1,69.98,3146.0
2021-05-27,70.0,70.0,68.08,68.08,3642.0
2021-05-28,69.8628,69.9,68.01,69.9,4825.0
2021-05-29,69.8628,69.9,68.01,69.9,4825.0
2021-05-30,69.8628,69.9,68.01,69.9,4825.0
2021-05-31,69.8628,69.9,68.01,69.9,4825.0
2021-06-01,67.74,68.88,67.74,68.88,1395.0
2021-06-02,68.31,70.21,68.31,69.66,3471.0
2021-06-03,69.2,70.22,68.9597,69.05,1861.0
2021-06-04,70.0,70.0,69.05,69.05,1651.0
2021-06-05,70.0,70.0,69.05,69.05,1651.0
2021-06-06,70.0,70.0,69.05,69.05,1651.0
2021-06-07,68.6,70.674,68.6,69.2,2273.0
2021-06-08,70.4999,70.4999,70.4999,70.4999,1613.0
2021-06-09,69.3938,69.3938,68.95,69.39,1870.0
2021-06-10,68.7953,69.2,68.7953,69.0064,1053.0
2021-06-11,68.4001,70.25,68.4001,70.25,2012.0
2021-06-12,68.4001,70.25,68.4001,70.25,2012.0
2021-06-13,68.4001,70.25,68.4001,70.25,2012.0
2021-06-14,70.3403,70.3403,68.5283,68.61,2241.0
2021-06-15,68.61,68.61,68.61,68.61,737.0
2021-06-16,68.82,69.382,68.11,68.11,1936.0
2021-06-17,68.0,68.0,68.0,68.0,796.0
2021-06-18,67.9,67.9,67.9,67.9,894.0
2021-06-19,67.9,67.9,67.9,67.9,894.0
2021-06-20,67.9,67.9,67.9,67.9,894.0
2021-06-21,67.7,67.7,66.75,66.75,1058.0
2021-06-22,67.0401,67.5,67.0401,67.5,1045.0
2021-06-23,65.5074,69.34,65.5074,69.34,2475.0
2021-06-24,69.35,69.35,64.9,64.9,4283.0
2021-06-25,66.36,66.36,66.0,66.0,1548.0
2021-06-26,66.36,66.36,66.0,66.0,1548.0
2021-06-27,66.36,66.36,66.0,66.0,1548.0
2021-06-28,65.433,66.0,62.5,66.0,4522.0
2021-06-29,64.1916,65.7048,63.8532,64.3,4725.0
2021-06-30,61.5,63.8787,61.5,63.83,2662.0
2021-07-01,63.54,63.54,62.0945,62.0945,1946.0
2021-07-02,62.9999,63.97,61.1337,63.97,2040.0
2021-07-03,62.9999,63.97,61.1337,63.97,2040.0
2021-07-04,62.9999,63.97,61.1337,63.97,2040.0
2021-07-05,62.9999,63.97,61.1337,63.97,2040.0
2021-07-06,62.15,62.69,60.5,62.69,4460.0
2021-07-07,60.1001,60.28,57.3969,57.81,11039.0
2021-07-08,57.0,58.6499,57.0,58.6499,1030.0
2021-07-09,58.69,58.7,58.5,58.5,2248.0
2021-07-10,58.69,58.7,58.5,58.5,2248.0
2021-07-11,58.69,58.7,58.5,58.5,2248.0
2021-07-12,57.0,58.5,57.0,58.5,966.0
2021-07-13,57.44,60.0,57.44,57.459,960.0
2021-07-14,57.874,57.874,57.85,57.85,1192.0
2021-07-15,57.874,57.874,57.85,57.85,417.0
2021-07-16,57.15,57.15,57.15,57.15,506.0
2021-07-17,57.15,57.15,57.15,57.15,506.0
2021-07-18,57.15,57.15,57.15,57.15,506.0
2021-07-19,56.6,56.6,52.93,54.55,3036.0
2021-07-20,56.6,56.6,52.93,54.55,407.0
2021-07-21,55.875,56.63,54.75,54.75,1648.0
2021-07-22,55.875,56.63,54.75,54.75,389.0
2021-07-23,54.5612,54.5612,54.55,54.55,1690.0
2021-07-24,54.5612,54.5612,54.55,54.55,1690.0
2021-07-25,54.5612,54.5612,54.55,54.55,1690.0
2021-07-26,53.69,53.69,53.69,53.69,567.0
2021-07-27,52.01,52.01,52.0,52.0,567.0
2021-07-28,54.0,54.0,54.0,54.0,695.0
2021-07-29,52.01,52.01,52.01,52.01,687.0
2021-07-30,52.0,52.0,52.0,52.0,911.0
2021-07-31,52.0,52.0,52.0,52.0,911.0
2021-08-01,52.0,52.0,52.0,52.0,911.0
2021-08-02,52.05,52.05,50.0,50.0,2959.0
2021-08-03,47.05,48.97,47.05,48.97,960.0
2021-08-04,49.15,49.15,43.01,43.01,2556.0
2021-08-05,43.0,48.34,43.0,48.34,1327.0
2021-08-06,43.9,44.18,43.86,43.86,6410.0
2021-08-07,43.9,44.18,43.86,43.86,6410.0
2021-08-08,43.9,44.18,43.86,43.86,6410.0
2021-08-09,44.52,45.4999,43.2,44.9,2496.0
2021-08-10,44.2894,44.29,44.2894,44.29,950.0
2021-08-11,45.0,46.72,42.82,42.82,2153.0
2021-08-12,43.16,46.21,42.62,42.62,3052.0
2021-08-13,42.0,42.0,42.0,42.0,539.0
2021-08-14,42.0,42.0,42.0,42.0,539.0
2021-08-15,42.0,42.0,42.0,42.0,539.0
2021-08-16,45.5,45.5,42.43,43.91,6382.0
2021-08-17,43.74,43.74,43.74,43.74,906.0
2021-08-18,41.5,41.5,41.5,41.5,1002.0
2021-08-19,40.0,40.0,37.4024,39.45,5698.0
2021-08-20,39.5,39.5,38.1716,38.1716,1075.0
2021-08-21,39.5,39.5,38.1716,38.1716,1075.0
2021-08-22,39.5,39.5,38.1716,38.1716,1075.0
2021-08-23,38.51,39.7981,38.51,39.34,1308.0
2021-08-24,39.72,40.73,39.12,40.73,2404.0
2021-08-25,41.57,44.39,41.44,44.39,5432.0
2021-08-26,40.5168,48.2874,40.5168,43.13,9423.0
2021-08-27,43.7,45.7162,43.05,43.07,1409.0
2021-08-28,43.7,45.7162,43.05,43.07,1409.0
2021-08-29,43.7,45.7162,43.05,43.07,1409.0
2021-08-30,44.4569,56.9699,44.4569,50.83,45188.0
2021-08-31,52.98,52.98,50.0,50.02,6202.0
2021-09-01,50.0334,50.0334,49.5,49.5095,1974.0
2021-09-02,47.3469,49.98,46.6402,48.5,2095.0
2021-09-03,49.54,49.54,49.54,49.54,550.0
2021-09-04,49.54,49.54,49.54,49.54,550.0
2021-09-05,49.54,49.54,49.54,49.54,550.0
2021-09-06,49.54,49.54,49.54,49.54,550.0
2021-09-07,48.79,49.0,48.75,49.0,1786.0
2021-09-08,48.37,48.54,46.31,46.31,7565.0
2021-09-09,46.87,47.72,45.54,46.4,4119.0
2021-09-10,42.12,48.46,42.12,44.85,10446.0
2021-09-11,42.12,48.46,42.12,44.85,10446.0
2021-09-12,42.12,48.46,42.12,44.85,10446.0
2021-09-13,44.0035,49.2,44.0,46.45,14219.0
2021-09-14,43.2,46.93,43.2,44.84,7950.0
2021-09-15,43.469,43.8,43.469,43.8,689.0
2021-09-16,42.6,45.5,42.6,44.73,2134.0
2021-09-17,44.83,47.91,44.62,46.4,1997.0
2021-09-18,44.83,47.91,44.62,46.4,1997.0
2021-09-19,44.83,47.91,44.62,46.4,1997.0
2021-09-20,46.8,67.5,43.31,67.5,25637.0
2021-09-21,68.0,68.0,47.86,47.87,41568.0
2021-09-22,52.34,69.0,52.34,60.01,148759.0
