,CHX US Equity,CHX US Equity,CHX US Equity,CHX US Equity,CHX US Equity
2020-02-18,24.6049,25.5396,24.2544,25.2378,809407.0
2020-02-19,25.5494,25.5591,24.4394,24.6244,1468118.0
2020-02-20,24.7704,25.7538,24.7363,25.0917,611755.0
2020-02-21,24.712,24.7753,24.011,24.1181,691279.0
2020-02-22,24.712,24.7753,24.011,24.1181,691279.0
2020-02-23,24.712,24.7753,24.011,24.1181,691279.0
2020-02-24,22.9594,23.3975,21.8786,22.4823,922654.0
2020-02-25,22.1123,22.3946,20.7783,21.2847,1069350.0
2020-02-26,21.2652,21.4307,19.8631,20.1357,792262.0
2020-02-27,19.2594,19.2594,17.9255,18.0033,1191482.0
2020-02-28,17.2828,18.5194,17.2439,18.1105,1320715.0
2020-02-29,17.2828,18.5194,17.2439,18.1105,1320715.0
2020-03-01,17.2828,18.5194,17.2439,18.1105,1320715.0
2020-03-02,18.4415,19.1912,17.682,19.1718,961545.0
2020-03-03,19.0841,19.2983,17.3412,17.8086,760457.0
2020-03-04,18.1202,18.1202,16.6694,17.1562,653868.0
2020-03-05,16.757,16.8934,16.2118,16.7668,802115.0
2020-03-06,16.1436,16.6305,14.7805,15.0726,1004850.0
2020-03-07,16.1436,16.6305,14.7805,15.0726,1004850.0
2020-03-08,16.1436,16.6305,14.7805,15.0726,1004850.0
2020-03-09,9.7368,10.1847,8.4029,8.4126,2905972.0
2020-03-10,9.25,9.25,7.361,7.8868,2539323.0
2020-03-11,7.4487,8.3639,7.2539,7.916,3216858.0
2020-03-12,7.2539,7.2539,6.3387,6.475,2169663.0
2020-03-13,6.9521,6.9521,5.4623,6.4847,1789548.0
2020-03-14,6.9521,6.9521,5.4623,6.4847,1789548.0
2020-03-15,6.9521,6.9521,5.4623,6.4847,1789548.0
2020-03-16,5.92,6.4555,4.1576,4.3524,2630154.0
2020-03-17,4.3718,4.4108,3.3981,3.5734,3423542.0
2020-03-18,3.4079,3.5929,3.2424,3.3105,2164227.0
2020-03-19,3.2813,3.4079,2.8821,3.3592,5813872.0
2020-03-20,3.4663,4.2063,3.2813,3.5247,4020079.0
2020-03-21,3.4663,4.2063,3.2813,3.5247,4020079.0
2020-03-22,3.4663,4.2063,3.2813,3.5247,4020079.0
2020-03-23,3.5052,3.515,2.8139,2.9405,2112767.0
2020-03-24,3.0476,4.255,3.0184,4.0797,2981737.0
2020-03-25,4.4887,5.8908,4.0992,5.5208,4153858.0
2020-03-26,5.5597,6.6697,5.5208,6.1244,2308380.0
2020-03-27,5.8616,6.0271,5.1118,5.7447,2462977.0
2020-03-28,5.8616,6.0271,5.1118,5.7447,2462977.0
2020-03-29,5.8616,6.0271,5.1118,5.7447,2462977.0
2020-03-30,5.9395,5.9395,5.2189,5.6084,1388839.0
2020-03-31,5.6863,6.2169,5.3455,5.5987,2527044.0
2020-04-01,5.3066,6.2023,5.1118,5.9395,2205693.0
2020-04-02,6.1926,7.03,5.9395,6.8547,2527614.0
2020-04-03,7.2734,7.4097,6.0563,6.3387,1643692.0
2020-04-04,7.2734,7.4097,6.0563,6.3387,1643692.0
2020-04-05,7.2734,7.4097,6.0563,6.3387,1643692.0
2020-04-06,6.4458,6.9229,6.0952,6.845,1316309.0
2020-04-07,7.0981,7.7408,6.7427,7.0397,2146936.0
2020-04-08,7.5168,8.4321,7.1858,8.4321,1294662.0
2020-04-09,8.7339,9.8536,8.2763,9.0552,2236656.0
2020-04-10,8.7339,9.8536,8.2763,9.0552,2236656.0
2020-04-11,8.7339,9.8536,8.2763,9.0552,2236656.0
2020-04-12,8.7339,9.8536,8.2763,9.0552,2236656.0
2020-04-13,9.3571,9.5713,8.5781,9.1136,1501290.0
2020-04-14,9.1234,9.3376,8.1984,8.3542,1405479.0
2020-04-15,7.8576,7.916,6.6113,7.4487,1479800.0
2020-04-16,7.4584,7.4584,5.8421,5.9102,1914044.0
2020-04-17,6.1829,7.2637,6.1537,7.2637,2141100.0
2020-04-18,6.1829,7.2637,6.1537,7.2637,2141100.0
2020-04-19,6.1829,7.2637,6.1537,7.2637,2141100.0
2020-04-20,6.5334,8.1254,6.2223,7.1176,2330092.0
2020-04-21,7.0592,7.4681,6.6113,6.6989,1632426.0
2020-04-22,7.0397,7.4779,6.6891,6.7476,1822277.0
2020-04-23,6.9521,8.5002,6.8937,8.3834,2975253.0
2020-04-24,8.7047,9.0942,7.5752,8.1302,2989583.0
2020-04-25,8.7047,9.0942,7.5752,8.1302,2989583.0
2020-04-26,8.7047,9.0942,7.5752,8.1302,2989583.0
2020-04-27,7.8187,8.7631,7.478,8.3931,1663105.0
2020-04-28,9.1234,11.0901,8.8118,10.6131,4139041.0
2020-04-29,11.6842,11.9373,9.6492,10.3989,3607122.0
2020-04-30,10.2139,10.2431,8.841,8.9676,4720503.0
2020-05-01,8.6852,8.7534,8.0329,8.6658,2961812.0
2020-05-02,8.6852,8.7534,8.0329,8.6658,2961812.0
2020-05-03,8.6852,8.7534,8.0329,8.6658,2961812.0
2020-05-04,8.14,8.8508,8.14,8.8215,2706109.0
2020-05-05,9.0747,9.5129,8.8313,8.9092,3588968.0
2020-05-06,8.9286,9.0747,8.1789,8.3737,2392554.0
2020-05-07,8.6365,8.9286,8.471,8.6755,2400383.0
2020-05-08,8.9384,9.6686,8.695,9.5908,3666747.0
2020-05-09,8.9384,9.6686,8.695,9.5908,3666747.0
2020-05-10,8.9384,9.6686,8.695,9.5908,3666747.0
2020-05-11,8.9481,9.3181,8.8605,9.1136,2279931.0
2020-05-12,9.2792,9.3765,8.7193,8.9286,1914196.0
2020-05-13,8.7436,8.7729,8.14,8.2471,2486657.0
2020-05-14,7.8771,8.471,7.5558,8.4223,2145785.0
2020-05-15,8.2276,8.5976,8.0037,8.2276,1601005.0
2020-05-16,8.2276,8.5976,8.0037,8.2276,1601005.0
2020-05-17,8.2276,8.5976,8.0037,8.2276,1601005.0
2020-05-18,8.7729,9.0552,8.5002,8.7729,2499918.0
2020-05-19,8.8994,8.9481,8.3444,8.4126,2571096.0
2020-05-20,8.695,8.841,8.6073,8.7534,5124887.0
2020-05-21,8.6755,8.7729,8.4126,8.5684,2866051.0
2020-05-22,8.5294,8.5294,8.2179,8.4223,1698549.0
2020-05-23,8.5294,8.5294,8.2179,8.4223,1698549.0
2020-05-24,8.5294,8.5294,8.2179,8.4223,1698549.0
2020-05-25,8.5294,8.5294,8.2179,8.4223,1698549.0
2020-05-26,8.7534,8.8118,8.4808,8.5879,3714663.0
2020-05-27,8.6658,8.7534,8.1108,8.5392,7217365.0
2020-05-28,8.5002,8.7388,8.2861,8.6755,5948350.0
2020-05-29,8.6658,8.8994,8.471,8.8313,15384334.0
2020-05-30,8.6658,8.8994,8.471,8.8313,15384334.0
2020-05-31,8.6658,8.8994,8.471,8.8313,15384334.0
2020-06-01,9.211,9.211,8.6658,8.9092,24202040.0
2020-06-02,8.8994,9.8926,8.88,9.8244,25110047.0
2020-06-03,9.396,10.1068,9.1818,10.0679,37297719.0
2020-06-04,10.4184,10.7592,10.0605,10.6715,34339865.0
2020-06-05,10.8273,12.4144,10.8273,11.7815,16229025.0
2020-06-06,10.8273,12.4144,10.8273,11.7815,16229025.0
2020-06-07,10.8273,12.4144,10.8273,11.7815,16229025.0
2020-06-08,11.9665,13.5828,11.6452,13.3881,23326162.0
2020-06-09,12.8039,13.0668,12.0834,12.4631,10094534.0
2020-06-10,12.3755,12.3755,11.3044,11.4213,10179004.0
2020-06-11,10.3015,10.9831,10.0971,10.1847,5581132.0
2020-06-12,10.6813,10.7689,9.7465,10.1457,4987122.0
2020-06-13,10.6813,10.7689,9.7465,10.1457,4987122.0
2020-06-14,10.6813,10.7689,9.7465,10.1457,4987122.0
2020-06-15,9.9997,10.2772,9.4836,10.0192,5246199.0
2020-06-16,10.7494,11.0318,9.9315,10.0776,3463371.0
2020-06-17,10.0873,10.1409,9.7271,9.7855,2668449.0
2020-06-18,9.6686,9.9169,9.3181,9.5031,3253001.0
2020-06-19,9.7271,9.9705,9.4058,9.5226,5094616.0
2020-06-20,9.7271,9.9705,9.4058,9.5226,5094616.0
2020-06-21,9.7271,9.9705,9.4058,9.5226,5094616.0
2020-06-22,9.5615,9.9608,9.3376,9.8536,3612208.0
2020-06-23,10.0484,10.3015,9.9218,10.0679,2643253.0
2020-06-24,9.7563,9.951,9.0552,9.25,3484627.0
2020-06-25,9.2402,9.7952,9.2013,9.62,3235147.0
2020-06-26,9.5908,9.5908,8.8897,9.1039,22819966.0
2020-06-27,9.5908,9.5908,8.8897,9.1039,22819966.0
2020-06-28,9.5908,9.5908,8.8897,9.1039,22819966.0
2020-06-29,9.2986,9.581,9.065,9.396,3063455.0
2020-06-30,9.1818,9.6492,9.026,9.5031,2500527.0
2020-07-01,9.4836,9.805,9.1429,9.1623,2704199.0
2020-07-02,9.5031,9.6979,9.2404,9.435,2221091.0
2020-07-03,9.5031,9.6979,9.2404,9.435,2221091.0
2020-07-04,9.5031,9.6979,9.2404,9.435,2221091.0
2020-07-05,9.5031,9.6979,9.2404,9.435,2221091.0
2020-07-06,9.6297,9.9315,9.065,9.4544,5364478.0
2020-07-07,9.3181,9.5518,8.9676,9.1915,2339855.0
2020-07-08,9.1234,9.396,8.841,9.1429,2119368.0
2020-07-09,9.065,9.0844,8.3055,8.3347,3161632.0
2020-07-10,8.3152,8.7826,8.0718,8.7144,2081987.0
2020-07-11,8.3152,8.7826,8.0718,8.7144,2081987.0
2020-07-12,8.3152,8.7826,8.0718,8.7144,2081987.0
2020-07-13,8.8508,8.8508,8.1302,8.2665,3472748.0
2020-07-14,8.1887,8.6365,8.0621,8.6171,1910767.0
2020-07-15,8.8994,9.2986,8.8021,9.2208,2132665.0
2020-07-16,9.2889,9.2889,8.8215,8.8897,1773213.0
2020-07-17,8.9189,9.0844,8.583,8.6171,1534667.0
2020-07-18,8.9189,9.0844,8.583,8.6171,1534667.0
2020-07-19,8.9189,9.0844,8.583,8.6171,1534667.0
2020-07-20,8.471,8.8605,8.2519,8.5684,2091176.0
2020-07-21,8.7144,9.5615,8.6171,9.3279,3212530.0
2020-07-22,9.2305,9.25,8.9043,9.0163,1382271.0
2020-07-23,8.8215,9.4155,8.7631,9.396,1577969.0
2020-07-24,9.2597,9.4447,9.1039,9.4252,2537534.0
2020-07-25,9.2597,9.4447,9.1039,9.4252,2537534.0
2020-07-26,9.2597,9.4447,9.1039,9.4252,2537534.0
2020-07-27,9.3571,9.5226,9.1526,9.4836,1005873.0
2020-07-28,9.3084,9.5226,9.0747,9.2597,2190925.0
2020-07-29,9.2402,9.8147,9.2208,9.6784,4128147.0
2020-07-30,9.3863,9.7758,9.1526,9.5226,2509221.0
2020-07-31,9.2986,9.5421,9.211,9.2597,1973920.0
2020-08-01,9.2986,9.5421,9.211,9.2597,1973920.0
2020-08-02,9.2986,9.5421,9.211,9.2597,1973920.0
2020-08-03,9.2694,9.7173,8.9773,9.4836,1628124.0
2020-08-04,9.396,9.8683,9.2889,9.7465,2192786.0
2020-08-05,10.0581,10.3015,9.8147,10.0776,2210536.0
2020-08-06,10.3015,10.691,9.8731,10.0873,4275135.0
2020-08-07,10.1652,10.3307,9.8439,10.321,2645842.0
2020-08-08,10.1652,10.3307,9.8439,10.321,2645842.0
2020-08-09,10.1652,10.3307,9.8439,10.321,2645842.0
2020-08-10,10.5255,11.1632,10.4184,10.9539,3816255.0
2020-08-11,11.3823,11.8302,10.7884,10.8955,3166806.0
2020-08-12,11.061,11.1779,10.618,10.8955,1925904.0
2020-08-13,10.876,10.9636,10.5157,10.8273,1488433.0
2020-08-14,10.6034,10.8857,10.4184,10.8079,1324161.0
2020-08-15,10.6034,10.8857,10.4184,10.8079,1324161.0
2020-08-16,10.6034,10.8857,10.4184,10.8079,1324161.0
2020-08-17,10.7786,10.8955,10.3307,10.4865,2138568.0
2020-08-18,10.4768,10.4768,10.0338,10.2431,1700110.0
2020-08-19,10.2431,10.3697,10.0776,10.136,1304419.0
2020-08-20,9.9802,10.0386,9.7173,9.7563,1512752.0
2020-08-21,9.5518,9.6686,9.2402,9.6005,2360497.0
2020-08-22,9.5518,9.6686,9.2402,9.6005,2360497.0
2020-08-23,9.5518,9.6686,9.2402,9.6005,2360497.0
2020-08-24,9.7465,10.248,9.5713,10.2334,2120633.0
2020-08-25,10.2821,10.4184,9.9559,10.2334,1478600.0
2020-08-26,10.2236,10.2236,9.7514,9.8342,1590319.0
2020-08-27,9.9121,10.1019,9.7076,10.0289,1537099.0
2020-08-28,10.1165,10.3405,9.9413,10.2918,1437613.0
2020-08-29,10.1165,10.3405,9.9413,10.2918,1437613.0
2020-08-30,10.1165,10.3405,9.9413,10.2918,1437613.0
2020-08-31,10.2334,10.3405,9.9062,9.9705,1823853.0
2020-09-01,9.805,10.0386,9.6175,10.0289,1262245.0
2020-09-02,9.9705,10.0873,9.7173,9.7368,1712301.0
2020-09-03,9.7758,10.0386,9.6784,9.7368,1148521.0
2020-09-04,9.9413,10.0094,9.5323,9.8439,1380784.0
2020-09-05,9.9413,10.0094,9.5323,9.8439,1380784.0
2020-09-06,9.9413,10.0094,9.5323,9.8439,1380784.0
2020-09-07,9.9413,10.0094,9.5323,9.8439,1380784.0
2020-09-08,9.8829,9.8829,9.2208,9.5421,1989257.0
2020-09-09,9.6394,9.6394,9.2013,9.3084,1832506.0
2020-09-10,9.2986,9.3764,8.5684,8.6073,2487944.0
2020-09-11,8.9092,8.914,8.4613,8.6171,1527551.0
2020-09-12,8.9092,8.914,8.4613,8.6171,1527551.0
2020-09-13,8.9092,8.914,8.4613,8.6171,1527551.0
2020-09-14,8.7144,8.8702,8.4808,8.7826,1166509.0
2020-09-15,8.8118,9.1039,8.7729,8.8897,864039.0
2020-09-16,9.0358,9.7758,8.9286,9.6102,1934570.0
2020-09-17,9.3571,9.5177,9.0943,9.3863,1300701.0
2020-09-18,9.4447,9.4627,8.841,8.9189,2926242.0
2020-09-19,9.4447,9.4627,8.841,8.9189,2926242.0
2020-09-20,9.4447,9.4627,8.841,8.9189,2926242.0
2020-09-21,8.6171,8.7144,8.0426,8.5879,2969153.0
2020-09-22,8.656,8.88,8.5684,8.6073,2151090.0
2020-09-23,8.5684,8.7242,7.9842,7.9939,1777301.0
2020-09-24,7.9355,8.2179,7.5022,7.9744,2081332.0
2020-09-25,7.916,7.9355,7.6434,7.8673,1627220.0
2020-09-26,7.916,7.9355,7.6434,7.8673,1627220.0
2020-09-27,7.916,7.9355,7.6434,7.8673,1627220.0
2020-09-28,8.0523,8.3405,7.9793,8.0426,1749538.0
2020-09-29,7.9355,8.0133,7.4048,7.7602,2267462.0
2020-09-30,7.7992,8.1692,7.7018,7.7797,1949132.0
2020-10-01,7.6239,7.8089,7.5217,7.7408,2692092.0
2020-10-02,7.5265,8.14,7.3708,8.0231,1735477.0
2020-10-03,7.5265,8.14,7.3708,8.0231,1735477.0
2020-10-04,7.5265,8.14,7.3708,8.0231,1735477.0
2020-10-05,8.2276,8.4418,8.0329,8.325,1394784.0
2020-10-06,8.5587,8.5976,7.8868,8.0231,2891264.0
2020-10-07,7.9939,8.0913,7.6142,7.7894,1883750.0
2020-10-08,7.9647,8.4223,7.7894,8.3834,3407970.0
2020-10-09,8.51,8.6171,8.1497,8.4029,1172568.0
2020-10-10,8.51,8.6171,8.1497,8.4029,1172568.0
2020-10-11,8.51,8.6171,8.1497,8.4029,1172568.0
2020-10-12,8.3055,8.4321,8.1497,8.325,1311919.0
2020-10-13,8.1594,8.3834,7.9939,8.0913,2359938.0
2020-10-14,8.1108,8.4126,8.0718,8.101,1259518.0
2020-10-15,7.8771,8.286,7.7505,8.2276,1090316.0
2020-10-16,7.8965,8.1351,7.6823,7.7408,1381336.0
2020-10-17,7.8965,8.1351,7.6823,7.7408,1381336.0
2020-10-18,7.8965,8.1351,7.6823,7.7408,1381336.0
2020-10-19,7.7992,8.0426,7.6775,7.7115,1421121.0
2020-10-20,7.8479,8.1789,7.585,8.0426,1790868.0
2020-10-21,7.9452,8.1789,7.7505,7.9744,1204287.0
2020-10-22,8.0426,8.2665,7.8381,8.2373,1226692.0
2020-10-23,8.3444,8.5197,8.2276,8.286,1278083.0
2020-10-24,8.3444,8.5197,8.2276,8.286,1278083.0
2020-10-25,8.3444,8.5197,8.2276,8.286,1278083.0
2020-10-26,8.1108,8.1838,7.546,7.6142,1632454.0
2020-10-27,7.5558,7.6598,7.2588,7.3805,1476330.0
2020-10-28,7.0592,7.103,6.6892,6.9618,1741709.0
2020-10-29,7.0397,7.8819,6.7281,7.7894,2808017.0
2020-10-30,7.916,8.5392,7.848,8.5002,2467050.0
2020-10-31,7.916,8.5392,7.848,8.5002,2467050.0
2020-11-01,7.916,8.5392,7.848,8.5002,2467050.0
2020-11-02,8.6171,9.065,8.4418,9.065,2754242.0
2020-11-03,9.3376,9.435,8.7729,8.9286,2040045.0
2020-11-04,8.7144,8.9481,8.3347,8.695,1637094.0
2020-11-05,8.7047,8.9579,8.5781,8.6852,2120916.0
2020-11-06,8.695,8.7631,8.0621,8.1497,1566050.0
2020-11-07,8.695,8.7631,8.0621,8.1497,1566050.0
2020-11-08,8.695,8.7631,8.0621,8.1497,1566050.0
2020-11-09,9.3376,10.6034,9.3376,10.1555,4151990.0
2020-11-10,10.4281,10.4768,10.0484,10.1457,2001424.0
2020-11-11,10.2626,10.3307,9.6603,9.951,1406709.0
2020-11-12,9.62,9.9608,9.581,9.8634,1215164.0
2020-11-13,9.9997,10.2236,9.8829,10.1165,1225201.0
2020-11-14,9.9997,10.2236,9.8829,10.1165,1225201.0
2020-11-15,9.9997,10.2236,9.8829,10.1165,1225201.0
2020-11-16,10.7981,11.2752,10.5742,11.1973,1707547.0
2020-11-17,10.8565,11.8107,10.7106,11.7913,1812470.0
2020-11-18,12.0055,12.1515,11.3142,11.3239,2001531.0
2020-11-19,11.1584,11.5868,10.9929,11.5186,1339799.0
2020-11-20,11.4115,11.6306,11.3482,11.4797,1131833.0
2020-11-21,11.4115,11.6306,11.3482,11.4797,1131833.0
2020-11-22,11.4115,11.6306,11.3482,11.4797,1131833.0
2020-11-23,11.7913,12.7455,11.7085,12.6676,1206965.0
2020-11-24,13.1252,13.8847,13.0181,13.281,3398825.0
2020-11-25,13.0084,13.1349,12.5897,12.7844,1682448.0
2020-11-26,13.0084,13.1349,12.5897,12.7844,1682448.0
2020-11-27,12.6773,12.8721,12.3171,12.4826,457686.0
2020-11-28,12.6773,12.8721,12.3171,12.4826,457686.0
2020-11-29,12.6773,12.8721,12.3171,12.4826,457686.0
2020-11-30,12.1807,12.4144,11.5381,11.5673,1643799.0
2020-12-01,11.9957,12.5118,11.9811,12.2781,1625720.0
2020-12-02,12.1028,13.1155,12.1028,12.5702,1170293.0
2020-12-03,12.5994,12.9597,12.3852,12.7357,1044683.0
2020-12-04,13.1447,13.9918,13.0181,13.8944,1825336.0
2020-12-05,13.1447,13.9918,13.0181,13.8944,1825336.0
2020-12-06,13.1447,13.9918,13.0181,13.8944,1825336.0
2020-12-07,13.6899,13.7678,12.9597,13.0863,1654508.0
2020-12-08,12.8039,13.5244,12.8039,13.4368,1728627.0
2020-12-09,13.6121,13.6705,12.8136,13.1155,2018631.0
2020-12-10,12.8721,13.9236,12.8623,13.5828,3096293.0
2020-12-11,13.3686,13.5049,12.9986,13.4952,1776272.0
2020-12-12,13.3686,13.5049,12.9986,13.4952,1776272.0
2020-12-13,13.3686,13.5049,12.9986,13.4952,1776272.0
2020-12-14,13.7192,13.9236,13.4368,13.6413,3164828.0
2020-12-15,13.7484,14.3812,13.6315,14.167,2595909.0
2020-12-16,14.1865,14.4397,13.7484,14.3618,3340801.0
2020-12-17,14.5078,14.537,14.1086,14.2352,2057239.0
2020-12-18,14.3131,14.6734,13.6218,13.6997,4114895.0
2020-12-19,14.3131,14.6734,13.6218,13.6997,4114895.0
2020-12-20,14.3131,14.6734,13.6218,13.6997,4114895.0
2020-12-21,12.9694,13.7776,12.8818,13.4173,1758442.0
2020-12-22,13.7094,14.1865,13.4757,13.5439,1442352.0
2020-12-23,13.6802,14.761,13.6802,14.6831,2909026.0
2020-12-24,14.8389,14.9726,14.2449,14.5273,784825.0
2020-12-25,14.8389,14.9726,14.2449,14.5273,784825.0
2020-12-26,14.8389,14.9726,14.2449,14.5273,784825.0
2020-12-27,14.8389,14.9726,14.2449,14.5273,784825.0
2020-12-28,14.5955,14.7026,14.1768,14.2449,1346664.0
2020-12-29,14.3423,14.4397,14.021,14.3618,1285959.0
2020-12-30,14.3034,14.8973,14.3034,14.6831,1600961.0
2020-12-31,14.5955,15.0434,14.4105,14.8973,1256346.0
2021-01-01,14.5955,15.0434,14.4105,14.8973,1256346.0
2021-01-02,14.5955,15.0434,14.4105,14.8973,1256346.0
2021-01-03,14.5955,15.0434,14.4105,14.8973,1256346.0
2021-01-04,15.1115,15.7639,14.9363,15.277,2103794.0
2021-01-05,15.5691,16.7619,15.5399,16.3578,2196297.0
2021-01-06,16.611,17.7015,16.3676,17.166,2837446.0
2021-01-07,17.3997,18.0131,17.3315,17.6236,1706237.0
2021-01-08,18.0618,18.3928,17.0686,17.3218,1621203.0
2021-01-09,18.0618,18.3928,17.0686,17.3218,1621203.0
2021-01-10,18.0618,18.3928,17.0686,17.3218,1621203.0
2021-01-11,16.8057,17.721,16.796,17.682,1545350.0
2021-01-12,17.8378,18.6265,17.7405,17.8962,1545577.0
2021-01-13,17.682,17.9352,17.2536,17.5068,1081249.0
2021-01-14,17.721,18.2565,17.4873,18.0131,1188933.0
2021-01-15,17.4776,17.7307,16.8641,17.2244,1149623.0
2021-01-16,17.4776,17.7307,16.8641,17.2244,1149623.0
2021-01-17,17.4776,17.7307,16.8641,17.2244,1149623.0
2021-01-18,17.4776,17.7307,16.8641,17.2244,1149623.0
2021-01-19,17.536,17.5457,17.0102,17.2439,1152496.0
2021-01-20,17.1562,17.5749,16.5818,16.8447,1175253.0
2021-01-21,16.8155,16.8934,16.0657,16.1095,2387981.0
2021-01-22,15.7541,16.757,15.2576,16.7278,1333564.0
2021-01-23,15.7541,16.757,15.2576,16.7278,1333564.0
2021-01-24,15.7541,16.757,15.2576,16.7278,1333564.0
2021-01-25,16.3968,16.3968,15.2576,15.6763,1532005.0
2021-01-26,16.1047,16.3481,15.3841,15.389,772144.0
2021-01-27,14.8778,15.462,14.4884,14.5273,2360049.0
2021-01-28,14.7318,15.501,14.4105,15.277,1680160.0
2021-01-29,14.8778,15.2284,14.5468,14.8876,1176833.0
2021-01-30,14.8778,15.2284,14.5468,14.8876,1176833.0
2021-01-31,14.8778,15.2284,14.5468,14.8876,1176833.0
2021-02-01,15.3549,15.3744,14.537,14.8486,703267.0
2021-02-02,15.1407,15.4815,14.9168,15.204,820589.0
2021-02-03,15.2673,16.0073,15.2089,15.9878,827683.0
2021-02-04,16.1728,16.5915,15.9294,16.4357,935998.0
2021-02-05,16.8349,16.8836,16.1534,16.5136,850500.0
2021-02-06,16.8349,16.8836,16.1534,16.5136,850500.0
2021-02-07,16.8349,16.8836,16.1534,16.5136,850500.0
2021-02-08,16.5136,17.2682,16.3578,16.9566,1002722.0
2021-02-09,16.8641,17.2341,16.5039,16.7376,1113869.0
2021-02-10,16.8349,17.5068,16.5818,16.8057,977882.0
2021-02-11,16.8155,16.8155,15.7834,16.241,930244.0
2021-02-12,15.9781,16.5818,15.5789,16.3578,900534.0
2021-02-13,15.9781,16.5818,15.5789,16.3578,900534.0
2021-02-14,15.9781,16.5818,15.5789,16.3578,900534.0
2021-02-15,15.9781,16.5818,15.5789,16.3578,900534.0
2021-02-16,16.7376,17.1952,16.5915,17.0053,697056.0
2021-02-17,16.7765,17.7307,16.611,17.6918,1203675.0
2021-02-18,17.4484,17.5749,16.8544,17.1465,1829912.0
2021-02-19,17.3315,18.091,17.3315,17.7015,1649973.0
2021-02-20,17.3315,18.091,17.3315,17.7015,1649973.0
2021-02-21,17.3315,18.091,17.3315,17.7015,1649973.0
2021-02-22,17.7405,18.9381,17.721,18.646,1488458.0
2021-02-23,18.6265,18.7044,17.4581,18.6265,2020266.0
2021-02-24,19.4736,20.6323,19.3957,20.5252,3316118.0
2021-02-25,21.1191,21.421,20.0013,20.1747,1659350.0
2021-02-26,20.0383,20.9536,19.0744,20.7102,1751924.0
2021-02-27,20.0383,20.9536,19.0744,20.7102,1751924.0
2021-02-28,20.0383,20.9536,19.0744,20.7102,1751924.0
2021-03-01,20.9974,22.2291,20.8075,22.2194,2307742.0
2021-03-02,22.3849,22.3849,20.8173,21.2847,1966409.0
2021-03-03,21.7715,22.0149,20.7394,21.0607,1665195.0
