,ATH US Equity,ATH US Equity,ATH US Equity,ATH US Equity,ATH US Equity
2019-02-22,44.53,44.97,44.41,44.73,2009200.0
2019-02-23,44.53,44.97,44.41,44.73,2009200.0
2019-02-24,44.53,44.97,44.41,44.73,2009200.0
2019-02-25,45.07,45.33,44.8227,44.93,1734616.0
2019-02-26,45.49,45.76,43.56,44.38,4869208.0
2019-02-27,44.35,44.52,43.92,44.17,2956139.0
2019-02-28,44.54,44.79,44.17,44.55,1984020.0
2019-03-01,44.97,45.2,44.27,44.58,1679774.0
2019-03-02,44.97,45.2,44.27,44.58,1679774.0
2019-03-03,44.97,45.2,44.27,44.58,1679774.0
2019-03-04,44.59,44.99,44.03,44.3,1876309.0
2019-03-05,44.21,44.53,43.69,44.0,1488982.0
2019-03-06,43.92,44.26,43.48,43.6,1416539.0
2019-03-07,43.32,43.455,41.82,41.92,1430141.0
2019-03-08,41.47,41.84,41.26,41.5,1015326.0
2019-03-09,41.47,41.84,41.26,41.5,1015326.0
2019-03-10,41.47,41.84,41.26,41.5,1015326.0
2019-03-11,41.78,41.99,41.61,41.8,1197001.0
2019-03-12,41.97,42.23,41.69,41.7,1163717.0
2019-03-13,41.91,42.25,41.79,42.12,1473718.0
2019-03-14,42.08,42.85,42.07,42.81,1600389.0
2019-03-15,42.87,43.5,42.77,43.4,2172818.0
2019-03-16,42.87,43.5,42.77,43.4,2172818.0
2019-03-17,42.87,43.5,42.77,43.4,2172818.0
2019-03-18,43.6,44.16,43.6,43.81,1407350.0
2019-03-19,43.97,44.28,43.57,43.59,1079703.0
2019-03-20,43.5,43.605,42.96,43.09,1824126.0
2019-03-21,42.88,43.42,42.53,43.4,2225784.0
2019-03-22,42.88,43.01,41.07,41.13,2463707.0
2019-03-23,42.88,43.01,41.07,41.13,2463707.0
2019-03-24,42.88,43.01,41.07,41.13,2463707.0
2019-03-25,41.13,41.51,40.14,40.35,2313329.0
2019-03-26,40.7,40.92,40.45,40.83,1257029.0
2019-03-27,40.86,40.97,40.43,40.73,1106834.0
2019-03-28,40.84,41.07,40.41,40.77,879449.0
2019-03-29,41.17,41.23,40.62,40.8,1070371.0
2019-03-30,41.17,41.23,40.62,40.8,1070371.0
2019-03-31,41.17,41.23,40.62,40.8,1070371.0
2019-04-01,41.16,42.06,41.16,42.0,1441350.0
2019-04-02,41.97,42.47,41.79,41.84,1485973.0
2019-04-03,42.2,42.67,42.2,42.44,1025495.0
2019-04-04,42.44,42.875,42.36,42.74,956831.0
2019-04-05,42.78,43.07,42.6448,42.87,648955.0
2019-04-06,42.78,43.07,42.6448,42.87,648955.0
2019-04-07,42.78,43.07,42.6448,42.87,648955.0
2019-04-08,42.93,43.38,42.66,43.18,837459.0
2019-04-09,43.03,43.03,41.79,41.93,1312073.0
2019-04-10,42.0,42.55,41.48,42.39,1220295.0
2019-04-11,42.41,43.145,42.41,42.89,1009288.0
2019-04-12,43.58,43.93,42.99,43.38,992708.0
2019-04-13,43.58,43.93,42.99,43.38,992708.0
2019-04-14,43.58,43.93,42.99,43.38,992708.0
2019-04-15,43.55,43.61,42.955,43.07,963506.0
2019-04-16,43.23,43.89,43.23,43.73,1242602.0
2019-04-17,43.95,44.0,43.45,43.51,736931.0
2019-04-18,43.66,43.95,43.305,43.78,1160374.0
2019-04-19,43.66,43.95,43.305,43.78,1160374.0
2019-04-20,43.66,43.95,43.305,43.78,1160374.0
2019-04-21,43.66,43.95,43.305,43.78,1160374.0
2019-04-22,43.65,43.76,43.21,43.51,989332.0
2019-04-23,43.38,44.16,43.38,43.93,1088601.0
2019-04-24,43.85,43.98,43.45,43.68,877254.0
2019-04-25,43.5,44.09,43.33,43.92,976794.0
2019-04-26,43.82,44.535,43.74,44.48,831056.0
2019-04-27,43.82,44.535,43.74,44.48,831056.0
2019-04-28,43.82,44.535,43.74,44.48,831056.0
2019-04-29,44.68,45.65,44.5917,45.6,1517903.0
2019-04-30,45.48,45.59,44.645,45.16,1004426.0
2019-05-01,45.18,45.74,44.695,44.81,898992.0
2019-05-02,44.94,45.56,44.59,45.0,1125676.0
2019-05-03,45.05,45.75,45.0,45.47,813363.0
2019-05-04,45.05,45.75,45.0,45.47,813363.0
2019-05-05,45.05,45.75,45.0,45.47,813363.0
2019-05-06,44.65,46.07,44.54,45.85,1447366.0
2019-05-07,43.75,45.1,43.15,43.29,2644070.0
2019-05-08,42.78,45.36,41.93,45.19,3414441.0
2019-05-09,44.88,45.31,44.48,44.79,2323386.0
2019-05-10,44.63,45.24,44.42,45.23,2048439.0
2019-05-11,44.63,45.24,44.42,45.23,2048439.0
2019-05-12,44.63,45.24,44.42,45.23,2048439.0
2019-05-13,44.35,44.45,42.515,43.03,3163234.0
2019-05-14,43.14,44.09,43.015,43.7,1395464.0
2019-05-15,43.35,43.38,42.89,43.01,1904306.0
2019-05-16,43.33,44.08,43.1,43.48,1301326.0
2019-05-17,42.94,43.44,42.62,42.63,1298492.0
2019-05-18,42.94,43.44,42.62,42.63,1298492.0
2019-05-19,42.94,43.44,42.62,42.63,1298492.0
2019-05-20,42.27,43.09,42.27,42.74,1400412.0
2019-05-21,42.93,43.605,42.89,43.42,1497573.0
2019-05-22,43.15,43.62,43.08,43.59,1799917.0
2019-05-23,43.14,43.14,42.12,42.42,1384746.0
2019-05-24,42.59,43.205,42.45,43.09,1256830.0
2019-05-25,42.59,43.205,42.45,43.09,1256830.0
2019-05-26,42.59,43.205,42.45,43.09,1256830.0
2019-05-27,42.59,43.205,42.45,43.09,1256830.0
2019-05-28,43.01,43.34,42.24,42.37,1827680.0
2019-05-29,41.99,42.45,41.9,42.31,951049.0
2019-05-30,42.47,43.17,41.79,41.91,1421795.0
2019-05-31,41.26,41.44,40.52,40.65,1892218.0
2019-06-01,41.26,41.44,40.52,40.65,1892218.0
2019-06-02,41.26,41.44,40.52,40.65,1892218.0
2019-06-03,40.43,41.275,40.43,41.25,1930861.0
2019-06-04,41.92,42.57,41.685,42.38,1680650.0
2019-06-05,42.51,42.84,42.02,42.47,1722780.0
2019-06-06,42.1,42.795,42.07,42.26,2112662.0
2019-06-07,42.5,43.35,42.37,43.03,2135065.0
2019-06-08,42.5,43.35,42.37,43.03,2135065.0
2019-06-09,42.5,43.35,42.37,43.03,2135065.0
2019-06-10,43.41,43.72,42.87,43.02,1787169.0
2019-06-11,43.85,44.055,43.31,43.31,1917186.0
2019-06-12,43.27,43.49,42.86,43.12,1230954.0
2019-06-13,43.28,43.405,42.85,43.23,1555339.0
2019-06-14,43.2,43.725,42.74,43.58,1392198.0
2019-06-15,43.2,43.725,42.74,43.58,1392198.0
2019-06-16,43.2,43.725,42.74,43.58,1392198.0
2019-06-17,43.62,43.66,43.12,43.25,1229667.0
2019-06-18,43.22,43.86,43.12,43.25,1583313.0
2019-06-19,43.42,43.845,43.11,43.12,2369290.0
2019-06-20,43.57,43.715,42.36,43.37,1983188.0
2019-06-21,43.36,43.66,42.47,42.58,1350565.0
2019-06-22,43.36,43.66,42.47,42.58,1350565.0
2019-06-23,43.36,43.66,42.47,42.58,1350565.0
2019-06-24,42.55,42.65,42.09,42.27,1276713.0
2019-06-25,42.17,42.17,41.22,41.8,1463220.0
2019-06-26,42.01,42.34,41.63,41.78,1013074.0
2019-06-27,41.97,42.28,41.73,42.13,1610589.0
2019-06-28,42.47,43.06,42.35,43.06,2450318.0
2019-06-29,42.47,43.06,42.35,43.06,2450318.0
2019-06-30,42.47,43.06,42.35,43.06,2450318.0
2019-07-01,43.54,44.06,43.43,43.83,2003440.0
2019-07-02,43.77,43.77,42.96,43.3,1540677.0
2019-07-03,43.41,43.88,43.28,43.69,488659.0
2019-07-04,43.41,43.88,43.28,43.69,488659.0
2019-07-05,43.94,44.66,43.81,44.24,538147.0
2019-07-06,43.94,44.66,43.81,44.24,538147.0
2019-07-07,43.94,44.66,43.81,44.24,538147.0
2019-07-08,43.87,44.09,43.54,43.79,1016475.0
2019-07-09,43.46,43.51,43.01,43.12,1106941.0
2019-07-10,43.13,43.28,42.425,42.5,1054422.0
2019-07-11,42.58,42.885,42.17,42.78,990549.0
2019-07-12,42.85,43.25,42.62,43.1,535879.0
2019-07-13,42.85,43.25,42.62,43.1,535879.0
2019-07-14,42.85,43.25,42.62,43.1,535879.0
2019-07-15,43.29,43.29,42.44,42.51,814193.0
2019-07-16,42.52,42.6,42.22,42.49,1191700.0
2019-07-17,42.37,42.37,41.58,41.68,586166.0
2019-07-18,41.59,42.27,41.46,42.06,1556717.0
2019-07-19,42.18,42.52,42.03,42.15,1571810.0
2019-07-20,42.18,42.52,42.03,42.15,1571810.0
2019-07-21,42.18,42.52,42.03,42.15,1571810.0
2019-07-22,42.17,42.37,41.92,41.95,758526.0
2019-07-23,42.09,42.595,42.09,42.52,925447.0
2019-07-24,42.4,42.85,42.09,42.65,704446.0
2019-07-25,42.72,42.72,42.34,42.58,635057.0
2019-07-26,42.71,42.785,42.31,42.51,1126973.0
2019-07-27,42.71,42.785,42.31,42.51,1126973.0
2019-07-28,42.71,42.785,42.31,42.51,1126973.0
2019-07-29,42.32,42.7,42.015,42.05,763700.0
2019-07-30,41.76,41.885,41.405,41.83,939321.0
2019-07-31,41.81,41.94,40.21,40.86,1397462.0
2019-08-01,40.72,40.76,38.71,39.22,1765255.0
2019-08-02,39.08,39.4,38.58,38.59,2509112.0
2019-08-03,39.08,39.4,38.58,38.59,2509112.0
2019-08-04,39.08,39.4,38.58,38.59,2509112.0
2019-08-05,39.88,40.0,36.0,38.93,4329492.0
2019-08-06,39.29,39.71,38.93,39.4,1905832.0
2019-08-07,38.65,39.6,38.02,39.36,1764542.0
2019-08-08,39.85,40.71,39.71,40.68,1098786.0
2019-08-09,40.44,40.52,39.48,39.85,1165101.0
2019-08-10,40.44,40.52,39.48,39.85,1165101.0
2019-08-11,40.44,40.52,39.48,39.85,1165101.0
2019-08-12,39.36,39.55,38.7,38.85,944592.0
2019-08-13,38.66,39.675,38.64,39.2,954517.0
2019-08-14,38.28,38.51,37.56,37.7,1354885.0
2019-08-15,37.75,38.08,37.54,37.73,1534659.0
2019-08-16,37.97,39.21,37.97,38.93,779047.0
2019-08-17,37.97,39.21,37.97,38.93,779047.0
2019-08-18,37.97,39.21,37.97,38.93,779047.0
2019-08-19,39.73,39.85,39.28,39.42,1092961.0
2019-08-20,39.05,39.27,38.6,38.64,897130.0
2019-08-21,39.01,39.25,38.8,39.1,517818.0
2019-08-22,39.4,39.49,38.92,39.31,1200720.0
2019-08-23,38.83,39.51,38.05,38.19,1243874.0
2019-08-24,38.83,39.51,38.05,38.19,1243874.0
2019-08-25,38.83,39.51,38.05,38.19,1243874.0
2019-08-26,38.54,38.61,38.24,38.52,803791.0
2019-08-27,38.75,38.88,37.36,37.56,1069738.0
2019-08-28,37.25,38.14,37.25,37.8,1147002.0
2019-08-29,38.02,38.6,37.94,38.36,1136927.0
2019-08-30,38.7,39.14,38.56,38.86,838911.0
2019-08-31,38.7,39.14,38.56,38.86,838911.0
2019-09-01,38.7,39.14,38.56,38.86,838911.0
2019-09-02,38.7,39.14,38.56,38.86,838911.0
2019-09-03,38.48,38.48,37.87,38.29,1117810.0
2019-09-04,38.8,38.89,38.245,38.37,1135344.0
2019-09-05,39.0,39.9,38.85,39.63,1454855.0
2019-09-06,39.74,40.11,39.36,39.63,829239.0
2019-09-07,39.74,40.11,39.36,39.63,829239.0
2019-09-08,39.74,40.11,39.36,39.63,829239.0
2019-09-09,39.94,40.64,39.605,40.63,1080480.0
2019-09-10,40.95,41.5,40.84,41.39,1631533.0
2019-09-11,41.27,41.79,40.6,41.77,775999.0
2019-09-12,41.36,42.435,41.01,42.29,1121652.0
2019-09-13,42.7,43.36,42.52,42.55,2000779.0
2019-09-14,42.7,43.36,42.52,42.55,2000779.0
2019-09-15,42.7,43.36,42.52,42.55,2000779.0
2019-09-16,41.97,42.86,41.9,42.83,1258020.0
2019-09-17,42.47,42.71,41.87,42.33,1211951.0
2019-09-18,42.07,42.65,41.91,42.58,1580738.0
2019-09-19,42.46,43.05,42.46,42.5,1135362.0
2019-09-20,42.5,43.18,42.47,42.49,2120716.0
2019-09-21,42.5,43.18,42.47,42.49,2120716.0
2019-09-22,42.5,43.18,42.47,42.49,2120716.0
2019-09-23,42.1,43.035,42.04,42.76,1179195.0
2019-09-24,42.73,42.73,41.81,42.11,2414626.0
2019-09-25,42.11,43.06,42.1,42.51,1131392.0
2019-09-26,42.44,42.775,42.205,42.47,836058.0
2019-09-27,42.82,43.23,42.43,42.54,714568.0
2019-09-28,42.82,43.23,42.43,42.54,714568.0
2019-09-29,42.82,43.23,42.43,42.54,714568.0
2019-09-30,42.68,42.68,42.05,42.06,1012722.0
2019-10-01,42.44,42.785,40.41,40.42,6054868.0
2019-10-02,40.0,40.14,39.11,39.52,2182535.0
2019-10-03,39.31,39.615,38.69,39.23,2120219.0
2019-10-04,39.18,40.14,39.12,40.12,1837504.0
2019-10-05,39.18,40.14,39.12,40.12,1837504.0
2019-10-06,39.18,40.14,39.12,40.12,1837504.0
2019-10-07,40.01,40.15,39.43,39.43,1629070.0
2019-10-08,38.91,38.91,37.4,37.43,1918755.0
2019-10-09,37.63,38.22,36.98,37.92,1856327.0
2019-10-10,38.21,38.87,38.11,38.16,3024876.0
2019-10-11,38.92,39.87,38.84,39.48,1662480.0
2019-10-12,38.92,39.87,38.84,39.48,1662480.0
2019-10-13,38.92,39.87,38.84,39.48,1662480.0
2019-10-14,39.08,39.655,38.89,39.52,1085941.0
2019-10-15,39.63,40.42,39.56,39.95,1999098.0
2019-10-16,39.98,40.61,39.71,40.3,1591009.0
2019-10-17,40.46,41.125,40.4,40.87,1387343.0
2019-10-18,40.84,41.21,40.7,40.99,1298533.0
2019-10-19,40.84,41.21,40.7,40.99,1298533.0
2019-10-20,40.84,41.21,40.7,40.99,1298533.0
2019-10-21,41.39,41.9,41.2,41.21,1477463.0
2019-10-22,41.12,41.88,40.93,41.65,1800471.0
2019-10-23,41.44,42.05,41.43,41.99,1304483.0
2019-10-24,42.09,42.13,41.4,41.93,2375584.0
2019-10-25,41.75,42.11,41.485,42.0,1233181.0
2019-10-26,41.75,42.11,41.485,42.0,1233181.0
2019-10-27,41.75,42.11,41.485,42.0,1233181.0
2019-10-28,44.19,44.89,43.57,44.31,4737837.0
2019-10-29,44.36,44.515,43.635,43.84,1692487.0
2019-10-30,43.73,44.01,43.11,43.91,1077731.0
2019-10-31,43.68,43.9,42.44,43.35,1521698.0
2019-11-01,43.6,44.36,43.43,44.3,1570587.0
2019-11-02,43.6,44.36,43.43,44.3,1570587.0
2019-11-03,43.6,44.36,43.43,44.3,1570587.0
2019-11-04,44.75,45.09,44.31,44.94,1925784.0
2019-11-05,42.6,44.555,42.6,43.95,2117752.0
2019-11-06,43.78,43.8388,43.16,43.43,1235900.0
2019-11-07,43.73,44.585,43.55,44.07,2093367.0
2019-11-08,44.08,44.16,43.78,43.94,735676.0
2019-11-09,44.08,44.16,43.78,43.94,735676.0
2019-11-10,44.08,44.16,43.78,43.94,735676.0
2019-11-11,43.44,43.88,43.295,43.65,1582286.0
2019-11-12,43.9,44.46,43.58,44.2,1464052.0
2019-11-13,43.76,43.91,43.24,43.83,917237.0
2019-11-14,43.67,44.1,43.4,44.04,769978.0
2019-11-15,44.35,44.38,43.74,43.89,1291538.0
2019-11-16,44.35,44.38,43.74,43.89,1291538.0
2019-11-17,44.35,44.38,43.74,43.89,1291538.0
2019-11-18,43.74,43.79,43.19,43.52,1171930.0
2019-11-19,43.57,44.24,43.54,44.07,2085466.0
2019-11-20,43.79,44.01,43.36,44.0,1100216.0
2019-11-21,44.17,44.25,43.61,43.61,820441.0
2019-11-22,43.65,44.482,43.5,44.23,2196705.0
2019-11-23,43.65,44.482,43.5,44.23,2196705.0
2019-11-24,43.65,44.482,43.5,44.23,2196705.0
2019-11-25,44.2,44.72,43.86,44.58,959828.0
2019-11-26,44.62,44.92,44.4,44.84,2306489.0
2019-11-27,45.1,45.42,44.88,45.09,871837.0
2019-11-28,45.1,45.42,44.88,45.09,871837.0
2019-11-29,45.03,45.435,44.94,45.02,328552.0
2019-11-30,45.03,45.435,44.94,45.02,328552.0
2019-12-01,45.03,45.435,44.94,45.02,328552.0
2019-12-02,45.32,45.545,44.55,44.55,965246.0
2019-12-03,43.78,43.82,43.3,43.67,1115884.0
2019-12-04,43.79,44.33,43.65,43.96,952341.0
2019-12-05,44.22,44.5,43.78,43.94,872495.0
2019-12-06,44.35,44.88,44.14,44.36,1127189.0
2019-12-07,44.35,44.88,44.14,44.36,1127189.0
2019-12-08,44.35,44.88,44.14,44.36,1127189.0
2019-12-09,44.15,44.41,44.01,44.22,819944.0
2019-12-10,44.11,44.5,43.99,44.12,2023497.0
2019-12-11,44.12,44.24,43.61,43.99,1716540.0
2019-12-12,44.09,45.45,44.04,45.29,1336457.0
2019-12-13,45.47,45.94,45.24,45.32,825515.0
2019-12-14,45.47,45.94,45.24,45.32,825515.0
2019-12-15,45.47,45.94,45.24,45.32,825515.0
2019-12-16,45.81,46.3,45.6,46.18,2058988.0
2019-12-17,46.11,46.81,46.02,46.66,2079440.0
2019-12-18,46.8,46.8,46.45,46.47,1615216.0
2019-12-19,46.55,47.48,46.19,47.31,1738629.0
2019-12-20,47.44,47.89,47.35,47.76,2769984.0
2019-12-21,47.44,47.89,47.35,47.76,2769984.0
2019-12-22,47.44,47.89,47.35,47.76,2769984.0
2019-12-23,47.81,47.81,46.68,47.32,2044144.0
2019-12-24,47.48,47.57,46.86,46.96,206147.0
2019-12-25,47.48,47.57,46.86,46.96,206147.0
2019-12-26,47.07,47.42,46.81,47.28,368789.0
2019-12-27,47.29,47.29,46.95,47.03,501962.0
2019-12-28,47.29,47.29,46.95,47.03,501962.0
2019-12-29,47.29,47.29,46.95,47.03,501962.0
2019-12-30,47.24,47.395,46.94,46.96,781287.0
2019-12-31,46.92,47.38,46.84,47.03,641999.0
2020-01-01,46.92,47.38,46.84,47.03,641999.0
2020-01-02,47.33,47.575,46.93,47.55,954084.0
2020-01-03,46.72,47.11,46.52,47.06,986821.0
2020-01-04,46.72,47.11,46.52,47.06,986821.0
2020-01-05,46.72,47.11,46.52,47.06,986821.0
2020-01-06,46.5,47.08,46.33,46.97,806569.0
2020-01-07,46.9,47.15,46.66,47.0,1397295.0
2020-01-08,47.05,47.77,47.05,47.21,750598.0
2020-01-09,47.68,47.98,47.31,47.85,1169100.0
2020-01-10,47.83,48.03,47.47,47.58,856925.0
2020-01-11,47.83,48.03,47.47,47.58,856925.0
2020-01-12,47.83,48.03,47.47,47.58,856925.0
2020-01-13,47.74,48.12,47.72,47.86,848982.0
2020-01-14,47.8,47.99,47.28,47.45,1122559.0
2020-01-15,47.11,47.27,46.605,46.74,707061.0
2020-01-16,47.14,47.48,46.82,47.0,1023596.0
2020-01-17,47.03,47.26,46.78,46.9,1000535.0
2020-01-18,47.03,47.26,46.78,46.9,1000535.0
2020-01-19,47.03,47.26,46.78,46.9,1000535.0
2020-01-20,47.03,47.26,46.78,46.9,1000535.0
2020-01-21,46.51,46.72,45.63,45.65,1419535.0
2020-01-22,45.71,45.87,45.12,45.27,2030861.0
2020-01-23,44.77,45.17,44.14,44.91,1251625.0
2020-01-24,44.98,44.98,44.15,44.63,1542005.0
2020-01-25,44.98,44.98,44.15,44.63,1542005.0
2020-01-26,44.98,44.98,44.15,44.63,1542005.0
2020-01-27,43.63,43.92,43.12,43.71,2073709.0
2020-01-28,44.04,44.84,43.865,44.72,1889170.0
2020-01-29,44.79,45.21,44.75,44.82,830401.0
2020-01-30,44.39,44.89,44.05,44.65,1689130.0
2020-01-31,44.14,44.31,43.42,43.56,1450355.0
2020-02-01,44.14,44.31,43.42,43.56,1450355.0
2020-02-02,44.14,44.31,43.42,43.56,1450355.0
2020-02-03,43.87,44.38,43.735,43.75,849270.0
2020-02-04,44.52,44.78,44.18,44.34,1048398.0
2020-02-05,44.99,45.95,44.99,45.93,940828.0
2020-02-06,46.1,46.55,45.6,45.77,981618.0
2020-02-07,45.38,46.64,45.13,46.15,1018710.0
2020-02-08,45.38,46.64,45.13,46.15,1018710.0
2020-02-09,45.38,46.64,45.13,46.15,1018710.0
2020-02-10,46.05,46.18,45.53,46.12,459688.0
2020-02-11,46.33,47.67,46.33,47.35,1329030.0
2020-02-12,47.61,48.37,47.465,47.62,654651.0
2020-02-13,47.38,47.82,47.13,47.8,738093.0
2020-02-14,47.92,48.33,47.7,48.28,1374214.0
2020-02-15,47.92,48.33,47.7,48.28,1374214.0
2020-02-16,47.92,48.33,47.7,48.28,1374214.0
2020-02-17,47.92,48.33,47.7,48.28,1374214.0
2020-02-18,49.28,50.24,49.13,50.0,2955620.0
2020-02-19,50.43,50.43,48.59,49.3,2360609.0
2020-02-20,49.0,49.845,48.95,49.75,1400053.0
2020-02-21,49.46,49.815,48.97,49.71,2242707.0
2020-02-22,49.46,49.815,48.97,49.71,2242707.0
2020-02-23,49.46,49.815,48.97,49.71,2242707.0
2020-02-24,47.91,48.26,47.47,48.04,2712763.0
2020-02-25,48.15,48.36,46.04,46.09,2320799.0
2020-02-26,46.37,47.01,45.52,45.67,1734053.0
2020-02-27,44.7,44.97,43.11,43.13,2340335.0
2020-02-28,41.62,42.3,40.19,41.25,3801707.0
2020-02-29,41.62,42.3,40.19,41.25,3801707.0
2020-03-01,41.62,42.3,40.19,41.25,3801707.0
2020-03-02,41.5,42.27,40.65,42.25,2978385.0
2020-03-03,42.14,42.685,40.14,40.53,3305796.0
2020-03-04,41.16,42.15,40.51,42.05,3698507.0
2020-03-05,40.18,40.85,39.9,40.35,3691852.0
2020-03-06,38.73,40.05,37.01,37.62,4133901.0
2020-03-07,38.73,40.05,37.01,37.62,4133901.0
2020-03-08,38.73,40.05,37.01,37.62,4133901.0
2020-03-09,32.0,35.65,32.0,33.06,3526861.0
2020-03-10,34.41,34.96,31.63,34.03,3552896.0
2020-03-11,33.0,33.51,30.745,31.16,3273955.0
2020-03-12,28.3,28.3,24.5,24.57,5550724.0
2020-03-13,26.24,27.41,24.8,27.0,4882934.0
2020-03-14,26.24,27.41,24.8,27.0,4882934.0
2020-03-15,26.24,27.41,24.8,27.0,4882934.0
2020-03-16,23.26,25.89,21.81,21.82,4202825.0
2020-03-17,22.65,22.65,19.7,19.86,6357432.0
2020-03-18,18.05,18.57,13.37,16.51,5574965.0
2020-03-19,16.1,18.73,15.71,18.3,4450447.0
2020-03-20,18.51,19.08,16.46,16.72,4348155.0
2020-03-21,18.51,19.08,16.46,16.72,4348155.0
2020-03-22,18.51,19.08,16.46,16.72,4348155.0
2020-03-23,16.56,16.98,15.6701,16.11,2345845.0
2020-03-24,17.69,21.08,17.12,20.98,3352195.0
2020-03-25,21.66,29.87,21.66,25.48,6023614.0
2020-03-26,26.29,28.11,25.13,27.72,4960016.0
2020-03-27,25.92,27.11,25.43,25.69,2339726.0
2020-03-28,25.92,27.11,25.43,25.69,2339726.0
2020-03-29,25.92,27.11,25.43,25.69,2339726.0
2020-03-30,25.43,26.43,24.38,26.31,1637246.0
2020-03-31,26.31,26.53,24.34,24.82,2326425.0
2020-04-01,23.24,23.7,21.54,21.85,1564594.0
2020-04-02,21.24,22.97,21.24,22.28,1927679.0
2020-04-03,22.18,22.51,21.01,21.47,2229903.0
2020-04-04,22.18,22.51,21.01,21.47,2229903.0
2020-04-05,22.18,22.51,21.01,21.47,2229903.0
2020-04-06,23.24,24.25,22.8,23.35,2830830.0
2020-04-07,25.25,26.0,23.87,23.89,3689083.0
2020-04-08,24.18,26.855,23.38,26.6,2713782.0
2020-04-09,27.91,31.29,27.68,30.35,5298561.0
2020-04-10,27.91,31.29,27.68,30.35,5298561.0
2020-04-11,27.91,31.29,27.68,30.35,5298561.0
2020-04-12,27.91,31.29,27.68,30.35,5298561.0
2020-04-13,30.0,30.29,26.78,28.27,2003008.0
2020-04-14,28.88,29.22,26.92,27.3,1949197.0
2020-04-15,25.54,25.67,24.0,24.25,2073511.0
2020-04-16,23.97,24.3,23.2,23.64,1406639.0
2020-04-17,25.05,25.85,24.66,25.46,1808512.0
2020-04-18,25.05,25.85,24.66,25.46,1808512.0
2020-04-19,25.05,25.85,24.66,25.46,1808512.0
2020-04-20,24.45,25.17,23.49,24.11,2145888.0
2020-04-21,22.91,23.46,22.14,22.25,2066363.0
2020-04-22,22.98,23.32,22.37,22.83,1209545.0
2020-04-23,23.16,23.59,22.47,22.77,1130742.0
2020-04-24,22.96,23.75,22.27,23.64,1816586.0
2020-04-25,22.96,23.75,22.27,23.64,1816586.0
2020-04-26,22.96,23.75,22.27,23.64,1816586.0
