,PNC US Equity,PNC US Equity,PNC US Equity,PNC US Equity,PNC US Equity
2020-04-09,86.5906,91.0238,86.1047,89.8728,4331530.0
2020-04-10,86.5906,91.0238,86.1047,89.8728,4331530.0
2020-04-11,86.5906,91.0238,86.1047,89.8728,4331530.0
2020-04-12,86.5906,91.0238,86.1047,89.8728,4331530.0
2020-04-13,89.6341,89.7407,85.6102,86.0706,2802304.0
2020-04-14,87.9973,88.7901,83.2914,84.8003,3377049.0
2020-04-15,81.5487,83.3168,78.5738,79.7202,3934217.0
2020-04-16,80.0652,80.4965,76.874,78.0901,3104173.0
2020-04-17,81.3158,87.8535,81.1778,87.543,4058169.0
2020-04-18,81.3158,87.8535,81.1778,87.543,4058169.0
2020-04-19,81.3158,87.8535,81.1778,87.543,4058169.0
2020-04-20,84.8434,89.6907,83.912,88.4487,4165203.0
2020-04-21,84.6709,86.1889,83.6273,85.3868,4106994.0
2020-04-22,87.4654,87.8398,84.8262,85.3006,2577943.0
2020-04-23,85.5507,88.1468,85.5507,85.7577,2034925.0
2020-04-24,86.2234,87.7845,84.9211,86.8789,2122806.0
2020-04-25,86.2234,87.7845,84.9211,86.8789,2122806.0
2020-04-26,86.2234,87.7845,84.9211,86.8789,2122806.0
2020-04-27,88.1209,91.4933,87.2239,90.9844,1953504.0
2020-04-28,94.8484,95.4607,90.8464,91.4156,2400069.0
2020-04-29,95.4349,97.3755,93.6926,95.7281,2332312.0
2020-04-30,92.8646,93.5546,90.7041,92.0021,2111323.0
2020-05-01,89.1904,91.3898,87.7414,88.8109,2351004.0
2020-05-02,89.1904,91.3898,87.7414,88.8109,2351004.0
2020-05-03,89.1904,91.3898,87.7414,88.8109,2351004.0
2020-05-04,86.2493,87.9139,85.1108,87.6379,2176026.0
2020-05-05,89.3284,89.8459,85.8957,86.0509,1275383.0
2020-05-06,87.1118,87.4137,84.6882,84.9556,2457869.0
2020-05-07,86.2148,90.0443,86.2148,87.3619,1703858.0
2020-05-08,89.8459,90.9758,88.9317,90.5876,1330885.0
2020-05-09,89.8459,90.9758,88.9317,90.5876,1330885.0
2020-05-10,89.8459,90.9758,88.9317,90.5876,1330885.0
2020-05-11,88.8368,88.8368,86.8531,88.0778,2527933.0
2020-05-12,88.2244,88.9662,84.9124,86.2493,9921638.0
2020-05-13,85.8181,85.9517,81.7902,83.4807,6206138.0
2020-05-14,81.4883,85.3868,80.4447,84.3863,5234199.0
2020-05-15,83.6446,85.3092,82.7045,83.8775,2649636.0
2020-05-16,83.6446,85.3092,82.7045,83.8775,2649636.0
2020-05-17,83.6446,85.3092,82.7045,83.8775,2649636.0
2020-05-18,87.1118,90.4195,86.3442,89.751,3579694.0
2020-05-19,89.2249,90.1305,87.1118,87.2239,3237965.0
2020-05-20,88.8282,90.9344,88.5867,90.0443,2671990.0
2020-05-21,88.8109,90.9671,88.5522,89.0007,2463208.0
2020-05-22,89.3025,90.441,88.4832,90.2254,3242318.0
2020-05-23,89.3025,90.441,88.4832,90.2254,3242318.0
2020-05-24,89.3025,90.441,88.4832,90.2254,3242318.0
2020-05-25,89.3025,90.441,88.4832,90.2254,3242318.0
2020-05-26,94.3567,96.2974,93.9514,94.4947,4167374.0
2020-05-27,101.7742,101.7742,96.858,100.5667,4416476.0
2020-05-28,101.4292,101.4723,98.5916,99.8767,2999039.0
2020-05-29,97.9275,100.1699,97.6946,98.3587,3666929.0
2020-05-30,97.9275,100.1699,97.6946,98.3587,3666929.0
2020-05-31,97.9275,100.1699,97.6946,98.3587,3666929.0
2020-06-01,99.0056,100.0492,97.9878,98.9021,1837595.0
2020-06-02,100.2303,100.4804,97.8326,99.066,3016896.0
2020-06-03,102.7747,104.7757,102.1019,103.249,4601191.0
2020-06-04,103.1369,106.3109,101.8346,105.8452,3553443.0
2020-06-05,112.978,114.3493,108.6957,110.425,4804739.0
2020-06-06,112.978,114.3493,108.6957,110.425,4804739.0
2020-06-07,112.978,114.3493,108.6957,110.425,4804739.0
2020-06-08,112.6847,114.1682,111.9171,113.0987,4019751.0
2020-06-09,108.838,110.1921,107.4925,108.838,3455941.0
2020-06-10,107.872,108.4068,102.2917,102.5763,3630754.0
2020-06-11,96.7458,98.5226,92.5369,92.7266,4163120.0
2020-06-12,97.4703,97.6428,92.9423,95.5297,3731016.0
2020-06-13,97.4703,97.6428,92.9423,95.5297,3731016.0
2020-06-14,97.4703,97.6428,92.9423,95.5297,3731016.0
2020-06-15,91.7606,97.7377,91.3725,97.4358,2606739.0
2020-06-16,101.4378,101.5241,96.9097,99.135,2629539.0
2020-06-17,99.1263,99.5145,96.1249,96.4267,1811344.0
2020-06-18,95.5987,97.9102,94.8569,95.5039,2322658.0
2020-06-19,96.8925,97.5652,92.3903,93.3476,6735232.0
2020-06-20,96.8925,97.5652,92.3903,93.3476,6735232.0
2020-06-21,96.8925,97.5652,92.3903,93.3476,6735232.0
2020-06-22,92.6576,94.857,91.545,93.6322,2178385.0
2020-06-23,95.4435,96.4526,92.8819,92.9164,2060833.0
2020-06-24,91.8469,91.8469,88.2072,89.1645,3971096.0
2020-06-25,88.8195,92.2091,88.4659,91.8124,2238335.0
2020-06-26,89.8287,90.234,86.3442,87.0514,4043286.0
2020-06-27,89.8287,90.234,86.3442,87.0514,4043286.0
2020-06-28,89.8287,90.234,86.3442,87.0514,4043286.0
2020-06-29,88.3107,89.3715,87.5862,88.6902,2907742.0
2020-06-30,87.9657,91.4587,87.8449,90.7429,3350965.0
2020-07-01,91.2259,91.2388,88.3926,88.6902,2120759.0
2020-07-02,90.8636,91.6744,87.8104,88.1037,3087168.0
2020-07-03,90.8636,91.6744,87.8104,88.1037,3087168.0
2020-07-04,90.8636,91.6744,87.8104,88.1037,3087168.0
2020-07-05,90.8636,91.6744,87.8104,88.1037,3087168.0
2020-07-06,89.9149,91.1655,88.5522,89.1387,2327120.0
2020-07-07,88.1727,88.509,85.5679,85.9992,2516090.0
2020-07-08,85.8784,86.9824,84.7486,86.3701,2911315.0
2020-07-09,85.7922,86.2407,83.7395,85.2574,3432030.0
2020-07-10,85.0591,87.9829,85.0591,87.6293,2925425.0
2020-07-11,85.0591,87.9829,85.0591,87.6293,2925425.0
2020-07-12,85.0591,87.9829,85.0591,87.6293,2925425.0
2020-07-13,88.4055,89.9235,87.5603,88.5608,3573374.0
2020-07-14,88.5435,89.143,86.5943,87.336,3445811.0
2020-07-15,89.5872,90.8464,87.7155,89.7597,3991027.0
2020-07-16,88.8265,93.0301,88.3817,91.5649,4029279.0
2020-07-17,90.9544,91.687,89.8207,89.8468,2953448.0
2020-07-18,90.9544,91.687,89.8207,89.8468,2953448.0
2020-07-19,90.9544,91.687,89.8207,89.8468,2953448.0
2020-07-20,88.9573,90.3788,88.5648,89.7771,2400966.0
2020-07-21,90.4312,94.4299,90.4312,93.9284,3502463.0
2020-07-22,93.004,94.0069,92.4894,92.9952,2529894.0
2020-07-23,92.4545,94.4342,92.315,93.6144,2062464.0
2020-07-24,94.2511,94.9488,93.0824,93.1784,1991331.0
2020-07-25,94.2511,94.9488,93.0824,93.1784,1991331.0
2020-07-26,94.2511,94.9488,93.0824,93.1784,1991331.0
2020-07-27,92.2278,92.2278,90.562,91.5039,1884332.0
2020-07-28,91.0591,92.1231,91.0591,91.4254,1335831.0
2020-07-29,90.9806,95.3238,90.7451,95.0186,2605115.0
2020-07-30,92.8383,92.9865,90.9981,92.6813,1737076.0
2020-07-31,92.1929,93.1261,90.7529,93.0301,2082383.0
2020-08-01,92.1929,93.1261,90.7529,93.0301,2082383.0
2020-08-02,92.1929,93.1261,90.7529,93.0301,2082383.0
2020-08-03,92.9167,93.8368,91.8353,92.3847,1913248.0
2020-08-04,92.5679,92.5679,91.4254,91.8266,1645437.0
2020-08-05,92.6115,93.1261,91.8876,92.9342,2293394.0
2020-08-06,92.2626,93.6493,92.1405,93.3441,1632845.0
2020-08-07,92.2975,95.9605,92.2801,95.6727,2798178.0
2020-08-08,92.2975,95.9605,92.2801,95.6727,2798178.0
2020-08-09,92.2975,95.9605,92.2801,95.6727,2798178.0
2020-08-10,96.0651,97.3384,95.3936,95.6378,2066986.0
2020-08-11,98.3239,100.5487,97.6175,98.0885,2910879.0
2020-08-12,100.0595,100.1641,96.2832,97.6786,2005578.0
2020-08-13,96.3355,97.4954,95.7861,96.8152,1271012.0
2020-08-14,95.7599,98.1059,95.4982,97.4605,1831323.0
2020-08-15,95.7599,98.1059,95.4982,97.4605,1831323.0
2020-08-16,95.7599,98.1059,95.4982,97.4605,1831323.0
2020-08-17,96.2832,96.85,95.5331,96.2221,2513583.0
2020-08-18,95.882,96.2221,93.1522,93.3877,2431407.0
2020-08-19,93.2045,94.8442,92.5941,92.7859,1989178.0
2020-08-20,91.6434,92.8208,91.0591,92.5156,2003970.0
2020-08-21,92.2714,93.3092,92.0097,92.8383,2208336.0
2020-08-22,92.2714,93.3092,92.0097,92.8383,2208336.0
2020-08-23,92.2714,93.3092,92.0097,92.8383,2208336.0
2020-08-24,93.222,95.8297,92.8819,95.7599,1704683.0
2020-08-25,97.1989,97.6786,95.561,96.6059,2044232.0
2020-08-26,96.3791,97.0855,95.5157,96.2047,2058248.0
2020-08-27,95.9692,98.9693,95.5419,98.1146,1857218.0
2020-08-28,98.7251,98.7251,97.1655,97.9838,1311909.0
2020-08-29,98.7251,98.7251,97.1655,97.9838,1311909.0
2020-08-30,98.7251,98.7251,97.1655,97.9838,1311909.0
2020-08-31,97.7135,97.9053,96.8937,96.9809,2158632.0
2020-09-01,95.7686,98.0187,95.5331,97.3297,1705794.0
2020-09-02,96.8064,98.5507,96.475,98.0274,1625089.0
2020-09-03,99.2135,101.7514,96.7498,97.3908,1869810.0
2020-09-04,99.3967,100.7834,97.103,98.6379,1466775.0
2020-09-05,99.3967,100.7834,97.103,98.6379,1466775.0
2020-09-06,99.3967,100.7834,97.103,98.6379,1466775.0
2020-09-07,99.3967,100.7834,97.103,98.6379,1466775.0
2020-09-08,97.3384,97.7745,94.9226,96.196,2045332.0
2020-09-09,97.0506,97.0506,95.7337,95.8558,1074888.0
2020-09-10,96.4663,97.321,94.3558,94.3819,2031367.0
2020-09-11,95.132,97.0301,94.4953,96.5884,1632018.0
2020-09-12,95.132,97.0301,94.4953,96.5884,1632018.0
2020-09-13,95.132,97.0301,94.4953,96.5884,1632018.0
2020-09-14,97.2425,100.3647,97.007,99.5798,1504321.0
2020-09-15,99.1612,99.7978,96.5448,97.0594,1998406.0
2020-09-16,96.9373,100.4083,96.5797,99.1089,2254118.0
2020-09-17,97.3123,99.0653,96.8064,97.5739,1767399.0
2020-09-18,96.7977,98.0274,96.5186,97.4693,2233292.0
2020-09-19,96.7977,98.0274,96.5186,97.4693,2233292.0
2020-09-20,96.7977,98.0274,96.5186,97.4693,2233292.0
2020-09-21,94.9924,96.4314,93.7365,94.9226,2097751.0
2020-09-22,94.347,94.9226,90.8454,91.8876,2879617.0
2020-09-23,92.2103,93.6144,89.3236,89.3759,2012975.0
2020-09-24,90.2044,91.9138,88.591,90.2219,1895767.0
2020-09-25,89.184,91.6173,88.966,91.4864,1381304.0
2020-09-26,89.184,91.6173,88.966,91.4864,1381304.0
2020-09-27,89.184,91.6173,88.966,91.4864,1381304.0
2020-09-28,93.1609,95.193,92.9255,94.3034,1543044.0
2020-09-29,93.754,93.9807,91.7132,93.2569,1625334.0
2020-09-30,93.7976,96.1785,93.6275,95.8558,2501492.0
2020-10-01,95.9779,96.7192,94.5127,95.4372,1596518.0
2020-10-02,94.2685,98.5507,94.0069,97.8181,2125278.0
2020-10-03,94.2685,98.5507,94.0069,97.8181,2125278.0
2020-10-04,94.2685,98.5507,94.0069,97.8181,2125278.0
2020-10-05,98.9606,100.2688,98.1146,100.1205,1852083.0
2020-10-06,101.1584,102.1744,98.1931,98.699,1943256.0
2020-10-07,99.7194,102.0748,99.6365,100.4519,2387182.0
2020-10-08,100.9927,102.0654,100.3822,101.638,2514133.0
2020-10-09,102.1352,102.2311,100.1554,100.7136,1963679.0
2020-10-10,102.1352,102.2311,100.1554,100.7136,1963679.0
2020-10-11,102.1352,102.2311,100.1554,100.7136,1963679.0
2020-10-12,100.7397,101.891,100.4842,101.4113,1517432.0
2020-10-13,101.045,101.3677,97.5914,98.1234,2314778.0
2020-10-14,97.8356,99.763,95.5331,95.7861,2678057.0
2020-10-15,95.4864,96.5617,94.7901,96.5617,2504502.0
2020-10-16,96.5793,98.2803,95.9712,98.2539,1982618.0
2020-10-17,96.5793,98.2803,95.9712,98.2539,1982618.0
2020-10-18,96.5793,98.2803,95.9712,98.2539,1982618.0
2020-10-19,98.6329,98.9149,96.7379,96.9407,1949965.0
2020-10-20,97.8132,100.3383,97.8132,98.7651,1826005.0
2020-10-21,98.7298,99.3556,97.3549,97.5135,1281695.0
2020-10-22,97.7163,101.7,97.4959,101.6383,1824957.0
2020-10-23,102.4315,102.6959,100.1224,101.1888,1435683.0
2020-10-24,102.4315,102.6959,100.1224,101.1888,1435683.0
2020-10-25,102.4315,102.6959,100.1224,101.1888,1435683.0
2020-10-26,99.9108,99.9461,97.02,98.3861,1739901.0
2020-10-27,97.8837,97.9013,96.0505,96.2356,1793892.0
2020-10-28,94.9312,97.0112,94.8712,95.8213,3221725.0
2020-10-29,95.3542,97.5312,94.1732,96.7908,1813073.0
2020-10-30,96.4735,98.721,95.7023,98.6064,2261486.0
2020-10-31,96.4735,98.721,95.7023,98.6064,2261486.0
2020-11-01,96.4735,98.721,95.7023,98.6064,2261486.0
2020-11-02,100.0254,102.361,98.8794,100.8715,3411610.0
2020-11-03,103.3746,105.8336,102.9956,105.2254,3057524.0
2020-11-04,102.4139,102.6695,98.8885,99.4702,2136108.0
2020-11-05,99.7081,103.6478,99.6817,103.2688,2069346.0
2020-11-06,103.8593,103.8593,100.5983,101.0742,1682257.0
2020-11-07,103.8593,103.8593,100.5983,101.0742,1682257.0
2020-11-08,103.8593,103.8593,100.5983,101.0742,1682257.0
2020-11-09,110.6634,114.1888,110.2139,112.7963,3978731.0
2020-11-10,113.6953,113.6953,111.0512,111.7034,3765841.0
2020-11-11,112.2851,112.2851,108.4248,110.5577,3130670.0
2020-11-12,108.6804,108.6804,104.6966,106.6444,2269947.0
2020-11-13,107.5258,109.0946,107.0851,108.2132,1560944.0
2020-11-14,107.5258,109.0946,107.0851,108.2132,1560944.0
2020-11-15,107.5258,109.0946,107.0851,108.2132,1560944.0
2020-11-16,110.8485,111.9502,109.7292,111.3068,5430962.0
2020-11-17,110.0993,111.9943,108.6451,111.8356,3668146.0
2020-11-18,112.3909,115.7312,111.5536,113.9597,3782353.0
2020-11-19,112.8668,114.8939,111.2716,114.8411,2205654.0
2020-11-20,113.5278,114.8587,112.5936,113.6072,2247054.0
2020-11-21,113.5278,114.8587,112.5936,113.6072,2247054.0
2020-11-22,113.5278,114.8587,112.5936,113.6072,2247054.0
2020-11-23,116.5333,118.2431,115.1539,117.7936,2151646.0
2020-11-24,120.4289,123.6018,119.997,123.4872,2936191.0
2020-11-25,122.597,124.9943,121.1692,123.9631,3066744.0
2020-11-26,122.597,124.9943,121.1692,123.9631,3066744.0
2020-11-27,123.9191,123.9984,122.2885,123.2052,1178239.0
2020-11-28,123.9191,123.9984,122.2885,123.2052,1178239.0
2020-11-29,123.9191,123.9984,122.2885,123.2052,1178239.0
2020-11-30,121.8743,122.9848,121.4248,121.6892,4297660.0
2020-12-01,123.6018,124.6241,123.2933,124.0248,3129512.0
2020-12-02,123.3021,124.8753,123.0729,124.6065,1849423.0
2020-12-03,124.0248,125.2675,123.2493,124.4919,2609943.0
2020-12-04,125.858,126.475,124.6506,125.6201,1526333.0
2020-12-05,125.858,126.475,124.6506,125.6201,1526333.0
2020-12-06,125.858,126.475,124.6506,125.6201,1526333.0
2020-12-07,124.6594,125.1089,122.9672,124.9855,1634310.0
2020-12-08,123.4431,125.5318,123.214,124.6506,1364850.0
2020-12-09,125.7346,126.757,124.7035,126.2811,2054039.0
2020-12-10,125.5936,127.0479,124.8577,126.9069,1635923.0
2020-12-11,125.9814,126.7041,122.7733,126.616,1541057.0
2020-12-12,125.9814,126.7041,122.7733,126.616,1541057.0
2020-12-13,125.9814,126.7041,122.7733,126.616,1541057.0
2020-12-14,128.1231,128.1672,124.298,124.9679,2210876.0
2020-12-15,125.717,126.6072,124.3342,126.1665,2206493.0
2020-12-16,126.7835,128.2201,125.9285,128.0174,1767705.0
2020-12-17,127.7706,128.4052,126.5455,127.8147,1565821.0
2020-12-18,127.7794,128.2289,126.237,127.7177,4523560.0
2020-12-19,127.7794,128.2289,126.237,127.7177,4523560.0
2020-12-20,127.7794,128.2289,126.237,127.7177,4523560.0
2020-12-21,128.7225,129.7625,125.7346,127.4445,2646529.0
2020-12-22,127.7177,127.9557,125.5936,126.6777,2197352.0
2020-12-23,127.6119,130.1503,127.0567,129.2953,1317136.0
2020-12-24,129.0574,129.2865,127.5088,128.8106,518813.0
2020-12-25,129.0574,129.2865,127.5088,128.8106,518813.0
2020-12-26,129.0574,129.2865,127.5088,128.8106,518813.0
2020-12-27,129.0574,129.2865,127.5088,128.8106,518813.0
2020-12-28,129.5774,130.776,128.5462,129.1543,1686823.0
2020-12-29,129.1984,129.2689,127.4797,127.6825,1015569.0
2020-12-30,128.2113,129.8594,127.8714,129.4628,1002621.0
2020-12-31,129.3394,131.5956,128.5286,131.3225,1353944.0
2021-01-01,129.3394,131.5956,128.5286,131.3225,1353944.0
2021-01-02,129.3394,131.5956,128.5286,131.3225,1353944.0
2021-01-03,129.3394,131.5956,128.5286,131.3225,1353944.0
2021-01-04,131.9218,131.9923,128.7225,131.4547,2229508.0
2021-01-05,131.4987,132.7018,129.8153,130.7584,2907575.0
2021-01-06,134.2398,139.475,134.0987,137.9415,3066996.0
2021-01-07,140.233,143.4323,140.092,140.1361,2520754.0
2021-01-08,139.6777,140.33,137.5801,139.4222,1842260.0
2021-01-09,139.6777,140.33,137.5801,139.4222,1842260.0
2021-01-10,139.6777,140.33,137.5801,139.4222,1842260.0
2021-01-11,138.5496,140.9822,137.016,140.471,1978697.0
2021-01-12,141.8988,143.353,140.6472,142.5422,2025349.0
2021-01-13,141.0703,142.3395,139.5015,140.2242,1986860.0
2021-01-14,141.1144,142.8418,140.6164,142.3395,2036931.0
2021-01-15,139.5255,140.9103,137.0312,137.3951,3289196.0
2021-01-16,139.5255,140.9103,137.0312,137.3951,3289196.0
2021-01-17,139.5255,140.9103,137.0312,137.3951,3289196.0
2021-01-18,139.5255,140.9103,137.0312,137.3951,3289196.0
2021-01-19,138.265,138.9397,136.8891,138.4781,2560881.0
2021-01-20,138.4781,138.8598,137.2886,138.7089,1635918.0
2021-01-21,138.7355,138.7355,135.8017,136.4275,2285974.0
2021-01-22,134.4569,135.8683,134.3326,135.4333,1835419.0
2021-01-23,134.4569,135.8683,134.3326,135.4333,1835419.0
2021-01-24,134.4569,135.8683,134.3326,135.4333,1835419.0
2021-01-25,133.4716,134.1276,130.3736,133.5692,2043883.0
2021-01-26,134.3681,134.6566,131.2169,131.4299,1775485.0
2021-01-27,129.4504,129.4504,125.6955,128.2165,2958692.0
2021-01-28,130.2759,132.069,129.1397,131.1902,1515868.0
2021-01-29,131.0837,131.1725,126.916,127.3998,2686765.0
2021-01-30,131.0837,131.1725,126.916,127.3998,2686765.0
2021-01-31,131.0837,131.1725,126.916,127.3998,2686765.0
2021-02-01,128.4828,129.8676,127.5507,129.477,1482144.0
2021-02-02,131.2257,135.7263,130.9861,133.5071,1778132.0
2021-02-03,133.1076,135.3712,133.0632,135.1049,1784208.0
2021-02-04,136.1612,139.1527,136.108,139.0817,1569607.0
2021-02-05,140.2712,140.6973,138.3671,139.3125,1260306.0
2021-02-06,140.2712,140.6973,138.3671,139.3125,1260306.0
2021-02-07,140.2712,140.6973,138.3671,139.3125,1260306.0
2021-02-08,139.1971,140.9902,139.0906,140.9547,1310660.0
2021-02-09,140.2357,140.8393,139.0284,140.3777,1555700.0
2021-02-10,141.5228,142.8987,140.1736,142.1264,1628341.0
2021-02-11,141.869,143.1828,139.996,141.4163,1387505.0
2021-02-12,141.6649,144.248,141.4341,144.0438,1230833.0
2021-02-13,141.6649,144.248,141.4341,144.0438,1230833.0
2021-02-14,141.6649,144.248,141.4341,144.0438,1230833.0
2021-02-15,141.6649,144.248,141.4341,144.0438,1230833.0
2021-02-16,145.1534,151.7933,144.4699,150.8257,2947673.0
2021-02-17,150.3375,151.0121,147.9585,148.7308,2278792.0
2021-02-18,147.5413,148.6442,145.9879,148.1627,1270213.0
2021-02-19,148.5266,151.9886,148.3047,151.2695,1380597.0
2021-02-20,148.5266,151.9886,148.3047,151.2695,1380597.0
2021-02-21,148.5266,151.9886,148.3047,151.2695,1380597.0
2021-02-22,150.8878,152.6898,150.5505,151.3672,1850582.0
2021-02-23,154.0302,154.4652,151.0476,153.7639,2449459.0
2021-02-24,154.1634,159.2143,154.1634,158.4331,2008284.0
2021-02-25,160.0487,160.5369,153.7462,153.7994,1793169.0
2021-02-26,152.7964,153.2269,149.3788,149.4498,2749400.0
2021-02-27,152.7964,153.2269,149.3788,149.4498,2749400.0
2021-02-28,152.7964,153.2269,149.3788,149.4498,2749400.0
2021-03-01,152.1217,154.8824,150.6482,153.6308,2143882.0
