,LH US Equity,LH US Equity,LH US Equity,LH US Equity,LH US Equity
2020-03-22,97.986,101.714,89.196,89.858,1672868.0
2020-03-23,89.364,90.905,84.068,87.411,1119076.0
2020-03-24,92.564,99.393,91.006,98.681,1299938.0
2020-03-25,99.477,106.34,97.491,102.913,1129760.0
2020-03-26,103.583,116.001,103.181,114.836,1589925.0
2020-03-27,110.496,111.69,105.879,107.848,1058667.0
2020-03-28,110.496,111.69,105.879,107.848,1058667.0
2020-03-29,110.496,111.69,105.879,107.848,1058667.0
2020-03-30,107.253,111.091,103.357,110.563,971513.0
2020-03-31,109.557,109.993,103.114,105.904,1273727.0
2020-04-01,100.391,100.86,95.782,97.341,1361470.0
2020-04-02,97.114,99.511,93.67,97.206,897345.0
2020-04-03,96.452,97.022,92.504,94.944,931755.0
2020-04-04,96.452,97.022,92.504,94.944,931755.0
2020-04-05,96.452,97.022,92.504,94.944,931755.0
2020-04-06,100.868,107.194,99.745,105.921,918387.0
2020-04-07,112.071,118.674,109.105,111.82,1705611.0
2020-04-08,113.403,121.665,112.775,118.28,1130251.0
2020-04-09,121.221,125.402,118.984,123.006,1515889.0
2020-04-10,121.221,125.402,118.984,123.006,1515889.0
2020-04-11,121.221,125.402,118.984,123.006,1515889.0
2020-04-12,121.221,125.402,118.984,123.006,1515889.0
2020-04-13,123.936,124.172,116.487,117.685,537759.0
2020-04-14,119.763,121.498,118.46,121.229,630061.0
2020-04-15,118.146,119.474,115.976,118.548,655787.0
2020-04-16,119.361,119.361,114.275,116.076,915167.0
2020-04-17,119.453,124.849,118.414,124.447,1394923.0
2020-04-18,119.453,124.849,118.414,124.447,1394923.0
2020-04-19,119.453,124.849,118.414,124.447,1394923.0
2020-04-20,121.741,124.133,119.888,122.009,961267.0
2020-04-21,128.201,128.201,122.009,124.162,1921972.0
2020-04-22,133.597,133.614,126.223,129.148,2124359.0
2020-04-23,130.296,136.921,130.296,133.79,1822390.0
2020-04-24,135.323,138.75,131.41,137.183,1799706.0
2020-04-25,135.323,138.75,131.41,137.183,1799706.0
2020-04-26,135.323,138.75,131.41,137.183,1799706.0
2020-04-27,145.37,150.865,142.529,149.559,2519492.0
2020-04-28,155.023,157.277,146.343,147.439,1909537.0
2020-04-29,138.256,150.649,133.069,145.361,2232610.0
2020-04-30,141.331,142.881,137.627,137.795,1681744.0
2020-05-01,134.695,135.197,128.804,133.254,1479114.0
2020-05-02,134.695,135.197,128.804,133.254,1479114.0
2020-05-03,134.695,135.197,128.804,133.254,1479114.0
2020-05-04,131.427,133.212,130.405,132.097,1036182.0
2020-05-05,133.807,138.18,133.538,136.371,871474.0
2020-05-06,137.25,138.147,133.111,133.312,612157.0
2020-05-07,134.586,136.111,133.631,134.217,518785.0
2020-05-08,136.077,140.284,134.569,140.15,665216.0
2020-05-09,136.077,140.284,134.569,140.15,665216.0
2020-05-10,136.077,140.284,134.569,140.15,665216.0
2020-05-11,138.256,142.441,136.936,141.499,931917.0
2020-05-12,143.015,144.477,136.852,136.857,1246254.0
2020-05-13,140.066,140.066,131.075,132.969,1353125.0
2020-05-14,130.656,137.418,130.037,137.208,1131834.0
2020-05-15,138.046,141.411,136.655,140.292,923251.0
2020-05-16,138.046,141.411,136.655,140.292,923251.0
2020-05-17,138.046,141.411,136.655,140.292,923251.0
2020-05-18,143.853,144.75,139.999,140.007,956972.0
2020-05-19,139.111,141.783,137.51,139.94,628711.0
2020-05-20,142.923,145.738,142.161,142.881,819029.0
2020-05-21,143.166,145.889,142.085,144.389,586349.0
2020-05-22,144.699,144.968,141.884,142.579,544948.0
2020-05-23,144.699,144.968,141.884,142.579,544948.0
2020-05-24,144.699,144.968,141.884,142.579,544948.0
2020-05-25,144.699,144.968,141.884,142.579,544948.0
2020-05-26,146.87,146.87,140.895,141.247,831584.0
2020-05-27,142.915,146.635,139.731,146.518,859791.0
2020-05-28,147.649,150.129,145.16,147.188,811867.0
2020-05-29,147.188,148.897,144.255,146.903,1135061.0
2020-05-30,147.188,148.897,144.255,146.903,1135061.0
2020-05-31,147.188,148.897,144.255,146.903,1135061.0
2020-06-01,145.856,150.087,145.856,148.328,527006.0
2020-06-02,149.308,150.975,148.051,150.674,1012068.0
2020-06-03,152.919,153.481,149.995,150.146,569923.0
2020-06-04,150.112,153.556,149.153,151.361,1030840.0
2020-06-05,154.059,155.701,150.079,150.607,667634.0
2020-06-06,154.059,155.701,150.079,150.607,667634.0
2020-06-07,154.059,155.701,150.079,150.607,667634.0
2020-06-08,150.573,154.637,150.179,152.869,768432.0
2020-06-09,152.5,153.816,149.635,149.936,565619.0
2020-06-10,149.744,150.774,146.338,146.719,659152.0
2020-06-11,142.605,143.2,136.915,137.041,975898.0
2020-06-12,142.588,142.588,136.199,140.543,766697.0
2020-06-13,142.588,142.588,136.199,140.543,766697.0
2020-06-14,142.588,142.588,136.199,140.543,766697.0
2020-06-15,136.63,143.899,136.186,142.873,616128.0
2020-06-16,146.71,147.129,141.746,145.562,775437.0
2020-06-17,146.358,146.358,142.324,142.63,579182.0
2020-06-18,141.608,142.387,140.409,141.13,515021.0
2020-06-19,144.347,144.347,136.035,136.035,1782121.0
2020-06-20,144.347,144.347,136.035,136.035,1782121.0
2020-06-21,144.347,144.347,136.035,136.035,1782121.0
2020-06-22,136.077,138.784,135.256,138.34,990032.0
2020-06-23,139.722,139.722,135.792,135.968,836050.0
2020-06-24,134.343,135.616,130.42,131.628,971176.0
2020-06-25,131.62,135.298,130.48,135.172,1019121.0
2020-06-26,134.946,137.116,134.355,135.709,1088625.0
2020-06-27,134.946,137.116,134.355,135.709,1088625.0
2020-06-28,134.946,137.116,134.355,135.709,1088625.0
2020-06-29,136.58,136.681,133.429,135.767,593206.0
2020-06-30,135.968,139.831,134.804,139.186,904508.0
2020-07-01,139.077,140.803,136.79,139.957,749494.0
2020-07-02,141.75,143.434,140.987,142.672,1071452.0
2020-07-03,141.75,143.434,140.987,142.672,1071452.0
2020-07-04,141.75,143.434,140.987,142.672,1071452.0
2020-07-05,141.75,143.434,140.987,142.672,1071452.0
2020-07-06,144.641,145.78,143.283,144.616,675541.0
2020-07-07,144.012,146.224,143.908,145.06,991966.0
2020-07-08,145.06,146.442,144.075,146.183,763375.0
2020-07-09,145.646,146.317,142.705,145.06,622038.0
2020-07-10,145.294,146.241,143.116,144.691,562482.0
2020-07-11,145.294,146.241,143.116,144.691,562482.0
2020-07-12,145.294,146.241,143.116,144.691,562482.0
2020-07-13,149.149,153.292,147.121,149.367,1222521.0
2020-07-14,152.073,157.503,150.087,157.394,1279158.0
2020-07-15,159.204,159.933,155.995,158.156,865973.0
2020-07-16,157.737,162.555,156.908,159.581,548107.0
2020-07-17,160.611,163.242,160.611,162.262,673893.0
2020-07-18,160.611,163.242,160.611,162.262,673893.0
2020-07-19,160.611,163.242,160.611,162.262,673893.0
2020-07-20,162.555,164.474,161.206,163.795,585867.0
2020-07-21,164.131,165.765,163.904,164.91,580144.0
2020-07-22,165.53,168.153,165.115,167.642,801738.0
2020-07-23,166.996,169.158,165.212,166.544,680612.0
2020-07-24,165.899,166.913,162.622,166.527,811332.0
2020-07-25,165.899,166.913,162.622,166.527,811332.0
2020-07-26,165.899,166.913,162.622,166.527,811332.0
2020-07-27,165.857,168.953,165.153,168.672,903266.0
2020-07-28,170.113,173.23,163.427,164.684,1436702.0
2020-07-29,166.075,167.164,162.706,163.067,1036266.0
2020-07-30,162.044,163.67,160.435,163.259,750325.0
2020-07-31,163.016,163.469,158.835,161.65,640071.0
2020-08-01,163.016,163.469,158.835,161.65,640071.0
2020-08-02,163.016,163.469,158.835,161.65,640071.0
2020-08-03,161.24,165.945,161.114,164.248,523421.0
2020-08-04,163.552,164.558,161.709,163.201,469996.0
2020-08-05,164.072,164.709,161.717,162.153,592959.0
2020-08-06,161.919,162.87,157.863,159.011,797266.0
2020-08-07,158.475,161.826,158.475,161.81,807768.0
2020-08-08,158.475,161.826,158.475,161.81,807768.0
2020-08-09,158.475,161.826,158.475,161.81,807768.0
2020-08-10,161.474,162.027,156.841,157.008,762164.0
2020-08-11,157.193,158.969,152.551,155.961,903921.0
2020-08-12,156.757,158.533,155.567,157.612,529746.0
2020-08-13,156.832,159.79,155.785,159.698,504778.0
2020-08-14,159.547,160.138,157.93,159.07,422293.0
2020-08-15,159.547,160.138,157.93,159.07,422293.0
2020-08-16,159.547,160.138,157.93,159.07,422293.0
2020-08-17,159.673,159.944,155.659,157.327,897246.0
2020-08-18,157.436,158.408,155.45,156.288,518574.0
2020-08-19,157.251,157.251,152.685,153.095,687842.0
2020-08-20,152.19,155.299,151.981,152.232,584149.0
2020-08-21,152.232,152.731,150.699,151.344,800272.0
2020-08-22,152.232,152.731,150.699,151.344,800272.0
2020-08-23,152.232,152.731,150.699,151.344,800272.0
2020-08-24,151.973,152.065,148.923,150.045,618916.0
2020-08-25,149.819,150.85,148.286,150.464,848152.0
2020-08-26,149.802,150.506,148.118,150.23,1057926.0
2020-08-27,145.755,149.325,142.487,146.015,2923132.0
2020-08-28,146.199,148.805,144.423,148.654,1105566.0
2020-08-29,146.199,148.805,144.423,148.654,1105566.0
2020-08-30,146.199,148.805,144.423,148.654,1105566.0
2020-08-31,147.992,148.914,147.247,147.263,687691.0
2020-09-01,147.18,148.914,144.465,145.889,838197.0
2020-09-02,146.635,148.948,144.993,148.244,631501.0
2020-09-03,148.378,149.459,144.595,146.4,709968.0
2020-09-04,146.836,148.537,143.468,147.238,758857.0
2020-09-05,146.836,148.537,143.468,147.238,758857.0
2020-09-06,146.836,148.537,143.468,147.238,758857.0
2020-09-07,146.836,148.537,143.468,147.238,758857.0
2020-09-08,146.149,147.473,143.434,145.571,751492.0
2020-09-09,146.576,148.608,144.968,147.238,779593.0
2020-09-10,148.328,154.553,147.98,152.157,1382077.0
2020-09-11,153.489,153.489,150.556,152.056,495949.0
2020-09-12,153.489,153.489,150.556,152.056,495949.0
2020-09-13,153.489,153.489,150.556,152.056,495949.0
2020-09-14,152.333,154.185,151.352,153.447,597321.0
2020-09-15,154.185,158.207,153.69,155.785,632851.0
2020-09-16,157.151,157.377,154.712,155.274,691926.0
2020-09-17,154.034,154.034,151.503,153.389,613818.0
2020-09-18,153.079,154.62,151.52,153.673,775643.0
2020-09-19,153.079,154.62,151.52,153.673,775643.0
2020-09-20,153.079,154.62,151.52,153.673,775643.0
2020-09-21,151.327,155.157,149.643,154.453,756721.0
2020-09-22,153.715,156.103,152.618,154.93,593080.0
2020-09-23,154.679,154.679,149.417,149.719,703059.0
2020-09-24,149.4,150.887,147.883,149.023,429946.0
2020-09-25,148.939,152.375,148.202,151.654,449503.0
2020-09-26,148.939,152.375,148.202,151.654,449503.0
2020-09-27,148.939,152.375,148.202,151.654,449503.0
2020-09-28,153.38,156.036,153.38,154.235,425877.0
2020-09-29,155.257,158.064,154.42,156.246,551452.0
2020-09-30,155.835,159.07,155.71,157.754,660562.0
2020-10-01,158.466,160.435,155.752,156.615,465049.0
2020-10-02,154.595,159.12,153.682,157.52,449390.0
2020-10-03,154.595,159.12,153.682,157.52,449390.0
2020-10-04,154.595,159.12,153.682,157.52,449390.0
2020-10-05,158.969,162.807,158.869,161.768,715587.0
2020-10-06,161.969,164.198,160.1,160.134,389540.0
2020-10-07,161.407,163.113,160.846,161.307,525244.0
2020-10-08,162.237,163.195,160.293,162.773,331275.0
2020-10-09,163.804,164.952,162.832,164.03,344602.0
2020-10-10,163.804,164.952,162.832,164.03,344602.0
2020-10-11,163.804,164.952,162.832,164.03,344602.0
2020-10-12,164.742,165.111,162.061,162.262,349120.0
2020-10-13,160.972,163.863,160.226,162.765,557658.0
2020-10-14,163.41,165.145,160.502,161.609,383611.0
2020-10-15,160.31,162.463,159.204,161.5,457822.0
2020-10-16,162.991,169.56,162.884,166.82,761483.0
2020-10-17,162.991,169.56,162.884,166.82,761483.0
2020-10-18,162.991,169.56,162.884,166.82,761483.0
2020-10-19,166.636,168.655,166.242,167.507,613296.0
2020-10-20,168.781,173.473,168.781,171.948,918033.0
2020-10-21,171.446,172.77,170.122,170.231,652199.0
2020-10-22,171.412,172.325,169.141,171.99,609980.0
2020-10-23,173.44,176.976,172.686,173.859,677391.0
2020-10-24,173.44,176.976,172.686,173.859,677391.0
2020-10-25,173.44,176.976,172.686,173.859,677391.0
2020-10-26,171.99,172.317,167.642,169.225,788600.0
2020-10-27,169.686,178.032,169.2,173.021,1147553.0
2020-10-28,170.281,174.454,169.2,170.935,613377.0
2020-10-29,170.692,170.935,163.863,167.181,885858.0
2020-10-30,166.711,167.809,164.34,167.39,533975.0
2020-10-31,166.711,167.809,164.34,167.39,533975.0
2020-11-01,166.711,167.809,164.34,167.39,533975.0
2020-11-02,171.261,174.119,169.456,173.641,693644.0
2020-11-03,175.258,177.847,175.07,176.373,781797.0
2020-11-04,177.638,181.157,176.347,177.395,980903.0
2020-11-05,180.16,183.311,178.543,179.666,601992.0
2020-11-06,179.808,182.464,178.861,179.255,535895.0
2020-11-07,179.808,182.464,178.861,179.255,535895.0
2020-11-08,179.808,182.464,178.861,179.255,535895.0
2020-11-09,176.381,177.11,162.97,166.368,1509521.0
2020-11-10,167.466,168.84,161.542,168.555,1001869.0
2020-11-11,170.256,172.669,169.264,170.516,635846.0
2020-11-12,170.985,171.504,167.541,168.873,499692.0
2020-11-13,170.021,170.566,167.021,167.239,658616.0
2020-11-14,170.021,170.566,167.021,167.239,658616.0
2020-11-15,170.021,170.566,167.021,167.239,658616.0
2020-11-16,168.924,173.021,164.6,171.353,711843.0
2020-11-17,169.384,172.124,167.843,171.58,678133.0
2020-11-18,172.325,172.644,166.422,166.77,626444.0
2020-11-19,167.239,168.253,165.086,166.552,539963.0
2020-11-20,166.393,172.342,166.393,169.87,763189.0
2020-11-21,166.393,172.342,166.393,169.87,763189.0
2020-11-22,166.393,172.342,166.393,169.87,763189.0
2020-11-23,171.286,172.351,165.966,166.217,613376.0
2020-11-24,167.181,168.383,165.01,166.544,578583.0
2020-11-25,166.745,167.038,163.72,164.617,518421.0
2020-11-26,166.745,167.038,163.72,164.617,518421.0
2020-11-27,165.806,168.379,165.061,167.583,216761.0
2020-11-28,165.806,168.379,165.061,167.583,216761.0
2020-11-29,165.806,168.379,165.061,167.583,216761.0
2020-11-30,167.583,168.932,165.756,167.449,582851.0
2020-12-01,168.572,169.912,167.239,168.806,411974.0
2020-12-02,168.806,169.801,165.932,166.611,410778.0
2020-12-03,167.021,167.952,164.131,164.767,822431.0
2020-12-04,165.069,166.963,164.156,166.619,1078796.0
2020-12-05,165.069,166.963,164.156,166.619,1078796.0
2020-12-06,165.069,166.963,164.156,166.619,1078796.0
2020-12-07,165.899,167.549,164.281,165.346,625780.0
2020-12-08,164.692,169.82,164.692,169.342,633748.0
2020-12-09,169.183,169.787,167.323,169.569,506145.0
2020-12-10,169.963,174.538,169.535,173.943,795522.0
2020-12-11,173.088,173.859,169.82,171.069,870106.0
2020-12-12,173.088,173.859,169.82,171.069,870106.0
2020-12-13,173.088,173.859,169.82,171.069,870106.0
2020-12-14,172.007,173.859,171.027,171.027,851089.0
2020-12-15,172.284,172.853,171.094,172.418,526948.0
2020-12-16,173.448,174.077,168.647,169.234,865589.0
2020-12-17,170.273,170.449,168.597,169.837,699444.0
2020-12-18,169.485,172.066,168.89,171.865,1261534.0
2020-12-19,169.485,172.066,168.89,171.865,1261534.0
2020-12-20,169.485,172.066,168.89,171.865,1261534.0
2020-12-21,169.669,171.831,168.505,171.705,585614.0
2020-12-22,171.555,171.948,169.632,170.423,392021.0
2020-12-23,170.239,171.588,169.72,170.985,434049.0
2020-12-24,171.772,171.772,169.879,170.826,206012.0
2020-12-25,171.772,171.772,169.879,170.826,206012.0
2020-12-26,171.772,171.772,169.879,170.826,206012.0
2020-12-27,171.772,171.772,169.879,170.826,206012.0
2020-12-28,172.099,172.862,168.815,169.694,824879.0
2020-12-29,170.071,170.733,168.27,169.426,568873.0
2020-12-30,169.686,170.516,168.408,168.848,398771.0
2020-12-31,168.546,170.708,167.97,170.557,372230.0
2021-01-01,168.546,170.708,167.97,170.557,372230.0
2021-01-02,168.546,170.708,167.97,170.557,372230.0
2021-01-03,168.546,170.708,167.97,170.557,372230.0
2021-01-04,170.356,172.131,168.153,171.672,789346.0
2021-01-05,172.602,176.063,172.049,174.94,639228.0
2021-01-06,173.674,183.051,173.674,181.953,756143.0
2021-01-07,183.285,184.635,181.762,182.908,635536.0
2021-01-08,182.255,183.629,176.075,178.937,858647.0
2021-01-09,182.255,183.629,176.075,178.937,858647.0
2021-01-10,182.255,183.629,176.075,178.937,858647.0
2021-01-11,178.92,181.995,178.149,181.827,651761.0
2021-01-12,181.827,184.76,181.626,184.509,676219.0
2021-01-13,184.19,186.254,184.081,184.391,656113.0
2021-01-14,185.271,186.13,183.956,184.509,553521.0
2021-01-15,184.241,187.534,182.738,187.45,628157.0
2021-01-16,184.241,187.534,182.738,187.45,628157.0
2021-01-17,184.241,187.534,182.738,187.45,628157.0
2021-01-18,184.241,187.534,182.738,187.45,628157.0
2021-01-19,189.662,190.475,185.263,189.151,925999.0
2021-01-20,189.369,192.72,188.363,192.645,811972.0
2021-01-21,191.556,193.365,190.718,191.422,635001.0
2021-01-22,191.757,192.016,189.947,191.799,612334.0
2021-01-23,191.757,192.016,189.947,191.799,612334.0
2021-01-24,191.757,192.016,189.947,191.799,612334.0
2021-01-25,192.578,192.578,187.115,188.899,711751.0
2021-01-26,188.799,189.654,185.975,185.992,505528.0
2021-01-27,183.319,184.333,178.35,179.992,872422.0
2021-01-28,181.073,185.539,180.462,184.165,764623.0
2021-01-29,185.883,196.323,184.253,191.807,931755.0
2021-01-30,185.883,196.323,184.253,191.807,931755.0
2021-01-31,185.883,196.323,184.253,191.807,931755.0
2021-02-01,192.452,199.323,191.966,196.415,914345.0
2021-02-02,198.192,199.214,195.552,195.561,643694.0
2021-02-03,195.301,195.628,188.816,191.036,532097.0
2021-02-04,190.399,192.842,187.182,187.508,651482.0
2021-02-05,189.243,190.378,187.86,189.829,528098.0
2021-02-06,189.243,190.378,187.86,189.829,528098.0
2021-02-07,189.243,190.378,187.86,189.829,528098.0
2021-02-08,191.732,192.452,187.282,189.343,642284.0
2021-02-09,189.134,191.279,187.157,190.022,732207.0
2021-02-10,191.866,194.505,190.877,192.05,647890.0
2021-02-11,196.91,200.68,191.053,198.762,1181171.0
2021-02-12,200.086,203.035,198.426,199.641,890099.0
2021-02-13,200.086,203.035,198.426,199.641,890099.0
2021-02-14,200.086,203.035,198.426,199.641,890099.0
2021-02-15,200.086,203.035,198.426,199.641,890099.0
2021-02-16,198.636,200.387,195.385,198.058,1073772.0
2021-02-17,197.748,211.531,197.228,203.571,1395608.0
2021-02-18,202.516,203.932,199.633,203.462,591138.0
2021-02-19,204.25,207.149,202.038,206.445,1144041.0
2021-02-20,204.25,207.149,202.038,206.445,1144041.0
2021-02-21,204.25,207.149,202.038,206.445,1144041.0
2021-02-22,204.258,205.959,201.384,204.334,719969.0
2021-02-23,204.887,211.381,199.164,207.091,1629131.0
2021-02-24,200.865,206.944,198.158,204.87,1031174.0
2021-02-25,203.027,205.067,196.935,198.192,779345.0
2021-02-26,198.904,202.507,196.288,201.024,1121581.0
2021-02-27,198.904,202.507,196.288,201.024,1121581.0
2021-02-28,198.904,202.507,196.288,201.024,1121581.0
2021-03-01,202.775,207.195,202.088,202.356,865040.0
2021-03-02,204.761,206.898,202.599,204.158,776109.0
2021-03-03,203.831,204.627,200.049,201.032,514121.0
2021-03-04,199.675,201.979,194.832,196.826,684367.0
2021-03-05,199.231,200.111,193.466,199.256,661381.0
2021-03-06,199.231,200.111,193.466,199.256,661381.0
2021-03-07,199.231,200.111,193.466,199.256,661381.0
2021-03-08,199.021,205.909,198.418,201.577,597852.0
2021-03-09,203.052,205.281,200.044,200.446,723599.0
2021-03-10,202.591,203.077,194.094,194.916,980254.0
2021-03-11,195.821,199.344,195.821,198.829,1089906.0
2021-03-12,198.435,200.094,196.005,200.019,501586.0
2021-03-13,198.435,200.094,196.005,200.019,501586.0
2021-03-14,198.435,200.094,196.005,200.019,501586.0
2021-03-15,199.851,201.539,198.636,201.041,530659.0
2021-03-16,200.613,201.284,198.586,200.035,424550.0
2021-03-17,199.633,202.189,198.762,200.06,422172.0
2021-03-18,200.722,202.616,199.658,201.041,570578.0
2021-03-19,200.479,202.708,199.7,201.284,754269.0
2021-03-20,200.479,202.708,199.7,201.284,754269.0
2021-03-21,200.479,202.708,199.7,201.284,754269.0
2021-03-22,200.764,204.531,199.432,203.697,436695.0
2021-03-23,202.792,203.714,199.675,200.077,404144.0
2021-03-24,207.384,213.594,206.303,209.831,1533127.0
2021-03-25,208.222,209.336,203.772,208.205,1077907.0
2021-03-26,208.951,211.942,207.945,211.867,372782.0
2021-03-27,208.951,211.942,207.945,211.867,372782.0
2021-03-28,208.951,211.942,207.945,211.867,372782.0
2021-03-29,210.3,211.758,208.599,210.802,492229.0
2021-03-30,211.054,212.981,209.575,212.445,617076.0
2021-03-31,213.542,217.263,212.522,213.693,717441.0
2021-04-01,213.677,213.677,209.78,211.741,710818.0
2021-04-02,213.677,213.677,209.78,211.741,710818.0
2021-04-03,213.677,213.677,209.78,211.741,710818.0
2021-04-04,213.677,213.677,209.78,211.741,710818.0
2021-04-05,212.277,214.54,210.358,211.716,417163.0
2021-04-06,211.833,213.107,210.526,211.045,401288.0
2021-04-07,210.467,211.607,209.227,211.406,423946.0
2021-04-08,210.87,213.668,209.6,211.171,434173.0
2021-04-09,212.788,213.777,211.531,213.459,482529.0
2021-04-10,212.788,213.777,211.531,213.459,482529.0
2021-04-11,212.788,213.777,211.531,213.459,482529.0
2021-04-12,214.506,215.998,212.763,214.221,529147.0
2021-04-13,214.456,215.755,212.822,212.872,552529.0
2021-04-14,213.266,215.084,211.657,212.093,644652.0
2021-04-15,213.258,218.335,213.216,217.363,728301.0
2021-04-16,218.394,220.438,215.13,219.701,584980.0
2021-04-17,218.394,220.438,215.13,219.701,584980.0
2021-04-18,218.394,220.438,215.13,219.701,584980.0
2021-04-19,218.905,220.89,216.986,218.285,560130.0
2021-04-20,217.648,218.729,214.38,217.858,474678.0
2021-04-21,218.687,219.399,217.187,218.997,331114.0
2021-04-22,219.249,223.233,219.249,221.922,505284.0
2021-04-23,221.41,223.084,219.919,221.167,477369.0
2021-04-24,221.41,223.084,219.919,221.167,477369.0
2021-04-25,221.41,223.084,219.919,221.167,477369.0
2021-04-26,222.039,222.91,220.958,221.754,371326.0
2021-04-27,220.908,223.003,220.296,221.343,368382.0
2021-04-28,219.869,221.704,219.395,220.128,378447.0
2021-04-29,225.315,226.195,220.162,223.723,779696.0
2021-04-30,223.053,225.759,221.0,222.776,673698.0
2021-05-01,223.053,225.759,221.0,222.776,673698.0
2021-05-02,223.053,225.759,221.0,222.776,673698.0
2021-05-03,224.561,226.153,222.55,224.0,616659.0
2021-05-04,225.122,229.697,223.698,229.237,844335.0
2021-05-05,229.32,232.278,225.734,231.44,696980.0
