,PH US Equity,PH US Equity,PH US Equity,PH US Equity,PH US Equity
2019-02-10,148.0858,149.399,147.039,148.848,717742.0
2019-02-11,149.5551,150.8224,149.4954,150.4551,858780.0
2019-02-12,152.5396,157.0668,152.0529,156.1945,1376258.0
2019-02-13,157.3148,158.8575,156.7271,157.3699,858321.0
2019-02-14,156.0108,156.4332,154.5691,155.2578,808802.0
2019-02-15,156.7822,159.5279,156.4148,159.4728,873016.0
2019-02-16,156.7822,159.5279,156.4148,159.4728,873016.0
2019-02-17,156.7822,159.5279,156.4148,159.4728,873016.0
2019-02-18,156.7822,159.5279,156.4148,159.4728,873016.0
2019-02-19,158.4902,160.6391,157.9806,159.1698,675118.0
2019-02-20,159.6289,161.4747,159.0688,161.0156,559718.0
2019-02-21,160.0697,160.9237,159.1422,160.6482,903010.0
2019-02-22,161.337,162.9715,160.4554,161.4104,878790.0
2019-02-23,161.337,162.9715,160.4554,161.4104,878790.0
2019-02-24,161.337,162.9715,160.4554,161.4104,878790.0
2019-02-25,162.6501,163.7062,161.5941,161.8512,815359.0
2019-02-26,160.2993,162.5124,160.235,160.9237,597144.0
2019-02-27,160.7125,163.0817,160.2304,163.0358,707227.0
2019-02-28,162.9164,163.1001,161.4563,161.7686,1160299.0
2019-03-01,163.394,163.8899,160.6574,161.6676,799545.0
2019-03-02,163.394,163.8899,160.6574,161.6676,799545.0
2019-03-03,163.394,163.8899,160.6574,161.6676,799545.0
2019-03-04,162.0073,163.247,159.133,160.3085,931252.0
2019-03-05,160.3085,161.2543,159.6014,160.1248,640130.0
2019-03-06,160.1248,160.2625,158.1045,158.1688,719305.0
2019-03-07,158.178,158.178,155.1476,156.4516,740382.0
2019-03-08,154.5782,155.7583,153.7059,155.2211,724622.0
2019-03-09,154.5782,155.7583,153.7059,155.2211,724622.0
2019-03-10,154.5782,155.7583,153.7059,155.2211,724622.0
2019-03-11,155.3037,158.0953,155.1154,158.0311,577225.0
2019-03-12,158.279,158.6004,156.874,157.076,721198.0
2019-03-13,157.5719,159.3902,155.6343,158.4902,1067597.0
2019-03-14,157.7648,158.0127,155.7537,156.1026,914835.0
2019-03-15,156.0751,157.7923,156.0338,156.8189,1391671.0
2019-03-16,156.0751,157.7923,156.0338,156.8189,1391671.0
2019-03-17,156.0751,157.7923,156.0338,156.8189,1391671.0
2019-03-18,157.1679,160.1018,157.0485,159.8401,691263.0
2019-03-19,160.4921,161.8053,157.8841,158.481,733597.0
2019-03-20,158.2239,158.2606,154.2017,155.1109,1043818.0
2019-03-21,154.2385,156.8281,154.0273,155.6618,1193612.0
2019-03-22,154.7344,154.7344,149.0409,150.0418,1268538.0
2019-03-23,154.7344,154.7344,149.0409,150.0418,1268538.0
2019-03-24,154.7344,154.7344,149.0409,150.0418,1268538.0
2019-03-25,149.5735,151.6029,149.197,150.3449,731188.0
2019-03-26,151.6213,152.9253,150.9969,151.8601,574752.0
2019-03-27,152.0988,153.4487,150.7765,152.9896,997189.0
2019-03-28,153.6416,156.8051,153.6416,155.7078,833319.0
2019-03-29,157.2505,158.279,156.9016,157.5995,799322.0
2019-03-30,157.2505,158.279,156.9016,157.5995,799322.0
2019-03-31,157.2505,158.279,156.9016,157.5995,799322.0
2019-04-01,159.5738,163.6786,159.5738,163.3389,960612.0
2019-04-02,163.2287,163.7246,161.9614,163.0175,678505.0
2019-04-03,164.1929,165.9786,163.8531,164.8082,1126357.0
2019-04-04,164.9184,166.8927,164.4362,166.8284,619086.0
2019-04-05,167.0672,168.6742,166.2132,168.4171,970219.0
2019-04-06,167.0672,168.6742,166.2132,168.4171,970219.0
2019-04-07,167.0672,168.6742,166.2132,168.4171,970219.0
2019-04-08,167.3886,169.5007,166.3188,169.4823,618282.0
2019-04-09,168.1049,168.1049,165.7265,166.1305,911133.0
2019-04-10,165.6897,168.5732,165.6897,168.0957,803320.0
2019-04-11,168.3987,170.9516,167.5998,170.6853,783618.0
2019-04-12,171.5852,173.578,171.5852,173.229,885071.0
2019-04-13,171.5852,173.578,171.5852,173.229,885071.0
2019-04-14,171.5852,173.578,171.5852,173.229,885071.0
2019-04-15,172.7515,173.2015,171.6128,172.5127,827297.0
2019-04-16,173.1464,173.3943,172.1454,173.2106,949306.0
2019-04-17,174.3953,175.0748,172.0811,172.779,806994.0
2019-04-18,172.9443,174.7075,172.2372,174.4044,477384.0
2019-04-19,172.9443,174.7075,172.2372,174.4044,477384.0
2019-04-20,172.9443,174.7075,172.2372,174.4044,477384.0
2019-04-21,172.9443,174.7075,172.2372,174.4044,477384.0
2019-04-22,174.1014,175.3687,173.3668,174.4136,499153.0
2019-04-23,174.0922,174.9095,173.0637,173.881,733693.0
2019-04-24,173.8351,174.1106,172.0352,172.1454,686176.0
2019-04-25,169.8129,169.992,166.3601,167.1498,963842.0
2019-04-26,167.7192,169.2068,166.3509,168.0498,802570.0
2019-04-27,167.7192,169.2068,166.3509,168.0498,802570.0
2019-04-28,167.7192,169.2068,166.3509,168.0498,802570.0
2019-04-29,173.8167,174.9371,167.384,168.4814,1583143.0
2019-04-30,167.9028,168.059,164.2388,166.2866,1370194.0
2019-05-01,166.755,167.0947,163.7246,165.2857,1113789.0
2019-05-02,159.3626,161.7594,156.323,161.6951,1719522.0
2019-05-03,163.4582,165.4234,161.8145,165.1571,829129.0
2019-05-04,163.4582,165.4234,161.8145,165.1571,829129.0
2019-05-05,163.4582,165.4234,161.8145,165.1571,829129.0
2019-05-06,161.1625,163.2746,160.4141,162.5859,879913.0
2019-05-07,160.0697,160.2717,157.8841,159.2157,923384.0
2019-05-08,158.2606,159.0467,157.0301,157.9025,955450.0
2019-05-09,156.6472,158.761,155.0873,158.5487,772338.0
2019-05-10,157.3764,160.5424,154.9627,160.2563,1057100.0
2019-05-11,157.3764,160.5424,154.9627,160.2563,1057100.0
2019-05-12,157.3764,160.5424,154.9627,160.2563,1057100.0
2019-05-13,155.9919,157.6533,151.086,153.0659,2039858.0
2019-05-14,153.6381,155.7611,153.5281,154.0535,994004.0
2019-05-15,153.592,157.3026,152.9666,156.1026,1335617.0
2019-05-16,156.5549,158.161,156.278,156.4349,671363.0
2019-05-17,154.4504,154.9258,151.2198,151.2937,1007038.0
2019-05-18,154.4504,154.9258,151.2198,151.2937,1007038.0
2019-05-19,154.4504,154.9258,151.2198,151.2937,1007038.0
2019-05-20,150.2322,151.3767,149.5307,150.5183,794845.0
2019-05-21,152.0044,154.0997,151.9121,153.232,830864.0
2019-05-22,152.2721,153.3889,151.2198,151.2752,516868.0
2019-05-23,149.023,149.4753,144.8463,146.4108,1373516.0
2019-05-24,147.6846,148.9584,145.2109,146.1155,746634.0
2019-05-25,147.6846,148.9584,145.2109,146.1155,746634.0
2019-05-26,147.6846,148.9584,145.2109,146.1155,746634.0
2019-05-27,147.6846,148.9584,145.2109,146.1155,746634.0
2019-05-28,146.2816,147.2231,143.0879,143.291,1041401.0
2019-05-29,143.1248,145.1094,142.4695,143.9648,1211378.0
2019-05-30,144.2233,145.4744,144.1217,145.0263,882823.0
2019-05-31,142.7649,142.7649,140.4665,140.5958,815539.0
2019-06-01,142.7649,142.7649,140.4665,140.5958,815539.0
2019-06-02,142.7649,142.7649,140.4665,140.5958,815539.0
2019-06-03,140.7157,144.934,140.7157,144.2233,1064986.0
2019-06-04,145.9032,149.0507,144.7863,148.7922,1180239.0
2019-06-05,149.5307,150.1768,147.32,149.8722,695069.0
2019-06-06,149.2168,150.2968,147.7492,149.5399,705242.0
2019-06-07,150.6568,153.9704,150.3429,152.7982,1066128.0
2019-06-08,150.6568,153.9704,150.3429,152.7982,1066128.0
2019-06-09,150.6568,153.9704,150.3429,152.7982,1066128.0
2019-06-10,153.6843,155.0688,153.4074,153.9612,641383.0
2019-06-11,155.4104,156.8872,154.0535,154.2197,1357363.0
2019-06-12,154.2197,154.2658,151.9675,152.1521,737914.0
2019-06-13,152.6782,153.0566,151.1921,153.0382,688820.0
2019-06-14,152.2444,152.2721,149.3322,151.5706,553362.0
2019-06-15,152.2444,152.2721,149.3322,151.5706,553362.0
2019-06-16,152.2444,152.2721,149.3322,151.5706,553362.0
2019-06-17,151.7921,151.7921,148.8845,149.1153,672858.0
2019-06-18,150.2783,154.635,149.7707,153.7397,851813.0
2019-06-19,154.5243,155.2258,153.6105,154.7273,911303.0
2019-06-20,158.1702,158.9548,156.0842,158.8348,718357.0
2019-06-21,159.2779,159.684,157.6672,157.8748,1010771.0
2019-06-22,159.2779,159.684,157.6672,157.8748,1010771.0
2019-06-23,159.2779,159.684,157.6672,157.8748,1010771.0
2019-06-24,157.8472,159.1229,156.4811,156.7303,638270.0
2019-06-25,156.2411,157.8748,155.2811,155.595,778617.0
2019-06-26,156.2595,157.8841,156.2411,157.1364,740217.0
2019-06-27,157.2287,158.2625,155.4011,155.4842,838527.0
2019-06-28,156.3795,158.8117,155.5488,156.9241,1672420.0
2019-06-29,156.3795,158.8117,155.5488,156.9241,1672420.0
2019-06-30,156.3795,158.8117,155.5488,156.9241,1672420.0
2019-07-01,159.4163,159.4163,155.2534,156.8964,785841.0
2019-07-02,156.0657,156.2365,153.5089,154.6535,951115.0
2019-07-03,155.4657,155.7427,153.6889,155.6319,540914.0
2019-07-04,155.4657,155.7427,153.6889,155.6319,540914.0
2019-07-05,154.4689,155.0688,151.4967,153.8043,649349.0
2019-07-06,154.4689,155.0688,151.4967,153.8043,649349.0
2019-07-07,154.4689,155.0688,151.4967,153.8043,649349.0
2019-07-08,152.8259,154.8935,152.4936,153.0566,594882.0
2019-07-09,151.8106,151.8106,150.2045,150.786,985074.0
2019-07-10,149.4107,151.1275,147.62,149.3091,1241560.0
2019-07-11,148.9307,151.1921,148.5015,150.8414,1351607.0
2019-07-12,150.6198,156.3242,150.0199,156.0565,1435762.0
2019-07-13,150.6198,156.3242,150.0199,156.0565,1435762.0
2019-07-14,150.6198,156.3242,150.0199,156.0565,1435762.0
2019-07-15,155.8073,156.2688,154.0144,154.8473,756723.0
2019-07-16,153.3151,159.1302,153.0474,157.8748,1324256.0
2019-07-17,157.4226,157.7087,154.4606,154.4966,870620.0
2019-07-18,154.1181,155.0227,152.6874,153.0105,647944.0
2019-07-19,153.8874,157.4154,153.232,156.5549,1316961.0
2019-07-20,153.8874,157.4154,153.232,156.5549,1316961.0
2019-07-21,153.8874,157.4154,153.232,156.5549,1316961.0
2019-07-22,156.4995,158.2118,156.4995,157.1826,600472.0
2019-07-23,158.761,163.1638,157.9672,163.0807,877134.0
2019-07-24,161.447,165.956,160.5793,164.5299,927546.0
2019-07-25,164.9914,165.3883,162.3238,163.6438,588210.0
2019-07-26,162.5269,163.2561,160.7362,161.4285,731950.0
2019-07-27,162.5269,163.2561,160.7362,161.4285,731950.0
2019-07-28,162.5269,163.2561,160.7362,161.4285,731950.0
2019-07-29,161.3547,161.7054,158.641,159.4902,1019959.0
2019-07-30,158.8994,163.293,157.2472,163.1915,926440.0
2019-07-31,163.1177,165.7667,159.444,161.6039,1562334.0
2019-08-01,161.53,168.0651,158.9086,159.5548,2059821.0
2019-08-02,159.5455,159.7117,154.755,155.9826,991935.0
2019-08-03,159.5455,159.7117,154.755,155.9826,991935.0
2019-08-04,159.5455,159.7117,154.755,155.9826,991935.0
2019-08-05,152.3274,153.1397,149.7245,150.8875,874523.0
2019-08-06,152.3828,154.3581,150.6199,154.2012,738488.0
2019-08-07,151.0537,152.6044,148.7369,151.9767,637847.0
2019-08-08,153.2043,154.9673,152.992,154.5519,635098.0
2019-08-09,153.4628,153.5182,150.7306,151.8475,450893.0
2019-08-10,153.4628,153.5182,150.7306,151.8475,450893.0
2019-08-11,153.4628,153.5182,150.7306,151.8475,450893.0
2019-08-12,150.9337,151.099,148.7553,149.0692,504897.0
2019-08-13,148.5892,154.1966,148.0723,152.8905,689020.0
2019-08-14,149.5584,149.743,146.3001,146.6693,842650.0
2019-08-15,146.697,146.9093,144.011,145.4878,773860.0
2019-08-16,146.2816,149.8214,146.0693,149.3645,706814.0
2019-08-17,146.2816,149.8214,146.0693,149.3645,706814.0
2019-08-18,146.2816,149.8214,146.0693,149.3645,706814.0
2019-08-19,152.3828,152.909,150.9244,152.6136,531265.0
2019-08-20,151.9398,152.309,150.1768,150.8783,472260.0
2019-08-21,152.7336,153.2043,150.786,151.4506,616249.0
2019-08-22,152.2721,152.5397,150.546,151.7921,516680.0
2019-08-23,150.3983,151.8567,144.9155,145.8662,814525.0
2019-08-24,150.3983,151.8567,144.9155,145.8662,814525.0
2019-08-25,150.3983,151.8567,144.9155,145.8662,814525.0
2019-08-26,147.5646,148.1277,144.8878,146.3555,688102.0
2019-08-27,147.2372,147.6503,146.1142,146.4947,598622.0
2019-08-28,145.9563,148.3882,145.3013,147.8405,424452.0
2019-08-29,150.0032,152.4814,149.7619,152.3515,529586.0
2019-08-30,153.7252,155.3681,153.4003,153.8644,881127.0
2019-08-31,153.7252,155.3681,153.4003,153.8644,881127.0
2019-09-01,153.7252,155.3681,153.4003,153.8644,881127.0
2019-09-02,153.7252,155.3681,153.4003,153.8644,881127.0
2019-09-03,152.073,152.1102,147.5435,149.4092,801741.0
2019-09-04,150.9221,152.2958,150.6901,151.4883,564905.0
2019-09-05,153.4746,159.6145,153.4746,159.3129,813905.0
2019-09-06,160.1111,161.6611,158.2919,161.03,862012.0
2019-09-07,160.1111,161.6611,158.2919,161.03,862012.0
2019-09-08,160.1111,161.6611,158.2919,161.03,862012.0
2019-09-09,161.7168,164.9562,160.7794,164.7149,788726.0
2019-09-10,164.8634,168.4369,163.1926,168.2698,1027216.0
2019-09-11,168.409,171.2493,165.8844,171.2121,1079147.0
2019-09-12,171.3606,171.3885,166.8682,168.5575,910428.0
2019-09-13,170.2468,171.175,167.8428,169.1423,802422.0
2019-09-14,170.2468,171.175,167.8428,169.1423,802422.0
2019-09-15,170.2468,171.175,167.8428,169.1423,802422.0
2019-09-16,167.4066,168.5108,165.3739,166.3113,763761.0
2019-09-17,165.5688,166.4042,163.2112,166.2649,844922.0
2019-09-18,165.2811,166.367,163.2947,166.2464,687131.0
2019-09-19,166.5434,167.518,164.9562,165.0954,516907.0
2019-09-20,165.7823,166.9425,164.1951,164.325,1026754.0
2019-09-21,165.7823,166.9425,164.1951,164.325,1026754.0
2019-09-22,165.7823,166.9425,164.1951,164.325,1026754.0
2019-09-23,162.942,169.4207,161.8468,168.0563,1057660.0
2019-09-24,168.4369,168.7339,163.9352,164.9376,907519.0
2019-09-25,165.411,168.0377,164.1394,168.0006,729051.0
2019-09-26,167.1838,168.2884,166.5712,167.1838,686365.0
2019-09-27,168.2141,168.2605,165.643,167.4994,740551.0
2019-09-28,168.2141,168.2605,165.643,167.4994,740551.0
2019-09-29,168.2141,168.2605,165.643,167.4994,740551.0
2019-09-30,168.2791,168.2791,166.7661,167.6386,571673.0
2019-10-01,169.1887,170.4232,162.674,163.1091,801637.0
2019-10-02,161.3641,161.986,157.5818,159.0158,959785.0
2019-10-03,158.329,160.1297,155.5259,159.8326,719085.0
2019-10-04,160.4916,162.3294,158.2362,162.2088,730859.0
2019-10-05,160.4916,162.3294,158.2362,162.2088,730859.0
2019-10-06,160.4916,162.3294,158.2362,162.2088,730859.0
2019-10-07,160.8908,161.1042,157.7071,158.6074,860879.0
2019-10-08,156.6026,156.7391,154.2496,154.6441,794485.0
2019-10-09,156.5097,156.5283,154.4353,155.7858,727825.0
2019-10-10,155.6837,159.9904,155.6837,158.4868,616553.0
2019-10-11,161.4941,168.9334,161.4569,166.7569,1049951.0
2019-10-12,161.4941,168.9334,161.4569,166.7569,1049951.0
2019-10-13,161.4941,168.9334,161.4569,166.7569,1049951.0
2019-10-14,165.5781,166.6083,164.1301,165.643,518990.0
2019-10-15,165.3367,170.1726,164.0002,167.5922,839310.0
2019-10-16,167.7314,169.4207,166.7847,167.3045,740101.0
2019-10-17,168.7524,170.6923,168.3905,170.154,993141.0
2019-10-18,169.5692,171.8897,169.2722,171.2864,1112757.0
2019-10-19,169.5692,171.8897,169.2722,171.2864,1112757.0
2019-10-20,169.5692,171.8897,169.2722,171.2864,1112757.0
2019-10-21,172.4466,173.3377,169.8848,170.219,1025670.0
2019-10-22,170.2097,175.129,168.5437,173.4676,944783.0
2019-10-23,172.8086,175.0037,171.9268,174.0245,636417.0
2019-10-24,174.5536,174.9713,170.7759,172.4095,547523.0
2019-10-25,173.4026,177.8486,172.0382,177.004,878290.0
2019-10-26,173.4026,177.8486,172.0382,177.004,878290.0
2019-10-27,173.4026,177.8486,172.0382,177.004,878290.0
2019-10-28,178.2106,179.7328,175.8345,176.6977,1156157.0
2019-10-29,175.0826,179.6957,174.4793,179.0831,782714.0
2019-10-30,179.5472,180.2155,177.1803,180.0206,1534956.0
2019-10-31,175.4261,180.0206,168.9938,170.3118,2464186.0
2019-11-01,172.7251,181.9233,172.2146,181.8305,1663066.0
2019-11-02,172.7251,181.9233,172.2146,181.8305,1663066.0
2019-11-03,172.7251,181.9233,172.2146,181.8305,1663066.0
2019-11-04,184.0767,186.3322,182.2296,184.3459,1566515.0
2019-11-05,184.3087,186.6663,183.065,184.3923,872380.0
2019-11-06,183.5012,185.6175,181.9233,184.8657,1017472.0
2019-11-07,186.4598,187.7417,184.7257,185.7326,861187.0
2019-11-08,185.5555,186.898,184.6325,186.031,692095.0
2019-11-09,185.5555,186.898,184.6325,186.031,692095.0
2019-11-10,185.5555,186.898,184.6325,186.031,692095.0
2019-11-11,184.0825,185.8538,183.7934,185.3597,740682.0
2019-11-12,185.2292,185.5275,183.3553,184.1664,714714.0
2019-11-13,182.5628,184.2876,181.0898,182.1619,623101.0
2019-11-14,180.9779,182.5423,180.7262,181.0991,485075.0
2019-11-15,183.0942,184.2503,182.3204,183.3366,547877.0
2019-11-16,183.0942,184.2503,182.3204,183.3366,547877.0
2019-11-17,183.0942,184.2503,182.3204,183.3366,547877.0
2019-11-18,183.8867,184.2316,181.8916,183.262,497639.0
2019-11-19,184.2596,184.6698,182.1899,182.9637,742734.0
2019-11-20,182.1526,183.6909,180.0176,181.789,574554.0
2019-11-21,181.6492,183.8774,180.027,183.4671,825345.0
2019-11-22,184.1384,184.6698,182.8332,184.5113,724834.0
2019-11-23,184.1384,184.6698,182.8332,184.5113,724834.0
2019-11-24,184.1384,184.6698,182.8332,184.5113,724834.0
2019-11-25,185.2012,188.6041,184.1291,188.399,1177023.0
2019-11-26,187.5879,187.9981,185.5462,186.8141,1049751.0
2019-11-27,186.637,186.8327,183.9333,186.3013,1130116.0
2019-11-28,186.637,186.8327,183.9333,186.3013,1130116.0
2019-11-29,186.3479,186.4412,184.6791,185.3317,307672.0
2019-11-30,186.3479,186.4412,184.6791,185.3317,307672.0
2019-12-01,186.3479,186.4412,184.6791,185.3317,307672.0
2019-12-02,186.32,187.9888,183.7375,184.1104,919208.0
2019-12-03,181.6678,183.1875,179.3697,182.8705,796109.0
2019-12-04,184.4088,186.4785,183.6722,184.1011,802411.0
2019-12-05,184.6325,186.4691,184.6279,185.9098,665330.0
2019-12-06,186.5624,189.7229,186.5624,188.6787,1171509.0
2019-12-07,186.5624,189.7229,186.5624,188.6787,1171509.0
2019-12-08,186.5624,189.7229,186.5624,188.6787,1171509.0
2019-12-09,187.9422,189.1775,187.0845,187.8303,928537.0
2019-12-10,191.112,191.5548,186.87,188.6787,1071447.0
2019-12-11,189.9839,192.6783,189.7695,192.3706,892276.0
2019-12-12,192.0536,195.6336,190.8882,195.1302,740770.0
2019-12-13,194.4496,197.694,191.5502,192.5104,861842.0
2019-12-14,194.4496,197.694,191.5502,192.5104,861842.0
2019-12-15,194.4496,197.694,191.5502,192.5104,861842.0
2019-12-16,195.8294,196.6405,193.536,193.536,709057.0
2019-12-17,196.8923,196.8923,189.3779,189.928,2957024.0
2019-12-18,190.8416,192.902,189.4805,192.5571,994910.0
2019-12-19,192.2028,192.9393,191.2145,192.3053,781391.0
2019-12-20,195.4006,195.9879,191.9604,192.8554,1296678.0
2019-12-21,195.4006,195.9879,191.9604,192.8554,1296678.0
2019-12-22,195.4006,195.9879,191.9604,192.8554,1296678.0
2019-12-23,193.3122,194.3937,192.5571,194.0954,548805.0
2019-12-24,194.1793,194.1793,191.8765,192.4638,231797.0
2019-12-25,194.1793,194.1793,191.8765,192.4638,231797.0
2019-12-26,193.1071,193.5919,191.7926,193.5733,547776.0
2019-12-27,193.9555,193.9555,192.4265,192.9859,305535.0
2019-12-28,193.9555,193.9555,192.4265,192.9859,305535.0
2019-12-29,193.9555,193.9555,192.4265,192.9859,305535.0
2019-12-30,192.9859,192.9859,191.401,191.8299,360133.0
2019-12-31,191.5688,192.8274,191.1959,191.8858,405381.0
2020-01-01,191.5688,192.8274,191.1959,191.8858,405381.0
2020-01-02,192.9952,195.5684,192.1935,195.5684,845159.0
2020-01-03,191.7087,193.769,189.4368,192.8181,895377.0
2020-01-04,191.7087,193.769,189.4368,192.8181,895377.0
2020-01-05,191.7087,193.769,189.4368,192.8181,895377.0
2020-01-06,190.8882,192.9673,189.928,192.902,734546.0
2020-01-07,192.8927,193.3974,191.1213,192.5104,700080.0
2020-01-08,193.1071,193.4894,191.7739,192.641,711508.0
2020-01-09,193.0605,194.0394,191.5875,193.1071,587514.0
2020-01-10,192.9859,194.0393,190.8603,191.4103,802337.0
2020-01-11,192.9859,194.0393,190.8603,191.4103,802337.0
2020-01-12,192.9859,194.0393,190.8603,191.4103,802337.0
2020-01-13,191.6154,194.3564,190.6552,193.9928,749139.0
2020-01-14,193.6012,194.8971,192.2541,192.7622,719144.0
2020-01-15,191.9977,193.9089,190.2077,191.4383,983823.0
2020-01-16,192.3799,194.0394,192.0256,193.6851,515803.0
2020-01-17,193.5173,195.5497,192.9393,192.9859,859241.0
2020-01-18,193.5173,195.5497,192.9393,192.9859,859241.0
2020-01-19,193.5173,195.5497,192.9393,192.9859,859241.0
2020-01-20,193.5173,195.5497,192.9393,192.9859,859241.0
2020-01-21,191.9604,192.4545,187.6066,188.371,1016689.0
2020-01-22,188.7719,189.5178,185.0054,185.2851,1005487.0
2020-01-23,184.2876,188.5855,182.3764,188.1473,1221874.0
2020-01-24,188.3524,188.3524,183.2807,184.8563,659737.0
2020-01-25,188.3524,188.3524,183.2807,184.8563,659737.0
2020-01-26,188.3524,188.3524,183.2807,184.8563,659737.0
2020-01-27,180.9499,182.4696,179.4676,180.8847,815352.0
2020-01-28,182.3297,184.9495,181.0525,183.4765,1020466.0
2020-01-29,184.5952,187.5693,184.5393,185.5462,1389922.0
2020-01-30,191.2332,195.1209,186.3899,191.2612,2165622.0
2020-01-31,188.8185,188.8185,180.9313,182.4416,1947613.0
2020-02-01,188.8185,188.8185,180.9313,182.4416,1947613.0
2020-02-02,188.8185,188.8185,180.9313,182.4416,1947613.0
2020-02-03,183.3273,189.611,182.6794,184.7164,1185277.0
2020-02-04,188.5482,193.4427,188.5482,192.1655,1161805.0
2020-02-05,195.298,196.5007,193.1724,196.193,947502.0
2020-02-06,196.7267,196.7735,193.5951,196.4646,967043.0
2020-02-07,194.6671,195.8607,193.5155,194.5641,947308.0
2020-02-08,194.6671,195.8607,193.5155,194.5641,947308.0
2020-02-09,194.6671,195.8607,193.5155,194.5641,947308.0
2020-02-10,193.3657,196.2399,193.0942,196.0901,501797.0
2020-02-11,197.8408,200.0503,197.1106,198.7115,586754.0
2020-02-12,200.8086,201.6606,199.7039,200.2656,679614.0
2020-02-13,198.7209,200.6588,198.0093,199.4417,575586.0
2020-02-14,199.5354,199.732,197.1667,198.3277,535159.0
2020-02-15,199.5354,199.732,197.1667,198.3277,535159.0
2020-02-16,199.5354,199.732,197.1667,198.3277,535159.0
2020-02-17,199.5354,199.732,197.1667,198.3277,535159.0
2020-02-18,197.2323,197.8689,194.976,197.148,800224.0
2020-02-19,197.691,199.189,197.1761,198.2715,904876.0
2020-02-20,197.7566,202.1661,197.4148,201.5482,946139.0
2020-02-21,200.1626,201.5389,198.232,201.4733,702106.0
2020-02-22,200.1626,201.5389,198.232,201.4733,702106.0
2020-02-23,200.1626,201.5389,198.232,201.4733,702106.0
2020-02-24,193.9836,194.77,188.6472,190.1545,1294837.0
2020-02-25,191.0158,191.7545,181.5507,182.075,1308114.0
2020-02-26,183.9006,185.0034,177.2909,177.5718,2268144.0
2020-02-27,173.1248,180.783,170.1382,174.0516,1722159.0
2020-02-28,167.6947,172.9843,165.0546,172.9843,2000450.0
2020-02-29,167.6947,172.9843,165.0546,172.9843,2000450.0
2020-03-01,167.6947,172.9843,165.0546,172.9843,2000450.0
2020-03-02,174.3231,180.7175,171.0932,180.3055,1121976.0
2020-03-03,179.7625,186.1288,173.9674,174.6133,1183976.0
2020-03-04,177.4969,182.5431,175.3061,182.1592,1584947.0
2020-03-05,174.9972,176.3921,166.1406,167.0581,1920421.0
2020-03-06,162.1523,163.2851,153.0476,154.466,3336056.0
2020-03-07,162.1523,163.2851,153.0476,154.466,3336056.0
2020-03-08,162.1523,163.2851,153.0476,154.466,3336056.0
2020-03-09,140.4322,142.651,129.5814,137.1367,3002052.0
2020-03-10,143.0161,149.8598,136.7903,149.8598,2398239.0
