,BKE US Equity,BKE US Equity,BKE US Equity,BKE US Equity,BKE US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-10-09,11.4563,11.5808,11.2665,11.4741,793859.0
2019-10-10,11.6243,12.1769,11.6243,12.1649,662807.0
2019-10-11,12.225,12.6756,12.1649,12.3211,525388.0
2019-10-12,12.225,12.6756,12.1649,12.3211,525388.0
2019-10-13,12.225,12.6756,12.1649,12.3211,525388.0
2019-10-14,12.3211,12.3211,11.8946,11.9066,342282.0
2019-10-15,12.201,12.3572,11.8826,12.2971,450342.0
2019-10-16,12.255,12.5374,12.246,12.3812,301466.0
2019-10-17,12.3452,12.5183,12.3031,12.4953,378375.0
2019-10-18,12.2911,12.6816,12.1049,12.6635,602574.0
2019-10-19,12.2911,12.6816,12.1049,12.6635,602574.0
2019-10-20,12.2911,12.6816,12.1049,12.6635,602574.0
2019-10-21,12.7657,12.9519,12.6455,12.7837,486725.0
2019-10-22,12.7957,13.1141,12.6635,13.0901,548724.0
2019-10-23,13.1081,13.3724,12.9699,13.2282,427870.0
2019-10-24,13.2282,13.2282,12.8798,13.042,402142.0
2019-10-25,12.9339,13.0961,12.7837,12.8438,333450.0
2019-10-26,12.9339,13.0961,12.7837,12.8438,333450.0
2019-10-27,12.9339,13.0961,12.7837,12.8438,333450.0
2019-10-28,12.9639,13.2403,12.8257,13.1441,522022.0
2019-10-29,13.0781,13.2463,13.036,13.0841,201711.0
2019-10-30,13.066,13.1441,12.8858,12.9939,312923.0
2019-10-31,12.9759,13.054,12.5314,12.5674,416589.0
2019-11-01,12.7416,12.8558,12.5794,12.6816,293391.0
2019-11-02,12.7416,12.8558,12.5794,12.6816,293391.0
2019-11-03,12.7416,12.8558,12.5794,12.6816,293391.0
2019-11-04,12.7657,12.8678,12.6756,12.7897,266709.0
2019-11-05,12.8558,13.1922,12.8077,13.1441,372866.0
2019-11-06,13.1141,13.3664,13.024,13.2703,436745.0
2019-11-07,13.5166,14.8863,13.4085,14.7601,1194510.0
2019-11-08,14.628,14.664,14.0512,14.1414,694183.0
2019-11-09,14.628,14.664,14.0512,14.1414,694183.0
2019-11-10,14.628,14.664,14.0512,14.1414,694183.0
2019-11-11,14.0813,14.2435,13.9972,14.1053,320147.0
2019-11-12,14.0813,14.2195,13.9732,14.0512,412174.0
2019-11-13,13.9371,14.0693,13.7088,13.829,368883.0
2019-11-14,13.829,14.2495,13.829,14.0332,406420.0
2019-11-15,14.1293,14.2255,13.9551,14.1714,326097.0
2019-11-16,14.1293,14.2255,13.9551,14.1714,326097.0
2019-11-17,14.1293,14.2255,13.9551,14.1714,326097.0
2019-11-18,14.1834,14.2735,13.9255,14.1173,371653.0
2019-11-19,13.877,14.0452,13.5586,13.7329,417486.0
2019-11-20,13.5887,13.6818,13.1862,13.2763,555474.0
2019-11-21,13.3003,13.4385,13.066,13.3964,771518.0
2019-11-22,15.0064,16.2274,14.6039,16.0457,1811252.0
2019-11-23,15.0064,16.2274,14.6039,16.0457,1811252.0
2019-11-24,15.0064,16.2274,14.6039,16.0457,1811252.0
2019-11-25,16.1538,17.103,15.9316,17.079,1006945.0
2019-11-26,17.079,17.1349,16.5743,16.7005,697827.0
2019-11-27,16.7906,17.091,16.6464,16.8867,483895.0
2019-11-28,16.7906,17.091,16.6464,16.8867,483895.0
2019-11-29,16.7846,16.8807,16.5263,16.7125,195284.0
2019-11-30,16.7846,16.8807,16.5263,16.7125,195284.0
2019-12-01,16.7846,16.8807,16.5263,16.7125,195284.0
2019-12-02,16.7426,16.9228,16.5623,16.7245,340186.0
2019-12-03,16.7245,16.7876,16.3701,16.5383,532826.0
2019-12-04,16.5323,16.6765,16.3401,16.4542,640449.0
2019-12-05,16.4902,16.7347,16.298,16.3821,693496.0
2019-12-06,16.4542,16.6044,16.0968,16.1959,585786.0
2019-12-07,16.4542,16.6044,16.0968,16.1959,585786.0
2019-12-08,16.4542,16.6044,16.0968,16.1959,585786.0
2019-12-09,16.1058,16.2259,15.9436,16.2199,815383.0
2019-12-10,16.1058,16.4121,15.8264,16.3761,699570.0
2019-12-11,16.286,16.3461,15.8174,15.8595,590389.0
2019-12-12,15.8114,16.2499,15.7633,15.9316,616525.0
2019-12-13,15.9316,15.9316,15.4029,15.6072,528016.0
2019-12-14,15.9316,15.9316,15.4029,15.6072,528016.0
2019-12-15,15.9316,15.9316,15.4029,15.6072,528016.0
2019-12-16,15.6973,15.9796,15.6312,15.7994,447473.0
2019-12-17,15.8174,15.9616,15.6132,15.9376,404891.0
2019-12-18,15.9616,16.3401,15.9015,16.274,471757.0
2019-12-19,16.31,16.31,15.9195,15.9496,320447.0
2019-12-20,15.8895,16.2139,15.8895,15.9436,1207005.0
2019-12-21,15.8895,16.2139,15.8895,15.9436,1207005.0
2019-12-22,15.8895,16.2139,15.8895,15.9436,1207005.0
2019-12-23,16.0397,16.1598,15.8895,15.9376,256220.0
2019-12-24,15.9436,16.1058,15.9436,16.0097,119250.0
2019-12-25,15.9436,16.1058,15.9436,16.0097,119250.0
2019-12-26,16.0877,16.2379,15.8054,15.9376,236118.0
2019-12-27,16.0697,16.2079,15.9856,16.0397,337553.0
2019-12-28,16.0697,16.2079,15.9856,16.0397,337553.0
2019-12-29,16.0697,16.2079,15.9856,16.0397,337553.0
2019-12-30,16.1118,16.5413,16.0753,16.2379,499723.0
2019-12-31,16.1779,16.322,16.0217,16.2439,416682.0
2020-01-01,16.1779,16.322,16.0217,16.2439,416682.0
2020-01-02,16.334,16.3761,15.6192,15.6492,639690.0
2020-01-03,15.6192,15.8475,15.3308,15.7273,670127.0
2020-01-04,15.6192,15.8475,15.3308,15.7273,670127.0
2020-01-05,15.6192,15.8475,15.3308,15.7273,670127.0
2020-01-06,15.6552,16.1268,15.6192,16.0097,687772.0
2020-01-07,16.0577,16.2199,15.8535,16.0457,591100.0
2020-01-08,16.2499,16.274,15.8414,15.9556,944785.0
2020-01-09,16.1661,16.3065,15.5664,16.0832,1060512.0
2020-01-10,16.1661,16.6765,16.064,16.5808,663983.0
2020-01-11,16.1661,16.6765,16.064,16.5808,663983.0
2020-01-12,16.1661,16.6765,16.064,16.5808,663983.0
2020-01-13,16.5872,16.7211,16.2618,16.5744,657130.0
2020-01-14,16.6382,16.7849,16.2235,16.3639,420458.0
2020-01-15,16.3065,16.3256,15.6047,15.6366,427390.0
2020-01-16,15.7706,16.1215,15.7642,16.1215,826744.0
2020-01-17,16.2171,16.3256,15.9652,16.1916,390879.0
2020-01-18,16.2171,16.3256,15.9652,16.1916,390879.0
2020-01-19,16.2171,16.3256,15.9652,16.1916,390879.0
2020-01-20,16.2171,16.3256,15.9652,16.1916,390879.0
2020-01-21,16.2363,16.3128,16.0002,16.0704,662925.0
2020-01-22,16.1853,16.466,16.0768,16.1534,367875.0
2020-01-23,16.1151,16.4181,15.8152,16.3001,424739.0
2020-01-24,16.3639,16.4468,16.0768,16.249,406065.0
2020-01-25,16.3639,16.4468,16.0768,16.249,406065.0
2020-01-26,16.3639,16.4468,16.0768,16.249,406065.0
2020-01-27,16.0449,16.2427,15.962,15.9683,330767.0
2020-01-28,16.0704,16.3479,16.0449,16.249,404978.0
2020-01-29,16.3001,16.4915,16.1789,16.3065,369871.0
2020-01-30,16.2044,16.3575,16.0194,16.1151,319038.0
2020-01-31,16.1597,16.1597,15.5026,15.5728,380262.0
2020-02-01,16.1597,16.1597,15.5026,15.5728,380262.0
2020-02-02,16.1597,16.1597,15.5026,15.5728,380262.0
2020-02-03,15.6494,15.9652,15.5856,15.7578,357954.0
2020-02-04,16.0449,16.1023,15.7195,15.8216,386819.0
2020-02-05,15.9683,16.4341,15.8982,16.3256,593941.0
2020-02-06,16.6892,17.0656,16.6663,16.8232,586981.0
2020-02-07,16.7786,16.7977,16.0194,16.2235,473870.0
2020-02-08,16.7786,16.7977,16.0194,16.2235,473870.0
2020-02-09,16.7786,16.7977,16.0194,16.2235,473870.0
2020-02-10,16.2746,16.5361,16.2171,16.517,593001.0
2020-02-11,16.5872,16.6956,16.2944,16.5617,601282.0
2020-02-12,16.7084,17.0752,16.651,16.9763,676487.0
2020-02-13,16.9062,17.0274,16.8041,16.97,558389.0
2020-02-14,17.0401,17.0401,16.3065,16.3511,301768.0
2020-02-15,17.0401,17.0401,16.3065,16.3511,301768.0
2020-02-16,17.0401,17.0401,16.3065,16.3511,301768.0
2020-02-17,17.0401,17.0401,16.3065,16.3511,301768.0
2020-02-18,16.3065,16.3192,15.6366,15.8407,370362.0
2020-02-19,15.8982,16.0449,15.6175,15.9109,282041.0
2020-02-20,15.9109,16.3575,15.7961,16.3128,338854.0
2020-02-21,16.2682,16.2937,15.7259,15.7897,329466.0
2020-02-22,16.2682,16.2937,15.7259,15.7897,329466.0
2020-02-23,16.2682,16.2937,15.7259,15.7897,329466.0
2020-02-24,15.2538,15.4962,15.0497,15.3878,325187.0
2020-02-25,15.5154,15.5154,14.7466,14.7817,518665.0
2020-02-26,14.954,15.139,14.726,14.8264,719277.0
2020-02-27,14.5712,14.6446,13.9332,14.2076,747996.0
2020-02-28,13.7227,14.6796,13.7227,14.4372,861830.0
2020-02-29,13.7227,14.6796,13.7227,14.4372,861830.0
2020-03-01,13.7227,14.6796,13.7227,14.4372,861830.0
2020-03-02,14.4755,14.8774,14.1501,14.7307,613680.0
2020-03-03,14.7562,15.2474,14.2267,14.501,633889.0
2020-03-04,14.6158,14.6158,14.0736,14.2076,377299.0
2020-03-05,13.9587,14.0353,13.4547,13.6142,475043.0
2020-03-06,13.1166,13.863,13.0401,13.8056,917438.0
2020-03-07,13.1166,13.863,13.0401,13.8056,917438.0
2020-03-08,13.1166,13.863,13.0401,13.8056,917438.0
