,UFS US Equity,UFS US Equity,UFS US Equity,UFS US Equity,UFS US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2022-09-20,55.48,55.5,55.47,55.49,3952659.0
2022-09-21,55.48,55.5,55.47,55.49,3952659.0
2022-09-22,55.48,55.5,55.47,55.49,3952659.0
2022-09-23,55.48,55.5,55.47,55.49,3952659.0
2022-09-24,55.48,55.5,55.47,55.49,3952659.0
2022-09-25,55.48,55.5,55.47,55.49,3952659.0
2022-09-26,55.48,55.5,55.47,55.49,3952659.0
2022-09-27,55.48,55.5,55.47,55.49,3952659.0
2022-09-28,55.48,55.5,55.47,55.49,3952659.0
2022-09-29,55.48,55.5,55.47,55.49,3952659.0
2022-09-30,55.48,55.5,55.47,55.49,3952659.0
2022-10-01,55.48,55.5,55.47,55.49,3952659.0
2022-10-02,55.48,55.5,55.47,55.49,3952659.0
2022-10-03,55.48,55.5,55.47,55.49,3952659.0
2022-10-04,55.48,55.5,55.47,55.49,3952659.0
2022-10-05,55.48,55.5,55.47,55.49,3952659.0
2022-10-06,55.48,55.5,55.47,55.49,3952659.0
2022-10-07,55.48,55.5,55.47,55.49,3952659.0
2022-10-08,55.48,55.5,55.47,55.49,3952659.0
2022-10-09,55.48,55.5,55.47,55.49,3952659.0
2022-10-10,55.48,55.5,55.47,55.49,3952659.0
2022-10-11,55.48,55.5,55.47,55.49,3952659.0
2022-10-12,55.48,55.5,55.47,55.49,3952659.0
2022-10-13,55.48,55.5,55.47,55.49,3952659.0
2022-10-14,55.48,55.5,55.47,55.49,3952659.0
2022-10-15,55.48,55.5,55.47,55.49,3952659.0
2022-10-16,55.48,55.5,55.47,55.49,3952659.0
2022-10-17,55.48,55.5,55.47,55.49,3952659.0
2022-10-18,55.48,55.5,55.47,55.49,3952659.0
2022-10-19,55.48,55.5,55.47,55.49,3952659.0
2022-10-20,55.48,55.5,55.47,55.49,3952659.0
2022-10-21,55.48,55.5,55.47,55.49,3952659.0
2022-10-22,55.48,55.5,55.47,55.49,3952659.0
2022-10-23,55.48,55.5,55.47,55.49,3952659.0
