,CYL IN Equity,CYL IN Equity,CYL IN Equity,CYL IN Equity,CYL IN Equity
2010-05-13,144.95,145.17,142.57,143.24,56308.0
2010-05-14,142.94,144.75,139.59,141.67,52346.0
2010-05-15,142.94,144.75,139.59,141.67,52346.0
2010-05-16,142.94,144.75,139.59,141.67,52346.0
2010-05-17,145.92,148.9,138.12,139.57,58416.0
2010-05-18,142.12,147.0,138.73,140.35,30810.0
2010-05-19,138.85,142.92,137.0,140.84,25904.0
2010-05-20,139.59,141.45,137.36,138.85,11658.0
2010-05-21,137.36,140.48,134.38,138.18,25350.0
2010-05-22,137.36,140.48,134.38,138.18,25350.0
2010-05-23,137.36,140.48,134.38,138.18,25350.0
2010-05-24,140.02,143.27,136.61,138.06,18500.0
2010-05-25,137.02,137.9,133.63,134.49,56570.0
2010-05-26,134.75,138.85,134.75,137.32,29862.0
2010-05-27,137.69,144.63,135.87,140.8,31666.0
2010-05-28,141.08,142.94,137.75,140.32,7660.0
2010-05-29,141.08,142.94,137.75,140.32,7660.0
2010-05-30,141.08,142.94,137.75,140.32,7660.0
2010-05-31,143.31,144.04,138.47,141.26,27322.0
2010-06-01,141.45,141.82,135.9,137.73,37614.0
2010-06-02,139.96,144.39,136.61,138.16,45900.0
2010-06-03,141.45,141.82,140.06,140.95,18126.0
2010-06-04,144.06,144.06,138.47,139.83,28416.0
2010-06-05,144.06,144.06,138.47,139.83,28416.0
2010-06-06,144.06,144.06,138.47,139.83,28416.0
2010-06-07,137.73,139.92,135.87,139.59,17712.0
2010-06-08,143.31,147.0,136.98,138.23,40006.0
2010-06-09,141.12,141.12,137.73,138.31,27538.0
2010-06-10,139.22,145.92,138.58,142.27,63100.0
2010-06-11,145.14,147.37,141.71,143.57,19293.0
2010-06-12,145.14,147.37,141.71,143.57,19293.0
2010-06-13,145.14,147.37,141.71,143.57,19293.0
2010-06-14,145.17,145.17,140.04,142.08,20018.0
2010-06-15,140.78,143.35,140.11,142.72,19699.0
2010-06-16,145.06,150.38,140.86,144.8,30684.0
2010-06-17,142.57,144.73,142.23,143.16,11768.0
2010-06-18,143.16,144.28,138.14,139.96,7315.0
2010-06-19,143.16,144.28,138.14,139.96,7315.0
2010-06-20,143.16,144.28,138.14,139.96,7315.0
2010-06-21,140.71,143.65,136.98,137.69,57716.0
2010-06-22,137.8,140.63,134.08,138.58,221764.0
2010-06-23,136.61,141.3,136.61,139.03,16333.0
2010-06-24,138.85,143.98,137.02,140.11,42114.0
2010-06-25,139.96,145.92,138.62,141.93,75800.0
2010-06-26,139.96,145.92,138.62,141.93,75800.0
2010-06-27,139.96,145.92,138.62,141.93,75800.0
2010-06-28,141.45,146.29,140.04,141.23,12469.0
2010-06-29,142.87,145.02,138.51,140.63,12669.0
2010-06-30,139.89,143.24,138.77,141.56,8199.0
2010-07-01,141.45,142.01,138.92,139.48,5726.0
2010-07-02,142.94,142.94,137.77,138.92,9067.0
2010-07-03,142.94,142.94,137.77,138.92,9067.0
2010-07-04,142.94,142.94,137.77,138.92,9067.0
2010-07-05,145.84,145.84,136.98,138.44,4468.0
2010-07-06,138.55,142.16,136.98,137.91,12192.0
2010-07-07,136.24,141.15,133.26,133.93,95063.0
2010-07-08,135.12,138.47,134.75,135.94,28354.0
2010-07-09,136.61,139.96,134.38,137.43,34925.0
2010-07-10,136.61,139.96,134.38,137.43,34925.0
2010-07-11,136.61,139.96,134.38,137.43,34925.0
2010-07-12,141.08,141.08,136.98,140.52,23707.0
2010-07-13,141.45,141.45,135.5,139.11,34734.0
2010-07-14,140.63,141.23,128.87,130.92,280640.0
2010-07-15,131.03,131.7,124.44,125.78,127926.0
2010-07-16,127.05,130.13,125.74,126.6,77428.0
2010-07-17,127.05,130.13,125.74,126.6,77428.0
2010-07-18,127.05,130.13,125.74,126.6,77428.0
2010-07-19,125.82,130.95,125.82,128.35,39848.0
2010-07-20,128.05,130.36,128.05,128.72,28417.0
2010-07-21,130.13,130.13,127.08,128.39,292234.0
2010-07-22,129.54,129.58,127.31,128.05,18359.0
2010-07-23,126.56,130.02,126.56,127.23,16152.0
2010-07-24,126.56,130.02,126.56,127.23,16152.0
2010-07-25,126.56,130.02,126.56,127.23,16152.0
2010-07-26,125.82,131.59,125.07,126.38,16345.0
2010-07-27,126.38,127.72,124.33,126.19,14843.0
2010-07-28,120.61,126.93,120.61,125.11,19707.0
2010-07-29,124.63,125.52,123.21,123.92,5083.0
2010-07-30,126.41,126.41,122.91,123.58,10740.0
2010-07-31,126.41,126.41,122.91,123.58,10740.0
2010-08-01,126.41,126.41,122.91,123.58,10740.0
2010-08-02,125.07,129.5,116.88,118.33,43730.0
2010-08-03,119.12,120.34,114.02,115.43,32796.0
2010-08-04,115.39,117.33,114.65,116.32,19544.0
2010-08-05,117.03,119.79,116.59,118.82,30646.0
2010-08-06,120.61,126.56,119.3,120.16,34667.0
2010-08-07,120.61,126.56,119.3,120.16,34667.0
2010-08-08,120.61,126.56,119.3,120.16,34667.0
2010-08-09,123.14,124.33,118.0,120.68,13632.0
2010-08-10,120.16,130.4,119.86,122.88,324524.0
2010-08-11,124.33,127.23,118.07,118.74,104094.0
2010-08-12,116.96,119.45,116.73,117.07,19765.0
2010-08-13,116.25,122.09,116.25,117.44,18853.0
2010-08-14,116.25,122.09,116.25,117.44,18853.0
2010-08-15,116.25,122.09,116.25,117.44,18853.0
2010-08-16,118.89,119.0,114.8,115.69,15461.0
2010-08-17,117.63,117.63,114.35,115.17,16326.0
2010-08-18,115.39,115.39,114.09,114.58,14016.0
2010-08-19,115.02,116.14,113.53,114.05,15858.0
2010-08-20,113.16,115.39,112.42,114.84,13958.0
2010-08-21,113.16,115.39,112.42,114.84,13958.0
2010-08-22,113.16,115.39,112.42,114.84,13958.0
2010-08-23,115.39,116.88,113.91,116.14,15638.0
2010-08-24,116.88,119.12,116.14,117.85,20199.0
2010-08-25,116.14,118.22,114.98,115.99,57980.0
2010-08-26,115.99,117.63,113.91,116.14,34745.0
2010-08-27,114.65,118.3,113.83,117.44,22823.0
2010-08-28,114.65,118.3,113.83,117.44,22823.0
2010-08-29,114.65,118.3,113.83,117.44,22823.0
2010-08-30,117.63,119.86,116.06,118.78,18697.0
2010-08-31,117.33,118.33,115.39,116.88,385938.0
2010-09-01,116.88,120.61,115.54,119.75,523721.0
2010-09-02,121.83,125.82,117.63,118.89,84407.0
2010-09-03,120.23,120.23,113.61,115.39,110550.0
2010-09-04,120.23,120.23,113.61,115.39,110550.0
2010-09-05,120.23,120.23,113.61,115.39,110550.0
2010-09-06,119.12,122.76,116.99,118.78,192393.0
2010-09-07,121.35,122.09,116.4,117.96,75840.0
2010-09-08,118.07,122.84,117.26,121.42,352560.0
2010-09-09,124.7,129.84,122.47,128.16,280394.0
2010-09-10,124.7,129.84,122.47,128.16,280394.0
2010-09-11,124.7,129.84,122.47,128.16,280394.0
2010-09-12,124.7,129.84,122.47,128.16,280394.0
2010-09-13,130.73,131.62,127.79,129.73,77507.0
2010-09-14,129.73,129.99,125.04,126.23,23789.0
2010-09-15,128.05,129.5,123.62,125.41,18747.0
2010-09-16,128.05,128.05,122.24,123.29,9321.0
2010-09-17,127.31,131.92,125.07,128.16,116356.0
2010-09-18,127.31,131.92,125.07,128.16,116356.0
2010-09-19,127.31,131.92,125.07,128.16,116356.0
2010-09-20,128.05,130.32,125.3,126.23,27897.0
2010-09-21,128.05,130.66,123.21,123.88,29872.0
2010-09-22,122.84,128.79,119.12,123.29,29854.0
2010-09-23,124.33,124.33,121.46,122.09,18424.0
2010-09-24,121.35,123.99,121.35,123.06,16011.0
2010-09-25,121.35,123.99,121.35,123.06,16011.0
2010-09-26,121.35,123.99,121.35,123.06,16011.0
2010-09-27,122.47,123.32,118.07,119.04,24745.0
2010-09-28,118.37,127.27,117.78,120.12,15243.0
2010-09-29,120.75,121.87,118.37,119.08,101823.0
2010-09-30,117.7,119.19,116.18,116.88,22389.0
2010-10-01,118.0,118.74,115.39,117.18,38682.0
2010-10-02,118.0,118.74,115.39,117.18,38682.0
2010-10-03,118.0,118.74,115.39,117.18,38682.0
2010-10-04,116.51,121.87,114.65,115.39,635128.0
2010-10-05,115.39,120.94,115.39,117.07,54561.0
2010-10-06,119.04,121.72,117.26,120.64,52644.0
2010-10-07,121.35,123.51,119.86,122.62,85471.0
2010-10-08,123.21,124.92,120.61,122.88,46805.0
2010-10-09,123.21,124.92,120.61,122.88,46805.0
2010-10-10,123.21,124.92,120.61,122.88,46805.0
2010-10-11,122.95,128.35,122.17,127.34,73234.0
2010-10-12,128.65,130.28,125.97,129.2,93635.0
2010-10-13,130.32,146.51,128.83,140.74,638821.0
2010-10-14,141.45,145.17,128.16,130.32,466942.0
2010-10-15,131.03,131.55,120.61,123.66,222549.0
2010-10-16,131.03,131.55,120.61,123.66,222549.0
2010-10-17,131.03,131.55,120.61,123.66,222549.0
2010-10-18,119.12,124.33,119.12,122.69,45958.0
2010-10-19,122.84,124.89,120.98,123.03,26943.0
2010-10-20,120.68,125.07,119.12,122.88,47261.0
2010-10-21,124.7,125.3,122.84,122.95,23139.0
2010-10-22,122.99,123.81,120.01,122.43,58371.0
2010-10-23,122.99,123.81,120.01,122.43,58371.0
2010-10-24,122.99,123.81,120.01,122.43,58371.0
2010-10-25,120.79,127.31,120.61,122.84,41202.0
2010-10-26,121.35,124.29,121.35,122.91,12542.0
2010-10-27,123.92,124.33,120.61,120.83,11401.0
2010-10-28,120.83,122.84,119.86,120.27,6971.0
2010-10-29,119.12,122.73,118.74,121.8,14054.0
2010-10-30,119.12,122.73,118.74,121.8,14054.0
2010-10-31,119.12,122.73,118.74,121.8,14054.0
2010-11-01,119.97,124.51,119.15,119.45,8622.0
2010-11-02,122.06,122.06,117.66,119.53,11755.0
2010-11-03,122.09,122.43,119.3,119.6,6937.0
2010-11-04,119.94,124.33,118.89,119.23,17292.0
2010-11-05,122.02,122.8,119.12,120.01,3114.0
2010-11-06,122.02,122.8,119.12,120.01,3114.0
2010-11-07,122.02,122.8,119.12,120.01,3114.0
2010-11-08,119.34,122.24,119.34,122.13,11770.0
2010-11-09,122.73,123.96,120.64,121.42,14398.0
2010-11-10,119.97,122.62,119.97,120.87,10162.0
2010-11-11,121.46,122.02,116.59,118.63,25489.0
2010-11-12,118.41,120.57,116.14,117.07,7925.0
2010-11-13,118.41,120.57,116.14,117.07,7925.0
2010-11-14,118.41,120.57,116.14,117.07,7925.0
2010-11-15,116.14,119.04,114.69,116.03,17290.0
2010-11-16,115.65,119.12,115.39,116.55,15577.0
2010-11-17,115.65,119.12,115.39,116.55,15577.0
2010-11-18,118.41,118.86,113.91,117.52,12409.0
2010-11-19,114.65,118.82,114.65,115.51,8115.0
2010-11-20,114.65,118.82,114.65,115.51,8115.0
2010-11-21,114.65,118.82,114.65,115.51,8115.0
2010-11-22,116.18,117.48,114.76,115.39,4580.0
2010-11-23,116.06,117.26,111.49,115.84,17761.0
2010-11-24,114.65,118.22,113.24,117.03,18450.0
2010-11-25,116.14,119.82,112.45,113.61,5597.0
2010-11-26,117.55,118.93,110.26,115.47,14998.0
2010-11-27,117.55,118.93,110.26,115.47,14998.0
2010-11-28,117.55,118.93,110.26,115.47,14998.0
2010-11-29,112.19,115.88,111.67,114.61,22985.0
2010-11-30,113.31,115.39,112.42,113.5,10306.0
2010-12-01,113.61,116.1,113.16,113.91,17257.0
2010-12-02,116.14,116.88,114.28,115.95,17915.0
2010-12-03,115.77,116.77,113.27,114.8,16483.0
2010-12-04,115.77,116.77,113.27,114.8,16483.0
2010-12-05,115.77,116.77,113.27,114.8,16483.0
2010-12-06,114.65,118.22,111.78,113.46,39243.0
2010-12-07,112.42,116.32,111.67,113.68,35946.0
2010-12-08,114.05,115.39,112.42,114.72,79588.0
2010-12-09,116.1,116.1,111.67,112.71,31167.0
2010-12-10,111.67,113.53,108.69,110.0,24641.0
2010-12-11,111.67,113.53,108.69,110.0,24641.0
2010-12-12,111.67,113.53,108.69,110.0,24641.0
2010-12-13,121.2,121.2,110.18,111.86,17423.0
2010-12-14,114.5,114.5,111.82,112.97,12633.0
2010-12-15,112.42,115.21,108.06,110.85,10703.0
2010-12-16,110.37,111.63,108.77,110.96,13105.0
2010-12-17,110.37,111.63,108.77,110.96,13105.0
2010-12-18,110.37,111.63,108.77,110.96,13105.0
2010-12-19,110.37,111.63,108.77,110.96,13105.0
2010-12-20,111.67,115.1,108.32,108.62,21075.0
2010-12-21,108.88,110.82,107.24,107.84,649085.0
2010-12-22,107.95,115.21,107.95,112.16,12121.0
2010-12-23,110.96,115.99,110.96,114.91,28434.0
2010-12-24,115.77,118.6,113.91,117.59,15417.0
2010-12-25,115.77,118.6,113.91,117.59,15417.0
2010-12-26,115.77,118.6,113.91,117.59,15417.0
2010-12-27,116.88,122.8,116.4,121.13,16545.0
2010-12-28,121.72,125.85,121.35,124.48,41225.0
2010-12-29,124.48,126.49,123.66,125.33,16130.0
2010-12-30,125.82,128.79,121.39,126.26,35244.0
2010-12-31,125.52,130.28,125.48,128.46,26403.0
2011-01-01,125.52,130.28,125.48,128.46,26403.0
2011-01-02,125.52,130.28,125.48,128.46,26403.0
2011-01-03,132.52,132.52,126.67,127.49,18944.0
2011-01-04,128.05,131.7,125.3,129.32,17908.0
2011-01-05,129.09,130.66,126.6,129.35,18329.0
2011-01-06,132.52,132.52,127.83,129.32,6434.0
2011-01-07,128.31,130.17,126.67,128.24,20879.0
2011-01-08,128.31,130.17,126.67,128.24,20879.0
2011-01-09,128.31,130.17,126.67,128.24,20879.0
2011-01-10,129.8,130.28,124.37,129.17,90157.0
2011-01-11,128.09,131.77,124.33,128.35,19993.0
2011-01-12,128.65,130.25,124.4,127.9,9663.0
2011-01-13,125.07,129.5,123.06,126.64,10332.0
2011-01-14,127.19,128.61,125.18,126.9,4953.0
2011-01-15,127.19,128.61,125.18,126.9,4953.0
2011-01-16,127.19,128.61,125.18,126.9,4953.0
2011-01-17,125.93,127.27,123.92,125.22,8736.0
2011-01-18,126.6,130.28,125.33,127.12,7711.0
2011-01-19,129.46,130.28,124.33,128.2,145762.0
2011-01-20,127.31,128.57,123.1,124.25,44801.0
2011-01-21,122.84,126.34,118.37,121.09,14128.0
2011-01-22,122.84,126.34,118.37,121.09,14128.0
2011-01-23,122.84,126.34,118.37,121.09,14128.0
2011-01-24,121.35,127.68,115.39,125.89,27379.0
2011-01-25,123.58,125.07,120.98,122.88,5044.0
2011-01-26,123.58,125.07,120.98,122.88,5044.0
2011-01-27,122.09,124.81,120.83,122.88,4505.0
2011-01-28,122.84,124.63,121.35,123.29,23411.0
2011-01-29,122.84,124.63,121.35,123.29,23411.0
2011-01-30,122.84,124.63,121.35,123.29,23411.0
2011-01-31,120.68,125.67,118.48,123.88,6315.0
2011-02-01,125.71,125.71,120.12,122.62,10394.0
2011-02-02,122.17,122.84,120.64,121.28,4704.0
2011-02-03,119.86,124.18,119.12,122.62,6992.0
2011-02-04,123.51,124.33,119.12,122.06,10525.0
2011-02-05,123.51,124.33,119.12,122.06,10525.0
2011-02-06,123.51,124.33,119.12,122.06,10525.0
2011-02-07,117.26,123.55,117.26,122.84,7704.0
2011-02-08,124.7,124.7,120.68,122.95,8957.0
2011-02-09,120.68,122.84,119.15,121.02,10022.0
2011-02-10,117.78,127.31,117.63,119.19,25656.0
2011-02-11,117.7,121.54,117.7,119.56,4649.0
2011-02-12,117.7,121.54,117.7,119.56,4649.0
2011-02-13,117.7,121.54,117.7,119.56,4649.0
2011-02-14,120.46,122.84,119.08,122.21,10828.0
2011-02-15,120.79,122.65,119.12,119.27,10855.0
2011-02-16,119.12,121.28,117.7,118.56,5466.0
2011-02-17,122.43,122.43,118.37,119.49,3329.0
2011-02-18,119.12,121.24,118.41,119.12,4508.0
2011-02-19,119.12,121.24,118.41,119.12,4508.0
2011-02-20,119.12,121.24,118.41,119.12,4508.0
2011-02-21,117.63,121.72,117.63,121.31,9885.0
2011-02-22,119.12,121.57,118.56,120.46,7266.0
2011-02-23,119.15,121.28,118.37,118.89,5344.0
2011-02-24,120.49,120.49,118.74,119.27,4836.0
2011-02-25,117.7,119.86,117.63,119.15,7045.0
2011-02-26,117.7,119.86,117.63,119.15,7045.0
2011-02-27,117.7,119.86,117.63,119.15,7045.0
2011-02-28,119.27,122.17,117.63,118.67,7232.0
2011-03-01,116.14,124.33,116.14,122.91,16262.0
2011-03-02,116.14,124.33,116.14,122.91,16262.0
2011-03-03,122.76,123.92,120.64,121.28,4900.0
2011-03-04,119.86,123.92,119.86,121.16,2258.0
2011-03-05,119.86,123.92,119.86,121.16,2258.0
2011-03-06,119.86,123.92,119.86,121.16,2258.0
2011-03-07,119.94,125.07,116.96,123.06,8053.0
2011-03-08,120.64,123.43,117.7,120.23,8018.0
2011-03-09,121.76,124.25,117.81,119.97,4970.0
2011-03-10,119.12,121.95,117.63,118.86,3934.0
2011-03-11,118.93,120.08,117.63,119.64,4760.0
2011-03-12,118.93,120.08,117.63,119.64,4760.0
2011-03-13,118.93,120.08,117.63,119.64,4760.0
2011-03-14,119.12,122.8,118.0,120.27,6403.0
2011-03-15,119.12,121.09,117.26,118.71,3847.0
2011-03-16,117.7,121.13,116.96,118.89,192262.0
2011-03-17,118.78,120.98,116.14,119.15,55677.0
2011-03-18,117.81,121.87,117.63,119.08,45286.0
2011-03-19,117.81,121.87,117.63,119.08,45286.0
2011-03-20,117.81,121.87,117.63,119.08,45286.0
2011-03-21,119.86,121.24,117.81,119.08,4325.0
2011-03-22,122.69,122.73,118.19,121.31,9148.0
2011-03-23,122.02,122.32,118.74,119.12,74506.0
2011-03-24,119.49,123.96,119.19,121.61,8735.0
2011-03-25,121.35,122.84,119.34,120.2,3637.0
2011-03-26,121.35,122.84,119.34,120.2,3637.0
2011-03-27,121.35,122.84,119.34,120.2,3637.0
2011-03-28,120.68,121.35,118.0,118.33,10565.0
2011-03-29,117.66,119.94,116.88,117.74,360202.0
2011-03-30,118.97,120.61,115.39,119.08,133935.0
2011-03-31,120.57,121.35,118.19,120.42,37454.0
2011-04-01,120.98,121.65,118.63,119.38,63989.0
2011-04-02,120.98,121.65,118.63,119.38,63989.0
2011-04-03,120.98,121.65,118.63,119.38,63989.0
2011-04-04,123.58,123.58,118.04,119.0,16974.0
2011-04-05,120.46,120.46,117.89,118.78,118404.0
2011-04-06,119.6,121.09,118.37,119.08,93476.0
2011-04-07,121.98,121.98,118.74,119.0,23005.0
2011-04-08,121.31,121.31,118.04,118.93,15076.0
2011-04-09,121.31,121.31,118.04,118.93,15076.0
2011-04-10,121.31,121.31,118.04,118.93,15076.0
2011-04-11,117.26,125.74,117.26,121.61,79530.0
2011-04-12,117.26,125.74,117.26,121.61,79530.0
2011-04-13,123.21,127.12,120.68,121.35,93379.0
2011-04-14,123.21,127.12,120.68,121.35,93379.0
2011-04-15,120.94,122.65,118.48,118.97,17893.0
2011-04-16,120.94,122.65,118.48,118.97,17893.0
2011-04-17,120.94,122.65,118.48,118.97,17893.0
2011-04-18,120.34,120.61,116.21,116.96,19606.0
2011-04-19,118.97,119.0,116.14,117.96,7201.0
2011-04-20,119.12,120.94,113.98,115.54,121267.0
2011-04-21,116.14,116.88,113.27,115.32,65739.0
2011-04-22,116.14,116.88,113.27,115.32,65739.0
2011-04-23,116.14,116.88,113.27,115.32,65739.0
2011-04-24,116.14,116.88,113.27,115.32,65739.0
2011-04-25,114.13,115.36,112.86,113.68,13218.0
2011-04-26,113.16,115.32,106.27,112.86,33339.0
2011-04-27,113.16,114.65,112.12,113.27,7580.0
2011-04-28,113.46,113.79,110.56,112.16,7778.0
2011-04-29,111.71,121.35,111.71,119.08,69869.0
2011-04-30,111.71,121.35,111.71,119.08,69869.0
2011-05-01,111.71,121.35,111.71,119.08,69869.0
2011-05-02,120.61,120.61,115.65,118.67,11883.0
2011-05-03,113.12,121.28,113.12,118.07,17110.0
2011-05-04,115.77,118.74,113.98,116.96,11492.0
2011-05-05,115.43,118.37,115.43,117.11,7824.0
2011-05-06,115.39,120.46,115.39,118.74,6184.0
2011-05-07,115.39,120.46,115.39,118.74,6184.0
2011-05-08,115.39,120.46,115.39,118.74,6184.0
2011-05-09,117.26,119.12,116.14,117.81,8465.0
2011-05-10,116.92,119.75,116.03,119.08,17929.0
