,ONGC IN Equity,ONGC IN Equity,ONGC IN Equity,ONGC IN Equity,ONGC IN Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2014-01-18,115.72,118.76,115.4,117.13,6339609.0
2014-01-19,115.72,118.76,115.4,117.13,6339609.0
2014-01-20,116.93,118.78,115.93,116.99,6159492.0
2014-01-21,117.15,117.74,115.89,116.93,5061341.0
2014-01-22,116.93,118.54,116.11,118.07,3736551.0
2014-01-23,117.76,117.94,115.6,116.15,5093967.0
2014-01-24,115.81,116.46,114.64,115.38,3870138.0
2014-01-25,115.81,116.46,114.64,115.38,3870138.0
2014-01-26,115.81,116.46,114.64,115.38,3870138.0
2014-01-27,112.49,114.64,112.14,112.85,4160970.0
2014-01-28,112.06,114.28,111.85,112.14,3254096.0
2014-01-29,112.34,113.59,111.63,112.85,3763028.0
2014-01-30,111.63,113.71,110.47,110.9,9370526.0
2014-01-31,111.32,112.59,110.04,112.26,4903818.0
2014-02-01,111.32,112.59,110.04,112.26,4903818.0
2014-02-02,111.32,112.59,110.04,112.26,4903818.0
2014-02-03,111.22,112.16,108.39,109.1,6064509.0
2014-02-04,108.19,109.67,107.56,109.19,4846310.0
2014-02-05,109.14,110.61,108.13,110.1,4392483.0
2014-02-06,110.37,111.22,108.37,109.14,3311607.0
2014-02-07,110.16,110.75,109.06,109.72,2754290.0
2014-02-08,110.16,110.75,109.06,109.72,2754290.0
2014-02-09,110.16,110.75,109.06,109.72,2754290.0
2014-02-10,109.59,111.71,109.59,110.92,3618912.0
2014-02-11,111.43,112.57,110.35,112.42,7701449.0
2014-02-12,112.89,115.62,112.44,115.34,5280039.0
2014-02-13,115.3,116.11,111.04,111.43,3469377.0
2014-02-14,112.04,112.99,110.45,112.61,4420214.0
2014-02-15,112.04,112.99,110.45,112.61,4420214.0
2014-02-16,112.04,112.99,110.45,112.61,4420214.0
2014-02-17,112.85,114.07,111.1,113.16,2367077.0
2014-02-18,112.89,113.65,110.41,112.77,4090388.0
2014-02-19,112.85,114.05,112.3,113.83,2658936.0
2014-02-20,112.89,113.67,112.26,112.53,1970310.0
2014-02-21,112.83,113.61,112.32,112.83,1871309.0
2014-02-22,112.83,113.61,112.32,112.83,1871309.0
2014-02-23,112.83,113.61,112.32,112.83,1871309.0
2014-02-24,112.49,115.7,112.49,114.97,2478786.0
2014-02-25,115.68,115.87,113.79,114.79,2694740.0
2014-02-26,114.48,116.4,113.2,115.48,9791199.0
2014-02-27,114.48,116.4,113.2,115.48,9791199.0
2014-02-28,115.01,119.31,115.01,118.7,7475775.0
2014-03-01,115.01,119.31,115.01,118.7,7475775.0
2014-03-02,115.01,119.31,115.01,118.7,7475775.0
2014-03-03,117.97,119.78,116.93,118.39,3482195.0
2014-03-04,118.39,121.33,117.76,120.53,3432881.0
2014-03-05,121.0,123.51,121.0,122.43,5808225.0
2014-03-06,123.04,126.3,122.43,125.83,4059926.0
2014-03-07,125.85,129.64,124.46,128.78,6472514.0
2014-03-08,125.85,129.64,124.46,128.78,6472514.0
2014-03-09,125.85,129.64,124.46,128.78,6472514.0
2014-03-10,127.74,133.12,126.3,130.33,8558270.0
2014-03-11,129.35,132.39,128.97,131.63,9278187.0
2014-03-12,130.68,131.1,128.42,129.13,6144606.0
2014-03-13,129.15,133.22,128.33,132.06,8183316.0
2014-03-14,131.23,133.83,130.68,131.49,5103393.0
2014-03-15,131.23,133.83,130.68,131.49,5103393.0
2014-03-16,131.23,133.83,130.68,131.49,5103393.0
2014-03-17,131.23,133.83,130.68,131.49,5103393.0
2014-03-18,131.59,135.26,130.96,132.39,11297987.0
2014-03-19,133.0,133.81,127.23,127.84,7218527.0
2014-03-20,127.93,129.37,125.89,128.66,7775222.0
2014-03-21,129.23,129.9,124.4,124.83,13907798.0
2014-03-22,125.26,125.81,124.44,125.44,399254.0
2014-03-23,125.26,125.81,124.44,125.44,399254.0
2014-03-24,126.46,131.19,126.46,130.82,10566638.0
2014-03-25,125.89,130.98,124.77,130.33,11524899.0
2014-03-26,130.57,133.55,129.72,132.53,6046466.0
2014-03-27,132.67,137.88,131.29,136.64,15538358.0
2014-03-28,137.05,137.83,134.72,135.98,4114365.0
2014-03-29,137.05,137.83,134.72,135.98,4114365.0
2014-03-30,137.05,137.83,134.72,135.98,4114365.0
2014-03-31,135.63,138.45,130.53,131.56,6972842.0
2014-04-01,132.51,134.9,132.12,133.67,3970248.0
2014-04-02,134.14,136.6,133.03,136.22,4302318.0
2014-04-03,137.01,137.05,133.05,134.68,3980951.0
2014-04-04,134.35,136.22,131.06,134.43,18857118.0
2014-04-05,134.35,136.22,131.06,134.43,18857118.0
2014-04-06,134.35,136.22,131.06,134.43,18857118.0
2014-04-07,134.76,137.05,133.75,134.41,5442492.0
2014-04-08,134.76,137.05,133.75,134.41,5442492.0
2014-04-09,134.41,135.4,131.73,133.11,11047205.0
2014-04-10,133.31,134.1,130.2,132.9,11920938.0
2014-04-11,132.12,134.16,131.35,132.1,12510077.0
2014-04-12,132.12,134.16,131.35,132.1,12510077.0
2014-04-13,132.12,134.16,131.35,132.1,12510077.0
2014-04-14,132.12,134.16,131.35,132.1,12510077.0
2014-04-15,132.1,132.61,130.42,131.83,9723633.0
2014-04-16,132.24,132.92,130.12,130.67,6946178.0
2014-04-17,130.65,133.52,129.43,133.07,8309559.0
2014-04-18,130.65,133.52,129.43,133.07,8309559.0
2014-04-19,130.65,133.52,129.43,133.07,8309559.0
2014-04-20,130.65,133.52,129.43,133.07,8309559.0
2014-04-21,133.31,134.47,133.05,133.38,4461654.0
2014-04-22,133.42,136.76,132.92,134.72,7597301.0
2014-04-23,134.86,137.24,132.98,134.57,9629078.0
2014-04-24,134.86,137.24,132.98,134.57,9629078.0
2014-04-25,135.75,135.81,132.1,132.49,5350566.0
2014-04-26,135.75,135.81,132.1,132.49,5350566.0
2014-04-27,135.75,135.81,132.1,132.49,5350566.0
2014-04-28,132.12,133.34,131.68,132.65,3595863.0
2014-04-29,133.0,133.54,131.46,132.22,2918505.0
2014-04-30,131.89,136.16,131.37,134.2,10373586.0
2014-05-01,131.89,136.16,131.37,134.2,10373586.0
2014-05-02,134.97,137.15,133.19,135.94,5671830.0
2014-05-03,134.97,137.15,133.19,135.94,5671830.0
2014-05-04,134.97,137.15,133.19,135.94,5671830.0
2014-05-05,135.85,141.82,135.3,138.45,8280501.0
2014-05-06,138.72,140.95,138.45,139.2,5672133.0
2014-05-07,140.35,141.22,137.83,138.35,5405570.0
2014-05-08,138.7,140.31,137.46,137.88,6046443.0
2014-05-09,137.67,144.48,135.81,143.63,10343631.0
2014-05-10,137.67,144.48,135.81,143.63,10343631.0
2014-05-11,137.67,144.48,135.81,143.63,10343631.0
2014-05-12,143.3,149.17,143.24,148.03,8719968.0
2014-05-13,153.98,157.09,149.97,153.81,11381621.0
2014-05-14,154.39,156.02,150.53,151.95,7574564.0
2014-05-15,151.66,157.24,150.07,156.27,8874915.0
2014-05-16,161.82,171.87,153.81,158.58,22446806.0
2014-05-17,161.82,171.87,153.81,158.58,22446806.0
2014-05-18,161.82,171.87,153.81,158.58,22446806.0
2014-05-19,162.62,173.38,160.72,172.04,13626030.0
2014-05-20,172.72,173.38,163.57,165.16,11335517.0
2014-05-21,163.51,166.26,161.32,164.48,9133106.0
2014-05-22,165.12,166.48,161.82,162.15,7256733.0
2014-05-23,164.48,169.64,161.98,168.4,13078551.0
2014-05-24,164.48,169.64,161.98,168.4,13078551.0
2014-05-25,164.48,169.64,161.98,168.4,13078551.0
2014-05-26,170.07,175.44,163.14,167.31,9370530.0
2014-05-27,167.39,168.01,160.99,163.08,5592669.0
2014-05-28,163.26,163.39,157.59,158.62,5931803.0
2014-05-29,158.93,160.62,152.12,154.45,12035120.0
2014-05-30,154.88,160.58,151.91,156.1,9028688.0
2014-05-31,154.88,160.58,151.91,156.1,9028688.0
2014-06-01,154.88,160.58,151.91,156.1,9028688.0
2014-06-02,157.11,165.93,156.14,164.94,7263312.0
2014-06-03,165.72,174.76,164.71,172.04,12149492.0
2014-06-04,171.79,172.96,168.46,169.66,7460813.0
2014-06-05,168.86,176.89,166.09,173.03,18824619.0
2014-06-06,175.79,193.96,175.13,192.22,41221685.0
2014-06-07,175.79,193.96,175.13,192.22,41221685.0
2014-06-08,175.79,193.96,175.13,192.22,41221685.0
2014-06-09,194.02,194.84,184.94,187.06,20465306.0
2014-06-10,187.83,188.24,179.84,181.86,13295954.0
2014-06-11,182.46,184.4,175.44,176.39,14041160.0
2014-06-12,176.7,181.59,174.66,176.93,12709280.0
2014-06-13,177.73,178.81,167.6,174.47,14197238.0
2014-06-14,177.73,178.81,167.6,174.47,14197238.0
2014-06-15,177.73,178.81,167.6,174.47,14197238.0
2014-06-16,173.6,177.79,170.61,176.23,11557979.0
2014-06-17,176.47,184.85,175.65,183.74,13998362.0
