,SUNTV IN Equity,SUNTV IN Equity,SUNTV IN Equity,SUNTV IN Equity,SUNTV IN Equity
2010-02-14,253.62,260.11,251.28,256.66,1121476.0
2010-02-15,257.34,259.03,250.27,252.43,451547.0
2010-02-16,253.79,255.38,249.56,252.81,145881.0
2010-02-17,254.29,285.88,251.32,255.34,258233.0
2010-02-18,257.27,258.76,249.05,251.11,193636.0
2010-02-19,251.59,254.87,247.87,251.69,142701.0
2010-02-20,251.59,254.87,247.87,251.69,142701.0
2010-02-21,251.59,254.87,247.87,251.69,142701.0
2010-02-22,257.0,257.0,248.95,250.27,196168.0
2010-02-23,251.59,252.87,248.21,248.95,125374.0
2010-02-24,250.2,250.88,244.99,246.68,227683.0
2010-02-25,250.17,252.2,239.41,241.0,163598.0
2010-02-26,240.77,251.35,238.33,249.69,372041.0
2010-02-27,240.77,251.35,238.33,249.69,372041.0
2010-02-28,240.77,251.35,238.33,249.69,372041.0
2010-03-01,240.77,251.35,238.33,249.69,372041.0
2010-03-02,250.24,257.64,249.56,254.33,138371.0
2010-03-03,258.28,261.67,254.97,260.31,142160.0
2010-03-04,257.0,263.09,257.0,261.12,79301.0
2010-03-05,260.24,287.36,259.47,283.34,2711692.0
2010-03-06,260.24,287.36,259.47,283.34,2711692.0
2010-03-07,260.24,287.36,259.47,283.34,2711692.0
2010-03-08,283.54,286.01,274.72,276.65,1426787.0
2010-03-09,277.96,279.59,271.95,277.12,267035.0
2010-03-10,277.12,285.4,273.84,276.95,558173.0
2010-03-11,272.11,280.6,272.11,279.49,250389.0
2010-03-12,282.7,282.7,274.58,276.54,301313.0
2010-03-13,282.7,282.7,274.58,276.54,301313.0
2010-03-14,282.7,282.7,274.58,276.54,301313.0
2010-03-15,275.9,281.89,271.2,279.52,281947.0
2010-03-16,277.29,290.14,275.5,289.12,568228.0
2010-03-17,292.84,296.9,282.16,283.27,525472.0
2010-03-18,278.13,287.23,278.13,280.94,137994.0
2010-03-19,283.85,295.55,277.46,283.88,220365.0
2010-03-20,283.85,295.55,277.46,283.88,220365.0
2010-03-21,283.85,295.55,277.46,283.88,220365.0
2010-03-22,277.29,283.34,277.25,280.2,67743.0
2010-03-23,281.38,286.42,279.25,280.87,115968.0
2010-03-24,281.38,286.42,279.25,280.87,115968.0
2010-03-25,279.65,283.0,275.97,278.2,97879.0
2010-03-26,272.11,290.81,272.11,289.7,377966.0
2010-03-27,272.11,290.81,272.11,289.7,377966.0
2010-03-28,272.11,290.81,272.11,289.7,377966.0
2010-03-29,291.49,294.06,284.79,287.74,201677.0
2010-03-30,285.4,291.46,281.35,284.73,178118.0
2010-03-31,285.2,292.17,279.32,289.46,236520.0
2010-04-01,288.79,294.03,285.67,290.71,357119.0
2010-04-02,288.79,294.03,285.67,290.71,357119.0
2010-04-03,288.79,294.03,285.67,290.71,357119.0
2010-04-04,288.79,294.03,285.67,290.71,357119.0
2010-04-05,290.81,297.48,289.5,290.51,84394.0
2010-04-06,292.5,298.73,288.85,293.28,299192.0
2010-04-07,294.4,297.58,288.62,290.88,138107.0
2010-04-08,290.81,294.2,286.93,289.83,59624.0
2010-04-09,290.14,292.84,287.47,288.28,62386.0
2010-04-10,290.14,292.84,287.47,288.28,62386.0
2010-04-11,290.14,292.84,287.47,288.28,62386.0
2010-04-12,292.17,293.52,286.15,286.96,150671.0
2010-04-13,290.68,292.84,285.47,286.93,40282.0
2010-04-14,290.68,292.84,285.47,286.93,40282.0
2010-04-15,284.15,291.15,284.05,286.25,116197.0
2010-04-16,293.99,293.99,284.05,286.05,67835.0
2010-04-17,293.99,293.99,284.05,286.05,67835.0
2010-04-18,293.99,293.99,284.05,286.05,67835.0
2010-04-19,250.61,286.76,250.61,282.6,122746.0
2010-04-20,283.04,287.09,281.55,284.22,37609.0
2010-04-21,287.23,287.64,282.19,287.09,401199.0
2010-04-22,289.33,293.52,284.76,291.39,225157.0
2010-04-23,291.83,300.32,290.78,293.15,422869.0
2010-04-24,291.83,300.32,290.78,293.15,422869.0
2010-04-25,291.83,300.32,290.78,293.15,422869.0
2010-04-26,294.2,294.5,287.53,288.75,50801.0
2010-04-27,286.55,292.78,284.52,288.04,58848.0
2010-04-28,285.4,288.41,282.02,284.42,44557.0
2010-04-29,286.76,286.76,281.35,283.1,157011.0
2010-04-30,293.86,293.86,277.29,285.3,27806.0
2010-05-01,293.86,293.86,277.29,285.3,27806.0
2010-05-02,293.86,293.86,277.29,285.3,27806.0
2010-05-03,289.46,289.46,284.73,287.23,26316.0
2010-05-04,292.1,292.1,282.7,284.66,244406.0
2010-05-05,282.7,289.39,274.04,279.69,112999.0
2010-05-06,279.22,287.43,275.29,279.59,73469.0
2010-05-07,287.23,287.23,272.01,276.85,67196.0
2010-05-08,287.23,287.23,272.01,276.85,67196.0
2010-05-09,287.23,287.23,272.01,276.85,67196.0
2010-05-10,277.52,291.76,277.52,285.78,167138.0
2010-05-11,274.82,290.07,274.82,287.7,56998.0
2010-05-12,287.7,304.34,284.05,287.4,132430.0
2010-05-13,284.05,293.45,284.05,287.53,28202.0
2010-05-14,297.34,301.97,285.64,297.48,322338.0
2010-05-15,297.34,301.97,285.64,297.48,322338.0
2010-05-16,297.34,301.97,285.64,297.48,322338.0
2010-05-17,296.16,301.74,288.14,295.75,94577.0
2010-05-18,301.64,306.37,286.22,287.2,422703.0
2010-05-19,284.22,291.36,277.32,280.57,156689.0
2010-05-20,280.57,284.05,277.29,280.91,89876.0
2010-05-21,278.64,279.82,268.6,275.39,140650.0
2010-05-22,278.64,279.82,268.6,275.39,140650.0
2010-05-23,278.64,279.82,268.6,275.39,140650.0
2010-05-24,276.61,279.32,272.15,275.02,153345.0
2010-05-25,273.16,274.55,269.21,273.09,107153.0
2010-05-26,272.22,277.05,267.18,270.12,222447.0
2010-05-27,270.69,280.6,264.51,271.81,88439.0
2010-05-28,274.58,284.05,272.55,276.81,918173.0
2010-05-29,274.58,284.05,272.55,276.81,918173.0
2010-05-30,274.58,284.05,272.55,276.81,918173.0
2010-05-31,277.96,277.96,271.95,274.31,56866.0
2010-06-01,277.96,279.99,271.2,272.69,97533.0
2010-06-02,271.74,276.54,268.6,270.29,220516.0
2010-06-03,277.29,277.29,271.3,272.66,77009.0
2010-06-04,275.94,277.8,267.14,268.9,256144.0
2010-06-05,275.94,277.8,267.14,268.9,256144.0
2010-06-06,275.94,277.8,267.14,268.9,256144.0
2010-06-07,267.14,270.46,258.69,266.97,118331.0
2010-06-08,280.47,280.47,261.06,263.05,94966.0
2010-06-09,262.41,267.68,260.38,265.79,43036.0
2010-06-10,265.11,284.05,265.11,281.68,681445.0
2010-06-11,283.04,287.33,273.23,276.04,364379.0
2010-06-12,283.04,287.33,273.23,276.04,364379.0
2010-06-13,283.04,287.33,273.23,276.04,364379.0
2010-06-14,277.25,285.4,274.82,275.94,125060.0
2010-06-15,278.98,285.3,276.61,278.78,146379.0
2010-06-16,283.1,283.1,271.2,272.25,338594.0
2010-06-17,281.99,281.99,270.69,272.15,325988.0
2010-06-18,273.74,278.61,271.2,272.59,392085.0
2010-06-19,273.74,278.61,271.2,272.59,392085.0
2010-06-20,273.74,278.61,271.2,272.59,392085.0
2010-06-21,277.22,277.22,271.91,273.23,201032.0
2010-06-22,275.06,278.44,270.86,272.25,469202.0
2010-06-23,254.53,276.24,254.53,273.8,157358.0
2010-06-24,275.87,280.67,273.23,274.58,306233.0
2010-06-25,276.54,285.0,275.94,278.34,306498.0
2010-06-26,276.54,285.0,275.94,278.34,306498.0
2010-06-27,276.54,285.0,275.94,278.34,306498.0
2010-06-28,280.67,286.25,276.75,284.59,212402.0
2010-06-29,302.78,302.78,284.05,285.78,324632.0
2010-06-30,288.11,297.58,278.74,295.55,489675.0
2010-07-01,295.55,297.58,289.8,291.52,134298.0
2010-07-02,292.17,297.21,288.28,290.65,137307.0
2010-07-03,292.17,297.21,288.28,290.65,137307.0
2010-07-04,292.17,297.21,288.28,290.65,137307.0
2010-07-05,289.46,293.76,287.43,290.92,35308.0
2010-07-06,291.42,292.1,284.73,289.29,248223.0
2010-07-07,294.2,294.2,285.78,289.97,71496.0
2010-07-08,293.15,293.52,288.95,291.46,51547.0
2010-07-09,293.38,294.84,289.46,290.88,84415.0
2010-07-10,293.38,294.84,289.46,290.88,84415.0
2010-07-11,293.38,294.84,289.46,290.88,84415.0
2010-07-12,290.31,293.05,288.11,289.83,23849.0
2010-07-13,287.43,298.73,287.43,294.91,385476.0
2010-07-14,297.51,300.82,294.26,298.63,402641.0
2010-07-15,299.61,301.94,292.17,298.25,130421.0
2010-07-16,298.25,307.52,294.91,303.77,162602.0
2010-07-17,298.25,307.52,294.91,303.77,162602.0
2010-07-18,298.25,307.52,294.91,303.77,162602.0
2010-07-19,305.02,313.13,299.67,308.53,303676.0
2010-07-20,310.43,316.45,308.4,314.72,374765.0
2010-07-21,316.51,321.25,300.11,305.52,446393.0
2010-07-22,309.57,309.57,301.79,303.43,132767.0
2010-07-23,303.64,307.75,296.78,298.09,193773.0
2010-07-24,303.64,307.75,296.78,298.09,193773.0
2010-07-25,303.64,307.75,296.78,298.09,193773.0
2010-07-26,298.16,307.07,296.82,300.01,141772.0
2010-07-27,301.58,307.07,298.84,306.35,221811.0
2010-07-28,306.38,317.35,302.41,315.36,547315.0
2010-07-29,318.79,321.12,309.16,312.34,324952.0
2010-07-30,313.44,316.8,309.81,311.52,159894.0
2010-07-31,313.44,316.8,309.81,311.52,159894.0
2010-08-01,313.44,316.8,309.81,311.52,159894.0
2010-08-02,313.58,315.84,309.12,311.59,51564.0
2010-08-03,314.88,327.59,313.27,324.48,355967.0
2010-08-04,325.57,326.94,320.09,322.39,195399.0
2010-08-05,327.9,327.9,314.26,315.87,140471.0
2010-08-06,316.66,332.77,312.1,317.93,503180.0
2010-08-07,316.66,332.77,312.1,317.93,503180.0
2010-08-08,316.66,332.77,312.1,317.93,503180.0
2010-08-09,321.87,324.51,318.72,323.1,106727.0
2010-08-10,329.0,329.0,318.89,322.87,216918.0
2010-08-11,322.66,330.3,322.28,326.74,280137.0
2010-08-12,323.52,337.77,322.63,334.45,493926.0
2010-08-13,337.84,375.81,335.13,349.15,1399727.0
2010-08-14,337.84,375.81,335.13,349.15,1399727.0
2010-08-15,337.84,375.81,335.13,349.15,1399727.0
2010-08-16,349.56,354.36,332.84,334.52,551895.0
2010-08-17,337.84,342.61,329.0,331.23,351259.0
2010-08-18,335.17,335.61,326.39,330.95,173326.0
2010-08-19,334.89,338.46,330.61,332.53,145606.0
2010-08-20,329.0,337.22,329.0,331.91,81938.0
2010-08-21,329.0,337.22,329.0,331.91,81938.0
2010-08-22,329.0,337.22,329.0,331.91,81938.0
2010-08-23,335.17,345.11,323.0,328.69,1049341.0
2010-08-24,330.92,333.04,322.15,324.51,316596.0
2010-08-25,327.56,329.58,318.72,319.68,171537.0
2010-08-26,321.73,325.16,317.48,319.71,281566.0
2010-08-27,325.5,328.07,316.7,319.58,237785.0
2010-08-28,325.5,328.07,316.7,319.58,237785.0
2010-08-29,325.5,328.07,316.7,319.58,237785.0
2010-08-30,321.46,326.94,319.4,323.69,239465.0
2010-08-31,324.89,331.74,321.63,327.42,550560.0
2010-09-01,331.06,332.43,327.7,330.37,320025.0
2010-09-02,328.31,337.84,328.31,336.71,299977.0
2010-09-03,269.37,340.51,269.37,337.46,147443.0
2010-09-04,269.37,340.51,269.37,337.46,147443.0
2010-09-05,269.37,340.51,269.37,337.46,147443.0
2010-09-06,339.28,344.01,337.22,338.53,104880.0
2010-09-07,340.51,349.56,338.77,347.64,314301.0
2010-09-08,346.0,353.67,344.11,349.25,241684.0
2010-09-09,350.52,353.19,346.79,348.53,181643.0
2010-09-10,350.52,353.19,346.79,348.53,181643.0
2010-09-11,350.52,353.19,346.79,348.53,181643.0
2010-09-12,350.52,353.19,346.79,348.53,181643.0
2010-09-13,349.56,353.67,346.13,348.6,221123.0
2010-09-14,352.92,352.92,342.02,344.35,179915.0
2010-09-15,345.96,348.19,335.17,338.29,323405.0
2010-09-16,338.87,346.48,334.89,340.31,446065.0
2010-09-17,342.3,363.96,340.65,347.27,880919.0
2010-09-18,342.3,363.96,340.65,347.27,880919.0
2010-09-19,342.3,363.96,340.65,347.27,880919.0
2010-09-20,349.56,358.47,347.78,355.49,392493.0
2010-09-21,342.81,360.39,342.81,351.82,212921.0
2010-09-22,349.56,356.07,344.15,348.4,220904.0
2010-09-23,349.56,354.98,346.48,347.68,307761.0
2010-09-24,349.42,358.47,346.68,355.46,348371.0
2010-09-25,349.42,358.47,346.68,355.46,348371.0
2010-09-26,349.42,358.47,346.68,355.46,348371.0
2010-09-27,358.06,372.35,355.73,363.96,853085.0
2010-09-28,366.56,367.38,358.47,360.91,261588.0
2010-09-29,363.85,365.33,344.28,351.96,278660.0
2010-09-30,352.89,360.19,348.26,355.73,329677.0
2010-10-01,359.84,370.57,359.77,363.0,934699.0
2010-10-02,359.84,370.57,359.77,363.0,934699.0
2010-10-03,359.84,370.57,359.77,363.0,934699.0
2010-10-04,363.96,372.83,358.58,361.15,462784.0
2010-10-05,360.19,363.34,346.31,354.94,288224.0
2010-10-06,361.21,361.21,355.73,357.38,381314.0
2010-10-07,357.38,363.13,353.09,356.83,243086.0
2010-10-08,357.31,361.15,356.48,358.71,252441.0
2010-10-09,357.31,361.15,356.48,358.71,252441.0
2010-10-10,357.31,361.15,356.48,358.71,252441.0
2010-10-11,363.27,370.12,359.84,361.39,225022.0
2010-10-12,363.13,364.64,355.05,357.62,105397.0
2010-10-13,361.49,361.49,355.25,356.35,89312.0
2010-10-14,357.1,361.9,348.88,351.86,124413.0
2010-10-15,354.36,355.59,345.45,351.41,215898.0
2010-10-16,354.36,355.59,345.45,351.41,215898.0
2010-10-17,354.36,355.59,345.45,351.41,215898.0
2010-10-18,346.82,352.99,342.02,349.94,96004.0
2010-10-19,350.25,352.85,347.64,349.77,72544.0
2010-10-20,349.9,352.03,344.08,345.69,47764.0
2010-10-21,346.13,350.93,346.13,348.53,58315.0
2010-10-22,349.56,357.65,348.16,353.78,326474.0
2010-10-23,349.56,357.65,348.16,353.78,326474.0
2010-10-24,349.56,357.65,348.16,353.78,326474.0
2010-10-25,356.31,359.84,353.13,354.67,62646.0
2010-10-26,355.15,357.79,349.94,351.62,75173.0
2010-10-27,351.62,356.35,350.93,353.33,117923.0
2010-10-28,355.59,359.84,335.92,340.48,805172.0
2010-10-29,339.97,346.07,337.22,342.23,108049.0
2010-10-30,339.97,346.07,337.22,342.23,108049.0
2010-10-31,339.97,346.07,337.22,342.23,108049.0
2010-11-01,343.39,348.84,329.0,344.25,56303.0
2010-11-02,345.86,356.28,332.43,354.19,239582.0
2010-11-03,355.73,359.84,352.99,357.68,210969.0
2010-11-04,358.51,360.53,354.46,357.44,161558.0
2010-11-05,359.84,362.58,346.13,355.05,9045.0
2010-11-06,359.84,362.58,346.13,355.05,9045.0
2010-11-07,359.84,362.58,346.13,355.05,9045.0
2010-11-08,353.71,358.99,351.17,354.94,71299.0
2010-11-09,356.83,357.65,347.06,352.95,273239.0
2010-11-10,352.99,371.5,351.82,368.21,493245.0
2010-11-11,369.03,370.81,361.18,363.85,189466.0
2010-11-12,361.18,368.03,353.13,355.63,125034.0
2010-11-13,361.18,368.03,353.13,355.63,125034.0
2010-11-14,361.18,368.03,353.13,355.63,125034.0
2010-11-15,357.34,366.01,353.06,355.46,80391.0
2010-11-16,355.05,366.7,348.19,350.56,229649.0
2010-11-17,355.05,366.7,348.19,350.56,229649.0
2010-11-18,352.2,355.32,345.45,348.43,185961.0
2010-11-19,348.4,350.18,336.78,345.83,35037.0
2010-11-20,348.4,350.18,336.78,345.83,35037.0
2010-11-21,348.4,350.18,336.78,345.83,35037.0
2010-11-22,343.77,350.59,333.28,341.27,92415.0
2010-11-23,339.14,339.93,327.63,332.7,729088.0
2010-11-24,329.0,342.71,328.66,335.85,112795.0
2010-11-25,330.54,342.71,330.37,335.27,289956.0
2010-11-26,332.5,339.28,322.15,336.33,435405.0
2010-11-27,332.5,339.28,322.15,336.33,435405.0
2010-11-28,332.5,339.28,322.15,336.33,435405.0
2010-11-29,326.67,346.82,326.67,339.28,430836.0
2010-11-30,339.97,347.85,326.5,346.07,277735.0
2010-12-01,344.08,358.13,340.82,356.18,256772.0
2010-12-02,360.53,361.21,352.51,358.51,58122.0
2010-12-03,359.64,362.93,355.83,356.45,68546.0
2010-12-04,359.64,362.93,355.83,356.45,68546.0
2010-12-05,359.64,362.93,355.83,356.45,68546.0
2010-12-06,356.79,363.17,332.91,361.25,163900.0
2010-12-07,361.21,363.96,356.52,361.32,221535.0
2010-12-08,357.79,361.21,354.39,359.84,313808.0
2010-12-09,356.45,359.81,346.13,354.29,75667.0
2010-12-10,346.82,374.92,339.28,362.24,346657.0
2010-12-11,346.82,374.92,339.28,362.24,346657.0
2010-12-12,346.82,374.92,339.28,362.24,346657.0
2010-12-13,361.9,367.35,354.74,358.4,97817.0
2010-12-14,358.75,371.29,356.42,368.75,404942.0
2010-12-15,370.12,372.8,363.3,367.35,208775.0
2010-12-16,370.12,370.78,362.58,364.85,109627.0
2010-12-17,370.12,370.78,362.58,364.85,109627.0
2010-12-18,370.12,370.78,362.58,364.85,109627.0
2010-12-19,370.12,370.78,362.58,364.85,109627.0
2010-12-20,360.94,372.87,359.91,370.57,127711.0
2010-12-21,372.87,376.98,359.88,362.58,244327.0
2010-12-22,359.16,366.01,359.16,362.69,61348.0
2010-12-23,360.19,365.26,359.84,361.8,23202.0
2010-12-24,364.64,364.64,357.62,362.41,35630.0
2010-12-25,364.64,364.64,357.62,362.41,35630.0
2010-12-26,364.64,364.64,357.62,362.41,35630.0
2010-12-27,359.71,366.53,359.16,359.88,53665.0
2010-12-28,352.65,363.24,352.65,361.18,23619.0
2010-12-29,354.02,364.26,354.02,358.54,317968.0
2010-12-30,362.31,372.87,357.1,359.43,114626.0
2010-12-31,359.88,363.48,358.13,360.46,56976.0
2011-01-01,359.88,363.48,358.13,360.46,56976.0
2011-01-02,359.88,363.48,358.13,360.46,56976.0
2011-01-03,366.66,372.87,359.91,369.88,183724.0
2011-01-04,375.44,376.98,368.21,369.82,216342.0
2011-01-05,363.27,381.71,363.27,374.24,490487.0
2011-01-06,376.29,377.66,367.07,373.52,93165.0
2011-01-07,374.24,374.24,359.91,361.66,78867.0
2011-01-08,374.24,374.24,359.91,361.66,78867.0
2011-01-09,374.24,374.24,359.91,361.66,78867.0
2011-01-10,355.73,363.27,344.15,347.51,121986.0
2011-01-11,339.28,359.16,336.54,339.66,101898.0
2011-01-12,341.34,350.93,336.54,345.69,92136.0
2011-01-13,344.08,349.77,342.13,343.87,22175.0
2011-01-14,346.82,349.53,339.97,345.04,45984.0
2011-01-15,346.82,349.53,339.97,345.04,45984.0
2011-01-16,346.82,349.53,339.97,345.04,45984.0
2011-01-17,346.79,348.81,340.31,346.65,24758.0
2011-01-18,347.51,357.72,345.48,355.18,104235.0
2011-01-19,355.73,359.71,345.45,347.16,59039.0
2011-01-20,344.08,349.15,331.3,343.7,53377.0
2011-01-21,340.31,357.62,333.35,341.54,500769.0
2011-01-22,340.31,357.62,333.35,341.54,500769.0
2011-01-23,340.31,357.62,333.35,341.54,500769.0
2011-01-24,344.66,347.51,335.85,343.84,40915.0
2011-01-25,346.13,349.56,342.88,345.59,365514.0
2011-01-26,346.13,349.56,342.88,345.59,365514.0
2011-01-27,348.88,348.88,339.35,341.37,157278.0
2011-01-28,342.43,349.9,327.15,330.75,600628.0
2011-01-29,342.43,349.9,327.15,330.75,600628.0
2011-01-30,342.43,349.9,327.15,330.75,600628.0
2011-01-31,330.37,341.34,315.33,334.62,280175.0
2011-02-01,336.61,344.04,334.45,338.97,124924.0
2011-02-02,346.17,348.98,335.89,342.64,91279.0
2011-02-03,345.93,348.46,342.75,346.59,86095.0
2011-02-04,342.88,350.33,313.04,321.28,787185.0
2011-02-05,342.88,350.33,313.04,321.28,787185.0
2011-02-06,342.88,350.33,313.04,321.28,787185.0
2011-02-07,321.63,324.47,256.44,285.1,13453920.0
2011-02-08,282.06,299.92,278.35,283.99,4860606.0
2011-02-09,276.27,288.53,274.44,284.38,1314320.0
2011-02-10,280.77,291.51,265.96,281.85,688103.0
2011-02-11,274.23,294.28,274.23,290.19,349769.0
2011-02-12,274.23,294.28,274.23,290.19,349769.0
2011-02-13,274.23,294.28,274.23,290.19,349769.0
2011-02-14,291.51,294.28,287.35,292.06,279208.0
2011-02-15,292.2,306.74,270.04,280.74,4616627.0
2011-02-16,281.12,314.91,268.66,294.55,4787811.0
2011-02-17,299.12,299.12,278.49,285.48,2919157.0
2011-02-18,280.43,289.43,272.26,281.26,853275.0
2011-02-19,280.43,289.43,272.26,281.26,853275.0
2011-02-20,280.43,289.43,272.26,281.26,853275.0
2011-02-21,285.14,286.63,274.44,281.95,435444.0
2011-02-22,279.74,282.44,270.04,271.43,749670.0
2011-02-23,271.43,278.21,266.58,271.43,511573.0
2011-02-24,276.76,276.76,260.49,264.54,951942.0
2011-02-25,269.77,280.84,264.57,273.89,306463.0
2011-02-26,269.77,280.84,264.57,273.89,306463.0
2011-02-27,269.77,280.84,264.57,273.89,306463.0
2011-02-28,270.04,284.51,270.04,280.95,470290.0
2011-03-01,283.44,288.05,277.73,286.0,213899.0
2011-03-02,283.44,288.05,277.73,286.0,213899.0
2011-03-03,288.05,292.2,282.02,289.95,1242500.0
2011-03-04,297.74,297.74,287.42,290.5,96822.0
2011-03-05,297.74,297.74,287.42,290.5,96822.0
2011-03-06,297.74,297.74,287.42,290.5,96822.0
2011-03-07,272.57,287.35,270.04,286.24,476686.0
2011-03-08,283.89,292.2,283.89,289.95,198292.0
2011-03-09,293.58,304.7,290.81,295.56,242751.0
2011-03-10,295.56,299.37,293.0,296.56,51651.0
2011-03-11,297.46,297.7,291.75,295.49,146350.0
2011-03-12,297.46,297.7,291.75,295.49,146350.0
2011-03-13,297.46,297.7,291.75,295.49,146350.0
2011-03-14,277.0,304.66,277.0,298.22,202115.0
2011-03-15,294.28,303.73,284.27,299.82,171953.0
2011-03-16,297.01,304.77,297.01,303.83,69819.0
2011-03-17,301.17,306.81,294.97,301.24,90842.0
2011-03-18,303.9,311.52,299.19,304.87,260504.0
2011-03-19,303.9,311.52,299.19,304.87,260504.0
2011-03-20,303.9,311.52,299.19,304.87,260504.0
2011-03-21,307.16,307.16,297.77,304.91,90767.0
2011-03-22,304.66,308.78,297.74,301.3,32936.0
2011-03-23,299.82,314.36,295.66,308.37,89920.0
2011-03-24,308.85,312.28,302.07,304.35,44795.0
2011-03-25,307.88,321.28,297.77,300.34,606944.0
2011-03-26,307.88,321.28,297.77,300.34,606944.0
2011-03-27,307.88,321.28,297.77,300.34,606944.0
2011-03-28,299.12,303.97,293.45,298.92,108472.0
2011-03-29,300.47,305.25,297.74,300.02,90572.0
2011-03-30,305.42,312.94,298.43,300.99,50678.0
2011-03-31,310.2,320.76,298.26,311.07,362323.0
2011-04-01,316.95,321.97,305.42,308.4,55264.0
2011-04-02,316.95,321.97,305.42,308.4,55264.0
2011-04-03,316.95,321.97,305.42,308.4,55264.0
2011-04-04,315.05,315.05,302.93,304.32,124940.0
2011-04-05,304.7,310.89,302.07,306.77,71043.0
2011-04-06,308.51,310.86,303.28,305.7,68323.0
2011-04-07,306.08,317.06,305.36,310.76,193931.0
2011-04-08,309.51,316.61,302.07,305.08,89837.0
2011-04-09,309.51,316.61,302.07,305.08,89837.0
2011-04-10,309.51,316.61,302.07,305.08,89837.0
2011-04-11,304.66,306.05,297.08,299.61,75630.0
2011-04-12,304.66,306.05,297.08,299.61,75630.0
2011-04-13,298.22,301.2,295.66,296.46,86032.0
2011-04-14,298.22,301.2,295.66,296.46,86032.0
2011-04-15,299.5,300.51,293.07,293.48,157265.0
2011-04-16,299.5,300.51,293.07,293.48,157265.0
2011-04-17,299.5,300.51,293.07,293.48,157265.0
2011-04-18,293.86,296.35,290.81,291.71,115263.0
2011-04-19,291.71,297.74,288.74,290.95,145550.0
2011-04-20,294.66,297.67,284.62,292.79,120786.0
2011-04-21,294.9,304.28,293.65,300.23,461435.0
2011-04-22,294.9,304.28,293.65,300.23,461435.0
2011-04-23,294.9,304.28,293.65,300.23,461435.0
2011-04-24,294.9,304.28,293.65,300.23,461435.0
2011-04-25,300.23,302.52,286.38,292.79,146466.0
2011-04-26,286.38,303.97,286.38,298.47,150423.0
2011-04-27,291.51,299.54,291.51,296.6,133633.0
2011-04-28,301.2,301.2,291.85,294.17,716552.0
2011-04-29,296.25,313.32,291.99,295.38,254899.0
2011-04-30,296.25,313.32,291.99,295.38,254899.0
2011-05-01,296.25,313.32,291.99,295.38,254899.0
2011-05-02,286.35,301.86,286.35,296.63,184418.0
2011-05-03,297.6,299.68,289.57,291.37,30946.0
2011-05-04,291.51,294.62,284.58,288.81,659630.0
2011-05-05,290.81,290.81,280.08,280.5,85298.0
2011-05-06,281.5,284.24,278.35,281.64,82170.0
2011-05-07,281.5,284.24,278.35,281.64,82170.0
2011-05-08,281.5,284.24,278.35,281.64,82170.0
