,NMDC IN Equity,NMDC IN Equity,NMDC IN Equity,NMDC IN Equity,NMDC IN Equity
2010-05-30,92.36,93.57,91.46,91.99,390133.0
2010-05-31,92.67,98.48,91.66,97.18,3341343.0
2010-06-01,96.78,98.13,94.33,95.0,1444429.0
2010-06-02,94.67,96.61,93.88,95.07,535133.0
2010-06-03,95.78,96.8,94.41,94.81,485144.0
2010-06-04,95.42,96.19,93.62,94.71,398792.0
2010-06-05,95.42,96.19,93.62,94.71,398792.0
2010-06-06,95.42,96.19,93.62,94.71,398792.0
2010-06-07,90.26,93.36,89.94,90.9,536536.0
2010-06-08,90.39,92.13,88.36,88.79,884728.0
2010-06-09,89.9,90.9,87.83,88.35,657771.0
2010-06-10,88.69,89.52,88.21,88.59,443770.0
2010-06-11,89.68,90.01,88.35,88.79,446103.0
2010-06-12,89.68,90.01,88.35,88.79,446103.0
2010-06-13,89.68,90.01,88.35,88.79,446103.0
2010-06-14,88.98,89.56,88.33,88.5,366870.0
2010-06-15,87.86,92.65,87.86,90.71,1507662.0
2010-06-16,91.35,91.87,90.07,90.54,368543.0
2010-06-17,90.94,94.71,90.71,91.68,1162403.0
2010-06-18,91.66,92.67,91.51,91.63,584195.0
2010-06-19,91.66,92.67,91.51,91.63,584195.0
2010-06-20,91.66,92.67,91.51,91.63,584195.0
2010-06-21,92.32,92.67,91.73,92.32,460945.0
2010-06-22,91.63,93.32,91.34,91.6,431654.0
2010-06-23,91.63,91.98,90.42,90.75,417002.0
2010-06-24,91.3,91.98,90.59,91.41,350803.0
2010-06-25,91.6,92.32,90.94,91.96,456365.0
2010-06-26,91.6,92.32,90.94,91.96,456365.0
2010-06-27,91.6,92.32,90.94,91.96,456365.0
2010-06-28,91.92,94.34,91.03,92.96,467815.0
2010-06-29,93.01,94.92,91.63,92.11,616938.0
2010-06-30,91.98,93.32,90.77,91.82,533514.0
2010-07-01,91.96,94.85,91.54,91.85,1234104.0
2010-07-02,92.36,92.91,90.47,90.9,930550.0
2010-07-03,92.36,92.91,90.47,90.9,930550.0
2010-07-04,92.36,92.91,90.47,90.9,930550.0
2010-07-05,91.98,91.98,90.25,90.61,620437.0
2010-07-06,91.18,93.19,90.3,91.06,1676596.0
2010-07-07,91.63,94.55,90.94,91.3,749056.0
2010-07-08,92.84,93.15,90.77,91.04,985924.0
2010-07-09,91.11,92.29,91.11,91.51,497361.0
2010-07-10,91.11,92.29,91.11,91.51,497361.0
2010-07-11,91.11,92.29,91.11,91.51,497361.0
2010-07-12,93.7,93.7,91.3,91.6,720861.0
2010-07-13,91.32,92.67,90.59,91.56,822881.0
2010-07-14,91.8,93.19,91.28,91.53,919809.0
2010-07-15,90.94,91.89,90.8,91.28,442570.0
2010-07-16,91.61,92.11,91.11,91.32,398349.0
2010-07-17,91.61,92.11,91.11,91.32,398349.0
2010-07-18,91.61,92.11,91.11,91.32,398349.0
2010-07-19,91.23,91.44,89.99,90.63,584098.0
2010-07-20,90.82,91.28,88.86,89.28,550637.0
2010-07-21,89.73,91.06,89.14,89.45,744247.0
2010-07-22,89.9,90.85,89.33,90.39,471999.0
2010-07-23,90.7,90.92,89.23,89.69,344618.0
2010-07-24,90.7,90.92,89.23,89.69,344618.0
2010-07-25,90.7,90.92,89.23,89.69,344618.0
2010-07-26,90.25,90.59,89.76,90.32,319648.0
2010-07-27,91.04,91.22,90.25,90.56,329595.0
2010-07-28,90.59,90.71,90.23,90.28,245333.0
2010-07-29,90.94,91.46,90.54,90.63,238192.0
2010-07-30,90.8,91.81,90.11,90.54,422291.0
2010-07-31,90.8,91.81,90.11,90.54,422291.0
2010-08-01,90.8,91.81,90.11,90.54,422291.0
2010-08-02,90.87,91.64,90.61,90.99,358078.0
2010-08-03,91.7,94.76,91.38,92.85,2101839.0
2010-08-04,93.06,94.38,93.02,93.32,855218.0
2010-08-05,93.58,93.86,92.33,92.62,409289.0
2010-08-06,92.68,94.34,91.98,93.39,798150.0
2010-08-07,92.68,94.34,91.98,93.39,798150.0
2010-08-08,92.68,94.34,91.98,93.39,798150.0
2010-08-09,93.72,93.72,92.33,93.01,379772.0
2010-08-10,93.32,93.54,90.94,91.1,417435.0
2010-08-11,91.29,92.68,90.66,90.92,418921.0
2010-08-12,91.1,91.11,88.68,89.29,605562.0
2010-08-13,89.64,90.4,88.86,89.22,315536.0
2010-08-14,89.64,90.4,88.86,89.22,315536.0
2010-08-15,89.64,90.4,88.86,89.22,315536.0
2010-08-16,89.34,89.8,87.35,89.15,398952.0
2010-08-17,89.55,89.62,87.97,88.27,273160.0
2010-08-18,88.56,90.16,88.51,89.21,354115.0
2010-08-19,88.86,89.52,88.2,88.6,419448.0
2010-08-20,88.86,91.62,88.16,89.57,901363.0
2010-08-21,88.86,91.62,88.16,89.57,901363.0
2010-08-22,88.86,91.62,88.16,89.57,901363.0
2010-08-23,89.71,90.21,88.86,89.17,253018.0
2010-08-24,89.36,89.62,88.16,88.25,190789.0
2010-08-25,88.51,88.55,87.14,87.68,360938.0
2010-08-26,87.5,88.01,86.9,87.3,365894.0
2010-08-27,86.81,88.16,85.25,85.68,347399.0
2010-08-28,86.81,88.16,85.25,85.68,347399.0
2010-08-29,86.81,88.16,85.25,85.68,347399.0
2010-08-30,87.47,90.07,85.08,85.44,368225.0
2010-08-31,85.39,85.44,83.3,83.48,275582.0
2010-09-01,84.17,89.0,83.65,86.74,1800913.0
2010-09-02,87.47,88.06,86.13,86.5,338237.0
2010-09-03,86.74,88.01,85.8,86.46,469950.0
2010-09-04,86.74,88.01,85.8,86.46,469950.0
2010-09-05,86.74,88.01,85.8,86.46,469950.0
2010-09-06,88.75,88.79,87.12,88.37,495329.0
2010-09-07,88.23,92.68,87.3,90.78,1740303.0
2010-09-08,88.51,91.51,88.51,89.92,413684.0
2010-09-09,90.63,94.05,89.9,90.23,607867.0
2010-09-10,90.63,94.05,89.9,90.23,607867.0
2010-09-11,90.63,94.05,89.9,90.23,607867.0
2010-09-12,90.63,94.05,89.9,90.23,607867.0
2010-09-13,90.66,91.57,90.32,91.06,438916.0
2010-09-14,91.06,91.81,87.47,90.42,470459.0
2010-09-15,90.73,91.18,89.97,90.23,401089.0
2010-09-16,90.23,90.84,89.76,90.39,455431.0
2010-09-17,90.39,93.02,89.01,92.4,1330075.0
2010-09-18,90.39,93.02,89.01,92.4,1330075.0
2010-09-19,90.39,93.02,89.01,92.4,1330075.0
2010-09-20,93.01,95.35,90.96,94.39,1584244.0
2010-09-21,93.72,94.76,92.29,94.05,1017359.0
2010-09-22,94.76,96.67,93.02,94.13,996339.0
2010-09-23,95.09,95.09,92.68,93.16,368036.0
2010-09-24,93.37,93.72,92.19,92.68,217313.0
2010-09-25,93.37,93.72,92.19,92.68,217313.0
2010-09-26,93.37,93.72,92.19,92.68,217313.0
2010-09-27,93.35,93.72,92.07,92.5,247949.0
2010-09-28,93.35,94.72,92.36,93.39,651371.0
2010-09-29,92.68,94.07,90.94,91.77,261667.0
2010-09-30,91.11,92.49,90.25,90.8,305173.0
2010-10-01,91.98,96.77,91.55,96.22,2278880.0
2010-10-02,91.98,96.77,91.55,96.22,2278880.0
2010-10-03,91.98,96.77,91.55,96.22,2278880.0
2010-10-04,96.49,99.24,96.49,98.66,1656408.0
2010-10-05,98.58,99.27,96.15,96.56,1067202.0
2010-10-06,98.56,100.66,96.88,100.05,2010018.0
2010-10-07,100.31,103.78,97.9,100.07,3137567.0
2010-10-08,100.66,101.93,98.25,98.84,778357.0
2010-10-09,100.66,101.93,98.25,98.84,778357.0
2010-10-10,100.66,101.93,98.25,98.84,778357.0
2010-10-11,99.72,101.56,99.27,100.3,440737.0
2010-10-12,98.92,100.66,97.07,99.13,573882.0
2010-10-13,100.07,100.89,98.94,99.58,854902.0
2010-10-14,99.62,100.66,98.92,99.9,681302.0
2010-10-15,100.24,101.65,98.75,99.76,876600.0
2010-10-16,100.24,101.65,98.75,99.76,876600.0
2010-10-17,100.24,101.65,98.75,99.76,876600.0
2010-10-18,100.12,101.01,96.49,99.41,628299.0
2010-10-19,99.29,100.66,97.55,98.23,276073.0
2010-10-20,98.92,99.08,95.52,96.03,277745.0
2010-10-21,96.82,97.88,96.23,97.29,339578.0
2010-10-22,98.16,98.58,96.69,97.4,283365.0
2010-10-23,98.16,98.58,96.69,97.4,283365.0
2010-10-24,98.16,98.58,96.69,97.4,283365.0
2010-10-25,98.23,98.23,96.01,96.29,173131.0
2010-10-26,97.54,97.54,95.52,96.04,250280.0
2010-10-27,95.49,96.15,94.79,95.56,251962.0
2010-10-28,96.49,101.46,95.28,97.81,1697047.0
2010-10-29,98.72,99.62,95.18,96.25,858017.0
2010-10-30,98.72,99.62,95.18,96.25,858017.0
2010-10-31,98.72,99.62,95.18,96.25,858017.0
2010-11-01,97.88,97.88,95.45,96.13,279134.0
2010-11-02,96.48,97.19,95.11,96.55,281772.0
2010-11-03,97.19,100.12,96.53,98.02,919135.0
2010-11-04,98.49,103.59,98.04,100.76,3244392.0
2010-11-05,102.29,102.33,100.0,100.73,389001.0
2010-11-06,102.29,102.33,100.0,100.73,389001.0
2010-11-07,102.29,102.33,100.0,100.73,389001.0
2010-11-08,102.73,102.73,98.14,98.58,419425.0
2010-11-09,98.23,99.77,98.07,98.73,297280.0
2010-11-10,98.61,100.14,97.74,98.65,312454.0
2010-11-11,98.65,99.38,96.84,97.26,330784.0
2010-11-12,96.84,98.23,93.82,94.29,524505.0
2010-11-13,96.84,98.23,93.82,94.29,524505.0
2010-11-14,96.84,98.23,93.82,94.29,524505.0
2010-11-15,94.41,95.11,92.85,94.22,222536.0
2010-11-16,94.22,95.45,91.13,91.77,445777.0
2010-11-17,94.22,95.45,91.13,91.77,445777.0
2010-11-18,92.5,93.72,89.29,92.49,486352.0
2010-11-19,92.61,93.34,89.55,90.06,392204.0
2010-11-20,92.61,93.34,89.55,90.06,392204.0
2010-11-21,92.61,93.34,89.55,90.06,392204.0
2010-11-22,91.81,91.81,89.29,91.01,305292.0
2010-11-23,90.59,90.73,87.47,89.9,506103.0
2010-11-24,89.9,90.94,88.58,89.14,328286.0
2010-11-25,89.66,89.67,80.18,82.92,1329357.0
2010-11-26,83.95,84.28,78.79,82.71,919746.0
2010-11-27,83.95,84.28,78.79,82.71,919746.0
2010-11-28,83.95,84.28,78.79,82.71,919746.0
2010-11-29,83.57,86.08,81.38,83.32,260845.0
2010-11-30,82.61,86.43,82.39,84.68,274986.0
2010-12-01,81.26,88.36,81.26,87.37,483154.0
2010-12-02,88.51,89.52,87.57,88.79,328604.0
2010-12-03,89.21,92.64,88.51,91.5,938092.0
2010-12-04,89.21,92.64,88.51,91.5,938092.0
2010-12-05,89.21,92.64,88.51,91.5,938092.0
2010-12-06,91.84,93.06,88.16,89.33,397999.0
2010-12-07,89.5,91.62,88.16,89.34,152852.0
2010-12-08,88.86,89.21,86.83,87.47,232646.0
2010-12-09,87.82,93.37,83.69,85.28,854946.0
2010-12-10,84.35,87.82,83.65,87.18,313908.0
2010-12-11,84.35,87.82,83.65,87.18,313908.0
2010-12-12,84.35,87.82,83.65,87.18,313908.0
2010-12-13,87.47,89.48,87.12,89.15,211869.0
2010-12-14,89.9,89.9,88.93,89.4,172776.0
2010-12-15,89.21,91.11,87.68,88.09,207839.0
2010-12-16,87.19,89.03,87.19,88.63,105651.0
2010-12-17,87.19,89.03,87.19,88.63,105651.0
2010-12-18,87.19,89.03,87.19,88.63,105651.0
2010-12-19,87.19,89.03,87.19,88.63,105651.0
2010-12-20,88.51,89.8,87.66,89.19,194345.0
2010-12-21,89.67,91.97,89.07,91.48,318554.0
2010-12-22,91.98,93.32,91.29,91.53,265535.0
2010-12-23,91.98,92.73,90.94,91.13,161041.0
2010-12-24,91.95,92.33,90.68,91.39,97629.0
2010-12-25,91.95,92.33,90.68,91.39,97629.0
2010-12-26,91.95,92.33,90.68,91.39,97629.0
2010-12-27,92.09,94.1,92.09,92.88,445595.0
2010-12-28,93.02,94.76,91.98,94.6,409951.0
2010-12-29,94.76,95.45,94.07,95.33,258023.0
2010-12-30,96.84,97.5,94.19,95.05,1087380.0
2010-12-31,95.71,97.29,95.14,96.7,419355.0
2011-01-01,95.71,97.29,95.14,96.7,419355.0
2011-01-02,95.71,97.29,95.14,96.7,419355.0
2011-01-03,96.49,98.92,94.76,98.47,449776.0
2011-01-04,98.89,99.27,97.19,97.71,413992.0
2011-01-05,97.81,99.27,96.53,97.28,462362.0
2011-01-06,97.97,98.96,96.17,96.53,283555.0
2011-01-07,97.14,97.19,91.98,92.66,247579.0
2011-01-08,97.14,97.19,91.98,92.66,247579.0
2011-01-09,97.14,97.19,91.98,92.66,247579.0
2011-01-10,92.09,93.16,89.07,90.37,177925.0
2011-01-11,90.04,91.51,89.05,90.32,215193.0
2011-01-12,90.68,92.92,89.97,92.47,170444.0
2011-01-13,91.83,93.25,91.83,92.83,214276.0
2011-01-14,91.98,92.33,89.21,89.52,112014.0
2011-01-15,91.98,92.33,89.21,89.52,112014.0
2011-01-16,91.98,92.33,89.21,89.52,112014.0
2011-01-17,89.55,91.98,89.38,89.85,393349.0
2011-01-18,89.9,93.37,89.9,92.12,639939.0
2011-01-19,92.16,93.53,92.05,92.66,155680.0
2011-01-20,92.68,95.19,92.33,94.29,533816.0
2011-01-21,95.11,95.11,93.21,93.89,112078.0
2011-01-22,95.11,95.11,93.21,93.89,112078.0
2011-01-23,95.11,95.11,93.21,93.89,112078.0
2011-01-24,94.74,95.09,93.08,93.63,106678.0
2011-01-25,94.41,94.6,92.54,92.83,118357.0
2011-01-26,94.41,94.6,92.54,92.83,118357.0
2011-01-27,92.83,94.34,92.16,92.92,342471.0
2011-01-28,92.85,93.68,89.62,92.45,678489.0
2011-01-29,92.85,93.68,89.62,92.45,678489.0
2011-01-30,92.85,93.68,89.62,92.45,678489.0
2011-01-31,90.59,92.26,89.26,91.29,243938.0
2011-02-01,91.98,94.0,91.29,92.1,1038619.0
2011-02-02,93.72,94.76,91.53,92.61,682661.0
2011-02-03,92.61,94.15,92.4,93.44,231342.0
2011-02-04,93.02,94.07,91.48,92.31,284348.0
2011-02-05,93.02,94.07,91.48,92.31,284348.0
2011-02-06,93.02,94.07,91.48,92.31,284348.0
2011-02-07,92.33,93.72,92.0,93.46,151777.0
2011-02-08,94.03,95.68,93.02,94.74,551152.0
2011-02-09,95.11,95.18,90.77,92.12,400001.0
2011-02-10,92.03,93.05,89.07,90.34,245469.0
2011-02-11,90.34,91.76,89.31,90.85,234041.0
2011-02-12,90.34,91.76,89.31,90.85,234041.0
2011-02-13,90.34,91.76,89.31,90.85,234041.0
2011-02-14,91.34,92.52,90.99,92.16,142015.0
2011-02-15,92.38,96.85,91.69,94.04,652075.0
2011-02-16,94.89,95.17,93.45,93.66,198868.0
2011-02-17,93.78,93.88,90.99,92.91,120133.0
2011-02-18,92.21,95.97,91.77,92.37,482732.0
2011-02-19,92.21,95.97,91.77,92.37,482732.0
2011-02-20,92.21,95.97,91.77,92.37,482732.0
2011-02-21,91.93,94.56,91.48,94.02,298412.0
2011-02-22,93.43,95.49,92.38,94.58,331666.0
2011-02-23,94.81,94.89,93.45,93.78,168018.0
2011-02-24,92.73,94.86,91.46,92.85,429154.0
2011-02-25,92.03,94.13,91.34,93.64,215105.0
2011-02-26,92.03,94.13,91.34,93.64,215105.0
2011-02-27,92.03,94.13,91.34,93.64,215105.0
2011-02-28,93.17,95.0,90.57,91.7,388387.0
2011-03-01,91.77,94.47,90.67,94.18,327795.0
2011-03-02,91.77,94.47,90.67,94.18,327795.0
2011-03-03,93.17,94.46,92.42,93.71,198182.0
2011-03-04,93.86,95.17,92.66,93.48,320893.0
2011-03-05,93.86,95.17,92.66,93.48,320893.0
2011-03-06,93.86,95.17,92.66,93.48,320893.0
2011-03-07,92.77,94.46,92.42,93.66,1409014.0
2011-03-08,94.28,95.83,92.82,94.18,297072.0
2011-03-09,94.18,95.14,93.78,94.72,170813.0
2011-03-10,93.43,97.96,93.43,96.58,340526.0
2011-03-11,95.96,98.31,95.26,96.62,401704.0
2011-03-12,95.96,98.31,95.26,96.62,401704.0
2011-03-13,95.96,98.31,95.26,96.62,401704.0
2011-03-14,95.89,97.56,95.07,95.5,159499.0
2011-03-15,93.78,95.29,93.43,94.18,137441.0
2011-03-16,94.33,97.3,94.28,96.25,259211.0
2011-03-17,96.22,96.22,94.3,94.79,120940.0
2011-03-18,95.43,100.02,93.97,98.08,1334503.0
2011-03-19,95.43,100.02,93.97,98.08,1334503.0
2011-03-20,95.43,100.02,93.97,98.08,1334503.0
2011-03-21,97.61,99.08,96.18,97.52,453349.0
2011-03-22,86.49,100.37,86.49,97.75,534406.0
2011-03-23,98.07,99.32,96.71,98.92,637354.0
2011-03-24,99.02,99.63,97.26,97.77,386491.0
2011-03-25,98.17,98.8,96.93,97.33,196008.0
2011-03-26,98.17,98.8,96.93,97.33,196008.0
2011-03-27,98.17,98.8,96.93,97.33,196008.0
2011-03-28,97.96,97.96,95.87,97.09,124544.0
2011-03-29,97.05,97.96,95.38,96.48,169670.0
2011-03-30,97.23,97.72,95.87,96.93,87364.0
2011-03-31,96.44,99.53,96.44,99.18,384812.0
2011-04-01,99.36,103.54,99.01,102.96,1049356.0
2011-04-02,99.36,103.54,99.01,102.96,1049356.0
2011-04-03,99.36,103.54,99.01,102.96,1049356.0
2011-04-04,103.19,105.63,103.15,104.38,1090192.0
2011-04-05,104.38,105.61,102.11,103.56,490760.0
2011-04-06,103.89,104.74,102.44,103.76,400432.0
2011-04-07,103.4,106.33,102.91,103.8,1499838.0
2011-04-08,104.48,104.58,100.77,101.45,352652.0
2011-04-09,104.48,104.58,100.77,101.45,352652.0
2011-04-10,104.48,104.58,100.77,101.45,352652.0
2011-04-11,101.19,102.58,99.08,99.79,260266.0
2011-04-12,101.19,102.58,99.08,99.79,260266.0
2011-04-13,101.1,101.1,98.66,99.95,219774.0
2011-04-14,101.1,101.1,98.66,99.95,219774.0
2011-04-15,99.51,101.66,98.73,100.59,335152.0
2011-04-16,99.51,101.66,98.73,100.59,335152.0
2011-04-17,99.51,101.66,98.73,100.59,335152.0
2011-04-18,100.4,101.43,97.61,97.93,205877.0
2011-04-19,97.82,98.83,95.68,96.58,293511.0
2011-04-20,98.52,98.52,96.57,97.44,124858.0
2011-04-21,97.96,98.66,97.09,97.51,133980.0
2011-04-22,97.96,98.66,97.09,97.51,133980.0
2011-04-23,97.96,98.66,97.09,97.51,133980.0
2011-04-24,97.96,98.66,97.09,97.51,133980.0
2011-04-25,97.28,97.91,96.6,96.93,111615.0
2011-04-26,97.61,97.61,95.92,96.34,181140.0
2011-04-27,96.57,97.09,96.01,96.25,165580.0
2011-04-28,96.25,97.18,94.37,94.95,233402.0
2011-04-29,95.87,97.23,94.82,95.17,201354.0
2011-04-30,95.87,97.23,94.82,95.17,201354.0
2011-05-01,95.87,97.23,94.82,95.17,201354.0
2011-05-02,96.17,96.17,93.08,93.88,124551.0
2011-05-03,94.23,94.47,92.21,92.68,169403.0
2011-05-04,92.49,93.41,91.69,92.35,146652.0
