,JSTL IN Equity,JSTL IN Equity,JSTL IN Equity,JSTL IN Equity,JSTL IN Equity
2013-03-16,61.92,62.82,60.81,61.18,9195420.0
2013-03-17,61.92,62.82,60.81,61.18,9195420.0
2013-03-18,60.77,61.14,59.65,59.99,6877400.0
2013-03-19,60.14,60.7,57.34,57.74,9089970.0
2013-03-20,57.69,57.82,55.16,55.92,10152170.0
2013-03-21,56.33,56.84,53.72,54.49,12011930.0
2013-03-22,54.31,54.85,50.65,54.05,16349630.0
2013-03-23,54.31,54.85,50.65,54.05,16349630.0
2013-03-24,54.31,54.85,50.65,54.05,16349630.0
2013-03-25,54.33,55.24,52.91,53.2,9376830.0
2013-03-26,53.11,53.11,51.93,52.38,13170260.0
2013-03-27,53.11,53.11,51.93,52.38,13170260.0
2013-03-28,52.22,60.34,51.36,58.73,51336230.0
2013-03-29,52.22,60.34,51.36,58.73,51336230.0
2013-03-30,52.22,60.34,51.36,58.73,51336230.0
2013-03-31,52.22,60.34,51.36,58.73,51336230.0
2013-04-01,57.99,58.77,56.78,57.93,14680040.0
2013-04-02,57.3,61.94,57.3,60.94,19664680.0
2013-04-03,60.3,61.8,59.44,59.89,16228570.0
2013-04-04,59.31,60.36,58.53,59.45,16856480.0
2013-04-05,59.13,60.0,58.13,59.01,11582630.0
2013-04-06,59.13,60.0,58.13,59.01,11582630.0
2013-04-07,59.13,60.0,58.13,59.01,11582630.0
2013-04-08,58.88,60.27,58.24,58.65,8606580.0
2013-04-09,59.4,60.25,57.66,57.88,12486890.0
2013-04-10,58.52,58.68,57.32,58.08,10574580.0
2013-04-11,58.7,58.81,56.23,56.88,12322350.0
2013-04-12,57.04,60.18,56.14,59.36,14417960.0
2013-04-13,57.04,60.18,56.14,59.36,14417960.0
2013-04-14,57.04,60.18,56.14,59.36,14417960.0
2013-04-15,58.83,59.75,57.8,58.03,12453790.0
2013-04-16,57.65,60.97,57.39,60.55,14309740.0
2013-04-17,60.63,64.98,60.48,64.01,26544340.0
2013-04-18,64.05,65.15,61.82,62.65,30087450.0
2013-04-19,64.05,65.15,61.82,62.65,30087450.0
2013-04-20,64.05,65.15,61.82,62.65,30087450.0
2013-04-21,64.05,65.15,61.82,62.65,30087450.0
2013-04-22,62.54,64.02,62.4,63.37,11448540.0
2013-04-23,63.75,65.48,62.56,63.34,17959490.0
2013-04-24,63.75,65.48,62.56,63.34,17959490.0
2013-04-25,63.68,64.44,62.67,63.96,12108170.0
2013-04-26,64.11,64.58,61.15,61.53,13944650.0
2013-04-27,64.11,64.58,61.15,61.53,13944650.0
2013-04-28,64.11,64.58,61.15,61.53,13944650.0
2013-04-29,62.15,62.28,60.44,61.09,7389030.0
2013-04-30,61.32,61.99,59.57,61.38,13987120.0
2013-05-01,61.32,61.99,59.57,61.38,13987120.0
2013-05-02,61.33,62.36,60.79,61.24,8561710.0
2013-05-03,61.58,63.48,60.32,61.98,14268980.0
2013-05-04,61.58,63.48,60.32,61.98,14268980.0
2013-05-05,61.58,63.48,60.32,61.98,14268980.0
2013-05-06,62.1,63.46,62.02,62.94,9963020.0
2013-05-07,63.02,63.75,62.36,62.97,11867940.0
2013-05-08,63.06,63.67,61.75,62.09,10246580.0
2013-05-09,61.72,62.54,61.01,61.34,9484200.0
2013-05-10,61.23,61.9,60.32,60.67,10848070.0
2013-05-11,60.79,61.23,60.46,60.73,1017570.0
2013-05-12,60.79,61.23,60.46,60.73,1017570.0
2013-05-13,60.97,61.58,58.65,59.14,9890650.0
2013-05-14,59.4,59.82,58.63,59.17,7910450.0
2013-05-15,59.05,60.94,59.05,60.51,7982840.0
2013-05-16,59.94,62.24,59.83,61.47,13599180.0
2013-05-17,61.58,62.37,60.93,61.75,9947540.0
2013-05-18,61.58,62.37,60.93,61.75,9947540.0
2013-05-19,61.58,62.37,60.93,61.75,9947540.0
2013-05-20,62.3,62.98,60.85,61.16,10855020.0
2013-05-21,61.32,61.56,60.13,60.37,7636600.0
2013-05-22,60.68,61.13,59.22,59.82,7801490.0
2013-05-23,58.44,60.58,58.09,60.09,24103790.0
2013-05-24,60.53,62.72,59.4,62.26,18301370.0
2013-05-25,60.53,62.72,59.4,62.26,18301370.0
2013-05-26,60.53,62.72,59.4,62.26,18301370.0
2013-05-27,62.37,63.28,61.77,62.76,11491880.0
2013-05-28,62.91,63.58,62.39,62.81,8220660.0
2013-05-29,63.32,63.32,61.22,61.73,6017990.0
2013-05-30,61.2,63.17,61.0,62.72,9491110.0
2013-05-31,62.56,62.72,59.42,59.75,10425590.0
2013-06-01,62.56,62.72,59.42,59.75,10425590.0
2013-06-02,62.56,62.72,59.42,59.75,10425590.0
2013-06-03,59.57,61.06,59.57,60.61,7349200.0
2013-06-04,60.71,62.94,60.27,62.08,12157730.0
2013-06-05,61.59,64.03,61.59,63.49,9705350.0
2013-06-06,63.17,65.02,62.89,64.34,12915020.0
2013-06-07,64.2,64.52,62.73,63.05,9275780.0
2013-06-08,64.2,64.52,62.73,63.05,9275780.0
2013-06-09,64.2,64.52,62.73,63.05,9275780.0
2013-06-10,63.35,63.94,62.51,63.45,12203400.0
2013-06-11,63.11,63.58,59.75,61.56,17882340.0
2013-06-12,61.03,61.58,58.09,58.78,14461480.0
2013-06-13,58.21,59.39,57.67,58.61,9769610.0
2013-06-14,58.7,60.42,58.7,59.8,6422140.0
2013-06-15,58.7,60.42,58.7,59.8,6422140.0
2013-06-16,58.7,60.42,58.7,59.8,6422140.0
2013-06-17,59.96,60.6,58.63,60.37,6108800.0
2013-06-18,60.24,61.7,59.84,61.45,7446680.0
2013-06-19,61.58,63.21,61.49,62.3,10068750.0
2013-06-20,61.41,61.49,59.83,60.06,7640720.0
2013-06-21,59.49,60.03,56.78,58.49,13124580.0
2013-06-22,59.49,60.03,56.78,58.49,13124580.0
2013-06-23,59.49,60.03,56.78,58.49,13124580.0
2013-06-24,58.87,59.51,57.49,58.92,11490600.0
2013-06-25,58.87,59.57,56.96,57.27,13165330.0
2013-06-26,57.39,57.65,55.84,56.41,13150210.0
2013-06-27,57.17,57.47,55.27,56.2,17905610.0
2013-06-28,56.54,57.79,56.51,57.5,13264850.0
2013-06-29,56.54,57.79,56.51,57.5,13264850.0
2013-06-30,56.54,57.79,56.51,57.5,13264850.0
2013-07-01,57.04,58.3,56.73,57.58,12300040.0
2013-07-02,57.04,58.17,55.73,56.09,21738900.0
2013-07-03,55.47,55.64,52.5,53.34,24042390.0
2013-07-04,53.4,54.59,52.84,53.43,17079650.0
2013-07-05,53.89,54.85,53.46,53.84,10326560.0
2013-07-06,53.89,54.85,53.46,53.84,10326560.0
2013-07-07,53.89,54.85,53.46,53.84,10326560.0
2013-07-08,53.37,53.37,49.79,52.74,8735490.0
2013-07-09,53.27,53.86,52.77,53.19,8863020.0
2013-07-10,53.19,53.72,51.55,51.89,12984160.0
2013-07-11,52.5,53.94,52.41,52.76,14950690.0
2013-07-12,52.84,53.27,51.97,52.57,9324440.0
2013-07-13,52.84,53.27,51.97,52.57,9324440.0
2013-07-14,52.84,53.27,51.97,52.57,9324440.0
2013-07-15,52.57,53.05,51.87,52.47,11256530.0
2013-07-16,51.78,52.35,50.34,50.71,11253660.0
2013-07-17,50.54,50.79,49.0,49.77,11032900.0
2013-07-18,49.83,51.16,49.0,50.56,11393030.0
2013-07-19,50.61,51.7,50.27,50.75,7603310.0
2013-07-20,50.61,51.7,50.27,50.75,7603310.0
2013-07-21,50.61,51.7,50.27,50.75,7603310.0
2013-07-22,50.3,50.78,49.35,50.11,9905180.0
2013-07-23,50.64,51.85,50.27,51.58,8744270.0
2013-07-24,51.7,51.7,48.58,49.77,12714410.0
2013-07-25,50.19,51.32,49.74,50.35,13750500.0
2013-07-26,50.42,50.82,47.65,49.28,12424380.0
2013-07-27,50.42,50.82,47.65,49.28,12424380.0
2013-07-28,50.42,50.82,47.65,49.28,12424380.0
2013-07-29,48.86,49.91,48.32,48.96,7929600.0
2013-07-30,48.86,49.3,46.83,47.35,7370450.0
2013-07-31,46.9,51.07,45.74,50.26,22504930.0
2013-08-01,50.71,51.07,47.92,49.11,10589000.0
2013-08-02,49.39,49.79,46.19,47.66,14999290.0
2013-08-03,49.39,49.79,46.19,47.66,14999290.0
2013-08-04,49.39,49.79,46.19,47.66,14999290.0
2013-08-05,47.52,48.47,45.87,46.85,15868360.0
2013-08-06,47.07,47.07,44.38,45.28,18174670.0
2013-08-07,45.06,47.34,43.61,46.33,19058320.0
2013-08-08,45.83,46.63,44.43,44.74,16175810.0
2013-08-09,45.83,46.63,44.43,44.74,16175810.0
2013-08-10,45.83,46.63,44.43,44.74,16175810.0
2013-08-11,45.83,46.63,44.43,44.74,16175810.0
2013-08-12,45.48,47.25,44.8,45.96,14675510.0
2013-08-13,45.47,46.93,45.3,46.07,11292840.0
2013-08-14,46.77,48.21,46.54,47.49,13536930.0
2013-08-15,46.77,48.21,46.54,47.49,13536930.0
2013-08-16,46.99,47.48,42.64,43.29,15709770.0
2013-08-17,46.99,47.48,42.64,43.29,15709770.0
2013-08-18,46.99,47.48,42.64,43.29,15709770.0
2013-08-19,42.72,44.68,40.1,44.39,15061010.0
2013-08-20,43.5,47.24,43.08,46.34,19437950.0
2013-08-21,46.93,47.7,43.83,44.18,13185770.0
2013-08-22,44.23,49.56,43.26,48.49,25672030.0
2013-08-23,48.6,49.29,46.73,48.54,22557920.0
2013-08-24,48.6,49.29,46.73,48.54,22557920.0
2013-08-25,48.6,49.29,46.73,48.54,22557920.0
2013-08-26,48.95,49.34,47.11,47.95,19078340.0
2013-08-27,47.51,47.65,45.12,46.14,16436960.0
2013-08-28,45.17,47.92,44.42,47.46,15784330.0
2013-08-29,47.86,51.43,46.72,50.59,35842010.0
2013-08-30,50.45,51.32,47.52,48.09,21302510.0
2013-08-31,50.45,51.32,47.52,48.09,21302510.0
2013-09-01,50.45,51.32,47.52,48.09,21302510.0
2013-09-02,47.96,50.02,47.96,49.39,10959910.0
2013-09-03,49.47,50.18,45.94,46.53,17949240.0
2013-09-04,46.9,48.48,46.63,48.04,12248810.0
2013-09-05,48.85,51.05,48.79,50.13,14243010.0
2013-09-06,50.3,52.21,48.85,51.58,15429310.0
2013-09-07,50.3,52.21,48.85,51.58,15429310.0
2013-09-08,50.3,52.21,48.85,51.58,15429310.0
2013-09-09,50.3,52.21,48.85,51.58,15429310.0
2013-09-10,52.41,53.29,51.7,52.84,13646580.0
2013-09-11,53.29,57.73,52.42,57.39,27781520.0
2013-09-12,58.0,58.0,54.85,55.42,12942470.0
2013-09-13,55.05,56.84,54.55,56.23,11904330.0
2013-09-14,55.05,56.84,54.55,56.23,11904330.0
2013-09-15,55.05,56.84,54.55,56.23,11904330.0
2013-09-16,57.56,59.97,56.13,58.05,19194740.0
2013-09-17,58.23,59.33,56.94,58.77,14728370.0
2013-09-18,59.4,59.6,58.45,59.23,9252600.0
2013-09-19,60.84,65.11,59.99,64.15,21512470.0
2013-09-20,64.05,66.35,61.76,65.96,21977890.0
2013-09-21,64.05,66.35,61.76,65.96,21977890.0
2013-09-22,64.05,66.35,61.76,65.96,21977890.0
2013-09-23,64.89,65.62,63.62,64.8,13364480.0
2013-09-24,64.22,66.51,64.04,66.0,15512200.0
2013-09-25,65.56,67.68,64.84,67.27,18402550.0
2013-09-26,66.79,67.42,65.74,66.12,13680780.0
2013-09-27,66.02,66.68,64.41,65.11,12074400.0
2013-09-28,66.02,66.68,64.41,65.11,12074400.0
2013-09-29,66.02,66.68,64.41,65.11,12074400.0
2013-09-30,63.96,65.14,62.77,64.81,14036970.0
2013-10-01,64.93,67.15,63.63,66.62,17111870.0
2013-10-02,64.93,67.15,63.63,66.62,17111870.0
2013-10-03,67.06,68.53,66.44,67.74,11833800.0
2013-10-04,67.08,69.3,66.72,68.77,16511770.0
2013-10-05,67.08,69.3,66.72,68.77,16511770.0
2013-10-06,67.08,69.3,66.72,68.77,16511770.0
2013-10-07,68.15,70.53,67.87,69.94,14107890.0
2013-10-08,70.18,71.41,68.29,69.21,15722030.0
2013-10-09,68.39,70.55,67.78,70.3,11132120.0
2013-10-10,69.64,70.88,69.31,69.77,9980000.0
2013-10-11,70.61,71.06,68.69,69.34,8192010.0
2013-10-12,70.61,71.06,68.69,69.34,8192010.0
2013-10-13,70.61,71.06,68.69,69.34,8192010.0
2013-10-14,69.26,69.98,68.72,69.0,6708760.0
2013-10-15,69.02,70.79,68.47,70.06,10924090.0
2013-10-16,69.02,70.79,68.47,70.06,10924090.0
2013-10-17,69.77,71.32,69.37,69.75,10171300.0
2013-10-18,69.37,72.66,69.37,72.04,13470270.0
2013-10-19,69.37,72.66,69.37,72.04,13470270.0
2013-10-20,69.37,72.66,69.37,72.04,13470270.0
2013-10-21,72.17,74.79,71.56,74.46,13157740.0
2013-10-22,74.17,75.32,73.28,74.57,10167840.0
2013-10-23,74.44,75.34,73.55,74.63,9424410.0
2013-10-24,74.48,76.57,74.46,75.17,12145110.0
2013-10-25,74.61,76.17,74.61,75.54,10609760.0
2013-10-26,74.61,76.17,74.61,75.54,10609760.0
2013-10-27,74.61,76.17,74.61,75.54,10609760.0
2013-10-28,75.69,76.77,75.68,76.31,11074150.0
2013-10-29,76.3,77.8,75.06,76.61,20513540.0
2013-10-30,76.44,76.83,74.81,75.4,9583700.0
2013-10-31,75.14,77.32,74.86,76.52,16834350.0
2013-11-01,75.94,78.7,75.94,76.86,14195770.0
2013-11-02,75.94,78.7,75.94,76.86,14195770.0
2013-11-03,76.83,77.59,76.03,76.82,1133680.0
2013-11-04,76.83,77.59,76.03,76.82,1133680.0
2013-11-05,76.14,77.72,75.16,77.01,8748240.0
2013-11-06,76.68,77.68,76.12,76.73,6495500.0
2013-11-07,76.48,78.61,76.48,77.24,10951350.0
2013-11-08,76.65,78.16,76.31,76.96,11105100.0
2013-11-09,76.65,78.16,76.31,76.96,11105100.0
2013-11-10,76.65,78.16,76.31,76.96,11105100.0
2013-11-11,76.39,77.27,75.38,76.08,8859800.0
2013-11-12,75.81,76.53,73.91,74.33,7519350.0
2013-11-13,73.92,74.74,73.31,73.99,7311370.0
2013-11-14,75.14,77.67,74.47,76.81,10495040.0
2013-11-15,75.14,77.67,74.47,76.81,10495040.0
2013-11-16,75.14,77.67,74.47,76.81,10495040.0
2013-11-17,75.14,77.67,74.47,76.81,10495040.0
2013-11-18,77.72,78.16,76.96,77.51,6337740.0
2013-11-19,77.55,79.56,77.1,78.81,8367850.0
2013-11-20,78.69,80.74,78.61,79.58,15130840.0
2013-11-21,79.34,80.07,78.45,78.93,10273350.0
2013-11-22,79.41,79.76,77.03,77.68,7823190.0
2013-11-23,79.41,79.76,77.03,77.68,7823190.0
2013-11-24,79.41,79.76,77.03,77.68,7823190.0
2013-11-25,77.99,79.14,77.61,78.83,5865290.0
2013-11-26,78.2,79.53,78.2,79.1,6710740.0
2013-11-27,78.92,82.3,78.92,81.69,10139540.0
2013-11-28,82.61,82.91,80.86,81.27,9757270.0
2013-11-29,81.63,82.52,81.01,81.59,5160880.0
2013-11-30,81.63,82.52,81.01,81.59,5160880.0
2013-12-01,81.63,82.52,81.01,81.59,5160880.0
2013-12-02,81.3,83.58,81.01,82.96,9576170.0
2013-12-03,82.63,83.78,82.23,82.89,8707820.0
2013-12-04,82.78,83.67,82.25,82.76,6432280.0
2013-12-05,83.94,84.1,82.52,82.82,4484130.0
2013-12-06,82.78,83.16,81.78,82.34,4248660.0
2013-12-07,82.78,83.16,81.78,82.34,4248660.0
2013-12-08,82.78,83.16,81.78,82.34,4248660.0
2013-12-09,84.23,84.23,81.8,82.67,6029070.0
2013-12-10,82.7,84.74,82.45,84.39,9062760.0
2013-12-11,84.03,84.37,83.05,83.59,5461310.0
2013-12-12,82.91,83.51,82.44,82.74,3737470.0
2013-12-13,82.16,82.96,81.54,81.85,5713670.0
2013-12-14,82.16,82.96,81.54,81.85,5713670.0
2013-12-15,82.16,82.96,81.54,81.85,5713670.0
2013-12-16,81.89,82.57,80.05,81.15,5994770.0
2013-12-17,81.87,83.05,81.1,82.11,7390710.0
2013-12-18,82.17,84.21,81.32,83.8,7216510.0
2013-12-19,84.04,85.54,83.59,85.31,8740170.0
2013-12-20,85.54,85.82,84.95,85.6,6179260.0
2013-12-21,85.54,85.82,84.95,85.6,6179260.0
2013-12-22,85.54,85.82,84.95,85.6,6179260.0
2013-12-23,85.54,88.38,85.28,87.66,10063340.0
2013-12-24,87.76,88.31,87.08,87.81,6591160.0
2013-12-25,87.76,88.31,87.08,87.81,6591160.0
2013-12-26,87.76,89.53,87.36,88.71,10044820.0
2013-12-27,88.73,89.71,88.44,89.48,7391860.0
2013-12-28,88.73,89.71,88.44,89.48,7391860.0
2013-12-29,88.73,89.71,88.44,89.48,7391860.0
2013-12-30,90.36,91.04,89.34,90.8,9984470.0
2013-12-31,91.13,91.39,89.76,90.35,6706360.0
2014-01-01,90.58,90.85,89.85,90.19,2927470.0
2014-01-02,90.39,92.38,88.09,89.63,14953840.0
2014-01-03,89.28,89.7,87.58,88.29,8039460.0
2014-01-04,89.28,89.7,87.58,88.29,8039460.0
2014-01-05,89.28,89.7,87.58,88.29,8039460.0
2014-01-06,88.71,92.53,88.38,91.87,12483820.0
2014-01-07,91.97,92.98,90.07,91.27,9722360.0
2014-01-08,91.24,91.88,90.42,91.16,5184490.0
2014-01-09,91.4,91.67,89.52,91.1,5761700.0
2014-01-10,91.49,91.84,90.16,90.89,5333160.0
2014-01-11,91.49,91.84,90.16,90.89,5333160.0
2014-01-12,91.49,91.84,90.16,90.89,5333160.0
2014-01-13,90.89,91.6,89.69,90.54,6814800.0
2014-01-14,90.16,91.03,89.01,89.7,4952030.0
2014-01-15,89.56,90.56,87.14,87.97,8084790.0
2014-01-16,88.55,91.13,87.58,90.91,8014970.0
2014-01-17,90.91,91.01,88.11,88.84,4961390.0
2014-01-18,90.91,91.01,88.11,88.84,4961390.0
2014-01-19,90.91,91.01,88.11,88.84,4961390.0
2014-01-20,88.73,89.73,87.18,87.67,5242160.0
2014-01-21,87.98,88.99,87.39,88.0,4449390.0
2014-01-22,88.02,88.85,87.67,88.34,3674760.0
2014-01-23,88.33,89.53,87.93,88.31,5048890.0
2014-01-24,87.5,88.38,85.71,86.16,6919520.0
2014-01-25,87.5,88.38,85.71,86.16,6919520.0
2014-01-26,87.5,88.38,85.71,86.16,6919520.0
2014-01-27,85.27,85.27,80.71,81.25,6945480.0
2014-01-28,81.3,84.07,80.38,82.66,15702050.0
2014-01-29,83.25,84.2,81.72,82.88,5967950.0
2014-01-30,82.01,82.78,78.23,79.6,13103790.0
2014-01-31,80.12,81.82,79.78,81.48,7859880.0
2014-02-01,80.12,81.82,79.78,81.48,7859880.0
2014-02-02,80.12,81.82,79.78,81.48,7859880.0
2014-02-03,80.73,81.45,75.09,75.73,10475380.0
2014-02-04,74.52,76.83,73.39,74.9,9562560.0
2014-02-05,75.29,76.08,74.01,75.22,7463030.0
2014-02-06,75.88,76.49,73.51,74.82,9869210.0
2014-02-07,76.03,77.53,75.31,77.17,11758070.0
2014-02-08,76.03,77.53,75.31,77.17,11758070.0
2014-02-09,76.03,77.53,75.31,77.17,11758070.0
2014-02-10,77.28,78.44,74.67,75.5,8566360.0
2014-02-11,75.81,76.96,75.55,76.35,5687950.0
2014-02-12,76.61,76.85,74.19,74.91,5622010.0
2014-02-13,75.5,75.5,71.78,72.4,6175950.0
2014-02-14,72.47,74.43,71.41,74.1,7750160.0
2014-02-15,72.47,74.43,71.41,74.1,7750160.0
2014-02-16,72.47,74.43,71.41,74.1,7750160.0
2014-02-17,74.17,76.25,72.73,75.18,5819220.0
2014-02-18,76.03,78.1,76.03,77.37,9420800.0
2014-02-19,76.83,77.62,76.25,77.17,4330230.0
2014-02-20,76.57,77.54,75.71,77.09,6558010.0
2014-02-21,77.28,79.05,76.92,78.7,6992970.0
2014-02-22,77.28,79.05,76.92,78.7,6992970.0
2014-02-23,77.28,79.05,76.92,78.7,6992970.0
2014-02-24,78.79,79.82,77.77,78.41,7428060.0
2014-02-25,78.42,79.44,75.8,76.17,10173770.0
2014-02-26,76.29,77.27,75.15,76.22,10754880.0
2014-02-27,76.29,77.27,75.15,76.22,10754880.0
2014-02-28,76.38,78.12,75.82,77.8,8924470.0
2014-03-01,76.38,78.12,75.82,77.8,8924470.0
2014-03-02,76.38,78.12,75.82,77.8,8924470.0
2014-03-03,77.68,78.28,76.57,77.17,5792200.0
2014-03-04,77.1,79.32,76.93,79.12,8046080.0
2014-03-05,79.75,80.21,78.31,79.65,8192610.0
2014-03-06,79.85,81.53,79.09,80.68,10008100.0
2014-03-07,81.27,84.11,80.65,83.57,10821690.0
2014-03-08,81.27,84.11,80.65,83.57,10821690.0
2014-03-09,81.27,84.11,80.65,83.57,10821690.0
2014-03-10,83.07,87.19,82.78,86.36,11493980.0
2014-03-11,86.87,87.05,82.78,83.2,8442010.0
2014-03-12,82.99,85.79,82.29,84.01,8251820.0
2014-03-13,84.09,85.23,81.89,82.47,8230010.0
2014-03-14,81.82,83.84,81.22,83.44,7484200.0
2014-03-15,81.82,83.84,81.22,83.44,7484200.0
2014-03-16,81.82,83.84,81.22,83.44,7484200.0
2014-03-17,81.82,83.84,81.22,83.44,7484200.0
2014-03-18,83.78,85.35,83.49,84.22,7724290.0
2014-03-19,84.4,86.78,83.76,86.31,8683870.0
2014-03-20,86.25,86.59,83.75,84.26,6793490.0
2014-03-21,84.48,87.84,84.41,87.18,10831950.0
2014-03-22,87.05,88.15,86.61,87.51,772530.0
2014-03-23,87.05,88.15,86.61,87.51,772530.0
2014-03-24,87.93,88.73,86.42,86.98,6687210.0
2014-03-25,86.65,88.68,86.59,87.09,7020550.0
2014-03-26,87.64,89.18,87.43,88.6,8168060.0
2014-03-27,88.73,89.53,87.59,88.84,12163750.0
2014-03-28,89.27,89.8,86.87,87.48,6980330.0
2014-03-29,89.27,89.8,86.87,87.48,6980330.0
2014-03-30,89.27,89.8,86.87,87.48,6980330.0
2014-03-31,87.83,93.04,87.4,92.03,16504090.0
2014-04-01,92.79,92.81,89.14,90.86,8214650.0
2014-04-02,91.5,92.38,89.92,91.62,9623870.0
2014-04-03,91.62,94.33,90.6,93.9,11715590.0
2014-04-04,94.15,95.04,92.9,94.53,7345450.0
2014-04-05,94.15,95.04,92.9,94.53,7345450.0
2014-04-06,94.15,95.04,92.9,94.53,7345450.0
2014-04-07,94.27,95.4,86.6,94.02,6244210.0
2014-04-08,94.27,95.4,86.6,94.02,6244210.0
2014-04-09,94.26,94.96,93.09,94.6,5935910.0
2014-04-10,94.69,96.37,94.38,95.34,5445660.0
2014-04-11,94.17,95.44,92.64,94.13,9102850.0
2014-04-12,94.17,95.44,92.64,94.13,9102850.0
2014-04-13,94.17,95.44,92.64,94.13,9102850.0
2014-04-14,94.17,95.44,92.64,94.13,9102850.0
2014-04-15,94.15,95.0,89.09,89.93,6840870.0
2014-04-16,89.8,91.22,88.45,90.16,7924680.0
2014-04-17,90.6,93.5,89.32,92.82,6584990.0
2014-04-18,90.6,93.5,89.32,92.82,6584990.0
2014-04-19,90.6,93.5,89.32,92.82,6584990.0
2014-04-20,90.6,93.5,89.32,92.82,6584990.0
2014-04-21,93.97,98.59,93.2,97.54,8800800.0
2014-04-22,97.61,100.07,96.57,98.5,11155770.0
2014-04-23,97.53,99.75,97.26,98.92,6644730.0
2014-04-24,97.53,99.75,97.26,98.92,6644730.0
2014-04-25,98.69,100.86,98.35,98.98,6041040.0
2014-04-26,98.69,100.86,98.35,98.98,6041040.0
2014-04-27,98.69,100.86,98.35,98.98,6041040.0
2014-04-28,99.04,100.28,98.58,99.05,4918520.0
2014-04-29,99.04,99.39,93.96,94.33,5805330.0
2014-04-30,92.91,96.82,92.87,96.2,9190680.0
2014-05-01,92.91,96.82,92.87,96.2,9190680.0
2014-05-02,96.39,97.98,94.67,96.87,7705040.0
2014-05-03,96.39,97.98,94.67,96.87,7705040.0
2014-05-04,96.39,97.98,94.67,96.87,7705040.0
2014-05-05,96.15,99.3,96.15,98.12,6605440.0
2014-05-06,98.59,99.29,97.89,98.77,3651920.0
2014-05-07,98.33,98.66,96.64,97.45,4520190.0
2014-05-08,98.15,98.15,96.4,97.31,3344520.0
2014-05-09,96.55,101.1,96.22,100.58,7850710.0
2014-05-10,96.55,101.1,96.22,100.58,7850710.0
2014-05-11,96.55,101.1,96.22,100.58,7850710.0
2014-05-12,100.73,103.81,99.22,103.23,9034620.0
2014-05-13,103.9,105.26,101.42,102.44,7028320.0
2014-05-14,102.6,104.37,101.45,104.0,4656460.0
2014-05-15,103.93,104.79,101.7,102.67,5705090.0
2014-05-16,103.5,111.2,101.81,104.56,11288660.0
2014-05-17,103.5,111.2,101.81,104.56,11288660.0
2014-05-18,103.5,111.2,101.81,104.56,11288660.0
2014-05-19,105.88,111.92,104.81,110.37,7801620.0
2014-05-20,111.65,112.36,108.48,109.07,5826910.0
2014-05-21,109.25,109.78,107.21,108.12,4169340.0
2014-05-22,108.72,109.76,106.67,107.82,3473100.0
2014-05-23,107.9,113.05,107.32,112.44,7549550.0
2014-05-24,107.9,113.05,107.32,112.44,7549550.0
2014-05-25,107.9,113.05,107.32,112.44,7549550.0
2014-05-26,113.25,115.06,106.72,110.14,6547150.0
2014-05-27,110.14,111.03,106.59,109.29,5468140.0
2014-05-28,108.01,108.99,104.04,107.08,9152930.0
2014-05-29,107.03,108.89,106.59,107.36,5955210.0
2014-05-30,107.48,111.02,106.93,107.6,7976770.0
2014-05-31,107.48,111.02,106.93,107.6,7976770.0
2014-06-01,107.48,111.02,106.93,107.6,7976770.0
2014-06-02,108.63,110.02,107.03,108.93,4815950.0
2014-06-03,109.36,114.94,109.25,113.28,12107320.0
2014-06-04,113.36,114.76,110.53,113.12,8348420.0
2014-06-05,113.69,115.91,112.06,114.92,9980610.0
2014-06-06,115.04,115.84,113.07,114.44,10513020.0
2014-06-07,115.04,115.84,113.07,114.44,10513020.0
2014-06-08,115.04,115.84,113.07,114.44,10513020.0
2014-06-09,115.35,116.8,114.23,115.7,5322750.0
2014-06-10,116.8,117.18,113.69,116.44,7381950.0
2014-06-11,115.91,117.86,113.69,114.87,7005270.0
2014-06-12,114.85,116.45,113.93,115.86,5533370.0
2014-06-13,115.86,116.77,110.86,111.87,5587270.0
2014-06-14,115.86,116.77,110.86,111.87,5587270.0
2014-06-15,115.86,116.77,110.86,111.87,5587270.0
2014-06-16,112.35,112.35,108.74,110.54,6174110.0
2014-06-17,110.15,113.16,109.16,112.57,4940410.0
2014-06-18,111.74,114.08,108.04,109.55,5339050.0
2014-06-19,109.8,111.46,108.64,109.54,4529290.0
2014-06-20,108.54,111.29,108.0,108.39,7212680.0
2014-06-21,108.54,111.29,108.0,108.39,7212680.0
2014-06-22,108.54,111.29,108.0,108.39,7212680.0
2014-06-23,108.36,112.04,107.77,110.19,7720940.0
2014-06-24,110.61,112.02,110.14,111.1,4634360.0
2014-06-25,110.76,111.73,109.25,109.58,3846130.0
2014-06-26,109.7,110.53,107.65,108.53,5546280.0
2014-06-27,108.01,110.31,108.01,109.38,5118520.0
2014-06-28,108.01,110.31,108.01,109.38,5118520.0
2014-06-29,108.01,110.31,108.01,109.38,5118520.0
2014-06-30,109.27,110.85,108.81,109.86,5066180.0
2014-07-01,110.16,114.12,110.14,112.76,6671360.0
2014-07-02,113.68,116.27,113.28,114.63,5384180.0
2014-07-03,115.12,116.18,113.73,114.48,3391910.0
2014-07-04,114.4,115.03,111.62,112.87,3445350.0
2014-07-05,114.4,115.03,111.62,112.87,3445350.0
2014-07-06,114.4,115.03,111.62,112.87,3445350.0
2014-07-07,113.06,114.23,109.87,110.52,7747870.0
2014-07-08,110.64,111.79,105.28,106.24,9599980.0
2014-07-09,106.46,108.32,105.21,107.17,6806160.0
