,GDPL IN Equity,GDPL IN Equity,GDPL IN Equity,GDPL IN Equity,GDPL IN Equity
2010-02-13,81.93,86.51,81.93,84.24,470879.0
2010-02-14,81.93,86.51,81.93,84.24,470879.0
2010-02-15,84.14,85.45,81.47,82.05,103205.0
2010-02-16,82.63,85.63,82.44,85.36,226055.0
2010-02-17,86.27,86.27,84.48,85.12,138769.0
2010-02-18,85.06,85.66,82.63,82.9,32858.0
2010-02-19,82.59,84.45,80.2,80.71,62578.0
2010-02-20,82.59,84.45,80.2,80.71,62578.0
2010-02-21,82.59,84.45,80.2,80.71,62578.0
2010-02-22,80.86,82.63,76.55,77.67,72826.0
2010-02-23,77.16,79.28,76.79,78.37,1644959.0
2010-02-24,78.37,81.38,77.77,79.01,250725.0
2010-02-25,81.35,81.35,77.77,78.52,39533.0
2010-02-26,78.68,80.8,78.1,79.53,74752.0
2010-02-27,78.68,80.8,78.1,79.53,74752.0
2010-02-28,78.68,80.8,78.1,79.53,74752.0
2010-03-01,78.68,80.8,78.1,79.53,74752.0
2010-03-02,84.75,85.06,78.98,81.53,106594.0
2010-03-03,80.86,81.96,79.65,80.65,32692.0
2010-03-04,80.8,81.53,79.65,80.44,33767.0
2010-03-05,80.2,82.93,80.2,82.2,180164.0
2010-03-06,80.2,82.93,80.2,82.2,180164.0
2010-03-07,80.2,82.93,80.2,82.2,180164.0
2010-03-08,81.77,82.93,80.53,81.5,143544.0
2010-03-09,82.53,83.75,79.86,81.87,152710.0
2010-03-10,82.32,82.32,80.04,80.47,26842.0
2010-03-11,79.71,81.96,79.28,80.1,32673.0
2010-03-12,81.29,81.71,78.98,79.19,30112.0
2010-03-13,81.29,81.71,78.98,79.19,30112.0
2010-03-14,81.29,81.71,78.98,79.19,30112.0
2010-03-15,79.04,79.89,78.25,78.52,27067.0
2010-03-16,77.77,79.53,77.77,78.74,200436.0
2010-03-17,79.41,81.05,78.49,79.41,141497.0
2010-03-18,80.68,80.8,78.83,79.34,24078.0
2010-03-19,79.28,80.2,78.52,79.31,41156.0
2010-03-20,79.28,80.2,78.52,79.31,41156.0
2010-03-21,79.28,80.2,78.52,79.31,41156.0
2010-03-22,78.13,79.04,74.97,75.79,77653.0
2010-03-23,76.0,78.13,75.67,76.12,46528.0
2010-03-24,76.0,78.13,75.67,76.12,46528.0
2010-03-25,76.85,77.16,74.76,75.46,52510.0
2010-03-26,76.0,76.34,74.12,74.55,79807.0
2010-03-27,76.0,76.34,74.12,74.55,79807.0
2010-03-28,76.0,76.34,74.12,74.55,79807.0
2010-03-29,75.33,77.83,74.12,75.18,338916.0
2010-03-30,75.64,76.73,74.76,75.94,177442.0
2010-03-31,76.55,77.58,75.64,76.76,48119.0
2010-04-01,76.76,77.46,75.94,76.25,160703.0
2010-04-02,76.76,77.46,75.94,76.25,160703.0
2010-04-03,76.76,77.46,75.94,76.25,160703.0
2010-04-04,76.76,77.46,75.94,76.25,160703.0
2010-04-05,76.49,78.89,76.0,76.88,166126.0
2010-04-06,77.16,77.89,76.09,76.67,42583.0
2010-04-07,77.43,78.04,76.0,76.28,54794.0
2010-04-08,76.55,77.46,75.94,76.19,56631.0
2010-04-09,75.94,80.74,75.94,79.07,264947.0
2010-04-10,75.94,80.74,75.94,79.07,264947.0
2010-04-11,75.94,80.74,75.94,79.07,264947.0
2010-04-12,79.74,80.47,77.49,78.07,86640.0
2010-04-13,79.83,79.83,76.85,77.16,52337.0
2010-04-14,79.83,79.83,76.85,77.16,52337.0
2010-04-15,76.91,78.74,76.91,77.7,71881.0
2010-04-16,78.31,78.37,76.06,77.31,44050.0
2010-04-17,78.31,78.37,76.06,77.31,44050.0
2010-04-18,78.31,78.37,76.06,77.31,44050.0
2010-04-19,76.19,77.77,72.9,77.01,78239.0
2010-04-20,77.7,78.04,76.12,76.58,39234.0
2010-04-21,74.61,78.68,74.61,77.58,40352.0
2010-04-22,78.37,79.8,77.22,77.83,86098.0
2010-04-23,78.37,79.1,77.16,77.34,29202.0
2010-04-24,78.37,79.1,77.16,77.34,29202.0
2010-04-25,78.37,79.1,77.16,77.34,29202.0
2010-04-26,77.77,78.8,76.88,77.58,34047.0
2010-04-27,78.07,78.34,76.61,77.13,33880.0
2010-04-28,76.55,77.16,75.33,75.7,24125.0
2010-04-29,76.55,76.98,75.09,75.33,41619.0
2010-04-30,72.84,77.43,72.84,74.73,167720.0
2010-05-01,72.84,77.43,72.84,74.73,167720.0
2010-05-02,72.84,77.43,72.84,74.73,167720.0
2010-05-03,75.06,76.98,73.94,74.91,250819.0
2010-05-04,75.4,78.07,75.03,76.82,290618.0
2010-05-05,76.88,82.57,74.36,78.24,8755372.0
2010-05-06,78.7,79.31,73.35,75.01,1341287.0
2010-05-07,73.17,76.42,72.67,74.09,211293.0
2010-05-08,73.17,76.42,72.67,74.09,211293.0
2010-05-09,73.17,76.42,72.67,74.09,211293.0
2010-05-10,76.79,76.79,73.93,74.43,93263.0
2010-05-11,74.89,75.41,71.41,72.43,103582.0
2010-05-12,72.55,73.6,71.04,72.27,229171.0
2010-05-13,71.32,75.22,71.32,71.94,188594.0
2010-05-14,72.24,73.56,70.18,71.54,51539.0
2010-05-15,72.24,73.56,70.18,71.54,51539.0
2010-05-16,72.24,73.56,70.18,71.54,51539.0
2010-05-17,70.71,78.08,67.02,75.5,443334.0
2010-05-18,76.79,76.79,73.63,73.96,71496.0
2010-05-19,72.15,75.81,71.57,72.37,844884.0
2010-05-20,72.86,73.35,71.01,71.94,47487.0
2010-05-21,70.74,70.74,67.88,68.89,64620.0
2010-05-22,70.74,70.74,67.88,68.89,64620.0
2010-05-23,70.74,70.74,67.88,68.89,64620.0
2010-05-24,70.64,72.24,69.6,70.98,68760.0
2010-05-25,71.26,72.49,69.88,71.72,66975.0
2010-05-26,71.94,73.32,71.35,72.15,220593.0
2010-05-27,71.66,73.17,71.32,72.73,28817.0
2010-05-28,73.78,74.18,72.55,72.92,30332.0
2010-05-29,73.78,74.18,72.55,72.92,30332.0
2010-05-30,73.78,74.18,72.55,72.92,30332.0
2010-05-31,73.78,73.78,71.97,72.52,52599.0
2010-06-01,73.17,75.01,70.89,72.61,312897.0
2010-06-02,74.83,74.83,71.94,72.49,24543.0
2010-06-03,73.72,73.78,72.24,72.89,33173.0
2010-06-04,73.66,73.66,72.0,72.55,19711.0
2010-06-05,73.66,73.66,72.0,72.55,19711.0
2010-06-06,73.66,73.66,72.0,72.55,19711.0
2010-06-07,70.71,74.24,69.69,71.69,118251.0
2010-06-08,73.17,73.17,70.92,71.78,20248.0
2010-06-09,71.32,73.17,70.71,71.07,47882.0
2010-06-10,72.55,73.01,71.07,72.06,25195.0
2010-06-11,72.0,72.86,71.14,71.63,28530.0
2010-06-12,72.0,72.86,71.14,71.63,28530.0
2010-06-13,72.0,72.86,71.14,71.63,28530.0
2010-06-14,72.55,72.55,71.41,71.97,29366.0
2010-06-15,72.55,73.6,71.41,73.07,998081.0
2010-06-16,73.72,75.01,71.69,72.43,812894.0
2010-06-17,73.47,76.09,73.26,74.76,501876.0
2010-06-18,74.7,75.22,71.97,72.58,76385.0
2010-06-19,74.7,75.22,71.97,72.58,76385.0
2010-06-20,74.7,75.22,71.97,72.58,76385.0
2010-06-21,72.98,73.53,71.72,72.0,56215.0
2010-06-22,72.0,73.17,71.32,72.15,42926.0
2010-06-23,72.24,73.47,71.38,71.84,80351.0
2010-06-24,72.06,73.2,71.66,72.55,112122.0
2010-06-25,72.24,74.95,71.32,71.57,281433.0
2010-06-26,72.24,74.95,71.32,71.57,281433.0
2010-06-27,72.24,74.95,71.32,71.57,281433.0
2010-06-28,71.94,74.03,71.63,72.0,94644.0
2010-06-29,72.27,73.17,71.41,72.0,91486.0
2010-06-30,71.63,74.55,70.92,71.44,1508153.0
2010-07-01,71.32,72.43,70.71,71.04,1163360.0
2010-07-02,71.32,71.9,69.78,70.06,130035.0
2010-07-03,71.32,71.9,69.78,70.06,130035.0
2010-07-04,71.32,71.9,69.78,70.06,130035.0
2010-07-05,71.44,71.44,70.18,70.58,37020.0
2010-07-06,70.4,71.01,69.84,70.71,230261.0
2010-07-07,69.84,71.94,69.54,71.14,68110.0
2010-07-08,71.17,71.87,70.46,71.23,75086.0
2010-07-09,71.32,71.87,69.78,70.24,95061.0
2010-07-10,71.32,71.87,69.78,70.24,95061.0
2010-07-11,71.32,71.87,69.78,70.24,95061.0
2010-07-12,69.48,74.7,69.48,74.15,848952.0
2010-07-13,74.24,75.35,73.17,73.75,1527998.0
2010-07-14,74.39,74.64,71.32,71.9,244603.0
2010-07-15,72.43,72.43,70.74,71.26,116657.0
2010-07-16,71.2,71.94,70.77,71.2,105091.0
2010-07-17,71.2,71.94,70.77,71.2,105091.0
2010-07-18,71.2,71.94,70.77,71.2,105091.0
2010-07-19,70.4,71.87,70.4,70.58,58236.0
2010-07-20,70.89,71.94,70.09,70.21,78985.0
2010-07-21,70.21,72.24,70.21,71.9,101159.0
2010-07-22,71.94,72.27,70.71,71.26,94611.0
2010-07-23,71.87,72.0,70.55,71.2,80540.0
2010-07-24,71.87,72.0,70.55,71.2,80540.0
2010-07-25,71.87,72.0,70.55,71.2,80540.0
2010-07-26,71.5,72.03,68.06,68.62,336175.0
2010-07-27,68.25,69.41,66.83,67.11,230036.0
2010-07-28,67.75,70.71,65.91,66.59,786080.0
2010-07-29,67.02,67.94,66.4,67.05,602001.0
2010-07-30,66.46,68.62,66.46,67.6,524505.0
2010-07-31,66.46,68.62,66.46,67.6,524505.0
2010-08-01,66.46,68.62,66.46,67.6,524505.0
2010-08-02,67.75,68.0,66.13,66.92,624752.0
2010-08-03,67.05,67.6,65.79,66.16,95303.0
2010-08-04,66.09,66.56,63.05,63.7,212935.0
2010-08-05,64.0,65.48,62.87,63.33,701084.0
2010-08-06,63.33,66.4,63.33,64.9,321769.0
2010-08-07,63.33,66.4,63.33,64.9,321769.0
2010-08-08,63.33,66.4,63.33,64.9,321769.0
2010-08-09,64.93,65.48,62.96,63.27,145137.0
2010-08-10,63.7,64.16,62.16,62.9,137334.0
2010-08-11,63.02,63.33,62.13,62.71,1300142.0
2010-08-12,62.37,62.99,60.84,62.19,445337.0
2010-08-13,62.53,63.33,62.01,62.25,258596.0
2010-08-14,62.53,63.33,62.01,62.25,258596.0
2010-08-15,62.53,63.33,62.01,62.25,258596.0
2010-08-16,62.1,62.87,61.48,61.88,289777.0
2010-08-17,62.65,62.71,61.54,62.01,61485.0
2010-08-18,62.71,64.19,61.79,62.9,201912.0
2010-08-19,61.61,64.1,61.61,63.48,229087.0
2010-08-20,63.27,70.58,62.71,67.08,1536489.0
2010-08-21,63.27,70.58,62.71,67.08,1536489.0
2010-08-22,63.27,70.58,62.71,67.08,1536489.0
2010-08-23,69.48,69.48,65.23,66.03,161569.0
2010-08-24,65.94,68.74,65.94,67.45,293034.0
2010-08-25,67.63,68.22,66.4,67.2,304412.0
2010-08-26,68.06,69.23,64.28,64.77,344428.0
2010-08-27,65.08,66.77,63.94,64.56,170624.0
2010-08-28,65.08,66.77,63.94,64.56,170624.0
2010-08-29,65.08,66.77,63.94,64.56,170624.0
2010-08-30,66.09,66.22,64.07,64.31,74264.0
2010-08-31,63.67,64.5,61.48,62.93,117106.0
2010-09-01,63.24,65.05,63.2,63.67,69623.0
2010-09-02,64.5,65.11,63.94,64.62,68574.0
2010-09-03,64.74,65.97,63.7,65.26,90461.0
2010-09-04,64.74,65.97,63.7,65.26,90461.0
2010-09-05,64.74,65.97,63.7,65.26,90461.0
2010-09-06,66.4,68.06,65.45,67.29,218765.0
2010-09-07,67.29,67.29,65.79,66.22,47909.0
2010-09-08,67.34,68.52,66.59,68.21,98516.0
2010-09-09,68.58,70.95,68.08,70.08,328144.0
2010-09-10,68.58,70.95,68.08,70.08,328144.0
2010-09-11,68.58,70.95,68.08,70.08,328144.0
2010-09-12,68.58,70.95,68.08,70.08,328144.0
2010-09-13,72.64,77.31,71.08,72.64,678187.0
2010-09-14,73.57,74.2,72.04,73.38,487998.0
2010-09-15,73.88,74.69,71.51,72.01,186054.0
2010-09-16,72.01,73.26,71.39,71.7,474253.0
2010-09-17,72.89,72.92,69.33,70.17,445053.0
2010-09-18,72.89,72.92,69.33,70.17,445053.0
2010-09-19,72.89,72.92,69.33,70.17,445053.0
2010-09-20,69.58,70.92,67.96,68.49,327344.0
2010-09-21,69.71,70.17,63.16,64.91,444141.0
2010-09-22,66.09,67.27,65.15,66.06,125757.0
2010-09-23,66.71,67.21,65.59,66.93,96229.0
2010-09-24,65.53,68.27,65.53,67.62,186052.0
2010-09-25,65.53,68.27,65.53,67.62,186052.0
2010-09-26,65.53,68.27,65.53,67.62,186052.0
2010-09-27,68.52,77.19,67.65,71.98,2516648.0
2010-09-28,72.61,75.88,71.42,74.1,1179576.0
2010-09-29,84.17,84.17,69.49,70.17,378873.0
2010-09-30,69.86,72.26,69.08,69.67,518729.0
2010-10-01,70.08,74.07,70.08,71.51,527080.0
2010-10-02,70.08,74.07,70.08,71.51,527080.0
2010-10-03,70.08,74.07,70.08,71.51,527080.0
2010-10-04,71.95,74.51,71.55,72.95,458716.0
2010-10-05,72.64,74.76,72.32,73.82,1094185.0
2010-10-06,74.2,76.69,73.38,74.29,485879.0
2010-10-07,73.26,76.56,73.26,74.35,446285.0
2010-10-08,74.69,75.38,73.57,74.57,172127.0
2010-10-09,74.69,75.38,73.57,74.57,172127.0
2010-10-10,74.69,75.38,73.57,74.57,172127.0
2010-10-11,74.82,75.38,73.73,74.32,179399.0
2010-10-12,74.2,76.69,73.23,75.88,484069.0
2010-10-13,76.75,79.18,76.19,78.62,1017134.0
2010-10-14,79.18,79.59,73.57,74.13,528344.0
2010-10-15,74.26,75.26,72.11,73.01,162338.0
2010-10-16,74.26,75.26,72.11,73.01,162338.0
2010-10-17,74.26,75.26,72.11,73.01,162338.0
2010-10-18,74.04,74.16,71.73,73.54,114550.0
2010-10-19,74.82,75.38,72.39,73.2,79987.0
2010-10-20,72.32,73.48,70.83,71.55,72683.0
2010-10-21,72.32,72.95,71.45,71.86,62988.0
2010-10-22,71.14,72.67,70.45,70.7,82237.0
2010-10-23,71.14,72.67,70.45,70.7,82237.0
2010-10-24,71.14,72.67,70.45,70.7,82237.0
2010-10-25,71.95,72.54,70.45,71.23,46152.0
2010-10-26,70.45,72.32,70.2,70.55,56959.0
2010-10-27,71.08,71.95,67.96,68.65,145965.0
2010-10-28,69.21,70.77,68.93,70.14,80413.0
2010-10-29,69.21,70.08,68.46,69.36,62225.0
2010-10-30,69.21,70.08,68.46,69.36,62225.0
2010-10-31,69.21,70.08,68.46,69.36,62225.0
2010-11-01,68.27,71.7,62.97,70.02,1099116.0
2010-11-02,70.45,72.95,70.14,72.64,214333.0
2010-11-03,72.67,75.88,72.42,74.48,401023.0
2010-11-04,74.2,75.32,72.2,72.61,112341.0
2010-11-05,73.01,74.41,72.95,73.35,23506.0
2010-11-06,73.01,74.41,72.95,73.35,23506.0
2010-11-07,73.01,74.41,72.95,73.35,23506.0
2010-11-08,74.82,74.82,71.79,72.11,54086.0
2010-11-09,72.61,74.32,71.64,72.82,221338.0
2010-11-10,74.13,74.51,71.83,73.01,90895.0
2010-11-11,74.51,74.51,70.45,70.95,231240.0
2010-11-12,71.39,72.29,68.9,69.39,247074.0
2010-11-13,71.39,72.29,68.9,69.39,247074.0
2010-11-14,71.39,72.29,68.9,69.39,247074.0
2010-11-15,68.58,71.7,68.58,71.11,162125.0
2010-11-16,71.64,71.67,70.2,71.14,379736.0
2010-11-17,71.64,71.67,70.2,71.14,379736.0
2010-11-18,71.7,72.95,69.27,70.8,99995.0
2010-11-19,71.08,71.39,69.83,70.49,70223.0
2010-11-20,71.08,71.39,69.83,70.49,70223.0
2010-11-21,71.08,71.39,69.83,70.49,70223.0
2010-11-22,72.1,72.48,70.45,70.8,40519.0
2010-11-23,71.09,71.34,66.68,69.76,127888.0
2010-11-24,69.82,70.45,68.14,69.69,84865.0
2010-11-25,67.98,69.76,67.34,68.45,160493.0
2010-11-26,68.33,68.87,62.84,66.87,128099.0
2010-11-27,68.33,68.87,62.84,66.87,128099.0
2010-11-28,68.33,68.87,62.84,66.87,128099.0
2010-11-29,66.87,68.55,64.23,65.34,146436.0
2010-11-30,65.95,66.65,64.74,66.39,111623.0
2010-12-01,66.33,70.1,65.85,68.3,249635.0
2010-12-02,69.18,69.37,67.31,68.01,75019.0
2010-12-03,68.99,68.99,67.28,67.41,365112.0
2010-12-04,68.99,68.99,67.28,67.41,365112.0
2010-12-05,68.99,68.99,67.28,67.41,365112.0
2010-12-06,68.39,68.39,64.9,66.36,75911.0
2010-12-07,67.79,67.79,64.96,65.66,62962.0
2010-12-08,65.38,66.01,63.54,65.22,59794.0
2010-12-09,63.47,65.92,63.12,64.07,356994.0
2010-12-10,61.57,65.63,61.57,65.06,170594.0
2010-12-11,61.57,65.63,61.57,65.06,170594.0
2010-12-12,61.57,65.63,61.57,65.06,170594.0
2010-12-13,70.14,71.02,63.54,63.82,481407.0
2010-12-14,65.06,66.65,64.3,65.95,62241.0
2010-12-15,65.95,66.65,64.49,66.07,79518.0
2010-12-16,64.9,67.91,64.8,67.09,83748.0
2010-12-17,64.9,67.91,64.8,67.09,83748.0
2010-12-18,64.9,67.91,64.8,67.09,83748.0
2010-12-19,64.9,67.91,64.8,67.09,83748.0
2010-12-20,65.5,68.23,65.5,66.8,68536.0
2010-12-21,67.44,67.91,65.63,66.52,303839.0
2010-12-22,66.65,68.55,66.65,68.04,105689.0
2010-12-23,68.8,69.5,68.49,69.31,72926.0
2010-12-24,69.18,69.18,66.65,67.66,36111.0
2010-12-25,69.18,69.18,66.65,67.66,36111.0
2010-12-26,69.18,69.18,66.65,67.66,36111.0
2010-12-27,67.44,68.42,66.11,66.33,38607.0
2010-12-28,66.61,69.15,66.33,67.91,168000.0
2010-12-29,67.38,68.55,67.28,68.23,161511.0
2010-12-30,69.76,70.61,67.98,70.14,74844.0
2010-12-31,70.71,72.64,69.82,71.69,310400.0
2011-01-01,70.71,72.64,69.82,71.69,310400.0
2011-01-02,70.71,72.64,69.82,71.69,310400.0
2011-01-03,74.48,74.48,69.95,72.14,23384.0
2011-01-04,72.83,72.83,70.71,71.75,43567.0
2011-01-05,71.15,72.29,69.88,70.29,22910.0
2011-01-06,70.74,71.72,68.55,69.47,662977.0
2011-01-07,68.11,70.42,67.85,68.8,225141.0
2011-01-08,68.11,70.42,67.85,68.8,225141.0
2011-01-09,68.11,70.42,67.85,68.8,225141.0
2011-01-10,68.55,71.66,67.38,68.45,74317.0
2011-01-11,68.55,70.45,66.65,66.9,37459.0
2011-01-12,67.57,68.8,65.69,67.15,51755.0
2011-01-13,68.55,68.55,66.17,66.61,152021.0
2011-01-14,66.96,67.6,65.72,66.04,61962.0
2011-01-15,66.96,67.6,65.72,66.04,61962.0
2011-01-16,66.96,67.6,65.72,66.04,61962.0
2011-01-17,65.44,67.6,65.06,66.36,28021.0
2011-01-18,65.72,67.28,65.72,66.61,22545.0
2011-01-19,66.65,67.28,66.07,66.65,15297.0
2011-01-20,67.18,67.18,66.01,66.61,25383.0
2011-01-21,66.01,67.15,66.01,66.49,73662.0
2011-01-22,66.01,67.15,66.01,66.49,73662.0
2011-01-23,66.01,67.15,66.01,66.49,73662.0
2011-01-24,66.93,67.28,66.11,66.58,15563.0
2011-01-25,66.65,68.55,66.45,68.01,35242.0
2011-01-26,66.65,68.55,66.45,68.01,35242.0
2011-01-27,67.28,70.9,67.28,68.36,1269404.0
2011-01-28,69.12,69.34,66.42,68.71,137118.0
2011-01-29,69.12,69.34,66.42,68.71,137118.0
2011-01-30,69.12,69.34,66.42,68.71,137118.0
2011-01-31,67.91,67.91,66.33,67.47,42356.0
2011-02-01,67.41,68.74,66.42,67.22,968475.0
2011-02-02,67.91,68.55,65.44,65.98,42869.0
2011-02-03,66.04,66.04,64.27,65.0,109516.0
2011-02-04,65.38,66.52,64.8,65.92,64874.0
2011-02-05,65.38,66.52,64.8,65.92,64874.0
2011-02-06,65.38,66.52,64.8,65.92,64874.0
2011-02-07,65.41,68.33,65.41,67.95,121996.0
2011-02-08,68.55,71.66,67.98,69.34,269369.0
2011-02-09,68.74,71.66,66.01,69.76,1418820.0
2011-02-10,69.18,70.45,67.28,69.76,1115408.0
2011-02-11,70.07,71.41,68.87,70.71,82246.0
2011-02-12,70.07,71.41,68.87,70.71,82246.0
2011-02-13,70.07,71.41,68.87,70.71,82246.0
2011-02-14,71.66,71.98,68.55,69.63,97589.0
2011-02-15,69.63,72.87,69.63,72.14,185075.0
2011-02-16,69.79,76.8,69.79,75.59,452983.0
2011-02-17,76.17,77.37,74.42,76.04,162103.0
2011-02-18,75.56,77.44,74.45,76.13,132610.0
2011-02-19,75.56,77.44,74.45,76.13,132610.0
2011-02-20,75.56,77.44,74.45,76.13,132610.0
2011-02-21,75.53,76.74,74.26,76.2,93936.0
2011-02-22,77.44,77.44,73.18,74.9,985978.0
2011-02-23,76.04,76.8,74.29,75.91,58912.0
2011-02-24,75.21,76.8,72.48,72.99,70988.0
2011-02-25,73.66,75.72,71.47,73.56,259207.0
2011-02-26,73.66,75.72,71.47,73.56,259207.0
2011-02-27,73.66,75.72,71.47,73.56,259207.0
2011-02-28,73.56,76.8,72.99,75.56,166096.0
2011-03-01,76.17,76.74,74.42,75.82,114165.0
2011-03-02,76.17,76.74,74.42,75.82,114165.0
2011-03-03,75.21,76.07,70.87,72.01,350065.0
2011-03-04,69.82,72.87,69.82,71.98,212602.0
2011-03-05,69.82,72.87,69.82,71.98,212602.0
2011-03-06,69.82,72.87,69.82,71.98,212602.0
2011-03-07,72.93,73.6,71.09,72.52,62886.0
2011-03-08,71.79,73.75,71.79,73.15,108614.0
2011-03-09,72.99,73.53,71.82,72.45,15961.0
2011-03-10,72.61,72.9,69.82,69.91,45209.0
2011-03-11,70.71,71.41,69.5,69.76,76629.0
2011-03-12,70.71,71.41,69.5,69.76,76629.0
2011-03-13,70.71,71.41,69.5,69.76,76629.0
2011-03-14,69.5,70.36,69.5,69.82,77703.0
2011-03-15,68.55,69.79,67.91,68.07,45512.0
2011-03-16,69.5,70.33,68.55,69.72,75816.0
2011-03-17,69.72,71.28,67.91,68.26,63612.0
2011-03-18,70.2,70.2,67.44,68.33,163083.0
2011-03-19,70.2,70.2,67.44,68.33,163083.0
2011-03-20,70.2,70.2,67.44,68.33,163083.0
2011-03-21,70.29,72.36,68.23,70.83,152914.0
2011-03-22,70.36,74.23,69.82,72.74,54240.0
2011-03-23,72.99,73.63,72.1,73.09,94336.0
2011-03-24,72.99,73.63,72.42,73.25,25120.0
2011-03-25,73.25,76.17,72.87,75.98,98317.0
2011-03-26,73.25,76.17,72.87,75.98,98317.0
2011-03-27,73.25,76.17,72.87,75.98,98317.0
2011-03-28,75.4,75.4,73.47,74.2,24615.0
2011-03-29,73.15,76.1,73.15,75.56,83499.0
2011-03-30,74.9,76.17,73.69,75.34,90180.0
2011-03-31,75.12,78.7,73.63,76.67,1084705.0
2011-04-01,76.8,77.44,75.94,76.67,364360.0
2011-04-02,76.8,77.44,75.94,76.67,364360.0
2011-04-03,76.8,77.44,75.94,76.67,364360.0
2011-04-04,76.52,77.31,75.63,76.9,236535.0
2011-04-05,76.8,77.44,76.2,76.83,116542.0
2011-04-06,76.8,77.94,76.26,77.53,47655.0
2011-04-07,78.39,78.39,76.17,76.8,36307.0
2011-04-08,76.8,77.5,75.4,76.42,43969.0
2011-04-09,76.8,77.5,75.4,76.42,43969.0
2011-04-10,76.8,77.5,75.4,76.42,43969.0
2011-04-11,76.17,77.78,74.58,77.12,289197.0
2011-04-12,76.17,77.78,74.58,77.12,289197.0
2011-04-13,76.99,77.85,76.48,77.05,98781.0
2011-04-14,76.99,77.85,76.48,77.05,98781.0
2011-04-15,76.17,77.44,74.26,75.79,28293.0
2011-04-16,76.17,77.44,74.26,75.79,28293.0
2011-04-17,76.17,77.44,74.26,75.79,28293.0
2011-04-18,77.05,77.44,74.71,75.02,17065.0
2011-04-19,76.04,76.04,74.26,75.25,12419.0
2011-04-20,76.42,76.42,74.1,75.44,11475.0
2011-04-21,75.02,76.17,74.39,75.12,15819.0
2011-04-22,75.02,76.17,74.39,75.12,15819.0
2011-04-23,75.02,76.17,74.39,75.12,15819.0
2011-04-24,75.02,76.17,74.39,75.12,15819.0
2011-04-25,74.93,76.45,74.26,75.94,54585.0
2011-04-26,76.67,77.4,74.58,75.4,176843.0
2011-04-27,76.07,79.34,74.96,76.48,238903.0
2011-04-28,76.93,77.72,75.98,76.42,43381.0
2011-04-29,77.32,79.13,74.39,78.55,252263.0
2011-04-30,77.32,79.13,74.39,78.55,252263.0
2011-05-01,77.32,79.13,74.39,78.55,252263.0
2011-05-02,79.32,79.32,77.23,77.97,19649.0
2011-05-03,78.74,78.74,75.23,76.16,25924.0
2011-05-04,76.74,77.32,74.39,76.48,44036.0
2011-05-05,76.48,77.84,74.71,75.84,48984.0
2011-05-06,75.94,76.1,74.39,74.94,32867.0
2011-05-07,75.94,76.1,74.39,74.94,32867.0
2011-05-08,75.94,76.1,74.39,74.94,32867.0
2011-05-09,75.52,75.58,74.23,74.39,15841.0
