,SOTL IN Equity,SOTL IN Equity,SOTL IN Equity,SOTL IN Equity,SOTL IN Equity
2010-03-16,59.18,60.16,58.58,59.35,624678.0
2010-03-17,59.53,62.96,59.35,61.35,2421145.0
2010-03-18,62.12,62.96,60.23,62.82,1350775.0
2010-03-19,63.21,64.08,61.63,62.65,1472793.0
2010-03-20,63.21,64.08,61.63,62.65,1472793.0
2010-03-21,63.21,64.08,61.63,62.65,1472793.0
2010-03-22,61.98,62.26,60.62,60.83,516208.0
2010-03-23,61.63,62.3,59.6,60.09,487018.0
2010-03-24,61.63,62.3,59.6,60.09,487018.0
2010-03-25,59.28,60.72,59.04,59.6,459538.0
2010-03-26,60.06,60.58,59.53,60.3,448309.0
2010-03-27,60.06,60.58,59.53,60.3,448309.0
2010-03-28,60.06,60.58,59.53,60.3,448309.0
2010-03-29,60.37,62.96,59.67,61.74,1142300.0
2010-03-30,61.88,62.86,60.97,62.05,909723.0
2010-03-31,61.98,62.33,61.28,61.81,608228.0
2010-04-01,61.67,62.47,60.34,61.39,908208.0
2010-04-02,61.67,62.47,60.34,61.39,908208.0
2010-04-03,61.67,62.47,60.34,61.39,908208.0
2010-04-04,61.67,62.47,60.34,61.39,908208.0
2010-04-05,61.0,63.7,61.0,61.98,592925.0
2010-04-06,62.26,62.65,59.53,60.27,560759.0
2010-04-07,60.72,61.56,59.88,60.9,557916.0
2010-04-08,60.3,62.33,60.3,61.74,769397.0
2010-04-09,66.04,66.04,61.63,62.19,685855.0
2010-04-10,66.04,66.04,61.63,62.19,685855.0
2010-04-11,66.04,66.04,61.63,62.19,685855.0
2010-04-12,62.33,62.61,61.7,62.3,525117.0
2010-04-13,61.98,62.33,60.23,60.62,299146.0
2010-04-14,61.98,62.33,60.23,60.62,299146.0
2010-04-15,61.42,62.54,60.93,62.05,634814.0
2010-04-16,61.98,63.73,61.63,61.98,590840.0
2010-04-17,61.98,63.73,61.63,61.98,590840.0
2010-04-18,61.98,63.73,61.63,61.98,590840.0
2010-04-19,61.98,61.98,57.64,60.69,455992.0
2010-04-20,60.79,61.81,60.62,61.11,491822.0
2010-04-21,61.11,62.26,60.79,60.93,545458.0
2010-04-22,63.03,70.63,61.0,66.25,8290430.0
2010-04-23,67.16,76.44,66.01,74.94,21201826.0
2010-04-24,67.16,76.44,66.01,74.94,21201826.0
2010-04-25,67.16,76.44,66.01,74.94,21201826.0
2010-04-26,75.57,76.76,71.79,73.15,4522629.0
2010-04-27,72.8,74.45,69.51,70.42,2401089.0
2010-04-28,69.33,72.77,67.34,70.81,3553613.0
2010-04-29,69.37,74.2,69.37,73.57,2571611.0
2010-04-30,77.6,77.6,71.44,71.93,1172372.0
2010-05-01,77.6,77.6,71.44,71.93,1172372.0
2010-05-02,77.6,77.6,71.44,71.93,1172372.0
2010-05-03,72.21,73.5,69.33,70.49,1334712.0
2010-05-04,70.91,72.21,68.39,68.91,872093.0
2010-05-05,67.58,70.39,66.46,69.26,1853273.0
2010-05-06,70.04,71.4,68.63,69.89,1442225.0
2010-05-07,69.33,69.33,66.57,67.13,927237.0
2010-05-08,69.33,69.33,66.57,67.13,927237.0
2010-05-09,69.33,69.33,66.57,67.13,927237.0
2010-05-10,63.8,69.26,63.8,68.46,747463.0
2010-05-11,69.16,69.16,66.88,67.48,421318.0
2010-05-12,68.07,69.26,67.37,68.18,728545.0
2010-05-13,68.04,71.37,68.04,69.4,992638.0
2010-05-14,69.58,70.25,67.34,68.46,601804.0
2010-05-15,69.58,70.25,67.34,68.46,601804.0
2010-05-16,69.58,70.25,67.34,68.46,601804.0
2010-05-17,67.23,69.68,65.55,68.84,1024401.0
2010-05-18,68.84,73.08,68.11,72.42,2078205.0
2010-05-19,71.93,72.7,67.02,68.46,1040928.0
2010-05-20,68.46,74.17,68.46,71.93,3105528.0
2010-05-21,70.04,70.91,68.63,70.21,918926.0
2010-05-22,70.04,70.91,68.63,70.21,918926.0
2010-05-23,70.04,70.91,68.63,70.21,918926.0
2010-05-24,71.44,71.79,68.84,69.65,827129.0
2010-05-25,68.98,69.51,66.39,66.95,638445.0
2010-05-26,68.63,68.91,67.76,68.25,387521.0
2010-05-27,68.46,71.23,67.58,69.16,791765.0
2010-05-28,70.21,71.68,69.33,69.72,545655.0
2010-05-29,70.21,71.68,69.33,69.72,545655.0
2010-05-30,70.21,71.68,69.33,69.72,545655.0
2010-05-31,69.33,71.58,68.7,71.19,573419.0
2010-06-01,70.74,71.44,68.7,69.12,410278.0
2010-06-02,70.04,70.04,68.42,68.98,265727.0
2010-06-03,69.89,71.72,69.75,70.63,525185.0
2010-06-04,70.07,71.65,69.82,70.56,563313.0
2010-06-05,70.07,71.65,69.82,70.56,563313.0
2010-06-06,70.07,71.65,69.82,70.56,563313.0
2010-06-07,68.63,69.54,67.93,68.95,422830.0
2010-06-08,68.63,70.04,67.16,68.07,368212.0
2010-06-09,68.63,69.26,67.93,68.32,250880.0
2010-06-10,68.63,69.61,68.28,69.26,237230.0
2010-06-11,70.18,72.8,69.51,71.61,1447179.0
2010-06-12,70.18,72.8,69.51,71.61,1447179.0
2010-06-13,70.18,72.8,69.51,71.61,1447179.0
2010-06-14,72.14,73.4,70.88,71.72,660591.0
2010-06-15,71.82,72.49,71.09,71.37,304865.0
2010-06-16,71.79,72.28,70.04,70.53,299336.0
2010-06-17,71.37,72.73,70.39,71.4,692141.0
2010-06-18,71.65,72.35,70.04,71.82,883398.0
2010-06-19,71.65,72.35,70.04,71.82,883398.0
2010-06-20,71.65,72.35,70.04,71.82,883398.0
2010-06-21,72.49,73.4,71.93,72.77,425168.0
2010-06-22,72.14,80.86,72.14,78.79,8113172.0
2010-06-23,78.37,86.95,78.05,84.81,8141895.0
2010-06-24,85.23,85.44,80.54,83.24,3609240.0
2010-06-25,82.64,85.2,81.28,82.43,1711842.0
2010-06-26,82.64,85.2,81.28,82.43,1711842.0
2010-06-27,82.64,85.2,81.28,82.43,1711842.0
2010-06-28,82.64,84.22,81.98,82.57,746088.0
2010-06-29,82.33,83.34,79.7,80.23,724974.0
2010-06-30,79.7,84.5,78.44,81.59,1661016.0
2010-07-01,81.24,83.31,80.89,81.8,632692.0
2010-07-02,81.24,82.57,79.14,79.45,827205.0
2010-07-03,81.24,82.57,79.14,79.45,827205.0
2010-07-04,81.24,82.57,79.14,79.45,827205.0
2010-07-05,80.86,81.46,79.56,80.09,401562.0
2010-07-06,80.97,81.6,79.49,80.83,611074.0
2010-07-07,81.04,81.18,79.49,79.84,422710.0
2010-07-08,80.55,81.14,79.6,79.91,469072.0
2010-07-09,81.32,82.3,79.91,80.93,761144.0
2010-07-10,81.32,82.3,79.91,80.93,761144.0
2010-07-11,81.32,82.3,79.91,80.93,761144.0
2010-07-12,81.6,84.24,81.0,82.97,1133769.0
2010-07-13,83.43,83.53,81.39,82.51,443722.0
2010-07-14,83.01,84.2,81.04,81.64,667785.0
2010-07-15,81.95,83.46,81.25,82.69,759002.0
2010-07-16,83.36,83.57,78.96,79.53,2882366.0
2010-07-17,83.36,83.57,78.96,79.53,2882366.0
2010-07-18,83.36,83.57,78.96,79.53,2882366.0
2010-07-19,78.86,79.84,63.66,78.79,1112246.0
2010-07-20,79.77,80.47,79.1,80.09,630253.0
2010-07-21,80.9,80.9,79.49,80.19,583351.0
2010-07-22,78.93,80.62,78.93,79.88,348557.0
2010-07-23,70.87,81.81,70.17,80.23,561688.0
2010-07-24,70.87,81.81,70.17,80.23,561688.0
2010-07-25,70.87,81.81,70.17,80.23,561688.0
2010-07-26,80.83,81.07,78.43,78.75,417053.0
2010-07-27,78.75,79.42,76.89,77.49,344692.0
2010-07-28,77.38,78.08,74.21,74.92,685190.0
2010-07-29,73.86,77.03,73.26,74.5,687006.0
2010-07-30,73.93,74.64,71.75,72.14,684864.0
2010-07-31,73.93,74.64,71.75,72.14,684864.0
2010-08-01,73.93,74.64,71.75,72.14,684864.0
2010-08-02,72.81,74.78,72.1,73.69,870034.0
2010-08-03,87.37,87.37,72.24,74.0,646759.0
2010-08-04,74.11,74.11,71.82,72.91,509828.0
2010-08-05,73.86,75.97,73.26,73.72,1396293.0
2010-08-06,73.93,74.35,72.81,73.33,386403.0
2010-08-07,73.93,74.35,72.81,73.33,386403.0
2010-08-08,73.93,74.35,72.81,73.33,386403.0
2010-08-09,73.51,74.21,71.82,72.67,415054.0
2010-08-10,73.16,73.48,71.96,72.21,264026.0
2010-08-11,72.53,74.81,71.37,71.72,1477627.0
2010-08-12,71.75,72.14,70.06,70.49,558706.0
2010-08-13,71.05,72.24,71.05,71.75,671361.0
2010-08-14,71.05,72.24,71.05,71.75,671361.0
2010-08-15,71.05,72.24,71.05,71.75,671361.0
2010-08-16,71.89,72.46,71.05,71.58,492171.0
2010-08-17,72.35,74.21,71.58,72.77,898030.0
2010-08-18,73.37,73.37,71.75,72.91,480723.0
2010-08-19,73.16,73.72,71.82,72.42,303276.0
2010-08-20,74.57,76.47,71.75,75.45,3025608.0
2010-08-21,74.57,76.47,71.75,75.45,3025608.0
2010-08-22,74.57,76.47,71.75,75.45,3025608.0
2010-08-23,75.97,76.29,73.16,73.65,1205191.0
2010-08-24,73.86,74.21,71.4,72.7,947599.0
2010-08-25,72.63,73.12,70.59,70.98,537239.0
2010-08-26,71.12,71.86,69.75,70.38,429129.0
2010-08-27,70.35,72.46,68.27,68.97,608817.0
2010-08-28,70.35,72.46,68.27,68.97,608817.0
2010-08-29,70.35,72.46,68.27,68.97,608817.0
2010-08-30,70.35,70.52,68.23,68.52,408513.0
2010-08-31,68.31,69.92,67.78,68.83,389310.0
2010-09-01,69.4,70.1,68.87,69.57,227376.0
2010-09-02,69.64,69.64,65.77,66.02,2126972.0
2010-09-03,66.9,68.45,66.48,67.78,667127.0
2010-09-04,66.9,68.45,66.48,67.78,667127.0
2010-09-05,66.9,68.45,66.48,67.78,667127.0
2010-09-06,68.94,70.63,68.23,70.31,1591444.0
2010-09-07,70.35,70.87,68.69,69.15,899339.0
2010-09-08,69.54,70.42,68.23,68.62,637000.0
2010-09-09,68.59,69.89,67.11,69.01,744482.0
2010-09-10,68.59,69.89,67.11,69.01,744482.0
2010-09-11,68.59,69.89,67.11,69.01,744482.0
2010-09-12,68.59,69.89,67.11,69.01,744482.0
2010-09-13,69.64,70.24,68.06,69.01,994740.0
2010-09-14,69.11,69.64,67.78,68.38,776910.0
2010-09-15,68.41,69.61,67.78,67.95,445959.0
2010-09-16,68.23,68.97,67.04,67.32,457923.0
2010-09-17,67.53,68.31,67.11,67.85,410768.0
2010-09-18,67.53,68.31,67.11,67.85,410768.0
2010-09-19,67.53,68.31,67.11,67.85,410768.0
2010-09-20,68.45,68.52,65.95,67.07,1521026.0
2010-09-21,67.39,70.35,67.36,69.64,2147157.0
2010-09-22,70.13,72.7,69.71,70.45,3494816.0
2010-09-23,70.98,72.03,69.22,69.85,2244746.0
2010-09-24,70.27,70.49,69.64,70.31,862594.0
2010-09-25,70.27,70.49,69.64,70.31,862594.0
2010-09-26,70.27,70.49,69.64,70.31,862594.0
2010-09-27,71.05,71.05,69.01,69.4,641108.0
2010-09-28,70.13,72.63,69.18,71.61,2422053.0
2010-09-29,71.75,72.46,69.33,70.03,1769685.0
2010-09-30,69.33,70.35,68.16,69.85,967904.0
2010-10-01,70.27,70.7,67.95,68.59,1281042.0
2010-10-02,70.27,70.7,67.95,68.59,1281042.0
2010-10-03,70.27,70.7,67.95,68.59,1281042.0
2010-10-04,69.22,69.57,66.37,66.65,1180811.0
2010-10-05,67.0,69.22,66.76,67.81,1216356.0
2010-10-06,68.94,69.29,66.83,67.0,1635868.0
2010-10-07,67.71,71.75,67.18,69.57,5578880.0
2010-10-08,70.2,72.31,69.64,70.42,2967226.0
2010-10-09,70.2,72.31,69.64,70.42,2967226.0
2010-10-10,70.2,72.31,69.64,70.42,2967226.0
2010-10-11,71.93,72.0,70.49,70.7,1551490.0
2010-10-12,71.29,71.4,69.64,70.38,909061.0
2010-10-13,70.27,71.86,70.27,71.15,1415245.0
2010-10-14,71.96,73.48,70.91,71.19,4494425.0
2010-10-15,71.68,72.03,69.43,69.78,1182261.0
2010-10-16,71.68,72.03,69.43,69.78,1182261.0
2010-10-17,71.68,72.03,69.43,69.78,1182261.0
2010-10-18,69.99,70.52,67.95,68.55,839815.0
2010-10-19,69.04,69.54,67.71,68.13,717027.0
2010-10-20,68.52,70.17,68.2,69.04,1062245.0
2010-10-21,69.64,70.98,62.96,65.17,3054244.0
2010-10-22,65.39,66.41,59.97,60.39,5143618.0
2010-10-23,65.39,66.41,59.97,60.39,5143618.0
2010-10-24,65.39,66.41,59.97,60.39,5143618.0
2010-10-25,61.13,61.73,56.73,57.26,3908234.0
2010-10-26,58.0,60.99,57.68,58.95,4134553.0
2010-10-27,59.09,60.78,59.09,60.29,1833267.0
2010-10-28,60.5,60.99,58.32,59.05,1797328.0
2010-10-29,59.44,59.9,57.75,58.14,1410645.0
2010-10-30,59.44,59.9,57.75,58.14,1410645.0
2010-10-31,59.44,59.9,57.75,58.14,1410645.0
2010-11-01,58.74,59.72,57.75,58.7,1012506.0
2010-11-02,58.46,59.23,57.65,57.82,945110.0
2010-11-03,57.89,59.72,57.68,58.0,1898138.0
2010-11-04,58.25,59.09,58.1,58.49,904329.0
2010-11-05,59.65,59.65,58.49,59.12,328397.0
2010-11-06,59.65,59.65,58.49,59.12,328397.0
2010-11-07,59.65,59.65,58.49,59.12,328397.0
2010-11-08,59.65,59.72,58.32,58.46,897471.0
2010-11-09,58.74,59.12,57.47,57.93,1153498.0
2010-11-10,57.93,60.11,57.72,59.58,2439279.0
2010-11-11,60.32,64.47,59.83,63.49,8827825.0
2010-11-12,64.01,64.89,59.79,60.29,3781825.0
2010-11-13,64.01,64.89,59.79,60.29,3781825.0
2010-11-14,64.01,64.89,59.79,60.29,3781825.0
2010-11-15,60.57,61.2,57.72,59.2,1587338.0
2010-11-16,58.46,60.32,56.98,57.47,1360361.0
2010-11-17,58.46,60.32,56.98,57.47,1360361.0
2010-11-18,57.68,59.23,56.35,57.93,2579132.0
2010-11-19,58.39,59.09,56.14,56.56,1780877.0
2010-11-20,58.39,59.09,56.14,56.56,1780877.0
2010-11-21,58.39,59.09,56.14,56.56,1780877.0
2010-11-22,56.98,58.03,56.28,57.23,944992.0
2010-11-23,56.98,58.63,55.57,57.86,1852498.0
2010-11-24,58.88,60.46,57.72,58.18,2432036.0
2010-11-25,58.63,59.09,56.17,56.49,3354727.0
2010-11-26,57.33,57.68,49.59,53.32,1821897.0
2010-11-27,57.33,57.68,49.59,53.32,1821897.0
2010-11-28,57.33,57.68,49.59,53.32,1821897.0
2010-11-29,53.11,54.8,50.51,52.23,1028918.0
2010-11-30,52.02,54.17,50.3,53.81,926387.0
2010-12-01,54.17,56.28,53.15,54.8,1110798.0
2010-12-02,55.57,56.91,55.22,55.5,960163.0
2010-12-03,56.1,56.1,53.53,54.69,619354.0
2010-12-04,56.1,56.1,53.53,54.69,619354.0
2010-12-05,56.1,56.1,53.53,54.69,619354.0
2010-12-06,54.87,55.92,53.74,54.24,520583.0
2010-12-07,53.57,54.87,52.79,53.53,604359.0
2010-12-08,52.83,54.87,52.79,53.39,570989.0
2010-12-09,53.95,54.62,47.13,48.96,1231359.0
2010-12-10,49.07,50.37,47.24,48.12,1468184.0
2010-12-11,49.07,50.37,47.24,48.12,1468184.0
2010-12-12,49.07,50.37,47.24,48.12,1468184.0
2010-12-13,48.54,49.8,48.01,48.68,1084251.0
2010-12-14,49.24,50.51,48.89,49.24,1718327.0
2010-12-15,49.59,50.65,47.55,48.33,1832768.0
2010-12-16,48.82,50.16,48.19,49.8,841556.0
2010-12-17,48.82,50.16,48.19,49.8,841556.0
2010-12-18,48.82,50.16,48.19,49.8,841556.0
2010-12-19,48.82,50.16,48.19,49.8,841556.0
2010-12-20,51.14,51.14,48.71,49.35,656543.0
2010-12-21,49.56,50.19,48.96,49.21,579354.0
2010-12-22,49.8,50.09,48.89,49.24,514253.0
2010-12-23,49.24,49.94,48.75,49.14,468445.0
2010-12-24,48.54,49.45,48.54,49.0,512665.0
2010-12-25,48.54,49.45,48.54,49.0,512665.0
2010-12-26,48.54,49.45,48.54,49.0,512665.0
2010-12-27,49.42,50.86,49.03,49.59,969819.0
2010-12-28,49.94,50.3,49.17,49.31,497958.0
2010-12-29,49.31,50.89,49.24,50.37,1168222.0
2010-12-30,50.65,52.55,50.16,52.2,1953997.0
2010-12-31,52.72,54.76,52.2,53.78,1857258.0
2011-01-01,52.72,54.76,52.2,53.78,1857258.0
2011-01-02,52.72,54.76,52.2,53.78,1857258.0
2011-01-03,54.17,55.96,53.81,55.43,1438190.0
2011-01-04,55.96,56.56,54.94,55.75,844203.0
2011-01-05,55.57,55.92,54.24,54.59,981034.0
2011-01-06,54.87,55.12,52.83,53.11,575864.0
2011-01-07,53.46,54.45,51.0,51.32,1093209.0
2011-01-08,53.46,54.45,51.0,51.32,1093209.0
2011-01-09,53.46,54.45,51.0,51.32,1093209.0
2011-01-10,51.35,51.49,48.54,49.21,771688.0
2011-01-11,49.73,50.3,48.26,48.92,690418.0
2011-01-12,49.28,49.8,47.59,48.92,1257779.0
2011-01-13,52.27,52.27,47.94,48.92,939409.0
2011-01-14,48.75,49.35,47.69,47.94,676215.0
2011-01-15,48.75,49.35,47.69,47.94,676215.0
2011-01-16,48.75,49.35,47.69,47.94,676215.0
2011-01-17,47.94,48.4,44.46,45.16,972262.0
2011-01-18,45.37,46.6,44.0,44.63,1312332.0
2011-01-19,43.68,45.65,43.68,44.74,683959.0
2011-01-20,44.81,44.81,42.84,43.3,1991666.0
2011-01-21,43.61,44.18,43.3,43.75,654844.0
2011-01-22,43.61,44.18,43.3,43.75,654844.0
2011-01-23,43.61,44.18,43.3,43.75,654844.0
2011-01-24,43.82,45.58,43.82,44.28,1302229.0
2011-01-25,44.81,45.09,43.97,44.25,648361.0
2011-01-26,44.81,45.09,43.97,44.25,648361.0
2011-01-27,44.25,45.34,42.77,43.33,1426628.0
2011-01-28,42.95,43.54,38.02,38.83,3324225.0
2011-01-29,42.95,43.54,38.02,38.83,3324225.0
2011-01-30,42.95,43.54,38.02,38.83,3324225.0
2011-01-31,38.23,38.62,36.09,37.88,1535093.0
2011-02-01,38.62,38.83,37.49,37.74,754472.0
2011-02-02,38.69,38.69,36.68,37.46,907565.0
2011-02-03,37.46,39.22,37.42,38.44,861788.0
2011-02-04,38.55,39.15,37.63,38.02,749581.0
2011-02-05,38.55,39.15,37.63,38.02,749581.0
2011-02-06,38.55,39.15,37.63,38.02,749581.0
2011-02-07,37.99,38.83,36.83,37.07,614346.0
2011-02-08,36.86,37.7,32.6,32.96,1509087.0
2011-02-09,33.1,33.48,31.37,32.01,1488193.0
2011-02-10,31.66,34.47,31.66,33.73,1176220.0
2011-02-11,34.05,36.97,31.73,35.59,1453949.0
2011-02-12,34.05,36.97,31.73,35.59,1453949.0
2011-02-13,34.05,36.97,31.73,35.59,1453949.0
2011-02-14,35.88,37.63,35.31,37.25,1142101.0
2011-02-15,37.63,38.27,36.37,37.14,606708.0
2011-02-16,36.93,37.63,36.72,37.07,339716.0
2011-02-17,37.39,37.99,36.93,37.25,539098.0
2011-02-18,37.28,38.27,35.95,36.44,946403.0
2011-02-19,37.28,38.27,35.95,36.44,946403.0
2011-02-20,37.28,38.27,35.95,36.44,946403.0
2011-02-21,35.88,36.61,35.17,36.33,493335.0
2011-02-22,36.3,36.3,34.82,35.1,553587.0
2011-02-23,35.03,36.12,34.82,34.96,492618.0
2011-02-24,35.52,35.52,32.36,32.92,1319552.0
2011-02-25,33.17,33.7,32.43,32.96,434176.0
2011-02-26,33.17,33.7,32.43,32.96,434176.0
2011-02-27,33.17,33.7,32.43,32.96,434176.0
2011-02-28,33.77,34.72,33.06,33.2,680595.0
2011-03-01,34.12,35.35,33.24,35.07,622481.0
2011-03-02,34.12,35.35,33.24,35.07,622481.0
2011-03-03,35.52,35.88,34.12,34.79,1332768.0
2011-03-04,33.24,35.88,33.24,34.61,1041365.0
2011-03-05,33.24,35.88,33.24,34.61,1041365.0
2011-03-06,33.24,35.88,33.24,34.61,1041365.0
2011-03-07,34.43,34.47,32.78,33.62,703900.0
2011-03-08,33.41,34.54,33.41,34.01,726126.0
2011-03-09,34.43,34.57,33.91,34.19,725711.0
2011-03-10,34.19,34.5,33.77,34.22,403276.0
2011-03-11,33.24,34.26,32.68,33.24,614033.0
2011-03-12,33.24,34.26,32.68,33.24,614033.0
2011-03-13,33.24,34.26,32.68,33.24,614033.0
2011-03-14,33.27,33.94,33.06,33.59,405249.0
2011-03-15,33.45,33.45,31.83,32.57,506631.0
2011-03-16,32.99,34.29,32.82,33.38,872147.0
2011-03-17,33.31,34.82,32.82,33.52,1082738.0
2011-03-18,34.12,34.47,32.78,32.96,696307.0
2011-03-19,34.12,34.47,32.78,32.96,696307.0
2011-03-20,34.12,34.47,32.78,32.96,696307.0
2011-03-21,33.52,33.52,32.43,32.57,444758.0
2011-03-22,32.89,33.13,32.6,32.78,417095.0
2011-03-23,32.99,33.24,32.75,32.96,379910.0
2011-03-24,32.99,33.98,32.96,33.24,832403.0
2011-03-25,33.62,35.88,33.41,35.56,2605928.0
2011-03-26,33.62,35.88,33.41,35.56,2605928.0
2011-03-27,33.62,35.88,33.41,35.56,2605928.0
2011-03-28,35.88,42.63,35.31,41.86,14796099.0
2011-03-29,42.21,43.51,40.2,40.59,5835012.0
2011-03-30,40.52,42.56,40.13,41.93,3330914.0
2011-03-31,42.1,43.61,40.8,41.19,2072787.0
2011-04-01,37.49,42.66,37.49,42.1,1251316.0
2011-04-02,37.49,42.66,37.49,42.1,1251316.0
2011-04-03,37.49,42.66,37.49,42.1,1251316.0
2011-04-04,42.98,44.95,42.21,44.32,2468819.0
2011-04-05,45.23,45.23,43.54,44.42,1815067.0
2011-04-06,44.49,47.13,44.14,46.64,2452119.0
2011-04-07,46.67,47.83,45.65,47.24,1569111.0
2011-04-08,47.41,47.62,44.77,45.13,1266405.0
2011-04-09,47.41,47.62,44.77,45.13,1266405.0
2011-04-10,47.41,47.62,44.77,45.13,1266405.0
2011-04-11,45.51,45.51,43.61,44.0,666939.0
2011-04-12,45.51,45.51,43.61,44.0,666939.0
2011-04-13,44.67,48.68,42.98,48.22,5683249.0
2011-04-14,44.67,48.68,42.98,48.22,5683249.0
2011-04-15,47.87,48.57,46.92,47.66,1568415.0
2011-04-16,47.87,48.57,46.92,47.66,1568415.0
2011-04-17,47.87,48.57,46.92,47.66,1568415.0
2011-04-18,44.42,48.12,44.42,45.79,1165139.0
2011-04-19,45.02,46.78,45.02,46.5,900948.0
2011-04-20,47.06,48.85,46.08,47.83,1151704.0
2011-04-21,48.54,49.94,47.59,47.94,2181420.0
2011-04-22,48.54,49.94,47.59,47.94,2181420.0
2011-04-23,48.54,49.94,47.59,47.94,2181420.0
2011-04-24,48.54,49.94,47.59,47.94,2181420.0
2011-04-25,48.26,48.5,46.81,47.13,739853.0
2011-04-26,47.48,47.48,45.97,46.92,593125.0
2011-04-27,47.13,47.38,45.41,45.72,804773.0
2011-04-28,46.04,47.31,44.49,44.67,1745188.0
2011-04-29,44.67,45.37,42.63,43.19,1141394.0
2011-04-30,44.67,45.37,42.63,43.19,1141394.0
2011-05-01,44.67,45.37,42.63,43.19,1141394.0
2011-05-02,42.24,43.26,39.39,41.78,2589570.0
