,JAGP IN Equity,JAGP IN Equity,JAGP IN Equity,JAGP IN Equity,JAGP IN Equity
2010-07-24,90.5,90.79,88.68,89.04,360279.0
2010-07-25,90.5,90.79,88.68,89.04,360279.0
2010-07-26,88.72,90.13,86.79,88.06,66868.0
2010-07-27,87.95,89.41,87.23,88.86,102988.0
2010-07-28,88.35,90.13,88.35,89.48,163073.0
2010-07-29,89.41,90.13,87.48,87.99,120227.0
2010-07-30,87.23,91.41,85.77,87.99,539204.0
2010-07-31,87.23,91.41,85.77,87.99,539204.0
2010-08-01,87.23,91.41,85.77,87.99,539204.0
2010-08-02,88.68,90.82,87.66,88.32,142475.0
2010-08-03,90.86,90.86,87.44,89.66,139544.0
2010-08-04,90.86,104.89,85.77,87.3,24054173.0
2010-08-05,87.95,90.17,87.44,87.99,1399652.0
2010-08-06,88.5,89.62,87.95,88.5,419348.0
2010-08-07,88.5,89.62,87.95,88.5,419348.0
2010-08-08,88.5,89.62,87.95,88.5,419348.0
2010-08-09,89.04,89.15,86.35,87.01,174254.0
2010-08-10,87.08,87.81,85.99,86.64,149634.0
2010-08-11,86.68,87.26,84.03,84.57,158617.0
2010-08-12,84.68,96.82,83.63,84.65,127554.0
2010-08-13,83.77,85.77,83.74,83.95,109743.0
2010-08-14,83.77,85.77,83.74,83.95,109743.0
2010-08-15,83.77,85.77,83.74,83.95,109743.0
2010-08-16,84.72,85.77,83.3,83.81,209632.0
2010-08-17,85.43,85.43,83.63,84.07,76764.0
2010-08-18,83.96,86.87,83.22,85.02,220521.0
2010-08-19,85.14,86.87,84.88,85.83,198422.0
2010-08-20,84.77,88.89,84.14,88.38,480271.0
2010-08-21,84.77,88.89,84.14,88.38,480271.0
2010-08-22,84.77,88.89,84.14,88.38,480271.0
2010-08-23,88.74,92.68,88.41,92.06,471101.0
2010-08-24,93.31,93.9,90.07,92.39,280258.0
2010-08-25,90.58,94.27,89.04,91.28,762057.0
2010-08-26,90.95,93.42,89.26,92.68,566540.0
2010-08-27,93.09,93.16,90.58,91.65,170442.0
2010-08-28,93.09,93.16,90.58,91.65,170442.0
2010-08-29,93.09,93.16,90.58,91.65,170442.0
2010-08-30,91.36,94.27,90.81,93.38,248905.0
2010-08-31,92.79,94.27,91.32,92.5,592833.0
2010-09-01,95.74,96.48,93.6,94.53,142869.0
2010-09-02,95.78,96.84,93.53,96.07,297823.0
2010-09-03,97.14,99.13,95.04,97.66,436746.0
2010-09-04,97.14,99.13,95.04,97.66,436746.0
2010-09-05,97.14,99.13,95.04,97.66,436746.0
2010-09-06,98.32,99.42,97.18,97.29,202089.0
2010-09-07,100.9,100.9,97.29,99.39,509088.0
2010-09-08,100.9,104.54,99.5,100.27,613195.0
2010-09-09,100.9,102.15,98.87,100.2,168933.0
2010-09-10,100.9,102.15,98.87,100.2,168933.0
2010-09-11,100.9,102.15,98.87,100.2,168933.0
2010-09-12,100.9,102.15,98.87,100.2,168933.0
2010-09-13,101.82,102.0,97.29,100.64,212361.0
2010-09-14,102.37,103.47,98.06,98.72,178164.0
2010-09-15,100.82,100.9,97.95,98.39,403599.0
2010-09-16,99.42,99.42,92.87,94.05,187268.0
2010-09-17,94.41,95.52,92.79,93.16,471744.0
2010-09-18,94.41,95.52,92.79,93.16,471744.0
2010-09-19,94.41,95.52,92.79,93.16,471744.0
2010-09-20,93.38,96.4,92.98,93.57,67797.0
2010-09-21,91.32,95.37,90.58,91.58,125118.0
2010-09-22,92.79,94.89,91.36,91.73,375070.0
2010-09-23,92.06,93.38,90.58,90.88,86615.0
2010-09-24,91.32,93.9,90.4,92.54,108409.0
2010-09-25,91.32,93.9,90.4,92.54,108409.0
2010-09-26,91.32,93.9,90.4,92.54,108409.0
2010-09-27,93.79,96.48,92.79,95.45,413235.0
2010-09-28,92.06,96.4,92.06,95.67,372188.0
2010-09-29,93.53,96.11,92.9,94.97,135197.0
2010-09-30,93.31,96.4,92.79,95.3,264410.0
2010-10-01,95.22,95.22,92.98,94.19,35866.0
2010-10-02,95.22,95.22,92.98,94.19,35866.0
2010-10-03,95.22,95.22,92.98,94.19,35866.0
2010-10-04,93.53,97.21,93.53,95.22,411915.0
2010-10-05,95.74,97.18,94.27,95.26,211196.0
2010-10-06,96.44,97.95,95.34,96.77,177369.0
2010-10-07,96.37,106.27,96.37,102.33,1768086.0
2010-10-08,103.1,115.85,103.1,104.32,674930.0
2010-10-09,103.1,115.85,103.1,104.32,674930.0
2010-10-10,103.1,115.85,103.1,104.32,674930.0
2010-10-11,105.94,106.49,102.81,103.73,223031.0
2010-10-12,105.09,105.31,102.15,102.92,118866.0
2010-10-13,103.84,103.84,99.5,100.64,90305.0
2010-10-14,99.42,102.7,99.42,100.79,57651.0
2010-10-15,99.79,104.54,99.42,99.68,52476.0
2010-10-16,99.79,104.54,99.42,99.68,52476.0
2010-10-17,99.79,104.54,99.42,99.68,52476.0
2010-10-18,100.9,102.66,98.1,100.45,83286.0
2010-10-19,99.42,102.37,97.29,97.88,138133.0
2010-10-20,100.9,106.42,97.58,98.8,50892.0
2010-10-21,99.42,102.0,96.33,100.38,202374.0
2010-10-22,98.87,100.9,98.87,99.75,111960.0
2010-10-23,98.87,100.9,98.87,99.75,111960.0
2010-10-24,98.87,100.9,98.87,99.75,111960.0
2010-10-25,100.16,100.86,97.66,98.43,90656.0
2010-10-26,97.95,99.05,97.77,98.39,23066.0
2010-10-27,97.95,99.24,96.18,96.7,45269.0
2010-10-28,95.96,98.32,94.64,96.33,125693.0
2010-10-29,98.54,100.67,94.27,97.77,518891.0
2010-10-30,98.54,100.67,94.27,97.77,518891.0
2010-10-31,98.54,100.67,94.27,97.77,518891.0
2010-11-01,87.64,98.58,87.64,94.78,187670.0
2010-11-02,94.64,97.8,93.9,96.29,123211.0
2010-11-03,96.84,97.21,95.0,95.74,25148.0
2010-11-04,96.7,97.36,95.0,95.96,34208.0
2010-11-05,95.92,97.21,95.08,96.07,9955.0
2010-11-06,95.92,97.21,95.08,96.07,9955.0
2010-11-07,95.92,97.21,95.08,96.07,9955.0
2010-11-08,96.48,97.21,94.64,96.18,26084.0
2010-11-09,96.33,103.47,94.64,102.18,204810.0
2010-11-10,102.7,106.23,101.93,103.18,513066.0
2010-11-11,104.1,104.5,98.21,100.23,55939.0
2010-11-12,100.16,102.26,97.66,100.82,151258.0
2010-11-13,100.16,102.26,97.66,100.82,151258.0
2010-11-14,100.16,102.26,97.66,100.82,151258.0
2010-11-15,100.53,102.96,98.69,101.74,87116.0
2010-11-16,102.88,102.88,100.16,100.86,37852.0
2010-11-17,102.88,102.88,100.16,100.86,37852.0
2010-11-18,100.82,100.82,95.85,97.99,250442.0
2010-11-19,98.21,100.12,96.92,97.62,26065.0
2010-11-20,98.21,100.12,96.92,97.62,26065.0
2010-11-21,98.21,100.12,96.92,97.62,26065.0
2010-11-22,97.62,101.6,96.48,98.76,149048.0
2010-11-23,98.69,100.86,96.59,98.54,197805.0
2010-11-24,97.29,99.39,95.74,96.51,34066.0
2010-11-25,97.21,98.32,93.09,93.68,37252.0
2010-11-26,95.7,95.7,90.58,94.16,102575.0
2010-11-27,95.7,95.7,90.58,94.16,102575.0
2010-11-28,95.7,95.7,90.58,94.16,102575.0
2010-11-29,94.16,96.48,89.48,95.56,42195.0
2010-11-30,96.48,103.1,93.68,101.67,301522.0
2010-12-01,102.85,102.85,98.69,100.31,35717.0
2010-12-02,101.63,103.1,100.9,102.66,102533.0
2010-12-03,105.31,109.73,98.02,100.16,252742.0
2010-12-04,105.31,109.73,98.02,100.16,252742.0
2010-12-05,105.31,109.73,98.02,100.16,252742.0
2010-12-06,100.9,103.03,98.39,100.2,614249.0
2010-12-07,93.49,102.22,93.49,100.97,38468.0
2010-12-08,98.72,102.33,96.62,99.94,51347.0
2010-12-09,100.16,100.9,92.94,96.33,232239.0
2010-12-10,95.74,100.9,92.9,96.33,50084.0
2010-12-11,95.74,100.9,92.9,96.33,50084.0
2010-12-12,95.74,100.9,92.9,96.33,50084.0
2010-12-13,96.33,100.53,95.37,95.81,77404.0
2010-12-14,97.95,100.12,96.48,99.24,85368.0
2010-12-15,99.24,100.9,96.48,97.18,16363.0
2010-12-16,97.95,99.46,96.15,98.02,19382.0
2010-12-17,97.95,99.46,96.15,98.02,19382.0
2010-12-18,97.95,99.46,96.15,98.02,19382.0
2010-12-19,97.95,99.46,96.15,98.02,19382.0
2010-12-20,98.32,98.58,95.74,97.03,21695.0
2010-12-21,97.95,98.72,95.48,96.48,250858.0
2010-12-22,97.21,98.06,94.71,95.11,47105.0
2010-12-23,95.74,96.84,93.53,94.64,113513.0
2010-12-24,95.37,95.37,93.71,94.23,64559.0
2010-12-25,95.37,95.37,93.71,94.23,64559.0
2010-12-26,95.37,95.37,93.71,94.23,64559.0
2010-12-27,95.0,95.0,92.94,93.42,81717.0
2010-12-28,94.12,94.97,92.32,92.98,199733.0
2010-12-29,93.64,96.11,93.53,94.89,113375.0
2010-12-30,98.61,98.61,94.64,95.74,400714.0
2010-12-31,96.11,98.69,95.19,97.66,248693.0
2011-01-01,96.11,98.69,95.19,97.66,248693.0
2011-01-02,96.11,98.69,95.19,97.66,248693.0
2011-01-03,87.46,98.54,87.46,96.11,82586.0
2011-01-04,92.43,97.21,92.43,93.9,1065168.0
2011-01-05,92.06,95.67,91.76,93.53,1262009.0
2011-01-06,93.6,94.86,92.43,93.31,100099.0
2011-01-07,93.75,94.12,91.69,92.94,39387.0
2011-01-08,93.75,94.12,91.69,92.94,39387.0
2011-01-09,93.75,94.12,91.69,92.94,39387.0
2011-01-10,91.47,93.49,91.4,92.57,23096.0
2011-01-11,92.06,92.09,88.49,90.4,58967.0
2011-01-12,89.85,91.8,89.11,91.17,190330.0
2011-01-13,91.17,93.38,90.7,91.76,21325.0
2011-01-14,90.58,92.65,90.11,91.69,115390.0
2011-01-15,90.58,92.65,90.11,91.69,115390.0
2011-01-16,90.58,92.65,90.11,91.69,115390.0
2011-01-17,91.32,96.48,89.15,93.57,266301.0
2011-01-18,93.9,94.78,90.66,93.35,114967.0
2011-01-19,95.37,95.67,90.77,91.36,51355.0
2011-01-20,91.47,92.72,88.85,90.47,55020.0
2011-01-21,88.38,92.24,88.38,89.48,45971.0
2011-01-22,88.38,92.24,88.38,89.48,45971.0
2011-01-23,88.38,92.24,88.38,89.48,45971.0
2011-01-24,91.98,93.46,89.52,92.83,47871.0
2011-01-25,92.06,94.27,89.89,90.92,55432.0
2011-01-26,92.06,94.27,89.89,90.92,55432.0
2011-01-27,91.32,91.32,89.48,90.58,95010.0
2011-01-28,92.5,92.57,86.98,88.78,113379.0
2011-01-29,92.5,92.57,86.98,88.78,113379.0
2011-01-30,92.5,92.57,86.98,88.78,113379.0
2011-01-31,81.01,91.98,81.01,90.03,119428.0
2011-02-01,91.98,91.98,89.11,90.81,41030.0
2011-02-02,90.81,94.64,89.52,93.6,70964.0
2011-02-03,91.54,99.2,91.54,93.83,51272.0
2011-02-04,95.0,95.0,88.78,90.62,111926.0
2011-02-05,95.0,95.0,88.78,90.62,111926.0
2011-02-06,95.0,95.0,88.78,90.62,111926.0
2011-02-07,89.7,89.7,83.96,86.39,653711.0
2011-02-08,86.76,87.49,84.36,85.76,197629.0
2011-02-09,82.45,86.9,81.2,82.37,309522.0
2011-02-10,81.53,83.07,77.33,81.27,248805.0
2011-02-11,80.83,84.55,80.83,82.96,41731.0
2011-02-12,80.83,84.55,80.83,82.96,41731.0
2011-02-13,80.83,84.55,80.83,82.96,41731.0
2011-02-14,83.96,86.13,83.33,85.36,102879.0
2011-02-15,85.5,87.27,84.69,86.31,2524868.0
2011-02-16,85.14,86.57,85.14,86.42,33063.0
2011-02-17,86.17,86.35,85.06,86.13,37620.0
2011-02-18,85.06,87.27,83.22,83.85,144489.0
2011-02-19,85.06,87.27,83.22,83.85,144489.0
2011-02-20,85.06,87.27,83.22,83.85,144489.0
2011-02-21,85.36,86.46,83.4,85.91,45476.0
2011-02-22,86.17,86.17,81.2,82.67,87041.0
2011-02-23,83.55,83.55,81.05,82.19,504036.0
2011-02-24,82.48,82.48,78.21,81.08,781395.0
2011-02-25,81.45,82.48,79.65,81.75,86558.0
2011-02-26,81.45,82.48,79.65,81.75,86558.0
2011-02-27,81.45,82.48,79.65,81.75,86558.0
2011-02-28,79.98,83.51,79.54,82.12,78631.0
2011-03-01,82.23,83.96,81.86,83.88,89032.0
2011-03-02,82.23,83.96,81.86,83.88,89032.0
2011-03-03,83.29,84.1,82.78,83.88,27325.0
2011-03-04,85.25,86.09,83.59,85.43,138338.0
2011-03-05,85.25,86.09,83.59,85.43,138338.0
2011-03-06,85.25,86.09,83.59,85.43,138338.0
2011-03-07,85.39,88.3,84.03,87.16,1688590.0
2011-03-08,86.9,88.23,86.39,86.94,444749.0
2011-03-09,86.72,86.94,85.1,85.98,12337.0
2011-03-10,85.87,86.76,84.73,85.32,17053.0
2011-03-11,84.69,85.8,83.22,84.88,59900.0
2011-03-12,84.69,85.8,83.22,84.88,59900.0
2011-03-13,84.69,85.8,83.22,84.88,59900.0
2011-03-14,89.74,89.74,83.96,85.5,32227.0
2011-03-15,85.36,85.43,81.42,82.37,40258.0
2011-03-16,83.22,85.06,82.7,83.77,630973.0
2011-03-17,84.25,84.44,83.07,83.96,35604.0
2011-03-18,84.33,84.44,82.12,83.88,42231.0
2011-03-19,84.33,84.44,82.12,83.88,42231.0
2011-03-20,84.33,84.44,82.12,83.88,42231.0
2011-03-21,83.48,84.14,81.75,83.18,40332.0
2011-03-22,83.96,86.76,82.96,86.02,73709.0
2011-03-23,86.17,89.08,84.36,86.57,63354.0
2011-03-24,84.69,88.01,83.96,87.68,46614.0
2011-03-25,86.61,88.74,86.61,88.38,33333.0
2011-03-26,86.61,88.74,86.61,88.38,33333.0
2011-03-27,86.61,88.74,86.61,88.38,33333.0
2011-03-28,87.64,89.66,87.12,89.11,26607.0
2011-03-29,92.43,92.72,86.53,91.06,150379.0
2011-03-30,91.32,93.46,90.03,92.87,94275.0
2011-03-31,91.32,95.96,90.58,94.71,87055.0
2011-04-01,93.24,94.64,91.32,91.65,41104.0
2011-04-02,93.24,94.64,91.32,91.65,41104.0
2011-04-03,93.24,94.64,91.32,91.65,41104.0
2011-04-04,92.79,93.38,90.73,91.32,43098.0
2011-04-05,91.32,93.46,89.85,90.99,44968.0
2011-04-06,92.02,92.02,89.55,90.92,69073.0
2011-04-07,92.17,95.78,91.36,92.09,197985.0
2011-04-08,88.38,94.12,85.5,87.49,148001.0
2011-04-09,88.38,94.12,85.5,87.49,148001.0
2011-04-10,88.38,94.12,85.5,87.49,148001.0
2011-04-11,89.08,89.08,86.61,87.71,32605.0
2011-04-12,89.08,89.08,86.61,87.71,32605.0
2011-04-13,87.64,89.77,87.46,88.85,32445.0
2011-04-14,87.64,89.77,87.46,88.85,32445.0
2011-04-15,89.08,89.55,88.01,89.15,44936.0
2011-04-16,89.08,89.55,88.01,89.15,44936.0
2011-04-17,89.08,89.55,88.01,89.15,44936.0
2011-04-18,89.11,90.58,88.63,89.15,33178.0
2011-04-19,89.11,97.07,87.68,91.58,739543.0
2011-04-20,92.61,93.38,89.37,90.88,224736.0
2011-04-21,90.66,92.79,88.63,91.32,139627.0
2011-04-22,90.66,92.79,88.63,91.32,139627.0
2011-04-23,90.66,92.79,88.63,91.32,139627.0
2011-04-24,90.66,92.79,88.63,91.32,139627.0
2011-04-25,91.32,91.32,88.6,88.96,71451.0
2011-04-26,89.11,90.44,87.64,89.52,66947.0
2011-04-27,89.85,90.51,88.67,89.85,62701.0
2011-04-28,89.22,91.62,88.78,91.06,56421.0
2011-04-29,88.82,92.35,88.82,91.65,102588.0
2011-04-30,88.82,92.35,88.82,91.65,102588.0
2011-05-01,88.82,92.35,88.82,91.65,102588.0
2011-05-02,93.79,94.64,87.64,88.56,166101.0
2011-05-03,88.52,93.16,87.27,88.23,44546.0
2011-05-04,87.68,89.85,87.64,88.41,26028.0
2011-05-05,87.82,89.44,86.9,87.49,27074.0
2011-05-06,88.41,89.11,87.93,88.34,21320.0
2011-05-07,88.41,89.11,87.93,88.34,21320.0
2011-05-08,88.41,89.11,87.93,88.34,21320.0
2011-05-09,89.11,89.48,87.38,87.64,13663.0
