,URI US Equity
,BEST_EPS
2021-02-10,34.827
2021-02-11,34.827
2021-02-12,34.827
2021-02-13,34.827
2021-02-14,34.827
2021-02-15,34.827
2021-02-16,34.827
2021-02-17,34.827
2021-02-18,34.827
2021-02-19,34.827
2021-02-20,34.827
2021-02-21,34.827
2021-02-22,34.827
2021-02-23,34.827
2021-02-24,34.827
2021-02-25,34.827
2021-02-26,34.827
2021-02-27,34.827
2021-02-28,34.827
2021-03-01,34.827
2021-03-02,34.827
2021-03-03,34.827
2021-03-04,34.827
2021-03-05,34.827
2021-03-06,34.827
2021-03-07,34.827
2021-03-08,34.827
2021-03-09,34.827
2021-03-10,34.233
2021-03-11,34.233
2021-03-12,34.233
2021-03-13,34.233
2021-03-14,34.233
2021-03-15,34.233
2021-03-16,34.233
2021-03-17,34.233
2021-03-18,34.233
2021-03-19,34.233
2021-03-20,34.233
2021-03-21,34.233
2021-03-22,34.233
2021-03-23,34.233
2021-03-24,34.233
2021-03-25,34.233
2021-03-26,34.233
2021-03-27,34.233
2021-03-28,34.233
2021-03-29,34.233
2021-03-30,34.233
2021-03-31,34.233
2021-04-01,34.233
2021-04-02,34.233
2021-04-03,34.233
2021-04-04,34.233
2021-04-05,34.233
2021-04-06,34.233
2021-04-07,34.233
2021-04-08,34.233
2021-04-09,34.233
2021-04-10,34.233
2021-04-11,34.233
2021-04-12,34.957
2021-04-13,34.957
2021-04-14,34.957
2021-04-15,34.957
2021-04-16,34.957
2021-04-17,34.957
2021-04-18,34.957
2021-04-19,34.957
2021-04-20,34.957
2021-04-21,34.957
2021-04-22,34.957
2021-04-23,34.957
2021-04-24,34.957
2021-04-25,34.957
2021-04-26,34.957
2021-04-27,34.957
2021-04-28,34.957
2021-04-29,34.077
2021-04-30,34.077
2021-05-01,34.077
2021-05-02,34.077
2021-05-03,34.077
2021-05-04,34.077
2021-05-05,34.077
2021-05-06,34.077
2021-05-07,34.077
2021-05-08,34.077
2021-05-09,34.077
2021-05-10,34.077
2021-05-11,34.077
2021-05-12,34.077
2021-05-13,34.077
2021-05-14,34.077
2021-05-15,34.077
2021-05-16,34.077
2021-05-17,34.077
2021-05-18,34.077
2021-05-19,34.077
2021-05-20,34.077
2021-05-21,34.077
2021-05-22,34.077
2021-05-23,34.077
2021-05-24,34.077
2021-05-25,34.077
2021-05-26,34.077
2021-05-27,34.077
2021-05-28,34.077
2021-05-29,34.077
2021-05-30,34.077
2021-05-31,34.077
2021-06-01,34.077
2021-06-02,34.077
2021-06-03,34.077
2021-06-04,34.077
2021-06-05,34.077
2021-06-06,34.077
2021-06-07,34.077
2021-06-08,33.138
2021-06-09,33.138
