,VRTX US Equity
,BEST_EPS
2021-01-01,15.614
2021-01-02,15.614
2021-01-03,15.614
2021-01-04,15.614
2021-01-05,15.614
2021-01-06,15.614
2021-01-07,15.629
2021-01-08,15.629
2021-01-09,15.629
2021-01-10,15.629
2021-01-11,15.629
2021-01-12,15.629
2021-01-13,15.629
2021-01-14,15.629
2021-01-15,15.629
2021-01-16,15.629
2021-01-17,15.629
2021-01-18,15.629
2021-01-19,15.629
2021-01-20,15.629
2021-01-21,15.629
2021-01-22,15.562
2021-01-23,15.562
2021-01-24,15.562
2021-01-25,15.562
2021-01-26,15.562
2021-01-27,15.548
2021-01-28,15.548
2021-01-29,15.548
2021-01-30,15.548
2021-01-31,15.619
2021-02-01,15.469
2021-02-02,15.312
2021-02-03,15.312
2021-02-04,15.361
2021-02-05,15.361
2021-02-06,15.361
2021-02-07,15.361
2021-02-08,15.361
2021-02-09,15.361
2021-02-10,15.361
2021-02-11,15.361
2021-02-12,15.361
2021-02-13,15.361
2021-02-14,15.361
2021-02-15,15.361
2021-02-16,15.361
2021-02-17,15.361
2021-02-18,15.361
2021-02-19,15.312
2021-02-20,15.312
2021-02-21,15.312
2021-02-22,15.312
2021-02-23,15.312
2021-02-24,15.312
2021-02-25,15.312
2021-02-26,15.312
2021-02-27,15.312
2021-02-28,15.312
2021-03-01,15.312
2021-03-02,15.312
2021-03-03,15.312
2021-03-04,15.312
2021-03-05,15.312
2021-03-06,15.312
2021-03-07,15.312
2021-03-08,15.312
2021-03-09,15.289
2021-03-10,15.289
2021-03-11,15.289
2021-03-12,15.289
2021-03-13,15.289
2021-03-14,15.289
2021-03-15,15.289
2021-03-16,15.289
2021-03-17,15.289
2021-03-18,15.289
2021-03-19,15.289
2021-03-20,15.289
2021-03-21,15.289
2021-03-22,15.289
2021-03-23,15.289
2021-03-24,15.289
2021-03-25,15.289
2021-03-26,15.289
2021-03-27,15.289
2021-03-28,15.289
2021-03-29,15.289
2021-03-30,15.289
2021-03-31,15.289
2021-04-01,15.289
2021-04-02,15.289
2021-04-03,15.289
2021-04-04,15.289
2021-04-05,15.289
2021-04-06,15.289
2021-04-07,15.289
2021-04-08,15.307
2021-04-09,15.308
2021-04-10,15.308
2021-04-11,15.308
2021-04-12,15.308
2021-04-13,15.308
2021-04-14,15.308
2021-04-15,15.308
2021-04-16,15.303
2021-04-17,15.303
2021-04-18,15.303
2021-04-19,15.298
2021-04-20,15.423
2021-04-21,15.423
2021-04-22,15.423
2021-04-23,15.549
2021-04-24,15.549
2021-04-25,15.549
2021-04-26,15.549
2021-04-27,15.549
2021-04-28,15.549
2021-04-29,15.127
2021-04-30,14.87
2021-05-01,14.87
2021-05-02,14.87
2021-05-03,14.87
2021-05-04,14.87
2021-05-05,14.87
2021-05-06,14.87
2021-05-07,14.87
2021-05-08,14.87
2021-05-09,14.87
2021-05-10,14.87
