,DISH US Equity
,BEST_EPS
2021-01-09,1.615
2021-01-10,1.615
2021-01-11,1.615
2021-01-12,1.615
2021-01-13,1.615
2021-01-14,1.615
2021-01-15,1.615
2021-01-16,1.615
2021-01-17,1.615
2021-01-18,1.615
2021-01-19,1.615
2021-01-20,1.615
2021-01-21,1.615
2021-01-22,1.615
2021-01-23,1.615
2021-01-24,1.615
2021-01-25,1.615
2021-01-26,1.615
2021-01-27,1.615
2021-01-28,1.615
2021-01-29,1.615
2021-01-30,1.615
2021-01-31,1.615
2021-02-01,1.615
2021-02-02,1.615
2021-02-03,1.615
2021-02-04,1.615
2021-02-05,1.615
2021-02-06,1.615
2021-02-07,1.615
2021-02-08,1.615
2021-02-09,1.615
2021-02-10,1.615
2021-02-11,1.615
2021-02-12,1.615
2021-02-13,1.615
2021-02-14,1.615
2021-02-15,1.615
2021-02-16,1.615
2021-02-17,1.615
2021-02-18,1.615
2021-02-19,1.615
2021-02-20,1.615
2021-02-21,1.615
2021-02-22,1.62
2021-02-23,2.332
2021-02-24,2.332
2021-02-25,2.382
2021-02-26,2.382
2021-02-27,2.382
2021-02-28,2.382
2021-03-01,2.382
2021-03-02,2.382
2021-03-03,2.382
2021-03-04,2.382
2021-03-05,2.382
2021-03-06,2.382
2021-03-07,2.382
2021-03-08,2.382
2021-03-09,2.382
2021-03-10,2.198
2021-03-11,2.198
2021-03-12,2.198
2021-03-13,2.198
2021-03-14,2.198
2021-03-15,2.198
2021-03-16,2.198
2021-03-17,2.198
2021-03-18,2.198
2021-03-19,2.198
2021-03-20,2.198
2021-03-21,2.198
2021-03-22,2.198
2021-03-23,2.198
2021-03-24,2.198
2021-03-25,2.198
2021-03-26,2.198
2021-03-27,2.198
2021-03-28,2.198
2021-03-29,2.198
2021-03-30,2.198
2021-03-31,2.198
2021-04-01,2.198
2021-04-02,2.198
2021-04-03,2.198
2021-04-04,2.198
2021-04-05,2.198
2021-04-06,2.198
2021-04-07,2.198
2021-04-08,2.198
2021-04-09,2.198
2021-04-10,2.198
2021-04-11,2.198
2021-04-12,2.198
2021-04-13,2.198
2021-04-14,2.198
2021-04-15,2.198
2021-04-16,2.198
2021-04-17,2.198
2021-04-18,2.198
2021-04-19,2.198
2021-04-20,2.198
2021-04-21,2.198
2021-04-22,2.198
2021-04-23,2.198
2021-04-24,2.198
2021-04-25,2.198
2021-04-26,2.198
2021-04-27,2.198
2021-04-28,2.198
2021-04-29,2.152
2021-04-30,2.31
2021-05-01,2.31
2021-05-02,2.31
2021-05-03,2.31
2021-05-04,2.31
2021-05-05,2.31
2021-05-06,2.31
2021-05-07,2.31
2021-05-08,2.31
2021-05-09,2.31
2021-05-10,2.31
2021-05-11,2.412
2021-05-12,2.412
2021-05-13,2.412
2021-05-14,2.412
2021-05-15,2.412
2021-05-16,2.412
2021-05-17,2.412
2021-05-18,2.412
2021-05-19,2.412
2021-05-20,2.412
2021-05-21,2.701
2021-05-22,2.701
2021-05-23,2.701
2021-05-24,2.701
2021-05-25,2.701
2021-05-26,2.701
2021-05-27,2.701
2021-05-28,2.701
2021-05-29,2.701
2021-05-30,2.701
2021-05-31,2.701
2021-06-01,2.701
2021-06-02,2.701
2021-06-03,2.701
