,ULTA US Equity
,BEST_EPS
2019-09-11,26.17
2019-09-12,26.17
2019-09-13,23.39
2019-09-14,23.39
2019-09-15,23.39
2019-09-16,23.39
2019-09-17,23.39
2019-09-18,23.39
2019-09-19,23.39
2019-09-20,23.39
2019-09-21,23.39
2019-09-22,23.39
2019-09-23,23.39
2019-09-24,23.39
2019-09-25,23.39
2019-09-26,23.39
2019-09-27,23.39
2019-09-28,23.39
2019-09-29,23.39
2019-09-30,23.39
2019-10-01,23.39
2019-10-02,23.39
2019-10-03,23.39
2019-10-04,23.39
2019-10-05,23.39
2019-10-06,23.39
2019-10-07,23.39
2019-10-08,23.39
2019-10-09,23.39
2019-10-10,23.39
2019-10-11,23.39
2019-10-12,23.39
2019-10-13,23.39
2019-10-14,23.39
2019-10-15,23.39
2019-10-16,23.39
2019-10-17,23.39
2019-10-18,23.39
2019-10-19,23.39
2019-10-20,23.39
2019-10-21,23.39
2019-10-22,23.39
2019-10-23,23.39
2019-10-24,23.39
2019-10-25,23.39
2019-10-26,23.39
2019-10-27,23.39
2019-10-28,23.39
2019-10-29,23.39
2019-10-30,23.39
2019-10-31,23.39
2019-11-01,23.39
2019-11-02,23.39
2019-11-03,23.39
2019-11-04,23.39
2019-11-05,23.39
2019-11-06,23.39
2019-11-07,23.39
2019-11-08,23.39
2019-11-09,23.39
2019-11-10,23.39
2019-11-11,23.39
2019-11-12,23.39
2019-11-13,23.39
2019-11-14,23.39
2019-11-15,23.39
2019-11-16,23.39
2019-11-17,23.39
2019-11-18,23.39
2019-11-19,23.39
2019-11-20,23.39
2019-11-21,23.39
2019-11-22,23.39
2019-11-23,23.39
2019-11-24,23.39
2019-11-25,20.61
2019-11-26,20.61
2019-11-27,20.61
2019-11-28,20.61
2019-11-29,20.61
2019-11-30,20.61
2019-12-01,20.61
2019-12-02,20.61
2019-12-03,20.61
2019-12-04,20.61
2019-12-05,20.61
2019-12-06,20.61
2019-12-07,20.61
2019-12-08,20.61
2019-12-09,20.61
2019-12-10,20.61
2019-12-11,20.61
2019-12-12,20.61
2019-12-13,20.61
2019-12-14,20.61
2019-12-15,20.61
2019-12-16,20.61
2019-12-17,20.61
2019-12-18,20.61
2019-12-19,20.61
2019-12-20,20.61
2019-12-21,20.61
2019-12-22,20.61
2019-12-23,20.61
2019-12-24,20.61
2019-12-25,20.61
2019-12-26,20.61
2019-12-27,20.61
2019-12-28,20.61
2019-12-29,20.61
2019-12-30,20.61
2019-12-31,20.61
2020-01-01,20.61
2020-01-02,20.61
2020-01-03,20.61
2020-01-04,20.61
2020-01-05,20.61
2020-01-06,20.61
2020-01-07,20.61
2020-01-08,20.61
2020-01-09,20.61
2020-01-10,20.61
2020-01-11,20.61
2020-01-12,20.61
2020-01-13,20.61
2020-01-14,20.61
2020-01-15,20.61
2020-01-16,20.61
2020-01-17,20.61
2020-01-18,20.61
2020-01-19,20.61
2020-01-20,20.61
2020-01-21,20.61
2020-01-22,20.61
2020-01-23,20.61
2020-01-24,20.61
2020-01-25,20.61
2020-01-26,20.61
2020-01-27,20.61
2020-01-28,20.61
2020-01-29,20.61
2020-01-30,20.61
2020-01-31,20.61
2020-02-01,20.61
2020-02-02,20.61
2020-02-03,23.93
2020-02-04,23.93
2020-02-05,23.93
2020-02-06,23.93
2020-02-07,23.93
2020-02-08,23.93
2020-02-09,23.93
2020-02-10,23.93
2020-02-11,23.93
2020-02-12,23.93
2020-02-13,23.93
2020-02-14,23.93
2020-02-15,23.93
2020-02-16,23.93
2020-02-17,23.93
2020-02-18,23.93
2020-02-19,23.93
2020-02-20,23.93
2020-02-21,23.93
2020-02-22,23.93
2020-02-23,23.93
2020-02-24,23.93
2020-02-25,23.93
2020-02-26,23.93
