,ROP US Equity
,BEST_EPS
2021-04-20,19.778
2021-04-21,19.778
2021-04-22,19.778
2021-04-23,19.778
2021-04-24,19.778
2021-04-25,19.778
2021-04-26,19.778
2021-04-27,20.15
2021-04-28,20.255
2021-04-29,20.255
2021-04-30,20.255
2021-05-01,20.255
2021-05-02,20.255
2021-05-03,20.255
2021-05-04,20.255
2021-05-05,20.255
2021-05-06,20.255
2021-05-07,20.255
2021-05-08,20.255
2021-05-09,20.255
2021-05-10,20.255
2021-05-11,20.255
2021-05-12,20.255
2021-05-13,20.255
2021-05-14,20.355
2021-05-15,20.355
2021-05-16,20.355
2021-05-17,20.355
2021-05-18,20.355
2021-05-19,20.355
2021-05-20,20.355
2021-05-21,20.355
2021-05-22,20.355
2021-05-23,20.355
2021-05-24,20.355
2021-05-25,20.355
2021-05-26,20.355
2021-05-27,20.355
2021-05-28,20.355
2021-05-29,20.355
2021-05-30,20.355
2021-05-31,20.355
2021-06-01,20.355
2021-06-02,20.355
2021-06-03,20.355
2021-06-04,20.355
2021-06-05,20.355
2021-06-06,20.355
2021-06-07,20.355
2021-06-08,20.355
2021-06-09,20.355
2021-06-10,20.355
2021-06-11,20.355
2021-06-12,20.355
2021-06-13,20.355
2021-06-14,20.355
2021-06-15,20.355
2021-06-16,20.355
2021-06-17,20.355
2021-06-18,20.355
2021-06-19,20.355
2021-06-20,20.355
2021-06-21,20.355
2021-06-22,20.355
2021-06-23,20.355
2021-06-24,20.355
2021-06-25,20.355
2021-06-26,20.355
2021-06-27,20.355
2021-06-28,20.355
2021-06-29,20.355
2021-06-30,20.355
2021-07-01,20.355
2021-07-02,20.355
2021-07-03,20.355
2021-07-04,20.355
2021-07-05,20.355
2021-07-06,20.355
2021-07-07,20.355
2021-07-08,20.43
2021-07-09,20.43
2021-07-10,20.43
2021-07-11,20.43
2021-07-12,20.43
2021-07-13,20.43
2021-07-14,20.43
2021-07-15,20.43
2021-07-16,20.43
2021-07-17,20.43
2021-07-18,20.43
2021-07-19,20.43
2021-07-20,20.43
2021-07-21,20.43
2021-07-22,20.43
2021-07-23,20.323
2021-07-24,19.895
2021-07-25,19.928
2021-07-26,19.928
2021-07-27,19.928
2021-07-28,19.928
2021-07-29,19.928
2021-07-30,19.928
2021-07-31,19.928
2021-08-01,19.928
2021-08-02,19.965
2021-08-03,19.965
2021-08-04,19.965
2021-08-05,19.965
2021-08-06,19.965
2021-08-07,19.965
2021-08-08,19.965
2021-08-09,19.965
2021-08-10,19.965
2021-08-11,19.965
2021-08-12,19.965
2021-08-13,19.965
2021-08-14,19.965
2021-08-15,19.965
2021-08-16,19.965
2021-08-17,19.965
2021-08-18,19.965
2021-08-19,19.965
2021-08-20,19.965
2021-08-21,19.965
2021-08-22,19.965
2021-08-23,19.965
2021-08-24,19.965
2021-08-25,19.965
2021-08-26,19.965
2021-08-27,19.965
2021-08-28,19.965
2021-08-29,19.965
2021-08-30,19.965
2021-08-31,19.965
2021-09-01,19.965
2021-09-02,19.965
2021-09-03,19.965
2021-09-04,19.965
2021-09-05,19.965
2021-09-06,19.965
2021-09-07,19.965
2021-09-08,19.965
2021-09-09,19.965
2021-09-10,19.965
2021-09-11,19.965
2021-09-12,19.965
2021-09-13,19.965
2021-09-14,19.965
2021-09-15,19.965
2021-09-16,19.965
2021-09-17,19.965
2021-09-18,19.965
2021-09-19,19.965
2021-09-20,19.965
2021-09-21,19.965
2021-09-22,19.965
2021-09-23,19.965
2021-09-24,19.965
2021-09-25,19.965
2021-09-26,19.965
2021-09-27,19.965
2021-09-28,19.965
2021-09-29,19.965
2021-09-30,19.965
2021-10-01,19.965
2021-10-02,19.965
2021-10-03,19.965
2021-10-04,20.193
2021-10-05,19.98
2021-10-06,19.98
2021-10-07,19.98
2021-10-08,19.98
2021-10-09,19.98
2021-10-10,19.98
2021-10-11,19.98
2021-10-12,19.98
2021-10-13,19.98
2021-10-14,19.98
2021-10-15,19.98
2021-10-16,19.98
2021-10-17,19.98
2021-10-18,20.743
2021-10-19,20.743
2021-10-20,20.743
2021-10-21,20.743
2021-10-22,20.743
2021-10-23,20.743
2021-10-24,20.243
2021-10-25,20.37
2021-10-26,20.37
2021-10-27,20.37
2021-10-28,20.37
2021-10-29,20.37
2021-10-30,20.37
2021-10-31,20.37
2021-11-01,20.37
2021-11-02,20.37
2021-11-03,20.37
2021-11-04,20.37
2021-11-05,20.37
2021-11-06,20.37
2021-11-07,20.37
2021-11-08,20.37
2021-11-09,20.37
2021-11-10,20.37
2021-11-11,20.37
2021-11-12,20.37
2021-11-13,20.37
2021-11-14,20.37
2021-11-15,20.37
2021-11-16,20.37
2021-11-17,20.387
2021-11-18,20.387
2021-11-19,20.387
2021-11-20,20.387
2021-11-21,20.387
2021-11-22,20.387
2021-11-23,20.387
2021-11-24,20.387
2021-11-25,20.387
2021-11-26,20.387
2021-11-27,20.387
2021-11-28,20.387
2021-11-29,19.395
2021-11-30,19.395
2021-12-01,19.395
2021-12-02,19.395
2021-12-03,19.395
2021-12-04,19.395
2021-12-05,19.395
2021-12-06,19.395
2021-12-07,19.395
2021-12-08,19.395
2021-12-09,19.395
2021-12-10,19.395
2021-12-11,19.395
