,SUPN US Equity
2022-02-18,2.29
2022-02-19,2.29
2022-02-20,2.29
2022-02-21,2.29
2022-02-22,2.29
2022-02-23,2.29
2022-02-24,2.29
2022-02-25,2.29
2022-02-26,2.29
2022-02-27,2.29
2022-02-28,1.693
2022-03-01,1.693
2022-03-02,1.693
2022-03-03,1.693
2022-03-04,1.693
2022-03-05,1.693
2022-03-06,1.693
2022-03-07,1.693
2022-03-08,1.693
2022-03-09,1.693
2022-03-10,1.693
2022-03-11,1.693
2022-03-12,1.693
2022-03-13,1.693
2022-03-14,1.693
2022-03-15,1.693
2022-03-16,1.693
2022-03-17,1.693
2022-03-18,1.693
2022-03-19,1.693
2022-03-20,1.693
2022-03-21,1.693
2022-03-22,1.693
2022-03-23,1.693
2022-03-24,1.693
2022-03-25,1.693
2022-03-26,1.693
2022-03-27,1.693
2022-03-28,1.693
2022-03-29,1.693
2022-03-30,1.693
2022-03-31,1.693
2022-04-01,1.693
2022-04-02,1.693
2022-04-03,1.693
2022-04-04,1.693
2022-04-05,1.693
2022-04-06,1.693
2022-04-07,1.693
2022-04-08,1.693
2022-04-09,1.693
2022-04-10,1.693
2022-04-11,1.693
2022-04-12,1.693
2022-04-13,1.693
2022-04-14,1.693
2022-04-15,1.693
2022-04-16,1.693
2022-04-17,1.693
2022-04-18,1.693
2022-04-19,1.693
2022-04-20,1.693
2022-04-21,1.693
2022-04-22,1.693
2022-04-23,1.693
2022-04-24,1.693
2022-04-25,1.693
2022-04-26,1.693
2022-04-27,1.693
2022-04-28,1.64
2022-04-29,1.64
2022-04-30,1.64
2022-05-01,1.64
2022-05-02,1.64
2022-05-03,1.64
2022-05-04,1.64
2022-05-05,1.64
2022-05-06,1.64
2022-05-07,1.64
2022-05-08,1.64
2022-05-09,1.867
2022-05-10,1.867
2022-05-11,1.867
2022-05-12,1.867
2022-05-13,1.867
2022-05-14,1.867
2022-05-15,1.867
2022-05-16,1.867
2022-05-17,1.867
2022-05-18,1.867
2022-05-19,1.867
2022-05-20,1.867
2022-05-21,1.867
2022-05-22,1.867
2022-05-23,1.867
2022-05-24,1.867
2022-05-25,1.867
2022-05-26,1.867
2022-05-27,1.867
2022-05-28,1.867
2022-05-29,1.867
2022-05-30,1.867
2022-05-31,1.867
2022-06-01,1.867
2022-06-02,1.867
2022-06-03,1.867
2022-06-04,1.867
2022-06-05,1.867
2022-06-06,1.867
2022-06-07,1.867
2022-06-08,1.867
2022-06-09,1.867
2022-06-10,1.867
2022-06-11,1.867
2022-06-12,1.867
2022-06-13,1.867
2022-06-14,1.867
2022-06-15,1.867
2022-06-16,1.867
2022-06-17,1.867
2022-06-18,1.867
2022-06-19,1.867
2022-06-20,1.867
2022-06-21,1.867
2022-06-22,1.867
2022-06-23,1.867
2022-06-24,1.867
2022-06-25,1.867
2022-06-26,1.867
2022-06-27,1.867
2022-06-28,1.867
2022-06-29,1.867
2022-06-30,1.867
2022-07-01,1.867
2022-07-02,1.867
2022-07-03,1.867
2022-07-04,1.867
2022-07-05,1.867
2022-07-06,1.867
2022-07-07,1.867
2022-07-08,1.867
2022-07-09,1.867
2022-07-10,1.867
2022-07-11,1.867
2022-07-12,1.867
2022-07-13,1.867
2022-07-14,1.867
2022-07-15,1.867
2022-07-16,1.867
2022-07-17,1.867
2022-07-18,1.867
2022-07-19,1.867
2022-07-20,1.867
2022-07-21,1.867
2022-07-22,1.867
2022-07-23,1.867
2022-07-24,1.867
2022-07-25,1.867
2022-07-26,1.867
2022-07-27,1.867
2022-07-28,1.867
2022-07-29,1.867
2022-07-30,1.867
2022-07-31,1.867
2022-08-01,1.867
2022-08-02,1.867
2022-08-03,1.867
2022-08-04,1.937
2022-08-05,1.937
2022-08-06,1.937
2022-08-07,1.937
2022-08-08,1.937
2022-08-09,1.937
2022-08-10,1.937
2022-08-11,1.937
2022-08-12,1.937
2022-08-13,1.937
2022-08-14,1.937
2022-08-15,1.937
2022-08-16,1.937
2022-08-17,1.937
2022-08-18,1.937
2022-08-19,1.937
2022-08-20,1.937
2022-08-21,1.937
2022-08-22,1.937
2022-08-23,1.937
2022-08-24,1.937
2022-08-25,1.937
2022-08-26,1.937
2022-08-27,1.937
2022-08-28,1.937
2022-08-29,1.937
2022-08-30,2.053
2022-08-31,2.053
2022-09-01,2.053
2022-09-02,2.053
2022-09-03,2.053
2022-09-04,2.053
2022-09-05,2.053
2022-09-06,2.053
2022-09-07,2.053
2022-09-08,2.053
2022-09-09,2.053
2022-09-10,2.053
2022-09-11,2.053
2022-09-12,2.053
2022-09-13,2.053
2022-09-14,2.053
2022-09-15,2.053
2022-09-16,2.053
2022-09-17,2.053
2022-09-18,2.053
2022-09-19,2.053
2022-09-20,2.053
2022-09-21,2.053
2022-09-22,2.053
2022-09-23,2.053
2022-09-24,2.053
2022-09-25,2.053
2022-09-26,2.053
2022-09-27,2.053
2022-09-28,2.053
2022-09-29,2.053
2022-09-30,2.053
2022-10-01,2.053
2022-10-02,2.053
2022-10-03,2.053
2022-10-04,2.053
2022-10-05,2.053
2022-10-06,2.053
2022-10-07,2.053
2022-10-08,2.053
2022-10-09,2.053
2022-10-10,1.95
2022-10-11,1.95
2022-10-12,1.95
2022-10-13,1.95
2022-10-14,1.95
2022-10-15,1.95
2022-10-16,1.95
2022-10-17,1.95
2022-10-18,1.95
2022-10-19,1.95
2022-10-20,1.95
2022-10-21,1.95
2022-10-22,1.95
2022-10-23,1.95
2022-10-24,1.95
2022-10-25,1.95
2022-10-26,1.95
2022-10-27,1.95
2022-10-28,1.95
2022-10-29,1.95
2022-10-30,1.95
2022-10-31,1.95
2022-11-01,1.95
2022-11-02,1.95
2022-11-03,1.95
2022-11-04,1.95
2022-11-05,1.95
2022-11-06,1.95
2022-11-07,1.95
2022-11-08,1.613
2022-11-09,1.613
2022-11-10,1.613
2022-11-11,1.613
2022-11-12,1.613
2022-11-13,1.613
2022-11-14,1.613
2022-11-15,1.613
2022-11-16,1.613
2022-11-17,1.613
2022-11-18,1.613
2022-11-19,1.613
2022-11-20,1.613
2022-11-21,1.613
2022-11-22,1.613
2022-11-23,1.613
2022-11-24,1.613
2022-11-25,1.613
2022-11-26,1.613
2022-11-27,1.613
2022-11-28,1.613
2022-11-29,1.613
2022-11-30,1.613
2022-12-01,1.613
2022-12-02,1.613
2022-12-03,1.613
2022-12-04,1.613
2022-12-05,1.613
2022-12-06,1.613
2022-12-07,1.613
2022-12-08,1.613
2022-12-09,1.613
2022-12-10,1.613
2022-12-11,1.613
2022-12-12,1.613
2022-12-13,1.613
2022-12-14,1.613
2022-12-15,1.613
2022-12-16,1.613
2022-12-17,1.613
2022-12-18,1.613
2022-12-19,1.613
2022-12-20,1.763
2022-12-21,1.763
2022-12-22,1.763
2022-12-23,1.763
2022-12-24,1.763
2022-12-25,1.763
2022-12-26,1.763
2022-12-27,1.763
2022-12-28,1.763
2022-12-29,1.763
2022-12-30,1.763
2022-12-31,1.607
2023-01-01,1.607
2023-01-02,1.607
2023-01-03,1.607
2023-01-04,1.607
2023-01-05,1.607
2023-01-06,1.607
2023-01-07,1.607
2023-01-08,1.607
2023-01-09,1.607
2023-01-10,1.607
2023-01-11,1.607
2023-01-12,1.607
2023-01-13,1.607
2023-01-14,1.607
2023-01-15,1.607
2023-01-16,1.607
2023-01-17,1.607
2023-01-18,1.607
2023-01-19,1.607
2023-01-20,1.607
2023-01-21,1.607
2023-01-22,1.627
2023-01-23,1.233
2023-01-24,1.233
2023-01-25,1.233
2023-01-26,1.233
2023-01-27,1.233
2023-01-28,1.233
2023-01-29,1.233
2023-01-30,1.233
2023-01-31,1.233
2023-02-01,1.233
2023-02-02,1.627
2023-02-03,1.627
2023-02-04,1.627
2023-02-05,1.627
2023-02-06,1.627
2023-02-07,1.627
2023-02-08,1.627
2023-02-09,1.627
2023-02-10,1.627
2023-02-11,1.627
2023-02-12,1.627
2023-02-13,1.627
2023-02-14,1.627
2023-02-15,1.627
2023-02-16,1.627
2023-02-17,1.627
2023-02-18,1.627
2023-02-19,1.627
2023-02-20,1.627
2023-02-21,1.627
2023-02-22,1.627
2023-02-23,1.627
2023-02-24,1.627
2023-02-25,1.627
2023-02-26,1.627
2023-02-27,1.627
2023-02-28,1.393
2023-03-01,1.393
2023-03-02,1.393
2023-03-03,1.393
2023-03-04,1.393
2023-03-05,1.393
2023-03-06,1.393
2023-03-07,1.393
2023-03-08,1.393
2023-03-09,1.393
2023-03-10,1.393
2023-03-11,1.393
2023-03-12,1.393
2023-03-13,1.393
2023-03-14,1.393
2023-03-15,1.393
2023-03-16,1.265
2023-03-17,1.265
2023-03-18,1.265
2023-03-19,1.265
2023-03-20,1.393
2023-03-21,1.393
2023-03-22,1.393
2023-03-23,1.393
2023-03-24,1.393
2023-03-25,1.393
2023-03-26,1.393
2023-03-27,1.393
2023-03-28,1.393
2023-03-29,1.393
2023-03-30,1.393
2023-03-31,1.393
2023-04-01,1.393
2023-04-02,1.393
2023-04-03,1.393
2023-04-04,1.393
2023-04-05,1.393
2023-04-06,1.393
2023-04-07,1.393
2023-04-08,1.393
2023-04-09,1.393
2023-04-10,1.393
2023-04-11,1.393
2023-04-12,1.393
2023-04-13,1.393
2023-04-14,1.393
2023-04-15,1.393
2023-04-16,1.393
2023-04-17,1.393
2023-04-18,1.393
2023-04-19,1.393
2023-04-20,1.393
2023-04-21,1.393
2023-04-22,1.393
2023-04-23,1.393
2023-04-24,1.393
2023-04-25,1.41
2023-04-26,1.41
2023-04-27,1.41
2023-04-28,1.41
2023-04-29,1.41
2023-04-30,1.41
2023-05-01,1.41
2023-05-02,1.41
2023-05-03,1.41
2023-05-04,1.41
2023-05-05,1.41
2023-05-06,1.41
2023-05-07,1.41
2023-05-08,1.41
2023-05-09,1.403
2023-05-10,1.403
2023-05-11,1.403
2023-05-12,1.403
2023-05-13,1.403
2023-05-14,1.403
2023-05-15,1.403
2023-05-16,1.403
2023-05-17,1.403
2023-05-18,1.403
2023-05-19,1.403
2023-05-20,1.403
2023-05-21,1.403
2023-05-22,1.403
2023-05-23,1.403
2023-05-24,1.403
2023-05-25,1.403
2023-05-26,1.403
2023-05-27,1.403
2023-05-28,1.403
2023-05-29,1.403
2023-05-30,1.403
2023-05-31,1.403
2023-06-01,1.403
2023-06-02,1.403
2023-06-03,1.403
2023-06-04,1.403
2023-06-05,1.403
2023-06-06,1.403
2023-06-07,1.403
2023-06-08,1.403
2023-06-09,1.403
2023-06-10,1.403
2023-06-11,1.403
2023-06-12,1.403
2023-06-13,1.403
2023-06-14,1.403
2023-06-15,1.403
2023-06-16,1.403
2023-06-17,1.403
2023-06-18,1.403
2023-06-19,1.403
2023-06-20,1.403
2023-06-21,1.403
2023-06-22,1.403
2023-06-23,1.403
