,AMGN US Equity
,BEST_EPS
2020-07-05,20.408
2020-07-06,20.408
2020-07-07,20.408
2020-07-08,20.408
2020-07-09,20.408
2020-07-10,20.408
2020-07-11,20.408
2020-07-12,20.408
2020-07-13,20.379
2020-07-14,20.409
2020-07-15,20.409
2020-07-16,20.409
2020-07-17,20.341
2020-07-18,20.341
2020-07-19,20.387
2020-07-20,20.531
2020-07-21,20.531
2020-07-22,20.531
2020-07-23,20.531
2020-07-24,20.531
2020-07-25,20.531
2020-07-26,20.531
2020-07-27,20.531
2020-07-28,20.532
2020-07-29,20.421
2020-07-30,20.412
2020-07-31,20.412
2020-08-01,20.412
2020-08-02,20.407
2020-08-03,20.407
2020-08-04,20.407
2020-08-05,20.407
2020-08-06,20.407
2020-08-07,20.407
2020-08-08,20.407
2020-08-09,20.407
2020-08-10,20.407
2020-08-11,20.407
2020-08-12,20.407
2020-08-13,20.407
2020-08-14,20.407
2020-08-15,20.407
2020-08-16,20.407
2020-08-17,20.407
2020-08-18,20.407
2020-08-19,20.407
2020-08-20,20.407
2020-08-21,20.407
2020-08-22,20.407
2020-08-23,20.407
2020-08-24,20.407
2020-08-25,20.407
2020-08-26,20.407
2020-08-27,20.407
2020-08-28,20.407
2020-08-29,20.407
2020-08-30,20.407
2020-08-31,20.407
2020-09-01,20.407
2020-09-02,20.407
2020-09-03,20.407
2020-09-04,20.407
2020-09-05,20.407
2020-09-06,20.407
2020-09-07,20.407
2020-09-08,20.407
2020-09-09,20.407
2020-09-10,20.407
2020-09-11,20.407
2020-09-12,20.407
2020-09-13,20.407
2020-09-14,20.609
2020-09-15,20.609
2020-09-16,20.609
2020-09-17,20.609
2020-09-18,20.609
2020-09-19,20.609
2020-09-20,20.643
2020-09-21,20.643
2020-09-22,20.643
2020-09-23,20.643
2020-09-24,20.643
2020-09-25,20.643
2020-09-26,20.643
2020-09-27,20.643
2020-09-28,20.643
2020-09-29,20.643
2020-09-30,20.643
2020-10-01,20.66
2020-10-02,20.66
2020-10-03,20.66
2020-10-04,20.66
2020-10-05,20.66
2020-10-06,20.71
2020-10-07,20.71
2020-10-08,20.596
2020-10-09,20.499
2020-10-10,20.499
2020-10-11,20.499
2020-10-12,20.508
2020-10-13,20.508
2020-10-14,20.451
2020-10-15,20.47
2020-10-16,20.47
2020-10-17,20.47
2020-10-18,20.47
2020-10-19,20.521
2020-10-20,20.521
2020-10-21,20.521
2020-10-22,20.522
2020-10-23,20.56
2020-10-24,20.56
2020-10-25,20.56
2020-10-26,20.56
2020-10-27,20.56
2020-10-28,20.641
2020-10-29,20.557
2020-10-30,20.541
2020-10-31,20.541
2020-11-01,20.541
2020-11-02,20.491
2020-11-03,20.491
2020-11-04,20.491
2020-11-05,20.491
2020-11-06,20.491
2020-11-07,20.491
2020-11-08,20.491
2020-11-09,20.491
2020-11-10,20.496
2020-11-11,20.545
2020-11-12,20.545
2020-11-13,20.545
2020-11-14,20.545
2020-11-15,20.545
2020-11-16,20.538
2020-11-17,20.538
2020-11-18,20.538
2020-11-19,20.538
2020-11-20,20.538
2020-11-21,20.538
2020-11-22,20.538
2020-11-23,20.534
2020-11-24,20.534
2020-11-25,20.534
2020-11-26,20.534
2020-11-27,20.534
2020-11-28,20.534
2020-11-29,20.534
2020-11-30,20.534
2020-12-01,20.534
2020-12-02,20.534
2020-12-03,20.534
2020-12-04,20.534
2020-12-05,20.534
2020-12-06,20.534
2020-12-07,20.534
2020-12-08,20.576
2020-12-09,20.576
2020-12-10,20.576
2020-12-11,20.576
2020-12-12,20.576
2020-12-13,20.576
2020-12-14,20.576
2020-12-15,20.576
2020-12-16,20.576
2020-12-17,20.576
2020-12-18,20.576
2020-12-19,20.576
2020-12-20,20.576
2020-12-21,20.576
2020-12-22,20.576
2020-12-23,20.576
2020-12-24,20.576
2020-12-25,20.576
2020-12-26,20.576
2020-12-27,20.459
2020-12-28,20.459
2020-12-29,20.459
2020-12-30,20.459
2020-12-31,20.459
2021-01-01,20.459
2021-01-02,20.459
2021-01-03,20.459
2021-01-04,20.446
2021-01-05,20.446
2021-01-06,20.446
2021-01-07,20.446
2021-01-08,20.446
2021-01-09,20.446
2021-01-10,20.446
2021-01-11,20.446
2021-01-12,20.448
2021-01-13,20.448
2021-01-14,20.448
2021-01-15,20.448
2021-01-16,20.448
