,ATO US Equity
,BEST_EPS
2021-04-26,6.01
2021-04-27,6.01
2021-04-28,6.01
2021-04-29,6.01
2021-04-30,6.01
2021-05-01,6.01
2021-05-02,6.01
2021-05-03,6.01
2021-05-04,6.01
2021-05-05,6.01
2021-05-06,6.01
2021-05-07,6.095
2021-05-08,6.095
2021-05-09,6.095
2021-05-10,6.095
2021-05-11,6.095
2021-05-12,6.095
2021-05-13,6.095
2021-05-14,6.095
2021-05-15,6.095
2021-05-16,6.095
2021-05-17,6.095
2021-05-18,6.095
2021-05-19,6.095
2021-05-20,6.095
2021-05-21,6.095
2021-05-22,6.095
2021-05-23,6.095
2021-05-24,6.095
2021-05-25,6.095
2021-05-26,6.11
2021-05-27,6.11
2021-05-28,6.11
2021-05-29,6.11
2021-05-30,6.11
2021-05-31,6.11
2021-06-01,6.11
2021-06-02,6.11
2021-06-03,6.11
2021-06-04,6.11
2021-06-05,6.11
2021-06-06,6.11
2021-06-07,6.11
2021-06-08,6.11
2021-06-09,6.11
2021-06-10,6.11
2021-06-11,6.11
2021-06-12,6.11
2021-06-13,6.11
2021-06-14,6.11
2021-06-15,6.11
2021-06-16,6.11
2021-06-17,6.11
2021-06-18,6.11
2021-06-19,6.11
2021-06-20,6.11
2021-06-21,6.11
2021-06-22,6.11
2021-06-23,6.11
2021-06-24,6.11
2021-06-25,6.11
2021-06-26,6.11
2021-06-27,6.11
2021-06-28,6.11
2021-06-29,6.11
2021-06-30,6.11
2021-07-01,6.11
2021-07-02,6.11
2021-07-03,6.11
2021-07-04,6.11
2021-07-05,6.11
2021-07-06,6.11
2021-07-07,6.11
2021-07-08,6.11
2021-07-09,6.11
2021-07-10,6.11
2021-07-11,6.11
2021-07-12,6.11
2021-07-13,6.11
2021-07-14,6.11
2021-07-15,6.11
2021-07-16,6.11
2021-07-17,6.11
2021-07-18,6.11
2021-07-19,6.11
2021-07-20,6.11
2021-07-21,6.11
2021-07-22,6.11
2021-07-23,6.11
2021-07-24,6.11
2021-07-25,6.11
2021-07-26,6.11
2021-07-27,6.11
2021-07-28,6.11
2021-07-29,6.11
2021-07-30,6.11
2021-07-31,6.11
2021-08-01,6.11
2021-08-02,6.11
2021-08-03,6.11
2021-08-04,6.11
2021-08-05,6.11
2021-08-06,6.11
2021-08-07,6.11
2021-08-08,6.11
2021-08-09,6.11
2021-08-10,6.11
2021-08-11,6.11
2021-08-12,6.11
2021-08-13,6.11
2021-08-14,6.11
2021-08-15,6.11
2021-08-16,6.127
2021-08-17,6.127
2021-08-18,6.127
2021-08-19,6.127
2021-08-20,6.127
2021-08-21,6.127
2021-08-22,6.127
2021-08-23,6.127
2021-08-24,6.127
2021-08-25,6.127
2021-08-26,6.127
2021-08-27,6.127
2021-08-28,6.127
