,SIM DC Equity,SIM DC Equity,SIM DC Equity,SIM DC Equity,SIM DC Equity
2010-02-23,66.055,67.201,66.055,67.201,90740.0
2010-02-24,69.11,70.637,64.91,65.291,58530.0
2010-02-25,68.499,70.484,67.888,70.484,601910.0
2010-02-26,70.637,74.073,70.637,73.615,205310.0
2010-02-27,70.637,74.073,70.637,73.615,205310.0
2010-02-28,70.637,74.073,70.637,73.615,205310.0
2010-03-01,76.364,76.364,73.004,75.219,55590.0
2010-03-02,74.455,75.219,74.226,74.837,125050.0
2010-03-03,74.15,77.357,74.15,77.128,301560.0
2010-03-04,76.899,76.975,75.677,76.975,78540.0
2010-03-05,76.899,78.273,75.372,78.273,116680.0
2010-03-06,76.899,78.273,75.372,78.273,116680.0
2010-03-07,76.899,78.273,75.372,78.273,116680.0
2010-03-08,78.655,78.655,76.822,77.586,66690.0
2010-03-09,76.822,77.357,76.059,77.281,69320.0
2010-03-10,76.746,78.884,76.517,78.655,52880.0
2010-03-11,78.35,79.495,77.357,79.419,41290.0
2010-03-12,78.961,80.182,78.655,79.801,76950.0
2010-03-13,78.961,80.182,78.655,79.801,76950.0
2010-03-14,78.961,80.182,78.655,79.801,76950.0
2010-03-15,79.801,81.328,79.724,80.106,73810.0
2010-03-16,79.342,79.495,76.593,79.495,79150.0
2010-03-17,79.572,79.572,77.433,77.892,48230.0
2010-03-18,77.892,78.502,77.281,78.502,30690.0
2010-03-19,79.19,79.19,77.892,79.113,40030.0
2010-03-20,79.19,79.19,77.892,79.113,40030.0
2010-03-21,79.19,79.19,77.892,79.113,40030.0
2010-03-22,78.35,78.655,77.128,78.655,31380.0
2010-03-23,79.442,79.442,76.767,78.105,134770.0
2010-03-24,78.498,79.048,77.082,78.498,60830.0
2010-03-25,78.419,79.442,77.869,79.363,116960.0
2010-03-26,78.734,79.52,78.734,79.52,20140.0
2010-03-27,78.734,79.52,78.734,79.52,20140.0
2010-03-28,78.734,79.52,78.734,79.52,20140.0
2010-03-29,75.509,79.363,75.509,78.655,18670.0
2010-03-30,78.341,78.655,78.026,78.655,20800.0
2010-03-31,78.655,80.936,78.655,80.071,80300.0
2010-04-01,78.655,80.936,78.655,80.071,80300.0
2010-04-02,78.655,80.936,78.655,80.071,80300.0
2010-04-03,78.655,80.936,78.655,80.071,80300.0
2010-04-04,78.655,80.936,78.655,80.071,80300.0
2010-04-05,78.655,80.936,78.655,80.071,80300.0
2010-04-06,78.655,81.251,78.655,80.071,30450.0
2010-04-07,80.228,81.015,78.734,81.015,27820.0
2010-04-08,80.858,81.015,79.835,81.015,39360.0
2010-04-09,80.228,81.487,80.228,81.487,97820.0
2010-04-10,80.228,81.487,80.228,81.487,97820.0
2010-04-11,80.228,81.487,80.228,81.487,97820.0
2010-04-12,81.408,81.487,81.015,81.408,30770.0
2010-04-13,81.487,83.217,80.858,83.217,336760.0
2010-04-14,82.588,83.217,82.588,82.667,35400.0
2010-04-15,84.082,84.082,80.228,82.431,121640.0
2010-04-16,83.374,83.374,82.195,82.667,180980.0
2010-04-17,83.374,83.374,82.195,82.667,180980.0
2010-04-18,83.374,83.374,82.195,82.667,180980.0
2010-04-19,82.195,82.431,81.644,82.116,23560.0
2010-04-20,82.116,84.869,82.116,84.869,136400.0
2010-04-21,85.655,85.655,82.981,83.925,140740.0
2010-04-22,84.161,84.161,83.374,84.161,36640.0
2010-04-23,84.554,86.127,83.453,85.262,56270.0
2010-04-24,84.554,86.127,83.453,85.262,56270.0
2010-04-25,84.554,86.127,83.453,85.262,56270.0
2010-04-26,86.127,86.127,84.004,84.161,48490.0
2010-04-27,84.554,86.521,83.06,86.521,175160.0
2010-04-28,84.948,86.442,83.374,83.374,197120.0
2010-04-29,82.981,85.341,82.981,84.948,118230.0
2010-04-30,82.981,85.341,82.981,84.948,118230.0
2010-05-01,82.981,85.341,82.981,84.948,118230.0
2010-05-02,82.981,85.341,82.981,84.948,118230.0
2010-05-03,84.948,85.341,81.959,84.161,34430.0
2010-05-04,84.948,84.948,81.801,81.801,53290.0
2010-05-05,80.228,82.667,78.262,80.7,109710.0
2010-05-06,80.779,81.801,78.498,80.386,78930.0
2010-05-07,79.442,79.442,75.666,76.217,170510.0
2010-05-08,79.442,79.442,75.666,76.217,170510.0
2010-05-09,79.442,79.442,75.666,76.217,170510.0
2010-05-10,78.655,81.251,78.655,81.015,106970.0
2010-05-11,80.622,81.015,78.891,79.442,55980.0
2010-05-12,81.408,81.408,79.284,80.228,80440.0
2010-05-13,81.408,81.408,79.284,80.228,80440.0
2010-05-14,81.408,81.408,79.284,80.228,80440.0
2010-05-15,81.408,81.408,79.284,80.228,80440.0
2010-05-16,81.408,81.408,79.284,80.228,80440.0
2010-05-17,77.869,79.048,77.475,78.026,56180.0
2010-05-18,78.577,80.543,77.633,78.577,101510.0
2010-05-19,78.262,78.262,76.06,76.296,42980.0
2010-05-20,76.296,76.296,71.026,72.756,193580.0
2010-05-21,72.756,77.318,72.756,76.453,62720.0
2010-05-22,72.756,77.318,72.756,76.453,62720.0
2010-05-23,72.756,77.318,72.756,76.453,62720.0
2010-05-24,72.756,77.318,72.756,76.453,62720.0
2010-05-25,73.543,75.509,72.363,72.992,197920.0
2010-05-26,73.543,75.273,72.913,74.644,166150.0
2010-05-27,75.273,77.003,74.722,76.846,74270.0
2010-05-28,77.475,77.475,75.745,76.296,61370.0
2010-05-29,77.475,77.475,75.745,76.296,61370.0
2010-05-30,77.475,77.475,75.745,76.296,61370.0
2010-05-31,77.869,77.869,75.902,77.869,89410.0
2010-06-01,75.509,76.296,75.273,75.745,60010.0
2010-06-02,75.666,76.374,75.116,76.296,62100.0
2010-06-03,76.767,78.262,76.767,77.869,49500.0
2010-06-04,78.262,78.577,77.633,78.577,52600.0
2010-06-05,78.262,78.577,77.633,78.577,52600.0
2010-06-06,78.262,78.577,77.633,78.577,52600.0
2010-06-07,77.082,78.577,76.453,78.577,123470.0
2010-06-08,77.869,78.419,77.711,77.869,58080.0
2010-06-09,78.577,81.251,78.026,79.678,249850.0
2010-06-10,78.812,80.15,77.947,80.071,55480.0
2010-06-11,80.071,80.307,78.734,79.442,29900.0
2010-06-12,80.071,80.307,78.734,79.442,29900.0
2010-06-13,80.071,80.307,78.734,79.442,29900.0
2010-06-14,79.442,81.329,79.442,81.329,29510.0
2010-06-15,81.015,81.172,80.543,80.779,62270.0
2010-06-16,81.015,81.015,79.442,79.835,72650.0
2010-06-17,79.442,79.442,78.262,78.655,72220.0
2010-06-18,78.655,79.363,78.341,78.655,113810.0
2010-06-19,78.655,79.363,78.341,78.655,113810.0
2010-06-20,78.655,79.363,78.341,78.655,113810.0
2010-06-21,79.442,80.228,78.655,79.442,142100.0
2010-06-22,79.442,80.936,79.206,80.622,106230.0
2010-06-23,80.936,80.936,79.835,79.914,78870.0
2010-06-24,80.228,80.228,78.341,78.341,72920.0
2010-06-25,78.97,78.97,78.183,78.183,66330.0
2010-06-26,78.97,78.97,78.183,78.183,66330.0
2010-06-27,78.97,78.97,78.183,78.183,66330.0
2010-06-28,78.655,78.655,76.296,77.869,124590.0
2010-06-29,77.554,77.711,75.902,76.06,30860.0
2010-06-30,75.981,77.082,75.902,76.61,38260.0
2010-07-01,75.902,76.61,75.116,75.116,31920.0
2010-07-02,75.273,78.262,75.273,76.296,52300.0
2010-07-03,75.273,78.262,75.273,76.296,52300.0
2010-07-04,75.273,78.262,75.273,76.296,52300.0
2010-07-05,75.509,75.902,75.194,75.43,5670.0
2010-07-06,75.902,76.689,75.666,76.296,24560.0
2010-07-07,77.239,77.239,75.588,76.689,15120.0
2010-07-08,77.711,77.711,75.902,76.296,31480.0
2010-07-09,76.296,76.296,74.565,74.722,79790.0
2010-07-10,76.296,76.296,74.565,74.722,79790.0
2010-07-11,76.296,76.296,74.565,74.722,79790.0
2010-07-12,76.689,76.689,75.194,76.296,35150.0
2010-07-13,76.296,76.296,75.43,75.824,71130.0
2010-07-14,76.689,77.082,76.06,76.296,34850.0
2010-07-15,76.296,76.846,76.217,76.689,35400.0
2010-07-16,76.453,76.689,75.666,76.296,13070.0
2010-07-17,76.453,76.689,75.666,76.296,13070.0
2010-07-18,76.453,76.689,75.666,76.296,13070.0
2010-07-19,75.194,76.138,74.801,76.138,32430.0
2010-07-20,76.138,76.138,74.644,74.801,28070.0
2010-07-21,74.722,74.722,73.936,74.722,66160.0
2010-07-22,74.722,75.588,73.936,74.801,8930.0
2010-07-23,75.981,76.138,73.779,75.116,14140.0
2010-07-24,75.981,76.138,73.779,75.116,14140.0
2010-07-25,75.981,76.138,73.779,75.116,14140.0
2010-07-26,75.902,75.981,74.329,75.116,64040.0
2010-07-27,75.588,75.588,73.857,73.857,60090.0
2010-07-28,73.779,75.116,73.779,74.958,35630.0
2010-07-29,74.722,75.666,74.565,74.565,49740.0
2010-07-30,75.509,75.509,74.093,74.722,26110.0
2010-07-31,75.509,75.509,74.093,74.722,26110.0
2010-08-01,75.509,75.509,74.093,74.722,26110.0
2010-08-02,75.273,76.61,75.273,76.296,27450.0
2010-08-03,76.296,77.161,75.194,75.352,30570.0
2010-08-04,76.689,76.689,74.958,75.194,19920.0
2010-08-05,75.273,75.902,74.88,74.88,21870.0
2010-08-06,75.588,75.902,74.722,74.801,23300.0
2010-08-07,75.588,75.902,74.722,74.801,23300.0
2010-08-08,75.588,75.902,74.722,74.801,23300.0
2010-08-09,74.801,76.767,74.801,76.217,21210.0
2010-08-10,75.666,76.06,75.116,75.981,26020.0
2010-08-11,75.116,75.273,73.307,73.7,29510.0
2010-08-12,76.296,76.296,74.329,75.037,27170.0
2010-08-13,73.7,74.722,72.756,72.835,51920.0
2010-08-14,73.7,74.722,72.756,72.835,51920.0
2010-08-15,73.7,74.722,72.756,72.835,51920.0
2010-08-16,72.756,72.835,71.576,71.969,122610.0
2010-08-17,71.655,71.969,70.632,71.576,49060.0
2010-08-18,71.576,71.576,69.295,70.79,104630.0
2010-08-19,70.79,70.79,69.767,70.396,42530.0
2010-08-20,70.003,70.396,68.43,68.745,22230.0
2010-08-21,70.003,70.396,68.43,68.745,22230.0
2010-08-22,70.003,70.396,68.43,68.745,22230.0
2010-08-23,68.823,69.846,68.823,69.374,90420.0
2010-08-24,70.003,70.003,67.25,67.329,85440.0
2010-08-25,68.43,69.138,66.07,67.958,49290.0
2010-08-26,66.857,70.16,66.857,68.351,180390.0
2010-08-27,68.351,68.823,64.104,64.891,325340.0
2010-08-28,68.351,68.823,64.104,64.891,325340.0
2010-08-29,68.351,68.823,64.104,64.891,325340.0
2010-08-30,64.497,64.812,61.666,62.61,386420.0
2010-08-31,61.351,62.374,60.564,62.374,163660.0
2010-09-01,62.531,63.317,61.272,63.317,132230.0
2010-09-02,63.317,63.711,62.295,62.531,115960.0
2010-09-03,62.059,66.7,62.059,64.655,538170.0
2010-09-04,62.059,66.7,62.059,64.655,538170.0
2010-09-05,62.059,66.7,62.059,64.655,538170.0
2010-09-06,65.284,66.149,64.655,65.913,168110.0
2010-09-07,66.07,66.07,64.576,65.205,31380.0
2010-09-08,64.891,65.598,64.497,65.284,34660.0
2010-09-09,65.677,66.07,64.655,65.598,39200.0
2010-09-10,65.677,66.07,64.655,65.992,236440.0
2010-09-11,65.677,66.07,64.655,65.992,236440.0
2010-09-12,65.677,66.07,64.655,65.992,236440.0
2010-09-13,65.992,66.857,65.677,66.464,21100.0
2010-09-14,65.677,65.677,65.284,65.52,19010.0
2010-09-15,65.048,65.441,64.655,64.891,169770.0
2010-09-16,65.362,66.385,64.419,64.891,123960.0
2010-09-17,65.677,65.913,65.126,65.441,63960.0
2010-09-18,65.677,65.913,65.126,65.441,63960.0
2010-09-19,65.677,65.913,65.126,65.441,63960.0
2010-09-20,65.677,66.07,64.891,64.891,14860.0
2010-09-21,64.576,65.441,64.576,64.969,16370.0
2010-09-22,66.07,66.07,64.576,65.756,53620.0
2010-09-23,66.464,66.464,65.048,65.048,30510.0
2010-09-24,65.598,66.778,64.969,66.306,60130.0
2010-09-25,65.598,66.778,64.969,66.306,60130.0
2010-09-26,65.598,66.778,64.969,66.306,60130.0
2010-09-27,67.722,68.43,64.891,65.834,93220.0
2010-09-28,65.284,66.542,64.891,65.048,98880.0
2010-09-29,65.913,70.632,65.913,68.037,546120.0
2010-09-30,67.958,69.374,67.25,68.509,153750.0
2010-10-01,69.138,69.374,67.801,68.194,49180.0
2010-10-02,69.138,69.374,67.801,68.194,49180.0
2010-10-03,69.138,69.374,67.801,68.194,49180.0
2010-10-04,70.003,70.003,65.048,65.048,196240.0
2010-10-05,64.812,65.834,64.025,65.677,154860.0
2010-10-06,65.913,67.486,65.52,66.464,203260.0
2010-10-07,66.542,66.621,65.598,65.756,62050.0
2010-10-08,65.598,66.778,64.891,66.385,66010.0
2010-10-09,65.598,66.778,64.891,66.385,66010.0
2010-10-10,65.598,66.778,64.891,66.385,66010.0
2010-10-11,66.542,67.25,65.834,65.834,16670.0
2010-10-12,66.464,67.643,66.385,67.643,30840.0
2010-10-13,67.643,68.981,67.565,68.745,154900.0
2010-10-14,69.138,69.138,66.778,68.43,256080.0
2010-10-15,67.801,68.509,67.801,68.43,95440.0
2010-10-16,67.801,68.509,67.801,68.43,95440.0
2010-10-17,67.801,68.509,67.801,68.43,95440.0
2010-10-18,67.643,68.745,67.643,68.43,37980.0
2010-10-19,67.643,68.43,67.25,68.037,52490.0
2010-10-20,67.643,69.61,67.643,69.531,53800.0
2010-10-21,69.531,71.104,69.531,70.396,284860.0
2010-10-22,70.947,71.104,70.475,70.868,51080.0
2010-10-23,70.947,71.104,70.475,70.868,51080.0
2010-10-24,70.947,71.104,70.475,70.868,51080.0
2010-10-25,70.868,74.329,70.868,73.779,165510.0
2010-10-26,71.576,74.329,71.576,73.936,96300.0
2010-10-27,73.149,73.936,71.576,72.205,69200.0
2010-10-28,70.396,73.149,70.396,72.756,118910.0
2010-10-29,74.408,74.408,72.52,73.149,183780.0
2010-10-30,74.408,74.408,72.52,73.149,183780.0
2010-10-31,74.408,74.408,72.52,73.149,183780.0
2010-11-01,73.307,73.936,72.992,73.936,42350.0
2010-11-02,73.228,73.779,73.149,73.543,35050.0
2010-11-03,73.543,73.543,72.52,73.228,136570.0
2010-11-04,70.79,73.857,70.79,73.857,72010.0
2010-11-05,73.149,73.307,71.498,73.149,53740.0
2010-11-06,73.149,73.307,71.498,73.149,53740.0
2010-11-07,73.149,73.307,71.498,73.149,53740.0
2010-11-08,72.363,73.543,72.363,73.543,9250.0
2010-11-09,73.149,74.329,72.756,73.936,148990.0
2010-11-10,74.486,74.958,73.543,74.801,153120.0
2010-11-11,73.307,74.644,73.307,73.936,79490.0
2010-11-12,73.543,73.936,73.149,73.936,35670.0
2010-11-13,73.543,73.936,73.149,73.936,35670.0
2010-11-14,73.543,73.936,73.149,73.936,35670.0
2010-11-15,72.992,73.464,72.048,72.441,80080.0
2010-11-16,73.7,73.779,70.79,70.868,91210.0
2010-11-17,70.003,70.003,65.598,67.25,369650.0
2010-11-18,67.172,68.509,66.7,67.643,308620.0
2010-11-19,66.857,68.273,66.542,68.273,86770.0
2010-11-20,66.857,68.273,66.542,68.273,86770.0
2010-11-21,66.857,68.273,66.542,68.273,86770.0
2010-11-22,68.273,68.273,66.542,67.643,46150.0
2010-11-23,68.037,68.273,66.936,68.115,37120.0
2010-11-24,68.43,69.374,67.879,68.823,44920.0
2010-11-25,68.823,70.632,68.823,70.16,41940.0
2010-11-26,69.531,70.239,68.902,69.531,99540.0
2010-11-27,69.531,70.239,68.902,69.531,99540.0
2010-11-28,69.531,70.239,68.902,69.531,99540.0
2010-11-29,69.295,69.374,66.542,67.25,357910.0
2010-11-30,68.037,68.43,67.25,67.722,72980.0
2010-12-01,67.407,70.554,67.407,69.217,99870.0
2010-12-02,69.453,70.003,69.217,69.846,50300.0
2010-12-03,70.003,70.79,69.688,70.16,58580.0
2010-12-04,70.003,70.79,69.688,70.16,58580.0
2010-12-05,70.003,70.79,69.688,70.16,58580.0
2010-12-06,70.003,70.711,70.003,70.239,87420.0
2010-12-07,70.79,70.79,70.082,70.79,98790.0
2010-12-08,70.79,70.79,70.003,70.632,61070.0
2010-12-09,69.846,70.318,69.138,70.318,49550.0
2010-12-10,68.037,69.295,67.25,69.217,68630.0
2010-12-11,68.037,69.295,67.25,69.217,68630.0
2010-12-12,68.037,69.295,67.25,69.217,68630.0
2010-12-13,68.351,69.217,68.115,68.43,55320.0
2010-12-14,69.217,70.16,67.643,68.902,66700.0
2010-12-15,70.79,70.79,68.037,69.217,91070.0
2010-12-16,69.374,69.846,67.643,68.115,56940.0
2010-12-17,67.643,68.509,66.857,67.643,88190.0
2010-12-18,67.643,68.509,66.857,67.643,88190.0
2010-12-19,67.643,68.509,66.857,67.643,88190.0
2010-12-20,67.801,69.61,67.014,69.217,54300.0
2010-12-21,69.217,69.924,67.643,67.879,27850.0
2010-12-22,67.722,68.823,67.486,67.643,34460.0
2010-12-23,68.43,69.846,68.037,69.138,36750.0
2010-12-24,68.43,69.846,68.037,69.138,36750.0
2010-12-25,68.43,69.846,68.037,69.138,36750.0
2010-12-26,68.43,69.846,68.037,69.138,36750.0
2010-12-27,69.924,69.924,68.981,69.138,17510.0
2010-12-28,67.879,69.846,67.879,69.688,45100.0
2010-12-29,69.846,70.396,69.295,70.239,74190.0
2010-12-30,70.632,70.711,70.16,70.396,12150.0
2010-12-31,70.632,70.711,70.16,70.396,12150.0
2011-01-01,70.632,70.711,70.16,70.396,12150.0
2011-01-02,70.632,70.711,70.16,70.396,12150.0
2011-01-03,67.643,68.194,66.149,66.228,247660.0
2011-01-04,66.306,66.621,64.183,64.891,803330.0
2011-01-05,65.126,65.126,63.711,64.261,447200.0
2011-01-06,64.025,66.07,63.711,65.913,137510.0
2011-01-07,66.07,66.778,64.812,64.812,214880.0
2011-01-08,66.07,66.778,64.812,64.812,214880.0
2011-01-09,66.07,66.778,64.812,64.812,214880.0
2011-01-10,64.104,65.048,63.868,64.104,130060.0
2011-01-11,65.52,65.52,63.947,63.947,129590.0
2011-01-12,63.947,64.812,63.947,64.497,62140.0
2011-01-13,64.891,65.913,64.497,65.126,85580.0
2011-01-14,65.677,65.677,64.183,64.891,179210.0
2011-01-15,65.677,65.677,64.183,64.891,179210.0
2011-01-16,65.677,65.677,64.183,64.891,179210.0
2011-01-17,64.891,65.677,64.733,65.284,36050.0
2011-01-18,65.598,66.778,65.52,66.306,138210.0
2011-01-19,66.306,67.565,66.306,67.329,64910.0
2011-01-20,67.329,67.486,66.07,66.542,23910.0
2011-01-21,66.778,66.778,66.07,66.228,33230.0
2011-01-22,66.778,66.778,66.07,66.228,33230.0
2011-01-23,66.778,66.778,66.07,66.228,33230.0
2011-01-24,66.857,66.857,64.812,64.891,45190.0
2011-01-25,64.576,65.598,64.576,65.284,49940.0
2011-01-26,66.464,66.464,65.52,65.913,68050.0
2011-01-27,66.385,67.801,65.913,67.565,118170.0
2011-01-28,67.25,68.273,65.756,66.228,68490.0
2011-01-29,67.25,68.273,65.756,66.228,68490.0
2011-01-30,67.25,68.273,65.756,66.228,68490.0
2011-01-31,66.464,66.464,64.891,65.284,55050.0
2011-02-01,65.598,66.385,65.205,66.228,149670.0
2011-02-02,66.385,68.037,65.52,68.037,138400.0
2011-02-03,66.07,68.823,66.07,68.43,83370.0
2011-02-04,68.43,68.981,68.037,68.115,120780.0
2011-02-05,68.43,68.981,68.037,68.115,120780.0
2011-02-06,68.43,68.981,68.037,68.115,120780.0
2011-02-07,68.115,69.767,68.115,69.453,22810.0
2011-02-08,68.902,70.396,68.823,70.396,39570.0
2011-02-09,67.643,70.239,67.643,68.43,26140.0
2011-02-10,68.43,69.61,67.407,68.43,145330.0
2011-02-11,68.43,68.587,67.329,68.43,361230.0
2011-02-12,68.43,68.587,67.329,68.43,361230.0
2011-02-13,68.43,68.587,67.329,68.43,361230.0
2011-02-14,68.43,68.587,67.879,67.879,16640.0
2011-02-15,68.43,68.43,67.643,67.643,19100.0
2011-02-16,67.879,68.43,67.722,68.115,18710.0
2011-02-17,67.643,69.217,67.643,69.217,150270.0
2011-02-18,68.823,69.059,68.273,68.509,42440.0
2011-02-19,68.823,69.059,68.273,68.509,42440.0
2011-02-20,68.823,69.059,68.273,68.509,42440.0
2011-02-21,67.801,68.43,67.801,68.037,33390.0
2011-02-22,68.509,68.509,67.801,67.879,16730.0
2011-02-23,68.037,68.509,67.093,68.037,28900.0
2011-02-24,68.037,68.037,66.464,67.407,114530.0
2011-02-25,67.643,68.194,67.25,68.115,75000.0
2011-02-26,67.643,68.194,67.25,68.115,75000.0
2011-02-27,67.643,68.194,67.25,68.115,75000.0
2011-02-28,68.43,69.374,68.037,69.138,26790.0
2011-03-01,69.846,72.441,69.846,70.79,157160.0
2011-03-02,71.104,71.104,68.115,70.318,55710.0
2011-03-03,71.026,71.498,69.295,70.79,39130.0
2011-03-04,70.711,72.205,70.396,71.183,85020.0
2011-03-05,70.711,72.205,70.396,71.183,85020.0
2011-03-06,70.711,72.205,70.396,71.183,85020.0
2011-03-07,67.722,71.104,67.722,70.318,62250.0
2011-03-08,70.554,70.554,69.059,70.16,432310.0
2011-03-09,70.711,70.711,68.509,69.846,87750.0
2011-03-10,70.318,70.318,69.138,69.138,26210.0
2011-03-11,69.374,69.374,67.643,68.115,40710.0
2011-03-12,69.374,69.374,67.643,68.115,40710.0
2011-03-13,69.374,69.374,67.643,68.115,40710.0
2011-03-14,67.643,68.981,67.643,67.958,25150.0
2011-03-15,67.643,67.958,66.07,66.07,230290.0
2011-03-16,66.7,66.936,65.834,65.913,69460.0
2011-03-17,65.598,66.621,65.048,65.205,96640.0
2011-03-18,66.857,67.958,65.126,65.284,43740.0
2011-03-19,66.857,67.958,65.126,65.284,43740.0
2011-03-20,66.857,67.958,65.126,65.284,43740.0
2011-03-21,65.284,66.228,65.284,65.52,24180.0
2011-03-22,66.228,66.228,65.52,65.598,85500.0
2011-03-23,66.149,68.273,64.891,64.891,35240.0
2011-03-24,66.621,67.014,65.284,66.464,24310.0
2011-03-25,66.464,68.43,66.464,67.643,41570.0
2011-03-26,66.464,68.43,66.464,67.643,41570.0
2011-03-27,66.464,68.43,66.464,67.643,41570.0
2011-03-28,68.037,69.374,66.778,68.351,58480.0
2011-03-29,70.062,70.062,68.596,68.84,157860.0
2011-03-30,69.655,69.655,68.27,68.596,318130.0
2011-03-31,68.433,70.469,67.292,68.677,57680.0
2011-04-01,70.632,70.632,68.514,69.247,65220.0
2011-04-02,70.632,70.632,68.514,69.247,65220.0
2011-04-03,70.632,70.632,68.514,69.247,65220.0
2011-04-04,69.166,69.166,68.514,68.677,11910.0
2011-04-05,68.433,69.085,67.211,68.27,46270.0
2011-04-06,68.596,69.085,68.107,68.514,44560.0
2011-04-07,69.247,69.247,67.618,68.433,38340.0
2011-04-08,68.677,69.329,68.351,69.247,40720.0
2011-04-09,68.677,69.329,68.351,69.247,40720.0
2011-04-10,68.677,69.329,68.351,69.247,40720.0
2011-04-11,68.107,69.736,68.107,69.085,60130.0
2011-04-12,68.107,69.329,67.7,68.433,45550.0
2011-04-13,68.433,69.329,68.433,69.085,55090.0
2011-04-14,68.433,70.632,68.433,70.632,63210.0
2011-04-15,69.655,72.669,69.655,72.425,274160.0
2011-04-16,69.655,72.669,69.655,72.425,274160.0
2011-04-17,69.655,72.669,69.655,72.425,274160.0
2011-04-18,70.877,73.81,70.877,73.321,105070.0
2011-04-19,72.506,73.891,72.506,73.484,65310.0
2011-04-20,73.728,75.683,73.728,75.683,68190.0
2011-04-21,73.728,75.683,73.728,75.683,68190.0
2011-04-22,73.728,75.683,73.728,75.683,68190.0
2011-04-23,73.728,75.683,73.728,75.683,68190.0
2011-04-24,73.728,75.683,73.728,75.683,68190.0
2011-04-25,73.728,75.683,73.728,75.683,68190.0
2011-04-26,75.765,77.231,75.276,76.987,68290.0
2011-04-27,76.172,77.15,76.172,76.58,94440.0
2011-04-28,76.905,76.905,73.565,74.543,66420.0
2011-04-29,74.624,75.602,73.81,74.543,40990.0
2011-04-30,74.624,75.602,73.81,74.543,40990.0
2011-05-01,74.624,75.602,73.81,74.543,40990.0
2011-05-02,74.136,74.543,73.728,74.38,34450.0
2011-05-03,75.683,75.683,74.054,74.543,38670.0
2011-05-04,73.728,74.543,73.728,74.054,13670.0
2011-05-05,74.543,74.543,73.891,73.891,176170.0
2011-05-06,74.624,74.624,73.728,73.728,88410.0
2011-05-07,74.624,74.624,73.728,73.728,88410.0
2011-05-08,74.624,74.624,73.728,73.728,88410.0
2011-05-09,73.728,75.52,73.728,75.52,28570.0
2011-05-10,75.683,75.683,74.543,75.113,18440.0
