,ROG SW Equity,ROG SW Equity,ROG SW Equity,ROG SW Equity,ROG SW Equity
2010-04-06,110.36,110.55,107.85,107.85,2590634.0
2010-04-07,107.92,109.01,107.21,108.24,2641737.0
2010-04-08,108.18,110.29,107.47,110.04,2737897.0
2010-04-09,110.29,111.9,110.04,111.7,2123221.0
2010-04-10,110.29,111.9,110.04,111.7,2123221.0
2010-04-11,110.29,111.9,110.04,111.7,2123221.0
2010-04-12,112.28,112.35,111.13,111.32,1206344.0
2010-04-13,111.45,111.51,110.74,110.93,1291106.0
2010-04-14,111.45,111.51,110.61,110.81,1514916.0
2010-04-15,113.12,114.08,112.67,113.89,2874331.0
2010-04-16,113.69,114.01,112.28,112.35,3424091.0
2010-04-17,113.69,114.01,112.28,112.35,3424091.0
2010-04-18,113.69,114.01,112.28,112.35,3424091.0
2010-04-19,112.35,113.12,111.7,112.67,1431984.0
2010-04-20,113.12,113.76,112.54,112.79,2347811.0
2010-04-21,113.05,113.18,111.9,112.28,1622188.0
2010-04-22,112.28,112.99,110.04,110.61,2150651.0
2010-04-23,111.45,111.45,110.42,110.61,1404514.0
2010-04-24,111.45,111.45,110.42,110.61,1404514.0
2010-04-25,111.45,111.45,110.42,110.61,1404514.0
2010-04-26,111.38,111.96,110.1,110.23,1574329.0
2010-04-27,110.48,110.68,108.88,108.88,1371369.0
2010-04-28,107.79,109.46,107.6,108.11,1942346.0
2010-04-29,109.78,110.61,108.24,109.52,1861459.0
2010-04-30,109.27,109.78,108.43,109.14,1794645.0
2010-05-01,109.27,109.78,108.43,109.14,1794645.0
2010-05-02,109.27,109.78,108.43,109.14,1794645.0
2010-05-03,108.5,108.82,106.57,107.21,2093891.0
2010-05-04,107.73,108.24,106.06,106.44,2396171.0
2010-05-05,106.38,107.21,105.93,106.31,2438166.0
2010-05-06,105.87,107.34,105.8,106.51,2075122.0
2010-05-07,104.65,106.06,102.34,104.0,3756647.0
2010-05-08,104.65,106.06,102.34,104.0,3756647.0
2010-05-09,104.65,106.06,102.34,104.0,3756647.0
2010-05-10,105.87,106.19,104.45,105.87,2810493.0
2010-05-11,105.67,107.53,105.48,106.25,1892298.0
2010-05-12,106.51,106.96,105.67,105.93,1905155.0
2010-05-13,106.51,106.96,105.67,105.93,1905155.0
2010-05-14,106.51,106.96,104.71,104.84,1998027.0
2010-05-15,106.51,106.96,104.71,104.84,1998027.0
2010-05-16,106.51,106.96,104.71,104.84,1998027.0
2010-05-17,104.26,105.87,104.2,105.16,1550902.0
2010-05-18,105.99,106.06,104.26,105.16,1928285.0
2010-05-19,104.65,105.42,104.0,104.52,1956233.0
2010-05-20,105.35,105.48,102.21,102.72,2643320.0
2010-05-21,102.34,102.34,99.64,100.48,5014757.0
2010-05-22,102.34,102.34,99.64,100.48,5014757.0
2010-05-23,102.34,102.34,99.64,100.48,5014757.0
2010-05-24,102.34,102.34,99.64,100.48,5014757.0
2010-05-25,97.72,98.87,96.88,98.29,3726084.0
2010-05-26,99.26,100.54,98.55,99.58,2636549.0
2010-05-27,100.41,101.63,99.64,101.25,1845899.0
2010-05-28,101.82,102.85,101.44,102.21,1748110.0
2010-05-29,101.82,102.85,101.44,102.21,1748110.0
2010-05-30,101.82,102.85,101.44,102.21,1748110.0
2010-05-31,102.59,102.59,101.82,101.82,920224.0
2010-06-01,102.53,103.68,101.37,102.85,1849565.0
2010-06-02,102.46,104.97,101.89,104.52,1714345.0
2010-06-03,105.42,106.51,105.29,105.67,1634094.0
2010-06-04,106.44,106.96,103.88,103.88,1666784.0
2010-06-05,106.44,106.96,103.88,103.88,1666784.0
2010-06-06,106.44,106.96,103.88,103.88,1666784.0
2010-06-07,102.66,103.56,102.21,102.66,1559758.0
2010-06-08,102.91,103.17,100.8,101.12,2194731.0
2010-06-09,101.82,101.82,100.22,101.57,1903573.0
2010-06-10,101.37,101.89,100.41,101.12,1978614.0
2010-06-11,101.25,101.57,99.32,99.64,3047982.0
2010-06-12,101.25,101.57,99.32,99.64,3047982.0
2010-06-13,101.25,101.57,99.32,99.64,3047982.0
2010-06-14,100.09,100.41,99.19,100.03,2732573.0
2010-06-15,99.45,101.05,99.19,100.54,1909673.0
2010-06-16,101.05,102.08,100.41,101.76,1982168.0
2010-06-17,102.02,102.4,101.37,101.95,1290646.0
2010-06-18,100.35,100.35,98.81,99.45,6521482.0
2010-06-19,100.35,100.35,98.81,99.45,6521482.0
2010-06-20,100.35,100.35,98.81,99.45,6521482.0
2010-06-21,100.09,100.28,98.94,99.64,1372064.0
2010-06-22,99.45,100.09,99.32,99.83,1354744.0
2010-06-23,99.51,100.54,99.26,99.51,1830459.0
2010-06-24,99.77,100.35,99.06,99.51,1485565.0
2010-06-25,99.45,100.22,98.62,99.06,1111351.0
2010-06-26,99.45,100.22,98.62,99.06,1111351.0
2010-06-27,99.45,100.22,98.62,99.06,1111351.0
2010-06-28,99.06,99.51,98.23,98.94,1199608.0
2010-06-29,98.29,98.74,95.66,96.11,2315650.0
2010-06-30,95.98,96.56,95.09,95.66,2128690.0
2010-07-01,94.44,95.15,93.35,93.87,2463307.0
2010-07-02,94.96,94.96,93.87,94.25,1658970.0
2010-07-03,94.96,94.96,93.87,94.25,1658970.0
2010-07-04,94.96,94.96,93.87,94.25,1658970.0
2010-07-05,94.25,95.28,92.58,93.1,1892941.0
2010-07-06,92.9,94.44,92.2,94.19,1580426.0
2010-07-07,93.74,94.83,93.23,94.83,1476826.0
2010-07-08,95.28,96.05,94.7,95.54,1822839.0
2010-07-09,95.92,96.69,94.64,96.43,2213987.0
2010-07-10,95.92,96.69,94.64,96.43,2213987.0
2010-07-11,95.92,96.69,94.64,96.43,2213987.0
2010-07-12,96.82,96.88,95.79,96.43,999540.0
2010-07-13,96.43,97.01,95.54,95.98,1505206.0
2010-07-14,96.24,96.43,95.41,96.37,1581802.0
2010-07-15,96.37,97.78,96.05,96.75,1963855.0
2010-07-16,96.43,96.69,91.75,92.71,7134448.0
2010-07-17,96.43,96.69,91.75,92.71,7134448.0
2010-07-18,96.43,96.69,91.75,92.71,7134448.0
2010-07-19,91.88,93.42,91.88,92.39,2703439.0
2010-07-20,92.39,92.71,91.17,91.75,2612224.0
2010-07-21,88.86,89.18,86.94,87.9,8515573.0
2010-07-22,87.9,89.18,87.58,88.8,5031953.0
2010-07-23,88.86,88.86,86.68,87.52,3908390.0
2010-07-24,88.86,88.86,86.68,87.52,3908390.0
2010-07-25,88.86,88.86,86.68,87.52,3908390.0
2010-07-26,87.9,87.9,85.98,86.55,2925201.0
2010-07-27,86.75,87.71,86.3,87.39,3425489.0
2010-07-28,87.58,88.86,87.26,88.29,2939749.0
2010-07-29,88.67,88.73,87.32,87.45,2122869.0
2010-07-30,87.26,87.45,86.3,86.94,2343622.0
2010-07-31,87.26,87.45,86.3,86.94,2343622.0
2010-08-01,87.26,87.45,86.3,86.94,2343622.0
2010-08-02,87.26,88.03,86.75,87.9,1810712.0
2010-08-03,87.96,89.25,87.45,89.12,2481611.0
2010-08-04,89.06,89.7,88.29,89.63,1884245.0
2010-08-05,90.08,90.98,89.57,90.66,2388635.0
2010-08-06,91.11,91.37,90.21,90.92,2005541.0
2010-08-07,91.11,91.37,90.21,90.92,2005541.0
2010-08-08,91.11,91.37,90.21,90.92,2005541.0
2010-08-09,91.43,92.01,91.17,91.75,1446350.0
2010-08-10,91.81,92.26,91.24,92.07,1654767.0
2010-08-11,91.81,91.94,90.72,90.98,1502302.0
2010-08-12,90.85,91.56,90.79,91.11,1572503.0
2010-08-13,91.94,91.94,91.11,91.49,1381559.0
2010-08-14,91.94,91.94,91.11,91.49,1381559.0
2010-08-15,91.94,91.94,91.11,91.49,1381559.0
2010-08-16,91.49,92.07,90.85,91.3,1231418.0
2010-08-17,91.43,91.56,90.92,91.49,1353248.0
2010-08-18,91.49,92.52,91.3,92.01,2307293.0
2010-08-19,92.46,92.71,90.21,90.66,1573442.0
2010-08-20,90.79,90.79,88.99,89.63,2191764.0
2010-08-21,90.79,90.79,88.99,89.63,2191764.0
2010-08-22,90.79,90.79,88.99,89.63,2191764.0
2010-08-23,89.76,90.02,88.86,89.12,1284087.0
2010-08-24,88.67,88.99,88.03,88.48,1978862.0
2010-08-25,88.41,88.48,87.19,87.77,2079620.0
2010-08-26,88.16,88.29,87.32,87.96,1277195.0
2010-08-27,87.32,88.54,86.87,88.41,1791741.0
2010-08-28,87.32,88.54,86.87,88.41,1791741.0
2010-08-29,87.32,88.54,86.87,88.41,1791741.0
2010-08-30,88.86,89.25,88.54,88.93,1009242.0
2010-08-31,88.22,88.61,87.77,88.54,1502241.0
2010-09-01,88.73,89.89,88.54,89.89,1958090.0
2010-09-02,89.83,89.89,89.18,89.63,1156838.0
2010-09-03,90.15,91.69,89.95,91.24,2282609.0
2010-09-04,90.15,91.69,89.95,91.24,2282609.0
2010-09-05,90.15,91.69,89.95,91.24,2282609.0
2010-09-06,91.56,92.13,90.98,91.75,1218459.0
2010-09-07,91.75,91.88,91.04,91.49,1032815.0
2010-09-08,91.37,92.26,91.04,91.88,1518952.0
2010-09-09,91.88,92.39,91.49,92.39,1368049.0
2010-09-10,92.46,92.52,91.81,92.52,1130997.0
2010-09-11,92.46,92.52,91.81,92.52,1130997.0
2010-09-12,92.46,92.52,91.81,92.52,1130997.0
2010-09-13,92.71,92.71,91.69,92.13,1361707.0
2010-09-14,91.62,91.88,90.85,91.11,2040342.0
2010-09-15,90.79,90.98,88.93,89.5,2730468.0
2010-09-16,89.31,89.5,88.48,88.86,2127554.0
2010-09-17,89.18,89.31,87.77,88.03,3633047.0
2010-09-18,89.18,89.31,87.77,88.03,3633047.0
2010-09-19,89.18,89.31,87.77,88.03,3633047.0
2010-09-20,88.54,88.93,88.16,88.54,2074740.0
2010-09-21,88.22,88.67,87.96,88.16,1378926.0
2010-09-22,89.06,89.12,87.26,87.45,2703489.0
2010-09-23,87.39,87.64,86.23,86.87,1984676.0
2010-09-24,86.55,86.81,85.08,85.85,3747779.0
2010-09-25,86.55,86.81,85.08,85.85,3747779.0
2010-09-26,86.55,86.81,85.08,85.85,3747779.0
2010-09-27,85.78,85.98,84.05,84.11,3229332.0
2010-09-28,84.18,84.24,82.7,83.54,4238158.0
2010-09-29,83.99,84.5,82.96,84.37,3554780.0
2010-09-30,84.24,87.07,84.18,86.1,4496855.0
2010-10-01,86.62,87.45,86.17,87.0,2749082.0
2010-10-02,86.62,87.45,86.17,87.0,2749082.0
2010-10-03,86.62,87.45,86.17,87.0,2749082.0
2010-10-04,87.0,87.19,86.1,86.49,1638328.0
2010-10-05,86.42,88.35,86.17,88.22,2244828.0
2010-10-06,88.61,89.12,88.16,88.8,1687221.0
2010-10-07,88.93,89.63,88.35,89.25,1756035.0
2010-10-08,89.25,89.5,88.41,89.25,1323949.0
2010-10-09,89.25,89.5,88.41,89.25,1323949.0
2010-10-10,89.25,89.5,88.41,89.25,1323949.0
2010-10-11,89.57,90.4,88.67,89.18,1301986.0
2010-10-12,88.73,88.86,86.75,87.07,2461935.0
2010-10-13,87.64,89.57,87.26,89.25,2666997.0
2010-10-14,87.58,88.86,87.13,88.8,3090922.0
2010-10-15,88.99,91.62,88.54,91.04,4039449.0
2010-10-16,88.99,91.62,88.54,91.04,4039449.0
2010-10-17,88.99,91.62,88.54,91.04,4039449.0
2010-10-18,91.56,92.07,90.85,91.94,1937962.0
2010-10-19,91.88,92.33,91.37,92.2,1547187.0
2010-10-20,92.26,92.84,92.2,92.33,1622447.0
2010-10-21,92.46,92.65,91.49,91.88,1721594.0
2010-10-22,91.56,92.07,91.24,91.62,1055270.0
2010-10-23,91.56,92.07,91.24,91.62,1055270.0
2010-10-24,91.56,92.07,91.24,91.62,1055270.0
2010-10-25,91.81,92.26,91.43,92.07,911851.0
2010-10-26,92.26,92.39,91.24,91.56,1140165.0
2010-10-27,91.49,93.16,91.3,93.16,1571617.0
2010-10-28,93.67,94.32,93.29,93.29,1767768.0
2010-10-29,93.61,93.61,92.01,92.71,1473766.0
2010-10-30,93.61,93.61,92.01,92.71,1473766.0
2010-10-31,93.61,93.61,92.01,92.71,1473766.0
2010-11-01,92.97,93.67,92.65,93.67,992555.0
2010-11-02,93.67,94.7,93.48,94.32,1309058.0
2010-11-03,94.57,94.64,93.03,93.1,1131799.0
2010-11-04,93.74,93.8,92.78,93.23,1441514.0
2010-11-05,93.35,93.48,91.75,92.01,2295479.0
2010-11-06,93.35,93.48,91.75,92.01,2295479.0
2010-11-07,93.35,93.48,91.75,92.01,2295479.0
2010-11-08,92.07,92.13,91.49,91.75,1424276.0
2010-11-09,91.24,91.62,90.27,91.43,1469312.0
2010-11-10,91.11,92.07,91.11,91.56,1647230.0
2010-11-11,91.81,91.81,91.24,91.37,1060234.0
2010-11-12,91.11,91.37,90.53,90.98,1656537.0
2010-11-13,91.11,91.37,90.53,90.98,1656537.0
2010-11-14,91.11,91.37,90.53,90.98,1656537.0
2010-11-15,90.72,92.13,90.6,92.07,1212298.0
2010-11-16,91.81,92.33,91.3,91.43,1635788.0
2010-11-17,91.88,93.74,91.75,92.65,2406973.0
2010-11-18,93.42,94.0,92.84,94.0,1542622.0
2010-11-19,94.57,94.64,92.97,93.35,1658328.0
2010-11-20,94.57,94.64,92.97,93.35,1658328.0
2010-11-21,94.57,94.64,92.97,93.35,1658328.0
2010-11-22,93.16,93.48,91.75,92.01,1566017.0
2010-11-23,91.69,91.81,89.83,89.83,2393784.0
2010-11-24,90.15,90.27,89.25,89.89,1603726.0
2010-11-25,89.89,90.08,88.99,89.83,1203366.0
2010-11-26,89.57,90.47,88.99,90.21,1898401.0
2010-11-27,89.57,90.47,88.99,90.21,1898401.0
2010-11-28,89.57,90.47,88.99,90.21,1898401.0
2010-11-29,90.53,91.04,88.93,88.93,1510112.0
2010-11-30,88.99,89.5,88.41,88.41,2815880.0
2010-12-01,88.86,89.12,88.35,88.8,1956484.0
2010-12-02,89.06,89.38,87.71,89.38,2053305.0
2010-12-03,89.5,89.5,88.41,88.8,1362783.0
2010-12-04,89.5,89.5,88.41,88.8,1362783.0
2010-12-05,89.5,89.5,88.41,88.8,1362783.0
2010-12-06,88.93,88.99,88.03,88.09,1273879.0
2010-12-07,87.71,88.99,87.52,88.54,1695204.0
2010-12-08,88.03,90.85,88.03,90.47,2157121.0
2010-12-09,91.11,91.88,90.79,91.56,1391562.0
2010-12-10,91.62,91.75,90.66,90.92,1077122.0
2010-12-11,91.62,91.75,90.66,90.92,1077122.0
2010-12-12,91.62,91.75,90.66,90.92,1077122.0
2010-12-13,91.11,91.49,90.72,90.85,1006223.0
2010-12-14,91.11,91.56,90.79,91.24,1102892.0
2010-12-15,90.79,91.17,90.34,90.6,1655062.0
2010-12-16,90.79,91.24,88.35,89.83,3459093.0
2010-12-17,90.15,90.15,88.03,88.86,4937600.0
2010-12-18,90.15,90.15,88.03,88.86,4937600.0
2010-12-19,90.15,90.15,88.03,88.86,4937600.0
2010-12-20,88.61,89.5,88.41,88.73,1539625.0
2010-12-21,88.73,89.06,87.96,88.67,1614856.0
2010-12-22,88.73,88.8,88.22,88.22,1321692.0
2010-12-23,88.29,89.38,88.09,89.18,1075308.0
2010-12-24,88.29,89.38,88.09,89.18,1075308.0
2010-12-25,88.29,89.38,88.09,89.18,1075308.0
2010-12-26,88.29,89.38,88.09,89.18,1075308.0
2010-12-27,89.31,89.5,88.73,88.99,708271.0
2010-12-28,89.25,89.7,89.18,89.25,669997.0
2010-12-29,89.5,89.63,89.06,89.31,616836.0
2010-12-30,89.31,89.31,87.9,87.9,1122340.0
2010-12-31,89.31,89.31,87.9,87.9,1122340.0
2011-01-01,89.31,89.31,87.9,87.9,1122340.0
2011-01-02,89.31,89.31,87.9,87.9,1122340.0
2011-01-03,88.22,88.29,87.58,87.77,1267066.0
2011-01-04,87.9,88.29,87.64,88.09,1542470.0
2011-01-05,88.22,88.35,87.39,88.22,1575743.0
2011-01-06,88.48,88.54,87.77,87.96,1451684.0
2011-01-07,87.96,88.09,86.87,87.0,1859985.0
2011-01-08,87.96,88.09,86.87,87.0,1859985.0
2011-01-09,87.96,88.09,86.87,87.0,1859985.0
2011-01-10,87.0,87.19,85.65,86.04,2030617.0
2011-01-11,86.49,86.49,85.91,86.49,2007432.0
2011-01-12,86.75,88.16,86.68,88.03,2427322.0
2011-01-13,88.41,88.41,87.07,87.52,1750151.0
2011-01-14,87.58,88.16,86.75,88.16,1795867.0
2011-01-15,87.58,88.16,86.75,88.16,1795867.0
2011-01-16,87.58,88.16,86.75,88.16,1795867.0
2011-01-17,88.86,90.4,88.86,89.95,2913489.0
2011-01-18,90.27,90.98,89.76,90.15,1719964.0
2011-01-19,90.85,90.85,90.34,90.6,1675017.0
2011-01-20,90.15,90.53,89.83,90.15,2045483.0
2011-01-21,90.47,90.79,89.95,90.34,2617782.0
2011-01-22,90.47,90.79,89.95,90.34,2617782.0
2011-01-23,90.47,90.79,89.95,90.34,2617782.0
2011-01-24,90.92,92.13,90.08,92.13,2137728.0
2011-01-25,92.46,92.9,92.2,92.39,1907109.0
2011-01-26,92.78,93.42,92.52,93.29,1807977.0
2011-01-27,93.23,93.67,92.84,93.1,1568750.0
2011-01-28,92.46,93.23,92.2,92.46,1634051.0
2011-01-29,92.46,93.23,92.2,92.46,1634051.0
2011-01-30,92.46,93.23,92.2,92.46,1634051.0
2011-01-31,92.46,92.84,91.81,92.13,1615169.0
2011-02-01,92.39,92.71,91.81,92.71,1775964.0
2011-02-02,90.79,92.78,90.02,92.39,5042973.0
2011-02-03,91.43,91.88,90.34,90.98,3668513.0
2011-02-04,91.37,91.37,89.5,90.34,2895723.0
2011-02-05,91.37,91.37,89.5,90.34,2895723.0
2011-02-06,91.37,91.37,89.5,90.34,2895723.0
2011-02-07,90.27,91.17,89.89,90.27,1992429.0
2011-02-08,90.27,90.66,90.08,90.47,1557861.0
2011-02-09,90.72,90.79,89.7,90.21,1792817.0
2011-02-10,90.21,90.47,89.63,90.47,1594586.0
2011-02-11,90.47,91.56,90.21,91.24,2082704.0
2011-02-12,90.47,91.56,90.21,91.24,2082704.0
2011-02-13,90.47,91.56,90.21,91.24,2082704.0
2011-02-14,91.3,91.37,90.02,90.47,2087481.0
2011-02-15,89.63,89.95,89.12,89.44,2245336.0
2011-02-16,89.38,89.83,89.25,89.63,1480087.0
2011-02-17,89.25,89.44,87.52,88.73,3393852.0
2011-02-18,89.18,89.25,88.41,88.8,5771555.0
2011-02-19,89.18,89.25,88.41,88.8,5771555.0
2011-02-20,89.18,89.25,88.41,88.8,5771555.0
2011-02-21,88.93,89.44,88.61,88.8,1570928.0
2011-02-22,88.8,88.8,87.77,87.9,1790250.0
2011-02-23,87.9,88.61,87.52,88.22,1537122.0
2011-02-24,88.48,88.61,87.32,87.71,1825674.0
2011-02-25,87.9,88.54,87.71,88.09,1466731.0
2011-02-26,87.9,88.54,87.71,88.09,1466731.0
2011-02-27,87.9,88.54,87.71,88.09,1466731.0
2011-02-28,88.22,90.34,87.9,89.89,2715099.0
2011-03-01,90.02,90.6,89.57,89.7,1739411.0
2011-03-02,89.44,89.76,88.41,88.54,2458628.0
2011-03-03,89.75,91.1,89.22,90.5,3672241.0
2011-03-04,90.7,90.83,90.02,90.02,1897344.0
2011-03-05,90.7,90.83,90.02,90.02,1897344.0
2011-03-06,90.7,90.83,90.02,90.02,1897344.0
2011-03-07,89.82,89.89,89.01,89.01,1848431.0
2011-03-08,89.35,89.62,88.74,89.01,1928353.0
2011-03-09,89.28,89.28,88.74,88.74,1726639.0
2011-03-10,88.54,89.62,88.41,88.95,2491848.0
2011-03-11,88.61,89.01,88.47,88.81,1668201.0
2011-03-12,88.61,89.01,88.47,88.81,1668201.0
2011-03-13,88.61,89.01,88.47,88.81,1668201.0
2011-03-14,88.41,88.95,88.14,88.14,1710582.0
2011-03-15,87.33,87.53,84.43,85.78,4648494.0
2011-03-16,85.98,86.05,84.09,84.5,3533780.0
2011-03-17,84.63,85.24,83.83,84.63,2594586.0
2011-03-18,84.9,85.51,84.23,84.43,5060024.0
2011-03-19,84.9,85.51,84.23,84.43,5060024.0
2011-03-20,84.9,85.51,84.23,84.43,5060024.0
2011-03-21,84.97,85.98,84.77,85.78,2059185.0
2011-03-22,85.91,86.79,85.64,86.72,1918568.0
2011-03-23,86.72,87.4,86.52,87.4,1784171.0
2011-03-24,87.4,87.94,87.13,87.8,1744914.0
2011-03-25,88.27,88.61,87.46,87.73,1714597.0
2011-03-26,88.27,88.61,87.46,87.73,1714597.0
2011-03-27,88.27,88.61,87.46,87.73,1714597.0
2011-03-28,87.94,88.47,87.73,87.73,1427398.0
2011-03-29,87.94,88.07,87.4,87.87,1414132.0
2011-03-30,88.21,89.08,88.14,88.81,1858061.0
2011-03-31,88.74,89.01,88.41,88.41,1448590.0
2011-04-01,88.95,90.02,88.74,89.96,1723642.0
2011-04-02,88.95,90.02,88.74,89.96,1723642.0
2011-04-03,88.95,90.02,88.74,89.96,1723642.0
2011-04-04,90.29,90.29,89.49,89.62,1562140.0
2011-04-05,89.82,89.82,88.95,89.55,1438618.0
2011-04-06,89.75,89.89,89.42,89.49,1409429.0
2011-04-07,89.62,90.5,89.62,90.23,1840555.0
2011-04-08,90.43,90.63,89.75,90.16,1257937.0
2011-04-09,90.43,90.63,89.75,90.16,1257937.0
2011-04-10,90.43,90.63,89.75,90.16,1257937.0
2011-04-11,90.16,90.9,89.89,90.63,1402690.0
2011-04-12,90.29,90.5,90.02,90.02,1724961.0
2011-04-13,90.23,90.36,89.42,89.69,1593893.0
2011-04-14,88.81,89.55,88.61,89.55,2029615.0
2011-04-15,89.96,90.02,89.15,89.96,4074978.0
2011-04-16,89.96,90.02,89.15,89.96,4074978.0
2011-04-17,89.96,90.02,89.15,89.96,4074978.0
2011-04-18,89.75,90.09,88.88,89.22,2249982.0
2011-04-19,89.15,89.89,88.74,89.69,1636181.0
2011-04-20,89.96,91.84,89.89,91.84,2282816.0
2011-04-21,92.32,92.52,91.78,92.05,1621585.0
2011-04-22,92.32,92.52,91.78,92.05,1621585.0
2011-04-23,92.32,92.52,91.78,92.05,1621585.0
