,DEC LN Equity
2020-04-23,7.3526
2020-04-24,7.3348
2020-04-25,7.3348
2020-04-26,7.3348
2020-04-27,7.3196
2020-04-28,7.3748
2020-04-29,7.348
2020-04-30,7.511
2020-05-01,7.5322
2020-05-02,7.5322
2020-05-03,7.5322
2020-05-04,7.5283
2020-05-05,7.9591
2020-05-06,8.055
2020-05-07,8.0009
2020-05-08,8.0009
2020-05-09,8.0009
2020-05-10,8.0009
2020-05-11,8.0371
2020-05-12,7.8807
2020-05-13,7.778
2020-05-14,7.6721
2020-05-15,7.5194
2020-05-16,7.5194
2020-05-17,7.5194
2020-05-18,8.0153
2020-05-19,8.0799
2020-05-20,8.0188
2020-05-21,8.077
2020-05-22,8.1797
2020-05-23,8.1797
2020-05-24,8.1797
2020-05-25,8.1797
2020-05-26,8.3299
2020-05-27,8.3034
2020-05-28,8.5059
2020-05-29,8.2116
2020-05-30,8.2116
2020-05-31,8.2116
2020-06-01,8.4372
2020-06-02,8.4677
2020-06-03,8.5923
2020-06-04,8.5095
2020-06-05,8.553
2020-06-06,8.553
2020-06-07,8.553
2020-06-08,8.5054
2020-06-09,8.5063
2020-06-10,8.5344
2020-06-11,8.2397
2020-06-12,8.1013
2020-06-13,8.1013
2020-06-14,8.1013
2020-06-15,8.15
2020-06-16,8.2576
2020-06-17,8.1456
2020-06-18,8.0903
2020-06-19,8.1101
2020-06-20,8.1101
2020-06-21,8.1101
2020-06-22,8.0803
2020-06-23,8.1434
2020-06-24,7.8992
2020-06-25,7.9009
2020-06-26,7.7826
2020-06-27,7.7826
2020-06-28,7.7826
2020-06-29,7.7362
2020-06-30,37.6957
2020-07-01,38.3428
2020-07-02,38.2603
2020-07-03,37.9067
2020-07-04,37.9067
2020-07-05,37.9067
2020-07-06,37.9764
2020-07-07,38.2924
2020-07-08,38.5297
2020-07-09,38.1898
2020-07-10,37.986
2020-07-11,37.986
2020-07-12,37.986
2020-07-13,38.0987
2020-07-14,38.0021
2020-07-15,38.4565
2020-07-16,39.0566
2020-07-17,39.0874
2020-07-18,39.0874
2020-07-19,39.0874
2020-07-20,39.2521
2020-07-21,39.6664
2020-07-22,39.4331
2020-07-23,38.9638
2020-07-24,39.0861
2020-07-25,39.0861
2020-07-26,39.0861
2020-07-27,39.3335
2020-07-28,39.519
2020-07-29,39.7732
2020-07-30,40.1249
2020-07-31,39.9798
2020-08-01,39.9798
2020-08-02,39.9798
2020-08-03,40.0528
2020-08-04,40.4265
2020-08-05,40.8617
2020-08-06,40.9409
2020-08-07,40.489
2020-08-08,40.489
2020-08-09,40.489
2020-08-10,40.9092
2020-08-11,41.8514
2020-08-12,41.6164
2020-08-13,41.8195
2020-08-14,42.3724
2020-08-15,42.3724
2020-08-16,42.3724
2020-08-17,43.4831
2020-08-18,43.2965
2020-08-19,43.1563
2020-08-20,43.0094
2020-08-21,42.7829
2020-08-22,42.7829
2020-08-23,42.7829
2020-08-24,42.7535
2020-08-25,42.8859
2020-08-26,43.4951
2020-08-27,42.9931
2020-08-28,43.8221
2020-08-29,43.8221
2020-08-30,43.8221
2020-08-31,43.8221
2020-09-01,43.7198
2020-09-02,43.466
2020-09-03,42.9825
2020-09-04,43.0167
2020-09-05,43.0167
2020-09-06,43.0167
2020-09-07,42.8749
2020-09-08,42.2352
2020-09-09,42.1316
2020-09-10,41.2796
2020-09-11,41.1908
2020-09-12,41.1908
2020-09-13,41.1908
2020-09-14,40.9681
2020-09-15,41.4389
2020-09-16,41.5403
2020-09-17,41.1474
2020-09-18,41.407
2020-09-19,41.407
2020-09-20,41.407
2020-09-21,40.5474
2020-09-22,40.2
2020-09-23,41.3458
2020-09-24,41.1147
2020-09-25,40.3572
2020-09-26,40.3572
2020-09-27,40.3572
2020-09-28,41.1338
2020-09-29,41.1402
2020-09-30,41.2791
2020-10-01,40.9205
2020-10-02,40.6892
2020-10-03,40.6892
2020-10-04,40.6892
2020-10-05,41.934
2020-10-06,42.0749
2020-10-07,41.5225
2020-10-08,41.3687
2020-10-09,42.1104
2020-10-10,42.1104
2020-10-11,42.1104
2020-10-12,42.4696
2020-10-13,41.6915
2020-10-14,41.7465
2020-10-15,41.5321
2020-10-16,41.3207
2020-10-17,41.3207
2020-10-18,41.3207
2020-10-19,41.5061
2020-10-20,41.3719
2020-10-21,42.0213
2020-10-22,42.003
2020-10-23,41.8856
2020-10-24,41.8856
2020-10-25,41.8856
2020-10-26,41.8128
2020-10-27,42.1238
2020-10-28,41.882
2020-10-29,42.4378
2020-10-30,42.8615
2020-10-31,42.8615
2020-11-01,42.8615
2020-11-02,43.348
2020-11-03,43.8964
2020-11-04,43.2225
2020-11-05,43.4767
2020-11-06,43.3898
2020-11-07,43.3898
2020-11-08,43.3898
2020-11-09,43.6128
2020-11-10,43.8421
2020-11-11,44.1713
2020-11-12,43.7067
2020-11-13,43.7243
2020-11-14,43.7243
2020-11-15,43.7243
2020-11-16,43.7541
2020-11-17,43.7694
2020-11-18,43.88
2020-11-19,43.6603
2020-11-20,43.7541
2020-11-21,43.7541
2020-11-22,43.7541
2020-11-23,43.911
2020-11-24,44.0583
2020-11-25,44.3191
2020-11-26,43.5543
2020-11-27,43.4786
2020-11-28,43.4786
2020-11-29,43.4786
2020-11-30,43.6411
2020-12-01,44.083
2020-12-02,43.5028
2020-12-03,43.6666
2020-12-04,43.7153
2020-12-05,43.7153
2020-12-06,43.7153
2020-12-07,42.9111
2020-12-08,43.4002
2020-12-09,43.5647
2020-12-10,43.5454
2020-12-11,43.5382
2020-12-12,43.5382
2020-12-13,43.5382
2020-12-14,44.0768
2020-12-15,44.4361
2020-12-16,44.7534
2020-12-17,45.2544
2020-12-18,44.7364
2020-12-19,44.7364
2020-12-20,44.7364
2020-12-21,44.0144
2020-12-22,44.2396
2020-12-23,44.8387
2020-12-24,45.1586
2020-12-25,45.1586
2020-12-26,45.1586
2020-12-27,45.1586
2020-12-28,45.1586
2020-12-29,45.2713
2020-12-30,45.7288
2020-12-31,45.7288
2021-01-01,45.7288
2021-01-02,45.7288
2021-01-03,45.7288
2021-01-04,45.7288
2021-01-05,45.7288
2021-01-06,45.7288
2021-01-07,45.7288
2021-01-08,45.7288
2021-01-09,45.7288
2021-01-10,45.7288
2021-01-11,45.7288
2021-01-12,45.7288
2021-01-13,45.7288
2021-01-14,45.7288
2021-01-15,45.7288
2021-01-16,45.7288
2021-01-17,45.7288
2021-01-18,45.7288
2021-01-19,45.7288
2021-01-20,45.7288
2021-01-21,45.7288
2021-01-22,45.7288
2021-01-23,45.7288
2021-01-24,45.7288
2021-01-25,45.7288
2021-01-26,45.7288
2021-01-27,45.7288
2021-01-28,45.7288
2021-01-29,45.7288
2021-01-30,45.7288
2021-01-31,45.7288
2021-02-01,45.7288
2021-02-02,45.7288
2021-02-03,45.7288
2021-02-04,45.7288
2021-02-05,45.7288
2021-02-06,45.7288
2021-02-07,45.7288
2021-02-08,45.7288
2021-02-09,45.7288
2021-02-10,45.7288
2021-02-11,45.7288
2021-02-12,45.7288
2021-02-13,45.7288
2021-02-14,45.7288
2021-02-15,45.7288
2021-02-16,45.7288
2021-02-17,45.7288
2021-02-18,45.7288
2021-02-19,45.7288
2021-02-20,45.7288
2021-02-21,45.7288
2021-02-22,45.7288
2021-02-23,45.7288
2021-02-24,45.7288
2021-02-25,45.7288
2021-02-26,45.7288
2021-02-27,45.7288
2021-02-28,45.7288
2021-03-01,45.7288
2021-03-02,45.7288
2021-03-03,45.7288
2021-03-04,45.7288
2021-03-05,45.7288
2021-03-06,45.7288
2021-03-07,45.7288
2021-03-08,45.7288
2021-03-09,45.7288
2021-03-10,45.7288
2021-03-11,45.7288
2021-03-12,45.7288
2021-03-13,45.7288
2021-03-14,45.7288
2021-03-15,45.7288
2021-03-16,45.7288
2021-03-17,45.7288
2021-03-18,45.7288
2021-03-19,45.7288
2021-03-20,45.7288
2021-03-21,45.7288
2021-03-22,45.7288
2021-03-23,45.7288
2021-03-24,45.7288
2021-03-25,45.7288
2021-03-26,45.7288
2021-03-27,45.7288
2021-03-28,45.7288
2021-03-29,45.7288
2021-03-30,45.7288
2021-03-31,45.7288
2021-04-01,45.7288
2021-04-02,45.7288
2021-04-03,45.7288
2021-04-04,45.7288
2021-04-05,45.7288
2021-04-06,45.7288
2021-04-07,45.7288
2021-04-08,45.7288
2021-04-09,45.7288
2021-04-10,45.7288
2021-04-11,45.7288
2021-04-12,45.7288
2021-04-13,45.7288
2021-04-14,45.7288
2021-04-15,45.7288
2021-04-16,45.7288
2021-04-17,45.7288
2021-04-18,45.7288
2021-04-19,45.7288
2021-04-20,45.7288
2021-04-21,45.7288
2021-04-22,45.7288
2021-04-23,45.7288
2021-04-24,45.7288
2021-04-25,45.7288
2021-04-26,45.7288
2021-04-27,45.7288
2021-04-28,45.7288
2021-04-29,45.7288
2021-04-30,45.7288
2021-05-01,45.7288
2021-05-02,45.7288
2021-05-03,45.7288
2021-05-04,45.7288
2021-05-05,45.7288
2021-05-06,45.7288
2021-05-07,45.7288
2021-05-08,45.7288
2021-05-09,45.7288
2021-05-10,45.7288
2021-05-11,45.7288
2021-05-12,45.7288
2021-05-13,45.7288
2021-05-14,45.7288
2021-05-15,45.7288
2021-05-16,45.7288
2021-05-17,45.7288
2021-05-18,45.7288
2021-05-19,45.7288
2021-05-20,45.7288
2021-05-21,45.7288
2021-05-22,45.7288
2021-05-23,45.7288
2021-05-24,45.7288
2021-05-25,45.7288
2021-05-26,45.7288
2021-05-27,45.7288
2021-05-28,45.7288
2021-05-29,45.7288
2021-05-30,45.7288
2021-05-31,45.7288
2021-06-01,45.7288
2021-06-02,45.7288
2021-06-03,45.7288
2021-06-04,45.7288
2021-06-05,45.7288
2021-06-06,45.7288
2021-06-07,45.7288
2021-06-08,45.7288
2021-06-09,45.7288
2021-06-10,45.7288
2021-06-11,45.7288
2021-06-12,45.7288
2021-06-13,45.7288
2021-06-14,45.7288
2021-06-15,45.7288
2021-06-16,45.7288
2021-06-17,45.7288
2021-06-18,45.7288
2021-06-19,45.7288
2021-06-20,45.7288
2021-06-21,45.7288
2021-06-22,45.7288
2021-06-23,45.7288
2021-06-24,45.7288
2021-06-25,45.7288
2021-06-26,45.7288
2021-06-27,45.7288
2021-06-28,45.7288
2021-06-29,45.7288
2021-06-30,45.7288
2021-07-01,45.7288
2021-07-02,45.7288
2021-07-03,45.7288
2021-07-04,45.7288
2021-07-05,45.7288
2021-07-06,45.7288
2021-07-07,45.7288
2021-07-08,45.7288
2021-07-09,45.7288
2021-07-10,45.7288
2021-07-11,45.7288
2021-07-12,45.7288
2021-07-13,45.7288
2021-07-14,45.7288
2021-07-15,45.7288
2021-07-16,45.7288
2021-07-17,45.7288
2021-07-18,45.7288
2021-07-19,45.7288
2021-07-20,45.7288
2021-07-21,45.7288
2021-07-22,45.7288
2021-07-23,45.7288
2021-07-24,45.7288
2021-07-25,45.7288
2021-07-26,45.7288
2021-07-27,45.7288
2021-07-28,45.7288
2021-07-29,45.7288
2021-07-30,45.7288
2021-07-31,45.7288
2021-08-01,45.7288
2021-08-02,45.7288
2021-08-03,45.7288
2021-08-04,45.7288
2021-08-05,45.7288
2021-08-06,45.7288
2021-08-07,45.7288
2021-08-08,45.7288
2021-08-09,45.7288
2021-08-10,45.7288
2021-08-11,45.7288
2021-08-12,45.7288
2021-08-13,45.7288
2021-08-14,45.7288
2021-08-15,45.7288
2021-08-16,45.7288
2021-08-17,45.7288
2021-08-18,45.7288
2021-08-19,45.7288
2021-08-20,45.7288
2021-08-21,45.7288
2021-08-22,45.7288
2021-08-23,45.7288
2021-08-24,45.7288
2021-08-25,45.7288
2021-08-26,45.7288
2021-08-27,45.7288
2021-08-28,45.7288
2021-08-29,45.7288
2021-08-30,45.7288
2021-08-31,45.7288
2021-09-01,45.7288
2021-09-02,45.7288
2021-09-03,45.7288
2021-09-04,45.7288
2021-09-05,45.7288
2021-09-06,45.7288
2021-09-07,45.7288
2021-09-08,45.7288
2021-09-09,45.7288
2021-09-10,45.7288
2021-09-11,45.7288
2021-09-12,45.7288
2021-09-13,45.7288
2021-09-14,45.7288
2021-09-15,45.7288
2021-09-16,45.7288
2021-09-17,45.7288
2021-09-18,45.7288
2021-09-19,45.7288
2021-09-20,45.7288
2021-09-21,45.7288
2021-09-22,45.7288
2021-09-23,45.7288
2021-09-24,45.7288
2021-09-25,45.7288
2021-09-26,45.7288
2021-09-27,45.7288
2021-09-28,45.7288
2021-09-29,45.7288
2021-09-30,45.7288
2021-10-01,45.7288
2021-10-02,45.7288
2021-10-03,45.7288
2021-10-04,45.7288
2021-10-05,45.7288
2021-10-06,45.7288
2021-10-07,45.7288
2021-10-08,45.7288
2021-10-09,45.7288
2021-10-10,45.7288
2021-10-11,45.7288
2021-10-12,45.7288
2021-10-13,45.7288
2021-10-14,45.7288
2021-10-15,45.7288
2021-10-16,45.7288
2021-10-17,45.7288
2021-10-18,45.7288
2021-10-19,45.7288
2021-10-20,45.7288
2021-10-21,45.7288
2021-10-22,45.7288
2021-10-23,45.7288
2021-10-24,45.7288
2021-10-25,45.7288
2021-10-26,45.7288
2021-10-27,45.7288
2021-10-28,45.7288
2021-10-29,45.7288
2021-10-30,45.7288
2021-10-31,45.7288
2021-11-01,45.7288
2021-11-02,45.7288
2021-11-03,45.7288
2021-11-04,45.7288
2021-11-05,45.7288
2021-11-06,45.7288
2021-11-07,45.7288
2021-11-08,45.7288
2021-11-09,45.7288
2021-11-10,45.7288
2021-11-11,45.7288
2021-11-12,45.7288
2021-11-13,45.7288
2021-11-14,45.7288
2021-11-15,45.7288
2021-11-16,45.7288
2021-11-17,45.7288
2021-11-18,45.7288
2021-11-19,45.7288
2021-11-20,45.7288
2021-11-21,45.7288
2021-11-22,45.7288
2021-11-23,45.7288
2021-11-24,45.7288
2021-11-25,45.7288
2021-11-26,45.7288
2021-11-27,45.7288
2021-11-28,45.7288
2021-11-29,45.7288
2021-11-30,45.7288
2021-12-01,45.7288
2021-12-02,45.7288
2021-12-03,45.7288
2021-12-04,45.7288
2021-12-05,45.7288
2021-12-06,45.7288
2021-12-07,45.7288
2021-12-08,45.7288
2021-12-09,45.7288
2021-12-10,45.7288
2021-12-11,45.7288
2021-12-12,45.7288
2021-12-13,45.7288
2021-12-14,45.7288
2021-12-15,45.7288
2021-12-16,45.7288
2021-12-17,45.7288
2021-12-18,45.7288
2021-12-19,45.7288
2021-12-20,45.7288
2021-12-21,45.7288
2021-12-22,45.7288
2021-12-23,45.7288
2021-12-24,45.7288
2021-12-25,45.7288
2021-12-26,45.7288
2021-12-27,45.7288
2021-12-28,45.7288
2021-12-29,45.7288
2021-12-30,45.7288
2021-12-31,45.7288
2022-01-01,45.7288
2022-01-02,45.7288
2022-01-03,45.7288
2022-01-04,45.7288
2022-01-05,45.7288
2022-01-06,45.7288
2022-01-07,45.7288
2022-01-08,45.7288
2022-01-09,45.7288
2022-01-10,45.7288
2022-01-11,45.7288
2022-01-12,45.7288
2022-01-13,45.7288
2022-01-14,45.7288
2022-01-15,45.7288
2022-01-16,45.7288
2022-01-17,45.7288
2022-01-18,45.7288
2022-01-19,45.7288
2022-01-20,45.7288
2022-01-21,45.7288
2022-01-22,45.7288
2022-01-23,45.7288
2022-01-24,45.7288
2022-01-25,45.7288
2022-01-26,45.7288
2022-01-27,45.7288
2022-01-28,45.7288
2022-01-29,45.7288
2022-01-30,45.7288
2022-01-31,45.7288
2022-02-01,45.7288
2022-02-02,45.7288
2022-02-03,45.7288
2022-02-04,45.7288
2022-02-05,45.7288
2022-02-06,45.7288
2022-02-07,45.7288
2022-02-08,45.7288
2022-02-09,45.7288
2022-02-10,45.7288
2022-02-11,45.7288
2022-02-12,45.7288
2022-02-13,45.7288
2022-02-14,45.7288
2022-02-15,45.7288
2022-02-16,45.7288
2022-02-17,45.7288
2022-02-18,45.7288
2022-02-19,45.7288
2022-02-20,45.7288
2022-02-21,45.7288
2022-02-22,45.7288
2022-02-23,45.7288
2022-02-24,45.7288
2022-02-25,45.7288
2022-02-26,45.7288
2022-02-27,45.7288
2022-02-28,45.7288
2022-03-01,45.7288
2022-03-02,45.7288
2022-03-03,45.7288
2022-03-04,45.7288
2022-03-05,45.7288
2022-03-06,45.7288
2022-03-07,45.7288
2022-03-08,45.7288
2022-03-09,45.7288
2022-03-10,45.7288
2022-03-11,45.7288
2022-03-12,45.7288
2022-03-13,45.7288
2022-03-14,45.7288
2022-03-15,45.7288
2022-03-16,45.7288
2022-03-17,45.7288
2022-03-18,45.7288
2022-03-19,45.7288
2022-03-20,45.7288
2022-03-21,45.7288
2022-03-22,45.7288
2022-03-23,45.7288
2022-03-24,45.7288
2022-03-25,45.7288
2022-03-26,45.7288
2022-03-27,45.7288
2022-03-28,45.7288
2022-03-29,45.7288
2022-03-30,45.7288
2022-03-31,45.7288
2022-04-01,45.7288
2022-04-02,45.7288
2022-04-03,45.7288
2022-04-04,45.7288
2022-04-05,45.7288
2022-04-06,45.7288
2022-04-07,45.7288
2022-04-08,45.7288
2022-04-09,45.7288
2022-04-10,45.7288
2022-04-11,45.7288
2022-04-12,45.7288
2022-04-13,45.7288
2022-04-14,45.7288
2022-04-15,45.7288
2022-04-16,45.7288
2022-04-17,45.7288
2022-04-18,45.7288
2022-04-19,45.7288
2022-04-20,45.7288
2022-04-21,45.7288
2022-04-22,45.7288
2022-04-23,45.7288
2022-04-24,45.7288
2022-04-25,45.7288
2022-04-26,45.7288
2022-04-27,45.7288
2022-04-28,45.7288
2022-04-29,45.7288
2022-04-30,45.7288
2022-05-01,45.7288
2022-05-02,45.7288
2022-05-03,45.7288
2022-05-04,45.7288
2022-05-05,45.7288
2022-05-06,45.7288
2022-05-07,45.7288
2022-05-08,45.7288
2022-05-09,45.7288
2022-05-10,45.7288
2022-05-11,45.7288
2022-05-12,45.7288
2022-05-13,45.7288
2022-05-14,45.7288
2022-05-15,45.7288
2022-05-16,45.7288
2022-05-17,45.7288
2022-05-18,45.7288
2022-05-19,45.7288
2022-05-20,45.7288
2022-05-21,45.7288
2022-05-22,45.7288
2022-05-23,45.7288
2022-05-24,45.7288
2022-05-25,45.7288
2022-05-26,45.7288
2022-05-27,45.7288
2022-05-28,45.7288
2022-05-29,45.7288
2022-05-30,45.7288
2022-05-31,45.7288
2022-06-01,45.7288
2022-06-02,45.7288
2022-06-03,45.7288
2022-06-04,45.7288
2022-06-05,45.7288
2022-06-06,45.7288
2022-06-07,45.7288
2022-06-08,45.7288
2022-06-09,45.7288
2022-06-10,45.7288
2022-06-11,45.7288
2022-06-12,45.7288
2022-06-13,45.7288
2022-06-14,45.7288
2022-06-15,45.7288
2022-06-16,45.7288
2022-06-17,45.7288
2022-06-18,45.7288
2022-06-19,45.7288
2022-06-20,45.7288
2022-06-21,45.7288
2022-06-22,45.7288
2022-06-23,45.7288
2022-06-24,45.7288
2022-06-25,45.7288
2022-06-26,45.7288
2022-06-27,45.7288
2022-06-28,45.7288
2022-06-29,45.7288
2022-06-30,45.7288
2022-07-01,45.7288
2022-07-02,45.7288
2022-07-03,45.7288
2022-07-04,45.7288
2022-07-05,45.7288
2022-07-06,45.7288
2022-07-07,45.7288
2022-07-08,45.7288
2022-07-09,45.7288
2022-07-10,45.7288
2022-07-11,45.7288
2022-07-12,45.7288
2022-07-13,45.7288
2022-07-14,45.7288
2022-07-15,45.7288
2022-07-16,45.7288
2022-07-17,45.7288
2022-07-18,45.7288
2022-07-19,45.7288
2022-07-20,45.7288
2022-07-21,45.7288
2022-07-22,45.7288
2022-07-23,45.7288
2022-07-24,45.7288
2022-07-25,45.7288
2022-07-26,45.7288
2022-07-27,45.7288
2022-07-28,45.7288
2022-07-29,45.7288
2022-07-30,45.7288
2022-07-31,45.7288
2022-08-01,45.7288
2022-08-02,45.7288
2022-08-03,45.7288
2022-08-04,45.7288
2022-08-05,45.7288
2022-08-06,45.7288
2022-08-07,45.7288
2022-08-08,45.7288
2022-08-09,45.7288
2022-08-10,45.7288
2022-08-11,45.7288
2022-08-12,45.7288
2022-08-13,45.7288
2022-08-14,45.7288
2022-08-15,45.7288
2022-08-16,45.7288
2022-08-17,45.7288
2022-08-18,45.7288
2022-08-19,45.7288
2022-08-20,45.7288
2022-08-21,45.7288
2022-08-22,45.7288
2022-08-23,45.7288
2022-08-24,45.7288
2022-08-25,45.7288
2022-08-26,45.7288
2022-08-27,45.7288
2022-08-28,45.7288
2022-08-29,45.7288
2022-08-30,45.7288
2022-08-31,45.7288
2022-09-01,45.7288
2022-09-02,45.7288
2022-09-03,45.7288
2022-09-04,45.7288
2022-09-05,45.7288
2022-09-06,45.7288
2022-09-07,45.7288
2022-09-08,45.7288
2022-09-09,45.7288
2022-09-10,45.7288
2022-09-11,45.7288
2022-09-12,45.7288
2022-09-13,45.7288
2022-09-14,45.7288
2022-09-15,45.7288
2022-09-16,45.7288
2022-09-17,45.7288
2022-09-18,45.7288
2022-09-19,45.7288
2022-09-20,45.7288
2022-09-21,45.7288
2022-09-22,45.7288
2022-09-23,45.7288
2022-09-24,45.7288
2022-09-25,45.7288
2022-09-26,45.7288
2022-09-27,45.7288
2022-09-28,45.7288
2022-09-29,45.7288
2022-09-30,45.7288
2022-10-01,45.7288
2022-10-02,45.7288
2022-10-03,45.7288
2022-10-04,45.7288
2022-10-05,45.7288
2022-10-06,45.7288
2022-10-07,45.7288
2022-10-08,45.7288
2022-10-09,45.7288
2022-10-10,45.7288
2022-10-11,45.7288
2022-10-12,45.7288
2022-10-13,45.7288
2022-10-14,45.7288
2022-10-15,45.7288
2022-10-16,45.7288
2022-10-17,45.7288
2022-10-18,45.7288
2022-10-19,45.7288
2022-10-20,45.7288
2022-10-21,45.7288
2022-10-22,45.7288
2022-10-23,45.7288
2022-10-24,45.7288
2022-10-25,45.7288
2022-10-26,45.7288
2022-10-27,45.7288
2022-10-28,45.7288
2022-10-29,45.7288
2022-10-30,45.7288
2022-10-31,45.7288
2022-11-01,45.7288
2022-11-02,45.7288
2022-11-03,45.7288
2022-11-04,45.7288
2022-11-05,45.7288
2022-11-06,45.7288
2022-11-07,45.7288
2022-11-08,45.7288
2022-11-09,45.7288
2022-11-10,45.7288
2022-11-11,45.7288
2022-11-12,45.7288
2022-11-13,45.7288
2022-11-14,45.7288
2022-11-15,45.7288
2022-11-16,45.7288
2022-11-17,45.7288
2022-11-18,45.7288
2022-11-19,45.7288
2022-11-20,45.7288
2022-11-21,45.7288
2022-11-22,45.7288
2022-11-23,45.7288
2022-11-24,45.7288
2022-11-25,45.7288
2022-11-26,45.7288
2022-11-27,45.7288
2022-11-28,45.7288
2022-11-29,45.7288
2022-11-30,45.7288
2022-12-01,45.7288
2022-12-02,45.7288
2022-12-03,45.7288
2022-12-04,45.7288
2022-12-05,45.7288
2022-12-06,45.7288
2022-12-07,45.7288
2022-12-08,45.7288
2022-12-09,45.7288
2022-12-10,45.7288
2022-12-11,45.7288
2022-12-12,45.7288
2022-12-13,45.7288
2022-12-14,45.7288
2022-12-15,45.7288
2022-12-16,45.7288
2022-12-17,45.7288
2022-12-18,45.7288
2022-12-19,45.7288
2022-12-20,45.7288
2022-12-21,45.7288
2022-12-22,45.7288
2022-12-23,45.7288
2022-12-24,45.7288
2022-12-25,45.7288
2022-12-26,45.7288
2022-12-27,45.7288
2022-12-28,45.7288
2022-12-29,45.7288
2022-12-30,45.7288
2022-12-31,45.7288
2023-01-01,45.7288
2023-01-02,45.7288
2023-01-03,45.7288
2023-01-04,45.7288
2023-01-05,45.7288
2023-01-06,45.7288
2023-01-07,45.7288
2023-01-08,45.7288
2023-01-09,45.7288
2023-01-10,45.7288
2023-01-11,45.7288
2023-01-12,45.7288
2023-01-13,45.7288
2023-01-14,45.7288
2023-01-15,45.7288
2023-01-16,45.7288
2023-01-17,45.7288
2023-01-18,45.7288
2023-01-19,45.7288
2023-01-20,45.7288
2023-01-21,45.7288
2023-01-22,45.7288
2023-01-23,45.7288
2023-01-24,45.7288
2023-01-25,45.7288
2023-01-26,45.7288
2023-01-27,45.7288
2023-01-28,45.7288
2023-01-29,45.7288
2023-01-30,45.7288
2023-01-31,45.7288
2023-02-01,45.7288
2023-02-02,45.7288
2023-02-03,45.7288
2023-02-04,45.7288
2023-02-05,45.7288
2023-02-06,45.7288
2023-02-07,45.7288
2023-02-08,45.7288
2023-02-09,45.7288
2023-02-10,45.7288
2023-02-11,45.7288
2023-02-12,45.7288
2023-02-13,45.7288
2023-02-14,45.7288
2023-02-15,45.7288
2023-02-16,45.7288
2023-02-17,45.7288
2023-02-18,45.7288
2023-02-19,45.7288
2023-02-20,45.7288
2023-02-21,45.7288
2023-02-22,45.7288
2023-02-23,45.7288
2023-02-24,45.7288
2023-02-25,45.7288
2023-02-26,45.7288
2023-02-27,45.7288
2023-02-28,45.7288
2023-03-01,45.7288
2023-03-02,45.7288
2023-03-03,45.7288
2023-03-04,45.7288
2023-03-05,45.7288
2023-03-06,45.7288
2023-03-07,45.7288
2023-03-08,45.7288
2023-03-09,45.7288
2023-03-10,45.7288
2023-03-11,45.7288
