,6758 JP Equity,6758 JP Equity,6758 JP Equity,6758 JP Equity,6758 JP Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-06-06,2479.3,2508.8,2465.9,2479.3,5595500.0
2010-06-07,2399.7,2402.4,2356.7,2361.2,6082100.0
2010-06-08,2326.3,2358.5,2318.3,2334.4,6625300.0
2010-06-09,2317.4,2326.3,2277.1,2295.0,5941800.0
2010-06-10,2287.8,2292.3,2227.9,2258.3,8479100.0
2010-06-11,2319.2,2341.5,2290.5,2300.4,10414200.0
2010-06-12,2319.2,2341.5,2290.5,2300.4,10414200.0
2010-06-13,2319.2,2341.5,2290.5,2300.4,10414200.0
2010-06-14,2357.6,2381.8,2332.6,2342.4,6265500.0
2010-06-15,2326.3,2357.6,2319.2,2338.8,5225700.0
2010-06-16,2381.8,2388.9,2349.6,2361.2,7389100.0
2010-06-17,2319.2,2325.4,2286.9,2294.1,8373200.0
2010-06-18,2296.8,2318.3,2272.6,2280.7,6406800.0
2010-06-19,2296.8,2318.3,2272.6,2280.7,6406800.0
2010-06-20,2296.8,2318.3,2272.6,2280.7,6406800.0
2010-06-21,2286.9,2348.7,2286.1,2345.1,7303300.0
2010-06-22,2303.9,2315.6,2269.1,2269.1,8081400.0
2010-06-23,2245.8,2259.2,2230.6,2255.6,6365500.0
2010-06-24,2228.8,2262.8,2209.1,2230.6,8459500.0
2010-06-25,2201.1,2210.0,2175.1,2184.9,6973700.0
2010-06-26,2201.1,2210.0,2175.1,2184.9,6973700.0
2010-06-27,2201.1,2210.0,2175.1,2184.9,6973700.0
2010-06-28,2184.9,2193.9,2159.9,2169.7,4602000.0
2010-06-29,2173.3,2220.7,2161.7,2174.2,9195800.0
2010-06-30,2129.5,2132.2,2102.6,2132.2,8673700.0
2010-07-01,2097.3,2108.9,2038.2,2054.3,11540400.0
2010-07-02,2076.7,2093.7,2059.7,2066.8,10253600.0
2010-07-03,2076.7,2093.7,2059.7,2066.8,10253600.0
2010-07-04,2076.7,2093.7,2059.7,2066.8,10253600.0
2010-07-05,2096.4,2108.0,2077.6,2084.7,5031400.0
2010-07-06,2056.1,2115.2,2020.3,2112.5,7612700.0
2010-07-07,2108.0,2110.7,2055.2,2076.7,6444000.0
2010-07-08,2145.6,2177.8,2138.4,2167.9,7410700.0
2010-07-09,2192.1,2206.4,2170.6,2187.6,6449100.0
2010-07-10,2192.1,2206.4,2170.6,2187.6,6449100.0
2010-07-11,2192.1,2206.4,2170.6,2187.6,6449100.0
2010-07-12,2232.4,2294.1,2227.9,2265.5,10162200.0
2010-07-13,2266.4,2286.1,2256.5,2278.0,7103200.0
2010-07-14,2344.2,2348.7,2303.1,2319.2,5576500.0
2010-07-15,2291.4,2295.0,2247.6,2263.7,5731100.0
2010-07-16,2236.8,2252.1,2140.2,2150.9,12029400.0
2010-07-17,2236.8,2252.1,2140.2,2150.9,12029400.0
2010-07-18,2236.8,2252.1,2140.2,2150.9,12029400.0
2010-07-19,2236.8,2252.1,2140.2,2150.9,12029400.0
2010-07-20,2111.6,2116.9,2082.9,2090.1,7829500.0
2010-07-21,2125.0,2132.2,2081.2,2099.9,5797400.0
2010-07-22,2067.7,2150.9,2067.7,2145.6,10002500.0
2010-07-23,2196.6,2250.3,2190.3,2248.5,11603400.0
2010-07-24,2196.6,2250.3,2190.3,2248.5,11603400.0
2010-07-25,2196.6,2250.3,2190.3,2248.5,11603400.0
2010-07-26,2279.8,2286.1,2244.0,2247.6,7649400.0
2010-07-27,2248.5,2285.2,2229.7,2271.7,6562500.0
2010-07-28,2329.0,2346.9,2318.3,2333.5,7820300.0
2010-07-29,2310.2,2350.5,2305.7,2336.2,4550600.0
2010-07-30,2445.3,2456.1,2393.4,2420.3,17670900.0
2010-07-31,2445.3,2456.1,2393.4,2420.3,17670900.0
2010-08-01,2445.3,2456.1,2393.4,2420.3,17670900.0
2010-08-02,2433.7,2494.5,2420.3,2471.3,9961400.0
2010-08-03,2502.6,2507.9,2417.6,2441.7,9531500.0
2010-08-04,2434.6,2434.6,2366.6,2368.4,6900200.0
2010-08-05,2427.4,2429.2,2371.1,2429.2,8114200.0
