,TRPL4 BZ Equity,TRPL4 BZ Equity,TRPL4 BZ Equity,TRPL4 BZ Equity,TRPL4 BZ Equity
2010-02-08,4.024,4.087,3.965,4.084,483485.0
2010-02-09,4.138,4.149,4.072,4.149,845090.0
2010-02-10,4.149,4.183,4.089,4.167,557743.0
2010-02-11,4.167,4.188,4.098,4.14,358780.0
2010-02-12,4.115,4.184,4.115,4.115,346672.0
2010-02-13,4.115,4.184,4.115,4.115,346672.0
2010-02-14,4.115,4.184,4.115,4.115,346672.0
2010-02-15,4.115,4.184,4.115,4.115,346672.0
2010-02-16,4.115,4.184,4.115,4.115,346672.0
2010-02-17,4.137,4.244,4.137,4.194,436266.0
2010-02-18,4.231,4.231,4.116,4.201,407613.0
2010-02-19,4.201,4.214,4.107,4.141,528686.0
2010-02-20,4.201,4.214,4.107,4.141,528686.0
2010-02-21,4.201,4.214,4.107,4.141,528686.0
2010-02-22,4.182,4.188,4.073,4.107,751863.0
2010-02-23,4.107,4.107,4.053,4.084,444742.0
2010-02-24,4.117,4.118,4.052,4.094,489942.0
2010-02-25,4.04,4.107,4.012,4.097,449988.0
2010-02-26,4.078,4.163,4.028,4.163,1040017.0
2010-02-27,4.078,4.163,4.028,4.163,1040017.0
2010-02-28,4.078,4.163,4.028,4.163,1040017.0
2010-03-01,4.162,4.197,4.123,4.169,595679.0
2010-03-02,4.199,4.224,4.163,4.206,496803.0
2010-03-03,4.231,4.236,4.151,4.21,550479.0
2010-03-04,4.225,4.225,4.107,4.167,584379.0
2010-03-05,4.232,4.232,4.184,4.197,318826.0
2010-03-06,4.232,4.232,4.184,4.197,318826.0
2010-03-07,4.232,4.232,4.184,4.197,318826.0
2010-03-08,4.213,4.213,4.145,4.145,359587.0
2010-03-09,4.146,4.282,4.146,4.276,747061.0
2010-03-10,4.286,4.335,4.218,4.218,536786.0
2010-03-11,4.22,4.235,4.147,4.166,833835.0
2010-03-12,4.209,4.209,4.077,4.077,830202.0
2010-03-13,4.209,4.209,4.077,4.077,830202.0
2010-03-14,4.209,4.209,4.077,4.077,830202.0
2010-03-15,4.079,4.112,4.034,4.051,594097.0
2010-03-16,4.088,4.088,4.022,4.022,1207567.0
2010-03-17,4.038,4.06,4.008,4.02,849575.0
2010-03-18,4.046,4.066,3.992,4.045,494408.0
2010-03-19,4.046,4.055,4.016,4.025,640107.0
2010-03-20,4.046,4.055,4.016,4.025,640107.0
2010-03-21,4.046,4.055,4.016,4.025,640107.0
2010-03-22,4.016,4.046,4.009,4.042,625174.0
2010-03-23,4.054,4.055,4.016,4.038,393105.0
2010-03-24,4.021,4.034,3.998,4.002,389876.0
2010-03-25,4.016,4.037,3.943,3.969,487547.0
2010-03-26,3.969,4.012,3.906,3.943,721231.0
2010-03-27,3.969,4.012,3.906,3.943,721231.0
2010-03-28,3.969,4.012,3.906,3.943,721231.0
2010-03-29,3.982,3.982,3.931,3.952,627596.0
2010-03-30,3.961,4.012,3.908,4.012,1042495.0
2010-03-31,3.964,4.025,3.964,4.025,1366585.0
2010-04-01,4.023,4.025,3.991,4.021,586832.0
2010-04-02,4.023,4.025,3.991,4.021,586832.0
2010-04-03,4.023,4.025,3.991,4.021,586832.0
2010-04-04,4.023,4.025,3.991,4.021,586832.0
2010-04-05,4.021,4.058,4.002,4.058,613873.0
2010-04-06,4.026,4.089,4.013,4.089,698225.0
2010-04-07,4.077,4.114,4.055,4.098,738989.0
2010-04-08,4.099,4.132,4.081,4.119,782981.0
2010-04-09,4.125,4.156,4.095,4.131,765223.0
2010-04-10,4.125,4.156,4.095,4.131,765223.0
2010-04-11,4.125,4.156,4.095,4.131,765223.0
2010-04-12,4.104,4.166,4.104,4.134,515799.0
2010-04-13,4.162,4.162,4.113,4.147,328126.0
2010-04-14,4.164,4.164,4.122,4.126,455663.0
2010-04-15,4.121,4.151,4.121,4.121,563020.0
2010-04-16,4.103,4.153,4.077,4.147,819709.0
2010-04-17,4.103,4.153,4.077,4.147,819709.0
2010-04-18,4.103,4.153,4.077,4.147,819709.0
2010-04-19,4.156,4.165,4.125,4.161,436694.0
2010-04-20,4.159,4.159,4.087,4.154,414496.0
2010-04-21,4.159,4.159,4.087,4.154,414496.0
2010-04-22,4.111,4.156,4.059,4.143,369696.0
2010-04-23,4.115,4.165,4.097,4.165,566652.0
2010-04-24,4.115,4.165,4.097,4.165,566652.0
2010-04-25,4.115,4.165,4.097,4.165,566652.0
2010-04-26,4.156,4.191,4.126,4.164,617506.0
2010-04-27,4.169,4.18,4.044,4.079,564634.0
2010-04-28,4.144,4.169,4.066,4.147,621945.0
2010-04-29,4.119,4.223,4.119,4.192,381804.0
2010-04-30,4.169,4.169,4.009,4.08,1368199.0
2010-05-01,4.169,4.169,4.009,4.08,1368199.0
2010-05-02,4.169,4.169,4.009,4.08,1368199.0
2010-05-03,4.087,4.14,4.086,4.119,657058.0
2010-05-04,4.087,4.16,4.06,4.077,850382.0
2010-05-05,4.017,4.121,4.017,4.046,621945.0
2010-05-06,4.093,4.093,3.927,3.997,949667.0
2010-05-07,3.935,3.997,3.848,3.971,692575.0
2010-05-08,3.935,3.997,3.848,3.971,692575.0
2010-05-09,3.935,3.997,3.848,3.971,692575.0
2010-05-10,4.029,4.095,3.934,4.095,339426.0
2010-05-11,4.044,4.103,4.033,4.059,365257.0
2010-05-12,4.062,4.122,4.022,4.122,709526.0
2010-05-13,4.122,4.122,4.043,4.043,272429.0
2010-05-14,4.051,4.07,3.993,4.06,479071.0
2010-05-15,4.051,4.07,3.993,4.06,479071.0
2010-05-16,4.051,4.07,3.993,4.06,479071.0
2010-05-17,4.015,4.104,4.008,4.104,523467.0
2010-05-18,4.077,4.127,4.022,4.104,464946.0
2010-05-19,4.093,4.103,3.99,4.01,941595.0
2010-05-20,3.988,3.988,3.884,3.962,700243.0
2010-05-21,3.988,4.011,3.884,3.989,472614.0
2010-05-22,3.988,4.011,3.884,3.989,472614.0
2010-05-23,3.988,4.011,3.884,3.989,472614.0
2010-05-24,3.955,4.005,3.93,3.975,268797.0
2010-05-25,3.881,3.979,3.881,3.979,255478.0
2010-05-26,3.931,3.983,3.927,3.972,601362.0
2010-05-27,3.955,3.996,3.935,3.935,986798.0
2010-05-28,3.948,3.952,3.888,3.922,469789.0
2010-05-29,3.948,3.952,3.888,3.922,469789.0
2010-05-30,3.948,3.952,3.888,3.922,469789.0
2010-05-31,3.926,4.015,3.905,4.015,622349.0
2010-06-01,3.93,3.996,3.909,3.926,441537.0
2010-06-02,3.927,4.001,3.926,3.979,405617.0
2010-06-03,3.927,4.001,3.926,3.979,405617.0
2010-06-04,3.925,4.012,3.921,4.005,350727.0
2010-06-05,3.925,4.012,3.921,4.005,350727.0
2010-06-06,3.925,4.012,3.921,4.005,350727.0
2010-06-07,3.973,4.095,3.945,4.06,462928.0
2010-06-08,4.085,4.104,4.026,4.103,477457.0
2010-06-09,4.104,4.114,4.033,4.095,898007.0
2010-06-10,4.095,4.14,4.024,4.024,789842.0
2010-06-11,4.015,4.058,3.979,3.997,344673.0
2010-06-12,4.015,4.058,3.979,3.997,344673.0
2010-06-13,4.015,4.058,3.979,3.997,344673.0
2010-06-14,4.006,4.069,3.99,4.069,456874.0
2010-06-15,4.1,4.142,4.057,4.131,458892.0
2010-06-16,4.079,4.191,4.079,4.14,647776.0
2010-06-17,4.114,4.188,4.113,4.166,481897.0
2010-06-18,4.188,4.207,4.14,4.167,359203.0
2010-06-19,4.188,4.207,4.14,4.167,359203.0
2010-06-20,4.188,4.207,4.14,4.167,359203.0
2010-06-21,4.21,4.21,4.104,4.104,420550.0
2010-06-22,4.203,4.203,4.069,4.069,1379096.0
2010-06-23,4.103,4.153,4.087,4.126,529521.0
2010-06-24,4.088,4.109,4.032,4.081,534364.0
2010-06-25,4.13,4.178,4.078,4.171,412478.0
2010-06-26,4.13,4.178,4.078,4.171,412478.0
2010-06-27,4.13,4.178,4.078,4.171,412478.0
2010-06-28,4.149,4.211,4.149,4.211,196956.0
2010-06-29,4.177,4.216,4.089,4.176,829395.0
2010-06-30,4.14,4.219,4.105,4.149,629210.0
2010-07-01,4.186,4.186,4.069,4.079,2970082.0
2010-07-02,4.087,4.122,4.06,4.079,780156.0
2010-07-03,4.087,4.122,4.06,4.079,780156.0
2010-07-04,4.087,4.122,4.06,4.079,780156.0
2010-07-05,4.073,4.158,4.069,4.131,201799.0
2010-07-06,4.161,4.191,4.127,4.185,546069.0
2010-07-07,4.194,4.22,4.165,4.203,847153.0
2010-07-08,4.223,4.233,4.146,4.214,756344.0
2010-07-09,4.223,4.233,4.146,4.214,756344.0
2010-07-10,4.223,4.233,4.146,4.214,756344.0
2010-07-11,4.223,4.233,4.146,4.214,756344.0
2010-07-12,4.214,4.215,4.114,4.142,436694.0
2010-07-13,4.152,4.223,4.128,4.223,597326.0
2010-07-14,4.2,4.2,4.114,4.15,577953.0
2010-07-15,4.159,4.159,4.1,4.105,645758.0
2010-07-16,4.099,4.142,4.091,4.123,493601.0
2010-07-17,4.099,4.142,4.091,4.123,493601.0
2010-07-18,4.099,4.142,4.091,4.123,493601.0
2010-07-19,4.119,4.146,4.103,4.124,275658.0
2010-07-20,4.133,4.16,4.108,4.16,346288.0
2010-07-21,4.14,4.196,4.133,4.174,511359.0
2010-07-22,4.197,4.243,4.174,4.243,450012.0
2010-07-23,4.221,4.267,4.221,4.267,466964.0
2010-07-24,4.221,4.267,4.221,4.267,466964.0
2010-07-25,4.221,4.267,4.221,4.267,466964.0
2010-07-26,4.245,4.255,4.193,4.193,329336.0
2010-07-27,4.248,4.256,4.193,4.21,459295.0
2010-07-28,4.21,4.257,4.205,4.257,328529.0
2010-07-29,4.26,4.336,4.245,4.336,387455.0
2010-07-30,4.241,4.396,4.241,4.396,668359.0
2010-07-31,4.241,4.396,4.241,4.396,668359.0
2010-08-01,4.241,4.396,4.241,4.396,668359.0
2010-08-02,4.412,4.439,4.371,4.439,494812.0
2010-08-03,4.417,4.437,4.378,4.405,540822.0
2010-08-04,4.407,4.496,4.378,4.496,566652.0
2010-08-05,4.406,4.518,4.406,4.446,329336.0
2010-08-06,4.369,4.497,4.369,4.426,336198.0
2010-08-07,4.369,4.497,4.369,4.426,336198.0
2010-08-08,4.369,4.497,4.369,4.426,336198.0
2010-08-09,4.404,4.405,4.324,4.36,576339.0
2010-08-10,4.336,4.433,4.329,4.401,437097.0
2010-08-11,4.4,4.417,4.333,4.378,387051.0
2010-08-12,4.334,4.44,4.332,4.391,1041688.0
2010-08-13,4.342,4.405,4.333,4.351,498444.0
2010-08-14,4.342,4.405,4.333,4.351,498444.0
2010-08-15,4.342,4.405,4.333,4.351,498444.0
2010-08-16,4.337,4.373,4.321,4.342,869351.0
2010-08-17,4.372,4.401,4.342,4.36,383419.0
2010-08-18,4.401,4.451,4.368,4.451,673606.0
2010-08-19,4.451,4.485,4.375,4.478,397545.0
2010-08-20,4.456,4.495,4.432,4.494,353552.0
2010-08-21,4.456,4.495,4.432,4.494,353552.0
2010-08-22,4.456,4.495,4.432,4.494,353552.0
2010-08-23,4.496,4.55,4.469,4.487,422971.0
2010-08-24,4.451,4.5,4.429,4.479,308349.0
2010-08-25,4.442,4.508,4.442,4.505,316825.0
2010-08-26,4.481,4.538,4.46,4.514,661902.0
2010-08-27,4.502,4.549,4.478,4.523,576339.0
2010-08-28,4.502,4.549,4.478,4.523,576339.0
2010-08-29,4.502,4.549,4.478,4.523,576339.0
2010-08-30,4.48,4.545,4.48,4.505,545262.0
2010-08-31,4.53,4.536,4.469,4.523,1449726.0
2010-09-01,4.54,4.541,4.458,4.464,941595.0
2010-09-02,4.453,4.513,4.432,4.493,905272.0
2010-09-03,4.512,4.537,4.424,4.424,515395.0
2010-09-04,4.512,4.537,4.424,4.424,515395.0
2010-09-05,4.512,4.537,4.424,4.424,515395.0
2010-09-06,4.414,4.496,4.414,4.478,190902.0
2010-09-07,4.414,4.496,4.414,4.478,190902.0
2010-09-08,4.454,4.529,4.419,4.489,864508.0
2010-09-09,4.485,4.485,4.423,4.441,400370.0
2010-09-10,4.413,4.462,4.413,4.457,357588.0
2010-09-11,4.413,4.462,4.413,4.457,357588.0
2010-09-12,4.413,4.462,4.413,4.457,357588.0
2010-09-13,4.474,4.518,4.446,4.468,491583.0
2010-09-14,4.49,4.596,4.472,4.596,710333.0
2010-09-15,4.581,4.65,4.542,4.646,470596.0
2010-09-16,4.649,4.65,4.569,4.614,355570.0
2010-09-17,4.576,4.649,4.574,4.588,390280.0
2010-09-18,4.576,4.649,4.574,4.588,390280.0
2010-09-19,4.576,4.649,4.574,4.588,390280.0
2010-09-20,4.559,4.632,4.507,4.632,483511.0
2010-09-21,4.632,4.687,4.575,4.687,561809.0
2010-09-22,4.658,4.748,4.641,4.748,542033.0
2010-09-23,4.719,4.809,4.667,4.787,908500.0
2010-09-24,4.803,4.803,4.619,4.632,687732.0
2010-09-25,4.803,4.803,4.619,4.632,687732.0
2010-09-26,4.803,4.803,4.619,4.632,687732.0
2010-09-27,4.659,4.713,4.582,4.69,288977.0
2010-09-28,4.718,4.718,4.609,4.686,389876.0
2010-09-29,4.649,4.687,4.626,4.678,499655.0
2010-09-30,4.715,4.737,4.647,4.718,356378.0
2010-10-01,4.765,4.781,4.632,4.768,489161.0
2010-10-02,4.765,4.781,4.632,4.768,489161.0
2010-10-03,4.765,4.781,4.632,4.768,489161.0
2010-10-04,4.768,4.956,4.693,4.923,790246.0
2010-10-05,4.939,4.941,4.891,4.923,853611.0
2010-10-06,4.937,4.959,4.782,4.818,896392.0
2010-10-07,4.866,4.902,4.786,4.841,560598.0
2010-10-08,4.785,4.932,4.785,4.918,885092.0
2010-10-09,4.785,4.932,4.785,4.918,885092.0
2010-10-10,4.785,4.932,4.785,4.918,885092.0
2010-10-11,4.914,5.033,4.904,5.007,519431.0
2010-10-12,4.914,5.033,4.904,5.007,519431.0
2010-10-13,4.993,5.032,4.941,4.941,916976.0
2010-10-14,4.974,5.016,4.916,4.979,360010.0
2010-10-15,5.008,5.017,4.879,4.909,592483.0
2010-10-16,5.008,5.017,4.879,4.909,592483.0
2010-10-17,5.008,5.017,4.879,4.909,592483.0
2010-10-18,4.939,4.977,4.867,4.867,481089.0
2010-10-19,4.884,4.89,4.761,4.774,610241.0
2010-10-20,4.762,4.918,4.709,4.871,483915.0
2010-10-21,4.881,4.931,4.858,4.904,355167.0
2010-10-22,4.937,4.937,4.826,4.885,438712.0
2010-10-23,4.937,4.937,4.826,4.885,438712.0
2010-10-24,4.937,4.937,4.826,4.885,438712.0
2010-10-25,4.886,4.928,4.841,4.923,574321.0
2010-10-26,4.867,5.08,4.856,5.08,611855.0
2010-10-27,5.066,5.096,4.969,5.024,362431.0
2010-10-28,5.081,5.081,4.915,4.915,811637.0
2010-10-29,4.94,5.005,4.848,4.941,687732.0
2010-10-30,4.94,5.005,4.848,4.941,687732.0
2010-10-31,4.94,5.005,4.848,4.941,687732.0
2010-11-01,4.941,5.118,4.941,4.945,705894.0
2010-11-02,4.941,5.118,4.941,4.945,705894.0
2010-11-03,4.98,5.022,4.881,4.89,596922.0
2010-11-04,4.939,4.956,4.87,4.877,2233111.0
2010-11-05,4.938,4.938,4.856,4.856,231262.0
2010-11-06,4.938,4.938,4.856,4.856,231262.0
2010-11-07,4.938,4.938,4.856,4.856,231262.0
2010-11-08,4.923,4.932,4.858,4.931,434676.0
2010-11-09,4.932,4.988,4.876,4.988,380593.0
2010-11-10,4.941,5.03,4.914,4.93,600958.0
2010-11-11,4.928,4.929,4.829,4.913,338216.0
2010-11-12,4.813,4.919,4.813,4.861,236105.0
2010-11-13,4.813,4.919,4.813,4.861,236105.0
2010-11-14,4.813,4.919,4.813,4.861,236105.0
2010-11-15,4.813,4.919,4.813,4.861,236105.0
2010-11-16,4.816,4.876,4.738,4.848,495215.0
2010-11-17,4.821,4.985,4.791,4.985,535172.0
2010-11-18,4.988,5.062,4.951,5.044,538804.0
2010-11-19,4.975,5.035,4.964,5.009,593693.0
2010-11-20,4.975,5.035,4.964,5.009,593693.0
2010-11-21,4.975,5.035,4.964,5.009,593693.0
2010-11-22,4.988,5.077,4.988,5.075,448802.0
2010-11-23,4.997,5.118,4.997,5.081,586429.0
2010-11-24,5.119,5.249,5.119,5.249,1241873.0
2010-11-25,5.249,5.249,5.172,5.173,123905.0
2010-11-26,5.188,5.196,5.088,5.146,343462.0
2010-11-27,5.188,5.196,5.088,5.146,343462.0
2010-11-28,5.188,5.196,5.088,5.146,343462.0
2010-11-29,5.095,5.132,5.039,5.046,540822.0
2010-11-30,5.035,5.162,4.941,4.941,1493718.0
2010-12-01,5.033,5.174,4.994,5.08,647372.0
2010-12-02,5.155,5.156,5.053,5.085,548894.0
2010-12-03,5.118,5.222,5.053,5.207,420146.0
2010-12-04,5.118,5.222,5.053,5.207,420146.0
2010-12-05,5.118,5.222,5.053,5.207,420146.0
2010-12-06,5.22,5.22,5.035,5.035,235298.0
2010-12-07,5.078,5.157,4.998,5.086,634457.0
2010-12-08,5.078,5.106,4.976,5.007,452030.0
2010-12-09,4.967,5.054,4.952,4.955,477053.0
2010-12-10,5.006,5.142,5.006,5.128,505709.0
2010-12-11,5.006,5.142,5.006,5.128,505709.0
2010-12-12,5.006,5.142,5.006,5.128,505709.0
2010-12-13,5.127,5.127,5.028,5.108,270815.0
2010-12-14,5.081,5.118,5.036,5.072,589657.0
2010-12-15,5.026,5.114,5.025,5.025,627192.0
2010-12-16,5.089,5.118,4.988,5.002,249827.0
2010-12-17,4.987,5.142,4.953,5.127,460910.0
2010-12-18,4.987,5.142,4.953,5.127,460910.0
2010-12-19,4.987,5.142,4.953,5.127,460910.0
2010-12-20,5.16,5.221,5.031,5.221,542840.0
2010-12-21,5.192,5.192,5.115,5.15,517010.0
2010-12-22,5.113,5.162,5.091,5.091,659884.0
2010-12-23,5.119,5.18,5.119,5.179,251845.0
2010-12-24,5.119,5.18,5.119,5.179,251845.0
2010-12-25,5.119,5.18,5.119,5.179,251845.0
2010-12-26,5.119,5.18,5.119,5.179,251845.0
2010-12-27,5.13,5.173,5.1,5.1,173951.0
2010-12-28,5.11,5.161,5.109,5.116,110182.0
2010-12-29,5.152,5.205,5.091,5.095,265568.0
2010-12-30,5.143,5.239,5.137,5.137,546876.0
2010-12-31,5.143,5.239,5.137,5.137,546876.0
2011-01-01,5.143,5.239,5.137,5.137,546876.0
2011-01-02,5.143,5.239,5.137,5.137,546876.0
2011-01-03,5.22,5.342,5.176,5.291,589254.0
2011-01-04,5.296,5.42,5.216,5.216,778945.0
2011-01-05,5.212,5.319,5.212,5.314,627596.0
2011-01-06,5.276,5.339,5.276,5.286,436694.0
2011-01-07,5.276,5.342,5.253,5.28,340637.0
2011-01-08,5.276,5.342,5.253,5.28,340637.0
2011-01-09,5.276,5.342,5.253,5.28,340637.0
2011-01-10,5.248,5.313,5.184,5.184,592886.0
2011-01-11,5.221,5.285,5.132,5.179,1054603.0
2011-01-12,5.195,5.254,5.164,5.24,704279.0
2011-01-13,5.247,5.295,5.174,5.174,772084.0
2011-01-14,5.178,5.272,5.176,5.244,768452.0
2011-01-15,5.178,5.272,5.176,5.244,768452.0
2011-01-16,5.178,5.272,5.176,5.244,768452.0
2011-01-17,5.253,5.263,5.156,5.156,635668.0
2011-01-18,5.198,5.224,5.147,5.208,333776.0
2011-01-19,5.174,5.225,5.141,5.141,362835.0
2011-01-20,5.142,5.181,5.113,5.113,462120.0
2011-01-21,5.099,5.159,5.044,5.044,468578.0
2011-01-22,5.099,5.159,5.044,5.044,468578.0
2011-01-23,5.099,5.159,5.044,5.044,468578.0
2011-01-24,5.036,5.158,5.028,5.109,289380.0
2011-01-25,5.036,5.158,5.028,5.109,289380.0
2011-01-26,5.114,5.157,5.006,5.006,858050.0
2011-01-27,5.019,5.079,4.954,4.954,562213.0
2011-01-28,4.982,5.019,4.809,4.809,979130.0
2011-01-29,4.982,5.019,4.809,4.809,979130.0
2011-01-30,4.982,5.019,4.809,4.809,979130.0
2011-01-31,4.806,4.927,4.806,4.855,662709.0
2011-02-01,4.921,4.998,4.878,4.997,795896.0
2011-02-02,4.977,4.977,4.879,4.967,815269.0
2011-02-03,4.928,4.988,4.878,4.925,609030.0
2011-02-04,4.884,4.913,4.792,4.805,642125.0
2011-02-05,4.884,4.913,4.792,4.805,642125.0
2011-02-06,4.884,4.913,4.792,4.805,642125.0
2011-02-07,4.81,4.868,4.806,4.862,188077.0
2011-02-08,4.862,4.93,4.845,4.902,422164.0
2011-02-09,4.877,4.997,4.756,4.805,720827.0
2011-02-10,4.804,4.806,4.768,4.768,627192.0
2011-02-11,4.783,4.792,4.678,4.73,876212.0
2011-02-12,4.783,4.792,4.678,4.73,876212.0
2011-02-13,4.783,4.792,4.678,4.73,876212.0
2011-02-14,4.736,4.736,4.665,4.665,643336.0
2011-02-15,4.693,4.718,4.66,4.684,801143.0
2011-02-16,4.718,4.854,4.694,4.853,653830.0
2011-02-17,4.854,4.867,4.806,4.861,332565.0
2011-02-18,4.83,4.854,4.813,4.829,364853.0
2011-02-19,4.83,4.854,4.813,4.829,364853.0
2011-02-20,4.83,4.854,4.813,4.829,364853.0
2011-02-21,4.825,4.875,4.774,4.853,542436.0
2011-02-22,4.853,4.977,4.847,4.93,891953.0
2011-02-23,4.937,4.984,4.838,4.844,629614.0
2011-02-24,4.854,4.894,4.835,4.835,333776.0
2011-02-25,4.887,4.887,4.756,4.76,433868.0
2011-02-26,4.887,4.887,4.756,4.76,433868.0
2011-02-27,4.887,4.887,4.756,4.76,433868.0
2011-02-28,4.712,4.854,4.712,4.852,457681.0
2011-03-01,4.851,4.891,4.794,4.797,216329.0
2011-03-02,4.768,4.873,4.768,4.855,261532.0
2011-03-03,4.854,4.939,4.83,4.893,192920.0
2011-03-04,4.893,4.944,4.868,4.921,143681.0
2011-03-05,4.893,4.944,4.868,4.921,143681.0
2011-03-06,4.893,4.944,4.868,4.921,143681.0
2011-03-07,4.893,4.944,4.868,4.921,143681.0
2011-03-08,4.893,4.944,4.868,4.921,143681.0
2011-03-09,4.939,4.978,4.902,4.902,263550.0
2011-03-10,4.902,4.968,4.885,4.93,348306.0
2011-03-11,4.955,5.022,4.941,4.987,620331.0
2011-03-12,4.955,5.022,4.941,4.987,620331.0
2011-03-13,4.955,5.022,4.941,4.987,620331.0
2011-03-14,4.977,4.991,4.938,4.938,352342.0
2011-03-15,4.862,5.025,4.862,5.015,457681.0
2011-03-16,5.023,5.023,4.812,4.813,659884.0
2011-03-17,4.852,4.867,4.809,4.825,417321.0
2011-03-18,4.87,4.923,4.869,4.902,307542.0
2011-03-19,4.87,4.923,4.869,4.902,307542.0
2011-03-20,4.87,4.923,4.869,4.902,307542.0
2011-03-21,4.947,4.961,4.835,4.868,706701.0
2011-03-22,4.895,4.985,4.864,4.949,527907.0
2011-03-23,4.939,4.993,4.939,4.973,406827.0
2011-03-24,4.978,4.978,4.764,4.881,763608.0
2011-03-25,4.869,4.968,4.862,4.878,334180.0
2011-03-26,4.869,4.968,4.862,4.878,334180.0
2011-03-27,4.869,4.968,4.862,4.878,334180.0
2011-03-28,4.86,4.938,4.806,4.875,487143.0
2011-03-29,4.859,4.944,4.84,4.925,349920.0
2011-03-30,4.905,4.959,4.905,4.94,445573.0
2011-03-31,4.929,5.016,4.916,4.955,1105053.0
2011-04-01,5.006,5.101,4.978,5.025,1249137.0
2011-04-02,5.006,5.101,4.978,5.025,1249137.0
2011-04-03,5.006,5.101,4.978,5.025,1249137.0
2011-04-04,5.092,5.128,5.055,5.083,527907.0
2011-04-05,5.073,5.201,5.055,5.092,1100210.0
2011-04-06,5.11,5.116,5.075,5.082,961775.0
2011-04-07,5.094,5.153,4.947,5.006,1161960.0
2011-04-08,5.006,5.105,4.918,4.928,655848.0
2011-04-09,5.006,5.105,4.918,4.928,655848.0
2011-04-10,5.006,5.105,4.918,4.928,655848.0
2011-04-11,4.933,4.982,4.924,4.938,391894.0
2011-04-12,4.924,4.947,4.879,4.889,516606.0
2011-04-13,4.981,5.001,4.89,4.92,414899.0
2011-04-14,4.933,4.945,4.883,4.883,504902.0
2011-04-15,4.907,4.943,4.898,4.943,370100.0
2011-04-16,4.907,4.943,4.898,4.943,370100.0
2011-04-17,4.907,4.943,4.898,4.943,370100.0
2011-04-18,4.955,4.956,4.889,4.947,331354.0
2011-04-19,4.966,4.976,4.914,4.976,270411.0
2011-04-20,5.006,5.059,4.932,5.059,538400.0
2011-04-21,5.006,5.059,4.932,5.059,538400.0
2011-04-22,5.006,5.059,4.932,5.059,538400.0
2011-04-23,5.006,5.059,4.932,5.059,538400.0
2011-04-24,5.006,5.059,4.932,5.059,538400.0
2011-04-25,5.01,5.014,4.939,4.966,450012.0
2011-04-26,4.966,5.024,4.956,4.983,360817.0
2011-04-27,4.99,5.055,4.928,5.055,578301.0
2011-04-28,4.994,5.054,4.952,4.957,508888.0
2011-04-29,4.959,5.01,4.929,5.004,685647.0
2011-04-30,4.959,5.01,4.929,5.004,685647.0
2011-05-01,4.959,5.01,4.929,5.004,685647.0
2011-05-02,5.015,5.017,4.889,4.889,635202.0
2011-05-03,4.895,4.924,4.879,4.879,482657.0
2011-05-04,4.918,4.967,4.869,4.869,374907.0
2011-05-05,4.861,4.933,4.832,4.902,343429.0
2011-05-06,4.987,5.001,4.938,4.99,394681.0
2011-05-07,4.987,5.001,4.938,4.99,394681.0
