,TAEE11 BZ Equity,TAEE11 BZ Equity,TAEE11 BZ Equity,TAEE11 BZ Equity,TAEE11 BZ Equity
2010-05-20,2.593,2.593,2.558,2.593,33300.0
2010-05-21,2.593,2.593,2.558,2.593,33300.0
2010-05-22,2.593,2.593,2.558,2.593,33300.0
2010-05-23,2.593,2.593,2.558,2.593,33300.0
2010-05-24,2.653,2.653,2.584,2.584,5400.0
2010-05-25,2.601,2.601,2.498,2.498,16200.0
2010-05-26,2.498,2.626,2.381,2.381,25500.0
2010-05-27,2.412,2.481,2.214,2.299,46200.0
2010-05-28,2.24,2.352,2.24,2.352,1200.0
2010-05-29,2.24,2.352,2.24,2.352,1200.0
2010-05-30,2.24,2.352,2.24,2.352,1200.0
2010-05-31,2.403,2.446,2.403,2.445,1500.0
2010-06-01,2.412,2.412,2.327,2.327,8100.0
2010-06-02,2.377,2.377,2.377,2.377,2400.0
2010-06-03,2.377,2.377,2.377,2.377,2400.0
2010-06-04,2.377,2.38,2.377,2.38,2100.0
2010-06-05,2.377,2.38,2.377,2.38,2100.0
2010-06-06,2.377,2.38,2.377,2.38,2100.0
2010-06-07,2.377,2.38,2.377,2.38,2100.0
2010-06-08,2.326,2.369,2.326,2.369,600.0
2010-06-09,2.326,2.369,2.326,2.369,600.0
2010-06-10,2.402,2.402,2.394,2.394,1500.0
2010-06-11,2.326,2.401,2.326,2.401,1500.0
2010-06-12,2.326,2.401,2.326,2.401,1500.0
2010-06-13,2.326,2.401,2.326,2.401,1500.0
2010-06-14,2.403,2.446,2.335,2.335,5400.0
2010-06-15,2.327,2.36,2.326,2.326,6900.0
2010-06-16,2.326,2.327,2.285,2.326,7200.0
2010-06-17,2.359,2.368,2.359,2.368,4200.0
2010-06-18,2.369,2.369,2.359,2.359,9600.0
2010-06-19,2.369,2.369,2.359,2.359,9600.0
2010-06-20,2.369,2.369,2.359,2.359,9600.0
2010-06-21,2.368,2.377,2.352,2.359,143700.0
2010-06-22,2.385,2.386,2.369,2.373,10800.0
2010-06-23,2.386,2.386,2.283,2.334,384900.0
2010-06-24,2.369,2.369,2.191,2.196,20700.0
2010-06-25,2.154,2.179,2.153,2.153,636600.0
2010-06-26,2.154,2.179,2.153,2.153,636600.0
2010-06-27,2.154,2.179,2.153,2.153,636600.0
2010-06-28,2.111,2.111,2.033,2.034,615300.0
2010-06-29,2.035,2.153,1.921,2.153,2467200.0
2010-06-30,2.153,2.314,2.153,2.308,260100.0
2010-07-01,2.316,2.386,2.316,2.37,67200.0
2010-07-02,2.412,2.429,2.371,2.371,7500.0
2010-07-03,2.412,2.429,2.371,2.371,7500.0
2010-07-04,2.412,2.429,2.371,2.371,7500.0
2010-07-05,2.373,2.41,2.369,2.382,9300.0
2010-07-06,2.37,2.37,2.369,2.369,8400.0
2010-07-07,2.393,2.412,2.393,2.394,89100.0
2010-07-08,2.412,2.498,2.394,2.394,293100.0
2010-07-09,2.412,2.498,2.394,2.394,293100.0
2010-07-10,2.412,2.498,2.394,2.394,293100.0
2010-07-11,2.412,2.498,2.394,2.394,293100.0
2010-07-12,2.412,2.498,2.377,2.395,118500.0
2010-07-13,2.437,2.437,2.413,2.413,1800.0
2010-07-14,2.413,2.413,2.413,2.413,24300.0
2010-07-15,2.413,2.413,2.413,2.413,24300.0
2010-07-16,2.413,2.413,2.413,2.413,24300.0
2010-07-17,2.413,2.413,2.413,2.413,24300.0
2010-07-18,2.413,2.413,2.413,2.413,24300.0
2010-07-19,2.412,2.412,2.412,2.412,71400.0
2010-07-20,2.412,2.498,2.412,2.42,57600.0
2010-07-21,2.438,2.438,2.438,2.438,300.0
2010-07-22,2.438,2.438,2.438,2.438,300.0
2010-07-23,2.438,2.438,2.438,2.438,300.0
2010-07-24,2.438,2.438,2.438,2.438,300.0
2010-07-25,2.438,2.438,2.438,2.438,300.0
2010-07-26,2.438,2.438,2.438,2.438,300.0
2010-07-27,2.446,2.455,2.412,2.455,2100.0
2010-07-28,2.455,2.455,2.455,2.455,64800.0
2010-07-29,2.455,2.455,2.455,2.455,64800.0
2010-07-30,2.489,2.489,2.489,2.489,600.0
2010-07-31,2.489,2.489,2.489,2.489,600.0
2010-08-01,2.489,2.489,2.489,2.489,600.0
2010-08-02,2.489,2.489,2.489,2.489,8400.0
2010-08-03,2.489,2.524,2.489,2.524,6600.0
2010-08-04,2.524,2.54,2.524,2.54,36000.0
2010-08-05,2.524,2.54,2.524,2.54,36000.0
2010-08-06,2.524,2.54,2.524,2.54,36000.0
2010-08-07,2.524,2.54,2.524,2.54,36000.0
2010-08-08,2.524,2.54,2.524,2.54,36000.0
2010-08-09,2.583,2.881,2.583,2.756,27300.0
2010-08-10,2.756,2.756,2.756,2.756,5400.0
2010-08-11,2.714,2.756,2.714,2.756,600.0
2010-08-12,2.756,2.756,2.756,2.756,27600.0
2010-08-13,2.756,2.756,2.756,2.756,6900.0
2010-08-14,2.756,2.756,2.756,2.756,6900.0
2010-08-15,2.756,2.756,2.756,2.756,6900.0
2010-08-16,2.886,2.886,2.765,2.799,7500.0
2010-08-17,2.735,2.799,2.735,2.778,11700.0
2010-08-18,2.735,2.799,2.735,2.778,11700.0
2010-08-19,2.735,2.799,2.735,2.778,11700.0
2010-08-20,2.735,2.799,2.735,2.778,11700.0
2010-08-21,2.735,2.799,2.735,2.778,11700.0
2010-08-22,2.735,2.799,2.735,2.778,11700.0
2010-08-23,2.735,2.799,2.735,2.778,11700.0
2010-08-24,2.834,2.834,2.756,2.756,10200.0
2010-08-25,2.756,2.756,2.756,2.756,12300.0
2010-08-26,2.756,2.756,2.756,2.756,26100.0
2010-08-27,2.756,2.756,2.756,2.756,27300.0
2010-08-28,2.756,2.756,2.756,2.756,27300.0
2010-08-29,2.756,2.756,2.756,2.756,27300.0
2010-08-30,2.842,2.842,2.756,2.757,2700.0
2010-08-31,2.842,2.842,2.756,2.757,2700.0
2010-09-01,2.842,2.842,2.778,2.778,9300.0
2010-09-02,2.778,2.821,2.778,2.821,600.0
2010-09-03,2.838,2.842,2.838,2.842,12900.0
2010-09-04,2.838,2.842,2.838,2.842,12900.0
2010-09-05,2.838,2.842,2.838,2.842,12900.0
2010-09-06,2.838,2.842,2.838,2.842,12900.0
2010-09-07,2.838,2.842,2.838,2.842,12900.0
2010-09-08,2.838,2.842,2.838,2.842,12900.0
2010-09-09,2.842,2.842,2.842,2.842,7200.0
2010-09-10,2.842,2.842,2.842,2.842,7200.0
2010-09-11,2.842,2.842,2.842,2.842,7200.0
2010-09-12,2.842,2.842,2.842,2.842,7200.0
2010-09-13,2.842,2.842,2.842,2.842,7200.0
2010-09-14,2.842,2.842,2.842,2.842,7200.0
2010-09-15,2.834,2.842,2.799,2.842,13200.0
2010-09-16,2.834,2.842,2.799,2.842,13200.0
2010-09-17,2.834,2.842,2.799,2.842,13200.0
2010-09-18,2.834,2.842,2.799,2.842,13200.0
2010-09-19,2.834,2.842,2.799,2.842,13200.0
2010-09-20,2.807,2.86,2.807,2.86,36300.0
2010-09-21,2.86,2.86,2.86,2.86,150000.0
2010-09-22,2.86,2.86,2.86,2.86,150000.0
2010-09-23,2.842,2.842,2.842,2.842,189000.0
2010-09-24,2.842,2.842,2.842,2.842,28500.0
2010-09-25,2.842,2.842,2.842,2.842,28500.0
2010-09-26,2.842,2.842,2.842,2.842,28500.0
2010-09-27,2.842,2.842,2.842,2.842,28500.0
2010-09-28,2.842,2.842,2.842,2.842,28500.0
2010-09-29,2.842,2.861,2.799,2.861,4200.0
2010-09-30,2.862,2.862,2.862,2.862,900.0
2010-10-01,2.86,2.86,2.842,2.86,8100.0
2010-10-02,2.86,2.86,2.842,2.86,8100.0
2010-10-03,2.86,2.86,2.842,2.86,8100.0
2010-10-04,2.86,2.86,2.86,2.86,6900.0
2010-10-05,2.86,2.86,2.86,2.86,6900.0
2010-10-06,2.86,2.86,2.86,2.86,66300.0
2010-10-07,2.86,2.86,2.86,2.86,66300.0
2010-10-08,2.86,2.86,2.86,2.86,66300.0
2010-10-09,2.86,2.86,2.86,2.86,66300.0
2010-10-10,2.86,2.86,2.86,2.86,66300.0
2010-10-11,2.881,2.881,2.86,2.86,27300.0
2010-10-12,2.881,2.881,2.86,2.86,27300.0
2010-10-13,2.881,2.881,2.86,2.86,27300.0
2010-10-14,2.881,2.881,2.86,2.86,27300.0
2010-10-15,2.881,2.881,2.86,2.86,27300.0
2010-10-16,2.881,2.881,2.86,2.86,27300.0
2010-10-17,2.881,2.881,2.86,2.86,27300.0
2010-10-18,2.86,2.86,2.86,2.86,18000.0
2010-10-19,2.842,2.864,2.842,2.864,9600.0
2010-10-20,2.811,2.86,2.811,2.86,6000.0
2010-10-21,2.929,2.929,2.929,2.929,600.0
2010-10-22,2.929,2.929,2.929,2.929,13500.0
2010-10-23,2.929,2.929,2.929,2.929,13500.0
2010-10-24,2.929,2.929,2.929,2.929,13500.0
2010-10-25,2.929,2.929,2.929,2.929,13500.0
2010-10-26,2.929,2.929,2.929,2.929,13500.0
2010-10-27,2.928,2.928,2.928,2.928,102300.0
2010-10-28,2.928,2.928,2.928,2.928,102300.0
2010-10-29,2.928,2.928,2.928,2.928,102300.0
2010-10-30,2.928,2.928,2.928,2.928,102300.0
2010-10-31,2.928,2.928,2.928,2.928,102300.0
2010-11-01,2.954,2.954,2.929,2.929,7500.0
2010-11-02,2.954,2.954,2.929,2.929,7500.0
2010-11-03,2.954,2.954,2.929,2.929,7500.0
2010-11-04,2.842,2.927,2.842,2.927,900.0
2010-11-05,2.927,2.927,2.927,2.927,7500.0
2010-11-06,2.927,2.927,2.927,2.927,7500.0
2010-11-07,2.927,2.927,2.927,2.927,7500.0
2010-11-08,2.841,2.886,2.841,2.842,4500.0
2010-11-09,2.861,2.906,2.852,2.852,16800.0
2010-11-10,2.772,2.851,2.772,2.851,2400.0
2010-11-11,2.772,2.851,2.772,2.851,2400.0
2010-11-12,2.772,2.851,2.772,2.851,2400.0
2010-11-13,2.772,2.851,2.772,2.851,2400.0
2010-11-14,2.772,2.851,2.772,2.851,2400.0
2010-11-15,2.772,2.851,2.772,2.851,2400.0
2010-11-16,2.772,2.851,2.772,2.851,2400.0
2010-11-17,2.772,2.851,2.772,2.851,2400.0
2010-11-18,2.817,2.817,2.817,2.817,17400.0
2010-11-19,2.817,2.817,2.817,2.817,17400.0
2010-11-20,2.817,2.817,2.817,2.817,17400.0
2010-11-21,2.817,2.817,2.817,2.817,17400.0
2010-11-22,2.817,2.817,2.817,2.817,17400.0
2010-11-23,2.817,2.817,2.817,2.817,47700.0
2010-11-24,2.817,2.817,2.817,2.817,12000.0
2010-11-25,2.817,2.817,2.817,2.817,12000.0
2010-11-26,2.817,2.817,2.817,2.817,66000.0
2010-11-27,2.817,2.817,2.817,2.817,66000.0
2010-11-28,2.817,2.817,2.817,2.817,66000.0
2010-11-29,2.816,2.816,2.816,2.816,13200.0
2010-11-30,2.816,2.816,2.816,2.816,9900.0
2010-12-01,2.816,2.816,2.79,2.79,13800.0
2010-12-02,2.772,2.772,2.772,2.772,12000.0
2010-12-03,2.772,2.772,2.772,2.772,12000.0
2010-12-04,2.772,2.772,2.772,2.772,12000.0
2010-12-05,2.772,2.772,2.772,2.772,12000.0
2010-12-06,2.727,2.727,2.727,2.727,600.0
2010-12-07,2.727,2.727,2.727,2.727,45000.0
2010-12-08,2.727,2.727,2.727,2.727,45000.0
2010-12-09,2.682,2.727,2.682,2.727,26400.0
2010-12-10,2.727,2.727,2.727,2.727,165600.0
2010-12-11,2.727,2.727,2.727,2.727,165600.0
2010-12-12,2.727,2.727,2.727,2.727,165600.0
2010-12-13,2.727,2.727,2.727,2.727,105000.0
2010-12-14,2.682,2.727,2.682,2.727,107400.0
2010-12-15,2.682,2.727,2.682,2.727,107400.0
2010-12-16,2.727,2.727,2.727,2.727,600.0
2010-12-17,2.727,2.727,2.727,2.727,105000.0
2010-12-18,2.727,2.727,2.727,2.727,105000.0
2010-12-19,2.727,2.727,2.727,2.727,105000.0
2010-12-20,2.727,2.727,2.727,2.727,105000.0
2010-12-21,2.727,2.727,2.727,2.727,105000.0
2010-12-22,2.727,2.727,2.727,2.727,105000.0
2010-12-23,2.727,2.727,2.727,2.727,105000.0
2010-12-24,2.727,2.727,2.727,2.727,105000.0
2010-12-25,2.727,2.727,2.727,2.727,105000.0
2010-12-26,2.727,2.727,2.727,2.727,105000.0
2010-12-27,2.727,2.727,2.727,2.727,105000.0
2010-12-28,2.728,2.728,2.728,2.728,13800.0
2010-12-29,2.728,2.728,2.728,2.728,73800.0
2010-12-30,2.728,2.728,2.728,2.728,73800.0
2010-12-31,2.728,2.728,2.728,2.728,73800.0
2011-01-01,2.728,2.728,2.728,2.728,73800.0
2011-01-02,2.728,2.728,2.728,2.728,73800.0
2011-01-03,2.728,2.728,2.728,2.728,73800.0
2011-01-04,2.728,2.728,2.728,2.728,73800.0
2011-01-05,2.728,2.728,2.728,2.728,73800.0
2011-01-06,2.728,2.728,2.728,2.728,73800.0
2011-01-07,2.728,2.728,2.728,2.728,73800.0
2011-01-08,2.728,2.728,2.728,2.728,73800.0
2011-01-09,2.728,2.728,2.728,2.728,73800.0
2011-01-10,2.728,2.728,2.728,2.728,73800.0
2011-01-11,2.728,2.728,2.728,2.728,73800.0
2011-01-12,2.728,2.728,2.728,2.728,73800.0
2011-01-13,2.73,2.73,2.73,2.73,11700.0
2011-01-14,2.767,2.767,2.767,2.767,33000.0
2011-01-15,2.767,2.767,2.767,2.767,33000.0
2011-01-16,2.767,2.767,2.767,2.767,33000.0
2011-01-17,2.821,2.821,2.767,2.767,7200.0
2011-01-18,2.821,2.821,2.767,2.767,7200.0
2011-01-19,2.821,2.821,2.767,2.767,7200.0
2011-01-20,2.772,2.772,2.772,2.772,300.0
2011-01-21,2.772,2.772,2.772,2.772,300.0
2011-01-22,2.772,2.772,2.772,2.772,300.0
2011-01-23,2.772,2.772,2.772,2.772,300.0
2011-01-24,2.772,2.772,2.772,2.772,300.0
2011-01-25,2.772,2.772,2.772,2.772,300.0
2011-01-26,2.772,2.772,2.772,2.772,300.0
2011-01-27,2.772,2.772,2.772,2.772,300.0
2011-01-28,2.772,2.772,2.772,2.772,300.0
2011-01-29,2.772,2.772,2.772,2.772,300.0
2011-01-30,2.772,2.772,2.772,2.772,300.0
2011-01-31,2.772,2.772,2.754,2.772,16800.0
2011-02-01,2.772,2.772,2.754,2.772,16800.0
2011-02-02,2.772,2.772,2.754,2.772,16800.0
2011-02-03,2.772,2.772,2.754,2.772,16800.0
2011-02-04,2.763,2.772,2.763,2.772,193800.0
2011-02-05,2.763,2.772,2.763,2.772,193800.0
2011-02-06,2.763,2.772,2.763,2.772,193800.0
2011-02-07,2.773,2.773,2.772,2.772,12000.0
2011-02-08,2.772,2.772,2.772,2.772,98700.0
2011-02-09,2.772,2.772,2.772,2.772,98700.0
2011-02-10,2.772,2.772,2.772,2.772,98700.0
2011-02-11,2.772,2.772,2.772,2.772,98700.0
2011-02-12,2.772,2.772,2.772,2.772,98700.0
2011-02-13,2.772,2.772,2.772,2.772,98700.0
2011-02-14,2.772,2.772,2.772,2.772,98700.0
2011-02-15,2.772,2.781,2.772,2.781,43800.0
2011-02-16,2.781,2.781,2.781,2.781,300.0
2011-02-17,2.781,2.781,2.781,2.781,300.0
2011-02-18,2.781,2.781,2.781,2.781,300.0
2011-02-19,2.781,2.781,2.781,2.781,300.0
2011-02-20,2.781,2.781,2.781,2.781,300.0
2011-02-21,2.781,2.781,2.781,2.781,300.0
2011-02-22,2.781,2.782,2.781,2.782,2700.0
2011-02-23,2.781,2.782,2.781,2.782,2700.0
2011-02-24,2.781,2.782,2.781,2.782,2700.0
2011-02-25,2.781,2.782,2.781,2.782,2700.0
2011-02-26,2.781,2.782,2.781,2.782,2700.0
2011-02-27,2.781,2.782,2.781,2.782,2700.0
2011-02-28,2.781,2.782,2.781,2.782,2700.0
2011-03-01,2.781,2.782,2.781,2.782,2700.0
2011-03-02,2.781,2.782,2.781,2.782,2700.0
2011-03-03,2.781,2.782,2.781,2.782,2700.0
2011-03-04,2.781,2.782,2.781,2.782,2700.0
2011-03-05,2.781,2.782,2.781,2.782,2700.0
2011-03-06,2.781,2.782,2.781,2.782,2700.0
2011-03-07,2.781,2.782,2.781,2.782,2700.0
2011-03-08,2.781,2.782,2.781,2.782,2700.0
2011-03-09,2.781,2.782,2.781,2.782,2700.0
2011-03-10,2.781,2.782,2.781,2.782,2700.0
2011-03-11,2.906,3.13,2.906,3.13,639900.0
2011-03-12,2.906,3.13,2.906,3.13,639900.0
2011-03-13,2.906,3.13,2.906,3.13,639900.0
2011-03-14,2.906,3.13,2.906,3.13,639900.0
2011-03-15,2.906,3.13,2.906,3.13,639900.0
2011-03-16,2.906,3.13,2.906,3.13,639900.0
2011-03-17,2.906,3.13,2.906,3.13,639900.0
2011-03-18,2.906,3.13,2.906,3.13,639900.0
2011-03-19,2.906,3.13,2.906,3.13,639900.0
2011-03-20,2.906,3.13,2.906,3.13,639900.0
2011-03-21,2.906,3.13,2.906,3.13,639900.0
2011-03-22,2.906,3.13,2.906,3.13,639900.0
2011-03-23,2.906,3.13,2.906,3.13,639900.0
2011-03-24,2.906,3.13,2.906,3.13,639900.0
2011-03-25,2.906,3.13,2.906,3.13,639900.0
2011-03-26,2.906,3.13,2.906,3.13,639900.0
2011-03-27,2.906,3.13,2.906,3.13,639900.0
2011-03-28,3.13,3.13,3.13,3.13,6600.0
2011-03-29,3.13,3.13,3.13,3.13,59100.0
2011-03-30,3.13,3.13,3.13,3.13,1500.0
2011-03-31,3.13,3.13,3.13,3.13,1500.0
2011-04-01,3.13,3.13,3.13,3.13,1500.0
2011-04-02,3.13,3.13,3.13,3.13,1500.0
2011-04-03,3.13,3.13,3.13,3.13,1500.0
2011-04-04,3.13,3.13,3.13,3.13,1500.0
2011-04-05,3.13,3.13,3.13,3.13,1500.0
2011-04-06,3.13,3.13,3.13,3.13,1500.0
2011-04-07,3.13,3.13,3.13,3.13,1500.0
2011-04-08,3.13,3.13,3.13,3.13,1500.0
2011-04-09,3.13,3.13,3.13,3.13,1500.0
2011-04-10,3.13,3.13,3.13,3.13,1500.0
2011-04-11,3.13,3.13,3.13,3.13,1500.0
2011-04-12,3.13,3.13,3.13,3.13,1500.0
2011-04-13,3.13,3.13,3.13,3.13,2400.0
2011-04-14,3.174,3.197,3.174,3.197,3300.0
2011-04-15,3.397,3.398,3.397,3.398,1500.0
2011-04-16,3.397,3.398,3.397,3.398,1500.0
2011-04-17,3.397,3.398,3.397,3.398,1500.0
2011-04-18,3.397,3.398,3.397,3.398,1500.0
2011-04-19,3.397,3.398,3.397,3.398,1500.0
2011-04-20,3.397,3.398,3.397,3.398,1500.0
2011-04-21,3.397,3.398,3.397,3.398,1500.0
2011-04-22,3.397,3.398,3.397,3.398,1500.0
2011-04-23,3.397,3.398,3.397,3.398,1500.0
2011-04-24,3.397,3.398,3.397,3.398,1500.0
2011-04-25,3.397,3.398,3.397,3.398,1500.0
2011-04-26,3.397,3.398,3.397,3.398,1500.0
2011-04-27,3.397,3.398,3.397,3.398,1500.0
2011-04-28,2.727,2.817,2.727,2.817,5100.0
2011-04-29,3.036,3.04,3.036,3.04,9000.0
2011-04-30,3.036,3.04,3.036,3.04,9000.0
2011-05-01,3.036,3.04,3.036,3.04,9000.0
2011-05-02,3.04,3.04,3.04,3.04,1800.0
2011-05-03,3.04,3.04,3.04,3.04,1800.0
2011-05-04,3.04,3.04,3.04,3.04,1800.0
2011-05-05,3.04,3.04,3.04,3.04,1800.0
2011-05-06,3.04,3.04,3.04,3.04,1800.0
2011-05-07,3.04,3.04,3.04,3.04,1800.0
2011-05-08,3.04,3.04,3.04,3.04,1800.0
2011-05-09,3.04,3.04,3.04,3.04,1800.0
