,BRSR6 BZ Equity,BRSR6 BZ Equity,BRSR6 BZ Equity,BRSR6 BZ Equity,BRSR6 BZ Equity
2010-04-24,5.758,5.77,5.491,5.503,281500.0
2010-04-25,5.758,5.77,5.491,5.503,281500.0
2010-04-26,5.561,5.617,5.503,5.51,609400.0
2010-04-27,5.506,5.522,5.157,5.341,504900.0
2010-04-28,5.341,5.341,5.145,5.263,401500.0
2010-04-29,5.263,5.373,5.07,5.231,760900.0
2010-04-30,5.263,5.369,5.188,5.267,631800.0
2010-05-01,5.263,5.369,5.188,5.267,631800.0
2010-05-02,5.263,5.369,5.188,5.267,631800.0
2010-05-03,5.288,5.407,5.233,5.272,185600.0
2010-05-04,5.272,5.272,5.028,5.075,1897600.0
2010-05-05,5.02,5.233,4.901,5.134,937500.0
2010-05-06,5.099,5.249,4.917,5.016,765600.0
2010-05-07,5.039,5.193,4.83,5.016,500500.0
2010-05-08,5.039,5.193,4.83,5.016,500500.0
2010-05-09,5.039,5.193,4.83,5.016,500500.0
2010-05-10,5.174,5.312,5.134,5.221,339000.0
2010-05-11,5.221,5.426,5.178,5.253,986400.0
2010-05-12,5.391,5.411,5.186,5.359,762000.0
2010-05-13,5.316,5.316,5.134,5.134,441500.0
2010-05-14,5.122,5.122,4.767,4.838,887000.0
2010-05-15,5.122,5.122,4.767,4.838,887000.0
2010-05-16,5.122,5.122,4.767,4.838,887000.0
2010-05-17,4.806,5.0,4.676,5.0,1009900.0
2010-05-18,4.984,5.024,4.759,4.799,393400.0
2010-05-19,4.759,4.779,4.55,4.735,254800.0
2010-05-20,4.593,4.621,4.408,4.621,744200.0
2010-05-21,4.542,4.802,4.506,4.696,606800.0
2010-05-22,4.542,4.802,4.506,4.696,606800.0
2010-05-23,4.542,4.802,4.506,4.696,606800.0
2010-05-24,4.641,4.739,4.526,4.526,742800.0
2010-05-25,4.344,4.392,4.242,4.344,586200.0
2010-05-26,4.404,4.573,4.356,4.506,1256400.0
2010-05-27,4.467,4.881,4.467,4.881,754500.0
2010-05-28,4.846,4.976,4.747,4.937,399300.0
2010-05-29,4.846,4.976,4.747,4.937,399300.0
2010-05-30,4.846,4.976,4.747,4.937,399300.0
2010-05-31,4.897,5.114,4.842,5.114,365400.0
2010-06-01,4.964,5.13,4.917,4.964,760300.0
2010-06-02,5.028,5.261,5.028,5.035,990300.0
2010-06-03,5.028,5.261,5.028,5.035,990300.0
2010-06-04,5.02,5.174,4.968,5.095,909900.0
2010-06-05,5.02,5.174,4.968,5.095,909900.0
2010-06-06,5.02,5.174,4.968,5.095,909900.0
2010-06-07,5.128,5.184,5.081,5.144,520900.0
2010-06-08,5.176,5.224,5.176,5.224,555800.0
2010-06-09,5.208,5.26,5.12,5.184,762400.0
2010-06-10,5.216,5.304,5.208,5.252,456100.0
2010-06-11,5.224,5.32,5.184,5.256,355200.0
2010-06-12,5.224,5.32,5.184,5.256,355200.0
2010-06-13,5.224,5.32,5.184,5.256,355200.0
2010-06-14,5.264,5.356,5.244,5.244,403700.0
2010-06-15,5.256,5.3,5.208,5.208,490200.0
2010-06-16,5.212,5.483,5.212,5.308,558200.0
2010-06-17,5.344,5.495,5.316,5.463,1245700.0
2010-06-18,5.463,5.623,5.324,5.324,1814200.0
2010-06-19,5.463,5.623,5.324,5.324,1814200.0
2010-06-20,5.463,5.623,5.324,5.324,1814200.0
2010-06-21,5.368,5.443,5.284,5.443,477000.0
2010-06-22,5.288,5.511,5.288,5.4,244400.0
2010-06-23,5.427,5.431,5.32,5.364,347500.0
2010-06-24,5.336,5.352,5.164,5.268,255800.0
2010-06-25,5.188,5.423,5.188,5.423,166700.0
2010-06-26,5.188,5.423,5.188,5.423,166700.0
2010-06-27,5.188,5.423,5.188,5.423,166700.0
2010-06-28,5.463,5.483,5.332,5.443,216900.0
2010-06-29,5.419,5.543,5.049,5.164,455200.0
2010-06-30,5.244,5.244,5.088,5.236,847800.0
2010-07-01,5.096,5.304,5.096,5.256,1647300.0
2010-07-02,5.304,5.344,5.204,5.332,250400.0
2010-07-03,5.304,5.344,5.204,5.332,250400.0
2010-07-04,5.304,5.344,5.204,5.332,250400.0
2010-07-05,5.336,5.336,5.228,5.244,45800.0
2010-07-06,5.292,5.423,5.248,5.304,830200.0
2010-07-07,5.344,5.384,5.184,5.184,982100.0
2010-07-08,5.24,5.491,5.204,5.491,473800.0
2010-07-09,5.24,5.491,5.204,5.491,473800.0
2010-07-10,5.24,5.491,5.204,5.491,473800.0
2010-07-11,5.24,5.491,5.204,5.491,473800.0
2010-07-12,5.491,5.583,5.404,5.479,388500.0
2010-07-13,5.583,5.659,5.471,5.563,569900.0
2010-07-14,5.603,5.802,5.543,5.691,1096100.0
2010-07-15,5.754,5.754,5.543,5.603,267800.0
2010-07-16,5.802,5.802,5.583,5.683,853600.0
2010-07-17,5.802,5.802,5.583,5.683,853600.0
2010-07-18,5.802,5.802,5.583,5.683,853600.0
2010-07-19,5.683,5.782,5.599,5.782,424500.0
2010-07-20,5.782,5.798,5.631,5.743,269600.0
2010-07-21,5.802,5.802,5.647,5.715,363400.0
2010-07-22,5.794,6.07,5.746,5.958,942000.0
2010-07-23,6.014,6.085,5.91,5.946,341700.0
2010-07-24,6.014,6.085,5.91,5.946,341700.0
2010-07-25,6.014,6.085,5.91,5.946,341700.0
2010-07-26,5.902,5.958,5.715,5.778,289200.0
2010-07-27,5.794,5.914,5.786,5.786,924600.0
2010-07-28,5.786,5.902,5.786,5.854,299800.0
2010-07-29,5.898,5.974,5.886,5.942,888700.0
2010-07-30,5.942,6.093,5.938,6.058,675400.0
2010-07-31,5.942,6.093,5.938,6.058,675400.0
2010-08-01,5.942,6.093,5.938,6.058,675400.0
2010-08-02,6.062,6.273,6.062,6.241,692500.0
2010-08-03,6.213,6.241,6.042,6.221,317800.0
2010-08-04,6.221,6.341,6.129,6.341,398400.0
2010-08-05,6.261,6.261,6.141,6.181,304100.0
2010-08-06,6.101,6.297,6.089,6.201,278000.0
2010-08-07,6.101,6.297,6.089,6.201,278000.0
2010-08-08,6.101,6.297,6.089,6.201,278000.0
2010-08-09,6.289,6.309,5.978,6.241,338300.0
2010-08-10,6.153,6.321,6.153,6.261,672000.0
2010-08-11,6.257,6.285,6.125,6.181,1799900.0
2010-08-12,6.221,6.281,6.177,6.261,744100.0
2010-08-13,6.241,6.341,6.221,6.341,472800.0
2010-08-14,6.241,6.341,6.221,6.341,472800.0
2010-08-15,6.241,6.341,6.221,6.341,472800.0
2010-08-16,6.381,6.632,6.365,6.48,1138300.0
2010-08-17,6.552,6.652,6.552,6.62,1084900.0
2010-08-18,6.648,7.07,6.568,6.899,1333400.0
2010-08-19,6.931,7.553,6.823,7.023,1616000.0
2010-08-20,7.023,7.058,6.62,6.62,557900.0
2010-08-21,7.023,7.058,6.62,6.62,557900.0
2010-08-22,7.023,7.058,6.62,6.62,557900.0
2010-08-23,6.775,6.899,6.592,6.7,995200.0
2010-08-24,6.596,6.668,6.369,6.476,633500.0
2010-08-25,6.341,6.436,6.217,6.265,278500.0
2010-08-26,6.317,6.5,6.285,6.361,563100.0
2010-08-27,6.381,6.823,6.365,6.508,773100.0
2010-08-28,6.381,6.823,6.365,6.508,773100.0
2010-08-29,6.381,6.823,6.365,6.508,773100.0
2010-08-30,6.576,6.596,6.245,6.253,387500.0
2010-08-31,6.217,6.42,6.105,6.173,434900.0
2010-09-01,6.241,6.64,6.241,6.62,754000.0
2010-09-02,6.666,6.799,6.514,6.59,471500.0
2010-09-03,6.67,6.743,6.317,6.498,473900.0
2010-09-04,6.67,6.743,6.317,6.498,473900.0
2010-09-05,6.67,6.743,6.317,6.498,473900.0
2010-09-06,6.317,6.67,6.317,6.67,42000.0
2010-09-07,6.317,6.67,6.317,6.67,42000.0
2010-09-08,6.695,6.695,6.49,6.65,504400.0
2010-09-09,6.687,6.687,6.53,6.586,833100.0
2010-09-10,6.622,6.703,6.574,6.67,233800.0
2010-09-11,6.622,6.703,6.574,6.67,233800.0
2010-09-12,6.622,6.703,6.574,6.67,233800.0
2010-09-13,6.711,6.799,6.466,6.51,689400.0
2010-09-14,6.526,6.582,6.437,6.55,1353700.0
2010-09-15,6.49,6.566,6.413,6.425,749000.0
2010-09-16,6.458,6.654,6.333,6.61,731600.0
2010-09-17,6.554,6.65,6.148,6.289,2046700.0
2010-09-18,6.554,6.65,6.148,6.289,2046700.0
2010-09-19,6.554,6.65,6.148,6.289,2046700.0
2010-09-20,6.341,6.482,6.2,6.482,361200.0
2010-09-21,6.482,6.598,6.357,6.57,617400.0
2010-09-22,6.514,6.61,6.441,6.51,438400.0
2010-09-23,6.449,6.55,6.277,6.309,1174200.0
2010-09-24,6.413,6.494,6.353,6.393,1335000.0
2010-09-25,6.413,6.494,6.353,6.393,1335000.0
2010-09-26,6.413,6.494,6.353,6.393,1335000.0
2010-09-27,6.466,6.53,6.429,6.514,871900.0
2010-09-28,6.514,6.751,6.506,6.703,639500.0
2010-09-29,6.662,6.791,6.53,6.65,1352700.0
2010-09-30,6.703,6.847,6.614,6.847,995900.0
2010-10-01,6.908,7.145,6.871,7.052,928000.0
2010-10-02,6.908,7.145,6.871,7.052,928000.0
2010-10-03,6.908,7.145,6.871,7.052,928000.0
2010-10-04,7.056,7.169,6.791,6.795,1206600.0
2010-10-05,6.799,7.032,6.795,7.032,965100.0
2010-10-06,7.064,7.104,6.924,7.028,804600.0
2010-10-07,7.088,7.237,6.956,7.028,594700.0
2010-10-08,7.088,7.37,7.06,7.313,1307800.0
2010-10-09,7.088,7.37,7.06,7.313,1307800.0
2010-10-10,7.088,7.37,7.06,7.313,1307800.0
2010-10-11,7.313,7.595,7.193,7.454,973400.0
2010-10-12,7.313,7.595,7.193,7.454,973400.0
2010-10-13,7.442,7.506,7.269,7.458,1172400.0
2010-10-14,7.414,7.635,7.394,7.466,1623800.0
2010-10-15,7.462,7.655,7.394,7.615,352800.0
2010-10-16,7.462,7.655,7.394,7.615,352800.0
2010-10-17,7.462,7.655,7.394,7.615,352800.0
2010-10-18,7.518,7.635,7.374,7.474,638300.0
2010-10-19,7.354,7.575,7.313,7.438,511700.0
2010-10-20,7.474,7.51,7.406,7.434,149800.0
2010-10-21,7.494,7.534,7.426,7.514,242300.0
2010-10-22,7.446,7.534,7.241,7.346,547500.0
2010-10-23,7.446,7.534,7.241,7.346,547500.0
2010-10-24,7.446,7.534,7.241,7.346,547500.0
2010-10-25,7.354,7.494,7.117,7.117,291400.0
2010-10-26,7.177,7.406,7.169,7.394,273200.0
2010-10-27,7.374,7.402,7.253,7.33,212600.0
2010-10-28,7.33,7.382,7.233,7.233,229800.0
2010-10-29,7.281,7.551,7.197,7.51,1123200.0
2010-10-30,7.281,7.551,7.197,7.51,1123200.0
2010-10-31,7.281,7.551,7.197,7.51,1123200.0
2010-11-01,7.542,7.755,7.506,7.695,748500.0
2010-11-02,7.542,7.755,7.506,7.695,748500.0
2010-11-03,7.912,7.916,7.559,7.631,1136700.0
2010-11-04,7.595,7.751,7.514,7.675,720000.0
2010-11-05,7.631,7.715,7.559,7.699,151300.0
2010-11-06,7.631,7.715,7.559,7.699,151300.0
2010-11-07,7.631,7.715,7.559,7.699,151300.0
2010-11-08,7.731,7.904,7.518,7.836,802700.0
2010-11-09,7.888,8.23,7.86,8.157,1625600.0
2010-11-10,7.952,8.467,7.852,8.089,1899400.0
2010-11-11,7.908,8.161,7.691,7.836,651700.0
2010-11-12,7.776,8.041,7.776,7.997,890000.0
2010-11-13,7.776,8.041,7.776,7.997,890000.0
2010-11-14,7.776,8.041,7.776,7.997,890000.0
2010-11-15,7.776,8.041,7.776,7.997,890000.0
2010-11-16,8.113,8.234,7.639,7.639,730100.0
2010-11-17,7.735,7.968,7.695,7.956,276700.0
2010-11-18,7.956,8.149,7.956,8.025,826000.0
2010-11-19,7.997,8.025,7.876,7.997,248700.0
2010-11-20,7.997,8.025,7.876,7.997,248700.0
2010-11-21,7.997,8.025,7.876,7.997,248700.0
2010-11-22,7.94,8.025,7.824,8.025,398000.0
2010-11-23,7.948,7.997,7.731,7.731,605800.0
2010-11-24,7.86,7.904,7.603,7.643,802000.0
2010-11-25,7.691,7.788,7.663,7.751,186800.0
2010-11-26,7.747,7.751,7.615,7.631,385000.0
2010-11-27,7.747,7.751,7.615,7.631,385000.0
2010-11-28,7.747,7.751,7.615,7.631,385000.0
2010-11-29,7.675,7.763,7.478,7.667,386200.0
2010-11-30,7.751,7.832,7.546,7.832,694100.0
2010-12-01,7.804,7.956,7.715,7.755,734200.0
2010-12-02,7.848,7.916,7.645,7.666,269600.0
2010-12-03,7.73,7.73,7.443,7.483,409400.0
2010-12-04,7.73,7.73,7.443,7.483,409400.0
2010-12-05,7.73,7.73,7.443,7.483,409400.0
2010-12-06,7.443,7.686,7.443,7.443,205300.0
2010-12-07,7.516,7.633,7.504,7.605,455100.0
2010-12-08,7.544,7.633,7.5,7.524,649200.0
2010-12-09,7.532,7.581,7.269,7.403,657400.0
2010-12-10,7.479,7.479,7.079,7.103,471700.0
2010-12-11,7.479,7.479,7.079,7.103,471700.0
2010-12-12,7.479,7.479,7.079,7.103,471700.0
2010-12-13,7.152,7.403,6.937,7.119,858000.0
2010-12-14,7.212,7.301,7.115,7.265,301900.0
2010-12-15,7.221,7.233,6.941,7.039,420400.0
2010-12-16,7.067,7.124,6.858,7.022,1079800.0
2010-12-17,7.058,7.446,7.005,7.124,728600.0
2010-12-18,7.058,7.446,7.005,7.124,728600.0
2010-12-19,7.058,7.446,7.005,7.124,728600.0
2010-12-20,7.067,7.169,6.948,7.099,382800.0
2010-12-21,7.103,7.254,7.075,7.181,607400.0
2010-12-22,7.181,7.234,7.091,7.185,356300.0
2010-12-23,7.107,7.287,7.107,7.246,207900.0
2010-12-24,7.107,7.287,7.107,7.246,207900.0
2010-12-25,7.107,7.287,7.107,7.246,207900.0
2010-12-26,7.107,7.287,7.107,7.246,207900.0
2010-12-27,7.263,7.263,7.087,7.099,76700.0
2010-12-28,7.103,7.177,6.969,6.981,140300.0
2010-12-29,7.05,7.136,6.965,7.087,271100.0
2010-12-30,7.136,7.356,7.116,7.205,204600.0
2010-12-31,7.136,7.356,7.116,7.205,204600.0
2011-01-01,7.136,7.356,7.116,7.205,204600.0
2011-01-02,7.136,7.356,7.116,7.205,204600.0
2011-01-03,7.344,7.695,7.267,7.307,564200.0
2011-01-04,7.332,7.454,7.165,7.214,430400.0
2011-01-05,7.181,7.426,7.181,7.328,337500.0
2011-01-06,7.344,7.389,7.083,7.209,573200.0
2011-01-07,7.267,7.267,7.071,7.087,636400.0
2011-01-08,7.267,7.267,7.071,7.087,636400.0
2011-01-09,7.267,7.267,7.071,7.087,636400.0
2011-01-10,7.079,7.246,7.026,7.226,379400.0
2011-01-11,7.246,7.385,7.177,7.226,564600.0
2011-01-12,7.295,7.548,7.295,7.471,445100.0
2011-01-13,7.442,7.699,7.377,7.377,1389600.0
2011-01-14,7.397,7.752,7.32,7.532,645800.0
2011-01-15,7.397,7.752,7.32,7.532,645800.0
2011-01-16,7.397,7.752,7.32,7.532,645800.0
2011-01-17,7.528,7.65,7.471,7.471,239500.0
2011-01-18,7.548,7.646,7.307,7.438,680500.0
2011-01-19,7.414,7.52,7.381,7.381,227600.0
2011-01-20,7.377,7.487,7.144,7.267,1651000.0
2011-01-21,7.32,7.32,7.144,7.144,262400.0
2011-01-22,7.32,7.32,7.144,7.144,262400.0
2011-01-23,7.32,7.32,7.144,7.144,262400.0
2011-01-24,7.148,7.344,7.095,7.144,746400.0
2011-01-25,7.148,7.344,7.095,7.144,746400.0
2011-01-26,7.144,7.295,6.969,7.042,444100.0
2011-01-27,7.144,7.144,6.94,6.981,307500.0
2011-01-28,6.94,7.214,6.809,6.818,824300.0
2011-01-29,6.94,7.214,6.809,6.818,824300.0
2011-01-30,6.94,7.214,6.809,6.818,824300.0
2011-01-31,6.846,6.924,6.679,6.695,613500.0
2011-02-01,6.777,6.813,6.675,6.736,416300.0
2011-02-02,6.777,6.875,6.736,6.736,307100.0
2011-02-03,6.736,6.736,6.577,6.638,806700.0
2011-02-04,6.577,6.613,6.389,6.389,626500.0
2011-02-05,6.577,6.613,6.389,6.389,626500.0
2011-02-06,6.577,6.613,6.389,6.389,626500.0
2011-02-07,6.491,6.491,6.234,6.266,312800.0
2011-02-08,6.246,6.487,6.246,6.389,617000.0
2011-02-09,6.405,6.515,6.348,6.369,685600.0
2011-02-10,6.369,6.609,6.25,6.573,703700.0
2011-02-11,6.532,6.862,6.532,6.675,589800.0
2011-02-12,6.532,6.862,6.532,6.675,589800.0
2011-02-13,6.532,6.862,6.532,6.675,589800.0
2011-02-14,6.622,6.826,6.622,6.826,436600.0
2011-02-15,6.818,7.177,6.724,7.063,892400.0
2011-02-16,7.075,7.23,7.063,7.067,535100.0
2011-02-17,7.152,7.222,7.128,7.144,610500.0
2011-02-18,7.144,7.295,7.107,7.165,299200.0
2011-02-19,7.144,7.295,7.107,7.165,299200.0
2011-02-20,7.144,7.295,7.107,7.165,299200.0
2011-02-21,7.165,7.263,7.144,7.144,271400.0
2011-02-22,7.136,7.185,6.96,6.985,439500.0
2011-02-23,6.965,7.058,6.797,6.797,1311100.0
2011-02-24,6.818,7.099,6.818,7.001,416200.0
2011-02-25,7.05,7.128,7.001,7.042,1087600.0
2011-02-26,7.05,7.128,7.001,7.042,1087600.0
2011-02-27,7.05,7.128,7.001,7.042,1087600.0
2011-02-28,7.16,7.671,7.022,7.43,1410300.0
2011-03-01,7.389,7.654,7.214,7.23,1336500.0
2011-03-02,7.291,7.385,7.156,7.234,685900.0
2011-03-03,7.32,7.352,7.193,7.267,635300.0
2011-03-04,7.283,7.552,7.283,7.348,539500.0
2011-03-05,7.283,7.552,7.283,7.348,539500.0
2011-03-06,7.283,7.552,7.283,7.348,539500.0
2011-03-07,7.283,7.552,7.283,7.348,539500.0
2011-03-08,7.283,7.552,7.283,7.348,539500.0
2011-03-09,7.381,7.714,7.323,7.529,1488500.0
2011-03-10,7.405,7.508,7.335,7.405,1248000.0
2011-03-11,7.344,7.447,7.327,7.385,1050300.0
2011-03-12,7.344,7.447,7.327,7.385,1050300.0
2011-03-13,7.344,7.447,7.327,7.385,1050300.0
2011-03-14,7.438,7.5,7.344,7.372,454000.0
2011-03-15,7.344,7.541,7.187,7.414,697800.0
2011-03-16,7.479,7.537,7.323,7.327,2258400.0
2011-03-17,7.405,7.447,7.29,7.323,337700.0
2011-03-18,7.364,7.529,7.364,7.389,459700.0
2011-03-19,7.364,7.529,7.364,7.389,459700.0
2011-03-20,7.364,7.529,7.364,7.389,459700.0
2011-03-21,7.405,7.533,7.348,7.348,299500.0
2011-03-22,7.368,7.693,7.348,7.512,546000.0
2011-03-23,7.525,7.833,7.525,7.66,959000.0
2011-03-24,7.735,7.961,7.636,7.858,661300.0
2011-03-25,7.87,8.125,7.767,7.924,1120100.0
2011-03-26,7.87,8.125,7.767,7.924,1120100.0
2011-03-27,7.87,8.125,7.767,7.924,1120100.0
2011-03-28,7.977,8.117,7.85,7.961,369200.0
2011-03-29,7.981,8.022,7.899,7.899,278900.0
2011-03-30,7.973,8.097,7.932,8.022,358900.0
2011-03-31,8.055,8.434,8.055,8.269,777300.0
2011-04-01,8.294,8.623,8.294,8.487,881600.0
2011-04-02,8.294,8.623,8.294,8.487,881600.0
2011-04-03,8.294,8.623,8.294,8.487,881600.0
2011-04-04,8.52,8.627,8.166,8.166,619100.0
2011-04-05,8.191,8.385,7.973,7.973,985600.0
2011-04-06,8.01,8.175,7.977,8.146,1086200.0
2011-04-07,8.146,8.31,8.043,8.228,661000.0
2011-04-08,8.306,8.306,8.031,8.031,575900.0
2011-04-09,8.306,8.306,8.031,8.031,575900.0
2011-04-10,8.306,8.306,8.031,8.031,575900.0
2011-04-11,8.006,8.138,7.944,8.076,266000.0
2011-04-12,8.097,8.109,7.994,7.994,540000.0
2011-04-13,8.068,8.117,7.92,7.985,797400.0
2011-04-14,7.92,7.981,7.825,7.899,616800.0
2011-04-15,7.92,7.94,7.697,7.697,537600.0
2011-04-16,7.92,7.94,7.697,7.697,537600.0
2011-04-17,7.92,7.94,7.697,7.697,537600.0
2011-04-18,7.718,7.907,7.611,7.632,512600.0
2011-04-19,7.804,7.961,7.66,7.928,455800.0
2011-04-20,8.06,8.319,8.006,8.29,1008700.0
2011-04-21,8.06,8.319,8.006,8.29,1008700.0
2011-04-22,8.06,8.319,8.006,8.29,1008700.0
2011-04-23,8.06,8.319,8.006,8.29,1008700.0
2011-04-24,8.06,8.319,8.006,8.29,1008700.0
2011-04-25,8.249,8.64,8.117,8.561,591500.0
2011-04-26,8.623,8.64,8.187,8.187,838300.0
2011-04-27,8.191,8.191,7.537,7.652,2050200.0
2011-04-28,7.652,7.652,7.356,7.488,1341000.0
2011-04-29,7.508,7.776,7.463,7.776,854000.0
2011-04-30,7.508,7.776,7.463,7.776,854000.0
2011-05-01,7.508,7.776,7.463,7.776,854000.0
2011-05-02,7.84,7.919,7.634,7.634,826200.0
2011-05-03,7.51,7.733,7.51,7.675,357600.0
2011-05-04,7.663,7.774,7.349,7.349,966800.0
2011-05-05,7.366,7.448,7.238,7.345,1056400.0
2011-05-06,7.428,7.502,7.354,7.354,457400.0
