,CSAN3 BZ Equity,CSAN3 BZ Equity,CSAN3 BZ Equity,CSAN3 BZ Equity,CSAN3 BZ Equity
2010-03-20,3.624,3.646,3.555,3.62,2912800.0
2010-03-21,3.624,3.646,3.555,3.62,2912800.0
2010-03-22,3.564,3.643,3.563,3.624,1797600.0
2010-03-23,3.624,3.632,3.519,3.547,3146000.0
2010-03-24,3.519,3.519,3.398,3.444,6110400.0
2010-03-25,3.455,3.455,3.367,3.391,4890000.0
2010-03-26,3.413,3.462,3.331,3.462,2847600.0
2010-03-27,3.413,3.462,3.331,3.462,2847600.0
2010-03-28,3.413,3.462,3.331,3.462,2847600.0
2010-03-29,3.45,3.527,3.424,3.493,5354800.0
2010-03-30,3.462,3.495,3.385,3.431,3711200.0
2010-03-31,3.399,3.447,3.32,3.344,4624400.0
2010-04-01,3.391,3.391,3.273,3.331,10034800.0
2010-04-02,3.391,3.391,3.273,3.331,10034800.0
2010-04-03,3.391,3.391,3.273,3.331,10034800.0
2010-04-04,3.391,3.391,3.273,3.331,10034800.0
2010-04-05,3.347,3.347,3.285,3.285,5154000.0
2010-04-06,3.27,3.384,3.243,3.362,10971600.0
2010-04-07,3.377,3.39,3.316,3.354,5708800.0
2010-04-08,3.331,3.461,3.302,3.405,13773200.0
2010-04-09,3.421,3.455,3.337,3.339,5558800.0
2010-04-10,3.421,3.455,3.337,3.339,5558800.0
2010-04-11,3.421,3.455,3.337,3.339,5558800.0
2010-04-12,3.354,3.485,3.354,3.47,16317600.0
2010-04-13,3.455,3.57,3.455,3.564,8833600.0
2010-04-14,3.566,3.663,3.555,3.663,7164400.0
2010-04-15,3.613,3.63,3.549,3.563,6057600.0
2010-04-16,3.496,3.536,3.421,3.485,5065200.0
2010-04-17,3.496,3.536,3.421,3.485,5065200.0
2010-04-18,3.496,3.536,3.421,3.485,5065200.0
2010-04-19,3.394,3.569,3.394,3.547,5538000.0
2010-04-20,3.607,3.607,3.505,3.547,4190000.0
2010-04-21,3.607,3.607,3.505,3.547,4190000.0
2010-04-22,3.485,3.586,3.464,3.555,5588400.0
2010-04-23,3.532,3.609,3.492,3.566,5278400.0
2010-04-24,3.532,3.609,3.492,3.566,5278400.0
2010-04-25,3.532,3.609,3.492,3.566,5278400.0
2010-04-26,3.539,3.567,3.51,3.529,1535600.0
2010-04-27,3.504,3.505,3.356,3.385,6682000.0
2010-04-28,3.422,3.422,3.316,3.316,4997200.0
2010-04-29,3.365,3.384,3.32,3.331,3870000.0
2010-04-30,3.339,3.421,3.339,3.408,7834400.0
2010-05-01,3.339,3.421,3.339,3.408,7834400.0
2010-05-02,3.339,3.421,3.339,3.408,7834400.0
2010-05-03,3.522,3.522,3.379,3.424,5459600.0
2010-05-04,3.374,3.398,3.248,3.254,5546400.0
2010-05-05,3.254,3.266,3.146,3.192,7953200.0
2010-05-06,3.192,3.222,2.844,3.146,7756800.0
2010-05-07,3.118,3.154,3.01,3.01,5644000.0
2010-05-08,3.118,3.154,3.01,3.01,5644000.0
2010-05-09,3.118,3.154,3.01,3.01,5644000.0
2010-05-10,3.169,3.189,3.117,3.186,3190400.0
2010-05-11,3.131,3.223,3.117,3.162,4314000.0
2010-05-12,3.16,3.268,3.148,3.22,2259200.0
2010-05-13,3.251,3.251,3.146,3.171,2047600.0
2010-05-14,3.146,3.146,3.057,3.084,2866000.0
2010-05-15,3.146,3.146,3.057,3.084,2866000.0
2010-05-16,3.146,3.146,3.057,3.084,2866000.0
2010-05-17,3.066,3.092,3.009,3.084,4711200.0
2010-05-18,3.132,3.162,2.989,3.03,5204400.0
2010-05-19,2.992,3.084,2.869,2.961,4728800.0
2010-05-20,2.879,2.927,2.745,2.776,8276000.0
2010-05-21,2.778,2.976,2.748,2.976,4012000.0
2010-05-22,2.778,2.976,2.748,2.976,4012000.0
2010-05-23,2.778,2.976,2.748,2.976,4012000.0
2010-05-24,2.947,3.081,2.882,2.976,3235200.0
2010-05-25,2.901,2.941,2.845,2.93,2476000.0
2010-05-26,3.029,3.106,3.0,3.106,9574800.0
2010-05-27,3.162,3.206,3.132,3.177,5607200.0
2010-05-28,3.186,3.225,3.146,3.197,3106000.0
2010-05-29,3.186,3.225,3.146,3.197,3106000.0
2010-05-30,3.186,3.225,3.146,3.197,3106000.0
2010-05-31,3.199,3.212,3.146,3.2,1312400.0
2010-06-01,3.14,3.211,3.125,3.132,2653200.0
2010-06-02,3.123,3.158,3.108,3.132,3626400.0
2010-06-03,3.123,3.158,3.108,3.132,3626400.0
2010-06-04,3.115,3.121,3.046,3.077,2569200.0
2010-06-05,3.115,3.121,3.046,3.077,2569200.0
2010-06-06,3.115,3.121,3.046,3.077,2569200.0
2010-06-07,3.054,3.081,2.992,3.03,3186400.0
2010-06-08,3.03,3.154,3.024,3.154,3218800.0
2010-06-09,3.171,3.185,3.084,3.115,3097200.0
2010-06-10,3.115,3.199,3.115,3.185,4119600.0
2010-06-11,3.202,3.279,3.155,3.208,5854400.0
2010-06-12,3.202,3.279,3.155,3.208,5854400.0
2010-06-13,3.202,3.279,3.155,3.208,5854400.0
2010-06-14,3.211,3.26,3.18,3.223,3830800.0
2010-06-15,3.231,3.37,3.211,3.342,4999200.0
2010-06-16,3.334,3.476,3.31,3.476,8575200.0
2010-06-17,3.478,3.492,3.402,3.487,5752400.0
2010-06-18,3.462,3.493,3.439,3.472,3765600.0
2010-06-19,3.462,3.493,3.439,3.472,3765600.0
2010-06-20,3.462,3.493,3.439,3.472,3765600.0
2010-06-21,3.499,3.513,3.436,3.467,5210400.0
2010-06-22,3.445,3.526,3.422,3.47,5733600.0
2010-06-23,3.478,3.513,3.424,3.458,2353600.0
2010-06-24,3.458,3.507,3.373,3.492,2843200.0
2010-06-25,3.485,3.505,3.427,3.485,2327200.0
2010-06-26,3.485,3.505,3.427,3.485,2327200.0
2010-06-27,3.485,3.505,3.427,3.485,2327200.0
2010-06-28,3.485,3.507,3.479,3.501,2780400.0
2010-06-29,3.455,3.484,3.334,3.468,3724400.0
2010-06-30,3.427,3.542,3.405,3.482,4838800.0
2010-07-01,3.451,3.657,3.447,3.516,8496000.0
2010-07-02,3.521,3.547,3.472,3.524,2844000.0
2010-07-03,3.521,3.547,3.472,3.524,2844000.0
2010-07-04,3.521,3.547,3.472,3.524,2844000.0
2010-07-05,3.547,3.549,3.487,3.516,4457600.0
2010-07-06,3.535,3.596,3.535,3.566,8418000.0
2010-07-07,3.564,3.632,3.564,3.593,3042400.0
2010-07-08,3.593,3.717,3.567,3.717,5497200.0
2010-07-09,3.593,3.717,3.567,3.717,5497200.0
2010-07-10,3.593,3.717,3.567,3.717,5497200.0
2010-07-11,3.593,3.717,3.567,3.717,5497200.0
2010-07-12,3.697,3.794,3.633,3.717,3065200.0
2010-07-13,3.717,3.758,3.64,3.724,5430800.0
2010-07-14,3.726,3.726,3.624,3.715,3654800.0
2010-07-15,3.717,3.724,3.629,3.701,3211600.0
2010-07-16,3.669,3.694,3.595,3.609,1671600.0
2010-07-17,3.669,3.694,3.595,3.609,1671600.0
2010-07-18,3.669,3.694,3.595,3.609,1671600.0
2010-07-19,3.65,3.717,3.581,3.67,1545200.0
2010-07-20,3.692,3.701,3.646,3.663,2287600.0
2010-07-21,3.697,3.715,3.632,3.647,3599600.0
2010-07-22,3.701,3.709,3.647,3.647,5074800.0
2010-07-23,3.655,3.701,3.62,3.655,2796800.0
2010-07-24,3.655,3.701,3.62,3.655,2796800.0
2010-07-25,3.655,3.701,3.62,3.655,2796800.0
2010-07-26,3.657,3.714,3.612,3.632,3673600.0
2010-07-27,3.686,3.819,3.675,3.809,5622400.0
2010-07-28,3.823,3.92,3.798,3.819,8090000.0
2010-07-29,3.856,3.92,3.825,3.84,3563600.0
2010-07-30,3.771,3.933,3.763,3.856,3957600.0
2010-07-31,3.771,3.933,3.763,3.856,3957600.0
2010-08-01,3.771,3.933,3.763,3.856,3957600.0
2010-08-02,3.946,4.019,3.883,3.925,5882000.0
2010-08-03,3.892,3.933,3.798,3.807,2912400.0
2010-08-04,3.846,3.846,3.694,3.776,4216800.0
2010-08-05,3.754,3.972,3.73,3.923,3578800.0
2010-08-06,3.911,3.972,3.807,3.854,5676400.0
2010-08-07,3.911,3.972,3.807,3.854,5676400.0
2010-08-08,3.911,3.972,3.807,3.854,5676400.0
2010-08-09,3.862,3.886,3.765,3.812,3670800.0
2010-08-10,3.76,3.894,3.741,3.878,2353600.0
2010-08-11,3.815,3.914,3.768,3.854,3619200.0
2010-08-12,3.824,3.911,3.776,3.87,2534000.0
2010-08-13,3.909,3.909,3.746,3.771,4153200.0
2010-08-14,3.909,3.909,3.746,3.771,4153200.0
2010-08-15,3.909,3.909,3.746,3.771,4153200.0
2010-08-16,3.776,3.777,3.675,3.752,3474800.0
2010-08-17,3.777,3.817,3.736,3.736,4216800.0
2010-08-18,3.65,3.73,3.596,3.708,9426000.0
2010-08-19,3.725,3.763,3.677,3.763,3155600.0
2010-08-20,3.736,3.739,3.577,3.62,6908800.0
2010-08-21,3.736,3.739,3.577,3.62,6908800.0
2010-08-22,3.736,3.739,3.577,3.62,6908800.0
2010-08-23,3.65,3.669,3.582,3.658,3793200.0
2010-08-24,3.604,3.664,3.568,3.64,4251200.0
2010-08-25,3.697,3.735,3.604,3.697,12152000.0
2010-08-26,3.713,3.771,3.54,3.587,4912800.0
2010-08-27,3.595,3.617,3.485,3.548,5750800.0
2010-08-28,3.595,3.617,3.485,3.548,5750800.0
2010-08-29,3.595,3.617,3.485,3.548,5750800.0
2010-08-30,3.551,3.551,3.485,3.499,2099200.0
2010-08-31,3.502,3.618,3.489,3.601,6884800.0
2010-09-01,3.601,3.703,3.574,3.665,6834000.0
2010-09-02,3.681,3.743,3.62,3.689,2632800.0
2010-09-03,3.714,3.768,3.62,3.64,4812000.0
2010-09-04,3.714,3.768,3.62,3.64,4812000.0
2010-09-05,3.714,3.768,3.62,3.64,4812000.0
2010-09-06,3.665,3.669,3.568,3.587,1110400.0
2010-09-07,3.665,3.669,3.568,3.587,1110400.0
2010-09-08,3.574,3.592,3.54,3.587,2288400.0
2010-09-09,3.615,3.749,3.604,3.728,3410400.0
2010-09-10,3.721,3.807,3.706,3.807,5834800.0
2010-09-11,3.721,3.807,3.706,3.807,5834800.0
2010-09-12,3.721,3.807,3.706,3.807,5834800.0
2010-09-13,3.824,3.9,3.824,3.87,5839200.0
2010-09-14,3.854,3.894,3.842,3.87,2630000.0
2010-09-15,3.828,3.933,3.828,3.928,3464800.0
2010-09-16,3.9,3.941,3.835,3.925,2017200.0
2010-09-17,3.889,3.917,3.837,3.883,2172800.0
2010-09-18,3.889,3.917,3.837,3.883,2172800.0
2010-09-19,3.889,3.917,3.837,3.883,2172800.0
2010-09-20,3.87,3.996,3.87,3.98,4354000.0
2010-09-21,3.98,3.993,3.906,3.941,2005200.0
2010-09-22,3.917,3.986,3.908,3.933,3098400.0
2010-09-23,3.906,4.027,3.881,3.933,4589200.0
2010-09-24,3.958,3.988,3.799,3.894,6578400.0
2010-09-25,3.958,3.988,3.799,3.894,6578400.0
2010-09-26,3.958,3.988,3.799,3.894,6578400.0
2010-09-27,3.903,4.007,3.857,3.933,3104800.0
2010-09-28,3.933,3.996,3.826,3.84,5079600.0
2010-09-29,3.824,3.931,3.788,3.901,4681200.0
2010-09-30,3.914,3.958,3.87,3.955,6777200.0
2010-10-01,3.949,4.004,3.862,3.935,6284800.0
2010-10-02,3.949,4.004,3.862,3.935,6284800.0
2010-10-03,3.949,4.004,3.862,3.935,6284800.0
2010-10-04,3.942,3.988,3.883,3.914,4356400.0
2010-10-05,3.938,3.988,3.933,3.941,5019600.0
2010-10-06,3.963,4.001,3.901,3.961,4354400.0
2010-10-07,3.957,4.012,3.919,3.979,4436000.0
2010-10-08,3.969,4.161,3.953,4.152,7401600.0
2010-10-09,3.969,4.161,3.953,4.152,7401600.0
2010-10-10,3.969,4.161,3.953,4.152,7401600.0
2010-10-11,4.167,4.215,4.109,4.13,4059600.0
2010-10-12,4.167,4.215,4.109,4.13,4059600.0
2010-10-13,4.183,4.24,4.144,4.232,6778000.0
2010-10-14,4.221,4.314,4.185,4.309,9812800.0
2010-10-15,4.307,4.307,4.169,4.216,8218000.0
2010-10-16,4.307,4.307,4.169,4.216,8218000.0
2010-10-17,4.307,4.307,4.169,4.216,8218000.0
2010-10-18,4.232,4.233,4.104,4.125,3337200.0
2010-10-19,4.064,4.086,3.952,4.03,4031600.0
2010-10-20,4.062,4.188,4.06,4.169,5924800.0
2010-10-21,4.185,4.232,4.03,4.174,5235600.0
2010-10-22,4.188,4.216,4.06,4.106,4918400.0
2010-10-23,4.188,4.216,4.06,4.106,4918400.0
2010-10-24,4.188,4.216,4.06,4.106,4918400.0
2010-10-25,4.23,4.248,4.185,4.232,7080800.0
2010-10-26,4.248,4.295,4.2,4.215,4874000.0
2010-10-27,4.207,4.263,4.092,4.248,4490800.0
2010-10-28,4.312,4.326,4.237,4.326,2926400.0
2010-10-29,4.384,4.405,4.224,4.224,3894000.0
2010-10-30,4.384,4.405,4.224,4.224,3894000.0
2010-10-31,4.384,4.405,4.224,4.224,3894000.0
2010-11-01,4.279,4.405,4.252,4.402,5504400.0
2010-11-02,4.279,4.405,4.252,4.402,5504400.0
2010-11-03,4.484,4.524,4.432,4.452,3875200.0
2010-11-04,4.517,4.594,4.499,4.539,6837600.0
2010-11-05,4.562,4.562,4.345,4.454,4448800.0
2010-11-06,4.562,4.562,4.345,4.454,4448800.0
2010-11-07,4.562,4.562,4.345,4.454,4448800.0
2010-11-08,4.458,4.471,4.358,4.428,4031600.0
2010-11-09,4.405,4.484,4.405,4.465,5826800.0
2010-11-10,4.454,4.518,4.342,4.452,7032400.0
2010-11-11,4.499,4.499,4.358,4.405,4229200.0
2010-11-12,4.326,4.358,4.259,4.279,4752400.0
2010-11-13,4.326,4.358,4.259,4.279,4752400.0
2010-11-14,4.326,4.358,4.259,4.279,4752400.0
2010-11-15,4.326,4.358,4.259,4.279,4752400.0
2010-11-16,4.263,4.263,4.106,4.161,4962800.0
2010-11-17,4.153,4.26,4.153,4.169,4204400.0
2010-11-18,4.232,4.37,4.232,4.293,7938800.0
2010-11-19,4.326,4.326,4.193,4.249,3799200.0
2010-11-20,4.326,4.326,4.193,4.249,3799200.0
2010-11-21,4.326,4.326,4.193,4.249,3799200.0
2010-11-22,4.235,4.292,4.12,4.279,3807600.0
2010-11-23,4.215,4.229,4.052,4.119,5454000.0
2010-11-24,4.178,4.246,4.131,4.137,6677200.0
2010-11-25,4.161,4.167,4.114,4.119,1849600.0
2010-11-26,4.092,4.092,4.032,4.032,4287600.0
2010-11-27,4.092,4.092,4.032,4.032,4287600.0
2010-11-28,4.092,4.092,4.032,4.032,4287600.0
2010-11-29,4.04,4.067,3.901,3.979,6219600.0
2010-11-30,3.979,4.13,3.933,4.13,8714800.0
2010-12-01,4.172,4.262,4.139,4.177,8637600.0
2010-12-02,4.216,4.237,4.147,4.232,3612400.0
2010-12-03,4.218,4.322,4.172,4.263,5230000.0
2010-12-04,4.218,4.322,4.172,4.263,5230000.0
2010-12-05,4.218,4.322,4.172,4.263,5230000.0
2010-12-06,4.263,4.304,4.186,4.279,4055600.0
2010-12-07,4.301,4.326,4.224,4.248,3822400.0
2010-12-08,4.219,4.303,4.166,4.221,6377600.0
2010-12-09,4.221,4.249,4.075,4.136,5180800.0
2010-12-10,4.158,4.167,4.059,4.104,2531600.0
2010-12-11,4.158,4.167,4.059,4.104,2531600.0
2010-12-12,4.158,4.167,4.059,4.104,2531600.0
2010-12-13,4.137,4.152,4.016,4.041,5196400.0
2010-12-14,4.059,4.078,3.946,4.018,5333600.0
2010-12-15,4.032,4.086,3.963,4.059,5783600.0
2010-12-16,4.06,4.103,3.98,4.029,5629200.0
2010-12-17,4.001,4.041,3.868,4.041,5461600.0
2010-12-18,4.001,4.041,3.868,4.041,5461600.0
2010-12-19,4.001,4.041,3.868,4.041,5461600.0
2010-12-20,4.065,4.07,3.935,3.986,3010400.0
2010-12-21,4.027,4.199,4.027,4.137,5782400.0
2010-12-22,4.137,4.24,4.115,4.197,4892800.0
2010-12-23,4.2,4.268,4.197,4.268,3335600.0
2010-12-24,4.2,4.268,4.197,4.268,3335600.0
2010-12-25,4.2,4.268,4.197,4.268,3335600.0
2010-12-26,4.2,4.268,4.197,4.268,3335600.0
2010-12-27,4.246,4.27,4.153,4.249,1969200.0
2010-12-28,4.229,4.309,4.226,4.309,4148800.0
2010-12-29,4.322,4.421,4.32,4.364,4018800.0
2010-12-30,4.373,4.405,4.344,4.344,6753600.0
2010-12-31,4.373,4.405,4.344,4.344,6753600.0
2011-01-01,4.373,4.405,4.344,4.344,6753600.0
2011-01-02,4.373,4.405,4.344,4.344,6753600.0
2011-01-03,4.413,4.413,4.306,4.326,4773200.0
2011-01-04,4.391,4.433,4.361,4.403,7490800.0
2011-01-05,4.395,4.506,4.389,4.394,5817200.0
2011-01-06,4.417,4.436,4.314,4.326,6077200.0
2011-01-07,4.336,4.358,4.257,4.326,3507600.0
2011-01-08,4.336,4.358,4.257,4.326,3507600.0
2011-01-09,4.336,4.358,4.257,4.326,3507600.0
2011-01-10,4.326,4.405,4.145,4.381,4888800.0
2011-01-11,4.411,4.482,4.399,4.452,4970800.0
2011-01-12,4.482,4.507,4.43,4.498,4104400.0
2011-01-13,4.49,4.49,4.411,4.436,7770400.0
2011-01-14,4.428,4.458,4.34,4.443,3242800.0
2011-01-15,4.428,4.458,4.34,4.443,3242800.0
2011-01-16,4.428,4.458,4.34,4.443,3242800.0
2011-01-17,4.411,4.411,4.326,4.35,1771200.0
2011-01-18,4.359,4.388,4.328,4.331,4676400.0
2011-01-19,4.35,4.397,4.334,4.369,2260400.0
2011-01-20,4.405,4.405,4.248,4.304,6050400.0
2011-01-21,4.296,4.325,4.17,4.185,5344400.0
2011-01-22,4.296,4.325,4.17,4.185,5344400.0
2011-01-23,4.296,4.325,4.17,4.185,5344400.0
2011-01-24,4.211,4.23,4.153,4.216,3034800.0
2011-01-25,4.211,4.23,4.153,4.216,3034800.0
2011-01-26,4.216,4.271,4.067,4.141,4806400.0
2011-01-27,4.169,4.169,4.012,4.137,5447600.0
2011-01-28,4.145,4.202,4.021,4.087,2864800.0
2011-01-29,4.145,4.202,4.021,4.087,2864800.0
2011-01-30,4.145,4.202,4.021,4.087,2864800.0
2011-01-31,4.087,4.191,4.026,4.095,3500400.0
2011-02-01,4.122,4.274,4.049,4.232,4106800.0
2011-02-02,4.251,4.279,4.109,4.137,3929600.0
2011-02-03,4.139,4.2,4.064,4.128,2339200.0
2011-02-04,4.128,4.155,3.963,4.051,3725600.0
2011-02-05,4.128,4.155,3.963,4.051,3725600.0
2011-02-06,4.128,4.155,3.963,4.051,3725600.0
2011-02-07,4.087,4.087,3.949,4.045,3074000.0
2011-02-08,4.029,4.098,4.019,4.09,2604000.0
2011-02-09,4.081,4.112,3.916,3.916,3303200.0
2011-02-10,3.791,3.817,3.713,3.761,13880000.0
2011-02-11,3.757,3.897,3.757,3.862,13490400.0
2011-02-12,3.757,3.897,3.757,3.862,13490400.0
2011-02-13,3.757,3.897,3.757,3.862,13490400.0
2011-02-14,3.87,3.955,3.826,3.933,5958000.0
2011-02-15,3.98,4.012,3.872,3.894,5294000.0
2011-02-16,3.901,3.993,3.837,3.975,3744800.0
2011-02-17,3.99,4.004,3.895,3.933,3783600.0
2011-02-18,3.964,3.972,3.854,3.87,5157200.0
2011-02-19,3.964,3.972,3.854,3.87,5157200.0
2011-02-20,3.964,3.972,3.854,3.87,5157200.0
2011-02-21,3.864,3.892,3.76,3.872,3692400.0
2011-02-22,3.84,3.883,3.777,3.883,5252000.0
2011-02-23,3.873,4.012,3.862,3.964,6081200.0
2011-02-24,3.957,4.012,3.942,3.944,4975600.0
2011-02-25,3.986,3.996,3.854,3.974,3296800.0
2011-02-26,3.986,3.996,3.854,3.974,3296800.0
2011-02-27,3.986,3.996,3.854,3.974,3296800.0
2011-02-28,3.999,4.089,3.988,4.089,5644400.0
2011-03-01,4.13,4.148,4.043,4.043,6074800.0
2011-03-02,4.175,4.208,4.108,4.2,9381600.0
2011-03-03,4.2,4.262,4.122,4.207,8134000.0
2011-03-04,4.207,4.207,4.076,4.159,6650000.0
2011-03-05,4.207,4.207,4.076,4.159,6650000.0
2011-03-06,4.207,4.207,4.076,4.159,6650000.0
2011-03-07,4.207,4.207,4.076,4.159,6650000.0
2011-03-08,4.207,4.207,4.076,4.159,6650000.0
2011-03-09,4.09,4.169,4.079,4.137,2532000.0
2011-03-10,4.122,4.133,4.019,4.054,3375200.0
2011-03-11,4.027,4.067,3.936,4.027,5436000.0
2011-03-12,4.027,4.067,3.936,4.027,5436000.0
2011-03-13,4.027,4.067,3.936,4.027,5436000.0
2011-03-14,4.005,4.008,3.944,4.002,4420000.0
2011-03-15,3.909,4.051,3.861,4.019,5171200.0
2011-03-16,4.021,4.041,3.87,3.933,7247200.0
2011-03-17,3.964,3.99,3.868,3.894,4347200.0
2011-03-18,3.936,4.008,3.914,3.925,5663600.0
2011-03-19,3.936,4.008,3.914,3.925,5663600.0
2011-03-20,3.936,4.008,3.914,3.925,5663600.0
2011-03-21,3.979,4.075,3.933,4.068,3342800.0
2011-03-22,4.059,4.119,4.034,4.09,4853600.0
2011-03-23,4.057,4.057,3.977,4.051,3588400.0
2011-03-24,4.051,4.051,3.938,4.035,5907200.0
2011-03-25,4.064,4.122,4.012,4.101,4110000.0
2011-03-26,4.064,4.122,4.012,4.101,4110000.0
2011-03-27,4.064,4.122,4.012,4.101,4110000.0
2011-03-28,4.084,4.13,4.029,4.064,2694800.0
2011-03-29,4.067,4.073,3.974,3.997,5185200.0
2011-03-30,4.026,4.026,3.955,3.98,2460400.0
2011-03-31,3.994,4.049,3.971,3.996,4804000.0
2011-04-01,4.007,4.122,4.007,4.103,5805600.0
2011-04-02,4.007,4.122,4.007,4.103,5805600.0
2011-04-03,4.007,4.122,4.007,4.103,5805600.0
2011-04-04,4.108,4.23,4.108,4.161,4742800.0
2011-04-05,4.161,4.213,4.111,4.213,3311600.0
2011-04-06,4.158,4.185,4.059,4.059,7679600.0
2011-04-07,4.04,4.04,3.809,3.846,30022400.0
2011-04-08,3.862,3.87,3.722,3.747,16314400.0
2011-04-09,3.862,3.87,3.722,3.747,16314400.0
2011-04-10,3.862,3.87,3.722,3.747,16314400.0
2011-04-11,3.765,3.832,3.722,3.79,10358000.0
2011-04-12,3.783,3.804,3.724,3.76,5656800.0
2011-04-13,3.788,3.813,3.669,3.721,3936800.0
2011-04-14,3.697,3.783,3.697,3.713,4146800.0
2011-04-15,3.741,3.78,3.713,3.752,3061200.0
2011-04-16,3.741,3.78,3.713,3.752,3061200.0
2011-04-17,3.741,3.78,3.713,3.752,3061200.0
2011-04-18,3.741,3.798,3.705,3.713,3574000.0
2011-04-19,3.714,3.774,3.713,3.713,3634800.0
2011-04-20,3.763,3.776,3.692,3.694,3072400.0
2011-04-21,3.763,3.776,3.692,3.694,3072400.0
