,EGIE3 BZ Equity,EGIE3 BZ Equity,EGIE3 BZ Equity,EGIE3 BZ Equity,EGIE3 BZ Equity
2010-06-23,7.379,7.379,7.262,7.329,458375.0
2010-06-24,7.343,7.375,7.173,7.311,622000.0
2010-06-25,7.35,7.436,7.237,7.436,332000.0
2010-06-26,7.35,7.436,7.237,7.436,332000.0
2010-06-27,7.35,7.436,7.237,7.436,332000.0
2010-06-28,7.418,7.443,7.347,7.4,514625.0
2010-06-29,7.407,7.627,7.301,7.524,1507750.0
2010-06-30,7.489,7.574,7.34,7.521,1087625.0
2010-07-01,7.524,7.645,7.361,7.549,968500.0
2010-07-02,7.595,7.787,7.549,7.702,1075125.0
2010-07-03,7.595,7.787,7.549,7.702,1075125.0
2010-07-04,7.595,7.787,7.549,7.702,1075125.0
2010-07-05,7.634,7.773,7.599,7.752,296000.0
2010-07-06,7.801,7.982,7.755,7.776,1121125.0
2010-07-07,7.773,7.879,7.737,7.808,799750.0
2010-07-08,7.844,7.844,7.62,7.812,1114000.0
2010-07-09,7.844,7.844,7.62,7.812,1114000.0
2010-07-10,7.844,7.844,7.62,7.812,1114000.0
2010-07-11,7.844,7.844,7.62,7.812,1114000.0
2010-07-12,7.844,7.879,7.649,7.769,305125.0
2010-07-13,7.808,7.844,7.673,7.844,605375.0
2010-07-14,7.808,7.869,7.634,7.737,525625.0
2010-07-15,7.773,7.787,7.642,7.723,449125.0
2010-07-16,7.673,7.862,7.673,7.862,728500.0
2010-07-17,7.673,7.862,7.673,7.862,728500.0
2010-07-18,7.673,7.862,7.673,7.862,728500.0
2010-07-19,7.773,7.943,7.744,7.915,477875.0
2010-07-20,7.915,7.982,7.808,7.879,622250.0
2010-07-21,7.908,8.004,7.837,7.95,291250.0
2010-07-22,7.954,8.217,7.933,8.217,572500.0
2010-07-23,8.131,8.135,7.968,8.067,372625.0
2010-07-24,8.131,8.135,7.968,8.067,372625.0
2010-07-25,8.131,8.135,7.968,8.067,372625.0
2010-07-26,8.021,8.163,7.986,8.064,340375.0
2010-07-27,8.057,8.234,8.007,8.092,498500.0
2010-07-28,8.124,8.174,8.014,8.075,291500.0
2010-07-29,8.092,8.128,8.039,8.057,291000.0
2010-07-30,8.021,8.323,7.936,8.11,1014625.0
2010-07-31,8.021,8.323,7.936,8.11,1014625.0
2010-08-01,8.021,8.323,7.936,8.11,1014625.0
2010-08-02,8.217,8.337,8.167,8.302,467875.0
2010-08-03,8.199,8.358,8.177,8.358,421875.0
2010-08-04,8.351,8.351,8.192,8.234,525750.0
2010-08-05,8.199,8.33,8.167,8.27,227500.0
2010-08-06,8.27,8.316,8.202,8.273,472875.0
2010-08-07,8.27,8.316,8.202,8.273,472875.0
2010-08-08,8.27,8.316,8.202,8.273,472875.0
2010-08-09,8.27,8.341,8.071,8.128,437625.0
2010-08-10,8.092,8.213,7.972,8.213,886000.0
2010-08-11,8.092,8.213,8.092,8.213,355000.0
2010-08-12,8.163,8.213,8.092,8.163,149000.0
2010-08-13,8.149,8.177,8.05,8.057,274750.0
2010-08-14,8.149,8.177,8.05,8.057,274750.0
2010-08-15,8.149,8.177,8.05,8.057,274750.0
2010-08-16,8.16,8.17,8.011,8.05,387375.0
2010-08-17,8.06,8.217,8.05,8.05,481000.0
2010-08-18,8.092,8.412,8.078,8.412,675125.0
2010-08-19,8.44,8.532,8.238,8.518,642000.0
2010-08-20,8.532,8.756,8.383,8.674,579500.0
2010-08-21,8.532,8.756,8.383,8.674,579500.0
2010-08-22,8.532,8.756,8.383,8.674,579500.0
2010-08-23,8.671,8.674,8.387,8.387,240875.0
2010-08-24,8.341,8.589,8.305,8.518,277625.0
2010-08-25,8.412,8.596,8.412,8.554,442750.0
2010-08-26,8.511,8.575,8.302,8.323,823125.0
2010-08-27,8.387,8.483,8.291,8.483,783375.0
2010-08-28,8.387,8.483,8.291,8.483,783375.0
2010-08-29,8.387,8.483,8.291,8.483,783375.0
2010-08-30,8.422,8.589,8.351,8.412,430875.0
2010-08-31,8.412,8.508,8.153,8.245,666000.0
2010-09-01,8.217,8.323,8.142,8.146,708125.0
2010-09-02,8.227,8.341,8.17,8.202,472625.0
2010-09-03,8.295,8.305,8.146,8.302,490750.0
2010-09-04,8.295,8.305,8.146,8.302,490750.0
2010-09-05,8.295,8.305,8.146,8.302,490750.0
2010-09-06,8.291,8.398,8.199,8.398,217375.0
2010-09-07,8.291,8.398,8.199,8.398,217375.0
2010-09-08,8.319,8.483,8.195,8.483,853750.0
2010-09-09,8.429,8.472,8.185,8.252,922250.0
2010-09-10,8.234,8.319,8.192,8.287,582375.0
2010-09-11,8.234,8.319,8.192,8.287,582375.0
2010-09-12,8.234,8.319,8.192,8.287,582375.0
2010-09-13,8.27,8.401,8.05,8.401,843875.0
2010-09-14,8.327,8.696,8.227,8.678,989000.0
2010-09-15,8.607,8.696,8.557,8.696,414875.0
2010-09-16,8.692,8.692,8.493,8.582,366250.0
2010-09-17,8.681,8.681,8.415,8.568,745500.0
2010-09-18,8.681,8.681,8.415,8.568,745500.0
2010-09-19,8.681,8.681,8.415,8.568,745500.0
2010-09-20,8.6,8.65,8.493,8.493,313250.0
2010-09-21,8.557,8.635,8.486,8.625,421875.0
2010-09-22,8.642,8.689,8.564,8.678,621875.0
2010-09-23,8.653,8.838,8.61,8.838,692875.0
2010-09-24,8.767,8.873,8.66,8.873,1181500.0
2010-09-25,8.767,8.873,8.66,8.873,1181500.0
2010-09-26,8.767,8.873,8.66,8.873,1181500.0
2010-09-27,8.838,8.894,8.696,8.795,1051125.0
2010-09-28,8.724,9.001,8.724,8.955,773375.0
2010-09-29,8.87,8.997,8.848,8.997,773000.0
2010-09-30,9.001,9.193,8.891,8.987,1579125.0
2010-10-01,8.986,9.199,8.787,9.029,912750.0
2010-10-02,8.986,9.199,8.787,9.029,912750.0
2010-10-03,8.986,9.199,8.787,9.029,912750.0
2010-10-04,9.033,9.369,8.975,9.271,1262875.0
2010-10-05,9.178,9.315,9.087,9.102,906875.0
2010-10-06,9.138,9.318,9.102,9.282,896375.0
2010-10-07,9.311,9.333,9.087,9.174,1738875.0
2010-10-08,9.232,9.318,8.943,9.062,2382000.0
2010-10-09,9.232,9.318,8.943,9.062,2382000.0
2010-10-10,9.232,9.318,8.943,9.062,2382000.0
2010-10-11,9.102,9.344,9.102,9.34,398125.0
2010-10-12,9.102,9.344,9.102,9.34,398125.0
2010-10-13,9.318,9.535,9.199,9.34,868750.0
2010-10-14,9.322,9.477,9.116,9.336,706875.0
2010-10-15,9.333,9.857,9.304,9.535,1237250.0
2010-10-16,9.333,9.857,9.304,9.535,1237250.0
2010-10-17,9.333,9.857,9.304,9.535,1237250.0
2010-10-18,9.474,9.734,9.243,9.243,806625.0
2010-10-19,9.203,9.373,9.178,9.282,589875.0
2010-10-20,9.282,9.643,9.228,9.43,584125.0
2010-10-21,9.481,9.777,9.351,9.676,807000.0
2010-10-22,9.755,9.77,9.423,9.427,517875.0
2010-10-23,9.755,9.77,9.423,9.427,517875.0
2010-10-24,9.755,9.77,9.423,9.427,517875.0
2010-10-25,9.463,9.658,9.308,9.318,496625.0
2010-10-26,9.329,9.575,9.318,9.499,942000.0
2010-10-27,9.448,9.488,9.228,9.282,1459875.0
2010-10-28,9.391,9.391,9.181,9.181,775750.0
2010-10-29,9.34,9.354,9.076,9.354,777500.0
2010-10-30,9.34,9.354,9.076,9.354,777500.0
2010-10-31,9.34,9.354,9.076,9.354,777500.0
2010-11-01,9.358,9.419,9.228,9.228,470500.0
2010-11-02,9.358,9.419,9.228,9.228,470500.0
2010-11-03,9.282,9.38,9.17,9.21,1056750.0
2010-11-04,9.228,9.279,9.152,9.156,915000.0
2010-11-05,9.206,9.264,9.029,9.029,763125.0
2010-11-06,9.206,9.264,9.029,9.029,763125.0
2010-11-07,9.206,9.264,9.029,9.029,763125.0
2010-11-08,9.138,9.365,9.084,9.246,1249625.0
2010-11-09,9.354,9.358,9.105,9.221,1033500.0
2010-11-10,9.199,9.344,9.084,9.134,1593000.0
2010-11-11,9.141,9.167,8.95,9.033,723125.0
2010-11-12,9.026,9.243,9.004,9.188,634000.0
2010-11-13,9.026,9.243,9.004,9.188,634000.0
2010-11-14,9.026,9.243,9.004,9.188,634000.0
2010-11-15,9.026,9.243,9.004,9.188,634000.0
2010-11-16,9.105,9.308,8.997,9.138,601500.0
2010-11-17,9.105,9.506,9.105,9.495,1181625.0
2010-11-18,9.586,9.71,9.48,9.641,940125.0
2010-11-19,9.575,9.919,9.538,9.878,824875.0
2010-11-20,9.575,9.919,9.538,9.878,824875.0
2010-11-21,9.575,9.919,9.538,9.878,824875.0
2010-11-22,9.827,9.878,9.637,9.695,918375.0
2010-11-23,9.695,9.842,9.564,9.787,1009500.0
2010-11-24,9.765,9.908,9.703,9.703,505875.0
2010-11-25,9.769,9.805,9.622,9.721,208000.0
2010-11-26,9.663,9.988,9.604,9.787,783750.0
2010-11-27,9.663,9.988,9.604,9.787,783750.0
2010-11-28,9.663,9.988,9.604,9.787,783750.0
2010-11-29,9.805,9.9,9.714,9.842,970000.0
2010-11-30,9.875,10.12,9.776,9.908,1360250.0
2010-12-01,10.032,10.222,10.032,10.171,1232250.0
2010-12-02,10.226,10.31,10.01,10.171,1128375.0
2010-12-03,10.116,10.372,10.109,10.299,584500.0
2010-12-04,10.116,10.372,10.109,10.299,584500.0
2010-12-05,10.116,10.372,10.109,10.299,584500.0
2010-12-06,10.314,10.35,10.127,10.237,692375.0
2010-12-07,10.263,10.35,10.014,10.014,755500.0
2010-12-08,10.069,10.208,9.86,10.113,712375.0
2010-12-09,10.186,10.222,9.959,10.025,642750.0
2010-12-10,10.025,10.153,9.889,10.08,271625.0
2010-12-11,10.025,10.153,9.889,10.08,271625.0
2010-12-12,10.025,10.153,9.889,10.08,271625.0
2010-12-13,10.098,10.131,9.944,9.988,243875.0
2010-12-14,9.988,10.098,9.798,9.933,466875.0
2010-12-15,9.977,10.017,9.783,9.824,935750.0
2010-12-16,9.878,10.061,9.791,9.791,689875.0
2010-12-17,9.867,9.933,9.758,9.761,1059875.0
2010-12-18,9.867,9.933,9.758,9.761,1059875.0
2010-12-19,9.867,9.933,9.758,9.761,1059875.0
2010-12-20,9.758,9.889,9.758,9.769,477125.0
2010-12-21,9.845,9.882,9.758,9.882,680375.0
2010-12-22,9.882,9.882,9.695,9.721,824750.0
2010-12-23,9.783,9.783,9.622,9.695,497625.0
2010-12-24,9.783,9.783,9.622,9.695,497625.0
2010-12-25,9.783,9.783,9.622,9.695,497625.0
2010-12-26,9.783,9.783,9.622,9.695,497625.0
2010-12-27,9.695,9.75,9.641,9.641,522250.0
2010-12-28,9.685,9.747,9.619,9.714,444500.0
2010-12-29,9.714,9.878,9.714,9.805,472000.0
2010-12-30,9.824,10.043,9.824,10.043,953375.0
2010-12-31,9.824,10.043,9.824,10.043,953375.0
2011-01-01,9.824,10.043,9.824,10.043,953375.0
2011-01-02,9.824,10.043,9.824,10.043,953375.0
2011-01-03,10.08,10.204,9.717,9.805,1153750.0
2011-01-04,9.805,9.875,9.622,9.677,1210625.0
2011-01-05,9.655,9.882,9.604,9.842,1146375.0
2011-01-06,9.988,10.021,9.787,9.97,733625.0
2011-01-07,9.915,10.021,9.824,10.006,333125.0
2011-01-08,9.915,10.021,9.824,10.006,333125.0
2011-01-09,9.915,10.021,9.824,10.006,333125.0
2011-01-10,10.017,10.021,9.875,9.988,775125.0
2011-01-11,9.97,10.131,9.922,10.043,625125.0
2011-01-12,10.12,10.12,9.974,10.116,599375.0
2011-01-13,10.08,10.186,10.021,10.021,513625.0
2011-01-14,10.091,10.124,9.933,10.006,364250.0
2011-01-15,10.091,10.124,9.933,10.006,364250.0
2011-01-16,10.091,10.124,9.933,10.006,364250.0
2011-01-17,10.003,10.08,9.937,9.937,286625.0
2011-01-18,9.933,10.058,9.849,9.897,528875.0
2011-01-19,9.933,9.948,9.809,9.878,350500.0
2011-01-20,9.889,10.131,9.86,9.933,1017750.0
2011-01-21,10.025,10.043,9.915,9.97,368125.0
2011-01-22,10.025,10.043,9.915,9.97,368125.0
2011-01-23,10.025,10.043,9.915,9.97,368125.0
2011-01-24,9.981,10.025,9.915,9.941,220375.0
2011-01-25,9.981,10.025,9.915,9.941,220375.0
2011-01-26,9.988,10.098,9.747,9.758,893750.0
2011-01-27,9.769,9.875,9.622,9.641,592625.0
2011-01-28,9.648,9.765,9.37,9.37,607125.0
2011-01-29,9.648,9.765,9.37,9.37,607125.0
2011-01-30,9.648,9.765,9.37,9.37,607125.0
2011-01-31,9.48,9.611,9.366,9.439,580750.0
2011-02-01,9.542,9.791,9.476,9.71,528000.0
2011-02-02,9.769,9.769,9.531,9.549,433625.0
2011-02-03,9.549,9.644,9.421,9.421,264750.0
2011-02-04,9.366,9.513,9.319,9.403,309000.0
2011-02-05,9.366,9.513,9.319,9.403,309000.0
2011-02-06,9.366,9.513,9.319,9.403,309000.0
2011-02-07,9.498,9.578,9.348,9.421,3136000.0
2011-02-08,9.425,9.611,9.395,9.417,706500.0
2011-02-09,9.458,9.498,9.198,9.216,900625.0
2011-02-10,9.169,9.326,9.088,9.106,749750.0
2011-02-11,9.161,9.209,9.004,9.128,399250.0
2011-02-12,9.161,9.209,9.004,9.128,399250.0
2011-02-13,9.161,9.209,9.004,9.128,399250.0
2011-02-14,9.183,9.264,9.092,9.092,506125.0
2011-02-15,9.11,9.183,8.967,8.989,816375.0
2011-02-16,9.128,9.384,8.989,9.213,648000.0
2011-02-17,9.245,9.403,9.143,9.143,522375.0
2011-02-18,9.213,9.399,9.209,9.348,957250.0
2011-02-19,9.213,9.399,9.209,9.348,957250.0
2011-02-20,9.213,9.399,9.209,9.348,957250.0
2011-02-21,9.505,9.505,9.216,9.421,640625.0
2011-02-22,9.337,9.739,9.337,9.586,1671375.0
2011-02-23,9.567,9.747,9.458,9.458,921875.0
2011-02-24,9.443,9.663,9.443,9.458,393500.0
2011-02-25,9.597,9.604,9.417,9.476,625875.0
2011-02-26,9.597,9.604,9.417,9.476,625875.0
2011-02-27,9.597,9.604,9.417,9.476,625875.0
2011-02-28,9.659,9.659,9.483,9.513,336750.0
2011-03-01,9.564,9.655,9.56,9.586,512625.0
2011-03-02,9.586,9.692,9.567,9.622,582625.0
2011-03-03,9.692,9.71,9.586,9.677,309375.0
2011-03-04,9.706,9.728,9.626,9.659,708250.0
2011-03-05,9.706,9.728,9.626,9.659,708250.0
2011-03-06,9.706,9.728,9.626,9.659,708250.0
2011-03-07,9.706,9.728,9.626,9.659,708250.0
2011-03-08,9.706,9.728,9.626,9.659,708250.0
2011-03-09,9.856,9.856,9.652,9.652,586750.0
2011-03-10,9.663,9.692,9.213,9.513,2099250.0
2011-03-11,9.458,9.758,9.425,9.509,304375.0
2011-03-12,9.458,9.758,9.425,9.509,304375.0
2011-03-13,9.458,9.758,9.425,9.509,304375.0
2011-03-14,9.549,9.695,9.311,9.677,577500.0
2011-03-15,9.516,9.688,9.417,9.622,873625.0
2011-03-16,9.578,9.637,9.311,9.366,1086500.0
2011-03-17,9.355,9.476,9.165,9.256,451000.0
2011-03-18,9.242,9.311,9.165,9.202,535500.0
2011-03-19,9.242,9.311,9.165,9.202,535500.0
2011-03-20,9.242,9.311,9.165,9.202,535500.0
2011-03-21,9.293,9.311,9.158,9.22,463000.0
2011-03-22,9.289,9.513,9.183,9.513,874500.0
2011-03-23,9.439,9.652,9.439,9.652,470250.0
2011-03-24,9.659,9.692,9.516,9.622,579625.0
2011-03-25,9.597,9.728,9.571,9.677,255125.0
2011-03-26,9.597,9.728,9.571,9.677,255125.0
2011-03-27,9.597,9.728,9.571,9.677,255125.0
2011-03-28,9.721,9.787,9.619,9.75,492000.0
2011-03-29,9.776,9.805,9.648,9.732,283625.0
2011-03-30,9.743,10.167,9.743,10.006,1160750.0
2011-03-31,10.109,10.42,9.963,10.098,2103000.0
2011-04-01,10.102,10.252,10.054,10.208,382250.0
2011-04-02,10.102,10.252,10.054,10.208,382250.0
2011-04-03,10.102,10.252,10.054,10.208,382250.0
2011-04-04,10.208,10.435,10.171,10.171,307125.0
2011-04-05,10.277,10.467,10.208,10.336,499500.0
2011-04-06,10.321,10.449,10.244,10.369,428875.0
2011-04-07,10.427,10.427,10.244,10.27,665500.0
2011-04-08,10.248,10.354,10.091,10.175,314000.0
2011-04-09,10.248,10.354,10.091,10.175,314000.0
2011-04-10,10.248,10.354,10.091,10.175,314000.0
2011-04-11,10.171,10.296,10.047,10.061,308625.0
2011-04-12,10.08,10.244,10.006,10.186,615500.0
2011-04-13,10.244,10.347,10.065,10.317,577125.0
2011-04-14,10.372,10.372,10.171,10.171,585625.0
2011-04-15,10.208,10.296,10.043,10.116,582375.0
2011-04-16,10.208,10.296,10.043,10.116,582375.0
2011-04-17,10.208,10.296,10.043,10.116,582375.0
2011-04-18,10.116,10.347,10.116,10.317,594750.0
2011-04-19,10.343,10.398,10.241,10.244,246625.0
2011-04-20,10.317,10.449,10.186,10.193,703750.0
2011-04-21,10.317,10.449,10.186,10.193,703750.0
2011-04-22,10.317,10.449,10.186,10.193,703750.0
2011-04-23,10.317,10.449,10.186,10.193,703750.0
2011-04-24,10.317,10.449,10.186,10.193,703750.0
2011-04-25,10.186,10.391,10.175,10.299,375625.0
2011-04-26,10.328,10.493,10.204,10.299,565875.0
2011-04-27,10.299,10.369,10.208,10.332,528250.0
2011-04-28,10.303,10.358,10.076,10.208,608500.0
2011-04-29,10.08,10.38,10.065,10.083,879250.0
2011-04-30,10.08,10.38,10.065,10.083,879250.0
2011-05-01,10.08,10.38,10.065,10.083,879250.0
2011-05-02,10.228,10.42,10.036,10.151,367000.0
2011-05-03,10.136,10.195,9.97,10.04,434875.0
2011-05-04,10.058,10.143,9.837,9.837,462000.0
2011-05-05,9.885,10.106,9.863,10.077,568625.0
