,ITW US Equity
,RETURN_COM_EQY
2021-01-28,67.9555
2021-01-29,67.9555
2021-01-30,67.9555
2021-01-31,67.9555
2021-02-01,67.9555
2021-02-02,67.9555
2021-02-03,67.9555
2021-02-04,67.9555
2021-02-05,67.9555
2021-02-06,67.9555
2021-02-07,67.9555
2021-02-08,67.9555
2021-02-09,67.9555
2021-02-10,67.9555
2021-02-11,67.9555
2021-02-12,67.9555
2021-02-13,67.9555
2021-02-14,67.9555
2021-02-15,67.9555
2021-02-16,67.9555
2021-02-17,67.9555
2021-02-18,67.9555
2021-02-19,67.9555
2021-02-20,67.9555
2021-02-21,67.9555
2021-02-22,67.9555
2021-02-23,67.9555
2021-02-24,67.9555
2021-02-25,67.9555
2021-02-26,67.9555
2021-02-27,67.9555
2021-02-28,67.9555
2021-03-01,67.9555
2021-03-02,67.9555
2021-03-03,67.9555
2021-03-04,67.9555
2021-03-05,67.9555
2021-03-06,67.9555
2021-03-07,67.9555
2021-03-08,67.9555
2021-03-09,67.9555
2021-03-10,67.9555
2021-03-11,67.9555
2021-03-12,67.9555
2021-03-13,67.9555
2021-03-14,67.9555
2021-03-15,67.9555
2021-03-16,67.9555
2021-03-17,67.9555
2021-03-18,67.9555
2021-03-19,67.9555
2021-03-20,67.9555
2021-03-21,67.9555
2021-03-22,67.9555
2021-03-23,67.9555
2021-03-24,67.9555
2021-03-25,67.9555
2021-03-26,67.9555
2021-03-27,67.9555
2021-03-28,67.9555
2021-03-29,67.9555
2021-03-30,67.9555
2021-03-31,79.6833
2021-04-01,79.6833
2021-04-02,79.6833
2021-04-03,79.6833
2021-04-04,79.6833
2021-04-05,79.6833
2021-04-06,79.6833
2021-04-07,79.6833
2021-04-08,79.6833
2021-04-09,79.6833
2021-04-10,79.6833
2021-04-11,79.6833
2021-04-12,79.6833
2021-04-13,79.6833
2021-04-14,79.6833
2021-04-15,79.6833
2021-04-16,79.6833
2021-04-17,79.6833
2021-04-18,79.6833
2021-04-19,79.6833
2021-04-20,79.6833
2021-04-21,79.6833
2021-04-22,79.6833
2021-04-23,79.6833
2021-04-24,79.6833
2021-04-25,79.6833
2021-04-26,79.6833
2021-04-27,79.6833
2021-04-28,79.6833
2021-04-29,79.6833
2021-04-30,79.6833
2021-05-01,79.6833
2021-05-02,79.6833
2021-05-03,79.6833
2021-05-04,79.6833
2021-05-05,79.6833
2021-05-06,79.6833
2021-05-07,79.6833
2021-05-08,79.6833
2021-05-09,79.6833
2021-05-10,79.6833
2021-05-11,79.6833
2021-05-12,79.6833
2021-05-13,79.6833
2021-05-14,79.6833
2021-05-15,79.6833
2021-05-16,79.6833
2021-05-17,79.6833
2021-05-18,79.6833
2021-05-19,79.6833
2021-05-20,79.6833
2021-05-21,79.6833
2021-05-22,79.6833
2021-05-23,79.6833
2021-05-24,79.6833
2021-05-25,79.6833
2021-05-26,79.6833
2021-05-27,79.6833
2021-05-28,79.6833
2021-05-29,79.6833
2021-05-30,79.6833
2021-05-31,79.6833
2021-06-01,79.6833
2021-06-02,79.6833
2021-06-03,79.6833
2021-06-04,79.6833
2021-06-05,79.6833
2021-06-06,79.6833
2021-06-07,79.6833
2021-06-08,79.6833
2021-06-09,79.6833
2021-06-10,79.6833
2021-06-11,79.6833
2021-06-12,79.6833
2021-06-13,79.6833
2021-06-14,79.6833
2021-06-15,79.6833
2021-06-16,79.6833
2021-06-17,79.6833
2021-06-18,79.6833
2021-06-19,79.6833
2021-06-20,79.6833
2021-06-21,79.6833
2021-06-22,79.6833
2021-06-23,79.6833
2021-06-24,79.6833
2021-06-25,79.6833
2021-06-26,79.6833
2021-06-27,79.6833
2021-06-28,79.6833
2021-06-29,79.6833
2021-06-30,90.8627
2021-07-01,90.8627
2021-07-02,90.8627
2021-07-03,90.8627
2021-07-04,90.8627
2021-07-05,90.8627
2021-07-06,90.8627
2021-07-07,90.8627
2021-07-08,90.8627
2021-07-09,90.8627
2021-07-10,90.8627
2021-07-11,90.8627
2021-07-12,90.8627
2021-07-13,90.8627
2021-07-14,90.8627
2021-07-15,90.8627
2021-07-16,90.8627
2021-07-17,90.8627
2021-07-18,90.8627
2021-07-19,90.8627
2021-07-20,90.8627
2021-07-21,90.8627
2021-07-22,90.8627
2021-07-23,90.8627
2021-07-24,90.8627
2021-07-25,90.8627
2021-07-26,90.8627
2021-07-27,90.8627
2021-07-28,90.8627
2021-07-29,90.8627
2021-07-30,90.8627
2021-07-31,90.8627
2021-08-01,90.8627
2021-08-02,90.8627
2021-08-03,90.8627
2021-08-04,90.8627
2021-08-05,90.8627
2021-08-06,90.8627
2021-08-07,90.8627
2021-08-08,90.8627
2021-08-09,90.8627
2021-08-10,90.8627
2021-08-11,90.8627
2021-08-12,90.8627
2021-08-13,90.8627
2021-08-14,90.8627
2021-08-15,90.8627
2021-08-16,90.8627
2021-08-17,90.8627
2021-08-18,90.8627
2021-08-19,90.8627
2021-08-20,90.8627
2021-08-21,90.8627
2021-08-22,90.8627
2021-08-23,90.8627
2021-08-24,90.8627
2021-08-25,90.8627
2021-08-26,90.8627
2021-08-27,90.8627
2021-08-28,90.8627
2021-08-29,90.8627
2021-08-30,90.8627
2021-08-31,90.8627
2021-09-01,90.8627
2021-09-02,90.8627
2021-09-03,90.8627
2021-09-04,90.8627
2021-09-05,90.8627
2021-09-06,90.8627
2021-09-07,90.8627
2021-09-08,90.8627
2021-09-09,90.8627
2021-09-10,90.8627
2021-09-11,90.8627
2021-09-12,90.8627
2021-09-13,90.8627
2021-09-14,90.8627
2021-09-15,90.8627
2021-09-16,90.8627
2021-09-17,90.8627
2021-09-18,90.8627
2021-09-19,90.8627
2021-09-20,90.8627
2021-09-21,90.8627
2021-09-22,90.8627
2021-09-23,90.8627
2021-09-24,90.8627
2021-09-25,90.8627
2021-09-26,90.8627
2021-09-27,90.8627
2021-09-28,90.8627
2021-09-29,90.8627
2021-09-30,88.1383
2021-10-01,88.1383
2021-10-02,88.1383
2021-10-03,88.1383
2021-10-04,88.1383
2021-10-05,88.1383
2021-10-06,88.1383
2021-10-07,88.1383
2021-10-08,88.1383
2021-10-09,88.1383
2021-10-10,88.1383
2021-10-11,88.1383
2021-10-12,88.1383
2021-10-13,88.1383
2021-10-14,88.1383
2021-10-15,88.1383
2021-10-16,88.1383
2021-10-17,88.1383
2021-10-18,88.1383
2021-10-19,88.1383
2021-10-20,88.1383
2021-10-21,88.1383
2021-10-22,88.1383
2021-10-23,88.1383
2021-10-24,88.1383
2021-10-25,88.1383
2021-10-26,88.1383
2021-10-27,88.1383
2021-10-28,88.1383
2021-10-29,88.1383
2021-10-30,88.1383
2021-10-31,88.1383
2021-11-01,88.1383
2021-11-02,88.1383
2021-11-03,88.1383
2021-11-04,88.1383
2021-11-05,88.1383
2021-11-06,88.1383
2021-11-07,88.1383
2021-11-08,88.1383
2021-11-09,88.1383
2021-11-10,88.1383
2021-11-11,88.1383
2021-11-12,88.1383
2021-11-13,88.1383
2021-11-14,88.1383
2021-11-15,88.1383
2021-11-16,88.1383
2021-11-17,88.1383
2021-11-18,88.1383
2021-11-19,88.1383
2021-11-20,88.1383
2021-11-21,88.1383
2021-11-22,88.1383
2021-11-23,88.1383
2021-11-24,88.1383
2021-11-25,88.1383
2021-11-26,88.1383
2021-11-27,88.1383
2021-11-28,88.1383
2021-11-29,88.1383
2021-11-30,88.1383
2021-12-01,88.1383
2021-12-02,88.1383
2021-12-03,88.1383
