,CLB US Equity
,RETURN_COM_EQY
2020-08-30,-63.9693
2020-08-31,-63.9693
2020-09-01,-63.9693
2020-09-02,-63.9693
2020-09-03,-63.9693
2020-09-04,-63.9693
2020-09-05,-63.9693
2020-09-06,-63.9693
2020-09-07,-63.9693
2020-09-08,-63.9693
2020-09-09,-63.9693
2020-09-10,-63.9693
2020-09-11,-63.9693
2020-09-12,-63.9693
2020-09-13,-63.9693
2020-09-14,-63.9693
2020-09-15,-63.9693
2020-09-16,-63.9693
2020-09-17,-63.9693
2020-09-18,-63.9693
2020-09-19,-63.9693
2020-09-20,-63.9693
2020-09-21,-63.9693
2020-09-22,-63.9693
2020-09-23,-63.9693
2020-09-24,-63.9693
2020-09-25,-63.9693
2020-09-26,-63.9693
2020-09-27,-63.9693
2020-09-28,-63.9693
2020-09-29,-63.9693
2020-09-30,-78.2106
2020-10-01,-78.2106
2020-10-02,-78.2106
2020-10-03,-78.2106
2020-10-04,-78.2106
2020-10-05,-78.2106
2020-10-06,-78.2106
2020-10-07,-78.2106
2020-10-08,-78.2106
2020-10-09,-78.2106
2020-10-10,-78.2106
2020-10-11,-78.2106
2020-10-12,-78.2106
2020-10-13,-78.2106
2020-10-14,-78.2106
2020-10-15,-78.2106
2020-10-16,-78.2106
2020-10-17,-78.2106
2020-10-18,-78.2106
2020-10-19,-78.2106
2020-10-20,-78.2106
2020-10-21,-78.2106
2020-10-22,-78.2106
2020-10-23,-78.2106
2020-10-24,-78.2106
2020-10-25,-78.2106
2020-10-26,-78.2106
2020-10-27,-78.2106
2020-10-28,-78.2106
2020-10-29,-78.2106
2020-10-30,-78.2106
2020-10-31,-78.2106
2020-11-01,-78.2106
2020-11-02,-78.2106
2020-11-03,-78.2106
2020-11-04,-78.2106
2020-11-05,-78.2106
2020-11-06,-78.2106
2020-11-07,-78.2106
2020-11-08,-78.2106
2020-11-09,-78.2106
2020-11-10,-78.2106
2020-11-11,-78.2106
2020-11-12,-78.2106
2020-11-13,-78.2106
2020-11-14,-78.2106
2020-11-15,-78.2106
2020-11-16,-78.2106
2020-11-17,-78.2106
2020-11-18,-78.2106
2020-11-19,-78.2106
2020-11-20,-78.2106
2020-11-21,-78.2106
2020-11-22,-78.2106
2020-11-23,-78.2106
2020-11-24,-78.2106
2020-11-25,-78.2106
2020-11-26,-78.2106
2020-11-27,-78.2106
2020-11-28,-78.2106
2020-11-29,-78.2106
2020-11-30,-78.2106
2020-12-01,-78.2106
2020-12-02,-78.2106
2020-12-03,-78.2106
2020-12-04,-78.2106
2020-12-05,-78.2106
2020-12-06,-78.2106
2020-12-07,-78.2106
2020-12-08,-78.2106
2020-12-09,-78.2106
2020-12-10,-78.2106
2020-12-11,-78.2106
2020-12-12,-78.2106
2020-12-13,-78.2106
2020-12-14,-78.2106
2020-12-15,-78.2106
2020-12-16,-78.2106
2020-12-17,-78.2106
2020-12-18,-78.2106
2020-12-19,-78.2106
2020-12-20,-78.2106
2020-12-21,-78.2106
2020-12-22,-78.2106
2020-12-23,-78.2106
2020-12-24,-78.2106
2020-12-25,-78.2106
2020-12-26,-78.2106
2020-12-27,-78.2106
2020-12-28,-78.2106
2020-12-29,-78.2106
2020-12-30,-78.2106
2020-12-31,-78.3044
2021-01-01,-78.3044
2021-01-02,-78.3044
2021-01-03,-78.3044
2021-01-04,-78.3044
2021-01-05,-78.3044
2021-01-06,-78.3044
2021-01-07,-78.3044
2021-01-08,-78.3044
2021-01-09,-78.3044
2021-01-10,-78.3044
2021-01-11,-78.3044
2021-01-12,-78.3044
2021-01-13,-78.3044
2021-01-14,-78.3044
2021-01-15,-78.3044
2021-01-16,-78.3044
2021-01-17,-78.3044
2021-01-18,-78.3044
2021-01-19,-78.3044
2021-01-20,-78.3044
2021-01-21,-78.3044
2021-01-22,-78.3044
2021-01-23,-78.3044
2021-01-24,-78.3044
2021-01-25,-78.3044
2021-01-26,-78.3044
2021-01-27,-78.3044
2021-01-28,-78.3044
2021-01-29,-78.3044
2021-01-30,-78.3044
2021-01-31,-78.3044
2021-02-01,-78.3044
2021-02-02,-78.3044
2021-02-03,-78.3044
2021-02-04,-78.3044
2021-02-05,-78.3044
2021-02-06,-78.3044
2021-02-07,-78.3044
2021-02-08,-78.3044
2021-02-09,-78.3044
2021-02-10,-78.3044
2021-02-11,-78.3044
2021-02-12,-78.3044
2021-02-13,-78.3044
2021-02-14,-78.3044
2021-02-15,-78.3044
2021-02-16,-78.3044
2021-02-17,-78.3044
2021-02-18,-78.3044
2021-02-19,-78.3044
2021-02-20,-78.3044
2021-02-21,-78.3044
2021-02-22,-78.3044
2021-02-23,-78.3044
2021-02-24,-78.3044
2021-02-25,-78.3044
2021-02-26,-78.3044
2021-02-27,-78.3044
2021-02-28,-78.3044
2021-03-01,-78.3044
2021-03-02,-78.3044
2021-03-03,-78.3044
2021-03-04,-78.3044
2021-03-05,-78.3044
2021-03-06,-78.3044
2021-03-07,-78.3044
2021-03-08,-78.3044
2021-03-09,-78.3044
2021-03-10,-78.3044
2021-03-11,-78.3044
2021-03-12,-78.3044
2021-03-13,-78.3044
2021-03-14,-78.3044
2021-03-15,-78.3044
2021-03-16,-78.3044
2021-03-17,-78.3044
2021-03-18,-78.3044
2021-03-19,-78.3044
2021-03-20,-78.3044
2021-03-21,-78.3044
2021-03-22,-78.3044
2021-03-23,-78.3044
2021-03-24,-78.3044
2021-03-25,-78.3044
2021-03-26,-78.3044
2021-03-27,-78.3044
2021-03-28,-78.3044
2021-03-29,-78.3044
2021-03-30,-78.3044
2021-03-31,18.1975
2021-04-01,18.1975
2021-04-02,18.1975
2021-04-03,18.1975
2021-04-04,18.1975
2021-04-05,18.1975
2021-04-06,18.1975
2021-04-07,18.1975
2021-04-08,18.1975
2021-04-09,18.1975
2021-04-10,18.1975
2021-04-11,18.1975
2021-04-12,18.1975
2021-04-13,18.1975
2021-04-14,18.1975
2021-04-15,18.1975
2021-04-16,18.1975
2021-04-17,18.1975
2021-04-18,18.1975
2021-04-19,18.1975
2021-04-20,18.1975
2021-04-21,18.1975
2021-04-22,18.1975
2021-04-23,18.1975
2021-04-24,18.1975
2021-04-25,18.1975
2021-04-26,18.1975
2021-04-27,18.1975
2021-04-28,18.1975
2021-04-29,18.1975
2021-04-30,18.1975
2021-05-01,18.1975
2021-05-02,18.1975
2021-05-03,18.1975
2021-05-04,18.1975
2021-05-05,18.1975
2021-05-06,18.1975
2021-05-07,18.1975
2021-05-08,18.1975
2021-05-09,18.1975
2021-05-10,18.1975
2021-05-11,18.1975
2021-05-12,18.1975
2021-05-13,18.1975
2021-05-14,18.1975
2021-05-15,18.1975
2021-05-16,18.1975
2021-05-17,18.1975
2021-05-18,18.1975
2021-05-19,18.1975
2021-05-20,18.1975
2021-05-21,18.1975
2021-05-22,18.1975
2021-05-23,18.1975
2021-05-24,18.1975
2021-05-25,18.1975
2021-05-26,18.1975
2021-05-27,18.1975
2021-05-28,18.1975
2021-05-29,18.1975
2021-05-30,18.1975
2021-05-31,18.1975
2021-06-01,18.1975
2021-06-02,18.1975
2021-06-03,18.1975
2021-06-04,18.1975
2021-06-05,18.1975
2021-06-06,18.1975
2021-06-07,18.1975
2021-06-08,18.1975
2021-06-09,18.1975
2021-06-10,18.1975
2021-06-11,18.1975
2021-06-12,18.1975
2021-06-13,18.1975
2021-06-14,18.1975
2021-06-15,18.1975
2021-06-16,18.1975
2021-06-17,18.1975
2021-06-18,18.1975
2021-06-19,18.1975
2021-06-20,18.1975
2021-06-21,18.1975
2021-06-22,18.1975
2021-06-23,18.1975
2021-06-24,18.1975
2021-06-25,18.1975
2021-06-26,18.1975
2021-06-27,18.1975
