,M US Equity
2021-01-07,-90.6747
2021-01-08,-90.6747
2021-01-09,-90.6747
2021-01-10,-90.6747
2021-01-11,-90.6747
2021-01-12,-90.6747
2021-01-13,-90.6747
2021-01-14,-90.6747
2021-01-15,-90.6747
2021-01-16,-90.6747
2021-01-17,-90.6747
2021-01-18,-90.6747
2021-01-19,-90.6747
2021-01-20,-90.6747
2021-01-21,-90.6747
2021-01-22,-90.6747
2021-01-23,-90.6747
2021-01-24,-90.6747
2021-01-25,-90.6747
2021-01-26,-90.6747
2021-01-27,-90.6747
2021-01-28,-90.6747
2021-01-29,-90.6747
2021-01-30,-88.3091
2021-01-31,-88.3091
2021-02-01,-88.3091
2021-02-02,-88.3091
2021-02-03,-88.3091
2021-02-04,-88.3091
2021-02-05,-88.3091
2021-02-06,-88.3091
2021-02-07,-88.3091
2021-02-08,-88.3091
2021-02-09,-88.3091
2021-02-10,-88.3091
2021-02-11,-88.3091
2021-02-12,-88.3091
2021-02-13,-88.3091
2021-02-14,-88.3091
2021-02-15,-88.3091
2021-02-16,-88.3091
2021-02-17,-88.3091
2021-02-18,-88.3091
2021-02-19,-88.3091
2021-02-20,-88.3091
2021-02-21,-88.3091
2021-02-22,-88.3091
2021-02-23,-88.3091
2021-02-24,-88.3091
2021-02-25,-88.3091
2021-02-26,-88.3091
2021-02-27,-88.3091
2021-02-28,-88.3091
2021-03-01,-88.3091
2021-03-02,-88.3091
2021-03-03,-88.3091
2021-03-04,-88.3091
2021-03-05,-88.3091
2021-03-06,-88.3091
2021-03-07,-88.3091
2021-03-08,-88.3091
2021-03-09,-88.3091
2021-03-10,-88.3091
2021-03-11,-88.3091
2021-03-12,-88.3091
2021-03-13,-88.3091
2021-03-14,-88.3091
2021-03-15,-88.3091
2021-03-16,-88.3091
2021-03-17,-88.3091
2021-03-18,-88.3091
2021-03-19,-88.3091
2021-03-20,-88.3091
2021-03-21,-88.3091
2021-03-22,-88.3091
2021-03-23,-88.3091
2021-03-24,-88.3091
2021-03-25,-88.3091
2021-03-26,-88.3091
2021-03-27,-88.3091
2021-03-28,-88.3091
2021-03-29,-88.3091
2021-03-30,-88.3091
2021-03-31,-88.3091
2021-04-01,-88.3091
2021-04-02,-88.3091
2021-04-03,-88.3091
2021-04-04,-88.3091
2021-04-05,-88.3091
2021-04-06,-88.3091
2021-04-07,-88.3091
2021-04-08,-88.3091
2021-04-09,-88.3091
2021-04-10,-88.3091
2021-04-11,-88.3091
2021-04-12,-88.3091
2021-04-13,-88.3091
2021-04-14,-88.3091
2021-04-15,-88.3091
2021-04-16,-88.3091
2021-04-17,-88.3091
2021-04-18,-88.3091
2021-04-19,-88.3091
2021-04-20,-88.3091
2021-04-21,-88.3091
2021-04-22,-88.3091
2021-04-23,-88.3091
2021-04-24,-88.3091
2021-04-25,-88.3091
2021-04-26,-88.3091
2021-04-27,-88.3091
2021-04-28,-88.3091
2021-04-29,-88.3091
2021-04-30,-88.3091
2021-05-01,-9.6426
2021-05-02,-9.6426
2021-05-03,-9.6426
2021-05-04,-9.6426
2021-05-05,-9.6426
2021-05-06,-9.6426
2021-05-07,-9.6426
2021-05-08,-9.6426
2021-05-09,-9.6426
2021-05-10,-9.6426
2021-05-11,-9.6426
2021-05-12,-9.6426
2021-05-13,-9.6426
2021-05-14,-9.6426
2021-05-15,-9.6426
2021-05-16,-9.6426
2021-05-17,-9.6426
2021-05-18,-9.6426
2021-05-19,-9.6426
2021-05-20,-9.6426
2021-05-21,-9.6426
2021-05-22,-9.6426
2021-05-23,-9.6426
2021-05-24,-9.6426
2021-05-25,-9.6426
2021-05-26,-9.6426
2021-05-27,-9.6426
2021-05-28,-9.6426
2021-05-29,-9.6426
2021-05-30,-9.6426
2021-05-31,-9.6426
2021-06-01,-9.6426
2021-06-02,-9.6426
2021-06-03,-9.6426
2021-06-04,-9.6426
2021-06-05,-9.6426
2021-06-06,-9.6426
2021-06-07,-9.6426
2021-06-08,-9.6426
2021-06-09,-9.6426
2021-06-10,-9.6426
2021-06-11,-9.6426
2021-06-12,-9.6426
2021-06-13,-9.6426
2021-06-14,-9.6426
2021-06-15,-9.6426
2021-06-16,-9.6426
2021-06-17,-9.6426
2021-06-18,-9.6426
2021-06-19,-9.6426
2021-06-20,-9.6426
2021-06-21,-9.6426
2021-06-22,-9.6426
2021-06-23,-9.6426
2021-06-24,-9.6426
2021-06-25,-9.6426
2021-06-26,-9.6426
2021-06-27,-9.6426
2021-06-28,-9.6426
2021-06-29,-9.6426
2021-06-30,-9.6426
2021-07-01,-9.6426
2021-07-02,-9.6426
2021-07-03,-9.6426
2021-07-04,-9.6426
2021-07-05,-9.6426
2021-07-06,-9.6426
2021-07-07,-9.6426
2021-07-08,-9.6426
2021-07-09,-9.6426
2021-07-10,-9.6426
2021-07-11,-9.6426
2021-07-12,-9.6426
2021-07-13,-9.6426
2021-07-14,-9.6426
2021-07-15,-9.6426
2021-07-16,-9.6426
2021-07-17,-9.6426
2021-07-18,-9.6426
2021-07-19,-9.6426
2021-07-20,-9.6426
2021-07-21,-9.6426
2021-07-22,-9.6426
2021-07-23,-9.6426
2021-07-24,-9.6426
2021-07-25,-9.6426
2021-07-26,-9.6426
2021-07-27,-9.6426
2021-07-28,-9.6426
2021-07-29,-9.6426
2021-07-30,-9.6426
2021-07-31,18.9031
2021-08-01,18.9031
2021-08-02,18.9031
2021-08-03,18.9031
2021-08-04,18.9031
2021-08-05,18.9031
2021-08-06,18.9031
2021-08-07,18.9031
2021-08-08,18.9031
2021-08-09,18.9031
2021-08-10,18.9031
2021-08-11,18.9031
2021-08-12,18.9031
2021-08-13,18.9031
2021-08-14,18.9031
2021-08-15,18.9031
2021-08-16,18.9031
2021-08-17,18.9031
2021-08-18,18.9031
2021-08-19,18.9031
2021-08-20,18.9031
2021-08-21,18.9031
2021-08-22,18.9031
2021-08-23,18.9031
2021-08-24,18.9031
2021-08-25,18.9031
2021-08-26,18.9031
2021-08-27,18.9031
2021-08-28,18.9031
2021-08-29,18.9031
2021-08-30,18.9031
2021-08-31,18.9031
2021-09-01,18.9031
2021-09-02,18.9031
2021-09-03,18.9031
2021-09-04,18.9031
2021-09-05,18.9031
2021-09-06,18.9031
2021-09-07,18.9031
2021-09-08,18.9031
2021-09-09,18.9031
2021-09-10,18.9031
2021-09-11,18.9031
2021-09-12,18.9031
2021-09-13,18.9031
2021-09-14,18.9031
2021-09-15,18.9031
2021-09-16,18.9031
2021-09-17,18.9031
2021-09-18,18.9031
2021-09-19,18.9031
2021-09-20,18.9031
2021-09-21,18.9031
2021-09-22,18.9031
2021-09-23,18.9031
2021-09-24,18.9031
2021-09-25,18.9031
2021-09-26,18.9031
2021-09-27,18.9031
2021-09-28,18.9031
2021-09-29,18.9031
2021-09-30,18.9031
2021-10-01,18.9031
2021-10-02,18.9031
2021-10-03,18.9031
2021-10-04,18.9031
2021-10-05,18.9031
2021-10-06,18.9031
2021-10-07,18.9031
2021-10-08,18.9031
2021-10-09,18.9031
2021-10-10,18.9031
2021-10-11,18.9031
2021-10-12,18.9031
2021-10-13,18.9031
2021-10-14,18.9031
2021-10-15,18.9031
2021-10-16,18.9031
2021-10-17,18.9031
2021-10-18,18.9031
2021-10-19,18.9031
2021-10-20,18.9031
2021-10-21,18.9031
2021-10-22,18.9031
2021-10-23,18.9031
2021-10-24,18.9031
2021-10-25,18.9031
2021-10-26,18.9031
2021-10-27,18.9031
2021-10-28,18.9031
2021-10-29,18.9031
2021-10-30,32.2605
2021-10-31,32.2605
2021-11-01,32.2605
2021-11-02,32.2605
2021-11-03,32.2605
2021-11-04,32.2605
2021-11-05,32.2605
2021-11-06,32.2605
2021-11-07,32.2605
2021-11-08,32.2605
2021-11-09,32.2605
2021-11-10,32.2605
2021-11-11,32.2605
2021-11-12,32.2605
2021-11-13,32.2605
2021-11-14,32.2605
2021-11-15,32.2605
2021-11-16,32.2605
2021-11-17,32.2605
2021-11-18,32.2605
2021-11-19,32.2605
2021-11-20,32.2605
2021-11-21,32.2605
2021-11-22,32.2605
2021-11-23,32.2605
2021-11-24,32.2605
2021-11-25,32.2605
2021-11-26,32.2605
2021-11-27,32.2605
2021-11-28,32.2605
2021-11-29,32.2605
2021-11-30,32.2605
2021-12-01,32.2605
2021-12-02,32.2605
2021-12-03,32.2605
2021-12-04,32.2605
2021-12-05,32.2605
2021-12-06,32.2605
2021-12-07,32.2605
2021-12-08,32.2605
2021-12-09,32.2605
2021-12-10,32.2605
2021-12-11,32.2605
2021-12-12,32.2605
2021-12-13,32.2605
2021-12-14,32.2605
2021-12-15,32.2605
2021-12-16,32.2605
2021-12-17,32.2605
2021-12-18,32.2605
2021-12-19,32.2605
2021-12-20,32.2605
2021-12-21,32.2605
2021-12-22,32.2605
2021-12-23,32.2605
2021-12-24,32.2605
2021-12-25,32.2605
2021-12-26,32.2605
2021-12-27,32.2605
2021-12-28,32.2605
2021-12-29,32.2605
2021-12-30,32.2605
2021-12-31,32.2605
2022-01-01,32.2605
2022-01-02,32.2605
2022-01-03,32.2605
2022-01-04,32.2605
2022-01-05,32.2605
2022-01-06,32.2605
2022-01-07,32.2605
2022-01-08,32.2605
2022-01-09,32.2605
2022-01-10,32.2605
2022-01-11,32.2605
2022-01-12,32.2605
2022-01-13,32.2605
2022-01-14,32.2605
2022-01-15,32.2605
2022-01-16,32.2605
2022-01-17,32.2605
2022-01-18,32.2605
2022-01-19,32.2605
2022-01-20,32.2605
2022-01-21,32.2605
2022-01-22,32.2605
2022-01-23,32.2605
2022-01-24,32.2605
2022-01-25,32.2605
2022-01-26,32.2605
2022-01-27,32.2605
2022-01-28,32.2605
2022-01-29,46.2909
2022-01-30,46.2909
2022-01-31,46.2909
2022-02-01,46.2909
2022-02-02,46.2909
2022-02-03,46.2909
2022-02-04,46.2909
2022-02-05,46.2909
2022-02-06,46.2909
2022-02-07,46.2909
2022-02-08,46.2909
2022-02-09,46.2909
2022-02-10,46.2909
2022-02-11,46.2909
2022-02-12,46.2909
2022-02-13,46.2909
2022-02-14,46.2909
2022-02-15,46.2909
2022-02-16,46.2909
2022-02-17,46.2909
2022-02-18,46.2909
2022-02-19,46.2909
2022-02-20,46.2909
2022-02-21,46.2909
2022-02-22,46.2909
2022-02-23,46.2909
2022-02-24,46.2909
2022-02-25,46.2909
2022-02-26,46.2909
2022-02-27,46.2909
2022-02-28,46.2909
2022-03-01,46.2909
2022-03-02,46.2909
2022-03-03,46.2909
2022-03-04,46.2909
2022-03-05,46.2909
2022-03-06,46.2909
2022-03-07,46.2909
2022-03-08,46.2909
2022-03-09,46.2909
2022-03-10,46.2909
2022-03-11,46.2909
2022-03-12,46.2909
2022-03-13,46.2909
2022-03-14,46.2909
2022-03-15,46.2909
2022-03-16,46.2909
2022-03-17,46.2909
2022-03-18,46.2909
2022-03-19,46.2909
2022-03-20,46.2909
2022-03-21,46.2909
2022-03-22,46.2909
2022-03-23,46.2909
2022-03-24,46.2909
2022-03-25,46.2909
2022-03-26,46.2909
2022-03-27,46.2909
2022-03-28,46.2909
2022-03-29,46.2909
2022-03-30,46.2909
2022-03-31,46.2909
2022-04-01,46.2909
2022-04-02,46.2909
2022-04-03,46.2909
2022-04-04,46.2909
2022-04-05,46.2909
2022-04-06,46.2909
2022-04-07,46.2909
2022-04-08,46.2909
2022-04-09,46.2909
2022-04-10,46.2909
2022-04-11,46.2909
2022-04-12,46.2909
2022-04-13,46.2909
2022-04-14,46.2909
2022-04-15,46.2909
2022-04-16,46.2909
2022-04-17,46.2909
2022-04-18,46.2909
2022-04-19,46.2909
2022-04-20,46.2909
2022-04-21,46.2909
2022-04-22,46.2909
2022-04-23,46.2909
2022-04-24,46.2909
2022-04-25,46.2909
2022-04-26,46.2909
2022-04-27,46.2909
2022-04-28,46.2909
2022-04-29,46.2909
2022-04-30,54.1576
2022-05-01,54.1576
2022-05-02,54.1576
2022-05-03,54.1576
2022-05-04,54.1576
2022-05-05,54.1576
2022-05-06,54.1576
2022-05-07,54.1576
2022-05-08,54.1576
2022-05-09,54.1576
2022-05-10,54.1576
2022-05-11,54.1576
2022-05-12,54.1576
2022-05-13,54.1576
2022-05-14,54.1576
2022-05-15,54.1576
2022-05-16,54.1576
2022-05-17,54.1576
2022-05-18,54.1576
2022-05-19,54.1576
2022-05-20,54.1576
2022-05-21,54.1576
2022-05-22,54.1576
2022-05-23,54.1576
2022-05-24,54.1576
2022-05-25,54.1576
2022-05-26,54.1576
2022-05-27,54.1576
2022-05-28,54.1576
2022-05-29,54.1576
2022-05-30,54.1576
2022-05-31,54.1576
2022-06-01,54.1576
2022-06-02,54.1576
2022-06-03,54.1576
2022-06-04,54.1576
2022-06-05,54.1576
2022-06-06,54.1576
2022-06-07,54.1576
2022-06-08,54.1576
2022-06-09,54.1576
2022-06-10,54.1576
2022-06-11,54.1576
2022-06-12,54.1576
2022-06-13,54.1576
2022-06-14,54.1576
2022-06-15,54.1576
2022-06-16,54.1576
2022-06-17,54.1576
2022-06-18,54.1576
2022-06-19,54.1576
2022-06-20,54.1576
2022-06-21,54.1576
2022-06-22,54.1576
2022-06-23,54.1576
2022-06-24,54.1576
2022-06-25,54.1576
2022-06-26,54.1576
2022-06-27,54.1576
2022-06-28,54.1576
2022-06-29,54.1576
2022-06-30,54.1576
2022-07-01,54.1576
2022-07-02,54.1576
2022-07-03,54.1576
2022-07-04,54.1576
2022-07-05,54.1576
2022-07-06,54.1576
2022-07-07,54.1576
2022-07-08,54.1576
2022-07-09,54.1576
2022-07-10,54.1576
2022-07-11,54.1576
2022-07-12,54.1576
2022-07-13,54.1576
2022-07-14,54.1576
2022-07-15,54.1576
2022-07-16,54.1576
2022-07-17,54.1576
2022-07-18,54.1576
2022-07-19,54.1576
2022-07-20,54.1576
2022-07-21,54.1576
2022-07-22,54.1576
2022-07-23,54.1576
2022-07-24,54.1576
2022-07-25,54.1576
2022-07-26,54.1576
2022-07-27,54.1576
2022-07-28,54.1576
2022-07-29,54.1576
2022-07-30,46.1884
2022-07-31,46.1884
2022-08-01,46.1884
2022-08-02,46.1884
2022-08-03,46.1884
2022-08-04,46.1884
2022-08-05,46.1884
2022-08-06,46.1884
2022-08-07,46.1884
2022-08-08,46.1884
2022-08-09,46.1884
2022-08-10,46.1884
2022-08-11,46.1884
2022-08-12,46.1884
2022-08-13,46.1884
2022-08-14,46.1884
2022-08-15,46.1884
2022-08-16,46.1884
2022-08-17,46.1884
2022-08-18,46.1884
2022-08-19,46.1884
2022-08-20,46.1884
2022-08-21,46.1884
2022-08-22,46.1884
2022-08-23,46.1884
2022-08-24,46.1884
2022-08-25,46.1884
2022-08-26,46.1884
2022-08-27,46.1884
2022-08-28,46.1884
2022-08-29,46.1884
2022-08-30,46.1884
2022-08-31,46.1884
2022-09-01,46.1884
2022-09-02,46.1884
2022-09-03,46.1884
2022-09-04,46.1884
2022-09-05,46.1884
2022-09-06,46.1884
2022-09-07,46.1884
2022-09-08,46.1884
2022-09-09,46.1884
2022-09-10,46.1884
2022-09-11,46.1884
2022-09-12,46.1884
2022-09-13,46.1884
2022-09-14,46.1884
2022-09-15,46.1884
2022-09-16,46.1884
2022-09-17,46.1884
2022-09-18,46.1884
2022-09-19,46.1884
2022-09-20,46.1884
2022-09-21,46.1884
2022-09-22,46.1884
2022-09-23,46.1884
2022-09-24,46.1884
2022-09-25,46.1884
2022-09-26,46.1884
2022-09-27,46.1884
2022-09-28,46.1884
2022-09-29,46.1884
2022-09-30,46.1884
2022-10-01,46.1884
2022-10-02,46.1884
2022-10-03,46.1884
2022-10-04,46.1884
2022-10-05,46.1884
2022-10-06,46.1884
2022-10-07,46.1884
2022-10-08,46.1884
2022-10-09,46.1884
2022-10-10,46.1884
2022-10-11,46.1884
2022-10-12,46.1884
2022-10-13,46.1884
2022-10-14,46.1884
2022-10-15,46.1884
2022-10-16,46.1884
2022-10-17,46.1884
2022-10-18,46.1884
2022-10-19,46.1884
2022-10-20,46.1884
2022-10-21,46.1884
2022-10-22,46.1884
2022-10-23,46.1884
2022-10-24,46.1884
2022-10-25,46.1884
2022-10-26,46.1884
2022-10-27,46.1884
2022-10-28,46.1884
2022-10-29,43.5292
2022-10-30,43.5292
2022-10-31,43.5292
2022-11-01,43.5292
2022-11-02,43.5292
2022-11-03,43.5292
2022-11-04,43.5292
2022-11-05,43.5292
2022-11-06,43.5292
2022-11-07,43.5292
2022-11-08,43.5292
2022-11-09,43.5292
2022-11-10,43.5292
2022-11-11,43.5292
2022-11-12,43.5292
2022-11-13,43.5292
2022-11-14,43.5292
2022-11-15,43.5292
2022-11-16,43.5292
2022-11-17,43.5292
2022-11-18,43.5292
2022-11-19,43.5292
2022-11-20,43.5292
2022-11-21,43.5292
2022-11-22,43.5292
2022-11-23,43.5292
2022-11-24,43.5292
2022-11-25,43.5292
2022-11-26,43.5292
2022-11-27,43.5292
2022-11-28,43.5292
2022-11-29,43.5292
2022-11-30,43.5292
2022-12-01,43.5292
2022-12-02,43.5292
2022-12-03,43.5292
2022-12-04,43.5292
2022-12-05,43.5292
2022-12-06,43.5292
2022-12-07,43.5292
2022-12-08,43.5292
2022-12-09,43.5292
2022-12-10,43.5292
2022-12-11,43.5292
2022-12-12,43.5292
2022-12-13,43.5292
2022-12-14,43.5292
2022-12-15,43.5292
2022-12-16,43.5292
2022-12-17,43.5292
2022-12-18,43.5292
2022-12-19,43.5292
2022-12-20,43.5292
2022-12-21,43.5292
2022-12-22,43.5292
2022-12-23,43.5292
2022-12-24,43.5292
2022-12-25,43.5292
2022-12-26,43.5292
2022-12-27,43.5292
2022-12-28,43.5292
2022-12-29,43.5292
2022-12-30,43.5292
2022-12-31,43.5292
2023-01-01,43.5292
2023-01-02,43.5292
2023-01-03,43.5292
2023-01-04,43.5292
2023-01-05,43.5292
2023-01-06,43.5292
2023-01-07,43.5292
2023-01-08,43.5292
2023-01-09,43.5292
2023-01-10,43.5292
2023-01-11,43.5292
2023-01-12,43.5292
2023-01-13,43.5292
2023-01-14,43.5292
2023-01-15,43.5292
2023-01-16,43.5292
2023-01-17,43.5292
2023-01-18,43.5292
2023-01-19,43.5292
2023-01-20,43.5292
2023-01-21,43.5292
2023-01-22,43.5292
2023-01-23,43.5292
2023-01-24,43.5292
2023-01-25,43.5292
2023-01-26,43.5292
2023-01-27,43.5292
2023-01-28,30.5595
2023-01-29,30.5595
2023-01-30,30.5595
