,PDCO US Equity
,RETURN_COM_EQY
2021-08-08,18.0757
2021-08-09,18.0757
2021-08-10,18.0757
2021-08-11,18.0757
2021-08-12,18.0757
2021-08-13,18.0757
2021-08-14,18.0757
2021-08-15,18.0757
2021-08-16,18.0757
2021-08-17,18.0757
2021-08-18,18.0757
2021-08-19,18.0757
2021-08-20,18.0757
2021-08-21,18.0757
2021-08-22,18.0757
2021-08-23,18.0757
2021-08-24,18.0757
2021-08-25,18.0757
2021-08-26,18.0757
2021-08-27,18.0757
2021-08-28,18.0757
2021-08-29,18.0757
2021-08-30,18.0757
2021-08-31,18.0757
2021-09-01,18.0757
2021-09-02,18.0757
2021-09-03,18.0757
2021-09-04,18.0757
2021-09-05,18.0757
2021-09-06,18.0757
2021-09-07,18.0757
2021-09-08,18.0757
2021-09-09,18.0757
2021-09-10,18.0757
2021-09-11,18.0757
2021-09-12,18.0757
2021-09-13,18.0757
2021-09-14,18.0757
2021-09-15,18.0757
2021-09-16,18.0757
2021-09-17,18.0757
2021-09-18,18.0757
2021-09-19,18.0757
2021-09-20,18.0757
2021-09-21,18.0757
2021-09-22,18.0757
2021-09-23,18.0757
2021-09-24,18.0757
2021-09-25,18.0757
2021-09-26,18.0757
2021-09-27,18.0757
2021-09-28,18.0757
2021-09-29,18.0757
2021-09-30,18.0757
2021-10-01,18.0757
2021-10-02,18.0757
2021-10-03,18.0757
2021-10-04,18.0757
2021-10-05,18.0757
2021-10-06,18.0757
2021-10-07,18.0757
2021-10-08,18.0757
2021-10-09,18.0757
2021-10-10,18.0757
2021-10-11,18.0757
2021-10-12,18.0757
2021-10-13,18.0757
2021-10-14,18.0757
2021-10-15,18.0757
2021-10-16,18.0757
2021-10-17,18.0757
2021-10-18,18.0757
2021-10-19,18.0757
2021-10-20,18.0757
2021-10-21,18.0757
2021-10-22,18.0757
2021-10-23,18.0757
2021-10-24,18.0757
2021-10-25,18.0757
2021-10-26,18.0757
2021-10-27,18.0757
2021-10-28,18.0757
2021-10-29,18.0757
2021-10-30,16.808
2021-10-31,16.808
2021-11-01,16.808
2021-11-02,16.808
2021-11-03,16.808
2021-11-04,16.808
2021-11-05,16.808
2021-11-06,16.808
2021-11-07,16.808
2021-11-08,16.808
2021-11-09,16.808
2021-11-10,16.808
2021-11-11,16.808
2021-11-12,16.808
2021-11-13,16.808
2021-11-14,16.808
2021-11-15,16.808
2021-11-16,16.808
2021-11-17,16.808
2021-11-18,16.808
2021-11-19,16.808
2021-11-20,16.808
2021-11-21,16.808
2021-11-22,16.808
2021-11-23,16.808
2021-11-24,16.808
2021-11-25,16.808
2021-11-26,16.808
2021-11-27,16.808
2021-11-28,16.808
2021-11-29,16.808
2021-11-30,16.808
2021-12-01,16.808
2021-12-02,16.808
2021-12-03,16.808
2021-12-04,16.808
2021-12-05,16.808
2021-12-06,16.808
2021-12-07,16.808
2021-12-08,16.808
2021-12-09,16.808
2021-12-10,16.808
2021-12-11,16.808
2021-12-12,16.808
2021-12-13,16.808
2021-12-14,16.808
2021-12-15,16.808
2021-12-16,16.808
2021-12-17,16.808
2021-12-18,16.808
2021-12-19,16.808
2021-12-20,16.808
2021-12-21,16.808
2021-12-22,16.808
2021-12-23,16.808
2021-12-24,16.808
2021-12-25,16.808
2021-12-26,16.808
2021-12-27,16.808
2021-12-28,16.808
2021-12-29,16.808
2021-12-30,16.808
2021-12-31,16.808
2022-01-01,16.808
2022-01-02,16.808
2022-01-03,16.808
2022-01-04,16.808
2022-01-05,16.808
2022-01-06,16.808
2022-01-07,16.808
2022-01-08,16.808
2022-01-09,16.808
2022-01-10,16.808
2022-01-11,16.808
2022-01-12,16.808
2022-01-13,16.808
2022-01-14,16.808
2022-01-15,16.808
2022-01-16,16.808
2022-01-17,16.808
2022-01-18,16.808
2022-01-19,16.808
2022-01-20,16.808
2022-01-21,16.808
2022-01-22,16.808
2022-01-23,16.808
2022-01-24,16.808
2022-01-25,16.808
2022-01-26,16.808
2022-01-27,16.808
2022-01-28,16.808
2022-01-29,17.0116
2022-01-30,17.0116
2022-01-31,17.0116
2022-02-01,17.0116
2022-02-02,17.0116
2022-02-03,17.0116
2022-02-04,17.0116
