,DGX US Equity
,RETURN_COM_EQY
2021-10-18,34.0838
2021-10-19,34.0838
2021-10-20,34.0838
2021-10-21,34.0838
2021-10-22,34.0838
2021-10-23,34.0838
2021-10-24,34.0838
2021-10-25,34.0838
2021-10-26,34.0838
2021-10-27,34.0838
2021-10-28,34.0838
2021-10-29,34.0838
2021-10-30,34.0838
2021-10-31,34.0838
2021-11-01,34.0838
2021-11-02,34.0838
2021-11-03,34.0838
2021-11-04,34.0838
2021-11-05,34.0838
2021-11-06,34.0838
2021-11-07,34.0838
2021-11-08,34.0838
2021-11-09,34.0838
2021-11-10,34.0838
2021-11-11,34.0838
2021-11-12,34.0838
2021-11-13,34.0838
2021-11-14,34.0838
2021-11-15,34.0838
2021-11-16,34.0838
2021-11-17,34.0838
2021-11-18,34.0838
2021-11-19,34.0838
2021-11-20,34.0838
2021-11-21,34.0838
2021-11-22,34.0838
2021-11-23,34.0838
2021-11-24,34.0838
2021-11-25,34.0838
2021-11-26,34.0838
2021-11-27,34.0838
2021-11-28,34.0838
2021-11-29,34.0838
2021-11-30,34.0838
2021-12-01,34.0838
2021-12-02,34.0838
2021-12-03,34.0838
2021-12-04,34.0838
2021-12-05,34.0838
2021-12-06,34.0838
2021-12-07,34.0838
2021-12-08,34.0838
2021-12-09,34.0838
2021-12-10,34.0838
2021-12-11,34.0838
2021-12-12,34.0838
2021-12-13,34.0838
2021-12-14,34.0838
2021-12-15,34.0838
2021-12-16,34.0838
2021-12-17,34.0838
2021-12-18,34.0838
2021-12-19,34.0838
2021-12-20,34.0838
2021-12-21,34.0838
2021-12-22,34.0838
2021-12-23,34.0838
2021-12-24,34.0838
2021-12-25,34.0838
2021-12-26,34.0838
2021-12-27,34.0838
2021-12-28,34.0838
2021-12-29,34.0838
2021-12-30,34.0838
2021-12-31,30.1598
2022-01-01,30.1598
2022-01-02,30.1598
2022-01-03,30.1598
2022-01-04,30.1598
2022-01-05,30.1598
2022-01-06,30.1598
2022-01-07,30.1598
2022-01-08,30.1598
2022-01-09,30.1598
2022-01-10,30.1598
2022-01-11,30.1598
2022-01-12,30.1598
2022-01-13,30.1598
2022-01-14,30.1598
2022-01-15,30.1598
2022-01-16,30.1598
2022-01-17,30.1598
2022-01-18,30.1598
2022-01-19,30.1598
2022-01-20,30.1598
2022-01-21,30.1598
2022-01-22,30.1598
2022-01-23,30.1598
2022-01-24,30.1598
2022-01-25,30.1598
2022-01-26,30.1598
2022-01-27,30.1598
2022-01-28,30.1598
2022-01-29,30.1598
2022-01-30,30.1598
2022-01-31,30.1598
2022-02-01,30.1598
2022-02-02,30.1598
2022-02-03,30.1598
2022-02-04,30.1598
2022-02-05,30.1598
2022-02-06,30.1598
2022-02-07,30.1598
2022-02-08,30.1598
2022-02-09,30.1598
2022-02-10,30.1598
2022-02-11,30.1598
2022-02-12,30.1598
2022-02-13,30.1598
2022-02-14,30.1598
2022-02-15,30.1598
2022-02-16,30.1598
2022-02-17,30.1598
2022-02-18,30.1598
2022-02-19,30.1598
2022-02-20,30.1598
2022-02-21,30.1598
2022-02-22,30.1598
2022-02-23,30.1598
2022-02-24,30.1598
2022-02-25,30.1598
2022-02-26,30.1598
2022-02-27,30.1598
2022-02-28,30.1598
2022-03-01,30.1598
2022-03-02,30.1598
2022-03-03,30.1598
2022-03-04,30.1598
2022-03-05,30.1598
2022-03-06,30.1598
2022-03-07,30.1598
2022-03-08,30.1598
2022-03-09,30.1598
2022-03-10,30.1598
2022-03-11,30.1598
2022-03-12,30.1598
2022-03-13,30.1598
2022-03-14,30.1598
2022-03-15,30.1598
2022-03-16,30.1598
2022-03-17,30.1598
2022-03-18,30.1598
2022-03-19,30.1598
2022-03-20,30.1598
2022-03-21,30.1598
2022-03-22,30.1598
2022-03-23,30.1598
2022-03-24,30.1598
2022-03-25,30.1598
2022-03-26,30.1598
2022-03-27,30.1598
2022-03-28,30.1598
2022-03-29,30.1598
2022-03-30,30.1598
2022-03-31,28.6084
2022-04-01,28.6084
2022-04-02,28.6084
2022-04-03,28.6084
2022-04-04,28.6084
2022-04-05,28.6084
2022-04-06,28.6084
2022-04-07,28.6084
2022-04-08,28.6084
2022-04-09,28.6084
2022-04-10,28.6084
2022-04-11,28.6084
2022-04-12,28.6084
2022-04-13,28.6084
2022-04-14,28.6084
2022-04-15,28.6084
2022-04-16,28.6084
2022-04-17,28.6084
2022-04-18,28.6084
2022-04-19,28.6084
2022-04-20,28.6084
2022-04-21,28.6084
2022-04-22,28.6084
2022-04-23,28.6084
2022-04-24,28.6084
2022-04-25,28.6084
2022-04-26,28.6084
2022-04-27,28.6084
2022-04-28,28.6084
2022-04-29,28.6084
2022-04-30,28.6084
2022-05-01,28.6084
2022-05-02,28.6084
2022-05-03,28.6084
2022-05-04,28.6084
2022-05-05,28.6084
2022-05-06,28.6084
2022-05-07,28.6084
2022-05-08,28.6084
2022-05-09,28.6084
2022-05-10,28.6084
2022-05-11,28.6084
2022-05-12,28.6084
2022-05-13,28.6084
2022-05-14,28.6084
2022-05-15,28.6084
2022-05-16,28.6084
2022-05-17,28.6084
2022-05-18,28.6084
2022-05-19,28.6084
2022-05-20,28.6084
2022-05-21,28.6084
2022-05-22,28.6084
2022-05-23,28.6084
2022-05-24,28.6084
2022-05-25,28.6084
2022-05-26,28.6084
2022-05-27,28.6084
2022-05-28,28.6084
2022-05-29,28.6084
2022-05-30,28.6084
2022-05-31,28.6084
2022-06-01,28.6084
