,CORT US Equity
,RETURN_COM_EQY
2022-03-03,25.0265
2022-03-04,25.0265
2022-03-05,25.0265
2022-03-06,25.0265
2022-03-07,25.0265
2022-03-08,25.0265
2022-03-09,25.0265
2022-03-10,25.0265
2022-03-11,25.0265
2022-03-12,25.0265
2022-03-13,25.0265
2022-03-14,25.0265
2022-03-15,25.0265
2022-03-16,25.0265
2022-03-17,25.0265
2022-03-18,25.0265
2022-03-19,25.0265
2022-03-20,25.0265
2022-03-21,25.0265
2022-03-22,25.0265
2022-03-23,25.0265
2022-03-24,25.0265
2022-03-25,25.0265
2022-03-26,25.0265
2022-03-27,25.0265
2022-03-28,25.0265
2022-03-29,25.0265
2022-03-30,25.0265
2022-03-31,24.3506
2022-04-01,24.3506
2022-04-02,24.3506
2022-04-03,24.3506
2022-04-04,24.3506
2022-04-05,24.3506
2022-04-06,24.3506
2022-04-07,24.3506
2022-04-08,24.3506
2022-04-09,24.3506
2022-04-10,24.3506
2022-04-11,24.3506
2022-04-12,24.3506
2022-04-13,24.3506
2022-04-14,24.3506
2022-04-15,24.3506
2022-04-16,24.3506
2022-04-17,24.3506
2022-04-18,24.3506
2022-04-19,24.3506
2022-04-20,24.3506
2022-04-21,24.3506
2022-04-22,24.3506
2022-04-23,24.3506
2022-04-24,24.3506
2022-04-25,24.3506
2022-04-26,24.3506
2022-04-27,24.3506
2022-04-28,24.3506
2022-04-29,24.3506
2022-04-30,24.3506
2022-05-01,24.3506
2022-05-02,24.3506
2022-05-03,24.3506
2022-05-04,24.3506
2022-05-05,24.3506
2022-05-06,24.3506
2022-05-07,24.3506
2022-05-08,24.3506
2022-05-09,24.3506
2022-05-10,24.3506
2022-05-11,24.3506
2022-05-12,24.3506
2022-05-13,24.3506
2022-05-14,24.3506
2022-05-15,24.3506
2022-05-16,24.3506
2022-05-17,24.3506
2022-05-18,24.3506
2022-05-19,24.3506
2022-05-20,24.3506
2022-05-21,24.3506
2022-05-22,24.3506
2022-05-23,24.3506
2022-05-24,24.3506
2022-05-25,24.3506
2022-05-26,24.3506
2022-05-27,24.3506
2022-05-28,24.3506
2022-05-29,24.3506
2022-05-30,24.3506
2022-05-31,24.3506
2022-06-01,24.3506
2022-06-02,24.3506
2022-06-03,24.3506
2022-06-04,24.3506
2022-06-05,24.3506
2022-06-06,24.3506
2022-06-07,24.3506
2022-06-08,24.3506
2022-06-09,24.3506
2022-06-10,24.3506
2022-06-11,24.3506
2022-06-12,24.3506
2022-06-13,24.3506
2022-06-14,24.3506
2022-06-15,24.3506
2022-06-16,24.3506
2022-06-17,24.3506
2022-06-18,24.3506
2022-06-19,24.3506
2022-06-20,24.3506
