,RS US Equity
2021-10-10,20.5734
2021-10-11,20.5734
2021-10-12,20.5734
2021-10-13,20.5734
2021-10-14,20.5734
2021-10-15,20.5734
2021-10-16,20.5734
2021-10-17,20.5734
2021-10-18,20.5734
2021-10-19,20.5734
2021-10-20,20.5734
2021-10-21,20.5734
2021-10-22,20.5734
2021-10-23,20.5734
2021-10-24,20.5734
2021-10-25,20.5734
2021-10-26,20.5734
2021-10-27,20.5734
2021-10-28,20.5734
2021-10-29,20.5734
2021-10-30,20.5734
2021-10-31,20.5734
2021-11-01,20.5734
2021-11-02,20.5734
2021-11-03,20.5734
2021-11-04,20.5734
2021-11-05,20.5734
2021-11-06,20.5734
2021-11-07,20.5734
2021-11-08,20.5734
2021-11-09,20.5734
2021-11-10,20.5734
2021-11-11,20.5734
2021-11-12,20.5734
2021-11-13,20.5734
2021-11-14,20.5734
2021-11-15,20.5734
2021-11-16,20.5734
2021-11-17,20.5734
2021-11-18,20.5734
2021-11-19,20.5734
2021-11-20,20.5734
2021-11-21,20.5734
2021-11-22,20.5734
2021-11-23,20.5734
2021-11-24,20.5734
2021-11-25,20.5734
2021-11-26,20.5734
2021-11-27,20.5734
2021-11-28,20.5734
2021-11-29,20.5734
2021-11-30,20.5734
2021-12-01,20.5734
2021-12-02,20.5734
2021-12-03,20.5734
2021-12-04,20.5734
2021-12-05,20.5734
2021-12-06,20.5734
2021-12-07,20.5734
2021-12-08,20.5734
2021-12-09,20.5734
2021-12-10,20.5734
2021-12-11,20.5734
2021-12-12,20.5734
2021-12-13,20.5734
2021-12-14,20.5734
2021-12-15,20.5734
2021-12-16,20.5734
2021-12-17,20.5734
2021-12-18,20.5734
2021-12-19,20.5734
2021-12-20,20.5734
2021-12-21,20.5734
2021-12-22,20.5734
2021-12-23,20.5734
2021-12-24,20.5734
2021-12-25,20.5734
2021-12-26,20.5734
2021-12-27,20.5734
2021-12-28,20.5734
2021-12-29,20.5734
2021-12-30,20.5734
2021-12-31,25.2279
2022-01-01,25.2279
2022-01-02,25.2279
2022-01-03,25.2279
2022-01-04,25.2279
2022-01-05,25.2279
2022-01-06,25.2279
2022-01-07,25.2279
2022-01-08,25.2279
2022-01-09,25.2279
2022-01-10,25.2279
2022-01-11,25.2279
2022-01-12,25.2279
2022-01-13,25.2279
2022-01-14,25.2279
2022-01-15,25.2279
2022-01-16,25.2279
2022-01-17,25.2279
2022-01-18,25.2279
2022-01-19,25.2279
2022-01-20,25.2279
2022-01-21,25.2279
2022-01-22,25.2279
2022-01-23,25.2279
2022-01-24,25.2279
2022-01-25,25.2279
2022-01-26,25.2279
2022-01-27,25.2279
2022-01-28,25.2279
2022-01-29,25.2279
2022-01-30,25.2279
2022-01-31,25.2279
2022-02-01,25.2279
2022-02-02,25.2279
2022-02-03,25.2279
2022-02-04,25.2279
2022-02-05,25.2279
2022-02-06,25.2279
2022-02-07,25.2279
2022-02-08,25.2279
2022-02-09,25.2279
2022-02-10,25.2279
2022-02-11,25.2279
2022-02-12,25.2279
2022-02-13,25.2279
2022-02-14,25.2279
2022-02-15,25.2279
2022-02-16,25.2279
2022-02-17,25.2279
2022-02-18,25.2279
2022-02-19,25.2279
2022-02-20,25.2279
2022-02-21,25.2279
2022-02-22,25.2279
2022-02-23,25.2279
2022-02-24,25.2279
2022-02-25,25.2279
2022-02-26,25.2279
2022-02-27,25.2279
2022-02-28,25.2279
2022-03-01,25.2279
2022-03-02,25.2279
2022-03-03,25.2279
2022-03-04,25.2279
2022-03-05,25.2279
2022-03-06,25.2279
2022-03-07,25.2279
2022-03-08,25.2279
2022-03-09,25.2279
2022-03-10,25.2279
2022-03-11,25.2279
2022-03-12,25.2279
2022-03-13,25.2279
2022-03-14,25.2279
2022-03-15,25.2279
2022-03-16,25.2279
2022-03-17,25.2279
2022-03-18,25.2279
2022-03-19,25.2279
2022-03-20,25.2279
2022-03-21,25.2279
2022-03-22,25.2279
2022-03-23,25.2279
2022-03-24,25.2279
2022-03-25,25.2279
2022-03-26,25.2279
2022-03-27,25.2279
2022-03-28,25.2279
2022-03-29,25.2279
2022-03-30,25.2279
2022-03-31,28.1183
2022-04-01,28.1183
2022-04-02,28.1183
2022-04-03,28.1183
2022-04-04,28.1183
2022-04-05,28.1183
2022-04-06,28.1183
2022-04-07,28.1183
2022-04-08,28.1183
2022-04-09,28.1183
2022-04-10,28.1183
2022-04-11,28.1183
2022-04-12,28.1183
2022-04-13,28.1183
2022-04-14,28.1183
2022-04-15,28.1183
2022-04-16,28.1183
2022-04-17,28.1183
2022-04-18,28.1183
2022-04-19,28.1183
2022-04-20,28.1183
2022-04-21,28.1183
2022-04-22,28.1183
2022-04-23,28.1183
2022-04-24,28.1183
2022-04-25,28.1183
2022-04-26,28.1183
2022-04-27,28.1183
2022-04-28,28.1183
2022-04-29,28.1183
2022-04-30,28.1183
2022-05-01,28.1183
2022-05-02,28.1183
2022-05-03,28.1183
2022-05-04,28.1183
2022-05-05,28.1183
2022-05-06,28.1183
2022-05-07,28.1183
2022-05-08,28.1183
2022-05-09,28.1183
2022-05-10,28.1183
2022-05-11,28.1183
2022-05-12,28.1183
2022-05-13,28.1183
2022-05-14,28.1183
2022-05-15,28.1183
2022-05-16,28.1183
2022-05-17,28.1183
2022-05-18,28.1183
2022-05-19,28.1183
2022-05-20,28.1183
2022-05-21,28.1183
2022-05-22,28.1183
2022-05-23,28.1183
2022-05-24,28.1183
2022-05-25,28.1183
2022-05-26,28.1183
2022-05-27,28.1183
2022-05-28,28.1183
2022-05-29,28.1183
2022-05-30,28.1183
2022-05-31,28.1183
2022-06-01,28.1183
2022-06-02,28.1183
2022-06-03,28.1183
2022-06-04,28.1183
2022-06-05,28.1183
2022-06-06,28.1183
2022-06-07,28.1183
2022-06-08,28.1183
2022-06-09,28.1183
2022-06-10,28.1183
2022-06-11,28.1183
2022-06-12,28.1183
2022-06-13,28.1183
2022-06-14,28.1183
2022-06-15,28.1183
2022-06-16,28.1183
2022-06-17,28.1183
2022-06-18,28.1183
2022-06-19,28.1183
2022-06-20,28.1183
2022-06-21,28.1183
2022-06-22,28.1183
2022-06-23,28.1183
2022-06-24,28.1183
2022-06-25,28.1183
2022-06-26,28.1183
2022-06-27,28.1183
2022-06-28,28.1183
2022-06-29,28.1183
2022-06-30,30.6439
2022-07-01,30.6439
2022-07-02,30.6439
2022-07-03,30.6439
2022-07-04,30.6439
2022-07-05,30.6439
2022-07-06,30.6439
2022-07-07,30.6439
2022-07-08,30.6439
2022-07-09,30.6439
2022-07-10,30.6439
2022-07-11,30.6439
2022-07-12,30.6439
2022-07-13,30.6439
2022-07-14,30.6439
2022-07-15,30.6439
2022-07-16,30.6439
2022-07-17,30.6439
2022-07-18,30.6439
2022-07-19,30.6439
2022-07-20,30.6439
2022-07-21,30.6439
2022-07-22,30.6439
2022-07-23,30.6439
2022-07-24,30.6439
2022-07-25,30.6439
2022-07-26,30.6439
2022-07-27,30.6439
2022-07-28,30.6439
2022-07-29,30.6439
2022-07-30,30.6439
2022-07-31,30.6439
2022-08-01,30.6439
2022-08-02,30.6439
2022-08-03,30.6439
2022-08-04,30.6439
2022-08-05,30.6439
2022-08-06,30.6439
2022-08-07,30.6439
2022-08-08,30.6439
2022-08-09,30.6439
2022-08-10,30.6439
2022-08-11,30.6439
2022-08-12,30.6439
2022-08-13,30.6439
2022-08-14,30.6439
2022-08-15,30.6439
2022-08-16,30.6439
2022-08-17,30.6439
2022-08-18,30.6439
2022-08-19,30.6439
2022-08-20,30.6439
2022-08-21,30.6439
2022-08-22,30.6439
2022-08-23,30.6439
2022-08-24,30.6439
2022-08-25,30.6439
2022-08-26,30.6439
2022-08-27,30.6439
2022-08-28,30.6439
2022-08-29,30.6439
2022-08-30,30.6439
2022-08-31,30.6439
2022-09-01,30.6439
2022-09-02,30.6439
2022-09-03,30.6439
2022-09-04,30.6439
2022-09-05,30.6439
2022-09-06,30.6439
2022-09-07,30.6439
2022-09-08,30.6439
2022-09-09,30.6439
2022-09-10,30.6439
2022-09-11,30.6439
2022-09-12,30.6439
2022-09-13,30.6439
2022-09-14,30.6439
2022-09-15,30.6439
2022-09-16,30.6439
2022-09-17,30.6439
2022-09-18,30.6439
2022-09-19,30.6439
2022-09-20,30.6439
2022-09-21,30.6439
2022-09-22,30.6439
2022-09-23,30.6439
2022-09-24,30.6439
2022-09-25,30.6439
2022-09-26,30.6439
2022-09-27,30.6439
2022-09-28,30.6439
2022-09-29,30.6439
2022-09-30,30.0754
2022-10-01,30.0754
2022-10-02,30.0754
2022-10-03,30.0754
2022-10-04,30.0754
2022-10-05,30.0754
2022-10-06,30.0754
2022-10-07,30.0754
2022-10-08,30.0754
2022-10-09,30.0754
2022-10-10,30.0754
2022-10-11,30.0754
2022-10-12,30.0754
2022-10-13,30.0754
2022-10-14,30.0754
2022-10-15,30.0754
2022-10-16,30.0754
2022-10-17,30.0754
2022-10-18,30.0754
2022-10-19,30.0754
2022-10-20,30.0754
2022-10-21,30.0754
2022-10-22,30.0754
2022-10-23,30.0754
2022-10-24,30.0754
2022-10-25,30.0754
2022-10-26,30.0754
2022-10-27,30.0754
2022-10-28,30.0754
2022-10-29,30.0754
2022-10-30,30.0754
2022-10-31,30.0754
2022-11-01,30.0754
2022-11-02,30.0754
2022-11-03,30.0754
2022-11-04,30.0754
2022-11-05,30.0754
2022-11-06,30.0754
2022-11-07,30.0754
2022-11-08,30.0754
2022-11-09,30.0754
2022-11-10,30.0754
2022-11-11,30.0754
2022-11-12,30.0754
2022-11-13,30.0754
2022-11-14,30.0754
2022-11-15,30.0754
2022-11-16,30.0754
2022-11-17,30.0754
2022-11-18,30.0754
2022-11-19,30.0754
2022-11-20,30.0754
2022-11-21,30.0754
2022-11-22,30.0754
2022-11-23,30.0754
2022-11-24,30.0754
2022-11-25,30.0754
2022-11-26,30.0754
2022-11-27,30.0754
2022-11-28,30.0754
2022-11-29,30.0754
2022-11-30,30.0754
2022-12-01,30.0754
2022-12-02,30.0754
2022-12-03,30.0754
2022-12-04,30.0754
2022-12-05,30.0754
2022-12-06,30.0754
2022-12-07,30.0754
2022-12-08,30.0754
2022-12-09,30.0754
2022-12-10,30.0754
2022-12-11,30.0754
2022-12-12,30.0754
2022-12-13,30.0754
2022-12-14,30.0754
2022-12-15,30.0754
2022-12-16,30.0754
2022-12-17,30.0754
2022-12-18,30.0754
2022-12-19,30.0754
2022-12-20,30.0754
2022-12-21,30.0754
2022-12-22,30.0754
2022-12-23,30.0754
2022-12-24,30.0754
2022-12-25,30.0754
2022-12-26,30.0754
2022-12-27,30.0754
2022-12-28,30.0754
2022-12-29,30.0754
2022-12-30,30.0754
2022-12-31,27.9355
2023-01-01,27.9355
2023-01-02,27.9355
2023-01-03,27.9355
2023-01-04,27.9355
2023-01-05,27.9355
2023-01-06,27.9355
2023-01-07,27.9355
2023-01-08,27.9355
2023-01-09,27.9355
2023-01-10,27.9355
2023-01-11,27.9355
2023-01-12,27.9355
2023-01-13,27.9355
2023-01-14,27.9355
2023-01-15,27.9355
2023-01-16,27.9355
2023-01-17,27.9355
2023-01-18,27.9355
2023-01-19,27.9355
2023-01-20,27.9355
2023-01-21,27.9355
2023-01-22,27.9355
2023-01-23,27.9355
2023-01-24,27.9355
2023-01-25,27.9355
2023-01-26,27.9355
2023-01-27,27.9355
2023-01-28,27.9355
2023-01-29,27.9355
2023-01-30,27.9355
2023-01-31,27.9355
2023-02-01,27.9355
2023-02-02,27.9355
2023-02-03,27.9355
2023-02-04,27.9355
2023-02-05,27.9355
2023-02-06,27.9355
2023-02-07,27.9355
2023-02-08,27.9355
2023-02-09,27.9355
2023-02-10,27.9355
2023-02-11,27.9355
2023-02-12,27.9355
2023-02-13,27.9355
2023-02-14,27.9355
2023-02-15,27.9355
2023-02-16,27.9355
2023-02-17,27.9355
2023-02-18,27.9355
2023-02-19,27.9355
2023-02-20,27.9355
2023-02-21,27.9355
2023-02-22,27.9355
2023-02-23,27.9355
2023-02-24,27.9355
2023-02-25,27.9355
2023-02-26,27.9355
2023-02-27,27.9355
2023-02-28,27.9355
2023-03-01,27.9355
2023-03-02,27.9355
2023-03-03,27.9355
2023-03-04,27.9355
2023-03-05,27.9355
2023-03-06,27.9355
2023-03-07,27.9355
2023-03-08,27.9355
2023-03-09,27.9355
2023-03-10,27.9355
2023-03-11,27.9355
2023-03-12,27.9355
2023-03-13,27.9355
2023-03-14,27.9355
2023-03-15,27.9355
2023-03-16,27.9355
