,QCOM US Equity
,RETURN_COM_EQY
2020-10-06,94.6295
2020-10-07,94.6295
2020-10-08,94.6295
2020-10-09,94.6295
2020-10-10,94.6295
2020-10-11,94.6295
2020-10-12,94.6295
2020-10-13,94.6295
2020-10-14,94.6295
2020-10-15,94.6295
2020-10-16,94.6295
2020-10-17,94.6295
2020-10-18,94.6295
2020-10-19,94.6295
2020-10-20,94.6295
2020-10-21,94.6295
2020-10-22,94.6295
2020-10-23,94.6295
2020-10-24,94.6295
2020-10-25,94.6295
2020-10-26,94.6295
2020-10-27,94.6295
2020-10-28,94.6295
2020-10-29,94.6295
2020-10-30,94.6295
2020-10-31,94.6295
2020-11-01,94.6295
2020-11-02,94.6295
2020-11-03,94.6295
2020-11-04,94.6295
2020-11-05,94.6295
2020-11-06,94.6295
2020-11-07,94.6295
2020-11-08,94.6295
2020-11-09,94.6295
2020-11-10,94.6295
2020-11-11,94.6295
2020-11-12,94.6295
2020-11-13,94.6295
2020-11-14,94.6295
2020-11-15,94.6295
2020-11-16,94.6295
2020-11-17,94.6295
2020-11-18,94.6295
2020-11-19,94.6295
2020-11-20,94.6295
2020-11-21,94.6295
2020-11-22,94.6295
2020-11-23,94.6295
2020-11-24,94.6295
2020-11-25,94.6295
2020-11-26,94.6295
2020-11-27,94.6295
2020-11-28,94.6295
2020-11-29,94.6295
2020-11-30,94.6295
2020-12-01,94.6295
2020-12-02,94.6295
2020-12-03,94.6295
2020-12-04,94.6295
2020-12-05,94.6295
2020-12-06,94.6295
2020-12-07,94.6295
2020-12-08,94.6295
2020-12-09,94.6295
2020-12-10,94.6295
2020-12-11,94.6295
2020-12-12,94.6295
2020-12-13,94.6295
2020-12-14,94.6295
2020-12-15,94.6295
2020-12-16,94.6295
2020-12-17,94.6295
2020-12-18,94.6295
2020-12-19,94.6295
2020-12-20,94.6295
2020-12-21,94.6295
2020-12-22,94.6295
2020-12-23,94.6295
2020-12-24,94.6295
2020-12-25,94.6295
2020-12-26,94.6295
2020-12-27,113.1422
2020-12-28,113.1422
2020-12-29,113.1422
2020-12-30,113.1422
2020-12-31,113.1422
2021-01-01,113.1422
2021-01-02,113.1422
2021-01-03,113.1422
2021-01-04,113.1422
2021-01-05,113.1422
2021-01-06,113.1422
2021-01-07,113.1422
2021-01-08,113.1422
2021-01-09,113.1422
2021-01-10,113.1422
2021-01-11,113.1422
2021-01-12,113.1422
2021-01-13,113.1422
2021-01-14,113.1422
2021-01-15,113.1422
2021-01-16,113.1422
2021-01-17,113.1422
2021-01-18,113.1422
2021-01-19,113.1422
2021-01-20,113.1422
2021-01-21,113.1422
2021-01-22,113.1422
2021-01-23,113.1422
2021-01-24,113.1422
2021-01-25,113.1422
2021-01-26,113.1422
2021-01-27,113.1422
2021-01-28,113.1422
2021-01-29,113.1422
2021-01-30,113.1422
2021-01-31,113.1422
2021-02-01,113.1422
2021-02-02,113.1422
2021-02-03,113.1422
2021-02-04,113.1422
2021-02-05,113.1422
2021-02-06,113.1422
2021-02-07,113.1422
2021-02-08,113.1422
2021-02-09,113.1422
2021-02-10,113.1422
2021-02-11,113.1422
2021-02-12,113.1422
2021-02-13,113.1422
2021-02-14,113.1422
2021-02-15,113.1422
2021-02-16,113.1422
2021-02-17,113.1422
2021-02-18,113.1422
2021-02-19,113.1422
2021-02-20,113.1422
2021-02-21,113.1422
2021-02-22,113.1422
2021-02-23,113.1422
2021-02-24,113.1422
2021-02-25,113.1422
2021-02-26,113.1422
2021-02-27,113.1422
2021-02-28,113.1422
2021-03-01,113.1422
2021-03-02,113.1422
2021-03-03,113.1422
2021-03-04,113.1422
2021-03-05,113.1422
2021-03-06,113.1422
2021-03-07,113.1422
2021-03-08,113.1422
2021-03-09,113.1422
2021-03-10,113.1422
2021-03-11,113.1422
2021-03-12,113.1422
2021-03-13,113.1422
2021-03-14,113.1422
2021-03-15,113.1422
2021-03-16,113.1422
2021-03-17,113.1422
2021-03-18,113.1422
2021-03-19,113.1422
2021-03-20,113.1422
2021-03-21,113.1422
2021-03-22,113.1422
2021-03-23,113.1422
2021-03-24,113.1422
2021-03-25,113.1422
2021-03-26,113.1422
2021-03-27,113.1422
2021-03-28,153.2525
2021-03-29,153.2525
2021-03-30,153.2525
2021-03-31,153.2525
2021-04-01,153.2525
2021-04-02,153.2525
2021-04-03,153.2525
2021-04-04,153.2525
2021-04-05,153.2525
2021-04-06,153.2525
2021-04-07,153.2525
2021-04-08,153.2525
2021-04-09,153.2525
2021-04-10,153.2525
2021-04-11,153.2525
2021-04-12,153.2525
2021-04-13,153.2525
2021-04-14,153.2525
2021-04-15,153.2525
2021-04-16,153.2525
2021-04-17,153.2525
2021-04-18,153.2525
2021-04-19,153.2525
2021-04-20,153.2525
2021-04-21,153.2525
2021-04-22,153.2525
2021-04-23,153.2525
2021-04-24,153.2525
2021-04-25,153.2525
2021-04-26,153.2525
2021-04-27,153.2525
2021-04-28,153.2525
2021-04-29,153.2525
2021-04-30,153.2525
2021-05-01,153.2525
2021-05-02,153.2525
2021-05-03,153.2525
2021-05-04,153.2525
2021-05-05,153.2525
2021-05-06,153.2525
2021-05-07,153.2525
2021-05-08,153.2525
2021-05-09,153.2525
2021-05-10,153.2525
2021-05-11,153.2525
2021-05-12,153.2525
2021-05-13,153.2525
2021-05-14,153.2525
2021-05-15,153.2525
2021-05-16,153.2525
2021-05-17,153.2525
2021-05-18,153.2525
2021-05-19,153.2525
2021-05-20,153.2525
2021-05-21,153.2525
2021-05-22,153.2525
2021-05-23,153.2525
2021-05-24,153.2525
2021-05-25,153.2525
2021-05-26,153.2525
2021-05-27,153.2525
2021-05-28,153.2525
2021-05-29,153.2525
2021-05-30,153.2525
2021-05-31,153.2525
2021-06-01,153.2525
2021-06-02,153.2525
2021-06-03,153.2525
2021-06-04,153.2525
2021-06-05,153.2525
2021-06-06,153.2525
2021-06-07,153.2525
2021-06-08,153.2525
2021-06-09,153.2525
2021-06-10,153.2525
2021-06-11,153.2525
2021-06-12,153.2525
2021-06-13,153.2525
2021-06-14,153.2525
2021-06-15,153.2525
2021-06-16,153.2525
2021-06-17,153.2525
2021-06-18,153.2525
2021-06-19,153.2525
2021-06-20,153.2525
2021-06-21,153.2525
2021-06-22,153.2525
2021-06-23,153.2525
2021-06-24,153.2525
2021-06-25,153.2525
2021-06-26,153.2525
2021-06-27,160.3065
2021-06-28,160.3065
2021-06-29,160.3065
2021-06-30,160.3065
2021-07-01,160.3065
2021-07-02,160.3065
2021-07-03,160.3065
2021-07-04,160.3065
2021-07-05,160.3065
2021-07-06,160.3065
2021-07-07,160.3065
2021-07-08,160.3065
2021-07-09,160.3065
2021-07-10,160.3065
2021-07-11,160.3065
2021-07-12,160.3065
2021-07-13,160.3065
2021-07-14,160.3065
2021-07-15,160.3065
2021-07-16,160.3065
2021-07-17,160.3065
2021-07-18,160.3065
2021-07-19,160.3065
2021-07-20,160.3065
2021-07-21,160.3065
2021-07-22,160.3065
2021-07-23,160.3065
2021-07-24,160.3065
2021-07-25,160.3065
2021-07-26,160.3065
2021-07-27,160.3065
2021-07-28,160.3065
2021-07-29,160.3065
2021-07-30,160.3065
2021-07-31,160.3065
2021-08-01,160.3065
2021-08-02,160.3065
2021-08-03,160.3065
2021-08-04,160.3065
2021-08-05,160.3065
2021-08-06,160.3065
2021-08-07,160.3065
2021-08-08,160.3065
2021-08-09,160.3065
2021-08-10,160.3065
2021-08-11,160.3065
2021-08-12,160.3065
2021-08-13,160.3065
2021-08-14,160.3065
2021-08-15,160.3065
2021-08-16,160.3065
2021-08-17,160.3065
2021-08-18,160.3065
2021-08-19,160.3065
2021-08-20,160.3065
2021-08-21,160.3065
2021-08-22,160.3065
2021-08-23,160.3065
2021-08-24,160.3065
2021-08-25,160.3065
