,COP US Equity
,RETURN_COM_EQY
2020-09-30,-3.6676
2020-10-01,-3.6676
2020-10-02,-3.6676
2020-10-03,-3.6676
2020-10-04,-3.6676
2020-10-05,-3.6676
2020-10-06,-3.6676
2020-10-07,-3.6676
2020-10-08,-3.6676
2020-10-09,-3.6676
2020-10-10,-3.6676
2020-10-11,-3.6676
2020-10-12,-3.6676
2020-10-13,-3.6676
2020-10-14,-3.6676
2020-10-15,-3.6676
2020-10-16,-3.6676
2020-10-17,-3.6676
2020-10-18,-3.6676
2020-10-19,-3.6676
2020-10-20,-3.6676
2020-10-21,-3.6676
2020-10-22,-3.6676
2020-10-23,-3.6676
2020-10-24,-3.6676
2020-10-25,-3.6676
2020-10-26,-3.6676
2020-10-27,-3.6676
2020-10-28,-3.6676
2020-10-29,-3.6676
2020-10-30,-3.6676
2020-10-31,-3.6676
2020-11-01,-3.6676
2020-11-02,-3.6676
2020-11-03,-3.6676
2020-11-04,-3.6676
2020-11-05,-3.6676
2020-11-06,-3.6676
2020-11-07,-3.6676
2020-11-08,-3.6676
2020-11-09,-3.6676
2020-11-10,-3.6676
2020-11-11,-3.6676
2020-11-12,-3.6676
2020-11-13,-3.6676
2020-11-14,-3.6676
2020-11-15,-3.6676
2020-11-16,-3.6676
2020-11-17,-3.6676
2020-11-18,-3.6676
2020-11-19,-3.6676
2020-11-20,-3.6676
2020-11-21,-3.6676
2020-11-22,-3.6676
2020-11-23,-3.6676
2020-11-24,-3.6676
2020-11-25,-3.6676
2020-11-26,-3.6676
2020-11-27,-3.6676
2020-11-28,-3.6676
2020-11-29,-3.6676
2020-11-30,-3.6676
2020-12-01,-3.6676
2020-12-02,-3.6676
2020-12-03,-3.6676
2020-12-04,-3.6676
2020-12-05,-3.6676
2020-12-06,-3.6676
2020-12-07,-3.6676
2020-12-08,-3.6676
2020-12-09,-3.6676
2020-12-10,-3.6676
2020-12-11,-3.6676
2020-12-12,-3.6676
2020-12-13,-3.6676
2020-12-14,-3.6676
2020-12-15,-3.6676
2020-12-16,-3.6676
2020-12-17,-3.6676
2020-12-18,-3.6676
2020-12-19,-3.6676
2020-12-20,-3.6676
2020-12-21,-3.6676
2020-12-22,-3.6676
2020-12-23,-3.6676
2020-12-24,-3.6676
2020-12-25,-3.6676
2020-12-26,-3.6676
2020-12-27,-3.6676
2020-12-28,-3.6676
2020-12-29,-3.6676
2020-12-30,-3.6676
