,FHI US Equity
,RETURN_COM_EQY
2021-12-08,24.0617
2021-12-09,24.0617
2021-12-10,24.0617
2021-12-11,24.0617
2021-12-12,24.0617
2021-12-13,24.0617
2021-12-14,24.0617
2021-12-15,24.0617
2021-12-16,24.0617
2021-12-17,24.0617
2021-12-18,24.0617
2021-12-19,24.0617
2021-12-20,24.0617
2021-12-21,24.0617
2021-12-22,24.0617
2021-12-23,24.0617
2021-12-24,24.0617
2021-12-25,24.0617
2021-12-26,24.0617
2021-12-27,24.0617
2021-12-28,24.0617
2021-12-29,24.0617
2021-12-30,24.0617
2021-12-31,23.0112
2022-01-01,23.0112
2022-01-02,23.0112
2022-01-03,23.0112
2022-01-04,23.0112
2022-01-05,23.0112
2022-01-06,23.0112
2022-01-07,23.0112
2022-01-08,23.0112
2022-01-09,23.0112
2022-01-10,23.0112
2022-01-11,23.0112
2022-01-12,23.0112
2022-01-13,23.0112
2022-01-14,23.0112
2022-01-15,23.0112
2022-01-16,23.0112
2022-01-17,23.0112
2022-01-18,23.0112
2022-01-19,23.0112
2022-01-20,23.0112
2022-01-21,23.0112
2022-01-22,23.0112
2022-01-23,23.0112
2022-01-24,23.0112
2022-01-25,23.0112
2022-01-26,23.0112
2022-01-27,23.0112
2022-01-28,23.0112
2022-01-29,23.0112
2022-01-30,23.0112
2022-01-31,23.0112
2022-02-01,23.0112
2022-02-02,23.0112
2022-02-03,23.0112
2022-02-04,23.0112
2022-02-05,23.0112
2022-02-06,23.0112
2022-02-07,23.0112
2022-02-08,23.0112
2022-02-09,23.0112
2022-02-10,23.0112
2022-02-11,23.0112
2022-02-12,23.0112
2022-02-13,23.0112
2022-02-14,23.0112
2022-02-15,23.0112
2022-02-16,23.0112
2022-02-17,23.0112
2022-02-18,23.0112
2022-02-19,23.0112
2022-02-20,23.0112
2022-02-21,23.0112
2022-02-22,23.0112
2022-02-23,23.0112
2022-02-24,23.0112
2022-02-25,23.0112
2022-02-26,23.0112
2022-02-27,23.0112
2022-02-28,23.0112
2022-03-01,23.0112
2022-03-02,23.0112
2022-03-03,23.0112
2022-03-04,23.0112
2022-03-05,23.0112
2022-03-06,23.0112
2022-03-07,23.0112
2022-03-08,23.0112
2022-03-09,23.0112
2022-03-10,23.0112
2022-03-11,23.0112
2022-03-12,23.0112
2022-03-13,23.0112
2022-03-14,23.0112
2022-03-15,23.0112
2022-03-16,23.0112
2022-03-17,23.0112
2022-03-18,23.0112
2022-03-19,23.0112
2022-03-20,23.0112
2022-03-21,23.0112
2022-03-22,23.0112
2022-03-23,23.0112
2022-03-24,23.0112
2022-03-25,23.0112
2022-03-26,23.0112
2022-03-27,23.0112
2022-03-28,23.0112
2022-03-29,23.0112
2022-03-30,23.0112
2022-03-31,21.7594
2022-04-01,21.7594
2022-04-02,21.7594
2022-04-03,21.7594
2022-04-04,21.7594
2022-04-05,21.7594
2022-04-06,21.7594
2022-04-07,21.7594
2022-04-08,21.7594
2022-04-09,21.7594
2022-04-10,21.7594
2022-04-11,21.7594
2022-04-12,21.7594
2022-04-13,21.7594
2022-04-14,21.7594
2022-04-15,21.7594
2022-04-16,21.7594
2022-04-17,21.7594
2022-04-18,21.7594
2022-04-19,21.7594
2022-04-20,21.7594
2022-04-21,21.7594
2022-04-22,21.7594
2022-04-23,21.7594
2022-04-24,21.7594
2022-04-25,21.7594
2022-04-26,21.7594
2022-04-27,21.7594
2022-04-28,21.7594
2022-04-29,21.7594
2022-04-30,21.7594
2022-05-01,21.7594
2022-05-02,21.7594
2022-05-03,21.7594
2022-05-04,21.7594
2022-05-05,21.7594
2022-05-06,21.7594
2022-05-07,21.7594
2022-05-08,21.7594
2022-05-09,21.7594
2022-05-10,21.7594
2022-05-11,21.7594
2022-05-12,21.7594
2022-05-13,21.7594
2022-05-14,21.7594
2022-05-15,21.7594
2022-05-16,21.7594
2022-05-17,21.7594
2022-05-18,21.7594
2022-05-19,21.7594
2022-05-20,21.7594
2022-05-21,21.7594
2022-05-22,21.7594
2022-05-23,21.7594
2022-05-24,21.7594
2022-05-25,21.7594
2022-05-26,21.7594
2022-05-27,21.7594
2022-05-28,21.7594
2022-05-29,21.7594
2022-05-30,21.7594
2022-05-31,21.7594
2022-06-01,21.7594
2022-06-02,21.7594
2022-06-03,21.7594
2022-06-04,21.7594
2022-06-05,21.7594
2022-06-06,21.7594
2022-06-07,21.7594
2022-06-08,21.7594
2022-06-09,21.7594
2022-06-10,21.7594
2022-06-11,21.7594
2022-06-12,21.7594
2022-06-13,21.7594
2022-06-14,21.7594
2022-06-15,21.7594
2022-06-16,21.7594
2022-06-17,21.7594
2022-06-18,21.7594
2022-06-19,21.7594
2022-06-20,21.7594
2022-06-21,21.7594
2022-06-22,21.7594
2022-06-23,21.7594
2022-06-24,21.7594
2022-06-25,21.7594
2022-06-26,21.7594
2022-06-27,21.7594
2022-06-28,21.7594
2022-06-29,21.7594
2022-06-30,22.7009
2022-07-01,22.7009
2022-07-02,22.7009
2022-07-03,22.7009
2022-07-04,22.7009
2022-07-05,22.7009
2022-07-06,22.7009
2022-07-07,22.7009
2022-07-08,22.7009
2022-07-09,22.7009
2022-07-10,22.7009
2022-07-11,22.7009
2022-07-12,22.7009
2022-07-13,22.7009
2022-07-14,22.7009
2022-07-15,22.7009
2022-07-16,22.7009
2022-07-17,22.7009
