,AMGN US Equity
,RETURN_COM_EQY
2020-10-13,67.1845
2020-10-14,67.1845
2020-10-15,67.1845
2020-10-16,67.1845
2020-10-17,67.1845
2020-10-18,67.1845
2020-10-19,67.1845
2020-10-20,67.1845
2020-10-21,67.1845
2020-10-22,67.1845
2020-10-23,67.1845
2020-10-24,67.1845
2020-10-25,67.1845
2020-10-26,67.1845
2020-10-27,67.1845
2020-10-28,67.1845
2020-10-29,67.1845
2020-10-30,67.1845
2020-10-31,67.1845
2020-11-01,67.1845
2020-11-02,67.1845
2020-11-03,67.1845
2020-11-04,67.1845
2020-11-05,67.1845
2020-11-06,67.1845
2020-11-07,67.1845
2020-11-08,67.1845
2020-11-09,67.1845
2020-11-10,67.1845
2020-11-11,67.1845
2020-11-12,67.1845
2020-11-13,67.1845
2020-11-14,67.1845
2020-11-15,67.1845
2020-11-16,67.1845
2020-11-17,67.1845
2020-11-18,67.1845
2020-11-19,67.1845
2020-11-20,67.1845
2020-11-21,67.1845
2020-11-22,67.1845
2020-11-23,67.1845
2020-11-24,67.1845
2020-11-25,67.1845
2020-11-26,67.1845
2020-11-27,67.1845
2020-11-28,67.1845
2020-11-29,67.1845
2020-11-30,67.1845
2020-12-01,67.1845
2020-12-02,67.1845
2020-12-03,67.1845
2020-12-04,67.1845
2020-12-05,67.1845
2020-12-06,67.1845
2020-12-07,67.1845
2020-12-08,67.1845
2020-12-09,67.1845
2020-12-10,67.1845
2020-12-11,67.1845
2020-12-12,67.1845
2020-12-13,67.1845
2020-12-14,67.1845
2020-12-15,67.1845
2020-12-16,67.1845
2020-12-17,67.1845
2020-12-18,67.1845
2020-12-19,67.1845
2020-12-20,67.1845
2020-12-21,67.1845
2020-12-22,67.1845
2020-12-23,67.1845
2020-12-24,67.1845
2020-12-25,67.1845
2020-12-26,67.1845
2020-12-27,67.1845
2020-12-28,67.1845
2020-12-29,67.1845
2020-12-30,67.1845
2020-12-31,76.1346
2021-01-01,76.1346
2021-01-02,76.1346
2021-01-03,76.1346
2021-01-04,76.1346
2021-01-05,76.1346
2021-01-06,76.1346
2021-01-07,76.1346
2021-01-08,76.1346
2021-01-09,76.1346
2021-01-10,76.1346
2021-01-11,76.1346
2021-01-12,76.1346
2021-01-13,76.1346
2021-01-14,76.1346
2021-01-15,76.1346
2021-01-16,76.1346
2021-01-17,76.1346
2021-01-18,76.1346
2021-01-19,76.1346
2021-01-20,76.1346
2021-01-21,76.1346
2021-01-22,76.1346
2021-01-23,76.1346
2021-01-24,76.1346
2021-01-25,76.1346
2021-01-26,76.1346
2021-01-27,76.1346
2021-01-28,76.1346
2021-01-29,76.1346
2021-01-30,76.1346
2021-01-31,76.1346
2021-02-01,76.1346
2021-02-02,76.1346
2021-02-03,76.1346
2021-02-04,76.1346
2021-02-05,76.1346
2021-02-06,76.1346
2021-02-07,76.1346
2021-02-08,76.1346
