,BGS US Equity
,RETURN_COM_EQY
2021-08-16,13.3129
2021-08-17,13.3129
2021-08-18,13.3129
2021-08-19,13.3129
2021-08-20,13.3129
2021-08-21,13.3129
2021-08-22,13.3129
2021-08-23,13.3129
2021-08-24,13.3129
2021-08-25,13.3129
2021-08-26,13.3129
2021-08-27,13.3129
2021-08-28,13.3129
2021-08-29,13.3129
2021-08-30,13.3129
2021-08-31,13.3129
2021-09-01,13.3129
2021-09-02,13.3129
2021-09-03,13.3129
2021-09-04,13.3129
2021-09-05,13.3129
2021-09-06,13.3129
2021-09-07,13.3129
2021-09-08,13.3129
2021-09-09,13.3129
2021-09-10,13.3129
2021-09-11,13.3129
2021-09-12,13.3129
2021-09-13,13.3129
2021-09-14,13.3129
2021-09-15,13.3129
2021-09-16,13.3129
2021-09-17,13.3129
2021-09-18,13.3129
2021-09-19,13.3129
2021-09-20,13.3129
2021-09-21,13.3129
2021-09-22,13.3129
2021-09-23,13.3129
2021-09-24,13.3129
2021-09-25,13.3129
2021-09-26,13.3129
2021-09-27,13.3129
2021-09-28,13.3129
2021-09-29,13.3129
2021-09-30,13.3129
2021-10-01,13.3129
2021-10-02,10.0774
2021-10-03,10.0774
2021-10-04,10.0774
2021-10-05,10.0774
2021-10-06,10.0774
2021-10-07,10.0774
2021-10-08,10.0774
2021-10-09,10.0774
2021-10-10,10.0774
2021-10-11,10.0774
2021-10-12,10.0774
2021-10-13,10.0774
2021-10-14,10.0774
2021-10-15,10.0774
2021-10-16,10.0774
2021-10-17,10.0774
2021-10-18,10.0774
2021-10-19,10.0774
2021-10-20,10.0774
2021-10-21,10.0774
2021-10-22,10.0774
2021-10-23,10.0774
2021-10-24,10.0774
2021-10-25,10.0774
2021-10-26,10.0774
2021-10-27,10.0774
2021-10-28,10.0774
2021-10-29,10.0774
2021-10-30,10.0774
2021-10-31,10.0774
2021-11-01,10.0774
2021-11-02,10.0774
2021-11-03,10.0774
2021-11-04,10.0774
2021-11-05,10.0774
2021-11-06,10.0774
2021-11-07,10.0774
2021-11-08,10.0774
2021-11-09,10.0774
2021-11-10,10.0774
2021-11-11,10.0774
2021-11-12,10.0774
2021-11-13,10.0774
2021-11-14,10.0774
2021-11-15,10.0774
2021-11-16,10.0774
2021-11-17,10.0774
2021-11-18,10.0774
2021-11-19,10.0774
2021-11-20,10.0774
2021-11-21,10.0774
2021-11-22,10.0774
2021-11-23,10.0774
2021-11-24,10.0774
2021-11-25,10.0774
2021-11-26,10.0774
2021-11-27,10.0774
2021-11-28,10.0774
2021-11-29,10.0774
2021-11-30,10.0774
2021-12-01,10.0774
2021-12-02,10.0774
2021-12-03,10.0774
2021-12-04,10.0774
2021-12-05,10.0774
2021-12-06,10.0774
2021-12-07,10.0774
2021-12-08,10.0774
2021-12-09,10.0774
2021-12-10,10.0774
2021-12-11,10.0774
2021-12-12,10.0774
2021-12-13,10.0774
2021-12-14,10.0774
2021-12-15,10.0774
2021-12-16,10.0774
2021-12-17,10.0774
2021-12-18,10.0774
2021-12-19,10.0774
2021-12-20,10.0774
2021-12-21,10.0774
2021-12-22,10.0774
2021-12-23,10.0774
2021-12-24,10.0774
2021-12-25,10.0774
2021-12-26,10.0774
2021-12-27,10.0774
2021-12-28,10.0774
2021-12-29,10.0774
2021-12-30,10.0774
2021-12-31,10.0774
2022-01-01,7.6893
2022-01-02,7.6893
2022-01-03,7.6893
2022-01-04,7.6893
2022-01-05,7.6893
2022-01-06,7.6893
2022-01-07,7.6893
2022-01-08,7.6893
2022-01-09,7.6893
2022-01-10,7.6893
2022-01-11,7.6893
2022-01-12,7.6893
2022-01-13,7.6893
2022-01-14,7.6893
2022-01-15,7.6893
2022-01-16,7.6893
2022-01-17,7.6893
2022-01-18,7.6893
2022-01-19,7.6893
2022-01-20,7.6893
2022-01-21,7.6893
2022-01-22,7.6893
2022-01-23,7.6893
2022-01-24,7.6893
2022-01-25,7.6893
2022-01-26,7.6893
2022-01-27,7.6893
2022-01-28,7.6893
2022-01-29,7.6893
2022-01-30,7.6893
2022-01-31,7.6893
2022-02-01,7.6893
2022-02-02,7.6893
2022-02-03,7.6893
2022-02-04,7.6893
2022-02-05,7.6893
2022-02-06,7.6893
2022-02-07,7.6893
2022-02-08,7.6893
2022-02-09,7.6893
2022-02-10,7.6893
2022-02-11,7.6893
2022-02-12,7.6893
2022-02-13,7.6893
2022-02-14,7.6893
2022-02-15,7.6893
2022-02-16,7.6893
2022-02-17,7.6893
2022-02-18,7.6893
2022-02-19,7.6893
2022-02-20,7.6893
2022-02-21,7.6893
2022-02-22,7.6893
2022-02-23,7.6893
2022-02-24,7.6893
2022-02-25,7.6893
2022-02-26,7.6893
2022-02-27,7.6893
2022-02-28,7.6893
2022-03-01,7.6893
2022-03-02,7.6893
2022-03-03,7.6893
2022-03-04,7.6893
2022-03-05,7.6893
2022-03-06,7.6893
2022-03-07,7.6893
2022-03-08,7.6893
2022-03-09,7.6893
2022-03-10,7.6893
2022-03-11,7.6893
2022-03-12,7.6893
2022-03-13,7.6893
2022-03-14,7.6893
2022-03-15,7.6893
2022-03-16,7.6893
2022-03-17,7.6893
2022-03-18,7.6893
2022-03-19,7.6893
2022-03-20,7.6893
2022-03-21,7.6893
2022-03-22,7.6893
