,ALGT US Equity
,RETURN_COM_EQY
2020-09-14,-3.0542
2020-09-15,-3.0542
2020-09-16,-3.0542
2020-09-17,-3.0542
2020-09-18,-3.0542
2020-09-19,-3.0542
2020-09-20,-3.0542
2020-09-21,-3.0542
2020-09-22,-3.0542
2020-09-23,-3.0542
2020-09-24,-3.0542
2020-09-25,-3.0542
2020-09-26,-3.0542
2020-09-27,-3.0542
2020-09-28,-3.0542
2020-09-29,-3.0542
2020-09-30,-12.4849
2020-10-01,-12.4849
2020-10-02,-12.4849
2020-10-03,-12.4849
2020-10-04,-12.4849
2020-10-05,-12.4849
2020-10-06,-12.4849
2020-10-07,-12.4849
2020-10-08,-12.4849
2020-10-09,-12.4849
2020-10-10,-12.4849
2020-10-11,-12.4849
2020-10-12,-12.4849
2020-10-13,-12.4849
2020-10-14,-12.4849
2020-10-15,-12.4849
2020-10-16,-12.4849
2020-10-17,-12.4849
2020-10-18,-12.4849
2020-10-19,-12.4849
2020-10-20,-12.4849
2020-10-21,-12.4849
2020-10-22,-12.4849
2020-10-23,-12.4849
2020-10-24,-12.4849
2020-10-25,-12.4849
2020-10-26,-12.4849
2020-10-27,-12.4849
2020-10-28,-12.4849
2020-10-29,-12.4849
2020-10-30,-12.4849
2020-10-31,-12.4849
2020-11-01,-12.4849
2020-11-02,-12.4849
2020-11-03,-12.4849
2020-11-04,-12.4849
2020-11-05,-12.4849
2020-11-06,-12.4849
2020-11-07,-12.4849
2020-11-08,-12.4849
2020-11-09,-12.4849
2020-11-10,-12.4849
2020-11-11,-12.4849
2020-11-12,-12.4849
2020-11-13,-12.4849
2020-11-14,-12.4849
2020-11-15,-12.4849
2020-11-16,-12.4849
2020-11-17,-12.4849
2020-11-18,-12.4849
2020-11-19,-12.4849
2020-11-20,-12.4849
2020-11-21,-12.4849
2020-11-22,-12.4849
2020-11-23,-12.4849
2020-11-24,-12.4849
2020-11-25,-12.4849
2020-11-26,-12.4849
2020-11-27,-12.4849
2020-11-28,-12.4849
2020-11-29,-12.4849
2020-11-30,-12.4849
2020-12-01,-12.4849
2020-12-02,-12.4849
2020-12-03,-12.4849
2020-12-04,-12.4849
2020-12-05,-12.4849
2020-12-06,-12.4849
2020-12-07,-12.4849
2020-12-08,-12.4849
2020-12-09,-12.4849
2020-12-10,-12.4849
2020-12-11,-12.4849
2020-12-12,-12.4849
2020-12-13,-12.4849
2020-12-14,-12.4849
2020-12-15,-12.4849
2020-12-16,-12.4849
2020-12-17,-12.4849
2020-12-18,-12.4849
2020-12-19,-12.4849
2020-12-20,-12.4849
2020-12-21,-12.4849
2020-12-22,-12.4849
2020-12-23,-12.4849
2020-12-24,-12.4849
2020-12-25,-12.4849
2020-12-26,-12.4849
2020-12-27,-12.4849
2020-12-28,-12.4849
2020-12-29,-12.4849
2020-12-30,-12.4849
2020-12-31,-23.2898
2021-01-01,-23.2898
2021-01-02,-23.2898
2021-01-03,-23.2898
2021-01-04,-23.2898
2021-01-05,-23.2898
2021-01-06,-23.2898
2021-01-07,-23.2898
2021-01-08,-23.2898
2021-01-09,-23.2898
2021-01-10,-23.2898
2021-01-11,-23.2898
2021-01-12,-23.2898
2021-01-13,-23.2898
2021-01-14,-23.2898
2021-01-15,-23.2898
2021-01-16,-23.2898
2021-01-17,-23.2898
2021-01-18,-23.2898
2021-01-19,-23.2898
2021-01-20,-23.2898
2021-01-21,-23.2898
2021-01-22,-23.2898
2021-01-23,-23.2898
2021-01-24,-23.2898
2021-01-25,-23.2898
2021-01-26,-23.2898
2021-01-27,-23.2898
2021-01-28,-23.2898
2021-01-29,-23.2898
2021-01-30,-23.2898
2021-01-31,-23.2898
2021-02-01,-23.2898
2021-02-02,-23.2898
2021-02-03,-23.2898
2021-02-04,-23.2898
2021-02-05,-23.2898
2021-02-06,-23.2898
2021-02-07,-23.2898
2021-02-08,-23.2898
2021-02-09,-23.2898
2021-02-10,-23.2898
2021-02-11,-23.2898
2021-02-12,-23.2898
2021-02-13,-23.2898
2021-02-14,-23.2898
2021-02-15,-23.2898
2021-02-16,-23.2898
2021-02-17,-23.2898
2021-02-18,-23.2898
2021-02-19,-23.2898
2021-02-20,-23.2898
2021-02-21,-23.2898
2021-02-22,-23.2898
2021-02-23,-23.2898
2021-02-24,-23.2898
2021-02-25,-23.2898
2021-02-26,-23.2898
2021-02-27,-23.2898
2021-02-28,-23.2898
2021-03-01,-23.2898
2021-03-02,-23.2898
2021-03-03,-23.2898
2021-03-04,-23.2898
2021-03-05,-23.2898
2021-03-06,-23.2898
2021-03-07,-23.2898
2021-03-08,-23.2898
2021-03-09,-23.2898
2021-03-10,-23.2898
2021-03-11,-23.2898
2021-03-12,-23.2898
2021-03-13,-23.2898
2021-03-14,-23.2898
2021-03-15,-23.2898
2021-03-16,-23.2898
2021-03-17,-23.2898
2021-03-18,-23.2898
2021-03-19,-23.2898
2021-03-20,-23.2898
2021-03-21,-23.2898
2021-03-22,-23.2898
2021-03-23,-23.2898
2021-03-24,-23.2898
2021-03-25,-23.2898
2021-03-26,-23.2898
2021-03-27,-23.2898
2021-03-28,-23.2898
2021-03-29,-23.2898
2021-03-30,-23.2898
2021-03-31,-18.9947
2021-04-01,-18.9947
2021-04-02,-18.9947
2021-04-03,-18.9947
2021-04-04,-18.9947
2021-04-05,-18.9947
2021-04-06,-18.9947
2021-04-07,-18.9947
2021-04-08,-18.9947
2021-04-09,-18.9947
2021-04-10,-18.9947
2021-04-11,-18.9947
2021-04-12,-18.9947
2021-04-13,-18.9947
2021-04-14,-18.9947
2021-04-15,-18.9947
2021-04-16,-18.9947
2021-04-17,-18.9947
2021-04-18,-18.9947
2021-04-19,-18.9947
2021-04-20,-18.9947
2021-04-21,-18.9947
2021-04-22,-18.9947
2021-04-23,-18.9947
2021-04-24,-18.9947
2021-04-25,-18.9947
2021-04-26,-18.9947
2021-04-27,-18.9947
2021-04-28,-18.9947
2021-04-29,-18.9947
2021-04-30,-18.9947
2021-05-01,-18.9947
2021-05-02,-18.9947
2021-05-03,-18.9947
2021-05-04,-18.9947
2021-05-05,-18.9947
2021-05-06,-18.9947
2021-05-07,-18.9947
2021-05-08,-18.9947
2021-05-09,-18.9947
2021-05-10,-18.9947
2021-05-11,-18.9947
2021-05-12,-18.9947
2021-05-13,-18.9947
2021-05-14,-18.9947
2021-05-15,-18.9947
2021-05-16,-18.9947
2021-05-17,-18.9947
2021-05-18,-18.9947
2021-05-19,-18.9947
2021-05-20,-18.9947
2021-05-21,-18.9947
2021-05-22,-18.9947
2021-05-23,-18.9947
2021-05-24,-18.9947
2021-05-25,-18.9947
2021-05-26,-18.9947
2021-05-27,-18.9947
2021-05-28,-18.9947
2021-05-29,-18.9947
2021-05-30,-18.9947
2021-05-31,-18.9947
2021-06-01,-18.9947
2021-06-02,-18.9947
2021-06-03,-18.9947
2021-06-04,-18.9947
2021-06-05,-18.9947
2021-06-06,-18.9947
2021-06-07,-18.9947
2021-06-08,-18.9947
2021-06-09,-18.9947
2021-06-10,-18.9947
2021-06-11,-18.9947
2021-06-12,-18.9947
2021-06-13,-18.9947
2021-06-14,-18.9947
2021-06-15,-18.9947
2021-06-16,-18.9947
2021-06-17,-18.9947
2021-06-18,-18.9947
2021-06-19,-18.9947
2021-06-20,-18.9947
2021-06-21,-18.9947
2021-06-22,-18.9947
2021-06-23,-18.9947
2021-06-24,-18.9947
2021-06-25,-18.9947
2021-06-26,-18.9947
2021-06-27,-18.9947
2021-06-28,-18.9947
2021-06-29,-18.9947
2021-06-30,4.5153
2021-07-01,4.5153
2021-07-02,4.5153
2021-07-03,4.5153
2021-07-04,4.5153
2021-07-05,4.5153
2021-07-06,4.5153
2021-07-07,4.5153
2021-07-08,4.5153
2021-07-09,4.5153
2021-07-10,4.5153
2021-07-11,4.5153
2021-07-12,4.5153
2021-07-13,4.5153
2021-07-14,4.5153
2021-07-15,4.5153
2021-07-16,4.5153
2021-07-17,4.5153
2021-07-18,4.5153
2021-07-19,4.5153
2021-07-20,4.5153
2021-07-21,4.5153
2021-07-22,4.5153
2021-07-23,4.5153
2021-07-24,4.5153
2021-07-25,4.5153
2021-07-26,4.5153
2021-07-27,4.5153
2021-07-28,4.5153
2021-07-29,4.5153
2021-07-30,4.5153
2021-07-31,4.5153
2021-08-01,4.5153
2021-08-02,4.5153
2021-08-03,4.5153
2021-08-04,4.5153
2021-08-05,4.5153
2021-08-06,4.5153
2021-08-07,4.5153
2021-08-08,4.5153
2021-08-09,4.5153
2021-08-10,4.5153
2021-08-11,4.5153
2021-08-12,4.5153
2021-08-13,4.5153
2021-08-14,4.5153
2021-08-15,4.5153
2021-08-16,4.5153
2021-08-17,4.5153
2021-08-18,4.5153
2021-08-19,4.5153
2021-08-20,4.5153
2021-08-21,4.5153
2021-08-22,4.5153
2021-08-23,4.5153
2021-08-24,4.5153
2021-08-25,4.5153
2021-08-26,4.5153
2021-08-27,4.5153
2021-08-28,4.5153
2021-08-29,4.5153
2021-08-30,4.5153
2021-08-31,4.5153
2021-09-01,4.5153
2021-09-02,4.5153
2021-09-03,4.5153
2021-09-04,4.5153
2021-09-05,4.5153
2021-09-06,4.5153
2021-09-07,4.5153
2021-09-08,4.5153
2021-09-09,4.5153
2021-09-10,4.5153
2021-09-11,4.5153
2021-09-12,4.5153
2021-09-13,4.5153
2021-09-14,4.5153
2021-09-15,4.5153
2021-09-16,4.5153
2021-09-17,4.5153
2021-09-18,4.5153
2021-09-19,4.5153
2021-09-20,4.5153
2021-09-21,4.5153
2021-09-22,4.5153
2021-09-23,4.5153
2021-09-24,4.5153
2021-09-25,4.5153
2021-09-26,4.5153
2021-09-27,4.5153
2021-09-28,4.5153
2021-09-29,4.5153
2021-09-30,11.599
2021-10-01,11.599
2021-10-02,11.599
2021-10-03,11.599
2021-10-04,11.599
2021-10-05,11.599
2021-10-06,11.599
2021-10-07,11.599
2021-10-08,11.599
2021-10-09,11.599
2021-10-10,11.599
2021-10-11,11.599
2021-10-12,11.599
2021-10-13,11.599
2021-10-14,11.599
2021-10-15,11.599
2021-10-16,11.599
2021-10-17,11.599
2021-10-18,11.599
2021-10-19,11.599
2021-10-20,11.599
2021-10-21,11.599
2021-10-22,11.599
2021-10-23,11.599
2021-10-24,11.599
2021-10-25,11.599
2021-10-26,11.599
2021-10-27,11.599
2021-10-28,11.599
2021-10-29,11.599
2021-10-30,11.599
2021-10-31,11.599
2021-11-01,11.599
2021-11-02,11.599
2021-11-03,11.599
2021-11-04,11.599
2021-11-05,11.599
2021-11-06,11.599
2021-11-07,11.599
2021-11-08,11.599
2021-11-09,11.599
2021-11-10,11.599
2021-11-11,11.599
2021-11-12,11.599
2021-11-13,11.599
2021-11-14,11.599
2021-11-15,11.599
2021-11-16,11.599
2021-11-17,11.599
2021-11-18,11.599
2021-11-19,11.599
2021-11-20,11.599
2021-11-21,11.599
2021-11-22,11.599
2021-11-23,11.599
2021-11-24,11.599
2021-11-25,11.599
2021-11-26,11.599
2021-11-27,11.599
2021-11-28,11.599
2021-11-29,11.599
2021-11-30,11.599
2021-12-01,11.599
2021-12-02,11.599
2021-12-03,11.599
2021-12-04,11.599
2021-12-05,11.599
2021-12-06,11.599
2021-12-07,11.599
2021-12-08,11.599
2021-12-09,11.599
2021-12-10,11.599
2021-12-11,11.599
2021-12-12,11.599
2021-12-13,11.599
2021-12-14,11.599
2021-12-15,11.599
2021-12-16,11.599
2021-12-17,11.599
2021-12-18,11.599
2021-12-19,11.599
2021-12-20,11.599
2021-12-21,11.599
2021-12-22,11.599
2021-12-23,11.599
2021-12-24,11.599
2021-12-25,11.599
2021-12-26,11.599
2021-12-27,11.599
2021-12-28,11.599
2021-12-29,11.599
2021-12-30,11.599
2021-12-31,15.5731
2022-01-01,15.5731
2022-01-02,15.5731
2022-01-03,15.5731
2022-01-04,15.5731
2022-01-05,15.5731
2022-01-06,15.5731
2022-01-07,15.5731
2022-01-08,15.5731
2022-01-09,15.5731
2022-01-10,15.5731
2022-01-11,15.5731
2022-01-12,15.5731
2022-01-13,15.5731
2022-01-14,15.5731
2022-01-15,15.5731
2022-01-16,15.5731
2022-01-17,15.5731
2022-01-18,15.5731
2022-01-19,15.5731
2022-01-20,15.5731
2022-01-21,15.5731
2022-01-22,15.5731
2022-01-23,15.5731
2022-01-24,15.5731
2022-01-25,15.5731
2022-01-26,15.5731
2022-01-27,15.5731
2022-01-28,15.5731
2022-01-29,15.5731
2022-01-30,15.5731
2022-01-31,15.5731
2022-02-01,15.5731
2022-02-02,15.5731
2022-02-03,15.5731
2022-02-04,15.5731
2022-02-05,15.5731
2022-02-06,15.5731
2022-02-07,15.5731
2022-02-08,15.5731
2022-02-09,15.5731
2022-02-10,15.5731
2022-02-11,15.5731
2022-02-12,15.5731
2022-02-13,15.5731
2022-02-14,15.5731
2022-02-15,15.5731
2022-02-16,15.5731
2022-02-17,15.5731
2022-02-18,15.5731
2022-02-19,15.5731
2022-02-20,15.5731
2022-02-21,15.5731
2022-02-22,15.5731
2022-02-23,15.5731
2022-02-24,15.5731
2022-02-25,15.5731
2022-02-26,15.5731
2022-02-27,15.5731
2022-02-28,15.5731
2022-03-01,15.5731
2022-03-02,15.5731
2022-03-03,15.5731
2022-03-04,15.5731
2022-03-05,15.5731
2022-03-06,15.5731
2022-03-07,15.5731
2022-03-08,15.5731
2022-03-09,15.5731
2022-03-10,15.5731
2022-03-11,15.5731
2022-03-12,15.5731
2022-03-13,15.5731
2022-03-14,15.5731
2022-03-15,15.5731
2022-03-16,15.5731
2022-03-17,15.5731
2022-03-18,15.5731
2022-03-19,15.5731
2022-03-20,15.5731
2022-03-21,15.5731
2022-03-22,15.5731
2022-03-23,15.5731
2022-03-24,15.5731
2022-03-25,15.5731
2022-03-26,15.5731
2022-03-27,15.5731
2022-03-28,15.5731
2022-03-29,15.5731
2022-03-30,15.5731
2022-03-31,13.984
2022-04-01,13.984
2022-04-02,13.984
2022-04-03,13.984
2022-04-04,13.984
2022-04-05,13.984
2022-04-06,13.984
2022-04-07,13.984
2022-04-08,13.984
2022-04-09,13.984
2022-04-10,13.984
2022-04-11,13.984
2022-04-12,13.984
2022-04-13,13.984
2022-04-14,13.984
2022-04-15,13.984
2022-04-16,13.984
2022-04-17,13.984
2022-04-18,13.984
2022-04-19,13.984
2022-04-20,13.984
2022-04-21,13.984
2022-04-22,13.984
2022-04-23,13.984
2022-04-24,13.984
2022-04-25,13.984
2022-04-26,13.984
2022-04-27,13.984
2022-04-28,13.984
2022-04-29,13.984
2022-04-30,13.984
2022-05-01,13.984
2022-05-02,13.984
2022-05-03,13.984
2022-05-04,13.984
2022-05-05,13.984
2022-05-06,13.984
2022-05-07,13.984
2022-05-08,13.984
2022-05-09,13.984
2022-05-10,13.984
2022-05-11,13.984
2022-05-12,13.984
2022-05-13,13.984
2022-05-14,13.984
2022-05-15,13.984
2022-05-16,13.984
2022-05-17,13.984
2022-05-18,13.984
2022-05-19,13.984
2022-05-20,13.984
2022-05-21,13.984
2022-05-22,13.984
2022-05-23,13.984
2022-05-24,13.984
2022-05-25,13.984
2022-05-26,13.984
2022-05-27,13.984
2022-05-28,13.984
2022-05-29,13.984
2022-05-30,13.984
2022-05-31,13.984
2022-06-01,13.984
2022-06-02,13.984
2022-06-03,13.984
2022-06-04,13.984
2022-06-05,13.984
2022-06-06,13.984
2022-06-07,13.984
2022-06-08,13.984
2022-06-09,13.984
2022-06-10,13.984
2022-06-11,13.984
2022-06-12,13.984
2022-06-13,13.984
2022-06-14,13.984
2022-06-15,13.984
2022-06-16,13.984
2022-06-17,13.984
2022-06-18,13.984
2022-06-19,13.984
2022-06-20,13.984
2022-06-21,13.984
2022-06-22,13.984
2022-06-23,13.984
2022-06-24,13.984
2022-06-25,13.984
2022-06-26,13.984
2022-06-27,13.984
2022-06-28,13.984
2022-06-29,13.984
2022-06-30,3.8377
2022-07-01,3.8377
2022-07-02,3.8377
2022-07-03,3.8377
2022-07-04,3.8377
2022-07-05,3.8377
2022-07-06,3.8377
2022-07-07,3.8377
2022-07-08,3.8377
2022-07-09,3.8377
2022-07-10,3.8377
2022-07-11,3.8377
2022-07-12,3.8377
2022-07-13,3.8377
2022-07-14,3.8377
2022-07-15,3.8377
2022-07-16,3.8377
2022-07-17,3.8377
2022-07-18,3.8377
2022-07-19,3.8377
2022-07-20,3.8377
2022-07-21,3.8377
2022-07-22,3.8377
2022-07-23,3.8377
2022-07-24,3.8377
2022-07-25,3.8377
2022-07-26,3.8377
2022-07-27,3.8377
2022-07-28,3.8377
2022-07-29,3.8377
2022-07-30,3.8377
2022-07-31,3.8377
2022-08-01,3.8377
2022-08-02,3.8377
2022-08-03,3.8377
2022-08-04,3.8377
2022-08-05,3.8377
2022-08-06,3.8377
2022-08-07,3.8377
2022-08-08,3.8377
2022-08-09,3.8377
2022-08-10,3.8377
2022-08-11,3.8377
2022-08-12,3.8377
2022-08-13,3.8377
2022-08-14,3.8377
2022-08-15,3.8377
2022-08-16,3.8377
2022-08-17,3.8377
2022-08-18,3.8377
2022-08-19,3.8377
2022-08-20,3.8377
2022-08-21,3.8377
2022-08-22,3.8377
2022-08-23,3.8377
2022-08-24,3.8377
2022-08-25,3.8377
2022-08-26,3.8377
2022-08-27,3.8377
2022-08-28,3.8377
2022-08-29,3.8377
2022-08-30,3.8377
2022-08-31,3.8377
2022-09-01,3.8377
2022-09-02,3.8377
2022-09-03,3.8377
2022-09-04,3.8377
2022-09-05,3.8377
2022-09-06,3.8377
2022-09-07,3.8377
2022-09-08,3.8377
2022-09-09,3.8377
2022-09-10,3.8377
2022-09-11,3.8377
2022-09-12,3.8377
2022-09-13,3.8377
2022-09-14,3.8377
2022-09-15,3.8377
2022-09-16,3.8377
2022-09-17,3.8377
2022-09-18,3.8377
2022-09-19,3.8377
2022-09-20,3.8377
2022-09-21,3.8377
2022-09-22,3.8377
2022-09-23,3.8377
2022-09-24,3.8377
2022-09-25,3.8377
2022-09-26,3.8377
2022-09-27,3.8377
2022-09-28,3.8377
2022-09-29,3.8377
2022-09-30,-3.3177
2022-10-01,-3.3177
2022-10-02,-3.3177
2022-10-03,-3.3177
2022-10-04,-3.3177
2022-10-05,-3.3177
2022-10-06,-3.3177
2022-10-07,-3.3177
2022-10-08,-3.3177
2022-10-09,-3.3177
2022-10-10,-3.3177
2022-10-11,-3.3177
2022-10-12,-3.3177
2022-10-13,-3.3177
2022-10-14,-3.3177
2022-10-15,-3.3177
2022-10-16,-3.3177
2022-10-17,-3.3177
2022-10-18,-3.3177
2022-10-19,-3.3177
2022-10-20,-3.3177
2022-10-21,-3.3177
2022-10-22,-3.3177
2022-10-23,-3.3177
2022-10-24,-3.3177
2022-10-25,-3.3177
2022-10-26,-3.3177
2022-10-27,-3.3177
2022-10-28,-3.3177
2022-10-29,-3.3177
2022-10-30,-3.3177
2022-10-31,-3.3177
2022-11-01,-3.3177
2022-11-02,-3.3177
2022-11-03,-3.3177
2022-11-04,-3.3177
2022-11-05,-3.3177
2022-11-06,-3.3177
2022-11-07,-3.3177
2022-11-08,-3.3177
2022-11-09,-3.3177
2022-11-10,-3.3177
2022-11-11,-3.3177
2022-11-12,-3.3177
2022-11-13,-3.3177
2022-11-14,-3.3177
2022-11-15,-3.3177
2022-11-16,-3.3177
2022-11-17,-3.3177
2022-11-18,-3.3177
2022-11-19,-3.3177
2022-11-20,-3.3177
2022-11-21,-3.3177
2022-11-22,-3.3177
2022-11-23,-3.3177
2022-11-24,-3.3177
2022-11-25,-3.3177
2022-11-26,-3.3177
2022-11-27,-3.3177
2022-11-28,-3.3177
2022-11-29,-3.3177
2022-11-30,-3.3177
2022-12-01,-3.3177
2022-12-02,-3.3177
2022-12-03,-3.3177
2022-12-04,-3.3177
2022-12-05,-3.3177
2022-12-06,-3.3177
2022-12-07,-3.3177
2022-12-08,-3.3177
