,UNP US Equity
,RETURN_COM_EQY
2021-08-01,38.2507
2021-08-02,38.2507
2021-08-03,38.2507
2021-08-04,38.2507
2021-08-05,38.2507
2021-08-06,38.2507
2021-08-07,38.2507
2021-08-08,38.2507
2021-08-09,38.2507
2021-08-10,38.2507
2021-08-11,38.2507
2021-08-12,38.2507
2021-08-13,38.2507
2021-08-14,38.2507
2021-08-15,38.2507
2021-08-16,38.2507
2021-08-17,38.2507
2021-08-18,38.2507
2021-08-19,38.2507
2021-08-20,38.2507
2021-08-21,38.2507
2021-08-22,38.2507
2021-08-23,38.2507
2021-08-24,38.2507
2021-08-25,38.2507
2021-08-26,38.2507
2021-08-27,38.2507
2021-08-28,38.2507
2021-08-29,38.2507
2021-08-30,38.2507
2021-08-31,38.2507
2021-09-01,38.2507
2021-09-02,38.2507
2021-09-03,38.2507
2021-09-04,38.2507
2021-09-05,38.2507
2021-09-06,38.2507
2021-09-07,38.2507
2021-09-08,38.2507
2021-09-09,38.2507
2021-09-10,38.2507
2021-09-11,38.2507
2021-09-12,38.2507
2021-09-13,38.2507
2021-09-14,38.2507
2021-09-15,38.2507
2021-09-16,38.2507
2021-09-17,38.2507
2021-09-18,38.2507
2021-09-19,38.2507
2021-09-20,38.2507
2021-09-21,38.2507
2021-09-22,38.2507
2021-09-23,38.2507
2021-09-24,38.2507
2021-09-25,38.2507
2021-09-26,38.2507
2021-09-27,38.2507
2021-09-28,38.2507
2021-09-29,38.2507
2021-09-30,39.7995
2021-10-01,39.7995
2021-10-02,39.7995
2021-10-03,39.7995
2021-10-04,39.7995
2021-10-05,39.7995
2021-10-06,39.7995
2021-10-07,39.7995
2021-10-08,39.7995
2021-10-09,39.7995
2021-10-10,39.7995
2021-10-11,39.7995
2021-10-12,39.7995
2021-10-13,39.7995
2021-10-14,39.7995
2021-10-15,39.7995
2021-10-16,39.7995
2021-10-17,39.7995
2021-10-18,39.7995
2021-10-19,39.7995
2021-10-20,39.7995
2021-10-21,39.7995
2021-10-22,39.7995
2021-10-23,39.7995
2021-10-24,39.7995
2021-10-25,39.7995
2021-10-26,39.7995
2021-10-27,39.7995
2021-10-28,39.7995
2021-10-29,39.7995
2021-10-30,39.7995
2021-10-31,39.7995
2021-11-01,39.7995
2021-11-02,39.7995
2021-11-03,39.7995
2021-11-04,39.7995
2021-11-05,39.7995
2021-11-06,39.7995
2021-11-07,39.7995
2021-11-08,39.7995
2021-11-09,39.7995
2021-11-10,39.7995
2021-11-11,39.7995
2021-11-12,39.7995
2021-11-13,39.7995
2021-11-14,39.7995
2021-11-15,39.7995
2021-11-16,39.7995
2021-11-17,39.7995
2021-11-18,39.7995
2021-11-19,39.7995
2021-11-20,39.7995
2021-11-21,39.7995
2021-11-22,39.7995
2021-11-23,39.7995
2021-11-24,39.7995
2021-11-25,39.7995
2021-11-26,39.7995
2021-11-27,39.7995
2021-11-28,39.7995
2021-11-29,39.7995
2021-11-30,39.7995
2021-12-01,39.7995
2021-12-02,39.7995
2021-12-03,39.7995
2021-12-04,39.7995
2021-12-05,39.7995
2021-12-06,39.7995
2021-12-07,39.7995
2021-12-08,39.7995
2021-12-09,39.7995
2021-12-10,39.7995
2021-12-11,39.7995
2021-12-12,39.7995
2021-12-13,39.7995
2021-12-14,39.7995
2021-12-15,39.7995
2021-12-16,39.7995
2021-12-17,39.7995
2021-12-18,39.7995
2021-12-19,39.7995
2021-12-20,39.7995
2021-12-21,39.7995
2021-12-22,39.7995
2021-12-23,39.7995
2021-12-24,39.7995
2021-12-25,39.7995
2021-12-26,39.7995
2021-12-27,39.7995
