,SNDR US Equity
2020-10-22,8.4107
2020-10-23,8.4107
2020-10-24,8.4107
2020-10-25,8.4107
2020-10-26,8.4107
2020-10-27,8.4107
2020-10-28,8.4107
2020-10-29,8.4107
2020-10-30,8.4107
2020-10-31,8.4107
2020-11-01,8.4107
2020-11-02,8.4107
2020-11-03,8.4107
2020-11-04,8.4107
2020-11-05,8.4107
2020-11-06,8.4107
2020-11-07,8.4107
2020-11-08,8.4107
2020-11-09,8.4107
2020-11-10,8.4107
2020-11-11,8.4107
2020-11-12,8.4107
2020-11-13,8.4107
2020-11-14,8.4107
2020-11-15,8.4107
2020-11-16,8.4107
2020-11-17,8.4107
2020-11-18,8.4107
2020-11-19,8.4107
2020-11-20,8.4107
2020-11-21,8.4107
2020-11-22,8.4107
2020-11-23,8.4107
2020-11-24,8.4107
2020-11-25,8.4107
2020-11-26,8.4107
2020-11-27,8.4107
2020-11-28,8.4107
2020-11-29,8.4107
2020-11-30,8.4107
2020-12-01,8.4107
2020-12-02,8.4107
2020-12-03,8.4107
2020-12-04,8.4107
2020-12-05,8.4107
2020-12-06,8.4107
2020-12-07,8.4107
2020-12-08,8.4107
2020-12-09,8.4107
2020-12-10,8.4107
2020-12-11,8.4107
2020-12-12,8.4107
2020-12-13,8.4107
2020-12-14,8.4107
2020-12-15,8.4107
2020-12-16,8.4107
2020-12-17,8.4107
2020-12-18,8.4107
2020-12-19,8.4107
2020-12-20,8.4107
2020-12-21,8.4107
2020-12-22,8.4107
2020-12-23,8.4107
2020-12-24,8.4107
2020-12-25,8.4107
2020-12-26,8.4107
2020-12-27,8.4107
2020-12-28,8.4107
2020-12-29,8.4107
2020-12-30,8.4107
2020-12-31,9.8651
2021-01-01,9.8651
2021-01-02,9.8651
2021-01-03,9.8651
2021-01-04,9.8651
2021-01-05,9.8651
2021-01-06,9.8651
2021-01-07,9.8651
2021-01-08,9.8651
2021-01-09,9.8651
2021-01-10,9.8651
2021-01-11,9.8651
2021-01-12,9.8651
2021-01-13,9.8651
2021-01-14,9.8651
2021-01-15,9.8651
2021-01-16,9.8651
2021-01-17,9.8651
2021-01-18,9.8651
2021-01-19,9.8651
2021-01-20,9.8651
2021-01-21,9.8651
2021-01-22,9.8651
2021-01-23,9.8651
2021-01-24,9.8651
2021-01-25,9.8651
2021-01-26,9.8651
2021-01-27,9.8651
2021-01-28,9.8651
2021-01-29,9.8651
2021-01-30,9.8651
2021-01-31,9.8651
2021-02-01,9.8651
2021-02-02,9.8651
2021-02-03,9.8651
2021-02-04,9.8651
2021-02-05,9.8651
2021-02-06,9.8651
2021-02-07,9.8651
2021-02-08,9.8651
2021-02-09,9.8651
2021-02-10,9.8651
2021-02-11,9.8651
2021-02-12,9.8651
2021-02-13,9.8651
2021-02-14,9.8651
2021-02-15,9.8651
2021-02-16,9.8651
2021-02-17,9.8651
2021-02-18,9.8651
2021-02-19,9.8651
2021-02-20,9.8651
2021-02-21,9.8651
2021-02-22,9.8651
2021-02-23,9.8651
2021-02-24,9.8651
2021-02-25,9.8651
2021-02-26,9.8651
2021-02-27,9.8651
2021-02-28,9.8651
2021-03-01,9.8651
2021-03-02,9.8651
2021-03-03,9.8651
2021-03-04,9.8651
2021-03-05,9.8651
2021-03-06,9.8651
2021-03-07,9.8651
2021-03-08,9.8651
2021-03-09,9.8651
2021-03-10,9.8651
2021-03-11,9.8651
2021-03-12,9.8651
2021-03-13,9.8651
2021-03-14,9.8651
2021-03-15,9.8651
2021-03-16,9.8651
2021-03-17,9.8651
2021-03-18,9.8651
2021-03-19,9.8651
2021-03-20,9.8651
2021-03-21,9.8651
2021-03-22,9.8651
2021-03-23,9.8651
2021-03-24,9.8651
2021-03-25,9.8651
2021-03-26,9.8651
2021-03-27,9.8651
2021-03-28,9.8651
2021-03-29,9.8651
2021-03-30,9.8651
2021-03-31,10.196
2021-04-01,10.196
2021-04-02,10.196
2021-04-03,10.196
2021-04-04,10.196
2021-04-05,10.196
2021-04-06,10.196
2021-04-07,10.196
2021-04-08,10.196
2021-04-09,10.196
2021-04-10,10.196
2021-04-11,10.196
2021-04-12,10.196
2021-04-13,10.196
2021-04-14,10.196
2021-04-15,10.196
2021-04-16,10.196
2021-04-17,10.196
2021-04-18,10.196
2021-04-19,10.196
2021-04-20,10.196
2021-04-21,10.196
2021-04-22,10.196
2021-04-23,10.196
2021-04-24,10.196
2021-04-25,10.196
2021-04-26,10.196
2021-04-27,10.196
2021-04-28,10.196
2021-04-29,10.196
2021-04-30,10.196
2021-05-01,10.196
2021-05-02,10.196
2021-05-03,10.196
2021-05-04,10.196
2021-05-05,10.196
2021-05-06,10.196
2021-05-07,10.196
2021-05-08,10.196
2021-05-09,10.196
2021-05-10,10.196
2021-05-11,10.196
2021-05-12,10.196
2021-05-13,10.196
2021-05-14,10.196
2021-05-15,10.196
2021-05-16,10.196
2021-05-17,10.196
2021-05-18,10.196
2021-05-19,10.196
2021-05-20,10.196
2021-05-21,10.196
2021-05-22,10.196
2021-05-23,10.196
2021-05-24,10.196
2021-05-25,10.196
2021-05-26,10.196
2021-05-27,10.196
2021-05-28,10.196
2021-05-29,10.196
2021-05-30,10.196
2021-05-31,10.196
2021-06-01,10.196
2021-06-02,10.196
2021-06-03,10.196
2021-06-04,10.196
2021-06-05,10.196
2021-06-06,10.196
2021-06-07,10.196
2021-06-08,10.196
2021-06-09,10.196
2021-06-10,10.196
2021-06-11,10.196
2021-06-12,10.196
2021-06-13,10.196
2021-06-14,10.196
2021-06-15,10.196
2021-06-16,10.196
2021-06-17,10.196
2021-06-18,10.196
2021-06-19,10.196
2021-06-20,10.196
2021-06-21,10.196
2021-06-22,10.196
2021-06-23,10.196
2021-06-24,10.196
2021-06-25,10.196
2021-06-26,10.196
2021-06-27,10.196
2021-06-28,10.196
2021-06-29,10.196
2021-06-30,12.5527
2021-07-01,12.5527
2021-07-02,12.5527
2021-07-03,12.5527
2021-07-04,12.5527
2021-07-05,12.5527
2021-07-06,12.5527
2021-07-07,12.5527
2021-07-08,12.5527
2021-07-09,12.5527
2021-07-10,12.5527
2021-07-11,12.5527
2021-07-12,12.5527
2021-07-13,12.5527
2021-07-14,12.5527
2021-07-15,12.5527
2021-07-16,12.5527
2021-07-17,12.5527
2021-07-18,12.5527
2021-07-19,12.5527
2021-07-20,12.5527
2021-07-21,12.5527
2021-07-22,12.5527
2021-07-23,12.5527
2021-07-24,12.5527
2021-07-25,12.5527
2021-07-26,12.5527
2021-07-27,12.5527
2021-07-28,12.5527
2021-07-29,12.5527
2021-07-30,12.5527
2021-07-31,12.5527
2021-08-01,12.5527
2021-08-02,12.5527
2021-08-03,12.5527
2021-08-04,12.5527
2021-08-05,12.5527
2021-08-06,12.5527
2021-08-07,12.5527
2021-08-08,12.5527
2021-08-09,12.5527
2021-08-10,12.5527
2021-08-11,12.5527
2021-08-12,12.5527
2021-08-13,12.5527
2021-08-14,12.5527
2021-08-15,12.5527
2021-08-16,12.5527
2021-08-17,12.5527
2021-08-18,12.5527
2021-08-19,12.5527
2021-08-20,12.5527
2021-08-21,12.5527
2021-08-22,12.5527
2021-08-23,12.5527
2021-08-24,12.5527
2021-08-25,12.5527
2021-08-26,12.5527
2021-08-27,12.5527
2021-08-28,12.5527
2021-08-29,12.5527
2021-08-30,12.5527
2021-08-31,12.5527
2021-09-01,12.5527
2021-09-02,12.5527
2021-09-03,12.5527
2021-09-04,12.5527
2021-09-05,12.5527
2021-09-06,12.5527
2021-09-07,12.5527
2021-09-08,12.5527
2021-09-09,12.5527
2021-09-10,12.5527
2021-09-11,12.5527
2021-09-12,12.5527
2021-09-13,12.5527
2021-09-14,12.5527
2021-09-15,12.5527
2021-09-16,12.5527
2021-09-17,12.5527
2021-09-18,12.5527
2021-09-19,12.5527
2021-09-20,12.5527
2021-09-21,12.5527
2021-09-22,12.5527
2021-09-23,12.5527
2021-09-24,12.5527
2021-09-25,12.5527
2021-09-26,12.5527
2021-09-27,12.5527
2021-09-28,12.5527
2021-09-29,12.5527
2021-09-30,15.0034
2021-10-01,15.0034
2021-10-02,15.0034
2021-10-03,15.0034
2021-10-04,15.0034
2021-10-05,15.0034
2021-10-06,15.0034
2021-10-07,15.0034
2021-10-08,15.0034
2021-10-09,15.0034
2021-10-10,15.0034
2021-10-11,15.0034
2021-10-12,15.0034
2021-10-13,15.0034
2021-10-14,15.0034
2021-10-15,15.0034
2021-10-16,15.0034
2021-10-17,15.0034
2021-10-18,15.0034
2021-10-19,15.0034
2021-10-20,15.0034
2021-10-21,15.0034
2021-10-22,15.0034
2021-10-23,15.0034
2021-10-24,15.0034
2021-10-25,15.0034
2021-10-26,15.0034
2021-10-27,15.0034
2021-10-28,15.0034
2021-10-29,15.0034
2021-10-30,15.0034
2021-10-31,15.0034
2021-11-01,15.0034
2021-11-02,15.0034
2021-11-03,15.0034
2021-11-04,15.0034
2021-11-05,15.0034
2021-11-06,15.0034
2021-11-07,15.0034
2021-11-08,15.0034
2021-11-09,15.0034
2021-11-10,15.0034
2021-11-11,15.0034
2021-11-12,15.0034
2021-11-13,15.0034
2021-11-14,15.0034
2021-11-15,15.0034
2021-11-16,15.0034
2021-11-17,15.0034
2021-11-18,15.0034
2021-11-19,15.0034
2021-11-20,15.0034
2021-11-21,15.0034
2021-11-22,15.0034
2021-11-23,15.0034
2021-11-24,15.0034
2021-11-25,15.0034
2021-11-26,15.0034
2021-11-27,15.0034
2021-11-28,15.0034
2021-11-29,15.0034
2021-11-30,15.0034
2021-12-01,15.0034
2021-12-02,15.0034
2021-12-03,15.0034
2021-12-04,15.0034
2021-12-05,15.0034
2021-12-06,15.0034
2021-12-07,15.0034
2021-12-08,15.0034
2021-12-09,15.0034
2021-12-10,15.0034
2021-12-11,15.0034
2021-12-12,15.0034
2021-12-13,15.0034
2021-12-14,15.0034
2021-12-15,15.0034
2021-12-16,15.0034
2021-12-17,15.0034
2021-12-18,15.0034
2021-12-19,15.0034
2021-12-20,15.0034
2021-12-21,15.0034
2021-12-22,15.0034
2021-12-23,15.0034
2021-12-24,15.0034
2021-12-25,15.0034
2021-12-26,15.0034
2021-12-27,15.0034
2021-12-28,15.0034
2021-12-29,15.0034
2021-12-30,15.0034
2021-12-31,18.101
2022-01-01,18.101
2022-01-02,18.101
2022-01-03,18.101
2022-01-04,18.101
2022-01-05,18.101
2022-01-06,18.101
2022-01-07,18.101
2022-01-08,18.101
2022-01-09,18.101
2022-01-10,18.101
2022-01-11,18.101
2022-01-12,18.101
2022-01-13,18.101
2022-01-14,18.101
2022-01-15,18.101
2022-01-16,18.101
2022-01-17,18.101
2022-01-18,18.101
2022-01-19,18.101
2022-01-20,18.101
2022-01-21,18.101
2022-01-22,18.101
2022-01-23,18.101
2022-01-24,18.101
2022-01-25,18.101
2022-01-26,18.101
2022-01-27,18.101
2022-01-28,18.101
2022-01-29,18.101
2022-01-30,18.101
2022-01-31,18.101
2022-02-01,18.101
2022-02-02,18.101
2022-02-03,18.101
2022-02-04,18.101
2022-02-05,18.101
2022-02-06,18.101
2022-02-07,18.101
2022-02-08,18.101
2022-02-09,18.101
2022-02-10,18.101
2022-02-11,18.101
2022-02-12,18.101
2022-02-13,18.101
2022-02-14,18.101
2022-02-15,18.101
2022-02-16,18.101
2022-02-17,18.101
2022-02-18,18.101
2022-02-19,18.101
2022-02-20,18.101
2022-02-21,18.101
2022-02-22,18.101
2022-02-23,18.101
2022-02-24,18.101
2022-02-25,18.101
2022-02-26,18.101
2022-02-27,18.101
2022-02-28,18.101
2022-03-01,18.101
2022-03-02,18.101
2022-03-03,18.101
2022-03-04,18.101
2022-03-05,18.101
2022-03-06,18.101
2022-03-07,18.101
2022-03-08,18.101
2022-03-09,18.101
2022-03-10,18.101
2022-03-11,18.101
2022-03-12,18.101
2022-03-13,18.101
2022-03-14,18.101
2022-03-15,18.101
2022-03-16,18.101
2022-03-17,18.101
2022-03-18,18.101
2022-03-19,18.101
2022-03-20,18.101
2022-03-21,18.101
2022-03-22,18.101
2022-03-23,18.101
2022-03-24,18.101
2022-03-25,18.101
2022-03-26,18.101
2022-03-27,18.101
2022-03-28,18.101
2022-03-29,18.101
2022-03-30,18.101
2022-03-31,19.2278
2022-04-01,19.2278
2022-04-02,19.2278
2022-04-03,19.2278
2022-04-04,19.2278
2022-04-05,19.2278
2022-04-06,19.2278
2022-04-07,19.2278
2022-04-08,19.2278
2022-04-09,19.2278
2022-04-10,19.2278
2022-04-11,19.2278
2022-04-12,19.2278
2022-04-13,19.2278
2022-04-14,19.2278
2022-04-15,19.2278
2022-04-16,19.2278
2022-04-17,19.2278
2022-04-18,19.2278
2022-04-19,19.2278
2022-04-20,19.2278
2022-04-21,19.2278
2022-04-22,19.2278
2022-04-23,19.2278
2022-04-24,19.2278
2022-04-25,19.2278
2022-04-26,19.2278
2022-04-27,19.2278
2022-04-28,19.2278
2022-04-29,19.2278
2022-04-30,19.2278
2022-05-01,19.2278
2022-05-02,19.2278
2022-05-03,19.2278
2022-05-04,19.2278
2022-05-05,19.2278
2022-05-06,19.2278
2022-05-07,19.2278
2022-05-08,19.2278
2022-05-09,19.2278
2022-05-10,19.2278
2022-05-11,19.2278
2022-05-12,19.2278
2022-05-13,19.2278
2022-05-14,19.2278
2022-05-15,19.2278
2022-05-16,19.2278
2022-05-17,19.2278
2022-05-18,19.2278
2022-05-19,19.2278
2022-05-20,19.2278
2022-05-21,19.2278
2022-05-22,19.2278
2022-05-23,19.2278
2022-05-24,19.2278
2022-05-25,19.2278
2022-05-26,19.2278
2022-05-27,19.2278
2022-05-28,19.2278
2022-05-29,19.2278
2022-05-30,19.2278
2022-05-31,19.2278
2022-06-01,19.2278
2022-06-02,19.2278
2022-06-03,19.2278
2022-06-04,19.2278
2022-06-05,19.2278
2022-06-06,19.2278
2022-06-07,19.2278
2022-06-08,19.2278
2022-06-09,19.2278
2022-06-10,19.2278
2022-06-11,19.2278
2022-06-12,19.2278
2022-06-13,19.2278
2022-06-14,19.2278
2022-06-15,19.2278
2022-06-16,19.2278
2022-06-17,19.2278
2022-06-18,19.2278
2022-06-19,19.2278
2022-06-20,19.2278
2022-06-21,19.2278
2022-06-22,19.2278
2022-06-23,19.2278
2022-06-24,19.2278
2022-06-25,19.2278
2022-06-26,19.2278
2022-06-27,19.2278
2022-06-28,19.2278
2022-06-29,19.2278
2022-06-30,19.3273
2022-07-01,19.3273
2022-07-02,19.3273
2022-07-03,19.3273
2022-07-04,19.3273
2022-07-05,19.3273
2022-07-06,19.3273
2022-07-07,19.3273
2022-07-08,19.3273
2022-07-09,19.3273
2022-07-10,19.3273
2022-07-11,19.3273
2022-07-12,19.3273
2022-07-13,19.3273
2022-07-14,19.3273
2022-07-15,19.3273
2022-07-16,19.3273
2022-07-17,19.3273
2022-07-18,19.3273
2022-07-19,19.3273
2022-07-20,19.3273
2022-07-21,19.3273
2022-07-22,19.3273
2022-07-23,19.3273
2022-07-24,19.3273
2022-07-25,19.3273
2022-07-26,19.3273
2022-07-27,19.3273
2022-07-28,19.3273
2022-07-29,19.3273
2022-07-30,19.3273
2022-07-31,19.3273
2022-08-01,19.3273
2022-08-02,19.3273
2022-08-03,19.3273
2022-08-04,19.3273
2022-08-05,19.3273
2022-08-06,19.3273
2022-08-07,19.3273
2022-08-08,19.3273
2022-08-09,19.3273
2022-08-10,19.3273
2022-08-11,19.3273
2022-08-12,19.3273
2022-08-13,19.3273
2022-08-14,19.3273
2022-08-15,19.3273
2022-08-16,19.3273
2022-08-17,19.3273
2022-08-18,19.3273
2022-08-19,19.3273
2022-08-20,19.3273
2022-08-21,19.3273
2022-08-22,19.3273
2022-08-23,19.3273
2022-08-24,19.3273
2022-08-25,19.3273
2022-08-26,19.3273
2022-08-27,19.3273
2022-08-28,19.3273
2022-08-29,19.3273
2022-08-30,19.3273
2022-08-31,19.3273
2022-09-01,19.3273
2022-09-02,19.3273
2022-09-03,19.3273
2022-09-04,19.3273
2022-09-05,19.3273
2022-09-06,19.3273
2022-09-07,19.3273
2022-09-08,19.3273
2022-09-09,19.3273
2022-09-10,19.3273
2022-09-11,19.3273
2022-09-12,19.3273
2022-09-13,19.3273
2022-09-14,19.3273
2022-09-15,19.3273
2022-09-16,19.3273
2022-09-17,19.3273
2022-09-18,19.3273
2022-09-19,19.3273
2022-09-20,19.3273
2022-09-21,19.3273
2022-09-22,19.3273
2022-09-23,19.3273
2022-09-24,19.3273
2022-09-25,19.3273
2022-09-26,19.3273
2022-09-27,19.3273
2022-09-28,19.3273
2022-09-29,19.3273
2022-09-30,19.1304
2022-10-01,19.1304
2022-10-02,19.1304
2022-10-03,19.1304
2022-10-04,19.1304
2022-10-05,19.1304
2022-10-06,19.1304
2022-10-07,19.1304
2022-10-08,19.1304
2022-10-09,19.1304
2022-10-10,19.1304
2022-10-11,19.1304
2022-10-12,19.1304
2022-10-13,19.1304
2022-10-14,19.1304
2022-10-15,19.1304
2022-10-16,19.1304
2022-10-17,19.1304
2022-10-18,19.1304
2022-10-19,19.1304
2022-10-20,19.1304
2022-10-21,19.1304
2022-10-22,19.1304
2022-10-23,19.1304
2022-10-24,19.1304
2022-10-25,19.1304
2022-10-26,19.1304
2022-10-27,19.1304
2022-10-28,19.1304
2022-10-29,19.1304
2022-10-30,19.1304
2022-10-31,19.1304
2022-11-01,19.1304
2022-11-02,19.1304
2022-11-03,19.1304
2022-11-04,19.1304
2022-11-05,19.1304
2022-11-06,19.1304
2022-11-07,19.1304
2022-11-08,19.1304
2022-11-09,19.1304
2022-11-10,19.1304
2022-11-11,19.1304
2022-11-12,19.1304
2022-11-13,19.1304
2022-11-14,19.1304
2022-11-15,19.1304
2022-11-16,19.1304
2022-11-17,19.1304
2022-11-18,19.1304
2022-11-19,19.1304
2022-11-20,19.1304
2022-11-21,19.1304
2022-11-22,19.1304
2022-11-23,19.1304
2022-11-24,19.1304
2022-11-25,19.1304
2022-11-26,19.1304
2022-11-27,19.1304
2022-11-28,19.1304
2022-11-29,19.1304
2022-11-30,19.1304
2022-12-01,19.1304
2022-12-02,19.1304
2022-12-03,19.1304
2022-12-04,19.1304
2022-12-05,19.1304
2022-12-06,19.1304
2022-12-07,19.1304
2022-12-08,19.1304
2022-12-09,19.1304
2022-12-10,19.1304
2022-12-11,19.1304
2022-12-12,19.1304
2022-12-13,19.1304
2022-12-14,19.1304
2022-12-15,19.1304
2022-12-16,19.1304
2022-12-17,19.1304
2022-12-18,19.1304
2022-12-19,19.1304
2022-12-20,19.1304
2022-12-21,19.1304
2022-12-22,19.1304
2022-12-23,19.1304
2022-12-24,19.1304
2022-12-25,19.1304
2022-12-26,19.1304
2022-12-27,19.1304
2022-12-28,19.1304
2022-12-29,19.1304
2022-12-30,19.1304
2022-12-31,17.4035
2023-01-01,17.4035
2023-01-02,17.4035
2023-01-03,17.4035
2023-01-04,17.4035
2023-01-05,17.4035
2023-01-06,17.4035
2023-01-07,17.4035
2023-01-08,17.4035
2023-01-09,17.4035
2023-01-10,17.4035
2023-01-11,17.4035
2023-01-12,17.4035
2023-01-13,17.4035
2023-01-14,17.4035
2023-01-15,17.4035
2023-01-16,17.4035
2023-01-17,17.4035
2023-01-18,17.4035
2023-01-19,17.4035
2023-01-20,17.4035
2023-01-21,17.4035
2023-01-22,17.4035
2023-01-23,17.4035
2023-01-24,17.4035
2023-01-25,17.4035
2023-01-26,17.4035
2023-01-27,17.4035
2023-01-28,17.4035
2023-01-29,17.4035
2023-01-30,17.4035
2023-01-31,17.4035
2023-02-01,17.4035
2023-02-02,17.4035
2023-02-03,17.4035
2023-02-04,17.4035
2023-02-05,17.4035
2023-02-06,17.4035
2023-02-07,17.4035
2023-02-08,17.4035
2023-02-09,17.4035
2023-02-10,17.4035
2023-02-11,17.4035
2023-02-12,17.4035
2023-02-13,17.4035
2023-02-14,17.4035
2023-02-15,17.4035
2023-02-16,17.4035
2023-02-17,17.4035
2023-02-18,17.4035
2023-02-19,17.4035
2023-02-20,17.4035
2023-02-21,17.4035
2023-02-22,17.4035
2023-02-23,17.4035
2023-02-24,17.4035
2023-02-25,17.4035
2023-02-26,17.4035
2023-02-27,17.4035
2023-02-28,17.4035
2023-03-01,17.4035
2023-03-02,17.4035
2023-03-03,17.4035
2023-03-04,17.4035
2023-03-05,17.4035
2023-03-06,17.4035
2023-03-07,17.4035
2023-03-08,17.4035
2023-03-09,17.4035
2023-03-10,17.4035
2023-03-11,17.4035
2023-03-12,17.4035
2023-03-13,17.4035
2023-03-14,17.4035
2023-03-15,17.4035
2023-03-16,17.4035
2023-03-17,17.4035
2023-03-18,17.4035
2023-03-19,17.4035
2023-03-20,17.4035
2023-03-21,17.4035
2023-03-22,17.4035
2023-03-23,17.4035
2023-03-24,17.4035
