,KO US Equity
,RETURN_COM_EQY
2021-10-21,43.2158
2021-10-22,43.2158
2021-10-23,43.2158
2021-10-24,43.2158
2021-10-25,43.2158
2021-10-26,43.2158
2021-10-27,43.2158
2021-10-28,43.2158
2021-10-29,43.2158
2021-10-30,43.2158
2021-10-31,43.2158
2021-11-01,43.2158
2021-11-02,43.2158
2021-11-03,43.2158
2021-11-04,43.2158
2021-11-05,43.2158
2021-11-06,43.2158
2021-11-07,43.2158
2021-11-08,43.2158
2021-11-09,43.2158
2021-11-10,43.2158
2021-11-11,43.2158
2021-11-12,43.2158
2021-11-13,43.2158
2021-11-14,43.2158
2021-11-15,43.2158
2021-11-16,43.2158
2021-11-17,43.2158
2021-11-18,43.2158
2021-11-19,43.2158
2021-11-20,43.2158
2021-11-21,43.2158
2021-11-22,43.2158
2021-11-23,43.2158
2021-11-24,43.2158
2021-11-25,43.2158
2021-11-26,43.2158
2021-11-27,43.2158
2021-11-28,43.2158
2021-11-29,43.2158
2021-11-30,43.2158
2021-12-01,43.2158
2021-12-02,43.2158
2021-12-03,43.2158
2021-12-04,43.2158
2021-12-05,43.2158
2021-12-06,43.2158
2021-12-07,43.2158
2021-12-08,43.2158
2021-12-09,43.2158
2021-12-10,43.2158
2021-12-11,43.2158
2021-12-12,43.2158
2021-12-13,43.2158
2021-12-14,43.2158
2021-12-15,43.2158
2021-12-16,43.2158
2021-12-17,43.2158
2021-12-18,43.2158
2021-12-19,43.2158
2021-12-20,43.2158
2021-12-21,43.2158
2021-12-22,43.2158
2021-12-23,43.2158
2021-12-24,43.2158
2021-12-25,43.2158
2021-12-26,43.2158
2021-12-27,43.2158
2021-12-28,43.2158
2021-12-29,43.2158
2021-12-30,43.2158
2021-12-31,46.2008
2022-01-01,46.2008
2022-01-02,46.2008
2022-01-03,46.2008
2022-01-04,46.2008
2022-01-05,46.2008
2022-01-06,46.2008
2022-01-07,46.2008
2022-01-08,46.2008
2022-01-09,46.2008
2022-01-10,46.2008
2022-01-11,46.2008
2022-01-12,46.2008
2022-01-13,46.2008
2022-01-14,46.2008
2022-01-15,46.2008
2022-01-16,46.2008
2022-01-17,46.2008
2022-01-18,46.2008
2022-01-19,46.2008
2022-01-20,46.2008
2022-01-21,46.2008
2022-01-22,46.2008
2022-01-23,46.2008
2022-01-24,46.2008
2022-01-25,46.2008
2022-01-26,46.2008
2022-01-27,46.2008
2022-01-28,46.2008
2022-01-29,46.2008
2022-01-30,46.2008
2022-01-31,46.2008
2022-02-01,46.2008
2022-02-02,46.2008
2022-02-03,46.2008
2022-02-04,46.2008
2022-02-05,46.2008
2022-02-06,46.2008
2022-02-07,46.2008
2022-02-08,46.2008
2022-02-09,46.2008
2022-02-10,46.2008
2022-02-11,46.2008
2022-02-12,46.2008
2022-02-13,46.2008
2022-02-14,46.2008
2022-02-15,46.2008
2022-02-16,46.2008
2022-02-17,46.2008
2022-02-18,46.2008
2022-02-19,46.2008
2022-02-20,46.2008
2022-02-21,46.2008
2022-02-22,46.2008
2022-02-23,46.2008
2022-02-24,46.2008
2022-02-25,46.2008
2022-02-26,46.2008
2022-02-27,46.2008
2022-02-28,46.2008
2022-03-01,46.2008
2022-03-02,46.2008
2022-03-03,46.2008
2022-03-04,46.2008
2022-03-05,46.2008
2022-03-06,46.2008
2022-03-07,46.2008
2022-03-08,46.2008
2022-03-09,46.2008
2022-03-10,46.2008
2022-03-11,46.2008
2022-03-12,46.2008
2022-03-13,46.2008
2022-03-14,46.2008
2022-03-15,46.2008
2022-03-16,46.2008
2022-03-17,46.2008
2022-03-18,46.2008
2022-03-19,46.2008
2022-03-20,46.2008
2022-03-21,46.2008
2022-03-22,46.2008
2022-03-23,46.2008
2022-03-24,46.2008
2022-03-25,46.2008
2022-03-26,46.2008
2022-03-27,46.2008
2022-03-28,46.2008
2022-03-29,46.2008
2022-03-30,46.2008
2022-03-31,46.2008
2022-04-01,45.6062
2022-04-02,45.6062
2022-04-03,45.6062
2022-04-04,45.6062
2022-04-05,45.6062
2022-04-06,45.6062
2022-04-07,45.6062
2022-04-08,45.6062
2022-04-09,45.6062
2022-04-10,45.6062
2022-04-11,45.6062
2022-04-12,45.6062
2022-04-13,45.6062
2022-04-14,45.6062
2022-04-15,45.6062
2022-04-16,45.6062
2022-04-17,45.6062
2022-04-18,45.6062
2022-04-19,45.6062
2022-04-20,45.6062
2022-04-21,45.6062
2022-04-22,45.6062
2022-04-23,45.6062
2022-04-24,45.6062
2022-04-25,45.6062
2022-04-26,45.6062
2022-04-27,45.6062
2022-04-28,45.6062
2022-04-29,45.6062
2022-04-30,45.6062
2022-05-01,45.6062
2022-05-02,45.6062
2022-05-03,45.6062
2022-05-04,45.6062
2022-05-05,45.6062
2022-05-06,45.6062
2022-05-07,45.6062
2022-05-08,45.6062
2022-05-09,45.6062
2022-05-10,45.6062
2022-05-11,45.6062
2022-05-12,45.6062
2022-05-13,45.6062
2022-05-14,45.6062
2022-05-15,45.6062
2022-05-16,45.6062
2022-05-17,45.6062
2022-05-18,45.6062
2022-05-19,45.6062
2022-05-20,45.6062
2022-05-21,45.6062
2022-05-22,45.6062
2022-05-23,45.6062
2022-05-24,45.6062
2022-05-25,45.6062
2022-05-26,45.6062
2022-05-27,45.6062
2022-05-28,45.6062
2022-05-29,45.6062
2022-05-30,45.6062
2022-05-31,45.6062
2022-06-01,45.6062
2022-06-02,45.6062
2022-06-03,45.6062
2022-06-04,45.6062
2022-06-05,45.6062
2022-06-06,45.6062
2022-06-07,45.6062
2022-06-08,45.6062
2022-06-09,45.6062
2022-06-10,45.6062
2022-06-11,45.6062
2022-06-12,45.6062
2022-06-13,45.6062
2022-06-14,45.6062
2022-06-15,45.6062
2022-06-16,45.6062
2022-06-17,45.6062
2022-06-18,45.6062
2022-06-19,45.6062
2022-06-20,45.6062
2022-06-21,45.6062
2022-06-22,45.6062
2022-06-23,45.6062
2022-06-24,45.6062
2022-06-25,45.6062
2022-06-26,45.6062
2022-06-27,45.6062
2022-06-28,45.6062
